GOOG,Alphabet Inc,20141001,Cyberark listing puts Israeli venture capital fund in the spotlight ,* Firm has invested around $1 billion in scores of start-ups,normal
LQDT,Liquidity Services Inc,20141001,Online auctioneer Liquidity Services to cut 130 jobs ,Online auctioneer Liquidity Services Inc said it will cut about 130 full-time and temporary jobs through 2015 after it paid more for a contract with the U.S. Department of Defense to auction goods such as field gear and boats.,topStory
LQDT,Liquidity Services Inc,20141001,Online auctioneer Liquidity Services to cut 130 jobs ,Oct 1 Online auctioneer Liquidity Services Inc  said it will cut about 130 full-time and temporary jobs through 2015 after it paid more for a contract with the U.S. Department of Defense to auction goods such as field gear and boats.,normal
MASI,Masimo Corporation,20141001,Philips Electronics loses $467 million patent verdict to Masimo ,A federal jury on Wednesday said Philips Electronics NA should pay $466.8 million to Masimo Corp  for having infringed two patents for technology used to help measure blood oxygen and track pulse rates.,topStory
MASI,Masimo Corporation,20141001,UPDATE 1-Philips Electronics loses $467 mln patent verdict to Masimo ,Oct 1 A federal jury on Wednesday said Philips Electronics NA should pay $466.8 million to Masimo Corp  for having infringed two patents for technology used to help measure blood oxygen and track pulse rates.,normal
MASI,Masimo Corporation,20141001,Philips Electronics loses $467 mln verdict in Masimo patent case ,Oct 1 A federal jury on Wednesday said Philips Electronics NA should pay $466.8 million to Masimo Corp  for having infringed two patents for technology used to help measure blood oxygen and track pulse rates.,normal
MASI,Masimo Corporation,20141001,BRIEF-Masimo wins $466.8 million jury verdict in patent lawsuit against Philips Electronics ,Oct 1 Masimo Corp :  * Wins $466.8 million jury verdict in patent lawsuit against philips,normal
MDLZ,Mondelez International Inc,20141001,Mondelez plans $90 mln biscuit plant in Bahrain ,ABU DHABI  Oct 1 Packaged food company Mondelez International is planning to build a $90 million biscuit plant in Bahrain to reduce costs and meet growing demand for its biscuits  the U.S. company said on Wednesday.,topStory
MORN,Morningstar Inc,20141001,Pimco Total Return posts weakest month of year in September: Morningstar ,NEW YORK The Pimco Total Return Fund  the world's largest bond fund  posted its weakest monthly return of the year in September  dropping 0.9 percent in the final month with co-founder Bill Gross at the helm  preliminary Morningstar data showed on Wednesday.,topStory
MORN,Morningstar Inc,20141001,UPDATE 1-Pimco Total Return posts weakest month of year in September -Morningstar ,NEW YORK  Oct 1 The Pimco Total Return Fund  the world's largest bond fund  posted its weakest monthly return of the year in September  dropping 0.9 percent in the final month with co-founder Bill Gross at the helm  preliminary Morningstar data showed on Wednesday.,normal
MORN,Morningstar Inc,20141001,Pimco Total Return Fund fell 0.94 pct in Sept - prelim Morningstar data ,NEW YORK  Oct 1 The Pimco Total Return Fund  the world's largest bond fund  fell 0.94 percent in September to trail 76 percent of its peers  preliminary Morningstar data showed on Wednesday.,normal
NFLX,Netflix Inc,20141001,France's Orange to market Netflix in November - CEO ,PARIS  Oct 1 France's biggest telecom operator Orange has reached an agreement with Netflix  to offer the video streaming service on its set-top boxes from November  its chief executive Stephane Richard told Le Monde newspaper on Wednesday.,topStory
NFLX,Netflix Inc,20141001,Netflix 'Crouching Tiger' deal incurs wrath of theater chains ,U.S. theater chain Regal Entertainment Group said it would not show the sequel to "Crouching Tiger  Hidden Dragon" in any of its IMAX theaters  objecting to a move by IMAX and Netflix to side step a normal theater release.,normal
NFLX,Netflix Inc,20141001,UPDATE 2-Netflix 'Crouching Tiger' deal incurs wrath of theater chains ,Sept 30 U.S. theater chain Regal Entertainment Group said it would not show the sequel to "Crouching Tiger  Hidden Dragon" in any of its IMAX theaters  objecting to a move by IMAX and Netflix to side step a normal theater release.,normal
NLNK,NewLink Genetics Corporation,20141001,GlaxoSmithKline  NewLink working to bring Ebola vaccines online: WHO ,GENEVA Both GlaxoSmithKline and NewLink Genetics are working to boost their capacity to make Ebola vaccines  with a goal of a "very significant increase in scale during the first half of 2015"  the World Health Organization said on Wednesday.,topStory
NLNK,NewLink Genetics Corporation,20141001,UPDATE 1-GSK  NewLink working to bring Ebola vaccines online - WHO ,GENEVA  Oct 1 Both GlaxoSmithKline and NewLink Genetics are working to boost their capacity to make Ebola vaccines  with a goal of a "very significant increase in scale during the first half of 2015"  the World Health Organization said on Wednesday.,normal
NLNK,NewLink Genetics Corporation,20141001,GSK  NewLink working to bring Ebola vaccines online - WHO ,GENEVA  Oct 1 Both GlaxoSmithKline and NewLink are working to boost their capacity to make Ebola vaccines  with a goal of a "very significant increase in scale during the first half of 2015"  the World Health Organization (WHO) said on Wednesday.,normal
PTLA,Portola Pharmaceuticals Inc,20141001,Portola Pharma drug reverses effect of anti-clotting drugs in study ,Portola Pharmaceuticals Inc said its drug met the main goal of reversing the effect of anti-coagulant drugs in a late-stage study.,topStory
PTLA,Portola Pharmaceuticals Inc,20141001,Portola Pharma drug reverses effect of anti-clotting drugs in study ,Oct 1 Portola Pharmaceuticals Inc said its drug met the main goal of reversing the effect of anti-coagulant drugs in a late-stage study.,normal
REIS,Reis Inc,20141001,U.S. office vacancy rate stays at 16.8 percent in third quarter: Reis ,U.S. office vacancy rate remained flat for the third consecutive quarter at 16.8 percent  real estate research firm Reis Inc  said in a report released on Tuesday.,topStory
REIS,Reis Inc,20141001,U.S. office vacancy rate stays at 16.8 pct in 3rd quarter - Reis ,Sept 30 U.S. office vacancy rate remained flat for the third consecutive quarter at 16.8 percent  real estate research firm Reis Inc said in a report released on Tuesday.,normal
RYAAY,Ryanair Holdings plc,20141001,EU rules low cost carriers  airports given illegal state aid ,BRUSSELS Two European airports and a number of budget airlines  including Ryanair and Lufthansa's carrier Germanwings  have been ordered to pay back millions of euros in illegal subsidies  EU regulators said on Wednesday.,topStory
RYAAY,Ryanair Holdings plc,20141001,UPDATE 2-EU rules low cost carriers  airports given illegal state aid ,* Charleroi  Zweibruecken airports ordered to pay back aid,normal
SIRI,Sirius XM Holdings Inc,20141001,Sirius XM will appeal copyright ruling in $100 million lawsuit ,Satellite radio provider Sirius XM Holdings Inc will appeal a California federal judge's decision finding it liable of copyright infringement for airing pre-1972 songs by the band  The Turtles  and failing to pay royalties.,topStory
SIRI,Sirius XM Holdings Inc,20141001,Sirius XM will appeal copyright ruling in $100 million lawsuit ,Oct 1 Satellite radio provider Sirius XM Holdings Inc will appeal a California federal judge's decision finding it liable of copyright infringement for airing pre-1972 songs by the band  The Turtles  and failing to pay royalties.,normal
SPEX,Spherix Incorporated,20141001,BUZZ-Spherix Inc: Patent lawsuit hearing rescheduled ,** Shares of company  which buys and licenses technology patents  down 10.3 pct at $1.40 premarket,topStory
SBUX,Starbucks Corporation,20141001,INDIA PRESS-Starbucks looks to tap 50 small cities - Economic Times ,Note: Reuters has not verified this story and does not vouch for its accuracy.   (Compiled by Derek Francis in Bangalore),topStory
FOX,Twenty-First Century Fox Inc,20141001,Elisabeth Murdoch to step down as Shine Group chairman: FT ,Elisabeth Murdoch  the daughter of media mogul Rupert Murdoch  will step down as the chairman of Shine Group when it merges with Endemol and Core Media Group Inc [CKXETM.UL]  the Financial Times reported  citing people familiar with the matter.,topStory
FOXA,Twenty-First Century Fox Inc,20141001,Elisabeth Murdoch to step down as Shine Group chairman: FT ,Elisabeth Murdoch  the daughter of media mogul Rupert Murdoch  will step down as the chairman of Shine Group when it merges with Endemol and Core Media Group Inc [CKXETM.UL]  the Financial Times reported  citing people familiar with the matter.,topStory
ZION,Zions Bancorporation,20141001,Republicans craft 2015 plan to force Obama's hand on Keystone ,WASHINGTON Republicans plan to put approval of the long-delayed Keystone XL oil pipeline on a fast track early next year if they win a U.S. Senate majority in November  finally forcing President Barack Obama to make a tough call on the controversial plan.,topStory
ZION,Zions Bancorporation,20141001,Republicans craft 2015 plan to force Obama's hand on Keystone ,* $10 bln cross-border pipeline project proposed 6 years ago,normal
BABA,Alibaba Group Holding Limited,20141001,Online fashion retailer Zalando rises in stock market debut ,FRANKFURT Shares in Europe's largest online fashion retailer Zalando rose on their Frankfurt stock market debut on Wednesday  one of a flood of internet start-ups hoping to ride the coattails of China's Alibaba. | Video ,topStory
BABA,Alibaba Group Holding Limited,20141001,UPDATE 3-Online fashion retailer Zalando rises in stock market debut ,* Pares gains later to trade at 22 euros vs offer price 21.50,normal
AGN,Allergan plc,20141001,Exclusive: ISS urges Allergan to give investors vote  questions credibility ,BOSTON/NEW YORK Prominent investor shareholder advisory firm ISS called on Allergan Inc to give its shareholders a chance to vote on any large  buyout-blocking acquisitions and said the company's board faced a credibility problem  according to a report seen by Reuters.,topStory
AMC,AMC Entertainment Holdings Inc,20141001,UPDATE 2-Netflix 'Crouching Tiger' deal incurs wrath of theater chains ,Sept 30 U.S. theater chain Regal Entertainment Group said it would not show the sequel to "Crouching Tiger  Hidden Dragon" in any of its IMAX theaters  objecting to a move by IMAX and Netflix to side step a normal theater release.,topStory
AIG,American International Group Inc,20141001,China's CIC  AVIC end talks to acquire Avolon-sources ,Oct 1 China Investment Corp (CIC) and AVIC Capital Co Ltd have ended talks to acquire Avolon Holdings Ltd  making it likely that the aircraft leasing company will pursue an initial public offering  according to people familiar with the matter.,normal
BUD,Anheuser-Busch Inbev SA,20141001,InBev to close brewery in Russia ,MOSCOW  Oct 1 Anheuser-Busch InBev  subsidiary SUN InBev said on Wednesday it would close its Angarsk brewery in East Siberia citing higher taxes and toughened regulation.,topStory
APA,Apache Corporation,20141001,UPDATE 1-Market Chatter-Corporate finance press digest ,(Updates to remove Waypoint Capital  adds United Overseas Bank),topStory
APA,Apache Corporation,20141001,Market Chatter- Corporate finance press digest ,Oct 1 The following corporate finance-related stories were reported by media:,normal
ADM,Archer-Daniels-Midland Company,20141001,France's InVivo says working with ADM on grain sourcing ,PARIS  Oct 1 France's InVivo is collaborating with U.S.-based Archer Daniels Midland Co on sourcing grains in Europe as part of closer ties between the groups' trading activities  InVivo's CEO said on Wednesday.,topStory
AGX,Argan Inc,20141001,BRIEF-Argan reports Q3 rental income 16.7 mln euros  up 8 pct ,* Confirms FY target of 66 million euros rental income  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom: +48 58 698 39 20),topStory
AZN,Astrazeneca PLC,20141001,UPDATE 2-Ardelyx  AstraZeneca bowel drug succeeds in mid-stage trial ,Oct 1 Ardelyx Inc said its experimental drug to treat constipation-related irritable bowel syndrome achieved the main goal of increasing bowel movement compared with a placebo in a mid-stage study involving 371 patients.,topStory
T,AT&T Inc,20141001,UPDATE 2-DirecTV keeps NFL Sunday Ticket in $1.5 bln a year deal ,LOS ANGELES  Oct 1 DirecTV extended its exclusive contract to sell the Sunday Ticket package of National Football League games  and sources said the company will pay $1.5 billion a year to keep the popular offering that has helped attract subscribers.,topStory
AXS,Axis Capital Holdings Limited,20141001,INDIA PRESS-Ex-Enam employees at Axis Capital in for a 2.80-bln-rupee bonanza - The Economic Times ,Note: Reuters has not verified this story and does not vouch for its accuracy.   (Compiled by Derek Francis in Bangalore),topStory
BAC,Bank of America Corporation,20141001,Bank of America names CEO Moynihan chairman of board ,Bank of America Corp  said it named Chief Executive Brian Moynihan as chairman of its board  effective immediately.,topStory
BAC,Bank of America Corporation,20141001,UPDATE 3-Bank of America names CEO Moynihan chairman of board ,Oct 1 Bank of America Corp said it named Chief Executive Brian Moynihan as chairman of its board  effective immediately.,normal
BAC,Bank of America Corporation,20141001,Bank of America names CEO Moynihan chairman of board ,Oct 1 Bank of America Corp said it named Chief Executive Brian Moynihan as chairman of its board  effective immediately.,normal
BAC,Bank of America Corporation,20141001,UPDATE 1-Bank of America top U.S. muni underwriter so far in 2014 ,(Adds insurance information  issuance totals  letters of credit),normal
BAC,Bank of America Corporation,20141001,Bank of America top U.S. muni underwriter in Jan-Sept ,WASHINGTON  Oct 1 Bank of America Merrill Lynch remained the top senior underwriter of U.S. municipal debt in the first nine months of 2014  with 262 deals totaling $28.77 billion  Thomson Reuters data released on Wednesday showed.,normal
BAC,Bank of America Corporation,20141001,Opponent of Bank of America $8.5 billion mortgage deal drops out ,NEW YORK A key opponent of Bank of America Corp’s proposed $8.5 billion settlement with investors in mortgage-backed securities has dropped its objections  marking another step forward for the deal to receive final court approval.,normal
BAC,Bank of America Corporation,20141001,Opponent of BofA $8.5 bln mortgage deal drops out ,NEW YORK  Oct 1 A key opponent of Bank of America Corp's proposed $8.5 billion settlement with investors in mortgage-backed securities has dropped its objections  marking another step forward for the deal to receive final court approval.,normal
BLK,BlackRock Inc,20141001,UPDATE 1-BlackRock bond head says speculators on ECB QE making "mistake" ,LONDON  Oct 1 Investors loading up on some of the euro zone's riskiest government bonds on expectations that the European Central Bank will buy them are making a mistake  BlackRock's head of European and global bonds said on Wednesday.,topStory
BLK,BlackRock Inc,20141001,BlackRock bond head says speculators on ECB QE making "mistake" ,LONDON  Oct 1 Investors loading up on some of the euro zone's riskiest government bonds on expectations that the European Central Bank will buy them are making a "mistake"  BlackRock's head of European and global bonds said on Wednesday.,normal
BA,Boeing Company (The),20141001,U.S. orders airlines to replace cockpit displays on 1 300 Boeing airplanes ,The U.S. Federal Aviation Administration is requiring airlines to replace cockpit displays on more than 1 300 Boeing Co  airplanes to avoid interference from Wi-Fi and cellular devices.,topStory
BA,Boeing Company (The),20141001,U.S. orders airlines to replace cockpit displays on 1 300 Boeing airplanes ,Sept 30 The U.S. Federal Aviation Administration is requiring airlines to replace cockpit displays on more than 1 300 Boeing Co airplanes to avoid interference from Wi-Fi and cellular devices.,normal
BAM,Brookfield Asset Management Inc,20141001,Brookfield wins Revel Casino auction  but loser vows to fight ,An affiliate of Brookfield Asset Management won the auction for Atlantic City  New Jersey's bankrupt Revel Casino Hotel with a $110 million bid  but within hours the losing bidder told Reuters he planned to fight the sale.,topStory
BAM,Brookfield Asset Management Inc,20141001,UPDATE 2-Brookfield wins Revel Casino auction  but loser vows to fight ,Oct 1 An affiliate of Brookfield Asset Management  won the auction for Atlantic City  New Jersey's bankrupt Revel Casino Hotel with a $110 million bid  but within hours the losing bidder told Reuters he planned to fight the sale.,normal
BG,Bunge Limited,20141001,RPT-UPDATE 2-Bunge scoops up 528 600 tonnes of sugar in October ICE delivery ,NEW YORK  Oct 1 Bunge Ltd has bought 10 405 lots  or about 528 600 tonnes  of raw sugar against the October contract on ICE Futures U.S. that expired on Tuesday  in line with expectations  according to exchange data and trade sources.,topStory
CNA,CNA Financial Corporation,20141001,Fitch Plans to Withdraw CNA Financial Corporation's Ratings ,(The following statement was released by the rating agency) CHICAGO  October 01 (Fitch) Fitch Ratings plans to withdraw the ratings on CNA  Financial Corporation on or about Oct. 30  2014  for commercial reasons. Fitch  currently rates the company and its insurance subsidiaries as follows:  CNA Financial Corporation  --Issuer Default Rating 'BBB+'; --$549 million 5.85% due Dec. 15  2014 'BBB';  --$350 million 6.5% due Aug. 15  2016 'BBB'; --$150 million 6.95% due Jan. 15  2018 'BBB'; --$350 mill,topStory
KO,Coca-Cola Company (The),20141001,Coca-Cola  bowing to pressure  amends employee equity plan ,Coca-Cola Co  facing criticism from Warren Buffett and other investors for its outsized employee share rewards  said it had adopted new guidelines that would limit its stock compensation plan and improve transparency.,topStory
KO,Coca-Cola Company (The),20141001,UPDATE 3-Coca-Cola  bowing to pressure  amends employee equity plan ,Oct 1 Coca-Cola Co  facing criticism from Warren Buffett and other investors for its outsized employee share rewards  said it had adopted new guidelines that will limit its executive compensation plan starting next year.,normal
KO,Coca-Cola Company (The),20141001,Coca-Cola amends equity plan to minimize dilution ,Oct 1 Coca-Cola Co  under pressure from an activist investor   said it had adopted new guidelines under its 2014 equity plan that will extend the number of years shares will last under the plan by using fewer shares each year.,normal
E,ENI SpA,20141001,Large part of Eni's Nigerian oil deal cash went on bribes -Italian prosecutors ,* Half of $1.1 bln paid for oil field went on bribes-prosecutors,topStory
EPD,Enterprise Products Partners LP,20141001,Deals of the day- Mergers and acquisitions ,(Adds Hochtief  Celulosa Arauco y Constitucion  Schneider Electric  Burton's Biscuits  Adama  CIC  Telecom Italia and Enterprise Products),topStory
EPD,Enterprise Products Partners LP,20141001,UPDATE 2-Enterprise Products buys Oiltanking Partners in $4.4 bln deal ,(Recasts headlines; adds quote  financial details  updates share prices),normal
EPD,Enterprise Products Partners LP,20141001,Enterprise Products buys controlling stake in Oiltanking Partners ,Oct 1 Pipeline company Enterprise Products Partners LP said it has acquired a 64.7 percent limited partner interest in crude storage provider Oiltanking Partners LP as well as a 2 percent general partner interest for $4.41 billion.,normal
F,Ford Motor Company,20141001,Ford loses bid to recoup $450 million interest on overpaid taxes ,A federal appeals court rejected Ford Motor Co's  bid to recoup about $450 million of interest from the U.S. government on taxes overpaid by the automaker.,topStory
F,Ford Motor Company,20141001,GM sees first European profit in 2016 after years of losses ,MILFORD Mich. General Motors Co  said on Wednesday it expects in 2016 to ring up its first profit in Europe in more than a decade and that it will also hit targeted North American operating margins that year.,normal
F,Ford Motor Company,20141001,UPDATE 2-Ford loses bid to recoup $450 mln interest on overpaid taxes ,Oct 1 A federal appeals court rejected Ford Motor Co's bid to recoup about $450 million of interest from the U.S. government on taxes overpaid by the automaker.,normal
F,Ford Motor Company,20141001,CORRECTED-UPDATE 2-GM sees first European profit in 2016 after years of losses ,(Corrects number of planned new and refreshed vehicle launches to show a percentage instead of a number  paragraph 7),normal
F,Ford Motor Company,20141001,Ford loses bid to recoup $450 mln interest on overpaid taxes ,Oct 1 A federal appeals court on Wednesday rejected Ford Motor Co's bid to recoup about $450 million of interest from the U.S. government on taxes that the automaker overpaid.,normal
F,Ford Motor Company,20141001,US STOCKS-Auto stocks drop after September sales data ,NEW YORK  Oct 1 Shares of many leading automakers were lower following early September car-sales data on Wednesday  with Ford Motor down 0.9 percent after it reported sales fell slightly from a year ago.,normal
F,Ford Motor Company,20141001,Ford Motor sees U.S. September auto industry sales up 10 percent ,DETROIT  Oct 1 Ford Motor Co expects industry U.S. September auto sales to rise about 10 percent to between 1.265 million and 1.275 million vehicles  company sales analyst Erich Merkle said on Wednesday.,normal
