ALKS,Alkermes plc,20140624,Even with Irish address  Alkermes prefers independence ,SAN DIEGO Dublin  Ireland-based Alkermes Plc has the low-tax domicile currently in vogue among multinational pharmaceutical companies but is not interested in being bought out as it nears the launch of new drugs  its chief executive said on Monday.,topStory
INTC,Intel Corporation,20140624,Jury in trial of Rajaratnam's brother hears of insider's tips ,NEW YORK  June 24 A former Intel Corp  executive on Tuesday  testifying in the insider trading trial of Rengan Rajaratnam  told jurors how he leaked details of a major deal to the former Galleon Group portfolio manager's brother  Raj Rajaratnam.,normal
LORL,Loral Space and Communications Inc,20140624,Loral rejects $7 billion deal to sell itself and Telesat: sources ,NEW YORK Loral Space & Communications Inc's efforts to sell itself and its main asset  Telesat Holdings Inc  broke down after the company failed to agree on a potential $7 billion deal with the buyer group  people familiar with the matter said.,topStory
MU,Micron Technology Inc,20140624,US STOCKS-Dow  S&P 500 dip as data lift ebbs; Nasdaq up on biotech ,* Vertex soars after clinical trial; Micron up on outlook,topStory
MU,Micron Technology Inc,20140624,US STOCKS-Data lift Wall St  S&P hits another record ,* Vertex soars after clinical trial  Micron up on outlook,normal
MU,Micron Technology Inc,20140624,US STOCKS-Wall St flat  but tech and biotech lift Nasdaq ,* Indexes up: Dow  S&P 500 0.1 pct  Nasdaq 0.5 pct   (Updates to open  adds data),normal
MU,Micron Technology Inc,20140624,US STOCKS-Futures point to flat open  consumer data awaited ,* Dow down 12 pts  S&P down 2.5 pts  Nasdaq up 0.75 pt   (Adds Vertex and Walgreen news  updates prices),normal
MU,Micron Technology Inc,20140624,US STOCKS-Futures edge lower  consumer data awaited ,NEW YORK  June 24 U.S. stock index futures fell on Tuesday  suggesting investors continued to search for direction following a sharp rally that took indexes to records last week.,normal
OHRP,Ohr Pharmaceuticals Inc,20140624,Ohr Pharma eye drug falls short in trial ,Ohr Pharmaceutical Inc said its experimental eye drop showed no significant benefit over a placebo in reducing the number of injections of another drug directly into the eye  but improved patients' visual clarity.,topStory
OHRP,Ohr Pharmaceuticals Inc,20140624,UPDATE 1-Ohr Pharma eye drug falls short in trial ,June 24 Ohr Pharmaceutical Inc said its experimental eye drop showed no significant benefit over a placebo in reducing the number of injections of another drug directly into the eye  but improved patients' visual clarity.,normal
OHRP,Ohr Pharmaceuticals Inc,20140624,Ohr Pharma eye drug falls short in trial ,June 24 Ohr Pharmaceutical Inc said its experimental eye drop did not show any significant benefit over a placebo in reducing the number of injections of another drug directly into the eye.,normal
SBUX,Starbucks Corporation,20140624,MALAYSIA PRESS-Cuscapi wins point-of-sale contracts from Old Town  Starbucks  McDonald's ,Employees Provident Fund to take part in the $2.2 bln redevelopment of former Pudu jail site-The Star,topStory
VTNR,Vertex Energy Inc,20140624,US STOCKS-Wall St retreats on Iraq worries as data boost fades ,* Consumer confidence at six-year high; new home sales top expectations,topStory
VTNR,Vertex Energy Inc,20140624,US STOCKS-Dow  S&P 500 dip as data lift ebbs; Nasdaq up on biotech ,* Vertex soars after clinical trial; Micron up on outlook,normal
VTNR,Vertex Energy Inc,20140624,US STOCKS-Data lift Wall St  S&P hits another record ,* Vertex soars after clinical trial  Micron up on outlook,normal
VTNR,Vertex Energy Inc,20140624,US STOCKS-Wall St flat  but tech and biotech lift Nasdaq ,* Indexes up: Dow  S&P 500 0.1 pct  Nasdaq 0.5 pct   (Updates to open  adds data),normal
VTNR,Vertex Energy Inc,20140624,US STOCKS-Futures point to flat open  consumer data awaited ,* Dow down 12 pts  S&P down 2.5 pts  Nasdaq up 0.75 pt   (Adds Vertex and Walgreen news  updates prices),normal
VRTX,Vertex Pharmaceuticals Incorporated,20140624,Vertex cystic fibrosis combo succeeds in key late-stage trials ,A combination of Vertex Pharmaceuticals Inc's VRTX.O cystic fibrosis drugs succeeded in improving lung function in a pair of closely watched late-stage trials  likely offering a potential new treatment for thousands more patients with the rare lung disease and sending Vertex shares soaring.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20140624,UPDATE 2-Vertex cystic fibrosis combo succeeds in key late-stage trials ,June 24 A combination of Vertex Pharmaceuticals Inc's cystic fibrosis drugs succeeded in improving lung function in a pair of closely watched late-stage trials  likely offering a potential new treatment for thousands more patients with the rare lung disease and sending Vertex shares soaring.,normal
VRTX,Vertex Pharmaceuticals Incorporated,20140624,Vertex cystic fibrosis combo succeeds in key late stage trials , ,normal
ABT,Abbott Laboratories,20140624,U.S. firm Abbott to buy Russian drugmaker for up to $495 million ,MOSCOW U.S. healthcare firm Abbott Laboratories  is to buy Russian drugmaker Veropharm  for up to $495 million  giving it a manufacturing presence in a country where it has been operating for nearly 40 years  Abbott said on Tuesday.,topStory
ABT,Abbott Laboratories,20140624,UPDATE 2-U.S. firm Abbott to buy Russian drugmaker for up to $495 mln ,* Gives Abbott manufacturing presence in Russia   (Adds background about Abbott  quote),normal
ABBV,AbbVie Inc,20140624,UPDATE 1-U.S. court refuses to undo gay rights ruling in pharma case ,SAN FRANCISCO  June 24 A U.S. appeals court on Tuesday refused to disturb an order extending landmark constitutional protections for gays and lesbians  an issue which arose when a gay man was excluded from jury service at a trial between AbbVie Inc and GlaxoSmithKline Plc.,topStory
AET,Aetna Inc,20140624,Exclusive: Aetna mulls sale of Coventry Health Care assets - sources ,Aetna Inc  the third largest U.S. health insurer  is exploring a sale of some of Coventry Health Care Inc's assets worth as much as $1.5 billion  according to people familiar with the matter  a year after it acquired its rival for $5.6 billion.,topStory
AET,Aetna Inc,20140624,U.S. firm Abbott to buy Russian drugmaker for up to $495 million ,MOSCOW U.S. healthcare firm Abbott Laboratories  is to buy Russian drugmaker Veropharm  for up to $495 million  giving it a manufacturing presence in a country where it has been operating for nearly 40 years  Abbott said on Tuesday.,normal
AET,Aetna Inc,20140624,UPDATE 2-U.S. firm Abbott to buy Russian drugmaker for up to $495 mln ,* Gives Abbott manufacturing presence in Russia   (Adds background about Abbott  quote),normal
AMG,Affiliated Managers Group Inc,20140624,BRIEF-S&P 500 to add Affiliated Managers Group  drop Forest Labs ,June 24   * S&P Dow jones indices says Affiliated Managers Group Inc  to replace,topStory
T,AT&T Inc,20140624,AT&T tells lawmakers DirecTV deal won't guarantee lower prices ,WASHINGTON U.S. lawmakers grilled AT&T Inc and DirecTV on Tuesday over a proposed merger that some Democrats and public interest groups fear will result in higher costs and less competition.,topStory
T,AT&T Inc,20140624,UPDATE 3-AT&T tells lawmakers DirecTV deal won't guarantee lower prices ,(Adds comments on reduction of prices  Comcast/Time Warner competition  rewrites throughout),normal
T,AT&T Inc,20140624,DirecTV to US lawmakers on AT&T deal: broadband 'changing everything' ,WASHINGTON DirecTV's chief executive officer told lawmakers on Tuesday that the largest U.S. satellite television provider needs to merge with AT&T Inc so that it can offer Internet service to consumers that is critical to remaining competitive.,normal
T,AT&T Inc,20140624,DirecTV to US lawmakers on AT&T deal: broadband 'changing everything' ,WASHINGTON  June 24 DirecTV's chief executive officer told lawmakers on Tuesday that the largest U.S. satellite television provider needs to merge with AT&T Inc so that it can offer Internet service to consumers that is critical to remaining competitive.,normal
T,AT&T Inc,20140624,REUTERS INSIDER-WATCH LIVE: AT&T and DirecTV hearing ,June 24 (Reuters) WATCH LIVE: http://reut.rs/1qudBfD -    (Reporting By Jack Doran),normal
BBY,Best Buy Co Inc,20140624,Best Buy considers sale of China business: WSJ ,Electronics retailer Best Buy Co  is looking at a sale of or partnership for its Chinese business to better focus on its U.S. business  the Wall Street Journal reported citing people familiar with the matter.,topStory
BBY,Best Buy Co Inc,20140624,Best Buy considers sale of China business - WSJ ,June 24 Electronics retailer Best Buy Co  is looking at a sale of or partnership for its Chinese business to better focus on its U.S. business  the Wall Street Journal reported citing people familiar with the matter.,normal
BBL,BHP Billiton plc,20140624,BHP eyeing more iron ore mining jobs cuts in Australia ,SYDNEY BHP Billiton is looking at more job cuts at its flagship Australian iron ore division as a way to reduce costs  as ore prices slump and pressure mounts to rein in spending.,topStory
BBL,BHP Billiton plc,20140624,UPDATE 2-BHP eyeing more iron ore mining jobs cuts in Australia ,* BHP declines to confirm report up to 3 000 jobs could go   (Adds details of job cuts  closures in other mining sectors),normal
BA,Boeing Company (The),20140624,UPDATE 1-U.S. export lender in jeopardy as Republicans pull support ,(Adds Senate bill  comment from Senate leadership  Boeing details),topStory
BA,Boeing Company (The),20140624,U.S. investigators propose review of flight controls after Asiana crash ,WASHINGTON U.S. investigators on Tuesday said Boeing Co should consider modifying flight controls on the 777 jetliner in response to an Asiana Airlines crash in San Francisco last July that killed three people and injured more than 180.,normal
BA,Boeing Company (The),20140624,UPDATE 3-US investigators propose review of flight controls after Asiana crash ,(Adds Asiana comment in 13th paragraph and flight number in 5th paragraph),normal
BA,Boeing Company (The),20140624,Delta Air CEO to back U.S. Export-Import Bank support to Boeing: WSJ ,Delta Air Lines Inc's CEO is expected to support the U.S. Export-Import Bank's assistance for sales of Boeing Co's widebody jets  softening his stance at a time when critics are mounting pressure to wind down the agency  the Wall Street Journal reported.,normal
BA,Boeing Company (The),20140624,UPDATE 1-Delta Air CEO to back US Export-Import Bank support to Boeing-WSJ ,June 24 Delta Air Lines Inc's CEO is expected to support the U.S. Export-Import Bank's assistance for sales of Boeing Co's widebody jets  softening his stance at a time when critics are mounting pressure to wind down the agency  the Wall Street Journal reported.,normal
BA,Boeing Company (The),20140624,UPDATE 1-Delta Air CEO to back US Export-Import Bank support to Boeing -WSJ ,June 24 Delta Air Lines Inc's CEO is expected to support the U.S. Export-Import Bank's assistance for sales of Boeing Co's widebody jets  softening his stance at a time when critics are mounting pressure to wind down the agency  the Wall Street Journal reported.,normal
BA,Boeing Company (The),20140624,Delta Air CEO to back US Export-Import Bank support to Boeing -WSJ ,June 24 Delta Air Lines Inc's CEO is expected to support the U.S. Export-Import Bank's assistance for sales of Boeing Co's widebody jets  softening his stance at a time when critics are mounting pressure to wind down the agency  the Wall Street Journal reported.,normal
BMY,Bristol-Myers Squibb Company,20140624,UPDATE 1-Bristol immunotherapy prolongs survival in melanoma trial ,June 24 A late-stage trial testing Bristol-Myers Squibb Co's  cancer immunotherapy nivolumab in advanced melanoma patients was halted early after it was determined that the drug was likely to prolong survival  the company said on Tuesday.,topStory
BMY,Bristol-Myers Squibb Company,20140624,Bristol immunotherapy prolongs survival in melanoma trial ,A late stage trial testing Bristol-Myers Squibb Co's  cancer immunotherapy nivolumab in advanced melanoma patients was halted early after it was determined that the drug was likely to prolong survival  the company said on Tuesday.,normal
BMY,Bristol-Myers Squibb Company,20140624,Bristol immunotherapy prolongs survival in melanoma trial ,June 24 A late stage trial testing Bristol-Myers Squibb Co's  cancer immunotherapy nivolumab in advanced melanoma patients was halted early after it was determined that the drug was likely to prolong survival  the company said on Tuesday.,normal
KMX,CarMax Inc,20140624,Consumer groups seek FTC probe on CarMax for "deceptive" ads - NYT ,June 24 Used-car retailer CarMax Inc's  advertisements promising its vehicles undergo quality checks are deceptive as it does not fix cars recalled by automakers before reselling them  11 consumer groups said in a petition to the U.S. Federal Trade Commission  the New York Times reported.,topStory
CCL,Carnival Corporation,20140624,Caribbean competition drags down Carnival's profit forecast ,Carnival Corp   the world's largest cruise operator  forecast an adjusted profit below market estimates for the current quarter  blaming increased competition in the Caribbean.,topStory
CCL,Carnival Corporation,20140624,UPDATE 2-Caribbean competition drags down Carnival's profit forecast ,* Shares fall as much as 3 pct   (Adds details  analysts' comments; updates shares),normal
CCL,Carnival Corporation,20140624,Carnival profit more than doubles ,June 24 Carnival Corp  the world's largest cruise operator  said its quarterly profit more than doubled as costs fell.,normal
CIEN,Ciena Corporation,20140624,Update-Moody's assigns B2 CFR to Ciena Corporation. Outlook stable ,For the full text of this story please click the following link:,topStory
C,Citigroup Inc,20140624,REFILE-Citigroup names Haddad as Qatar chief executive ,DUBAI  June 23 Citigroup has named Carmen Haddad as its new chief executive officer for Qatar  the U.S. lender said on Monday.,topStory
CLX,Clorox Company (The),20140624,REFILE-Dean Foods  Clorox subpoenaed in Icahn insider-trading probe - WSJ ,June 23 U.S. authorities have sought information from Dean Foods Co and Clorox Co in connection with an insider-trading investigation of billionaire investor Carl Icahn  the Wall Street Journal reported  citing people familiar with the matter.,topStory
CLX,Clorox Company (The),20140624,RPT-Market Chatter-Corporate finance press digest ,June 24 The following corporate finance-related stories were reported by media:,normal
CLX,Clorox Company (The),20140624,Market Chatter- Corporate finance press digest ,June 24 The following corporate finance-related stories were reported by media:,normal
ELP,Companhia Paranaense de Energia (COPEL),20140624,EMERGING MARKETS-Bovespa erases gains as Petrobras  Copel disappoint ,(Updates with Brazil's Bovespa closing little changed as Petrobras  Copel erased gains),topStory
DF,Dean Foods Company,20140624,REFILE-Dean Foods  Clorox subpoenaed in Icahn insider-trading probe - WSJ ,June 23 U.S. authorities have sought information from Dean Foods Co and Clorox Co in connection with an insider-trading investigation of billionaire investor Carl Icahn  the Wall Street Journal reported  citing people familiar with the matter.,topStory
DAL,Delta Air Lines Inc,20140624,Delta CEO says airline opposes U.S. Ex-Im Bank if no reforms ,WASHINGTON Delta Air Lines Inc chief executive Richard Anderson said on Tuesday he opposes reauthorization of the U.S. Export-Import Bank unless there are changes to the way the bank finances the sale of widebody aircraft.,topStory
DAL,Delta Air Lines Inc,20140624,UPDATE 1-Delta CEO says airline opposes U.S. Ex-Im Bank if no reforms ,WASHINGTON  June 24 Delta Air Lines Inc  chief executive Richard Anderson said on Tuesday he opposes reauthorization of the U.S. Export-Import Bank unless there are changes to the way the bank finances the sale of widebody aircraft.,normal
DAL,Delta Air Lines Inc,20140624,Delta CEO says airline opposes U.S. Ex-Im Bank if no reforms ,WASHINGTON  June 24 Delta Air Lines Inc  chief executive Richard Anderson said on Tuesday he opposes reauthorization of the U.S. Export-Import Bank unless there are changes to the way the bank finances the sale of widebody aircraft.,normal
DAL,Delta Air Lines Inc,20140624,Delta Air CEO to back U.S. Export-Import Bank support to Boeing: WSJ ,Delta Air Lines Inc's CEO is expected to support the U.S. Export-Import Bank's assistance for sales of Boeing Co's widebody jets  softening his stance at a time when critics are mounting pressure to wind down the agency  the Wall Street Journal reported.,normal
DAL,Delta Air Lines Inc,20140624,UPDATE 1-Delta Air CEO to back US Export-Import Bank support to Boeing-WSJ ,June 24 Delta Air Lines Inc's CEO is expected to support the U.S. Export-Import Bank's assistance for sales of Boeing Co's widebody jets  softening his stance at a time when critics are mounting pressure to wind down the agency  the Wall Street Journal reported.,normal
DAL,Delta Air Lines Inc,20140624,UPDATE 1-Delta Air CEO to back US Export-Import Bank support to Boeing -WSJ ,June 24 Delta Air Lines Inc's CEO is expected to support the U.S. Export-Import Bank's assistance for sales of Boeing Co's widebody jets  softening his stance at a time when critics are mounting pressure to wind down the agency  the Wall Street Journal reported.,normal
DAL,Delta Air Lines Inc,20140624,Delta Air CEO to back US Export-Import Bank support to Boeing -WSJ ,June 24 Delta Air Lines Inc's CEO is expected to support the U.S. Export-Import Bank's assistance for sales of Boeing Co's widebody jets  softening his stance at a time when critics are mounting pressure to wind down the agency  the Wall Street Journal reported.,normal
ETR,Entergy Corporation,20140624,NRC raises risk significance for 2013 Arkansas nuclear plant accident ,June 24 The U.S. Nuclear Regulatory Commission (NRC) said on Tuesday that after a series of investigations  it has declared a 2013 incident at an Arkansas nuclear power plant to be of substantial safety significance  the penultimate of four emergency classifications.,normal
EPD,Enterprise Products Partners LP,20140624,With Bakken oil pipeline  Enterprise goes where others have failed ,BISMARCK North Dakota/NEW YORK Enterprise Products Partners LP proposed on Tuesday to build the first direct pipeline moving shale oil from the Bakken formation to the Cushing  Oklahoma storage hub  hoping to succeed where others have failed.,topStory
EPD,Enterprise Products Partners LP,20140624,North Dakota aims to double pipeline capacity; Enterprise helps ,BISMARCK North Dakota North Dakota intends to nearly double its oil and gas pipeline capacity within two years as part of a plan to curb the wasteful flaring of natural gas in the bustling Bakken oil field  the state's governor said on Tuesday.,normal
EPD,Enterprise Products Partners LP,20140624,WRAPUP 1-North Dakota aims to double pipeline capacity; Enterprise helps ,BISMARCK  North Dakota  June 24 North Dakota intends to nearly double its oil and gas pipeline capacity within two years as part of a plan to curb the wasteful flaring of natural gas in the bustling Bakken oil field  the state's governor said on Tuesday.,normal
EPD,Enterprise Products Partners LP,20140624,UPDATE 4-With Bakken oil pipeline  Enterprise goes where others have failed ,(Adds comment from terminal and railroad logistics company),normal
EPD,Enterprise Products Partners LP,20140624,Enterprise Products plans Bakken-to-Cushing pipeline ,BISMARCK  North Dakota  June 24 Enterprise Products Partners LP said on Tuesday it would build a 1 200-mile pipeline from North Dakota's Bakken oil fields to Cushing  Oklahoma.,normal
F,Ford Motor Company,20140624,Ford unveils new-generation Edge as a global crossover vehicle ,DEARBORN Michigan Motor Co on Tuesday unveiled the 2015 Edge  which it hopes will strengthen sales in the fast-growing near-luxury crossover vehicle markets in China  Europe and the Americas.,topStory
F,Ford Motor Company,20140624,Ford unveils new-generation Edge as a global crossover vehicle ,DEARBORN  Michigan  June 24 Motor Co on Tuesday unveiled the 2015 Edge  which it hopes will strengthen sales in the fast-growing near-luxury crossover vehicle markets in China  Europe and the Americas.,normal
GEK,General Electric Capital Corporation,20140624,Alstom and GE chiefs celebrate 'three-fold win' ,BELFORT France In a joint trip to the eastern town of Belfort that is the cradle of their cooperation in France  the bosses of Alstom  and General Electric  defended their tie-up as good for business  jobs and France. | Video ,topStory
GEK,General Electric Capital Corporation,20140624,Alstom and GE chiefs celebrate "three-fold win" ,BELFORT  France  June 24 In a joint trip to the eastern town of Belfort that is the cradle of their cooperation in France  the bosses of Alstom and General Electric  defended their tie-up as good for business  jobs and France.,normal
GEK,General Electric Capital Corporation,20140624,Alstom workers relieved as GE wins takeover bid ,BELFORT France For Alstom workers in eastern France  news that General Electric has beaten rival bidder Siemens to a tie-up with their firm has brought relief and a response perhaps best summed up by the saying "better the devil you know". | Video ,normal
GEK,General Electric Capital Corporation,20140624,Asiana crash hearing to focus on pilots: U.S. safety board ex-chair ,WASHINGTON A former U.S. transportation safety regulator said pilot error will likely be the focus of a hearing on Tuesday on the cause of an Asiana Airlines crash at San Francisco International Airport last July in which three passengers died.,normal
GE,General Electric Company,20140624,Alstom and GE chiefs celebrate 'three-fold win' ,BELFORT France In a joint trip to the eastern town of Belfort that is the cradle of their cooperation in France  the bosses of Alstom  and General Electric  defended their tie-up as good for business  jobs and France. | Video ,topStory
GE,General Electric Company,20140624,Alstom and GE chiefs celebrate "three-fold win" ,BELFORT  France  June 24 In a joint trip to the eastern town of Belfort that is the cradle of their cooperation in France  the bosses of Alstom and General Electric  defended their tie-up as good for business  jobs and France.,normal
GE,General Electric Company,20140624,Alstom workers relieved as GE wins takeover bid ,BELFORT France For Alstom workers in eastern France  news that General Electric has beaten rival bidder Siemens to a tie-up with their firm has brought relief and a response perhaps best summed up by the saying "better the devil you know". | Video ,normal
GE,General Electric Company,20140624,Asiana crash hearing to focus on pilots: U.S. safety board ex-chair ,WASHINGTON A former U.S. transportation safety regulator said pilot error will likely be the focus of a hearing on Tuesday on the cause of an Asiana Airlines crash at San Francisco International Airport last July in which three passengers died.,normal
GEL,Genesis Energy LP,20140624,NZ's Contact Energy says to buy gas from Genesis ,WELLINGTON  June 25 New Zealand's largest listed power company Contact Energy on Wednesday said it had entered an agreement with Genesis Energy to buy gas from January 2015.,topStory
GSK,GlaxoSmithKline PLC,20140624,UPDATE 1-U.S. court refuses to undo gay rights ruling in pharma case ,SAN FRANCISCO  June 24 A U.S. appeals court on Tuesday refused to disturb an order extending landmark constitutional protections for gays and lesbians  an issue which arose when a gay man was excluded from jury service at a trial between AbbVie Inc and GlaxoSmithKline Plc.,topStory
GSK,GlaxoSmithKline PLC,20140624,UPDATE 2-U.S. FDA cites GSK flu vaccine plant for quality violations ,WASHINGTON  June 24 A GlaxoSmithKline Plc  plant in Canada that makes the flu vaccine Flulaval has been cited by the U.S. Food and Drug Administration for failing to meet quality control standards.,normal
GSK,GlaxoSmithKline PLC,20140624,FDA warns GSK on manufacturing practices at Canada plant ,June 24 The U.S. Food and Drug Administration said an unit of GlaxoSmithKline Plc violated quality requirements during the manufacture of influenza vaccine Flulaval.,normal
HOG,Harley-Davidson Inc,20140624,Harley creates buzz with electric bike  'hog' fans snort ,Howie Barokas had just ridden his Harley-Davidson Ultra Limited on Highway 50 across the searing Nevada desert when he heard about the company's new electric motorcycle. | Video ,topStory
HOG,Harley-Davidson Inc,20140624,Harley creates buzz with electric bike  "hog" fans snort ,June 24 Howie Barokas had just ridden his Harley-Davidson Ultra Limited on Highway 50 across the searing Nevada desert when he heard about the company's new electric motorcycle.,normal
HSBC,HSBC Holdings plc,20140624,HSBC to halve countries served by private bank  sells assets ,LONDON HSBC  is halving the number of countries its private bank serves after selling a portfolio of Swiss banking assets  the latest bank to narrow its wealth management focus in a bid to improve profitability and cut compliance risk.,topStory
HSBC,HSBC Holdings plc,20140624,UPDATE 1-HSBC to halve countries served by private bank  sells assets ,LONDON  June 24 HSBC is halving the number of countries its private bank serves after selling a portfolio of Swiss banking assets  the latest bank to narrow its wealth management focus in a bid to improve profitability and cut compliance risk.,normal
HSBC,HSBC Holdings plc,20140624,Exclusive: Iran seeks to resolve HSBC freeze on some trade financing - sources ,LONDON/ANKARA Iran is lobbying to get HSBC  to process humanitarian trade transactions that Europe's biggest bank has frozen because of concerns about potential breaches of international sanctions  sources familiar with the trades told Reuters.,normal
HSBC,HSBC Holdings plc,20140624,HSBC sells $12 bln of Swiss private bank assets to LGT ,LONDON/ZURICH  June 24 HSBC Holdings  said it is selling $12.5 billion of private banking assets in Switzerland to Liechtenstein's biggest bank LGT Group Foundation .,normal
HSBC,HSBC Holdings plc,20140624,BRIEF-HSBC to some private banking assets to LGT Bank ,* HSBC private bank (Suisse) SA agrees sale of portfolio of private banking assets,normal
HSEA,HSBC Holdings plc,20140624,HSBC to halve countries served by private bank  sells assets ,LONDON HSBC  is halving the number of countries its private bank serves after selling a portfolio of Swiss banking assets  the latest bank to narrow its wealth management focus in a bid to improve profitability and cut compliance risk.,topStory
