AAL,American Airlines Group Inc,20140513,Smoke at Chicago-area radar center cancels hundreds of flights ,CHICAGO Smoke at an Illinois flight control center halted air traffic at Chicago airports for about three hours on Tuesday and forced hundreds of flights to be canceled  officials said.,topStory
STPP,iPath US Treasury Steepener ETN,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
MSFT,Microsoft Corporation,20140513,UPDATE 1-Microsoft slashes Xbox price  frees up Netflix and other popular apps ,(Recasts first paragraph with entertainment apps  adds executive quote  details throughout),topStory
MSFT,Microsoft Corporation,20140513,Microsoft to sell Xbox One for $399 in June ,SAN FRANCISCO  May 13 Microsoft Corp  slashed the price of its Xbox One gaming console by $100  matching Sony Corp's Playstation 4 after about six months on the market.,normal
MDLZ,Mondelez International Inc,20140513,RLPC-Banks prepare $10 bln loan for Dutch Master Blenders ,LONDON  May 13 Banks have lined up around 7.5 billion euros ($10.32 billion) of loans to refinance debt in Dutch coffee and tea company DE Master Blenders 1753 and back its merger with the coffee business of Mondelez International   banking sources said on Tuesday.,topStory
NFLX,Netflix Inc,20140513,UPDATE 1-Microsoft slashes Xbox price  frees up Netflix and other popular apps ,(Recasts first paragraph with entertainment apps  adds executive quote  details throughout),topStory
NICE,NICE Ltd,20140513,UK body blocks earlier use of J&J prostate cancer drug ,LONDON Britain's healthcare cost-effectiveness agency NICE said on Wednesday that a Johnson & Johnson prostate cancer drug  originally invented in Britain  was not worth giving to patients who have yet to receive chemotherapy.,topStory
NICE,NICE Ltd,20140513,UK body blocks earlier use of J&J prostate cancer drug ,LONDON  May 14 Britain's healthcare cost-effectiveness agency NICE said on Wednesday that a Johnson & Johnson prostate cancer drug  originally invented in Britain  was not worth giving to patients who have yet to receive chemotherapy.,normal
QCOM,QUALCOMM Incorporated,20140513,Ex-Qualcomm employees charged with insider trading ,Two former U.S. sales directors at chipmaker Qualcomm Inc have been charged with insider trading  according to an indictment unsealed on Monday.,topStory
QCOM,QUALCOMM Incorporated,20140513,Ex-Qualcomm employees charged with insider trading ,May 12 Two former U.S. sales directors at chipmaker Qualcomm Inc have been charged with insider trading  according to an indictment unsealed on Monday.,normal
REGN,Regeneron Pharmaceuticals Inc,20140513,Gene Signal in talks for a partner for eye disease drug ,ZURICH Gene Signal is in talks with potential partners to help develop its new treatment for a leading cause of blindness in the elderly  the biotech firm's chief executive said on Tuesday.,topStory
REGN,Regeneron Pharmaceuticals Inc,20140513,Gene Signal in talks for a partner for eye disease drug ,ZURICH  May 13 Gene Signal is in talks with potential partners to help develop its new treatment for a leading cause of blindness in the elderly  the biotech firm's chief executive said on Tuesday.,normal
SLM,SLM Corporation,20140513,UPDATE 1-Sallie Mae to refund military members $60 mln for student loans ,WASHINGTON  May 13 Student loan giant Sallie Mae  and student loan servicer Navient Corp will pay a refund totaling about $60 million to members of the military whose interest rates it failed to cap at 6 percent  in violation of federal law  the U.S. Justice Department said on Tuesday.,topStory
SLM,SLM Corporation,20140513,Sallie Mae to refund military members on student loans ,WASHINGTON  May 13 Student loan provider Sallie Mae will refund around $60 million to members of the military whose interest rates it failed to cap at 6 percent  in violation of federal law  the U.S. Justice Department announced Tuesday.,normal
SLMBP,SLM Corporation,20140513,UPDATE 1-Sallie Mae to refund military members $60 mln for student loans ,WASHINGTON  May 13 Student loan giant Sallie Mae  and student loan servicer Navient Corp will pay a refund totaling about $60 million to members of the military whose interest rates it failed to cap at 6 percent  in violation of federal law  the U.S. Justice Department said on Tuesday.,topStory
SLMBP,SLM Corporation,20140513,Sallie Mae to refund military members on student loans ,WASHINGTON  May 13 Student loan provider Sallie Mae will refund around $60 million to members of the military whose interest rates it failed to cap at 6 percent  in violation of federal law  the U.S. Justice Department announced Tuesday.,normal
TTWO,Take-Two Interactive Software Inc,20140513,UPDATE 2-Take-Two profit  revenue drop but beat forecasts ,SAN FRANCISCO  May 13 Video game publisher Take-Two Interactive Software's profit and revenue fell less than expected in the fourth quarter and it forecast fiscal 2015 earnings in line with Wall Street's estimates on Tuesday.,topStory
TTWO,Take-Two Interactive Software Inc,20140513,Take-Two revenue drops but beats Street ,SAN FRANCISCO  May 13 Video game publisher Take-Two Interactive Software on Tuesday reported a 23 percent drop in revenue in its fiscal fourth quarter but beat Wall Street expectations  helped by sales of "Grand Theft Auto V" and "NBA 2K14.",normal
CG,The Carlyle Group LP,20140513,Carlyle to sell or float UK dental chain in a 1 billion STG deal: Sky News ,Integrated Dental Holdings  UK's largest privately owned dental chain  will either be put up for sale or floated on the stock market by private equity firm Carlyle Group LP   Sky News reported Monday.,topStory
TCGP,The Carlyle Group LP,20140513,Carlyle to sell or float UK dental chain in a 1 billion STG deal: Sky News ,Integrated Dental Holdings  UK's largest privately owned dental chain  will either be put up for sale or floated on the stock market by private equity firm Carlyle Group LP   Sky News reported Monday.,topStory
TIG,TiGenix,20140513,BRIEF-Tigenix Q1 ChondroCelect sales up 26 pct ,* Agreements to license marketing and distribution rights of ChondroCelect to Sobi  and to sell Dutch manufacturing facility to Pharmacell  signed,topStory
WIX,Wixcom Ltd,20140513,Israel's Wix.com lifts forecast after 86 pct jump in Q1 revenue ,* Q1 adj loss $0.30 vs $0.36 f'cast  revs $28.8 mln vs $26.9 mln,topStory
AEM,Agnico Eagle Mines Limited,20140513,Yamana hires Canadian mining executive ahead of Osisko acquisition ,TORONTO  May 13 Yamana Gold Inc said on Tuesday that former Agnico Eagle Mines Ltd executive Daniel Racine would head its Canadian mining and development operations  a key hire for the Latin America-focused company as it increases its presence in its home base of Canada.,topStory
AGN,Allergan plc,20140513,CANADA STOCKS-TSX climbs with Encana  energy shares ,* TSX rises 24.87 points  or 0.17 percent  to 14 679.81     * Seven of the 10 main index sectors advance     * Encana jumps 2 percent after reporting results     * Valeant slips after plans to raise Allergan bid      By John Tilak     TORONTO  May 13 Canada's main stock index advanced on Tuesday as higher oil prices boosted energy producers and strong quarterly results fueled a jump in shares of Encana Corp.      Encana climbed 2 percent after the natural gas producer said its first-,topStory
AGN,Allergan plc,20140513,Deals of the day- Mergers and acquisitions ,May 13 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Tuesday:,normal
AGN,Allergan plc,20140513,Valeant to sweeten Allergan bid  Ackman turns up heat ,Valeant Pharmaceuticals International Inc  said on Tuesday it will sweeten its unsolicited $47 billion offer for drugmaker Allergan Inc   and activist shareholder Pershing Square Capital Management said it would ask for a non-binding vote to pressure Allergan to the negotiating table.,normal
AGN,Allergan plc,20140513,UPDATE 3-Valeant to sweeten Allergan bid  Ackman turns up heat ,(Recasts with Pershing Square calling non-binding shareholder vote),normal
AGN,Allergan plc,20140513,Meeting 'self-serving exercise' for Pershing Square: Allergan ,A meeting of Allergan Inc  shareholders called by the company's biggest investor  Pershing Square Capital Management  is "a self-serving exercise" aimed at furthering an unsolicited takeover bid by Valeant Pharmaceuticals Inc   an Allergan spokesperson said on Tuesday.,normal
AGN,Allergan plc,20140513,Meeting 'self-serving exercise' for Pershing Square - Allergan ,May 13 A meeting of Allergan Inc  shareholders called by the company's biggest investor  Pershing Square Capital Management  is "a self-serving exercise" aimed at furthering an unsolicited takeover bid by Valeant Pharmaceuticals Inc  an Allergan spokesperson said on Tuesday.,normal
AGN,Allergan plc,20140513,Ackman calls Allergan shareholders to meeting on Valeant talks ,Pershing Square Capital Management  led by investor William Ackman  went directly to Allergan Inc  shareholders on Tuesday and asked them to vote on its joint $47 billion bid with Valeant Pharmaceuticals International  for the company.,normal
AGN,Allergan plc,20140513,Ackman calls Allergan shareholders to meeting on Valeant talks ,May 13 Pershing Square Capital Management  led by investor William Ackman  went directly to Allergan Inc  shareholders on Tuesday and asked them to vote on its joint $47 billion bid with Valeant Pharmaceuticals International  for the company.,normal
AGN,Allergan plc,20140513,CANADA STOCKS-Encana  other energy shares push TSX higher ,* TSX rises 20.06 points  or 0.14 percent  to 14 675     * Seven of the 10 main index sectors advance     * Encana jumps 2.8 percent after reporting results     * Valeant climbs; says it will "improve" Allergan bid      By John Tilak     TORONTO  May 13 Canada's main stock index rose on Tuesday as strong quarterly results fueled a jump in shares of Encana Corp and higher oil prices boosted other energy producers.     Encana climbed 2.8 percent after the natural gas producer's first-q,normal
AGN,Allergan plc,20140513,Valeant says plans to "improve" offer for Allergan ,Valeant Pharmaceuticals International Inc VRX.TO said on Tuesday it will "improve" its $47 billion takeover offer for drugmaker Allergan Inc AGN.N  a day after the U.S. company rejected the bid.,normal
AMH,American Homes 4 Rent,20140513,UPDATE 1-AH4R tightens pricing on debut home-rental backed bond ,NEW YORK  May 13 (IFR) - American Homes 4 Rent (AH4R) is set to break new ground in the nascent market for rental-backed securitizations after ratcheting in pricing on its US$482.7m debut issue to well inside those on two previous deals sold by rivals.,topStory
AEUA,Anadarko Petroleum Corporation,20140513,Anadarko raises dividend by 50 percent ,May 13 Anadarko Petroleum Corp boosted its quarterly dividend by 50 percent on Tuesday  its second increase in less than a year.,topStory
APC,Anadarko Petroleum Corporation,20140513,Anadarko raises dividend by 50 percent ,May 13 Anadarko Petroleum Corp boosted its quarterly dividend by 50 percent on Tuesday  its second increase in less than a year.,topStory
AZN,Astrazeneca PLC,20140513,Call for 10-year Pfizer pledge as CEO faces new grilling ,LONDON  May 14 Pfizer faces calls to extend its commitment to UK jobs and research to least 10 years as the U.S. drugmaker's boss prepares for a second day of questioning from lawmakers over its plan to buy AstraZeneca .,topStory
AZN,Astrazeneca PLC,20140513,UK lawmakers give Pfizer stick as it waves carrot at AstraZeneca ,LONDON U.S. drugmaker Pfizer hinted it could raise its proposed $106 billion offer if AstraZeneca would only engage in talks  as its boss was grilled by UK lawmakers on his commitment to British research spending and jobs. | Video ,normal
AZN,Astrazeneca PLC,20140513,Housebuilders push Britain's FTSE to highest close this century ,LONDON  May 13 Britain's top share index hit its highest closing level since December 1999 on Tuesday  led by housebuilding stocks  with technical analysts betting the broader market could push on further still.,normal
AZN,Astrazeneca PLC,20140513,Pfizer pursuit of Astra 'tax-driven'  says Swedish finance minister ,COPENHAGEN Sweden's finance minister labeled U.S. drugmaker Pfizer's proposed $106 billion offer for drugs firm AstraZeneca as "tax-driven" on Tuesday and warned that jobs would be lost if it went through.,normal
AZN,Astrazeneca PLC,20140513,Pfizer pursuit of Astra "tax-driven"  says Swedish finance minister ,COPENHAGEN  May 13 Sweden's finance minister labelled U.S. drugmaker Pfizer's proposed $106 billion offer for drugs firm AstraZeneca as "tax-driven" on Tuesday and warned that jobs would be lost if it went through.,normal
AZN,Astrazeneca PLC,20140513,FTSE's gains held back by weaker easyJet ,LONDON  May 13 Britain's top share index lost ground after touching its highest level in more than 14 years on Tuesday  with easyJet among the biggest decliners as investors took profits on the airline after a powerful rally.,normal
AZN,Astrazeneca PLC,20140513,UPDATE 6-UK lawmakers give Pfizer stick as it waves carrot at AstraZeneca ,* AstraZeneca says "opportunistic" bid risks R&D disruption,normal
AZN,Astrazeneca PLC,20140513,UK minister says intervention on AstraZeneca  Pfizer 'tricky' ,LONDON Intervening in Pfizer's proposed acquisition of AstraZeneca using public interest rules is "quite tricky" and could be a lengthy process  British business minister Vince Cable said on Tuesday.,normal
AZN,Astrazeneca PLC,20140513,UK minister says intervention on AstraZeneca  Pfizer "tricky" ,LONDON  May 13 Intervening in Pfizer's  proposed acquisition of AstraZeneca using public interest rules is "quite tricky" and could be a lengthy process  British business minister Vince Cable said on Tuesday.,normal
AZN,Astrazeneca PLC,20140513,Slightly firmer FTSE bruised by weaker easyJet ,LONDON  May 13 Britain's top share index lost ground after touching its highest in more than 14 years on Tuesday  with easyJet among the biggest decliners as investors took profits on the airline after a powerful rally.,normal
T,AT&T Inc,20140513,AT&T in talks to buy DirecTV for nearly $50 billion: sources ,NEW YORK/LOS ANGELES AT&T Inc is in active talks to buy satellite TV provider DirecTV and may complete a deal in the next few weeks that could be worth close to $50 billion  two people familiar with the matter said on Monday. | Video ,topStory
T,AT&T Inc,20140513,US STOCKS-Futures point to flat open after data; S&P at record ,* Futures up: Dow 33 pts  S&P 0.7 pt  Nasdaq 3.75 pts   (Updates with economic data),normal
T,AT&T Inc,20140513,US STOCKS-Futures flat  Dow and S&P 500 at record levels ,NEW YORK  May 13 U.S. stock index futures were little changed on Tuesday as investors found few reasons to keep pushing shares higher following a sharp rally in the previous session that took the Dow and S&P 500 to record closes.,normal
T,AT&T Inc,20140513,UPDATE 4-AT&T in talks to buy DirecTV for nearly $50 bln -sources ,NEW YORK/LOS ANGELES  May 12 AT&T Inc is in active talks to buy satellite TV provider DirecTV and may complete a deal in the next few weeks that could be worth close to $50 billion  two people familiar with the matter said on Monday.,normal
BCS,Barclays PLC,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
BCS,Barclays PLC,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
BCS,Barclays PLC,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
BLK,BlackRock Inc,20140513,BlackRock holds 5.149 percent of Italy's Popolare Milano - Consob ,MILAN BlackRock Inc  holds a 5.149 percent stake in Italian cooperative lender Banca Popolare di Milano  as of May 6  according to a filing from market regulator Consob on Tuesday.,topStory
BLK,BlackRock Inc,20140513,BlackRock holds 5.149 pct of Italy's Popolare Milano - Consob ,MILAN  May 13 BlackRock Inc holds a 5.149 percent stake in Italian cooperative lender Banca Popolare di Milano as of May 6  according to a filing from market regulator Consob on Tuesday.,normal
BA,Boeing Company (The),20140513,Boeing South Carolina catches up on 72 percent of work ,NORTH CHARLESTON  South Carolina Employees at Boeing's 787 manufacturing plant in South Carolina have reduced behind-schedule aircraft work by nearly three-quarters  stabilizing production and earning a one-time bonus  Boeing said on Monday.,topStory
BA,Boeing Company (The),20140513,UPDATE 1-Boeing South Carolina catches up on 72 percent of work ,NORTH CHARLESTON  South Carolina  May 12 (Reuters) - E mployees at Boeing's 787 manufacturing plant in South Carolina have reduced behind-schedule aircraft work by nearly three-quarters  stabilizing production and earning a one-time bonus  Boeing said on Monday.,normal
BP,BP plc,20140513,UPDATE 2-Kuwait signs $3 bln deal to buy gas from BP ,* Kuwait expects to import 2.5 mln tonnes of gas annually,topStory
CX,Cemex SAB de CV,20140513,Mexican cement baron dies  made Cemex a global brand ,MONTERREY Lorenzo Zambrano  one of Mexico's best-known businessmen who turned Cemex into a global cement giant but also nearly brought the company crashing down  died on Monday aged 70.,topStory
CX,Cemex SAB de CV,20140513,UPDATE 3-Mexican cement baron dies  made Cemex a global brand ,MONTERREY  May 12 Lorenzo Zambrano  one of Mexico's best-known businessmen who turned Cemex into a global cement giant but also nearly brought the company crashing down  died on Monday aged 70.,normal
CVX,Chevron Corporation,20140513,Patton Boggs firm defends role reversal in Chevron pollution case ,NEW YORK Washington law and lobbying firm Patton Boggs is defending a decision to distance itself from former Ecuadorian clients  villagers who for years have fought for the enforcement of a multibillion-dollar environmental court order against Chevron Corp.,topStory
CVX,Chevron Corporation,20140513,Nigerian court says has jurisdiction over Chevron asset dispute ,LAGOS  May 13 A Nigerian judge has ruled the Federal High Court should have jurisdiction over Chevron's  asset sale dispute with Nigeria's Brittania-U  the local firm's lawyers said  dealing a blow to Chevron which had hoped to have the case dismissed.,normal
C,Citigroup Inc,20140513,RPT-UPDATE 2-Citigroup Asia Pacific executive Faruqui leaves for ANZ ,(Repeats story published late Tuesday; no changes to text),topStory
C,Citigroup Inc,20140513,UPDATE 2-Citigroup Asia Pacific executive Faruqui leaves for ANZ ,May 13 Farhan Faruqui  one of Citigroup Inc's  highest-ranking bankers in Asia  is leaving the company to work for rival Australia and New Zealand Banking Group Ltd   according to three people familiar with the matter.,normal
C,Citigroup Inc,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
KO,Coca-Cola Company (The),20140513,US STOCKS-Dow  S&P 500 end at record highs again; Nasdaq slips ,* Homebuilders rally; Keurig up on Coke's plan to raise stake,topStory
KO,Coca-Cola Company (The),20140513,US STOCKS-S&P 500 briefly rises above 1 900; Nasdaq pulls back ,* Homebuilders rally; Keurig up on Coke's plan to raise stake,normal
KO,Coca-Cola Company (The),20140513,US STOCKS-Wall St inches up; S&P 500 climbs above 1 900 ,* Homebuilders rally; Keurig up on Coke's plan to raise stake,normal
KO,Coca-Cola Company (The),20140513,CORRECTED-US STOCKS-Wall St edges up; Dow  S&P 500 hit records ,(Corrects second bullet point and paragraph 9 to read that Coca-Cola "will raise" its stake in Keurig from "raised"),normal
KO,Coca-Cola Company (The),20140513,UPDATE 2-Coca-Cola to boost stake in Keurig to become biggest shareholder ,(Adds comment from industry expert  background; updates shares),normal
