AAPL,Apple Inc,20140520,CORRECTED-UPDATE 3-Microsoft's new Surface tablet takes aim at Apple's MacBook ,(Corrects 5th paragraph; starting price of MacBook Air is $899  not $629),topStory
CHSCM,CHS Inc,20140520,UPDATE 2-U.S. approves deal that makes biggest flour miller even bigger ,(Adds comment from a critic of the approval  details on flour market  paragraphs 9-11),normal
CHSCN,CHS Inc,20140520,U.S. approves deal that makes biggest flour miller even bigger ,WASHINGTON ConAgra Foods Inc   Cargill Inc  and CHS Inc  won U.S. antitrust approval on Tuesday to merge their North American flour mill operations after agreeing to sell four mills to a Japanese company.,topStory
CHSCN,CHS Inc,20140520,UPDATE 2-U.S. approves deal that makes biggest flour miller even bigger ,(Adds comment from a critic of the approval  details on flour market  paragraphs 9-11),normal
CHSCO,CHS Inc,20140520,U.S. approves deal that makes biggest flour miller even bigger ,WASHINGTON ConAgra Foods Inc   Cargill Inc  and CHS Inc  won U.S. antitrust approval on Tuesday to merge their North American flour mill operations after agreeing to sell four mills to a Japanese company.,topStory
CHSCO,CHS Inc,20140520,UPDATE 2-U.S. approves deal that makes biggest flour miller even bigger ,(Adds comment from a critic of the approval  details on flour market  paragraphs 9-11),normal
CHSCP,CHS Inc,20140520,U.S. approves deal that makes biggest flour miller even bigger ,WASHINGTON ConAgra Foods Inc   Cargill Inc  and CHS Inc  won U.S. antitrust approval on Tuesday to merge their North American flour mill operations after agreeing to sell four mills to a Japanese company.,topStory
CHSCP,CHS Inc,20140520,UPDATE 2-U.S. approves deal that makes biggest flour miller even bigger ,(Adds comment from a critic of the approval  details on flour market  paragraphs 9-11),normal
CME,CME Group Inc,20140520,CME Group faces battle in bid to shrink board ,CHICAGO  May 20 CME Group Inc  the world's largest futures market operator  aims to win shareholder approval on Wednesday to halve the number of board members who represent Chicago Mercantile Exchange users.,topStory
DISH,DISH Network Corporation,20140520,Verizon CEO says not interested in Dish  focus on online streaming ,NEW YORK  May 20 Verizon's CEO Lowell McAdam shot down rumors that the company was in potential merger talks with satellite operator Dish Network on Tuesday  days after rival AT&T announced plans to buy no 1. U.S. satellite operator DirecTV.,topStory
GILD,Gilead Sciences Inc,20140520,U.S. health insurers say Gilead hepatitis C drug too costly ,The leading U.S. health insurance trade group on Tuesday hit out at the extremely high cost of new specialty medicines  accusing drugmakers of taking advantage of the insurance system by pricing products at unsustainable levels.,topStory
GILD,Gilead Sciences Inc,20140520,UPDATE 1-U.S. health insurers say Gilead hepatitis C drug too costly ,May 20 The leading U.S. health insurance trade group on Tuesday hit out at the extremely high cost of new specialty medicines  accusing drugmakers of taking advantage of the insurance system by pricing products at unsustainable levels.,normal
GILD,Gilead Sciences Inc,20140520,U.S. health insurers say Gilead hepatitis C drug too costly ,May 20 The leading U.S. health insurance trade group on Tuesday hit out at the extremely high cost of new specialty medicines  accusing drugmakers of taking advantage of the insurance system by pricing products at unsustainable levels.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
FLAT,iPath US Treasury Flattener ETN,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
FLAT,iPath US Treasury Flattener ETN,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
FLAT,iPath US Treasury Flattener ETN,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
FLAT,iPath US Treasury Flattener ETN,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
STPP,iPath US Treasury Steepener ETN,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
STPP,iPath US Treasury Steepener ETN,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
STPP,iPath US Treasury Steepener ETN,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
STPP,iPath US Treasury Steepener ETN,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
MSFT,Microsoft Corporation,20140520,CORRECTED-UPDATE 3-Microsoft's new Surface tablet takes aim at Apple's MacBook ,(Corrects 5th paragraph; starting price of MacBook Air is $899  not $629),topStory
MSFT,Microsoft Corporation,20140520,China bans use of Microsoft's Windows 8 on government computers ,BEIJING China has banned government use of Windows 8  Microsoft Corp's latest operating system  a blow to a U.S. technology company that has long struggled with sales in the country.,normal
MSFT,Microsoft Corporation,20140520,UPDATE 1-China bans use of Microsoft's Windows 8 on gov't computers ,BEIJING  May 20 China has banned government use of Windows 8  Microsoft Corp's latest operating system  a blow to a U.S. technology company that has long struggled with sales in the country.,normal
MSFT,Microsoft Corporation,20140520,Microsoft shows off new  larger Surface Pro tablet ,NEW YORK  May 20 Microsoft Corp on Tuesday unveiled a larger but lighter version of its Surface Pro tablet as it ramps up efforts to make an impact on the mobile computing market and counter the popularity of Apple Inc's  iPad and MacBook Air laptop.,normal
MSFT,Microsoft Corporation,20140520,China bans use of Microsoft's Windows 8 on government computers ,BEIJING  May 20 China has banned government use of Windows 8  Microsoft Corp's latest operating system (OS)  in a blow to the U.S. technology company which has long been plagued by sales woes in the country.,normal
TRIP,TripAdvisor Inc,20140520,UPDATE 1-Italy's antitrust watchdog investigates TripAdvisor  booking sites ,MILAN  May 20 Italy's competition watchdog is looking into TripAdvisor to see if the influential holiday review website takes appropriate measures to avoid publishing fake opinions.,topStory
TRIP,TripAdvisor Inc,20140520,Italy's antitrust watchdog investigates TripAdvisor  booking sites ,MILAN  May 20 Italy's competition watchdog is looking into TripAdvisor to see if the influential holiday review website takes appropriate measures to avoid publishing fake opinions.,normal
VOD,Vodafone Group Plc,20140520,Vodafone sees 2015 earnings hit by network investment ,LONDON Britain's Vodafone  said next year's earnings would be hit by vital investment in its network  as it again wrote down the value of some of its European business - this time by 6.6 billion pounds - owing to tough market conditions.,topStory
VOD,Vodafone Group Plc,20140520,UPDATE 4-Vodafone sees 2015 earnings hit by network investment ,LONDON  May 20 Britain's Vodafone said next year's earnings would be hit by vital investment in its network  as it again wrote down the value of some of its European business - this time by 6.6 billion pounds - owing to tough market conditions.,normal
VOD,Vodafone Group Plc,20140520,European shares slip  pegged back by Vodafone ,LONDON  May 20 European shares inched lower on Tuesday  held back by Vodafone after the world's second-largest mobile network operator reported 6.6 billion pounds ($11 billion) in impairment costs.,normal
VOD,Vodafone Group Plc,20140520,UK's FTSE flounders as Vodafone and retailers fall ,LONDON  May 20 Sell-offs in mobile operator Vodafone and retailer Marks & Spencer dragged down Britain's blue-chip equity index on Tuesday  after disappointing forecasts from both companies.,normal
VOD,Vodafone Group Plc,20140520,European shares slip  pegged back by Vodafone ,LONDON  May 20 European shares inched lower on Tuesday  held back by Vodafone after the world's second-largest mobile network operator reported 6.6 billion pounds ($11 billion) in impairment costs.,normal
VOD,Vodafone Group Plc,20140520,UK's FTSE hit by drops in Vodafone and retailers ,LONDON  May 20 Sell-offs in mobile operator Vodafone and retailer Marks & Spencer. dragged Britain's blue-chip equity index lower on Tuesday  after disappointing forecasts.,normal
VOD,Vodafone Group Plc,20140520,UK's FTSE falters as Vodafone and M&S fall ,LONDON  May 20 Sell-offs in mobile operator Vodafone and retailer Marks & Spencer dragged down Britain's blue-chip equity index on Tuesday  after both groups unveiled disappointing forecasts.,normal
VOD,Vodafone Group Plc,20140520,Yield-starved investors seek dividend income as share rally falters ,* Vodafone  Apple  BHP Billiton screen as reliable payers,normal
VOD,Vodafone Group Plc,20140520,European shares slip  Vodafone drops after results ,LONDON  May 20 The pan-European FTSEurofirst 300 index slipped on Tuesday as Vodafone  the world's second-largest mobile network operator  sank after reporting huge impairment costs.,normal
VOD,Vodafone Group Plc,20140520,Vodafone  M&S cap Britain's FTSE on weak outlook ,* M&S also falls as market sees downgrade to future earnings,normal
ABT,Abbott Laboratories,20140520,Fitch Revises Abbott Laboratories' Rating Outlook to Negative from Stable ,(The following statement was released by the rating agency) CHICAGO  May 20 (Fitch) Fitch Ratings has affirmed the ratings and revised  Abbott Laboratories' (ABT/Abbott) Rating Outlook to Negative from Stable. The  rating action follows ABT's announced agreement to acquire CFR Pharmaceuticals  (CFRP) for approximately $2.9 billion in cash and the assumption of roughly $500  million of CFRP gross debt. Fitch has affirmed the company's ratings  including the long-term Issuer Default  Rating (IDR) ,topStory
AGN,Allergan plc,20140520,CANADA STOCKS-TSX steady as miners  Valeant climb; financials slip ,* TSX rises 10.45 points  or 0.07 percent  to 14 525.19     * Six of the 10 main index sectors advance     * Valeant higher after commenting on Allergan bid plans      By John Tilak     TORONTO  May 20 Canada's main stock index was little changed on Tuesday as an advance in the materials sector and gains in Valeant Pharmaceuticals International Inc  helped offset weakness in some financial shares.     Valeant shares jumped 3.7 percent after the drugmaker said that when it announces a,topStory
AGN,Allergan plc,20140520,Valeant says improved bid for Allergan won't be all-cash ,LAVAL  QUEBEC Canada's Valeant Pharmaceuticals International  said on Tuesday it will not make an all-cash bid for drugmaker Allergan Inc  as many had expected last week when the company said it would improve its cash and stock offer for the Botox maker.,normal
AGN,Allergan plc,20140520,UPDATE 3-Valeant says improved bid for Allergan won't be all-cash ,LAVAL  QUEBEC  May 20 Canada's Valeant Pharmaceuticals International said on Tuesday it will not make an all-cash bid for drugmaker Allergan Inc as many had expected last week when the company said it would improve its cash and stock offer for the Botox maker.,normal
AGN,Allergan plc,20140520,CANADA STOCKS-Resource shares  Valeant nudge TSX higher ,* TSX rises 25.67 points  or 0.18 percent  to 14 540.41     * Seven of the 10 main index sectors advance     * Valeant higher after commenting on Allergan bid plans      By John Tilak     TORONTO  May 20 Canada's main stock index climbed slightly on Tuesday as gains in materials and energy shares helped offset weakness in the financial sector.     Providing further support was a rise in shares of Valeant Pharmaceuticals International Inc after the drugmaker said its sweetened takeove,normal
AGN,Allergan plc,20140520,Valeant says sweetened bid for Allergan will not be all-cash ,May 20 Canada's Valeant Pharmaceuticals International Inc said its sweetened offer for drugmaker Allergan Inc would not be an all-cash bid as was expected.,normal
AJG,Arthur J Gallagher & Co,20140520,RSA to sell Canadian brokerage unit Noraxis for $460 million ,British insurer RSA Insurance Group Plc  said on Monday it had reached agreement to sell its majority-owned Canadian brokerage business - Noraxis Capital Corp - to U.S. insurance brokerage Arthur J. Gallagher & Co  for C$500 million ($460.60 million).,topStory
AJG,Arthur J Gallagher & Co,20140520,RSA to sell Canadian brokerage unit Noraxis for $460 mln ,May 20 British insurer RSA Insurance Group Plc  said on Monday it had reached agreement to sell its majority-owned Canadian brokerage business - Noraxis Capital Corp - to U.S. insurance brokerage Arthur J. Gallagher & Co  for C$500 million ($460.60 million).,normal
AZN,Astrazeneca PLC,20140520,Deals of the day- Mergers and acquisitions ,(Adds Braemar Shipping Services  Wesizwe  MOL  Banco Sabadell; Updates AstraZeneca  London Stock Exchange),topStory
AZN,Astrazeneca PLC,20140520,Schroders  Fidelity reveal investor split as Astra rejects Pfizer ,LONDON Some leading AstraZeneca Plc shareholders were at odds over whether the British drugmaker made the right decision in rejecting Pfizer Inc's final $118 billion bid to buy the company.,normal
AZN,Astrazeneca PLC,20140520,Pfizer-AstraZeneca bankers set to miss up to $340 million in fees ,LONDON Bankers advising pharmaceuticals companies Pfizer  and Britain's AstraZeneca  are likely to miss out on $260-340 million in fees after the U.S. company's final takeover bid was rejected on Monday.,normal
AZN,Astrazeneca PLC,20140520,REFILE-Pfizer-AstraZeneca bankers set to miss up to $340 mln in fees ,(Adds context in paragraph 3 to clarify fees are unlikely in event deal is not consummated),normal
AZN,Astrazeneca PLC,20140520,UPDATE 4-Schroders  Fidelity reveal investor split as Astra rejects Pfizer ,* Schroders urges AstraZeneca to restart talks with Pfizer,normal
AZN,Astrazeneca PLC,20140520,REFILE-UPDATE 3-Schroders  Fidelity reveal investor split as Astra rejects Pfizer ,(Inserts full name of London-based Fidelity Worldwide Investment in lead paragraph),normal
AZN,Astrazeneca PLC,20140520,CORRECTED-US STOCKS-Wall Street dips as retailer earnings disappoint ,(Corrects name of chain store in second line of second paragraph to TJ Maxx from TJX Maxx.),normal
AZN,Astrazeneca PLC,20140520,AstraZeneca 'did the right thing' rejecting Pfizer: Fidelity ,LONDON Fidelity Worldwide Investment  which holds around 1.2 percent of AstraZeneca  has come out in support of the drugs giant's rejection of a $118 takeover bid by Pfizer .,normal
AZN,Astrazeneca PLC,20140520,AstraZeneca "did the right thing" rejecting Pfizer - Fidelity ,LONDON  May 20 Fidelity Worldwide Investment  which holds around 1.2 percent of AstraZeneca has come out in support of the drugs giant's rejection of a $118 takeover bid by Pfizer.,normal
AZN,Astrazeneca PLC,20140520,Drug flops from 2004 haunt AstraZeneca investors ,* AstraZeneca has had more than fair share of flops in past,normal
T,AT&T Inc,20140520,Verizon CEO says not interested in Dish  focus on online streaming ,NEW YORK  May 20 Verizon's CEO Lowell McAdam shot down rumors that the company was in potential merger talks with satellite operator Dish Network on Tuesday  days after rival AT&T announced plans to buy no 1. U.S. satellite operator DirecTV.,topStory
T,AT&T Inc,20140520,AT&T-DirecTV merger may hinge on NFL agreement ,AT&T Inc can pull out of its agreement to buy DirecTV if the satellite TV operator is unable to renew a deal with the National Football League to offer the popular NFL Sunday Ticket football package  according to a regulatory filing on Monday. | Video ,normal
BCS,Barclays PLC,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
BCS,Barclays PLC,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
BCS,Barclays PLC,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
BCS,Barclays PLC,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
BBL,BHP Billiton plc,20140520,CORRECTED-Australian miners aim to avert iron ore port strike ,(Corrects first and fifth paragraphs to Teekay Shipping in mediation talks  not BHP and Fortescue),topStory
BBL,BHP Billiton plc,20140520,Yield-starved investors seek dividend income as share rally falters ,* Vodafone  Apple  BHP Billiton screen as reliable payers,normal
BA,Boeing Company (The),20140520,European ministers to raise concerns over Boeing tax breaks ,BERLIN  May 20 Ministers from France  Germany  Britain and Spain said they would will work together with the European Commission to raise their concerns over tax breaks received by U.S. planemaker Boeing  which they said represent unfair subsidies.,topStory
BA,Boeing Company (The),20140520,Lockheed-Boeing venture says rocket launch costs lower than claimed by rival ,COLORADO SPRINGS Colo. A joint venture of Lockheed Martin Corp and Boeing Co on Monday said its rocket launch costs were far lower than claimed by its rival  privately-held Space Exploration Technologies  or SpaceX  which is suing the U.S. government for shutting it out of the lucrative rocket launch business.,normal
BA,Boeing Company (The),20140520,Lockheed-Boeing venture says rocket launch costs lower than claimed by rival ,COLORADO SPRINGS  Colo. A joint venture of Lockheed Martin Corp  and Boeing Co  on Monday said its rocket launch costs were far lower than claimed by its rival  privately-held Space Exploration Technologies  or SpaceX  which is suing the U.S. government for shutting it out of the lucrative rocket launch business.,normal
BA,Boeing Company (The),20140520,Lockheed-Boeing venture says rocket launch costs lower than claimed by rival ,COLORADO SPRINGS  Colo.  May 19 A joint venture of Lockheed Martin Corp and Boeing Co on Monday said its rocket launch costs were far lower than claimed by its rival  privately-held Space Exploration Technologies  or SpaceX  which is suing the U.S. government for shutting it out of the lucrative rocket launch business.,normal
BP,BP plc,20140520,U.S. appeals court rejects BP bid to undo ruling in oil spill case ,A U.S. appeals court will not revisit a decision to reject BP Plc's bid to block businesses from recovering money over the 2010 Gulf of Mexico oil spill  even if those businesses could not trace their economic losses to the disaster.,topStory
CAT,Caterpillar Inc,20140520,US STOCKS-Wall St falls as retailers  Caterpillar weigh ,* Dow off 0.9 pct; S&P 500 down 0.7 pct; Nasdaq off 0.8 pct   (Updates to midday trading  adds GM recall),topStory
CX,Cemex SAB de CV,20140520,Mexico's Cemex seeks to regain investment-grade rating-chairman ,MEXICO CITY/MONTERREY  May 20 Mexican cement maker Cemex will seek to regain its investment grade rating  lost amid a debt-fueled acquisition spree  the company's new Chairman Rogelio Zambrano Lozano said in press conference on Tuesday.,topStory
CHL,China Mobile (Hong Kong) Ltd,20140520,Hong Kong shares lifted by China Mobile  China stocks inch up ,* China Mobile hits four-month high after Goldman upgrade,topStory
C,Citigroup Inc,20140520,ON THE MOVE-Citi taps Credit Suisse exec to head 'family office' unit ,May 20 Citigroup Inc on Tuesday appointed former Credit Suisse executive William Woodson as a managing director in charge of its private bank's North America family office group.,topStory
C,Citigroup Inc,20140520,CD&R in advanced talks to buy Healogics for about $1 bln -sources ,NEW YORK  May 20 Clayton  Dubilier & Rice LLC is in advanced talks to acquire wound care company Healogics Inc from private equity peer Metalmark Capital Holdings LLC for around $1 billion  according to people familiar with the matter.,normal
