ADBE,Adobe Systems Incorporated,20141103,Former Adobe exec's start-up seeks to improve the mammogram experience ,SAN FRANCISCO Former Adobe Chief Marketing Officer Melissa Dyrdahl hopes to bring a spa-like feel to the experience of breast cancer screenings.,topStory
AAPL,Apple Inc,20141103,Apple plans investor call ahead of a potential bond sale: WSJ ,Apple Inc  is planning an investor call on Monday ahead of a potential bond sale  the Wall Street Journal reported  citing a banker working on the deal.,normal
AAPL,Apple Inc,20141103,Apple plans investor call ahead of a potential bond sale - WSJ ,Nov 3 Apple Inc is planning an investor call on Monday ahead of a potential bond sale  the Wall Street Journal reported  citing a banker working on the deal.,normal
ARGX,argenx SE,20141103,BRIEF-Argen X submits investigational new drug application to evaluate ARGX-110 in Waldenström's macroglobulinemia ,* Submits investigational new drug (IND) application to evaluate ARGX-110 in Waldenström's macroglobulinemia,topStory
CATM,Cardtronics plc,20141103,BRIEF-UK's Co-Operative Group sells Sunwin Services for 41.5 mln stg ,* Co-Operative Group announces completed deal to sell its sunwin services group business to Cardtronics for a total consideration of up to 41.5 mln stg  payable in cash.,topStory
DISH,DISH Network Corporation,20141103,RPT-Dish far apart on contract as deadline nears-source ,(Repeats story issued on Nov 2 for wider distribution  no changes to text),topStory
DISH,DISH Network Corporation,20141103,RPT-Market Chatter-Corporate finance press digest ,Nov 3 The following corporate finance-related stories were reported by media:,normal
DISH,DISH Network Corporation,20141103,Market Chatter-Corporate finance press digest ,Nov 3 The following corporate finance-related stories were reported by media:,normal
DSPG,DSP Group Inc,20141103,UPDATE 1-Israeli chip maker DSP Group Q3 profit beats forecasts ,* Sees Q4 revenue $34-$38 mln  EPS ex-items $0.03   (Adds Q4 outlook),topStory
DSPG,DSP Group Inc,20141103,Israeli chip maker DSP Group Q3 profit beats forecasts ,TEL AVIV  Nov 3 Multimedia chip designer DSP Group on Monday reported higher third-quarter net profit that exceeded expectations on record sales of products for the office market.,normal
IART,Integra LifeSciences Holdings Corporation,20141103,Integra LifeSciences to spin off spine unit ,Surgical devices and orthopedic care company Integra LifeSciences Holdings Corp said it would spin off its spine unit in an attempt to streamline its operations.,topStory
IART,Integra LifeSciences Holdings Corporation,20141103,Integra LifeSciences to spin off spine unit ,Nov 3 Surgical devices and orthopedic care company Integra LifeSciences Holdings Corp said it would spin off its spine unit in an attempt to streamline its operations.,normal
INTC,Intel Corporation,20141103,Wrist-worn drone wins Intel smart clothing contest ,SAN FRANCISCO  Nov 3 Intel Corp on Monday awarded $500 000 to a group of do-it-yourselfers who developed a wristband that converts to a camera-equipped drone to win a contest the chipmaker hopes will help guarantee it a leading position in the emerging market for wearable computing devices.,topStory
MORN,Morningstar Inc,20141103,'We are at such a moment of uncertainty': Bill Gross ,NEW YORK Famed bond investor Bill Gross on Monday warned that deflation remained a growing possibility despite aggressive monetary policies by central banks around the world.,topStory
NCMI,National CineMedia Inc,20141103,Deals of the day- Mergers and acquisitions ,(Adds Allergan  Kharafi National  Inditex  RCS Capital  PGE  Energy Future  Istrabenz  Aetna  National CineMedia  Danone  Cosumar  Sysco Corp  updates Altice SA  RTL Group  Yildiz Holding),topStory
NCMI,National CineMedia Inc,20141103,U.S. files lawsuit to stop merger of large movie ad companies ,WASHINGTON The U.S. Justice Department on Monday filed a lawsuit to block National CineMedia Inc’s  proposed $375 million acquisition of smaller rival Screenvision LLC  a deal that would significantly concentrate a niche advertising market.,normal
NCMI,National CineMedia Inc,20141103,UPDATE 2-U.S. files lawsuit to stop merger of large movie ad companies ,WASHINGTON  Nov 3 The U.S. Justice Department on Monday filed a lawsuit to block National CineMedia Inc's  proposed $375 million acquisition of smaller rival Screenvision LLC  a deal that would significantly concentrate a niche advertising market.,normal
NCMI,National CineMedia Inc,20141103,U.S. files lawsuit to stop merger of large movie ad companies ,WASHINGTON  Nov 3 The U.S. Justice Department has filed a lawsuit seeking to block National CineMedia Inc's  proposed $375 million acquisition of smaller rival Screenvision LLC.,normal
RYAAY,Ryanair Holdings plc,20141103,Ryanair lifts profit forecast as better service pays off ,DUBLIN Ryanair  raised its annual profit forecast almost 20 percent on Monday thanks to a surge in winter bookings as the budget airline pioneer said improvements to its much criticized customer service were paying off.,topStory
RYAAY,Ryanair Holdings plc,20141103,UPDATE 3-Ryanair lifts profit forecast as better service pays off ,* Says bookings indicate 2 mln extra passengers in winter,normal
RYAAY,Ryanair Holdings plc,20141103,European stock rally pauses; Ryanair jumps ,* Half way into Europe's earning season  profits up 8.9 pct,normal
RYAAY,Ryanair Holdings plc,20141103,Airlines boost Britain's FTSE after Ryanair lifts profit outlook ,EDINBURGH  Nov 3 Britain's top share index received strong support from airlines on Monday after Irish peer Ryanair lifted its profit forecast  though gains were limited by weakness in HSBC and miners.,normal
RYAAY,Ryanair Holdings plc,20141103,Europe shares pause after sharp gains; Ryanair surges ,PARIS  Nov 3 European stocks inched lower in early trading on Monday  taking a breather following last week's sharp gains  while Ryanair soared after raising its profit outlook.,normal
RYAAY,Ryanair Holdings plc,20141103,Ryanair hikes profit forecast on winter bookings ,DUBLIN  Nov 3 Ryanair hiked its profit forecast by 18 percent on Monday on better-than-expected winter bookings and said it would cut fares by up to 10 percent in the spring to boost its share of the European short-haul market.,normal
TROW,T Rowe Price Group Inc,20141103,Fidelity  T. Rowe Price funds load up on Alibaba shares ,BOSTON Big mutual funds at T. Rowe Price Group and Fidelity Investments are the industry's largest holders of Alibaba Group Holding Ltd shares  according to recent fund disclosures.,topStory
TROW,T Rowe Price Group Inc,20141103,UPDATE 1-Fidelity  T. Rowe Price funds load up on Alibaba shares ,BOSTON  Nov 3 Big mutual funds at T. Rowe Price Group and Fidelity Investments are the industry's largest holders of Alibaba Group Holding Ltd shares  according to recent fund disclosures.,normal
TROW,T Rowe Price Group Inc,20141103,Fidelity  T. Rowe Price funds load up on Alibaba shares ,BOSTON  Nov 3 Portfolios run by T. Rowe Price Group and Fidelity Investments are the largest mutual fund investors in Alibaba Group Holding Ltd  according to recent fund disclosures.,normal
FOX,Twenty-First Century Fox Inc,20141103,Fox names Snider co-chairman of film studio ,Rupert Murdoch's 21st Century Fox has named former DreamWorks Studios CEO Stacey Snider as co-chairman of the 20th Century Fox film studio  the company said on Monday.,topStory
FOX,Twenty-First Century Fox Inc,20141103,Fox names Snider co-chairman of film studio ,Nov 3 Rupert Murdoch's 21st Century Fox  has named former DreamWorks Studios CEO Stacey Snider as co-chairman of the 20th Century Fox film studio  the company said on Monday.,normal
FOXA,Twenty-First Century Fox Inc,20141103,Fox names Snider co-chairman of film studio ,Rupert Murdoch's 21st Century Fox has named former DreamWorks Studios CEO Stacey Snider as co-chairman of the 20th Century Fox film studio  the company said on Monday.,topStory
FOXA,Twenty-First Century Fox Inc,20141103,Fox names Snider co-chairman of film studio ,Nov 3 Rupert Murdoch's 21st Century Fox  has named former DreamWorks Studios CEO Stacey Snider as co-chairman of the 20th Century Fox film studio  the company said on Monday.,normal
VOD,Vodafone Group Plc,20141103,Vodafone Qatar reports smaller Q2 net loss ,DUBAI  Nov 3 Vodafone Qatar  an affiliate of Vodafone Group  reported a narrowing second-quarter loss on Monday  as revenue increased.,topStory
AET,Aetna Inc,20141103,Deals of the day- Mergers and acquisitions ,(Adds Allergan  Kharafi National  Inditex  RCS Capital  PGE  Energy Future  Istrabenz  Aetna  National CineMedia  Danone  Cosumar  Sysco Corp  updates Altice SA  RTL Group  Yildiz Holding),topStory
AET,Aetna Inc,20141103,Aetna buys exchange technology company Bswift for $400 million ,Aetna Inc  said on Monday it would buy Bswift  a software and technology services company that administers public and private health insurance exchanges for consumers and employees  for $400 million.,normal
AET,Aetna Inc,20141103,Aetna buys exchange technology company Bswift for $400 mln ,Nov 3 Aetna Inc said on Monday it would buy Bswift  a software and technology services company that administers public and private health insurance exchanges for consumers and employees  for $400 million.,normal
A,Agilent Technologies Inc,20141103,Fitch Affirms Agilent's IDR at 'BBB+'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  November 03 (Fitch) Fitch Ratings has affirmed the long-term ratings of  Agilent Technologies  Inc. (Agilent) at 'BBB+'. The Rating Outlook is Stable.  A full list of rating actions  which apply to approximately $1.6 billion of debt  at Oct. 31  2014  follows at the end of this release. Agilent completed its spin-off of its electronic measurement (EM) business  now  named Keysight Technologies  Inc.  through a tax-free pro rata,topStory
AGU,Agrium Inc,20141103,Agrium quarterly profit falls 34 pct on low crop prices ,Nov 3 Canadian fertilizer and farm retail dealer Agrium Inc reported a 34 percent fall in third-quarter profit as low crop prices and favorable growing conditions hurt demand for some of the company's products.,topStory
BABA,Alibaba Group Holding Limited,20141103,Alibaba's first earnings to test mettle  investor enthusiasm ,SAN FRANCISCO/BEIJING Alibaba Group Holding Ltd's first full quarterly report card to Wall Street investors on Tuesday will be scrutinized by the hopeful seeking validation for lofty stock price targets and studied by the few skeptics searching for inauspicious signs.,topStory
BABA,Alibaba Group Holding Limited,20141103,Fidelity  T. Rowe Price funds load up on Alibaba shares ,BOSTON Big mutual funds at T. Rowe Price Group and Fidelity Investments are the industry's largest holders of Alibaba Group Holding Ltd shares  according to recent fund disclosures.,normal
BABA,Alibaba Group Holding Limited,20141103,Alibaba options traders prepare for greater volatility ,NEW YORK Alibaba Group shareholders should get ready for something they haven't much seen: volatility.,normal
BABA,Alibaba Group Holding Limited,20141103,Alibaba options traders prepare for greater volatility ,NEW YORK  Nov 3 Alibaba Group  shareholders should get ready for something they haven't much seen: volatility.,normal
BABA,Alibaba Group Holding Limited,20141103,Fidelity  T. Rowe Price funds load up on Alibaba shares ,BOSTON  Nov 3 Portfolios run by T. Rowe Price Group and Fidelity Investments are the largest mutual fund investors in Alibaba Group Holding Ltd  according to recent fund disclosures.,normal
BABA,Alibaba Group Holding Limited,20141103,CORRECTED-Alibaba's first earnings to test mettle  investor enthusiasm ,(Corrects title of Ma to executive chairman in 17th paragraph),normal
AGN,Allergan plc,20141103,Deals of the day- Mergers and acquisitions ,(Adds Allergan  Kharafi National  Inditex  RCS Capital  PGE  Energy Future  Istrabenz  Aetna  National CineMedia  Danone  Cosumar  Sysco Corp  updates Altice SA  RTL Group  Yildiz Holding),topStory
AGN,Allergan plc,20141103,Allergan says has been approached by another party about a deal ,Botox maker Allergan Inc   fighting a hostile takeover bid by Valeant Pharmaceuticals Inc   said on Monday it was approached about a potential transaction by another party  identified as Actavis Plc  by a source familiar with the situation.,normal
AGN,Allergan plc,20141103,UPDATE 3-Allergan says has been approached by another party about a deal ,Nov 3 Botox maker Allergan Inc  fighting a hostile takeover bid by Valeant Pharmaceuticals Inc  said on Monday it was approached about a potential transaction by another party  identified as Actavis Plc by a source familiar with the situation.,normal
AGN,Allergan plc,20141103,Allergan says has been approached by another party about a deal ,Nov 3 Allergan Inc  which is fending off an acquisition by Valeant Pharmaceuticals Inc  said on Monday that it had been approached by another party regarding a potential transaction.,normal
AGN,Allergan plc,20141103,UPDATE 1-Molecular Partners resumes share offer at lower price ,* Had previously set price range of 28-35 Sfr   (Adds CEO comment  Allergan detail  status of bookbuilding),normal
AGN,Allergan plc,20141103,BRIEF-Molecular Partners says bookbuilding resumes with support from Allergan and other anchor investors ,* Says bookbuilding resumes with support from Allergan as well as other anchor investors,normal
AEP,American Electric Power Company Inc,20141103,BRIEF-AEP returns Michigan Cook 1 reactor  Cook 2 remains shut ,* American Electric Power Co Inc says Cook nuclear plant Unit 1 in Michigan returns to service following storm event,topStory
AZN,Astrazeneca PLC,20141103,BRIEF-AstraZeneca completes Almirall respiratory disease deal ,* Completes strategic transaction with Almirall in respiratory disease,topStory
T,AT&T Inc,20141103,Wireless calls between Verizon and AT&T to be carried on data network by 2015 ,WASHINGTON Verizon Communications and AT&T Inc expect to be able to transmit wireless voice calls between the two carriers over high-speed data networks by 2015  the companies said on Monday.,topStory
T,AT&T Inc,20141103,Wireless calls between Verizon and AT&T to be carried on data network by 2015 ,WASHINGTON  Nov 3 Verizon Communications  and AT&T Inc expect to be able to transmit wireless voice calls between the two carriers over high-speed data networks by 2015  the companies said on Monday.,normal
BK,Bank Of New York Mellon Corporation (The),20141103,MOVES- BNY Mellon  Edison Investment  Pro Global Insurance  Rowan Dartington ,(Adds Schroders Portfolio  BNY Mellon  Highland Capital  London Stock Exchange  Pacific Investment),topStory
BKS,Barnes & Noble Inc,20141103,Elementary  my dear Watson: U.S. court rejects Sherlock Holmes dispute ,WASHINGTON  Nov 3The case of the disputed Sherlock Holmes copyright is hereby closed after the U.S. Supreme Court on Monday left intact a ruling that said 50 works featuring the famed fictional detective are in the public domain.,normal
BIO,Bio-Rad Laboratories Inc,20141103,Bio-Rad to pay $55 million to settle U.S. bribery charges ,WASHINGTON Bio-Rad Laboratories Inc will pay $55 million to end U.S. investigations into whether it failed to prevent bribery of government officials in Russia and other countries  and falsified records to conceal payments  U.S. authorities said on Monday.,topStory
BIO,Bio-Rad Laboratories Inc,20141103,UPDATE 2-Bio-Rad to pay $55 mln to settle U.S. bribery charges ,(Adds company comment  reserves  details of allegations  second byline),normal
BIO,Bio-Rad Laboratories Inc,20141103,Bio-Rad to pay $55 mln over U.S. foreign corruption charges ,WASHINGTON  Nov 3 Bio-Rad Laboratories will pay $55 million to end U.S. government investigations into whether it paid bribes to government officials in Russia and other countries  U.S. authorities said on Monday.,normal
BA,Boeing Company (The),20141103,Israel Aerospace towing system approved for Boeing 737 jets ,TEL AVIV The Boeing 737 narrow-body jet has been certified in Europe and Israel for airport towing by the TaxiBot system developed by Israel Aerospace Industries (IAI) and its partners  the state-owned Israeli company said on Monday.,topStory
BA,Boeing Company (The),20141103,Israel Aerospace towing system approved for Boeing 737 jets ,TEL AVIV  Nov 3 The Boeing 737 narrow-body jet has been certified in Europe and Israel for airport towing by the TaxiBot system developed by Israel Aerospace Industries (IAI) and its partners  the state-owned Israeli company said on Monday.,normal
BSX,Boston Scientific Corporation,20141103,Boston Scientific rushed faulty transvaginal mesh to market: lawyer ,MIAMI A lawyer representing four women in Miami federal court who say they were injured by Boston Scientific Corp’s transvaginal mesh accused the company on Monday of ignoring patient safety in its haste to get the devices on the market.,topStory
BSX,Boston Scientific Corporation,20141103,Boston Scientific rushed faulty transvaginal mesh to market -lawyer ,MIAMI  Nov 3 A lawyer representing four women in Miami federal court who say they were injured by Boston Scientific Corp's transvaginal mesh accused the company on Monday of ignoring patient safety in its haste to get the devices on the market.,normal
BSX,Boston Scientific Corporation,20141103,RPT-Boston Scientific faces first federal transvaginal mesh trials ,Nov 3 Boston Scientific Corp on Monday was set to face its first federal trials in two courts over claims from women who say they were injured by the company's transvaginal mesh devices.,normal
BSX,Boston Scientific Corporation,20141103,Boston Scientific faces first federal transvaginal mesh trials ,Boston Scientific Corp on Monday was set to face its first federal trials in two courts over claims from women who say they were injured by the company’s transvaginal mesh devices.,normal
BSX,Boston Scientific Corporation,20141103,Boston Scientific faces first federal transvaginal mesh trials ,Nov 3 Boston Scientific Corp on Monday was set to face its first federal trials in two courts over claims from women who say they were injured by the company's transvaginal mesh devices.,normal
BCR,CR Bard Inc,20141103,Boston Scientific faces first federal transvaginal mesh trials ,Boston Scientific Corp on Monday was set to face its first federal trials in two courts over claims from women who say they were injured by the company’s transvaginal mesh devices.,normal
BCR,CR Bard Inc,20141103,Boston Scientific faces first federal transvaginal mesh trials ,Nov 3 Boston Scientific Corp on Monday was set to face its first federal trials in two courts over claims from women who say they were injured by the company's transvaginal mesh devices.,normal
CBS,CBS Corporation,20141103,RPT-Dish far apart on contract as deadline nears-source ,(Repeats story issued on Nov 2 for wider distribution  no changes to text),topStory
CBS,CBS Corporation,20141103,RPT-Market Chatter-Corporate finance press digest ,Nov 3 The following corporate finance-related stories were reported by media:,normal
CBS,CBS Corporation,20141103,Market Chatter-Corporate finance press digest ,Nov 3 The following corporate finance-related stories were reported by media:,normal
CNA,CNA Financial Corporation,20141103,UPDATE 1-Loews profit falls on lower income from subsidiaries ,Nov 3 Hotel  energy and financial services conglomerate Loews Corp reported a 26 percent drop in quarterly profit due to lower investment income and weaker earnings from its oil rig and insurance subsidiaries.,topStory
CYH,Community Health Systems Inc,20141103,Higher admissions help Community Health Q3 beat expectations ,Nov 3 Hospital operator Community Health Systems Inc reported a quarterly profit above average analyst expectation as admissions in its hospitals soared 49 percent.,topStory
DB,Deutsche Bank AG,20141103,REFILE-Banks set aside up to $7 bln as UK currency settlement looms ,LONDON  Nov 3 Major banks have set aside almost $7 billion for potential settlements with regulators investigating allegations of collusion and manipulation in foreign exchange markets  the first of which could come in Britain later this month.,normal
DEO,Diageo plc,20141103,Diageo gives up Bushmills for control of Don Julio tequila ,LONDON Diageo  has agreed to swap its Bushmills Irish whiskey label for full ownership of the high-end Don Julio tequila  as the British drinks group seeks to regain its leading position in tequila and build a bigger portfolio of "reserve" brands.,topStory
DEO,Diageo plc,20141103,UPDATE 2-Diageo gives up Bushmills for control of Don Julio tequila ,* Diageo also gets $408 mln  right to sell Smirnoff in Mexico,normal
DEO,Diageo plc,20141103,Diageo takes control of Don Julio with Jose Cuervo deal ,LONDON  Nov 3 Diageo said on Monday it had agreed to take full control of Tequila Don Julio through a deal with Jose Cuervo that would also see the British drinks group sell its Bushmills whiskey label.,normal
DEO,Diageo plc,20141103,UK Stocks-Factors to watch on Monday Nov 3 ,EDINBURGH  Nov 3 Britain's FTSE 100 index is seen opening down 1 to 8 points  or 0.1 percent lower on Monday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
EMN,Eastman Chemical Company,20141103,EU mergers and takeovers (Nov 3) ,BRUSSELS  Nov 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
EFX,Equifax Inc,20141103,MOVES-Pro Global Insurance hires Mory Katz from Equifax ,Nov 3 Pro Global Insurance Solutions Plc   a reinsurance and insurance services provider  said it hired Mory Katz from Equifax Inc to the role of U.S. managing director.,topStory
FCAU,Fiat Chrysler Automobiles NV,20141103,U.S. October auto sales best in several years  GM misses ,DETROIT Automakers reported their strongest U.S. October sales in years on Monday  but top-seller General Motors Co  missed expectations. | Video ,normal
F,Ford Motor Company,20141103,UPDATE 2-Canada sets more auto sales records in October ,(Recast with sales totals  and results from Ford  Toyota  Honda),topStory
F,Ford Motor Company,20141103,U.S. factory activity back at three-and-a-half-year high  auto sales rise ,WASHINGTON U.S. manufacturing activity unexpectedly accelerated in October and automobile sales were strong  easing concerns of a significant moderation in economic growth in the fourth quarter.,normal
F,Ford Motor Company,20141103,BRIEF-Ford sees U.S. industry Oct. annual sales rate in the high 16 mln range including medium and heavy trucks ,DETROIT  Nov 3 Ford Motor Co monthly U.S. sales call:  * U.S. sales analyst says company sees U.S. industry October annual sales rate,normal
GM,General Motors Company,20141103,UPDATE 2-Canada sets more auto sales records in October ,(Recast with sales totals  and results from Ford  Toyota  Honda),topStory
GM,General Motors Company,20141103,UPDATE 5-Best October in a decade for U.S. auto sales; GM misses ,(Adds final industry figures  adds comments by GM and Nissan executives  industry details),normal
GM,General Motors Company,20141103,U.S. October auto sales best in several years  GM misses ,DETROIT Automakers reported their strongest U.S. October sales in years on Monday  but top-seller General Motors Co  missed expectations. | Video ,normal
GM,General Motors Company,20141103,BRIEF-GM says delivered 226 819 vehicles in U.S. in October ,* General Motors delivered 226 819 vehicles in the United States in October versus 226 402 units last year,normal
GSK,GlaxoSmithKline PLC,20141103,BRIEF-Genmab moves cancer drug collaboration to Novartis from GSK ,COPENHAGEN  Nov 3 Genmab A/S :  ** Has entered into an agreement with GlaxoSmithKline and Novartis Pharma to transfer the Ofatumumab collaboration with GSK to Novartis   ** Novartis will develop and commercialize Ofatumumab in oncology indications and GSK would continue to develop and commercialize ofatumumab for autoimmune indications  ** The transfer of the collaboration will not impact Genmab's 2014 financial guidance.   Source text for Eikon:,topStory
HLF,Herbalife LTD,20141103,Herbalife slashes full-year forecast  shares slide ,Herbalife Ltd   a maker of weight-loss and nutritional products  slashed its full-year revenue and adjusted profit forecast as it wrote down the value of its Venezuelan assets.,topStory
HLF,Herbalife LTD,20141103,UPDATE 1-Herbalife slashes full-year forecast  shares slide ,Nov 3 Herbalife Ltd  a maker of weight-loss and nutritional products  slashed its full-year revenue and adjusted profit forecast as it wrote down the value of its Venezuelan assets.,normal
HLF,Herbalife LTD,20141103,Rising costs nearly wipe out Herbalife profit  shares slide ,Nov 3 Herbalife Ltd  a maker of weight-loss and nutritional products  reported a 92 percent fall in quarterly profit as legal costs rose and the company wrote down the value of Venezuelan assets.,normal
HLT,Hilton Worldwide Holdings Inc,20141103,Hilton says Blackstone to cut stake in company by 14 percent ,Hilton Worldwide Holdings Inc   the world's largest hotel operator  said Blackstone Group LP  would reduce its stake in the company by 14 percent to about 57 percent.,topStory
HLT,Hilton Worldwide Holdings Inc,20141103,CORRECTED-Hilton says Blackstone to cut stake in co by 14 pct ,(Corrects headline and 1st paragraph to say Blackstone will cut stake in Hilton by 14 percent  not 9 percent),normal
HMC,Honda Motor Company Ltd,20141103,U.S. opens probe into Honda reporting of Takata air bag failures ,WASHINGTON The U.S. National Highway Traffic Safety Administration said on Monday it had opened an investigation into whether Honda Motor Co Ltd  failed to report to the auto regulator deaths or injuries involving Takata Corp  air bags.,topStory
HMC,Honda Motor Company Ltd,20141103,UPDATE 1-U.S. opens probe into Honda reporting of Takata air bag failures ,WASHINGTON  Nov 3 The U.S. National Highway Traffic Safety Administration said on Monday it had opened an investigation into whether Honda Motor Co Ltd failed to report to the auto regulator deaths or injuries involving Takata Corp air bags.,normal
HMC,Honda Motor Company Ltd,20141103,U.S. opens probe into Honda over Takata air bag failures ,WASHINGTON  Nov 3 The U.S. National Highway Traffic Safety Administration said on Monday it had opened an investigation into whether Honda Motor Co Ltd failed to report to the auto regulator deaths or injuries involving Takata Corp air bags.,normal
HMC,Honda Motor Company Ltd,20141103,UPDATE 5-Best October in a decade for U.S. auto sales; GM misses ,(Adds final industry figures  adds comments by GM and Nissan executives  industry details),normal
HMC,Honda Motor Company Ltd,20141103,U.S. October auto sales best in several years  GM misses ,DETROIT Automakers reported their strongest U.S. October sales in years on Monday  but top-seller General Motors Co  missed expectations. | Video ,normal
HMC,Honda Motor Company Ltd,20141103,Maruti revamps bestselling car to counter slow India recovery ,NEW DELHI  Nov 3 Maruti Suzuki  which sells almost one in two cars in India  is betting a new version of its bestselling model will help it retain a stranglehold on the budget market  even as it courts wealthier buyers to fend off a slowdown in sales.,normal
HMC,Honda Motor Company Ltd,20141103,Nissan  Honda U.S. October sales rise on crossovers ,DETROIT  Nov 3 Nissan Motor Co and Honda Motor Co each reported strong crossover model sales and record October U.S. sales for their core brands on Monday.,normal
HON,Honeywell International Inc,20141103,U.S. judge denies EEOC bid to stop Honeywell wellness penalty ,Nov 3 In a victory for Honeywell International Inc  a U.S. judge rejected a bid by the Equal Employment Opportunity Commission to stop the company from imposing penalties on workers who refuse to be tested as part of a corporate wellness program.,topStory
HSBC,HSBC Holdings plc,20141103,HSBC sets aside $1.8 billion for forex probe  misconduct ,LONDON HSBC's  profits fell short of expectations in the third quarter after the bank set aside $1.8 billion for misconduct settlements and compensation for customers  including a potential fine for rigging currency markets. | Video ,topStory
HSBC,HSBC Holdings plc,20141103,Weak utility stocks and HSBC peg back UK's FTSE 100 ,LONDON  Nov 3 Britain's top equity index broke a four-day rise on Monday as a drop in major utility stocks and in global banking group HSBC dragged the UK stock market lower.,normal
HSBC,HSBC Holdings plc,20141103,CORRECTED-UPDATE 3-HSBC sets aside $1.8 bln for forex probe  misconduct ,(Corrects provision for payment protection insurance to $589 million from $701 million in paragraph 7),normal
HSBC,HSBC Holdings plc,20141103,Weak utility stocks and HSBC peg back UK's FTSE 100 ,LONDON  Nov 3 Britain's top equity index fell on Monday  breaking a four-day winning streak  led by drops in major utility stocks and in global banking group HSBC.,normal
HSBC,HSBC Holdings plc,20141103,BRIEF-HSBC CEO says looks set to miss 2016 cost efficiency target ,LONDON  Nov 3 Hsbc Holdings Plc Chief Executive Stuart Gulliver told analysts on a conference call:,normal
HSBC,HSBC Holdings plc,20141103,HSBC sets aside $378 mln for FX probe settlement ,LONDON  Nov 3 HSBC Holdings set aside $378 million to pay a potential fine from the UK regulator for alleged manipulation of currency markets  as Europe's biggest bank reported a 12 percent fall in underlying earnings after costs rose.,normal
HSEA,HSBC Holdings plc,20141103,HSBC sets aside $1.8 billion for forex probe  misconduct ,LONDON HSBC's  profits fell short of expectations in the third quarter after the bank set aside $1.8 billion for misconduct settlements and compensation for customers  including a potential fine for rigging currency markets. | Video ,topStory
HSEA,HSBC Holdings plc,20141103,Weak utility stocks and HSBC peg back UK's FTSE 100 ,LONDON  Nov 3 Britain's top equity index broke a four-day rise on Monday as a drop in major utility stocks and in global banking group HSBC dragged the UK stock market lower.,normal
HSEA,HSBC Holdings plc,20141103,CORRECTED-UPDATE 3-HSBC sets aside $1.8 bln for forex probe  misconduct ,(Corrects provision for payment protection insurance to $589 million from $701 million in paragraph 7),normal
