AGRX,Agile Therapeutics Inc,20140623,BUZZ-U.S. Stocks on the Move-American Apparel  Willdan  Agile Therapeutics ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
DLBL,Barclays PLC,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
DTYL,Barclays PLC,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
CENT,Central Garden & Pet Company,20140623,UPDATE 1-Harbinger offers $10/shr for Central Garden & Pet Co ,June 23 Harbinger Group Inc  the holding company for Spectrum Brands  said it had offered to buy retailer Central Garden & Pet Co for $10 per share  or acquire its pet business for $750 million.,topStory
CENT,Central Garden & Pet Company,20140623,Harbinger offers to buy Central Garden & Pet Co ,June 23 Harbinger Group Inc  the holding company for Spectrum Brands  said it had offered to buy retailer Central Garden & Pet Co for $10 per share  or acquire its pet business for $750 million.,normal
CENT,Central Garden & Pet Company,20140623,UPDATE 1-Central Garden & Pet Co may see $10 per share offer - source ,(Adds sourcing  clarifies name of buyer  describes deal structure),normal
CENT,Central Garden & Pet Company,20140623,Central Garden & Pet Co may see $10 per share offer - FT ,June 22 Central Garden & Pet Co  a pet and lawn supply company  could see an unsolicited $10 per share offer from hedge fund Harbinger Capital Partners  according to a news report.,normal
CENTA,Central Garden & Pet Company,20140623,UPDATE 1-Harbinger offers $10/shr for Central Garden & Pet Co ,June 23 Harbinger Group Inc  the holding company for Spectrum Brands  said it had offered to buy retailer Central Garden & Pet Co for $10 per share  or acquire its pet business for $750 million.,topStory
CENTA,Central Garden & Pet Company,20140623,Harbinger offers to buy Central Garden & Pet Co ,June 23 Harbinger Group Inc  the holding company for Spectrum Brands  said it had offered to buy retailer Central Garden & Pet Co for $10 per share  or acquire its pet business for $750 million.,normal
CENTA,Central Garden & Pet Company,20140623,UPDATE 1-Central Garden & Pet Co may see $10 per share offer - source ,(Adds sourcing  clarifies name of buyer  describes deal structure),normal
CENTA,Central Garden & Pet Company,20140623,Central Garden & Pet Co may see $10 per share offer - FT ,June 22 Central Garden & Pet Co  a pet and lawn supply company  could see an unsolicited $10 per share offer from hedge fund Harbinger Capital Partners  according to a news report.,normal
CRIS,Curis Inc,20140623,BUZZ-U.S. Stocks on the Move-Coach  Corinthian  Curis  Integrys ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
CRIS,Curis Inc,20140623,BUZZ -Curis Inc: Partner Roche seeks approval to start lung drug trial ,** Says drug development partner Roche Holding AG  filed for an U.S. regulatory approval to start mid-stage trial on their lung disease drug,normal
EMITF,Elbit Imaging Ltd,20140623,BRIEF-Plaza Centers' parent company to raise 20 mln euro for debt restructuring process ,* Plaza's parent company announces agreements relating to potential rights issue by company,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
FLAT,iPath US Treasury Flattener ETN,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
STPP,iPath US Treasury Steepener ETN,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
KFRC,Kforce Inc,20140623,New Issue- FMS adds 100 mln stg to 2018 bond ,Guarantor               Financial Market Stabilisation Fund of the,topStory
LORL,Loral Space and Communications Inc,20140623,Exclusive: Loral rejects $7 billion deal to sell itself and Telesat - sources ,NEW YORK Loral Space & Communications Inc's  efforts to sell itself and its main asset  Telesat Holdings Inc  broke down after the company failed to agree on a potential $7 billion deal with the buyer group  people familiar with the matter said.,topStory
LULU,lululemon athletica inc,20140623,Lululemon shares rise as founder turns to Goldman for shake-up ,TORONTO Shares of Lululemon Athletica Inc  rose on Monday after reports that founder Dennis "Chip" Wilson was considering options and pushing for changes at the yogawear retailer following an extended share slump.,topStory
LULU,lululemon athletica inc,20140623,Lululemon shares rise as founder turns to Goldman for shake-up ,TORONTO  June 23 Shares of Lululemon Athletica Inc rose on Monday after reports that founder Dennis "Chip" Wilson was considering options and pushing for changes at the yogawear retailer following an extended share slump.,normal
MU,Micron Technology Inc,20140623,Micron earnings beat forecasts  better PC sales fuel memory chip demand ,SAN FRANCISCO Memory chipmaker Micron Technology Inc posted fiscal third-quarter results above expectations and said pent up demand for personal computers is bolstering demand for its DRAM chips.,topStory
MU,Micron Technology Inc,20140623,UPDATE 3-Micron earnings beat forecasts  better PC sales fuel memory chip demand ,SAN FRANCISCO  June 23 Memory chipmaker Micron Technology Inc posted fiscal third-quarter results above expectations and said pent up demand for personal computers is bolstering demand for its DRAM chips.,normal
MU,Micron Technology Inc,20140623,Chipmaker Micron's third-quarter revenue exceeds expectations ,SAN FRANCISCO  June 23 Memory chipmaker Micron Technology Inc posted fiscal third-quarter revenue above expectations following signs of stabilization in the personal computer industry that could fuel demand for DRAM chips.,normal
NEO,NeoGenomics Inc,20140623,BUZZ-U.S. Stocks on the Move-Parkervision  Neogenomics  Corinthian Colleges ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
OIIM,O2Micro International Limited,20140623,Boston Red Sox - TeamReport ,OAKLAND  Calif. -- The Red Sox avoided a four-game sweep against the Oakland A's thanks to some heroics from a familiar source Sunday at the O.co Coliseum.,topStory
PRKR,ParkerVision Inc,20140623,US STOCKS-Wall St ends flat after six-day rally  energy rises ,* Indexes: Dow down 0.2 pct  S&P down 0.1 pct  Nasdaq flat   (Updates to close),topStory
PRKR,ParkerVision Inc,20140623,UPDATE 1-Parkervision plunges as U.S. judge voids $173 mln Qualcomm verdict ,* Judge says not enough evidence of patent infringement   (Adds Qualcomm statement  updated share prices),normal
PRKR,ParkerVision Inc,20140623,US STOCKS-Wall St flat after six-day gain  homebuilders rally ,* Indexes down: Dow 0.2 pct  S&P 0.1 pct  Nasdaq flat   (Updates to midday trading),normal
PRKR,ParkerVision Inc,20140623,BUZZ-U.S. Stocks on the Move-Parkervision  Neogenomics  Corinthian Colleges ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
PRKR,ParkerVision Inc,20140623,ParkerVision plunges as U.S. judge voids $173 mln Qualcomm verdict ,June 23 A federal judge in Florida has overturned a jury verdict that had ordered Qualcomm Inc  to pay ParkerVision Inc $173 million for infringing patents for technology used in smartphones.,normal
PRKR,ParkerVision Inc,20140623,BRIEF-Qualcomm wins reversal of Parkervision jury verdict in patent infringement case ,June 23   * U.S. judge rules for Qualcomm Inc in patent litigation brought by,normal
BPOP,Popular Inc,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,topStory
QCOM,QUALCOMM Incorporated,20140623,UPDATE 1-Parkervision plunges as U.S. judge voids $173 mln Qualcomm verdict ,* Judge says not enough evidence of patent infringement   (Adds Qualcomm statement  updated share prices),topStory
QCOM,QUALCOMM Incorporated,20140623,ParkerVision plunges as U.S. judge voids $173 mln Qualcomm verdict ,June 23 A federal judge in Florida has overturned a jury verdict that had ordered Qualcomm Inc  to pay ParkerVision Inc $173 million for infringing patents for technology used in smartphones.,normal
QCOM,QUALCOMM Incorporated,20140623,BRIEF-Qualcomm wins reversal of Parkervision jury verdict in patent infringement case ,June 23   * U.S. judge rules for Qualcomm Inc in patent litigation brought by,normal
RMTI,Rockwell Medical Inc,20140623,BUZZ-U.S. Stocks on the Move-Arotech  Rockwell  Meritor ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
SHPG,Shire plc,20140623,Deals of the day- Mergers and acquisitions ,June 23 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,topStory
SHPG,Shire plc,20140623,Shire flags new drugs in AstraZeneca-style defence to AbbVie ,LONDON Shire  flagged the promise of existing and new drugs on Monday as evidence that AbbVie's  $46 billion offer undervalued the company  the latest British firm to be targeted by a U.S. group seeking lower taxes.,normal
SHPG,Shire plc,20140623,UPDATE 2-Shire flags new drugs in AstraZeneca-style defence to AbbVie ,* Long-range forecasts for drugs a central plank of defence,normal
SHPG,Shire plc,20140623,Shire's actual 2020 sales could be 'way north' of $10 billion ,LONDON Shire's  own deal-making capacity is likely to push the drugmaker's annual sales "way north" of the $10 billion it is currently forecasting for 2020 on the basis of the existing portfolio  its chief executive said on Monday.,normal
SHPG,Shire plc,20140623,Shire to set out AstraZeneca-style defence against AbbVie ,* Long-range forecasts for drugs a central plank of defence,normal
CG,The Carlyle Group LP,20140623,Carlyle raises $1 billion for second financial-companies fund ,Private equity firm Carlyle Group LP  said on Monday it had raised $1 billion for its second fund focused on buying and selling financial institutions such as wealth managers and insurance firms  almost three years after it began fundraising.,topStory
CG,The Carlyle Group LP,20140623,Carlyle raises $1 billion for second financial-companies fund ,June 23 Private equity firm Carlyle Group LP  said on Monday it had raised $1 billion for its second fund focused on buying and selling financial institutions such as wealth managers and insurance firms  almost three years after it began fundraising.,normal
TCGP,The Carlyle Group LP,20140623,Carlyle raises $1 billion for second financial-companies fund ,Private equity firm Carlyle Group LP  said on Monday it had raised $1 billion for its second fund focused on buying and selling financial institutions such as wealth managers and insurance firms  almost three years after it began fundraising.,topStory
TCGP,The Carlyle Group LP,20140623,Carlyle raises $1 billion for second financial-companies fund ,June 23 Private equity firm Carlyle Group LP  said on Monday it had raised $1 billion for its second fund focused on buying and selling financial institutions such as wealth managers and insurance firms  almost three years after it began fundraising.,normal
QURE,uniQure NV,20140623,UPDATE 1-Bayer bets on gene therapy with Dimension deal ,* UniQure  Bluebird Bio also working on gene therapies   (Adds detail  background),topStory
VOD,Vodafone Group Plc,20140623,EU mergers and takeovers (June 23) ,BRUSSELS  June 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
WLDN,Willdan Group Inc,20140623,BUZZ-U.S. Stocks on the Move-American Apparel  Willdan  Agile Therapeutics ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
ABBV,AbbVie Inc,20140623,Deals of the day- Mergers and acquisitions ,June 23 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,topStory
ABBV,AbbVie Inc,20140623,Shire flags new drugs in AstraZeneca-style defence to AbbVie ,LONDON Shire  flagged the promise of existing and new drugs on Monday as evidence that AbbVie's  $46 billion offer undervalued the company  the latest British firm to be targeted by a U.S. group seeking lower taxes.,normal
ABBV,AbbVie Inc,20140623,UPDATE 2-Shire flags new drugs in AstraZeneca-style defence to AbbVie ,* Long-range forecasts for drugs a central plank of defence,normal
ABBV,AbbVie Inc,20140623,AbbVie raises 2014 forecast as it pursues Shire ,U.S. drugmaker AbbVie Inc  which is trying to buy London-listed peer Shire  on Monday raised its 2014 adjusted earnings forecast  citing strong "business performance" that it expects to continue for the rest of the year.,normal
ABBV,AbbVie Inc,20140623,UPDATE 1-AbbVie raises 2014 forecast as it pursues Shire ,June 23 U.S. drugmaker AbbVie Inc  which is trying to buy London-listed peer Shire  on Monday raised its 2014 adjusted earnings forecast  citing strong "business performance" that it expects to continue for the rest of the year.,normal
ABBV,AbbVie Inc,20140623,AbbVie raises 2014 adjusted profit forecast ,June 23 U.S. drugmaker AbbVie Inc  which is trying to buy London-listed peer Shire  raised its 2014 adjusted earnings forecast  citing strong "business performance" that it expects to continue for the rest of the year.,normal
ABBV,AbbVie Inc,20140623,BRIEF-Abbvie raises its 2014 outlook ,* Raised midpoint of its full-year 2014 earnings-per-share guidance by six cents and now expects a full-year diluted earnings-per-share range of $3.06 to $3.16 on an adjusted basis  or $2.69 to $2.79 on a GAAP basis,normal
ABBV,AbbVie Inc,20140623,Shire flags existing and new drugs in defence to AbbVie ,LONDON  June 23 Shire said on Monday it expected to generate annual sales of $7 billion from current products and a further $3 billion from medicines in its pipeline  as it fleshed out a defence strategy for the group.,normal
AGN,Allergan plc,20140623,Allergan plans to raise earnings outlook: CEO ,SAN DIEGO Allergan Inc   seeking to win over shareholders as it fights a hostile takeover offer from Valeant Pharmaceuticals International Inc   will raise its earnings outlook when it reports second-quarter results  said Chief Executive Officer David Pyott.,topStory
AGN,Allergan plc,20140623,Deals of the day- Mergers and acquisitions ,June 23 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,normal
AGN,Allergan plc,20140623,CANADA STOCKS-TSX steady as positive data offsets Iraq concerns ,* TSX down 3.34 points  or 0.02 percent  at 15 105.63     * Six of the 10 main index sectors decline     * Valeant slips after Allergan advises against deal     * SNC climbs after acquisition move      By John Tilak     TORONTO  June 23 Canada's main stock index was little changed on Monday as worries about political instability in Iraq were balanced by upbeat economic data from China and the United States.     U.S. Secretary of State John Kerry met Iraqi Prime Minister Nuri al-Malik,normal
AGN,Allergan plc,20140623,Shire flags new drugs in AstraZeneca-style defence to AbbVie ,LONDON Shire  flagged the promise of existing and new drugs on Monday as evidence that AbbVie's  $46 billion offer undervalued the company  the latest British firm to be targeted by a U.S. group seeking lower taxes.,normal
AGN,Allergan plc,20140623,CANADA STOCKS-TSX slips as Iraq  valuation concerns weigh ,* TSX down 20.27 points  or 0.13 percent  at 15 088.70     * Six of 10 main index sectors decline     * Valeant slips after Allergan advises against deal     * SNC climbs after acquisition move      By John Tilak     TORONTO  June 23 Canada's main stock index slipped on Monday as worries about political instability in Iraq and concerns about high valuations dragged on market sentiment  offsetting gains in the index's mining-heavy materials group.     In Iraq  U.S. Secretary of State ,normal
AGN,Allergan plc,20140623,Allergan advises shareholders against Valeant tender offer ,Allergan Inc  on Monday advised investors not to sell their shares to Valeant Pharmaceuticals International   which launched a hostile takeover offer for the California-based Botox maker last week  saying it was "grossly inadequate.",normal
AGN,Allergan plc,20140623,UPDATE 1-Allergan advises shareholders against Valeant tender offer ,June 23 Allergan Inc on Monday advised investors not to sell their shares to Valeant Pharmaceuticals International  which launched a hostile takeover offer for the California-based Botox maker last week  saying it was "grossly inadequate.",normal
AGN,Allergan plc,20140623,Allergan advises shareholders against Valeant tender offer ,June 23 Allergan Inc on Monday advised investors not to sell their shares to Valeant Pharmaceuticals International  which launched a hostile takeover offer for the California-based Botox maker last week  saying it was "grossly inadequate.",normal
AZN,Astrazeneca PLC,20140623,Shire flags new drugs in AstraZeneca-style defence to AbbVie ,LONDON Shire  flagged the promise of existing and new drugs on Monday as evidence that AbbVie's  $46 billion offer undervalued the company  the latest British firm to be targeted by a U.S. group seeking lower taxes.,topStory
AZN,Astrazeneca PLC,20140623,UPDATE 2-Shire flags new drugs in AstraZeneca-style defence to AbbVie ,* Long-range forecasts for drugs a central plank of defence,normal
AZN,Astrazeneca PLC,20140623,FDA staff question benefit of AstraZeneca ovarian cancer drug ,AstraZeneca Plc's experimental ovarian cancer drug  olaparib  showed an 83 percent reduction in the risk of disease progression  but a U.S. Food and Drug Administration staff review has questioned whether the result could be reproduced.,normal
AZN,Astrazeneca PLC,20140623,UPDATE 2-FDA staff question benefit of AstraZeneca ovarian cancer drug ,June 23 AstraZeneca Plc's experimental ovarian cancer drug  olaparib  showed an 83 percent reduction in the risk of disease progression  but a U.S. Food and Drug Administration staff review has questioned whether the result could be reproduced.,normal
AZN,Astrazeneca PLC,20140623,FDA staff question validity of benefit seen with AstraZeneca drug ,June 23 Staff reviewers at the U.S. Food and Drug Administration said AstraZeneca Plc's experimental ovarian cancer drug olaparib showed an 83 percent reduction in the risk of disease progression but questioned whether the result could be reproduced.,normal
AZN,Astrazeneca PLC,20140623,Shire to set out AstraZeneca-style defence against AbbVie ,* Long-range forecasts for drugs a central plank of defence,normal
AVP,Avon Products Inc,20140623,Cosmetics maker Avon Products to cut about 600 jobs ,Cosmetics maker Avon Products Inc  said it would cut about 600 jobs  including in its North America unit  as the company struggles to return to profit.,topStory
AVP,Avon Products Inc,20140623,UPDATE 1-Cosmetics maker Avon Products to cut about 600 jobs ,June 23 Cosmetics maker Avon Products Inc  said it would cut about 600 jobs  including in its North America unit  as the company struggles to return to profit.,normal
AVP,Avon Products Inc,20140623,Cosmetics maker Avon Products to cut about 600 jobs ,June 23 Cosmetics maker Avon Products Inc  said it would cut about 600 jobs  including in its North America unit  as the company tries to return to profit.,normal
SAN,Banco Santander SA,20140623,Santander to buy GE consumer finance business in Northern Europe ,MADRID Spain's Santander is buying GE Money Bank  GE Capital's consumer finance business in Sweden  Norway and Denmark  for 700 million euros ($950 million) in its latest move to diversify away from its struggling domestic market.,topStory
SAN,Banco Santander SA,20140623,Santander to buy GE consumer financing business in Northern Europe ,MADRID  June 23 Spain's largest bank Santander  said on Monday it has agreed to acquire GE Money Bank  GE Capital's consumer finance business in Sweden  Norway and Denmark  for 700 million euros ($950.29 million).,normal
BAC,Bank of America Corporation,20140623,RPT-Bank of America expands rewards program for existing customers ,NEW YORK  June 22 Bank of America Corp  will announce on Monday it will lower the threshold for consumers who qualify for discounts on loans and other benefits as the No. 2 U.S. bank seeks to win more business from existing customers.,topStory
BCS,Barclays PLC,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
CAE,CAE Inc,20140623,EU mergers and takeovers (June 23) ,BRUSSELS  June 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
CVX,Chevron Corporation,20140623,COLUMN-Energy scare good for oil stocks in the short term ,(The writer is a Reuters columnist. The opinions expressed are his own.),normal
SNP,China Petroleum & Chemical Corporation,20140623,REFILE-UPDATE 1-China's May Iran crude imports up 36 pct  2nd highest on record ,* May imports at 757 900 bpd  +36.4 pct on yr  -5.2 pct on mth,topStory
C,Citigroup Inc,20140623,MOVES- Rabobank  UBS  Moore Stephens  Citigroup  Gazprombank ,(Adds Hovede Group  TABB Group  John Hancock Retirement Plan Services; updates Citigroup),topStory
C,Citigroup Inc,20140623,Popular buys Citi's retail  credit card business in Spain ,MADRID Spain's Banco Popular  has agreed to buy Citi's  retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
C,Citigroup Inc,20140623,UPDATE 1-Popular buys Citi's retail  credit card business in Spain ,MADRID  June 23 Spain's Banco Popular  has agreed to buy Citi's retail banking and credit card business in Spain  a sign that foreign banks are retreating from the country's financial services market in the wake of the financial crisis.,normal
C,Citigroup Inc,20140623,Spain's Popular signs acquisition of Citi's Spanish units ,MADRID  June 23 Spain's Banco Popular  said on Monday it had signed a deal with U.S. lender Citi  to buy its retail banking and credit card business in Spain.,normal
C,Citigroup Inc,20140623,Citigroup names Haddad as Qatar chief executive ,DUBAI  June 23 Citigroup has named Carmen Haddad as its new chief executive officer for Qatar  the U.S. lender said on Monday.,normal
CLX,Clorox Company (The),20140623,Dean Foods  Clorox subpoenaed in Icahn in insider-trading probe: WSJ ,U.S. authorities have sought information from Dean Foods Co  and Clorox Co  in connection with an insider-trading investigation of billionaire investor Carl Icahn  the Wall Street Journal reported  citing people familiar with the matter.,topStory
CLX,Clorox Company (The),20140623,Dean Foods  Clorox subpoenaed in Icahn in insider-trading probe - WSJ ,June 23 U.S. authorities have sought information from Dean Foods Co and Clorox Co in connection with an insider-trading investigation of billionaire investor Carl Icahn  the Wall Street Journal reported  citing people familiar with the matter.,normal
CIG,Comp En De Mn Cemig ADS,20140623,Brazil's Cemig backs off bid for Colombian generator Isagen ,SAO PAULO  June 23 Brazil's Companhia Energética de Minas Gerais  or Cemig  said on Monday it is backing off plans to bid for Colombia's third-biggest power generator  Isagen SA.,topStory
COP,ConocoPhillips,20140623,Top court mostly upholds Obama bid to curb carbon emissions ,WASHINGTON  The U.S. Supreme Court on Monday largely upheld the Obama administration’s authority to curb greenhouse gases from major emitters like power plants and refineries in a ruling that nonetheless exempted some smaller sources from the regulation.,topStory
DF,Dean Foods Company,20140623,Dean Foods  Clorox subpoenaed in Icahn in insider-trading probe: WSJ ,U.S. authorities have sought information from Dean Foods Co  and Clorox Co  in connection with an insider-trading investigation of billionaire investor Carl Icahn  the Wall Street Journal reported  citing people familiar with the matter.,topStory
DF,Dean Foods Company,20140623,Dean Foods  Clorox subpoenaed in Icahn in insider-trading probe - WSJ ,June 23 U.S. authorities have sought information from Dean Foods Co and Clorox Co in connection with an insider-trading investigation of billionaire investor Carl Icahn  the Wall Street Journal reported  citing people familiar with the matter.,normal
EQT,EQT Corporation,20140623,UPDATE 1-Telekom Austria buys Macedonian cable operator from EQT ,* Blizoo has 10 mln euros annual sales  63 000 subscribers,topStory
XOM,Exxon Mobil Corporation,20140623,UPDATE 1-ExxonMobil in talks with Turkey over shale gas exploration ,ANKARA  June 23 U.S. oil firm ExxonMobil  is in talks with state-run Turkish Petroleum Corporation over a venture to explore for shale gas in the country's southeast and northwest regions  a Turkish energy official said.,topStory
XOM,Exxon Mobil Corporation,20140623,ExxonMobil in talks to explore for Turkish shale gas  Energy Ministry official says ,ANKARA  June 23 ExxonMobil is in talks with the state-run Turkish Petroleum Corporation on exploring for shale gas in the country's southeast and northwest regions  the head of the Energy Ministry's General Directorate of Petroleum Affairs said.,normal
GEK,General Electric Capital Corporation,20140623,RPT-INSIGHT-Abe's 'drill bit' hits resistance on Japan labour reform ,(Repeats item first published on Monday with no changes to text),topStory
