ADXS,Advaxis Inc,20140722,AstraZeneca widens cancer immunotherapy net with Advaxis trial ,LONDON  July 22 AstraZeneca is casting its net wider in the hot cancer immunotherapy field through a clinical trial collaboration with U.S. biotech firm Advaxis  that will test drugs from both companies in combination.,topStory
CMCSA,Comcast Corporation,20140722,Comcast  Lionsgate add more app content for film buyers ,Lions Gate Entertainment Corp will provide extra content through apps for dystopian thriller "Divergent" and other films to Comcast Corp customers who purchase digital versions of the film through Xfinity On Demand  the companies announced on Tuesday.,normal
CMCSA,Comcast Corporation,20140722,Comcast  Lionsgate add more app content for film buyers ,July 22 Lions Gate Entertainment Corp  will provide extra content through apps for dystopian thriller "Divergent" and other films to Comcast Corp customers who purchase digital versions of the film through Xfinity On Demand  the companies announced on Tuesday.,normal
CMCSA,Comcast Corporation,20140722,Comcast hurt by steeper-than-expected video subscribers losses ,July 22 Comcast Corp  the largest U.S. cable operator  reported quarterly revenue that fell below analysts' estimates  mainly due to higher-than-expected video subscriber losses.,normal
DISH,DISH Network Corporation,20140722,House passes satellite TV law reauthorization bill ,WASHINGTON The House of Representatives on Tuesday voted to reauthorize a law allowing satellite providers such as Dish Network Corp and DirecTV to bring in TV signals from other markets when subscribers cannot pick up local stations.,topStory
DISH,DISH Network Corporation,20140722,U.S. House passes satellite TV law reauthorization bill ,WASHINGTON The U.S. House of Representatives on Tuesday voted to reauthorize a law allowing satellite providers such as Dish Network Corp and DirecTV to bring in TV signals from other markets when subscribers cannot pick up local stations.,normal
DISH,DISH Network Corporation,20140722,U.S. House passes satellite TV law reauthorization bill ,WASHINGTON  July 22 The U.S. House of Representatives on Tuesday voted to reauthorize a law allowing satellite providers such as Dish Network Corp and DirecTV to bring in TV signals from other markets when subscribers cannot pick up local stations.,normal
EML,Eastern Company (The),20140722,Egyptian cigarette maker Eastern posts 17 pct jump in profit ,CAIRO  July 22 Egypt's leading cigarette maker Eastern Co posted a 17.1 percent increase in net profit in the year to June 30 on the back of stronger sales.,topStory
EA,Electronic Arts Inc,20140722,UPDATE 4-Electronic Arts profit surpasses Wall Street expectations ,SAN FRANCISCO  July 22 Video game publisher Electronic Arts Inc reported better-than-expected revenue and profit for the first quarter  driven by robust sales of titles such as "Titanfall " digital revenue and cost control.,topStory
EA,Electronic Arts Inc,20140722,Electronic Arts profit surpasses Wall Street expectations ,SAN FRANCISCO Video game publisher Electronic Arts Inc  reported better-than-expected revenue and profit for the first quarter  driven by robust sales of titles such as "Titanfall " digital revenue and cost control.,normal
EA,Electronic Arts Inc,20140722,Electronic Arts revenue and profit rises in 1st quarter ,SAN FRANCISCO  July 22 Video game publisher Electronic Arts Inc reported higher revenue and profit for the first quarter  driven by robust sales of its "Titanfall" game  digital sales and cost control.,normal
ERIC,Ericsson,20140722,BRIEF-Ericsson chosen supplier to Claro LTE network in Costa Rica ,STOCKHOLM  July 22 ERICSSON :  * Ericsson chosen as sole supplier of claro's lte network in costa rica,topStory
FB,Facebook Inc,20140722,Facebook's Zuckerberg to testify at N.Y. forgery trial: prosecutors ,NEW YORK The government will call Mark Zuckerberg to testify against an upstate New York man accused of trying to cheat the billionaire founder of Facebook Inc  out of half his stake in the social media company  a federal prosecutor said on Tuesday.,topStory
FB,Facebook Inc,20140722,Facebook's Zuckerberg to testify at N.Y. forgery trial -prosecutors ,NEW YORK  July 22 The government will call Mark Zuckerberg to testify against an upstate New York man accused of trying to cheat the billionaire founder of Facebook Inc  out of half his stake in the social media company  a federal prosecutor said on Tuesday.,normal
FB,Facebook Inc,20140722,Google must face U.S. privacy lawsuit over commingled user data ,A federal judge rejected Google Inc's bid to dismiss a privacy lawsuit claiming it commingled user data across different products and disclosed that data to advertisers without permission.,normal
FB,Facebook Inc,20140722,Google must face U.S. privacy lawsuit over commingled user data ,July 22 A federal judge rejected Google Inc's  bid to dismiss a privacy lawsuit claiming it commingled user data across different products and disclosed that data to advertisers without permission.,normal
GOGO,Gogo Inc,20140722,Web-connected cabins offer flight path for aerospace investors ,LONDON  July 22 The web-connected aircraft cabins of the future  powered by technology on show at last week's Farnborough Airshow  are offering a path to investor returns through suppliers like Cobham Plc and Thales SA .,topStory
HSTM,HealthStream Inc,20140722,BUZZ-U.S. Stocks on the Move-Chipotle  Herbalife  HealthStream ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
ISRG,Intuitive Surgical Inc,20140722,Intuitive Surgical shows improvement despite profit decline ,Intuitive Surgical Inc on Tuesday said it sold more of its high-priced robot surgical systems in the second quarter than in its dismal first quarter even as the once fast-growing company posted its fifth straight quarterly earnings decline.,topStory
ISRG,Intuitive Surgical Inc,20140722,BRIEF-Intuitive Surgical adjusts procedure growth forecast ,July 22 Intuitive Surgical Inc :  * Sees 2014 procedure growth of 5-8 percent versus its prior view of growth of,normal
ISRG,Intuitive Surgical Inc,20140722,UPDATE 1-Intuitive Surgical shows improvement despite profit decline ,July 22 Intuitive Surgical Inc on Tuesday said it sold more of its high-priced robot surgical systems in the second quarter than in its dismal first quarter even as the once fast-growing company posted its fifth straight quarterly earnings decline.,normal
ISRG,Intuitive Surgical Inc,20140722,Intuitive Surgical quarterly profit declines again ,July 22 Intuitive Surgical Inc on Tuesday reported lower second-quarter profit as sales of its high-priced da Vinci robot surgical systems fell  marking the fifth consecutive quarter of earnings declines for the formerly fast-growing company.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
DTUS,iPath US Treasury 2-year Bear ETN,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
DTUL,iPath US Treasury 2-year Bull ETN,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
DFVS,iPath US Treasury 5-year Bear ETN,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
DFVL,iPath US Treasury 5-year Bull ETN,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
FLAT,iPath US Treasury Flattener ETN,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
FLAT,iPath US Treasury Flattener ETN,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
STPP,iPath US Treasury Steepener ETN,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
STPP,iPath US Treasury Steepener ETN,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
KALU,Kaiser Aluminum Corporation,20140722,Hong Kong shares climb to 2014 high  China stronger on banks and autos ,* Chinese carmakers up on more policy support for 'green' cars,topStory
MSFT,Microsoft Corporation,20140722,Microsoft sees end to Nokia losses  shares rise after hours ,SEATTLE Microsoft Corp said it aims to get its loss-making Nokia phone unit to break even within two years  helping its stock rise in after-hours trade.,topStory
MSFT,Microsoft Corporation,20140722,UPDATE 3-Microsoft sees end to Nokia losses  shares rise after hours ,SEATTLE  July 22 Microsoft Corp said it aims to get its loss-making Nokia phone unit to break even within two years  helping its stock rise in after-hours trade.,normal
MSFT,Microsoft Corporation,20140722,US STOCKS-Wall St gains on earnings  data; conflicts still eyed ,* Dow up 0.4 pct; S&P 500 up 0.5 pct; Nasdaq up 0.7 pct   (Updates to close),normal
MSFT,Microsoft Corporation,20140722,Microsoft revenue rises  profit falls as Nokia absorbed ,SEATTLE  July 22 Microsoft Corp said on Tuesday its fiscal fourth-quarter revenue rose  but its profit fell  partly due to the effect of incorporating the handset business of Nokia  which it acquired in April.,normal
MSFT,Microsoft Corporation,20140722,EU antitrust regulators likely to step up Google probes: WSJ ,SAN FRANCISCO/FRANKFURT European Union antitrust regulators are preparing to step up investigations of Google Inc's practices on several fronts and are likely to revise certain terms of a settlement involving its search engine that was proposed earlier this year  the Wall Street Journal reported on Tuesday.,normal
MSFT,Microsoft Corporation,20140722,UPDATE 2-EU antitrust regulators likely to step up Google probes -WSJ ,SAN FRANCISCO/FRANKFURT  July 22 European Union antitrust regulators are preparing to step up investigations of Google Inc's practices on several fronts and are likely to revise certain terms of a settlement involving its search engine that was proposed earlier this year  the Wall Street Journal reported on Tuesday.,normal
MSFT,Microsoft Corporation,20140722,UPDATE 1-Market Chatter-Corporate finance press digest ,(Adds items on Catalunya Banc  BC Partners  Alitalia  EMC Corp and Glenfidditch),normal
MSFT,Microsoft Corporation,20140722,Sterling  Ballmer discuss possible Clippers deal: source ,LOS ANGELES Embattled Los Angeles Clippers owner Donald Sterling on Monday met with former Microsoft Corp Chief Executive Officer Steve Ballmer to discuss a possible settlement over Sterling's opposition to the $2 billion sale of the basketball team  a source close to the case said.,normal
MSFT,Microsoft Corporation,20140722,UPDATE 1-Sterling  Ballmer discuss possible Clippers deal -source ,LOS ANGELES  July 21 Embattled Los Angeles Clippers owner Donald Sterling on Monday met with former Microsoft Corp Chief Executive Officer Steve Ballmer to discuss a possible settlement over Sterling's opposition to the $2 billion sale of the basketball team  a source close to the case said.,normal
NFLX,Netflix Inc,20140722,US STOCKS-Wall St gains on earnings  data; conflicts still eyed ,* Dow up 0.4 pct; S&P 500 up 0.5 pct; Nasdaq up 0.7 pct   (Updates to close),topStory
NFLX,Netflix Inc,20140722,UPDATE 1-Netflix's Europe expansion seen eating into profits ,July 22 Netflix Inc's planned expansion in Europe will set the video streaming company up for growth  but will increase content and marketing expenses in the near term  analysts said.,normal
NFLX,Netflix Inc,20140722,Netflix profit doubles on U.S.  foreign subscriber growth ,LOS ANGELES Netflix Inc said on Monday its quarterly profit more than doubled  boosted by strong growth in U.S. and international subscribers as a price increase for its most popular U.S. video streaming plan did not deter new users. | Video ,normal
NWS,News Corporation,20140722,A Fox-Time Warner deal would give Murdoch new heft in China ,Rupert Murdoch's plan to buy Time Warner would help the Twenty-First Century Fox chairman make larger inroads in China  a fast-growing market that media moguls are finding hard to crack.,topStory
NWSA,News Corporation,20140722,A Fox-Time Warner deal would give Murdoch new heft in China ,Rupert Murdoch's plan to buy Time Warner would help the Twenty-First Century Fox chairman make larger inroads in China  a fast-growing market that media moguls are finding hard to crack.,topStory
QCOM,QUALCOMM Incorporated,20140722,China's Xiaomi hopes Mi 4 smartphone can take on Apple ,BEIJING Xiaomi launched its flagship Mi 4 smartphone at a glitzy event in Beijing  where the Chinese budget handset maker's chief executive sought to challenge larger U.S. rival Apple Inc.,topStory
RYAAY,Ryanair Holdings plc,20140722,Ryanair boss says company may show interest in Cyprus Air ,NICOSIA Ryanair will probably submit an expression of interest in troubled Cyprus Airways which is up for sale  Chief Executive Michael O'Leary said on Tuesday.,topStory
SHPG,Shire plc,20140722,Actelion CEO seeks to diffuse takeover talk ,ZURICH Actelion Chief Executive Jean-Paul Clozel said he was determined to keep the Swiss biotech company independent  batting away speculation it could become the next takeover target for U.S. firms seeking lower taxes by relocating abroad.,topStory
SBUX,Starbucks Corporation,20140722,China food scandal spreads  drags in Starbucks  Burger King and McNuggets in Japan ,SHANGHAI The latest food scandal in China is spreading fast  dragging in U.S. coffee chain Starbucks  Burger King Worldwide Inc and others  as well as McDonald's products as far away as Japan. | Video ,topStory
SBUX,Starbucks Corporation,20140722,UPDATE 3-China food scandal spreads  drags in Starbucks  Burger King and McNuggets in Japan ,* Starbucks  Burger King  Dicos pull products from Shanghai Husi,normal
SBUX,Starbucks Corporation,20140722,Starbucks China says sold products containing chicken from troubled meat supplier ,SHANGHAI  July 22 U.S. coffee giant Starbucks  said on Tuesday that some of its stores previously sold products containing chicken originally sourced from Shanghai Husi Food Co Ltd  a firm that was shut down on Sunday by local regulators over food safety concerns.,normal
SBUX,Starbucks Corporation,20140722,Starbucks China says sold products containing chicken from troubled meat supplier ,SHANGHAI U.S. coffee giant Starbucks said on Tuesday that some of its stores previously sold products containing chicken originally sourced from Shanghai Husi Food Co Ltd  a firm that was shut down on Sunday by local regulators over food safety concerns.,normal
SBUX,Starbucks Corporation,20140722,Starbucks China says sold products containing chicken from troubled meat supplier ,SHANGHAI  July 22 U.S. coffee giant Starbucks  said on Tuesday that some of its stores previously sold products containing chicken originally sourced from Shanghai Husi Food Co Ltd  a firm that was shut down on Sunday by local regulators over food safety concerns.,normal
SYMC,Symantec Corporation,20140722,U.S. intervenes in whistleblower suit against Symantec Corp ,WASHINGTON The U.S. Justice Department on Tuesday said it has intervened in a whistleblower lawsuit against Symantec Corporation that alleges the company submitted false claims to a government agency it worked with under contract.,topStory
SYMC,Symantec Corporation,20140722,U.S. intervenes in whistleblower suit against Symantec Corp ,WASHINGTON  July 22 The U.S. Justice Department on Tuesday said it has intervened in a whistleblower lawsuit against Symantec Corporation that alleges the company submitted false claims to a government agency it worked with under contract.,normal
CG,The Carlyle Group LP,20140722,INDIA PRESS-Axiata  Carlyle  Providence  ATC shortlisted for buying stake in Viom Networks-Economic Times ,Note: Reuters has not verified this story and does not vouch for its accuracy.   (Compiled by Aby Jose Koilparambil in Bangalore),topStory
TCGP,The Carlyle Group LP,20140722,INDIA PRESS-Axiata  Carlyle  Providence  ATC shortlisted for buying stake in Viom Networks-Economic Times ,Note: Reuters has not verified this story and does not vouch for its accuracy.   (Compiled by Aby Jose Koilparambil in Bangalore),topStory
VOD,Vodafone Group Plc,20140722,UPDATE 1-Vodafone Qatar beats forecasts with smaller quarterly loss ,* Q1 net loss 27.4 mln riyals vs 84.9 mln riyal loss in Q1 last year,topStory
VOD,Vodafone Group Plc,20140722,Vodafone Qatar beats forecasts with smaller quarterly loss ,DUBAI  July 22 Vodafone Qatar  an affiliate of Vodafone Group  reported a narrowing first-quarter loss on Tuesday  beating the average forecast of analysts.,normal
XLNX,Xilinx Inc,20140722,Chipmaker Xilinx forecasts weak second-quarter revenue ,Chipmaker Xilinx Inc forecast disappointing revenue for the second quarter after reporting lower-than-anticipated first-quarter sales due to weak sales to telecom  aerospace and defense customers.,topStory
XLNX,Xilinx Inc,20140722,UPDATE 1-Chipmaker Xilinx forecasts weak 2nd-quarter revenue ,* Says 2nd-qtr revenue to be flat or fall up to 4 pct from 1st qtr,normal
AER,Aercap Holdings NV,20140722,UAE's Waha Capital Q2 net profit jumps on AerCap deal ,DUBAI  July 22 Abu Dhabi-based investment firm Waha Capital said on Tuesday its net profit for the second quarter of 2014 jumped on the back of a one-off gain from its investment in AerCap Holdings.,topStory
AMOV,America Movil SAB de CV,20140722,UPDATE 2-America Movil says 'flexible' on which assets will sell ,(Adds comments on sale report  from interview  share price),topStory
AMOV,America Movil SAB de CV,20140722,America Movil says to spin off cell towers  not sell ,MEXICO CITY  July 22 Carlos Slim's America Movil  said on Tuesday that it was looking to spin off  not sell  its cellular infrastructure such as towers in response to new regulations in Mexico.   (Reporting by Christine Murray),normal
AMOV,America Movil SAB de CV,20140722,Mexico telecoms overhaul starts to drag on America Movil ,MEXICO CITY Carlos Slim's America Movil  Latin America's biggest telecoms company  said on Monday that new regulation in its core Mexico market was beginning to weigh on its performance.,normal
AMOV,America Movil SAB de CV,20140722,UPDATE 2-Mexico telecoms overhaul starts to drag on America Movil ,MEXICO CITY  July 21 Carlos Slim's America Movil  Latin America's biggest telecoms company  said on Monday that new regulation in its core Mexico market was beginning to weigh on its performance.,normal
AMX,America Movil SAB de CV,20140722,UPDATE 2-America Movil says 'flexible' on which assets will sell ,(Adds comments on sale report  from interview  share price),topStory
AMX,America Movil SAB de CV,20140722,America Movil says to spin off cell towers  not sell ,MEXICO CITY  July 22 Carlos Slim's America Movil  said on Tuesday that it was looking to spin off  not sell  its cellular infrastructure such as towers in response to new regulations in Mexico.   (Reporting by Christine Murray),normal
AMX,America Movil SAB de CV,20140722,Mexico telecoms overhaul starts to drag on America Movil ,MEXICO CITY Carlos Slim's America Movil  Latin America's biggest telecoms company  said on Monday that new regulation in its core Mexico market was beginning to weigh on its performance.,normal
AMX,America Movil SAB de CV,20140722,UPDATE 2-Mexico telecoms overhaul starts to drag on America Movil ,MEXICO CITY  July 21 Carlos Slim's America Movil  Latin America's biggest telecoms company  said on Monday that new regulation in its core Mexico market was beginning to weigh on its performance.,normal
ABG,Asbury Automotive Group Inc,20140722,Luxury vehicle sales boost Asbury's profit ,U.S. auto dealer Asbury Automotive Group Inc posted a better-than-expected 33 percent jump in quarterly profit  driven by strong demand for luxury vehicles.,topStory
ABG,Asbury Automotive Group Inc,20140722,UPDATE 1-Luxury vehicle sales boost Asbury's profit ,* Revenue rises 12 pct to $1.50 bln   (Adds details  background  shares),normal
ABG,Asbury Automotive Group Inc,20140722,Luxury vehicle sales boost Asbury's profit ,July 22 U.S. auto dealer Asbury Automotive Group Inc posted a 33 percent jump in quarterly profit  driven by strong demand for luxury vehicles.,normal
AZN,Astrazeneca PLC,20140722,AstraZeneca widens cancer immunotherapy net with Advaxis trial ,LONDON  July 22 AstraZeneca is casting its net wider in the hot cancer immunotherapy field through a clinical trial collaboration with U.S. biotech firm Advaxis  that will test drugs from both companies in combination.,topStory
AZN,Astrazeneca PLC,20140722,European shares bounce back as Ukraine tension ease ,* Ukraine rebels hand over black boxes from Malaysian plane,normal
