AAL,American Airlines Group Inc,20140714,Lufthansa says to cut Venezuela flights amid forex dispute ,CARACAS German airline Lufthansa  said on Monday it will reduce service to Venezuela by 40 percent starting next month amid an ongoing dispute about repatriation of revenue from ticket sales.,topStory
CMCSA,Comcast Corporation,20140714,ESPN  Univision set audience records for men's World Cup final ,LOS ANGELES Germany's victory over Argentina in soccer's World Cup final drew record audiences  broadcasters ESPN and Univision said on Monday.,normal
CMCSA,Comcast Corporation,20140714,ESPN  Univision set audience records for men's World Cup final ,LOS ANGELES  July 14 Germany's victory over Argentina in soccer's World Cup final drew record audiences  broadcasters ESPN and Univision said on Monday.,normal
DISH,DISH Network Corporation,20140714,LightSquared  Dish's Ergen reach settlement deal ,NEW YORK Bankrupt wireless venture LightSquared and its largest creditor  Dish Network Corp Chairman Charles Ergen  have resolved a long-running dispute over Ergen’s treatment under LightSquared’s proposed restructuring. ,topStory
DISH,DISH Network Corporation,20140714,LightSquared  Dish's Ergen reach settlement deal ,NEW YORK  July 14 Bankrupt wireless venture LightSquared and its largest creditor  Dish Network Corp  Chairman Charles Ergen  have resolved a long-running dispute over Ergen's treatment under LightSquared's proposed restructuring.,normal
EBAY,eBay Inc,20140714,Sotheby's enlists eBay to expand live auction bidding ,NEW YORK Two of the biggest names in auction sales  the traditional Sotheby's and the digital pioneer eBay  said on Monday they are joining forces to make it easier to buy antiques  collectibles and works of fine art online.,topStory
EBAY,eBay Inc,20140714,UPDATE 1-Sotheby's enlists eBay to expand live auction bidding ,NEW YORK  July 14 Two of the biggest names in auction sales  the traditional Sotheby's and the digital pioneer eBay  said on Monday they are joining forces to make it easier to buy antiques  collectibles and works of fine art online.,normal
EBAY,eBay Inc,20140714,Sotheby's plans live auction bidding via eBay ,NEW YORK  July 14 Sotheby's and eBay  announced a partnership on Monday to make it easier to buy antiques  collectibles and works of fine art online.,normal
EBAYL,eBay Inc,20140714,Sotheby's enlists eBay to expand live auction bidding ,NEW YORK Two of the biggest names in auction sales  the traditional Sotheby's and the digital pioneer eBay  said on Monday they are joining forces to make it easier to buy antiques  collectibles and works of fine art online.,topStory
EBAYL,eBay Inc,20140714,UPDATE 1-Sotheby's enlists eBay to expand live auction bidding ,NEW YORK  July 14 Two of the biggest names in auction sales  the traditional Sotheby's and the digital pioneer eBay  said on Monday they are joining forces to make it easier to buy antiques  collectibles and works of fine art online.,normal
EBAYL,eBay Inc,20140714,Sotheby's plans live auction bidding via eBay ,NEW YORK  July 14 Sotheby's and eBay  announced a partnership on Monday to make it easier to buy antiques  collectibles and works of fine art online.,normal
FB,Facebook Inc,20140714,World Cup was biggest social media event ever: Facebook ,SAO PAULO Brazil's World Cup was the biggest social media event on record involving 350 million Facebook Inc users worldwide  the company claimed on Monday  as it made strides into the so-called "real-time" market dominated by Twitter.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
DTYS,iPath US Treasury 10-year Bear ETN,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
DTUS,iPath US Treasury 2-year Bear ETN,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
DTUL,iPath US Treasury 2-year Bull ETN,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
DFVS,iPath US Treasury 5-year Bear ETN,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
DFVL,iPath US Treasury 5-year Bull ETN,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
FLAT,iPath US Treasury Flattener ETN,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
FLAT,iPath US Treasury Flattener ETN,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
FLAT,iPath US Treasury Flattener ETN,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
FLAT,iPath US Treasury Flattener ETN,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
FLAT,iPath US Treasury Flattener ETN,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
STPP,iPath US Treasury Steepener ETN,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
STPP,iPath US Treasury Steepener ETN,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
STPP,iPath US Treasury Steepener ETN,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
STPP,iPath US Treasury Steepener ETN,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
STPP,iPath US Treasury Steepener ETN,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
JD,JDcom Inc,20140714,CORRECTED-RPT-As giant U.S. IPO nears  Alibaba's China e-commerce crown slips ,(Corrects paragraph one of March 17 story to reflect Ma's apartment had more than one room),topStory
MDLZ,Mondelez International Inc,20140714,UPDATE 1-Market Chatter-Corporate finance press digest ,(Adds items on YouTube  Direct Line  Karstadt and Mondelez),topStory
MYL,Mylan NV,20140714,Mylan to buy Abbott generics  cut taxes  in $5.3 billion deal ,Generic drugmaker Mylan Inc said on Monday it would buy Abbott Laboratories' branded specialty and generics business in developed markets outside the United States in a $5.3 billion deal that will bolster its product line and also cut its tax bill.,topStory
MYL,Mylan NV,20140714,UPDATE 2-Mylan to buy Abbott generics  cut taxes  in $5.3 bln deal ,(Adds analyst comments  details of deal  company background  stock prices),normal
MYL,Mylan NV,20140714,UPDATE 4-Shire ready to bow to AbbVie's increased $53 bln offer ,* Bid comprises 24.44 stg cash and 0.8960 new AbbVie shares,normal
MYL,Mylan NV,20140714,Mylan to buy Abbott's non-US specialty  branded generics assets ,July 14 Generic drugmaker Mylan Inc said it would buy Abbott Laboratories' specialty and branded generics business outside the United States in an all-stock transaction valued at about $5.3 billion.,normal
ORBC,ORBCOMM Inc,20140714,SpaceX Falcon 9 rocket blasts off from Florida ,CAPE CANAVERAL Fla. Overcoming two months of delays  a Space Exploration Technologies’ Falcon 9 rocket blasted off from Florida on Monday to put six small commercial communications satellites into orbit for ORBCOMM Inc.,topStory
ORBC,ORBCOMM Inc,20140714,UPDATE 1-SpaceX Falcon 9 rocket blasts off from Florida ,(Adds landing test results  quotes from SpaceX's Elon Musk  paragraphs 7  15-16),normal
ORBC,ORBCOMM Inc,20140714,SpaceX Falcon 9 rocket blasts off from Florida ,CAPE CANAVERAL  Fla.  July 14 Overcoming two months of delays  a Space Exploration Technologies' Falcon 9 rocket blasted off from Florida on Monday to put six small commercial communications satellites into orbit for ORBCOMM Inc .,normal
SHPG,Shire plc,20140714,US STOCKS-Wall St closes higher on Citi earnings  healthcare M&A ,* Dow up 0.7 pct; S&P 500 up 0.5 pct; Nasdaq up 0.6 pct   (Updates to close),topStory
SHPG,Shire plc,20140714,US STOCKS-Dow hits intraday high  boosted by Citi  deals ,* Indexes up: Dow 0.7 pct  S&P 0.5 pct  Nasdaq 0.6 pct   (Updates to afternoon session),normal
SHPG,Shire plc,20140714,Banks lead European shares higher after Citigroup earnings ,LONDON  July 14 European equities rose on Monday  rebounding from near two-month lows after their biggest weekly loss in four months  with banks leading the rally following strong earnings from Citigroup.,normal
SHPG,Shire plc,20140714,US STOCKS-Wall Street climbs on Citi earnings  M&A boost ,* Indexes up: Dow 0.75 pct  S&P 0.55 pct  Nasdaq 0.68 pct   (Updates to midday),normal
SHPG,Shire plc,20140714,Shire ready to bow to AbbVie's increased $53 billion offer ,LONDON London-listed drugmaker Shire Plc  succumbed to an increased 31 billion pounds ($53 billion) takeover offer from Abbvie Inc  on Monday  signaling the conclusion to a long-running courtship largely motivated by tax. | Video ,normal
SHPG,Shire plc,20140714,UPDATE 4-Shire ready to bow to AbbVie's increased $53 bln offer ,* Bid comprises 24.44 stg cash and 0.8960 new AbbVie shares,normal
SHPG,Shire plc,20140714,Shire  Sports Direct set FTSE up to biggest gain since April ,LONDON  July 14 Britain's top equity index was set to post its biggest daily gain since April on Monday  helped by rises in bid-target drugs firm Shire and retailer Sports Direct.,normal
SHPG,Shire plc,20140714,US STOCKS-Wall St opens higher on M&A  Citi earnings ,* Indexes up: Dow 0.75 pct  S&P 0.54 pct  Nasdaq 0.57 pct   (Updates to market open  adds quote),normal
SHPG,Shire plc,20140714,US STOCKS-Wall St to open higher on M&A  Citi earnings ,* Futures up: Dow 77 pts  S&P 8.25 pts  Nasdaq 18.75 pts   (Adds Citigroup earnings  updates prices),normal
SHPG,Shire plc,20140714,US STOCKS-Futures higher on M&A after down week ,NEW YORK  July 14 U.S. stock index futures rose on Monday  after the S&P 500 suffered its worst weekly decline since April and the latest flurry of merger activity.,normal
FOX,Twenty-First Century Fox Inc,20140714,Fox shakes up television unit in bid to reverse ratings slip ,LOS ANGELES Twenty-First Century Fox Inc on Monday announced a reorganization of its television business as the network sought to push itself out of last place among the big U.S. broadcasters.,topStory
FOX,Twenty-First Century Fox Inc,20140714,Fox shakes up television unit in bid to reverse ratings slip ,LOS ANGELES  July 14 Twenty-First Century Fox Inc on Monday announced a reorganization of its television business as the network sought to push itself out of last place among the big U.S. broadcasters.,normal
FOXA,Twenty-First Century Fox Inc,20140714,Fox shakes up television unit in bid to reverse ratings slip ,LOS ANGELES Twenty-First Century Fox Inc on Monday announced a reorganization of its television business as the network sought to push itself out of last place among the big U.S. broadcasters.,topStory
FOXA,Twenty-First Century Fox Inc,20140714,Fox shakes up television unit in bid to reverse ratings slip ,LOS ANGELES  July 14 Twenty-First Century Fox Inc on Monday announced a reorganization of its television business as the network sought to push itself out of last place among the big U.S. broadcasters.,normal
ABT,Abbott Laboratories,20140714,Mylan to buy Abbott generics  cut taxes  in $5.3 billion deal ,Generic drugmaker Mylan Inc said on Monday it would buy Abbott Laboratories' branded specialty and generics business in developed markets outside the United States in a $5.3 billion deal that will bolster its product line and also cut its tax bill.,topStory
ABT,Abbott Laboratories,20140714,Abbott CEO says interested in acquiring more medical devices ,Abbott Laboratories <ABT.N) said on Monday it is interested in bolstering its line of medical devices  but it was becoming increasingly difficult to find appropriate and affordable products.,normal
ABT,Abbott Laboratories,20140714,UPDATE 2-Mylan to buy Abbott generics  cut taxes  in $5.3 bln deal ,(Adds analyst comments  details of deal  company background  stock prices),normal
ABT,Abbott Laboratories,20140714,Abbott CEO says interested in acquiring more medical devices ,July 14 Abbott Laboratories <ABT.N) said on Monday it is interested in bolstering its line of medical devices  but it was becoming increasingly difficult to find appropriate and affordable products.,normal
ABT,Abbott Laboratories,20140714,UPDATE 1-India caps price of 108 more medicines; drugmakers to take hit ,* Move aimed towards making drugs more affordable in India,normal
ABT,Abbott Laboratories,20140714,Mylan to buy Abbott's non-US specialty  branded generics assets ,July 14 Generic drugmaker Mylan Inc said it would buy Abbott Laboratories' specialty and branded generics business outside the United States in an all-stock transaction valued at about $5.3 billion.,normal
ABT,Abbott Laboratories,20140714,India caps prices of 108 more medicines; drugmakers to take hit ,MUMBAI  July 14 India's pharmaceutical pricing regulator has cut and capped the prices of more than 100 drugs used to treat diseases ranging from diabetes to HIV to malaria  a move likely to hit the profit margins of drug firms like Sanofi SA  Abbott Laboratories and Ranbaxy Laboratories Ltd.,normal
ABBV,AbbVie Inc,20140714,US STOCKS-Wall St closes higher on Citi earnings  healthcare M&A ,* Dow up 0.7 pct; S&P 500 up 0.5 pct; Nasdaq up 0.6 pct   (Updates to close),topStory
ABBV,AbbVie Inc,20140714,Deals of the day- Mergers and acquisitions ,(Adds Banco Popular  VistaJet  Rosneft  LightSquared  GPA SA  UBS  Sports Direct  Morrisons  Honeywell; updates Kindred Healthcare),normal
ABBV,AbbVie Inc,20140714,US STOCKS-Dow hits intraday high  boosted by Citi  deals ,* Indexes up: Dow 0.7 pct  S&P 0.5 pct  Nasdaq 0.6 pct   (Updates to afternoon session),normal
ABBV,AbbVie Inc,20140714,Shire ready to bow to AbbVie's increased $53 billion offer ,LONDON London-listed drugmaker Shire Plc  succumbed to an increased 31 billion pounds ($53 billion) takeover offer from Abbvie Inc  on Monday  signaling the conclusion to a long-running courtship largely motivated by tax. | Video ,normal
ABBV,AbbVie Inc,20140714,UPDATE 4-Shire ready to bow to AbbVie's increased $53 bln offer ,* Bid comprises 24.44 stg cash and 0.8960 new AbbVie shares,normal
ABBV,AbbVie Inc,20140714,US STOCKS-Wall St opens higher on M&A  Citi earnings ,* Indexes up: Dow 0.75 pct  S&P 0.54 pct  Nasdaq 0.57 pct   (Updates to market open  adds quote),normal
ABBV,AbbVie Inc,20140714,US STOCKS-Wall St to open higher on M&A  Citi earnings ,* Futures up: Dow 77 pts  S&P 8.25 pts  Nasdaq 18.75 pts   (Adds Citigroup earnings  updates prices),normal
ABBV,AbbVie Inc,20140714,US STOCKS-Futures higher on M&A after down week ,NEW YORK  July 14 U.S. stock index futures rose on Monday  after the S&P 500 suffered its worst weekly decline since April and the latest flurry of merger activity.,normal
ABBV,AbbVie Inc,20140714,Shire helps FTSE extend rebound on takeover offer ,LONDON  July 14 Britain's top equity index rose for a second straight day on Monday  helped by a rally in Shire  after the drugmaker got an increased takeover offer from the U.S. drug company  AbbVie.,normal
ABBV,AbbVie Inc,20140714,Britain's FTSE rebounds  Shire hits record ,LONDON  July 14 UK shares bounced back on Monday after hefty falls last week  with drugmaker Shire  hitting an all-time high on a bid offer from U.S. firm AbbVie .,normal
AER,Aercap Holdings NV,20140714,AIRSHOW-Lessor AerCap exercises options for 50 Airbus A320neo jets ,FARNBOROUGH  England  July 14 Leasing company AerCap said it was exercising options for an additional 50 Airbus single-aisle A320neo planes  in its first major order since it took over peer ILFC.,topStory
AL,Air Lease Corporation,20140714,RPT-BRIEF-Air Lease and Air New Zealand announce agreement for five new Airbus A320neo family aircraft ,July 14 Air Lease Corp :  * Air Lease Corporation and Air New Zealand announce agreement for five new Airbus a320neo family aircraft  * Says the first aircraft  a new a321neo  is scheduled for delivery in August 2017  * Says the first new a320neo will deliver in September 2017  * Says the remaining three aircraft will deliver in 2018  * Source text for Eikon   * Further company coverage,topStory
AL,Air Lease Corporation,20140714,Air Lease Corp becomes launch customer for Airbus A330neo ,FARNBOROUGH England U.S. aircraft leasing company Air Lease Corp  became the launch customer for Airbus'  revamped A330 passenger jet on Monday with a memorandum of understanding for 25 A330-900neo aircraft.,normal
AL,Air Lease Corporation,20140714,UPDATE 1-AIRSHOW-Air Lease Corp becomes launch customer for Airbus A330neo ,FARNBOROUGH  England  July 14 U.S. aircraft leasing company Air Lease Corp became the launch customer for Airbus' revamped A330 passenger jet on Monday with a memorandum of understanding for 25 A330-900neo aircraft.,normal
AL,Air Lease Corporation,20140714,BRIEF-Rolls Royce welcomes Air Lease's selection of 25 A330neo aircrafts ,* Rolls-Royce welcomes Air Lease Corporation selection of 25 A330neo aircraft powered by Trent 7000  Source text for Eikon:  Further company coverage:,normal
AL,Air Lease Corporation,20140714,AIRSHOW-Air Lease Corp becomes launch customer for Airbus A330neo ,FARNBOROUGH  England  July 14 U.S. aircraft leasing company Air Lease Corp became the launch customer for Airbus' revamped A330 model on Monday with a memorandum of understanding for 25 A330-900neo aircraft.,normal
AA,Alcoa Corporation,20140714,Alcoa signs $1.1 billion supply deal with Pratt & Whitney ,Alcoa Inc  said it signed a 10-year supply agreement with Pratt & Whitney  a unit of United Technologies Corp   for $1.1 billion.,topStory
