AMZN,Amazoncom Inc,20140609,Amazon expands middleman role in latest online payments push ,SAN FRANCISCO Amazon.com Inc will start managing subscription payments for start-ups and other companies - the latest in a series of quiet moves the e-commerce giant has made into PayPal's turf over the past year.,topStory
FB,Facebook Inc,20140609,Facebook's Instagram to expand ads beyond U.S. ,SAN FRANCISCO  June 9 Instagram  the mobile photo service owned by Facebook Inc  is expanding its nascent advertising business beyond the United States and will begin showing ads to users in Britain  Canada and Australia  the company said on Monday.,normal
KLAC,KLA-Tencor Corporation,20140609,BRIEF-Taiwan's TSMC orders equipment worth T$1.7 bln from KLA-Tencor  Lam Research  Applied Materials ,June 9 Taiwan Semiconductor Manufacturing Co Ltd,topStory
LRCX,Lam Research Corporation,20140609,BRIEF-Taiwan's TSMC orders equipment worth T$1.7 bln from KLA-Tencor  Lam Research  Applied Materials ,June 9 Taiwan Semiconductor Manufacturing Co Ltd,topStory
MSFT,Microsoft Corporation,20140609,Sterling suit against NBA holds up Clippers' sale  commissioner says ,SAN ANTONIO Texas National Basketball Association Commissioner Adam Silver said on Sunday a single obstacle blocked completion of the $2-billion sale of the Los Angeles Clippers - a lawsuit brought by embattled owner Donald Sterling against the league.,topStory
PPC,Pilgrim&#39;s Pride Corporation,20140609,Deals of the day- Mergers and acquisitions ,June 9 The following bids  mergers  acquisitions and disposals were reported by 1830 GMT on Monday:,topStory
PPC,Pilgrim&#39;s Pride Corporation,20140609,US STOCKS-Wall St near flat after hitting new highs; VIX gains ,* CBOE Volatility Index up  day after hitting lowest since Feb '07,normal
PPC,Pilgrim&#39;s Pride Corporation,20140609,US STOCKS-Wall St slightly extends gains  lifted by deals ,* CBOE Volatility Index up  day after hitting lowest since Feb '07,normal
PPC,Pilgrim&#39;s Pride Corporation,20140609,Tyson wins bid for Hillshire in battle of meat titans ,Tyson Foods Inc  won the bidding war for Hillshire Brands Co  with an all-cash offer that values the maker of Jimmy Dean sausages at $8.55 billion and would be the biggest deal yet for the global meat business. | Video ,normal
PPC,Pilgrim&#39;s Pride Corporation,20140609,US STOCKS-Wall St edges up  lifted by mergers  acquisitions ,* Dow  S&P 500 and Nasdaq all up 0.1 pct   (Updates to open),normal
PPC,Pilgrim&#39;s Pride Corporation,20140609,BUSINESS-NEWS-SCHEDULE AT 1230 GMT / 8.30 AM ET ,LONDON - World shares are within touching distance of an all-time high  spurred on by the potent combination of record low global interest rates and the improving health of major economies. (MARKETS-GLOBAL/(WRAPUP 6)  moved  by Marc Jones  800 words),normal
PPC,Pilgrim&#39;s Pride Corporation,20140609,Tyson Foods says wins bidding war for Hillshire Brands ,June 9 Tyson Foods Inc said it reached a "unilaterally binding offer" to buy Hillshire Brands Co  for $8.55 billion  including debt  beating out Pilgrim's Pride Corp for the maker of Jimmy Dean sausages.,normal
PPC,Pilgrim&#39;s Pride Corporation,20140609,US STOCKS-Futures flat with indexes at records ,NEW YORK  June 9 U.S. stock index futures were little changed on Monday  as investors sought fresh incentives to keep buying following a rally that has taken major indexes to repeated record highs.,normal
PPC,Pilgrim&#39;s Pride Corporation,20140609,BUSINESS-NEWS-SCHEDULE AT 0830 GMT / 4.30 AM ET ,LONDON - World shares are within touching distance of an all-time high  spurred on by the near perfect combination of record low global interest rates and the improving health of major economies. (MARKETS-GLOBAL/(WRAPUP 5)  expect by 1200 GMT/8 AM ET  by Marc Jones  700 words),normal
FOX,Twenty-First Century Fox Inc,20140609,Fox extends Carey's contract for two years ,Chase Carey  the president and chief operating officer of Rupert Murdoch's 21st Century Fox  signed a contract to stay with the media company for up to two years  according to a regulatory filing on Monday.,topStory
FOX,Twenty-First Century Fox Inc,20140609,Fox extends Carey's contract for two years ,June 9 Chase Carey  the president and chief operating officer of Rupert Murdoch's 21st Century Fox  signed a contract to stay with the media company for up to two years  according to a regulatory filing on Monday.,normal
FOXA,Twenty-First Century Fox Inc,20140609,Fox extends Carey's contract for two years ,Chase Carey  the president and chief operating officer of Rupert Murdoch's 21st Century Fox  signed a contract to stay with the media company for up to two years  according to a regulatory filing on Monday.,topStory
FOXA,Twenty-First Century Fox Inc,20140609,Fox extends Carey's contract for two years ,June 9 Chase Carey  the president and chief operating officer of Rupert Murdoch's 21st Century Fox  signed a contract to stay with the media company for up to two years  according to a regulatory filing on Monday.,normal
WTFC,Wintrust Financial Corporation,20140609,Fitch Expects to Rate Wintrust's Subordinated Notes 'BBB-' ,(The following statement was released by the rating agency) CHICAGO  June 09 (Fitch) Fitch Ratings expects to rate Wintrust Financial  Corporation's (WTFC) subordinated debt issuance 'BBB-' pending the receipt of  final documentation. The company announced today  June 9  that it has commenced  an underwritten public offering of subordinated notes under its effective shelf  registration statement. The subordinated notes are expected to have a 10 year  tenure and will not be callable prior to matu,topStory
WTFCM,Wintrust Financial Corporation,20140609,Fitch Expects to Rate Wintrust's Subordinated Notes 'BBB-' ,(The following statement was released by the rating agency) CHICAGO  June 09 (Fitch) Fitch Ratings expects to rate Wintrust Financial  Corporation's (WTFC) subordinated debt issuance 'BBB-' pending the receipt of  final documentation. The company announced today  June 9  that it has commenced  an underwritten public offering of subordinated notes under its effective shelf  registration statement. The subordinated notes are expected to have a 10 year  tenure and will not be callable prior to matu,topStory
MMM,3M Company,20140609,Amgen names former 3M CFO Meline as finance chief ,June 9 Amgen Inc  the world's largest biotechnology company  on Monday named manufacturing and auto industry veteran David Meline as chief financial officer.,topStory
MMM,3M Company,20140609,3M CFO leaves; manufacturer names controller to post ,June 9 Diversified manufacturer 3M Co on Monday named its corporate controller and chief accounting officer as its new chief financial officer  replacing David Meline  who 3M said is leaving to become CFO "with another large publicly traded company.",normal
ACN,Accenture plc,20140609,U.S. top court rejects Accenture trade secrets appeal ,WASHINGTON  June 9 The U.S. Supreme Court on Monday left in place a $44 million damages award that Wellogix Inc won against Accenture Plc over alleged trade secrets theft.,topStory
AGN,Allergan plc,20140609,Ackman says Allergan holders back takeover at $180/shr: CNBC ,Allergan Inc shareholders have told activist investor William Ackman  who along with Valeant Pharmaceuticals is trying to buy Botox maker Allergan Inc that they would support a deal at $180 per share  Ackman said Monday.,topStory
AGN,Allergan plc,20140609,UPDATE 1-Ackman says Allergan holders back takeover at $180/shr-CNBC ,June 9 Allergan Inc shareholders have told activist investor William Ackman  who along with Valeant Pharmaceuticals is trying to buy Botox maker Allergan Inc that they would support a deal at $180 per share  Ackman said Monday.,normal
AGN,Allergan plc,20140609,Ackman says followed the rules with Allergan investment: CNBC ,Activist investor William Ackman said on Monday during an interview on CNBC he followed Securities and Exchange Commission rules when he invested in Allergan Inc and made a joint bid with Valeant Pharmaceuticals International Inc.,normal
AGN,Allergan plc,20140609,Ackman says followed the rules with Allergan investment - CNBC ,June 9 Activist investor William Ackman said on Monday during an interview on CNBC he followed Securities and Exchange Commission rules when he invested in Allergan Inc and made a joint bid with Valeant Pharmaceuticals International Inc .,normal
AGN,Allergan plc,20140609,Ackman says Allergan holders back takeover at $180/shr-CNBC ,June 9 Activist investor William Ackman on Monday defended Valeant Pharmaceuticals during an interview on CNBC television and said that Allergan Inc  shareholders told him they would support a deal at $180 per share.,normal
AMOV,America Movil SAB de CV,20140609,Fitch Rates America Movil's MXN17.5B Proposed Issuances 'A' and 'AAA(mex)' ,(The following statement was released by the rating agency) CHICAGO  June 09 (Fitch) Fitch Ratings has assigned an international scale  rating of 'A' and a national scale rating of 'AAA(mex)' to America Movil  S.A.B.  de C.V.'s (AMX) MXN10 billion senior notes due 2019 and MXN7.5 billion senior  notes due 2024. Proceeds from the issuance are expected to be used for general  corporate uses including debt repayment.  KEY RATING DRIVERS AMX's ratings reflect its diversified fixed and wireless opera,topStory
AMOV,America Movil SAB de CV,20140609,Antitrust watchdog OKs Slim's Telekom Austria pact ,VIENNA Austria's Federal Competition Agency (BWB) has approved a agreement by Carlos Slim's America Movil and the Austrian government to pool their shareholdings in Telekom Austria  the Austria Press Agency reported.,normal
AMOV,America Movil SAB de CV,20140609,Antitrust watchdog OKs Slim's Telekom Austria pact ,VIENNA  June 9 Austria's Federal Competition Agency (BWB) has approved a agreement by Carlos Slim's America Movil and the Austrian government to pool their shareholdings in Telekom Austria  the Austria Press Agency reported.,normal
AMX,America Movil SAB de CV,20140609,Fitch Rates America Movil's MXN17.5B Proposed Issuances 'A' and 'AAA(mex)' ,(The following statement was released by the rating agency) CHICAGO  June 09 (Fitch) Fitch Ratings has assigned an international scale  rating of 'A' and a national scale rating of 'AAA(mex)' to America Movil  S.A.B.  de C.V.'s (AMX) MXN10 billion senior notes due 2019 and MXN7.5 billion senior  notes due 2024. Proceeds from the issuance are expected to be used for general  corporate uses including debt repayment.  KEY RATING DRIVERS AMX's ratings reflect its diversified fixed and wireless opera,topStory
AMX,America Movil SAB de CV,20140609,Antitrust watchdog OKs Slim's Telekom Austria pact ,VIENNA Austria's Federal Competition Agency (BWB) has approved a agreement by Carlos Slim's America Movil and the Austrian government to pool their shareholdings in Telekom Austria  the Austria Press Agency reported.,normal
AMX,America Movil SAB de CV,20140609,Antitrust watchdog OKs Slim's Telekom Austria pact ,VIENNA  June 9 Austria's Federal Competition Agency (BWB) has approved a agreement by Carlos Slim's America Movil and the Austrian government to pool their shareholdings in Telekom Austria  the Austria Press Agency reported.,normal
BNS,Bank of Nova Scotia (The),20140609,Fitch Publishes New Issue Report on Bank of Nova Scotia's Legislative Mortgage Covered Bonds ,(The following statement was released by the rating agency) Link to Fitch Ratings' Report: Bank of Nova Scotia (Legislative Mortgage Covered  Bonds) http://www.fitchratings.com/creditdesk/reports/report_frame.cfm?rpt_id=745340 NEW YORK  June 09 (Fitch) Fitch Ratings has published a new issue report on the  Bank of Nova Scotia's legislative mortgage covered bonds  which is available on  the Fitch web site at 'www.fitchratings.com' or by clicking on the link.  Contact:  Vanessa Purwin Senior Direc,topStory
BA,Boeing Company (The),20140609,Turkish Airlines to convert option to buy 15 Boeing planes into firm order ,ISTANBUL  June 9 Flag carrier Turkish Airlines  said on Monday it has decided to convert an option to buy 15 Boeing 737-8 MAX airplanes into a firm order for delivery in 2020.,topStory
BP,BP plc,20140609,UPDATE 2-U.S. top court declines to block BP spill payments ,WASHINGTON  June 9 The U.S. Supreme Court on Monday declined to block payments BP PLC is required to make to businesses demanding compensation for the 2010 Gulf of Mexico oil spill as the company fights a lower court ruling.,topStory
BP,BP plc,20140609,U.S. top court denies BP stay request ,WASHINGTON  June 9 The U.S. Supreme Court on Monday declined to block payments BP PLC is required to pay to businesses demanding compensation for the 2010 Gulf of Mexico oil spill while the company appeals a lower court ruling.,normal
BP,BP plc,20140609,BP  Budweiser join soccer sponsors' revolt over Qatar ,* For related graphic  click on http://link.reuters.com/xux89v,normal
CHK,Chesapeake Energy Corporation,20140609,McClendon's firm to buy $4.25 billion of U.S. shale assets ,Aubrey McClendon's firm American Energy Partners LLP on Monday said it plans to buy shale oil and gas assets for $4.25 billion  the former Chesapeake Energy Corp CEO's biggest deal package yet in an aggressive bid to build a new company.,topStory
CHK,Chesapeake Energy Corporation,20140609,UPDATE 3-McClendon's firm to buy $4.25 bln of U.S. shale assets ,June 9 Aubrey McClendon's firm American Energy Partners LLP on Monday said it plans to buy shale oil and gas assets for $4.25 billion  the former Chesapeake Energy Corp  CEO's biggest deal package yet in an aggressive bid to build a new company.,normal
CHL,China Mobile (Hong Kong) Ltd,20140609,China Mobile to buy $881mln stake in Thai billionaire's True Corp ,BANGKOK State-owned China Mobile Ltd has agreed to buy an 18 percent stake in Thai telecoms group True Corp for $881 million  in Thailand's first major corporate deal since the military coup last month.,topStory
CHL,China Mobile (Hong Kong) Ltd,20140609,UPDATE 3-China Mobile to buy $881mln stake in Thai billionaire's True Corp ,* Dhanin's CP Group acquired a $9.4bln stake in Ping An Insurance in 2013,normal
CHL,China Mobile (Hong Kong) Ltd,20140609,China Mobile to buy stake in Thai True Corp for $882 million ,BANGKOK Thai telecoms group True Corp said it plans to raise up to 65 billion baht ($2.0 billion) from new share issues  including 28.6 billion baht ($882 million) in shares to be offered to China Mobile.,normal
CHL,China Mobile (Hong Kong) Ltd,20140609,China Mobile to buy stake in Thai True Corp for $882 mln ,BANGKOK  June 9 Thai telecoms group True Corp  said it plans to raise up to 65 billion baht ($2.0 billion) from new share issues  including 28.6 billion baht ($882 million) in shares to be offered to China Mobile .,normal
CHL,China Mobile (Hong Kong) Ltd,20140609,Thai True Corp to offer stake to China Mobile - source ,BANGKOK  June 9 Thai telecoms group True Corp  is to offer an 18 percent stake to China Mobile  via a private placement    as part of its plans to take on a foreign partner to help with regional expansion  a source with knowlegde of the deal said on Monday.,normal
C,Citigroup Inc,20140609,UPDATE 1-Citi loses bid to stop L.A. mortgage discrimination suit ,June 9 A lawsuit by the City of Los Angeles accusing Citigroup Inc of mortgage discrimination can go forward  a federal judge ruled on Monday  turning down the bank's motion to dismiss the case stemming from last decade's real estate boom.,normal
C,Citigroup Inc,20140609,Citi loses bid to stop L.A. mortgage discrimination suit ,June 9 A lawsuit by the City of Los Angeles accusing Citigroup Inc of mortgage discrimination can go forward  a federal judge ruled on Monday  turning down the bank's motion to dismiss the case stemming from last decade's real estate boom.,normal
C,Citigroup Inc,20140609,Trading scandals  legal fines may ramp up U.S. banks' capital needs ,NEW YORK Large U.S. banks are finding the billions of dollars they paid in recent years to settle lawsuits and fix broken businesses are coming back to haunt them in another place: their capital requirements.,normal
C,Citigroup Inc,20140609,Trading scandals  legal fines may ramp up U.S. banks' capital needs ,NEW YORK  June 9 Large U.S. banks are finding the billions of dollars they paid in recent years to settle lawsuits and fix broken businesses are coming back to haunt them in another place: their capital requirements.,normal
C,Citigroup Inc,20140609,UPDATE 2-Michelin to buy Sascar  tapping growth in Brazil truck market ,(Recasts  add details  financial advisers  GP Investments' return  share performance),normal
KO,Coca-Cola Company (The),20140609,UPDATE 6-Soccer sponsors raise pressure on FIFA over Qatar claims ,* Allegations cloud build-up to Brazil tournament this week,topStory
DLPH,Delphi Automotive plc,20140609,UPDATE 1-GM faulty-switch cases sent to New York court ,NEW YORK  June 9 A federal judicial panel ruled on Monday that lawsuits against General Motors Co from customers who say they suffered economic damages from a recall over faulty ignition switches will be heard in New York.,normal
DLPH,Delphi Automotive plc,20140609,GM faulty-switch cases sent to New York court ,NEW YORK  June 9 A federal judicial panel on Monday ruled that lawsuits against General Motors Co over economic damages allegedly caused by a recent recall for faulty ignition switches will be heard in Manhattan.,normal
DB,Deutsche Bank AG,20140609,Wilbur Ross sells entire holding in Bank of Ireland - Deutsche Bank ,LONDON  June 9 U.S. investor Wilbur Ross is to sell his entire holding of around 1.8 billion shares in the Bank of Ireland  Deutsche Bank said on Monday  in a deal which two sources familiar with the matter said would be priced at 0.26-0.275 euros per share.,topStory
DB,Deutsche Bank AG,20140609,CORRECTED-Deutsche Bank sets up bullion vault in London ,LONDON  June 9 Deutsche Bank said on Monday it begun operating a precious metals vault in London  joining a series of other institutions that offer to store gold in the global centre of the over-the-counter bullion market.,normal
DEO,Diageo plc,20140609,MEDIA-Britain's Diageo swings jobs axe in cost-cutting drive - Telegraph ,-- Note: Reuters has not verified this story and does not vouch for its accuracy,topStory
DG,Dollar General Corporation,20140609,Family Dollar adopts poison pill after Icahn sparks sales talk ,Family Dollar Stores Inc  adopted a poison pill to buy time to consider any possible deal that activist investor Carl Icahn could push for after becoming its largest shareholder.,topStory
D,Dominion Energy Inc,20140609,UPDATE 1-U.S. EPA asks for more time to review Cove Point LNG project ,WASHINGTON  June 9 U.S. environmental regulators have asked for more time to review a liquefied natural gas (LNG) export plant project planned for a site on a bay near Washington  D.C.,topStory
DCUD,Dominion Energy Inc,20140609,UPDATE 1-U.S. EPA asks for more time to review Cove Point LNG project ,WASHINGTON  June 9 U.S. environmental regulators have asked for more time to review a liquefied natural gas (LNG) export plant project planned for a site on a bay near Washington  D.C.,topStory
DRUA,Dominion Energy Inc,20140609,UPDATE 1-U.S. EPA asks for more time to review Cove Point LNG project ,WASHINGTON  June 9 U.S. environmental regulators have asked for more time to review a liquefied natural gas (LNG) export plant project planned for a site on a bay near Washington  D.C.,topStory
GM,General Motors Company,20140609,Two GM lawyers  quality control executive among those pushed out over switch ,DETROIT Two product litigation attorneys and a quality control executive are among the 15 employees who have been forced out by General Motors Co  over the company's poor handling of a defective ignition switch linked to at least 13 deaths  according to two people familiar with the decisions.,topStory
GM,General Motors Company,20140609,Two GM lawyers  quality control exec among those pushed out over switch ,DETROIT  June 9 Two product litigation attorneys and a quality control executive are among the 15 employees who have been forced out by General Motors Co over the company's poor handling of a defective ignition switch linked to at least 13 deaths  according to two people familiar with the decisions.,normal
GM,General Motors Company,20140609,GM faulty-switch cases sent to New York court ,NEW YORK A federal judicial panel ruled on Monday that lawsuits against General Motors Co from customers who say they suffered economic damages from a recall over faulty ignition switches will be heard in New York.,normal
GM,General Motors Company,20140609,UPDATE 1-GM faulty-switch cases sent to New York court ,NEW YORK  June 9 A federal judicial panel ruled on Monday that lawsuits against General Motors Co from customers who say they suffered economic damages from a recall over faulty ignition switches will be heard in New York.,normal
GM,General Motors Company,20140609,GM faulty-switch cases sent to New York court ,NEW YORK  June 9 A federal judicial panel on Monday ruled that lawsuits against General Motors Co over economic damages allegedly caused by a recent recall for faulty ignition switches will be heard in Manhattan.,normal
GS,Goldman Sachs Group Inc (The),20140609,Ex-Goldman  Noble execs target July launch for Asia hedge fund ,HONG KONG  June 9 Guard Capital Management  a hedge fund start-up by two top traders formerly with Goldman Sachs and Noble Group  is aiming to launch next month and has hired at least four executives  one person with knowledge of the matter said.,topStory
HPQ,HP Inc,20140609,Zuckerberg  other Facebook directors are sued over pay plan ,June 9 Mark Zuckerberg and other members of Facebook Inc's board have been sued by a shareholder who claimed a policy letting them annually award directors more than $150 million of stock each if they choose is unreasonably generous.,normal
ITW,Illinois Tool Works Inc,20140609,Illinois parts-maker fights U.S. IRS over cross-border tax deal ,WASHINGTON The U.S. Internal Revenue Service and manufacturer Illinois Tool Works Inc are battling in U.S. Tax Court over a $356.8 million dispute that highlights a type of cross-border tax avoidance strategy facing increased scrutiny worldwide.,topStory
ITW,Illinois Tool Works Inc,20140609,Illinois parts-maker fights U.S. IRS over cross-border tax deal ,WASHINGTON  June 9 The U.S. Internal Revenue Service and manufacturer Illinois Tool Works Inc are battling in U.S. Tax Court over a $356.8 million dispute that highlights a type of cross-border tax avoidance strategy facing increased scrutiny worldwide.,normal
IGT,International Game Technology,20140609,Exclusive: Slot machine maker International Game Technology eyes sale - sources ,NEW YORK International Game Technology   a Las Vegas-based slot machine maker  has hired Morgan Stanley  to explore a sale as the gaming industry pursues consolidation to combat slow growth  people familiar with the matter said on Monday.,topStory
IGT,International Game Technology,20140609,US STOCKS-Dow  S&P 500 extend string of record closes; VIX up ,* International Game Technology shares fly after Reuters report,normal
IVZ,Invesco Plc,20140609,MOVES- Invesco Powershares  Willis Group  Benson Elliot  Lloyds Bank ,June 9 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
JPM,J P Morgan Chase & Co,20140609,JPMorgan names Kulkarni head of investment banking for India -memo ,HONG KONG  June 9 JPMorgan Chase & Co  has named Kaustubh Kulkarni as its head of India investment banking to replace Rohit Chatterji  who will become head of the bank's emerging Asia mergers and acquisitions business  according to an internal memo obtained by Reuters on Monday.,topStory
JPM,J P Morgan Chase & Co,20140609,Trading scandals  legal fines may ramp up U.S. banks' capital needs ,NEW YORK  June 9 Large U.S. banks are finding the billions of dollars they paid in recent years to settle lawsuits and fix broken businesses are coming back to haunt them in another place: their capital requirements.,normal
LYG,Lloyds Banking Group Plc,20140609,Deals of the day- Mergers and acquisitions ,(Updates Tyson Foods  Lloyds Banking  Family Dollar; adds all items below Family Dollar),topStory
LYG,Lloyds Banking Group Plc,20140609,UPDATE 3-Lloyds prices TSB stock market listing below book value ,* Could eventually pay dividend worth 40-60 pct of earnings   (Adds further details from IPO prospectus),normal
LYG,Lloyds Banking Group Plc,20140609,UK's TSB says 2013 profit was $289 million -IPO prospectus ,LONDON  June 9 TSB   the new British bank being spun off from Lloyds Banking Group  made a profit of 172 million pounds ($289 million) last year  according to the prospectus for its stock market listing.,normal
LYG,Lloyds Banking Group Plc,20140609,Lloyds prices TSB stock market listing below book value ,LONDON Britain's Lloyds Banking Group has priced the stock market listing of its TSB business at below book value  aiming to attract investors amid a flurry of new issues and make progress on a much-delayed  costly sale.,normal
LYG,Lloyds Banking Group Plc,20140609,Lloyds Bank prices TSB stock market listing below book value ,LONDON  June 9 Lloyds Banking Group  said on Monday it would sell a quarter of its shares in TSB  through a listing on the London stock market priced at below the business's book value.,normal
