VNET,21Vianet Group Inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  21Vianet  Crocs ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
AAPL,Apple Inc,20140911,China misses out on first wave of new iPhone releases ,BEIJING Consumers in China  who represent an increasingly critical pillar of Apple Inc's business  will not be able to buy the new iPhone 6 as part of the first wave of buyers around the world this month.,normal
AAPL,Apple Inc,20140911,Apple payments service may boost sales of larger iPhones ,The addition of a mobile payments service to Apple Inc's next iPhone could help to boost sales of the larger-screen phones and claw back market share lost to mobiles running on Google Inc's Android platform. | Video ,normal
AAPL,Apple Inc,20140911,UPDATE 1-China misses out on first wave of new iPhone releases ,BEIJING  Sept 11 Millions of people in China  increasingly a critical pillar of Apple Inc's business  may have to wait until the year-end before they can buy the new iPhone 6.,normal
AAPL,Apple Inc,20140911,Swiss stocks - Factors to watch on Sept 11 ,ZURICH  Sept 11 Swiss stocks were expected to open higher on Thursday  in line with European markets seen tracking gains on Wall Street where Apple rebounded  boosted by bullish analyst notes.,normal
ARGS,Argos Therapeutics Inc,20140911,Home Retail says "no decision" to divest Homebase ,LONDON  Sept 11 The chief executive of Argos-owner Home Retail Group said the group had not taken a decision to sell its Homebase D.I.Y chain amid media speculation that the group could sell the division to private equity investors.,topStory
ARGS,Argos Therapeutics Inc,20140911,UPDATE 1-Home Retail Group says Argos quarterly sales rise ,LONDON  Sept 11 Sales at Home Retail Group's  Argos household goods chain rose for the ninth quarter in row and gross margins recovered  although the sales increase fell short of market expectations.,normal
ARGS,Argos Therapeutics Inc,20140911,Home Retail Group says Argos like-for-like quarterly sales rise ,LONDON  Sept 11 Britain's Home Retail Group  posted its ninth consecutive quarter of improvement in like-for-like sales at its Argos household goods chain  although the rise was short of market expectations  accompanied by an increase in its gross margin at the stores.,normal
CBOE,CBOE Holdings Inc,20140911,CBOE may hand off regulatory duties to independent agency ,CHICAGO CBOE Holdings Inc  operator of the largest U.S. stock-options market  may hand off some of its regulatory duties to the securities industry's largest independent regulator within the next several months  the company said on Thursday.,topStory
CBOE,CBOE Holdings Inc,20140911,CBOE may hand off regulatory duties to independent agency ,CHICAGO  Sept 11 CBOE Holdings Inc  operator of the largest U.S. stock-options market  may hand off some of its regulatory duties to the securities industry's largest independent regulator within the next several months  the company said on Thursday.,normal
CMCSA,Comcast Corporation,20140911,Exclusive: State attorneys general probing AT&T deal for DirecTV ,WASHINGTON State attorneys general working to determine whether Comcast Corp's  deal to buy Time Warner Cable Inc  is legal have expanded their investigation to include AT&T Inc's  plans to buy DirecTV   according to sources close to the merger probe.,topStory
CMCSA,Comcast Corporation,20140911,Deals of the day- Mergers and acquisitions ,(Updates EMC; Adds Akorn  Comcast  Grupos Salinas  Lucchini  Dentsu Aegis  Slovenske Elektrarne  Enel  BauMax  Verizon  Wind  BSkyB  Allergan  Hapag-Lloyd  Douglas  Eastman Chemical and Vodafone),normal
CROX,Crocs Inc,20140911,Crocs trying to monopolize marketplace  competitor says ,A family-owned  Nevada-based shoe company is taking on the giant shoe maker Crocs  accusing it of creating a monopoly by suing smaller competitors and putting them out of business.,topStory
CROX,Crocs Inc,20140911,Crocs trying to monopolize marketplace  competitor says ,A family-owned  Nevada-based shoe company is taking on the giant shoe maker Crocs  accusing it of creating a monopoly by suing smaller competitors and putting them out of business.,normal
CROX,Crocs Inc,20140911,Crocs trying to monopolize marketplace  competitor says ,Sept 11 A family-owned  Nevada-based shoe company is taking on the giant shoe maker Crocs  accusing it of creating a monopoly by suing smaller competitors and putting them out of business.,normal
CROX,Crocs Inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  21Vianet  Crocs ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
DLTR,Dollar Tree Inc,20140911,Some Dollar Tree investors see advantages if Family Dollar bid fails ,BOSTON Some Dollar Tree Inc  investors are crossing their fingers the company doesn't succeed in its $8.5 billion takeover of Family Dollar Stores Inc   saying it could expand and repurchase stock with the $305 million breakup fee while avoiding all the risk of a major acquisition.,topStory
DLTR,Dollar Tree Inc,20140911,Some Dollar Tree investors see advantages if Family Dollar bid fails ,BOSTON  Sept 11 Some Dollar Tree Inc  investors are crossing their fingers the company doesn't succeed in its $8.5 billion takeover of Family Dollar Stores Inc   saying it could expand and repurchase stock with the $305 million breakup fee while avoiding all the risk of a major acquisition.,normal
DLTR,Dollar Tree Inc,20140911,UPDATE 2-Dollarama profit rises as stores increase  customers spend more ,Sept 11 Canadian dollar-store operator Dollarama Inc reported a 15 percent rise in quarterly profit as its number of stores increased and customers spent more per visit.,normal
EBAY,eBay Inc,20140911,UPDATE 1-EBay to launch an in-app mobile ad network in fourth quarter ,SAN FRANCISCO  Sept 11 EBay Inc will begin running advertisements on its mobile app in the fourth quarter  moving the e-commerce company into the fast-growing and lucrative market for ads on devices such as smart phones and tablets.,topStory
EBAY,eBay Inc,20140911,EBay to launch an in-app mobile advertising network ,SAN FRANCISCO EBay Inc plans to launch an advertising network for its mobile app  moving the company into the lucrative  fast-growing market for ads on devices such as smart phones and tablets.,normal
EBAY,eBay Inc,20140911,EBay to launch an in-app mobile advertising network ,SAN FRANCISCO  Sept 11 EBay Inc plans to launch an advertising network for its mobile app  moving the company into the lucrative  fast-growing market for ads on devices such as smart phones and tablets.,normal
EBAY,eBay Inc,20140911,EBay chief technical officer departs to deal with family matters ,SAN FRANCISCO EBay Inc's Chief Technical Officer Mark Carges has resigned to focus on "a family matter " the online retailer said on Thursday without naming a replacement.,normal
EBAY,eBay Inc,20140911,EBay chief technical officer departs to deal with family matters ,SAN FRANCISCO  Sept 11 EBay Inc's Chief Technical Officer Mark Carges has resigned to focus on "a family matter " the online retailer said on Thursday without naming a replacement.,normal
EBAYL,eBay Inc,20140911,UPDATE 1-EBay to launch an in-app mobile ad network in fourth quarter ,SAN FRANCISCO  Sept 11 EBay Inc will begin running advertisements on its mobile app in the fourth quarter  moving the e-commerce company into the fast-growing and lucrative market for ads on devices such as smart phones and tablets.,topStory
EBAYL,eBay Inc,20140911,EBay to launch an in-app mobile advertising network ,SAN FRANCISCO EBay Inc plans to launch an advertising network for its mobile app  moving the company into the lucrative  fast-growing market for ads on devices such as smart phones and tablets.,normal
EBAYL,eBay Inc,20140911,EBay to launch an in-app mobile advertising network ,SAN FRANCISCO  Sept 11 EBay Inc plans to launch an advertising network for its mobile app  moving the company into the lucrative  fast-growing market for ads on devices such as smart phones and tablets.,normal
EBAYL,eBay Inc,20140911,EBay chief technical officer departs to deal with family matters ,SAN FRANCISCO EBay Inc's Chief Technical Officer Mark Carges has resigned to focus on "a family matter " the online retailer said on Thursday without naming a replacement.,normal
EBAYL,eBay Inc,20140911,EBay chief technical officer departs to deal with family matters ,SAN FRANCISCO  Sept 11 EBay Inc's Chief Technical Officer Mark Carges has resigned to focus on "a family matter " the online retailer said on Thursday without naming a replacement.,normal
EFOI,Energy Focus Inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  Energy Focus  Sprint ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
FB,Facebook Inc,20140911,UPDATE 1-Alliance Data to buy Conversant for $2.3 bln ,Sept 11 Credit card processor Alliance Data Systems Corp said it will buy Conversant Inc  for about $2.3 billion in cash and stock to boost its digital marketing business.,normal
GLNG,Golar LNG Limited,20140911,BRIEF-Golar LNG announces closing of secondary offering of its common stock by World Shipholding ,* Said on Wednesday it was closing secondary offering of 32 000 000 shares of its common stock by World Shipholding Ltd,topStory
LBTYA,Liberty Global plc,20140911,Miners dent Britain's FTSE on China demand fears; Next weakens ,* Vodafone falls; CEO says open to Liberty Global deal-Bloomberg,topStory
LBTYA,Liberty Global plc,20140911,Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON Vodafone's  chief executive Vittorio Colao said Europe's biggest cable group Liberty Global  could be a good fit for the mobile operator "for the right price"  according to a Bloomberg report.,normal
LBTYA,Liberty Global plc,20140911,UPDATE 1-Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON  Sept 11 Vodafone's chief executive Vittorio Colao said Europe's biggest cable group Liberty Global could be a good fit for the mobile operator "for the right price"  according to a Bloomberg report.,normal
LBTYA,Liberty Global plc,20140911,Comcast unit  Liberty Global in deal to connect WiFi networks ,Comcast Cable Communications LLC  a unit of cable company Comcast Corp   said it had agreed on a deal with Liberty Global Plc  to give customers of both the companies access to each other's WiFi hotspots by 2015.,normal
LBTYA,Liberty Global plc,20140911,Comcast unit  Liberty Global in deal to connect WiFi networks ,Sept 11 Comcast Cable Communications LLC  a unit of cable company Comcast Corp  said it had agreed on a deal with Liberty Global Plc to give customers of both the companies access to each other's WiFi hotspots by 2015.,normal
LBTYA,Liberty Global plc,20140911,Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON  Sept 11 Network operator Vodafone's  chief executive has reportedly said he is open to a deal with cable group Liberty Global at the right price  traders said  citing a report posted on Bloomberg terminals.,normal
LBTYA,Liberty Global plc,20140911,BRIEF-Liberty Global says Ziggo offer deadline extended to Nov. 4 ,* Acceptance period for Liberty Global's previously announced recommended public offer of Ziggo has been extended to 17:40 hours CET on Nov 4  2014,normal
LBTYB,Liberty Global plc,20140911,Miners dent Britain's FTSE on China demand fears; Next weakens ,* Vodafone falls; CEO says open to Liberty Global deal-Bloomberg,topStory
LBTYB,Liberty Global plc,20140911,Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON Vodafone's  chief executive Vittorio Colao said Europe's biggest cable group Liberty Global  could be a good fit for the mobile operator "for the right price"  according to a Bloomberg report.,normal
LBTYB,Liberty Global plc,20140911,UPDATE 1-Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON  Sept 11 Vodafone's chief executive Vittorio Colao said Europe's biggest cable group Liberty Global could be a good fit for the mobile operator "for the right price"  according to a Bloomberg report.,normal
LBTYB,Liberty Global plc,20140911,Comcast unit  Liberty Global in deal to connect WiFi networks ,Comcast Cable Communications LLC  a unit of cable company Comcast Corp   said it had agreed on a deal with Liberty Global Plc  to give customers of both the companies access to each other's WiFi hotspots by 2015.,normal
LBTYB,Liberty Global plc,20140911,Comcast unit  Liberty Global in deal to connect WiFi networks ,Sept 11 Comcast Cable Communications LLC  a unit of cable company Comcast Corp  said it had agreed on a deal with Liberty Global Plc to give customers of both the companies access to each other's WiFi hotspots by 2015.,normal
LBTYB,Liberty Global plc,20140911,Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON  Sept 11 Network operator Vodafone's  chief executive has reportedly said he is open to a deal with cable group Liberty Global at the right price  traders said  citing a report posted on Bloomberg terminals.,normal
LBTYB,Liberty Global plc,20140911,BRIEF-Liberty Global says Ziggo offer deadline extended to Nov. 4 ,* Acceptance period for Liberty Global's previously announced recommended public offer of Ziggo has been extended to 17:40 hours CET on Nov 4  2014,normal
LBTYK,Liberty Global plc,20140911,Miners dent Britain's FTSE on China demand fears; Next weakens ,* Vodafone falls; CEO says open to Liberty Global deal-Bloomberg,topStory
LBTYK,Liberty Global plc,20140911,Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON Vodafone's  chief executive Vittorio Colao said Europe's biggest cable group Liberty Global  could be a good fit for the mobile operator "for the right price"  according to a Bloomberg report.,normal
LBTYK,Liberty Global plc,20140911,UPDATE 1-Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON  Sept 11 Vodafone's chief executive Vittorio Colao said Europe's biggest cable group Liberty Global could be a good fit for the mobile operator "for the right price"  according to a Bloomberg report.,normal
LBTYK,Liberty Global plc,20140911,Comcast unit  Liberty Global in deal to connect WiFi networks ,Comcast Cable Communications LLC  a unit of cable company Comcast Corp   said it had agreed on a deal with Liberty Global Plc  to give customers of both the companies access to each other's WiFi hotspots by 2015.,normal
LBTYK,Liberty Global plc,20140911,Comcast unit  Liberty Global in deal to connect WiFi networks ,Sept 11 Comcast Cable Communications LLC  a unit of cable company Comcast Corp  said it had agreed on a deal with Liberty Global Plc to give customers of both the companies access to each other's WiFi hotspots by 2015.,normal
LBTYK,Liberty Global plc,20140911,Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON  Sept 11 Network operator Vodafone's  chief executive has reportedly said he is open to a deal with cable group Liberty Global at the right price  traders said  citing a report posted on Bloomberg terminals.,normal
LBTYK,Liberty Global plc,20140911,BRIEF-Liberty Global says Ziggo offer deadline extended to Nov. 4 ,* Acceptance period for Liberty Global's previously announced recommended public offer of Ziggo has been extended to 17:40 hours CET on Nov 4  2014,normal
LULU,lululemon athletica inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  21Vianet  Crocs ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
LULU,lululemon athletica inc,20140911,Lululemon raises outlook as profit beats  but store traffic slips ,TORONTO A jump in online sales helped yogawear chain Lululemon Athletica Inc  report a higher-than-expected quarterly profit on Thursday  mitigating some of the damage from a series of mishaps last year  while spurring it to increase its full-year earnings forecast and pushing its stock higher.,normal
LULU,lululemon athletica inc,20140911,UPDATE 3-Lululemon profit beat sparks stock rise  recovery hopes ,(Updates with details from conference call  analyst comment and stock reaction),normal
LULU,lululemon athletica inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  Energy Focus  Sprint ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
LULU,lululemon athletica inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  Taminco  JDS ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
LULU,lululemon athletica inc,20140911,BRIEF-Lululemon about half-way through search for new CFO ,* Says expects gross margin to return to mid-50s level in 2016,normal
LULU,lululemon athletica inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  JDS  Sigma ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
LULU,lululemon athletica inc,20140911,BUZZ-U.S. Stocks on the Move-E2open  RadioShack  Lululemon  Sigma ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
LULU,lululemon athletica inc,20140911,US STOCKS-JDS Uniphase  Lululemon among biggest premarket movers ,NEW YORK  Sept 11 JDS Uniphase and Lululemon Athletica Inc were among the biggest premarket movers on Thursday  with both companies moving on heavy volume and on track for their biggest one-day jumps in years.,normal
LULU,lululemon athletica inc,20140911,RPT-UPDATE 1-Lululemon's profit beats estimates as online sales rise ,(Repeats to widen subscription without changes to text or headline),normal
MSFT,Microsoft Corporation,20140911,Exclusive : Microsoft co-founder Allen to give $9 million for Ebola fight ,NEW YORK Microsoft Corp co-founder Paul Allen's charitable foundation on Thursday will announce it is donating $9 million to support U.S. efforts to fight the Ebola outbreak in West Africa  a source familiar with the matter said.,topStory
OREX,Orexigen Therapeutics Inc,20140911,CORRECTED-Long-awaited diet pill gets U.S. approval ,(Corrects paragraph 9 to say RS Investments  not RS Investments' value fund  holds a stake in Orexigen. A previous version was corrected to fix Daniel Lang's designation),topStory
QCOM,QUALCOMM Incorporated,20140911,China's antitrust regulators defend probes; Qualcomm inquiry nearly over ,BEIJING China's three anti-monopoly regulators on Thursday launched a vigorous defense of their recent investigations into foreign companies  which have prompted mounting international criticism  and said they are not targeting multinational firms.,topStory
QCOM,QUALCOMM Incorporated,20140911,UPDATE 2-China's antitrust regulators defend probes; Qualcomm inquiry nearly over ,BEIJING  Sept 11 China's three anti-monopoly regulators on Thursday launched a vigorous defence of their recent investigations into foreign companies  which have prompted mounting international criticism  and said they are not targeting multinational firms.,normal
ROLL,RBC Bearings Incorporated,20140911,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters Sep 11  2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                           Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.              ** Fo,topStory
SIGM,Sigma Designs Inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  JDS  Sigma ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
SIGM,Sigma Designs Inc,20140911,BUZZ-U.S. Stocks on the Move-E2open  RadioShack  Lululemon  Sigma ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
SGRP,SPAR Group Inc,20140911,INDONESIA PRESS-Ramayana to open Dutch's SPAR outlets in Indonesia-Kontan ,Department store operator PT Ramayana Lestari Sentosa Tbk  has signed an agreement with Dutch food retailer SPAR International BV to open its supermarkets in Indonesia  said Ramayana's Finance Director Suryanto.,topStory
TSLA,Tesla Inc ,20140911,UPDATE 2-Nevada lawmakers to consider huge tax breaks for Tesla ,CARSON CITY  Nev.  Sept 10 Nevada lawmakers convened in a special session on Wednesday to consider tax breaks and other incentives worth an estimated $1.3 billion to clinch a deal hammered out by Governor Brian Sandoval with Tesla Motors Inc to build a massive battery factory in the state.,topStory
VVUS,VIVUS Inc,20140911,Long-awaited diet pill gets U.S. approval ,A new diet pill Contrave got approval to be sold in the United States on Wednesday  only the third obesity treatment in more than a decade to win approval from the Food and Drug Administration.,normal
VOD,Vodafone Group Plc,20140911,Deals of the day- Mergers and acquisitions ,(Updates EMC; Adds Akorn  Comcast  Grupos Salinas  Lucchini  Dentsu Aegis  Slovenske Elektrarne  Enel  BauMax  Verizon  Wind  BSkyB  Allergan  Hapag-Lloyd  Douglas  Eastman Chemical and Vodafone),topStory
VOD,Vodafone Group Plc,20140911,Vodafone CEO says open to Liberty Global deal -Bloomberg ,LONDON  Sept 11 Network operator Vodafone's  chief executive has reportedly said he is open to a deal with cable group Liberty Global at the right price  traders said  citing a report posted on Bloomberg terminals.,normal
AEB,Aegon NV,20140911,WRAPUP 4-British banks warn they'll head south if Scotland quits UK ,EDINBURGH  Sept 11 The battle for the hearts and heads of the Scottish people intensified on Thursday as two banks said they would shift their registered head offices to London if Scotland voted to break away from the United Kingdom in a referendum next week.,topStory
AEB,Aegon NV,20140911,BRIEF-Insurer Aegon says to create new life co in England if Scotland quits ,* Aegon shares plans in the event of Scotland voting for independence,normal
AED,Aegon NV,20140911,WRAPUP 4-British banks warn they'll head south if Scotland quits UK ,EDINBURGH  Sept 11 The battle for the hearts and heads of the Scottish people intensified on Thursday as two banks said they would shift their registered head offices to London if Scotland voted to break away from the United Kingdom in a referendum next week.,topStory
AED,Aegon NV,20140911,BRIEF-Insurer Aegon says to create new life co in England if Scotland quits ,* Aegon shares plans in the event of Scotland voting for independence,normal
AEG,Aegon NV,20140911,WRAPUP 4-British banks warn they'll head south if Scotland quits UK ,EDINBURGH  Sept 11 The battle for the hearts and heads of the Scottish people intensified on Thursday as two banks said they would shift their registered head offices to London if Scotland voted to break away from the United Kingdom in a referendum next week.,topStory
AEG,Aegon NV,20140911,BRIEF-Insurer Aegon says to create new life co in England if Scotland quits ,* Aegon shares plans in the event of Scotland voting for independence,normal
AEH,Aegon NV,20140911,WRAPUP 4-British banks warn they'll head south if Scotland quits UK ,EDINBURGH  Sept 11 The battle for the hearts and heads of the Scottish people intensified on Thursday as two banks said they would shift their registered head offices to London if Scotland voted to break away from the United Kingdom in a referendum next week.,topStory
AEH,Aegon NV,20140911,BRIEF-Insurer Aegon says to create new life co in England if Scotland quits ,* Aegon shares plans in the event of Scotland voting for independence,normal
AEK,Aegon NV,20140911,WRAPUP 4-British banks warn they'll head south if Scotland quits UK ,EDINBURGH  Sept 11 The battle for the hearts and heads of the Scottish people intensified on Thursday as two banks said they would shift their registered head offices to London if Scotland voted to break away from the United Kingdom in a referendum next week.,topStory
AEK,Aegon NV,20140911,BRIEF-Insurer Aegon says to create new life co in England if Scotland quits ,* Aegon shares plans in the event of Scotland voting for independence,normal
AA,Alcoa Corporation,20140911,Alcoa signs Boeing deal worth more than $1 billion ,Alcoa Inc  has signed a long-term contract to supply planemaker Boeing Co  with aluminum sheet and plate that is worth more than $1 billion  the metals company said on Thursday.,topStory
AA,Alcoa Corporation,20140911,UPDATE 1-Alcoa signs Boeing deal worth more than $1 billion ,Sept 11 Alcoa Inc has signed a long-term contract to supply planemaker Boeing Co with aluminum sheet and plate that is worth more than $1 billion  the metals company said on Thursday.,normal
AA,Alcoa Corporation,20140911,BRIEF-Alcoa signs multiyear supply contract with Boeing valued at more than $1 bln ,* Signs multiyear supply contract with Boeing valued at more than $1 billion,normal
AA,Alcoa Corporation,20140911,Alcoa signs Boeing deal worth more than $1 bln ,Sept 11 Alcoa Inc has signed a long-term contract to supply planemaker Boeing Co with aluminum sheet and plate that is worth more than $1 billion  the metals company said on Thursday.,normal
AGN,Allergan plc,20140911,Deals of the day- Mergers and acquisitions ,(Updates EMC; Adds Akorn  Comcast  Grupos Salinas  Lucchini  Dentsu Aegis  Slovenske Elektrarne  Enel  BauMax  Verizon  Wind  BSkyB  Allergan  Hapag-Lloyd  Douglas  Eastman Chemical and Vodafone),topStory
AGN,Allergan plc,20140911,Allergan investors owning 35 percent to demand special meeting: sources ,NEW YORK Billionaire William Ackman has signed up Allergan  investors who combined own at least 35 percent of the company to call a special shareholder meeting  according to people familiar with the matter  giving the hedge fund manager a victory in his fight to acquire the Botox maker.,normal
AGN,Allergan plc,20140911,UPDATE 3-Allergan investors owning 35 pct to demand special meeting -sources ,NEW YORK  Sept 11 Billionaire William Ackman has signed up Allergan investors who combined own at least 35 percent of the company to call a special shareholder meeting  according to people familiar with the matter  giving the hedge fund manager a victory in his fight to acquire the Botox maker.,normal
AGN,Allergan plc,20140911,Allergan investors owning 35 pct to demand special meeting-sources ,NEW YORK  Sept 11 Billionaire William Ackman is close to signing up Allergan investors who combined own at least 35 percent of the Botox maker to call a special shareholder meeting  according to people familiar with the matter  giving the hedge fund manager a victory in his fight to acquire Allergan.,normal
ADS,Alliance Data Systems Corporation,20140911,Alliance Data to buy Conversant for $2.3 billion ,Credit card processor Alliance Data Systems Corp  said it will buy Conversant Inc  for about $2.3 billion in cash and stock to boost its digital marketing business.,topStory
ADS,Alliance Data Systems Corporation,20140911,UPDATE 1-Alliance Data to buy Conversant for $2.3 bln ,Sept 11 Credit card processor Alliance Data Systems Corp said it will buy Conversant Inc  for about $2.3 billion in cash and stock to boost its digital marketing business.,normal
ADS,Alliance Data Systems Corporation,20140911,Alliance Data to buy Conversant for $2.3 bln ,Sept 11 Credit card processor Alliance Data Systems Corp said it will buy digital marketing company Conversant Inc for about $2.3 billion in cash and stock.,normal
ARES,Ares Management LP,20140911,Food retailer Smart & Final expects IPO to be priced at $12 to $14 per share ,Food retailer Smart & Final Stores Inc  backed by private equity firm Ares Management LP   expects its initial public offering of common stock to be priced between $12 and $14 per share.,topStory
ARES,Ares Management LP,20140911,Food retailer Smart & Final expects IPO to be priced at $12-$14/share ,Sept 11 Food retailer Smart & Final Stores Inc  backed by private equity firm Ares Management LP  expects its initial public offering of common stock to be priced between $12 and $14 per share.,normal
T,AT&T Inc,20140911,Exclusive: State attorneys general probing AT&T deal for DirecTV ,WASHINGTON State attorneys general working to determine whether Comcast Corp's  deal to buy Time Warner Cable Inc  is legal have expanded their investigation to include AT&T Inc's  plans to buy DirecTV   according to sources close to the merger probe.,topStory
