ADBE,Adobe Systems Incorporated,20140516,Adobe Creative Cloud up after outage  may compensate customers ,May 16 Adobe Systems Inc said on Friday that access to its Creative Cloud was restored following an outage that disrupted the Web-based  subscription service to top-selling software programs including Photoshop  Illustrator and Flash for about a day.,topStory
TRUE,TrueCar Inc,20140516,TrueCar.com owner's shares rise about 20 percent in debut ,Shares of TrueCar Inc   owner of car comparison website TrueCar.com  rose about 20 percent in their market debut  valuing the company at about $764 million.,normal
TRUE,TrueCar Inc,20140516,TrueCar.com owner's shares rise about 15 pct in debut ,May 16 Shares of TrueCar Inc  owner of car comparison website TrueCar.com  rose about 15 percent in their market debut  valuing the company at about $735 million.,normal
ABT,Abbott Laboratories,20140516,Abbott to buy Latin American drugmaker CFR in $2.9 billion deal ,Abbott Laboratories  said on Friday it would acquire Chile's CFR Pharmaceuticals SA  in a $2.9 billion deal that will more than double its branded generic drugs business in the fast-growing Latin American market.,topStory
ABT,Abbott Laboratories,20140516,UPDATE 3-Abbott to buy Latin American drugmaker CFR in $2.9 bln deal ,May 16 Abbott Laboratories said on Friday it would acquire Chile's CFR Pharmaceuticals SA  in a $2.9 billion deal that will more than double its branded generic drugs business in the fast-growing Latin American market.,normal
ABT,Abbott Laboratories,20140516,Chile CFR shares jump over 45 pct following news of Abbott deal ,SANTIAGO  May 16 Shares in CFR Pharmaceuticals SA jumped over 45 percent in opening trade on Friday following news that Abbott Laboratories would acquire the company in a $2.9 billion deal.,normal
ABT,Abbott Laboratories,20140516,Abbott to buy Latin American drugmaker CFR Pharma ,May 16 Abbott Laboratories said it would acquire Latin American pharmaceutical company CFR Pharmaceuticals  which would more than double its branded generic drugs portfolio and expand its presence in Latin America.,normal
AA,Alcoa Corporation,20140516,Alcoa  union at U.S. metal plants reach tentative agreement ,May 16 Alcoa Inc said it had reached a tentative agreement on a new five-year labor contract with the unionized workers at 10 U.S. metal plants shortly before the expiration of their previous labor contract.,topStory
AGN,Allergan plc,20140516,Valeant to consider breakup after mega deals: investors ,NEW YORK Valeant Pharmaceuticals International Inc  would consider splitting up if it became too large from its aggressive acquisition strategy  according to a few top 20 Allergan Inc  shareholders who were briefed by Valeant management.,topStory
AGN,Allergan plc,20140516,Valeant to consider breakup after mega deals -investors ,NEW YORK  May 16 Valeant Pharmaceuticals International Inc would consider splitting up if it became too large from its aggressive acquisition strategy  according to a few top 20 Allergan Inc shareholders who were briefed by Valeant management.,normal
AZN,Astrazeneca PLC,20140516,UPDATE 1-Pfizer to apply for early U.S. approval of breast cancer drug ,May 16 Pfizer Inc  which is in the process of trying to acquire British rival AstraZeneca  for more than $100 billion  on Friday said it planned to file for U.S. approval for palbociclib  its experimental drug for advanced breast cancer  in the third quarter.,topStory
AZN,Astrazeneca PLC,20140516,Pfizer to apply for early U.S. approval of breast cancer drug ,Pfizer Inc  which is in the process of trying to acquire British rival AstraZeneca for more than $100 billion  on Friday said it planned to seek U.S. approval for palbociclib  its experimental drug for advanced breast cancer  in the third quarter.,normal
AZN,Astrazeneca PLC,20140516,Pfizer to apply for early U.S. approval of breast cancer drug ,May 16 Pfizer Inc  which is in the process of trying to acquire British rival AstraZeneca  for more than $100 billion  on Friday said it planned to seek U.S. approval for palbociclib  its experimental drug for advanced breast cancer  in the third quarter.,normal
AZN,Astrazeneca PLC,20140516,Sweden fights back as Pfizer move on Astra threatens jobs ,STOCKHOLM The Swedish government launched a fightback on Friday against U.S. drugmaker Pfizer's  proposed takeover of AstraZeneca   which has half its roots and more than 5 000 staff in Sweden  highlighting the risks to jobs and science.,normal
AZN,Astrazeneca PLC,20140516,UPDATE 2-Sweden fights back as Pfizer move on Astra threatens jobs ,* Pfizer pledge on R&D jobs in UK increases threat to Sweden   (Adds further comments from Borg),normal
AZN,Astrazeneca PLC,20140516,Takeda not interested in synergy or tax-driven M&A - CFO ,TOKYO  May 16 Takeda Pharmaceutical Co Ltd   Japan's biggest drug company  has no interest in acquisitions driven by tax benefits or synergies  its chief financial officer said  dismissing the forces behind Pfizer Inc's $106 billion offer for AstraZeneca PLC.,normal
AZN,Astrazeneca PLC,20140516,Swedish ministers urge Astra owners to consider Pfizer rebuff ,STOCKHOLM  May 16 Owners of drugmaker AstraZeneca  which has half its roots in Sweden  should seriously consider rejecting U.S. rival Pfizer's  proposed takeover unless the consequences are mapped out more clearly  three Swedish government ministers said.,normal
BA,Boeing Company (The),20140516,Boeing vows to fight unfair U.S. labor practices ruling ,SEATTLE Boeing Co  vowed on Friday to contest a ruling that found the plane maker committed unfair labor practices against its unionized engineers near Seattle and in Portland  Oregon  when it photographed and videotaped workplace marches in 2012.,topStory
BA,Boeing Company (The),20140516,Boeing vows to fight unfair U.S. labor practices ruling ,SEATTLE  May 15 Boeing Co vowed on Friday to contest a ruling that found the plane maker committed unfair labor practices against its unionized engineers near Seattle and in Portland  Oregon  when it photographed and videotaped workplace marches in 2012.,normal
BA,Boeing Company (The),20140516,EU may challenge $8.7 billion U.S. tax breaks in Boeing-Airbus trade dispute: sources ,PARIS The European Union is considering raising the pressure on the United States in the world's largest trade dispute by challenging tax breaks that encouraged planemaker Boeing to keep production of its latest jet in Washington state  people familiar with the matter said on Friday.,normal
BA,Boeing Company (The),20140516,Boeing conducted unfair practices against U.S. engineers: labor board ,SEATTLE The U.S. National Labor Relations Board said on Thursday that Boeing Co  committed unfair labor practices against its unionized engineers near Seattle and in Portland  Oregon  when it photographed and videotaped workplace marches in 2012.,normal
BA,Boeing Company (The),20140516,Boeing conducted unfair practices against U.S. engineers-labor board ,SEATTLE  May 15 The U.S. National Labor Relations Board said on Thursday that Boeing Co committed unfair labor practices against its unionized engineers near Seattle and in Portland  Oregon  when it photographed and videotaped workplace marches in 2012.,normal
BCEI,Bonanza Creek Energy Inc,20140516,U.S. regional banks tip-toe into commodities as Wall Street faces shake-out ,NEW YORK Two years ago  Denver-based oil and gas driller Bonanza Creek Energy wanted to spread its credit risk and hedge its production - and it called on some regional Main Street banks to help do it.,topStory
BPL,Buckeye Partners LP,20140516,Buckeye says 8 U.S. Midwest pipeline segments overbooked for June ,May 16 Buckeye Partners LP said on Friday nominations for its eight refined product U.S. Midwest pipeline segments for June were above capacity and it was asking shippers to review their current nominations.,topStory
CAE,CAE Inc,20140516,EU mergers and takeovers (May 16) ,BRUSSELS  May 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
CX,Cemex SAB de CV,20140516,Shares in Mexico's Cemex rise after appointing new CEO  chairman ,MEXICO CITY  May 16 Shares in Mexican cement maker Cemex rose more than 1 percent on Friday  the day after the company appointed a new chief executive officer and chairman following the unexpected death of former CEO Lorenzo Zambrano.,topStory
CX,Cemex SAB de CV,20140516,UPDATE 3-Mexico's Cemex taps insiders for new CEO  Chairman roles ,MONTERREY  May 15 Mexico's Cemex    one of the world's leading cement makers  on Thursday promoted Chief Financial Officer Fernando Gonzalez to chief executive  signaling continuity after the sudden death of Lorenzo Zambrano earlier this week.,normal
CX,Cemex SAB de CV,20140516,Mexico's Cemex taps CFO Gonzalez as next CEO  board member as chairman ,MONTERREY Mexico's Cemex    one of the world's leading cement makers  said on Thursday Chief Financial Officer Fernando Gonzalez will take over as chief executive officer after the sudden death of Lorenzo Zambrano earlier this week.,normal
CHK,Chesapeake Energy Corporation,20140516,US STOCKS-Wall St dips as small-caps underperform again ,* Dow off 0.1 pct; S&P 500 off 0.1 pct; Nasdaq down 0.3 pct   (Updates to midday  adds Pfizer and Chesapeake news),topStory
CHK,Chesapeake Energy Corporation,20140516,Chesapeake sees $4 billion in asset sales  oilfield spinoff ,Chesapeake Energy Corp  said it expects to sell more than $4 billion in assets this year and will spin off its oilfield services division as the second-largest U.S. natural gas producer focuses on drilling more profitable wells and improving returns.,normal
CHK,Chesapeake Energy Corporation,20140516,UPDATE 2-Chesapeake sees $4 billion in asset sales  oilfield spinoff ,* Says sales  divestitures to cut debt by $3 bln  hurt 2014 output,normal
CHK,Chesapeake Energy Corporation,20140516,Chesapeake aims to raise more than $4 bln from asset sales in 2014 ,May 16 Natural gas producer Chesapeake Energy Corp said it expects to raise more than $4 billion from asset sales and divestitures this year.,normal
CVX,Chevron Corporation,20140516,Patton Boggs partners to vote on merger: sources ,NEW YORK A week after concluding a controversial settlement with Chevron Corp  law and lobbying firm Patton Boggs is seeking to close the biggest law firm merger so far this year by as early as next week  according to four sources familiar with the matter.,topStory
ZNH,China Southern Airlines Company Limited,20140516,UPDATE 1-China Southern Airlines orders 80 Airbus aircraft worth $7.3 bln ,BEIJING  May 16 China Southern Airlines Co Ltd   on Friday said it has ordered 80 aircraft from Airbus Group NV worth at least $7.3 billion.,topStory
ZNH,China Southern Airlines Company Limited,20140516,RPT-China Southern Airlines orders 80 Airbus aircraft worth $7.3 bln ,(Repeats for wider distribution with no change to text or headline),normal
KO,Coca-Cola Company (The),20140516,FTSE edges higher to end near 14-year peak ,LONDON  May 16 Britain's top equity index edged higher to finish near a 14-year high on Friday  with supermarkets advancing on a defensives-led bounce and bid speculation boosting Wm Morrison.,topStory
KO,Coca-Cola Company (The),20140516,FTSE edges lower  Coca-Cola HBC slips after results ,LONDON  May 16 Britain's top share index edged lower on Friday  with bottler Coca-Cola HBC slipping after disappointing results and UK homebuilders falling on concerns authorities may intervene to prevent a housing market bubble.,normal
KO,Coca-Cola Company (The),20140516,UPDATE 1-Bottler Coca-Cola HBC's Q1 loss larger than expected  Russian rouble hurts ,* CEO says Russia still a key growth driver   (Adds CEO comments  details),normal
KO,Coca-Cola Company (The),20140516,Bottler Coca-Cola HBC's Q1 loss larger than expected ,ATHENS  May 16 Coca-Cola HBC (CC HBC)    the world's No. 2 bottler of Coca-Cola Co  drinks  posted a bigger-than-expected quarterly loss  hurt by currency losses mainly in its Ukrainian operations.,normal
KO,Coca-Cola Company (The),20140516,BRIEF-Coca-Cola HBC Q1 loss widens  expectations unchanged ,* Coca-cola hbc ag - fy expectations unchanged despite challenging quarter,normal
DRI,Darden Restaurants Inc,20140516,Darden books $2.1 billion price for Red Lobster seafood chain ,Darden Restaurants Inc  said on Friday it would sell Red Lobster to private equity firm Golden Gate Capital for $2.1 billion in cash  defying activist investors who opposed plans to shed the struggling seafood chain.,topStory
DRI,Darden Restaurants Inc,20140516,UPDATE 4-Darden books $2.1 bln price for Red Lobster seafood chain ,May 16 Darden Restaurants Inc said on Friday it would sell Red Lobster to private equity firm Golden Gate Capital for $2.1 billion in cash  defying activist investors who opposed plans to shed the struggling seafood chain.,normal
DRI,Darden Restaurants Inc,20140516,Deals of the day- Mergers and acquisitions ,May 16 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,normal
DRI,Darden Restaurants Inc,20140516,Darden books $2.1 billion price for Red Lobster seafood chain ,Darden Restaurants Inc  said on Friday it would sell Red Lobster to private equity firm Golden Gate Capital for $2.1 billion in cash  defying activist investors who opposed plans to shed the struggling seafood chain.,normal
DRI,Darden Restaurants Inc,20140516,Fitch Affirms Darden's IDRs at 'BBB-/F3'; Removed from Negative Watch; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  May 16 (Fitch) Fitch Ratings has affirmed Darden Restaurants  Inc.'s  (Darden; NYSE:DRI) ratings and removed the ratings from Rating Watch Negative.  Ratings are as follows: --Long-term Issuer Default Rating (IDR) at 'BBB-'; --Bank credit facilities at 'BBB-'; --Senior unsecured notes at 'BBB-'; --Short-term IDR at 'F3'; --Commercial Paper (CP) at 'F3'. The Rating Outlook is Stable. At Feb. 23  2014  Darden had approximately $2,normal
DRI,Darden Restaurants Inc,20140516,Darden to sell Red Lobster seafood chain for $2.1 bln ,May 16 Darden Restaurants Inc said it agreed to sell its struggling Red Lobster seafood chain to Golden Gate Capital for $2.1 billion in cash.,normal
DAL,Delta Air Lines Inc,20140516,BRIEF-John menzies says no change in full-year outlook ,* Significant new ground handling contract outsourced by Delta Airlines to handle some 100 000 turns per annum from 50 base aircraft,topStory
XOM,Exxon Mobil Corporation,20140516,UPDATE 1-ExxonMobil says not planning to leave Sakhalin project in Russia ,* Exxon works with Rosneft  whose CEO Sechin is on US sanctions list,topStory
FE,FirstEnergy Corporation,20140516,UPDATE 1-Some U.S. coal plants may have sharply hiked prices last winter -monitor ,May 16 Some coal-fired generators may have offered electricity at 22 times the average price for power last winter  making some plants too expensive to run  said the market monitor for PJM  the biggest power grid operator in the United States.,topStory
F,Ford Motor Company,20140516,UPDATE 1-Ford deal helps Bradesco win first major U.S. underwriting role ,SAO PAULO  May 16 Brazilian investment bank Bradesco BBI SA extended its push into the U.S. debt market on Friday by clinching a double role as joint-lead manager and bookrunner of a $1.04 billion sale of asset-backed securities by Ford Motor Co's finance unit.,topStory
F,Ford Motor Company,20140516,UPDATE 1-European new car registrations up 3.6 pct in April-ACEA ,* Gains in Spain  Britain offset 3.6 percent fall in Germany,normal
F,Ford Motor Company,20140516,European new car registrations up 3.6 pct in April - ACEA ,FRANKFURT  May 16 New car registrations in Europe rose 3.6 percent in April with mass market car makers Ford  Fiat  Renault and Opel showing stronger growth than premium brands  according to registration data from the European Automobile Manufacturer's Association ACEA on Friday.,normal
GEK,General Electric Capital Corporation,20140516,French Economy Minister talks tough on foreign takeovers ,* Says government doesn't rule out taking a stake in Alstom,topStory
GE,General Electric Company,20140516,French Economy Minister talks tough on foreign takeovers ,* Says government doesn't rule out taking a stake in Alstom,topStory
GM,General Motors Company,20140516,UPDATE 6-GM to pay $35 mln U.S. fine for delayed response to faulty ignitions ,* GM $35 mln fine is most allowed under U.S. transport agency,topStory
GM,General Motors Company,20140516,GM to engineers: don't use word 'defect'-internal documents ,WASHINGTON General Motors Co warned its engineers against using the words "safety" and "defect" when identifying product risks  and explicitly told them not to use inflammatory terms including "widow-maker" and "Hindenburg " according to company documents released by the U.S. government on Friday.,normal
GM,General Motors Company,20140516,GM to engineers: don't use word 'defect' -internal documents ,WASHINGTON  May 16 General Motors Co  warned its engineers against using the words "safety" and "defect" when identifying product risks  and explicitly told them not to use inflammatory terms including "widow-maker" and "Hindenburg " according to company documents released by the U.S. government on Friday.,normal
GM,General Motors Company,20140516,GM employees  but not CEO Barra  knew about switch problem: NHTSA ,WASHINGTON The National Highway Traffic Safety Administration's top official on Friday said there was no information that General Motors Co's Chief Executive Mary Barra knew about faulty ignition switches in some of the company's vehicles.,normal
GM,General Motors Company,20140516,GM employees  but not CEO Barra  knew about switch problem -NHTSA ,WASHINGTON  May 16 The National Highway Traffic Safety Administration's top official on Friday said there was no information that General Motors Co's Chief Executive Mary Barra knew about faulty ignition switches in some of the company's vehicles.,normal
GM,General Motors Company,20140516,GM broke law  knew of defects since 2009: U.S. transport chief ,WASHINGTON General Motors Co knew about the link between faulty ignition switches and air bag failures since at least November 2009  U.S. Transportation Secretary Anthony Foxx said on Friday  citing GM for breaking the law and failing to meet public safety obligations.,normal
GM,General Motors Company,20140516,GM broke law  knew of defects since 2009 -U.S. transport chief ,WASHINGTON  May 16 General Motors Co knew about the link between faulty ignition switches and air bag failures since at least November 2009  U.S. Transportation Secretary Anthony Foxx said on Friday  citing GM for breaking the law and failing to meet public safety obligations.,normal
GSK,GlaxoSmithKline PLC,20140516,GSK case a 'warning' to all foreign firms in China: Xinhua ,SHANGHAI Corruption charges against GlaxoSmithKline Plc  executives in China are a warning to other foreign firms and could do irreparable damage to the British drugmaker's Chinese operations  the official Xinhua news agency said on Friday.,topStory
GSK,GlaxoSmithKline PLC,20140516,UPDATE 1-GSK case a "warning" to all foreign firms in China: Xinhua ,SHANGHAI  May 16 Corruption charges against GlaxoSmithKline Plc executives in China are a warning to other foreign firms and could do irreparable damage to the British drugmaker's Chinese operations  the official Xinhua news agency said on Friday.,normal
GSK,GlaxoSmithKline PLC,20140516,GSK case a "warning" to behave for MNCs in China: Xinhua ,SHANGHAI  May 16 Corruption charges against British drugmaker GlaxoSmithKline Plc in China are a "warning" to other foreign firms operating in the country that unethical behaviour will be punished  according to a commentary from the official Xinhua news agency on Friday.,normal
GG,Goldcorp Inc,20140516,CANADA STOCKS-TSX hits 2-1/2-week low as miners drag ,* TSX falls 73.83 points  or 0.51 percent  at 14 515.06     * Nine of 10 main index sectors decline     * Goldcorp  Teck follow bullion  copper prices lower      By John Tilak     TORONTO  May 16 Canada's main stock index slipped on Friday to its lowest in about 2-1/2 weeks as sluggish commodity prices weighed on shares of materials companies in below-average trading volume ahead of a long weekend.      Investors appeared hesitant to take major positions before the weekend  with the ,topStory
GG,Goldcorp Inc,20140516,CANADA STOCKS-Mining shares pull TSX lower ahead of long weekend ,* TSX falls 54.63 points  or 0.37 percent  to 14 534.26     * Nine of 10 main index sectors decline     * Goldcorp  Teck follow bullion  copper prices lower      By John Tilak     TORONTO  May 16 Canada's main stock index declined on Friday as a fall in the prices of some commodities weighed on the materials sector and investors appeared hesitant to take major positions ahead of the long weekend.     The market digested government data that showed foreign investors sold C$1.23 billio,normal
GS,Goldman Sachs Group Inc (The),20140516,UPDATE 1-Goldman Sachs shareholders approve pay plan for top execs ,IRVING  Texas  May 16 Goldman Sachs  shareholders voted on Friday to approve management's executive compensation plan  and also rejected a proposal that would have allowed holders to nominate directors to the Wall Street bank's board.,topStory
GS,Goldman Sachs Group Inc (The),20140516,Goldman Sachs shareholders approve pay plan for top executives ,IRVING  Texas  May 16 Goldman Sachs  shareholders voted to approve management's executive compensation plan.,normal
IHG,Intercontinental Hotels Group,20140516,EU mergers and takeovers (May 16) ,BRUSSELS  May 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
JCP,JC Penney Company Inc Holding Company,20140516,US STOCKS-Wall St rebounds with small-caps; Dow  S&P 500 dip for week ,* Russell 2000 ends up after near correction territory early,topStory
JCP,JC Penney Company Inc Holding Company,20140516,US STOCKS-Wall St edges up as small-caps bounce back ,* Russell 2000 rebounds after approaching correction territory again,normal
JCP,JC Penney Company Inc Holding Company,20140516,US STOCKS-Wall St dips as small-caps underperform again ,* Dow off 0.1 pct; S&P 500 off 0.1 pct; Nasdaq down 0.3 pct   (Updates to midday  adds Pfizer and Chesapeake news),normal
JCP,JC Penney Company Inc Holding Company,20140516,US STOCKS-Wall St dips as small-caps again weigh ,* Indexes down: Dow 0.2 pct  S&P 0.3 pct  Nasdaq 0.5 pct   (Updates to open),normal
JCP,JC Penney Company Inc Holding Company,20140516,US STOCKS-Futures point to lower open  on track for weekly drop ,* Futures down: Dow 16 pts  S&P 2.3 pts  Nasdaq 7.25   (Updates prices  adds housing data),normal
JCP,JC Penney Company Inc Holding Company,20140516,US STOCKS-Futures lower  on track for down week ,NEW YORK  May 16 U.S. stock index futures fell on Friday  indicating that the Dow and S&P 500 could extend their decline to a third day as investors continued to be wary of weakness in small-cap names.,normal
JMEI,Jumei International Holding Limited,20140516,Online cosmetics retailer Jumei shares rise 26 pct in debut ,May 16 Shares of Jumei International Holding Ltd  rose about 26 percent in their market debut  valuing the Chinese online cosmetics retailer at about $4.02 billion.,topStory
LM,Legg Mason Inc,20140516,Legg Mason to lay off 62 from Batterymarch after QS merger ,BOSTON Legg Mason Inc  will lay off 62 professionals from its Boston-based Batterymarch Financial Management unit as it is combined with QS Investors  a spokeswoman said on Friday  following a deal announced in March.,topStory
LM,Legg Mason Inc,20140516,Legg Mason to lay off 62 from Batterymarch after QS merger ,BOSTON  May 16 Legg Mason Inc will lay off 62 professionals from its Boston-based Batterymarch Financial Management unit as it is combined with QS Investors  a spokeswoman said on Friday  following a deal announced in March.,normal
LMHA,Legg Mason Inc,20140516,Legg Mason to lay off 62 from Batterymarch after QS merger ,BOSTON Legg Mason Inc  will lay off 62 professionals from its Boston-based Batterymarch Financial Management unit as it is combined with QS Investors  a spokeswoman said on Friday  following a deal announced in March.,topStory
