ACIW,ACI Worldwide Inc,20110919,UPDATE 1-S1's No. 2 shareholder halves stake , Sept 19 P2 Capital Master Fund LLP on Monday reported that it cut its stake in S1 Corp to 3.9 percent  three-days after the financial technology provider rejected a sweetened takeover bid from larger rival ACI Worldwide Inc .,topStory
CME,CME Group Inc,20110919,Jefferies sues Nasdaq over alleged losses on swaps ,NEW YORK Jefferies Group Inc  has sued Nasdaq OMX Group Inc  to recover tens of millions of dollars of alleged losses from being fraudulently induced to enter interest rate swap futures contracts.,normal
CMCSA,Comcast Corporation,20110919,Emmy viewers down  mixed reviews for host Jane Lynch ,LOS ANGELES Viewership for the 2011 Primetime Emmy Awards fell 8 percent from last year to just over 12 million Americans who watched Jane Lynch host the heavily promoted TV show that drew mixed critical reviews. | Video ,topStory
CMCSA,Comcast Corporation,20110919,Emmy viewers down  mixed reviews for host Jane Lynch ,LOS ANGELES Viewership for the 2011 Primetime Emmy Awards fell 8 percent from last year to just over 12 million Americans who watched Jane Lynch host the heavily promoted TV show that drew mixed critical reviews. | Video ,normal
CMCSA,Comcast Corporation,20110919,CORRECTED - Emmy viewers down  mixed reviews for host Jane Lynch , LOS ANGELES  Sept 19 Viewership for the 2011 Primetime Emmy Awards fell 8 percent from last year to just over 12 million Americans who watched Jane Lynch host the heavily promoted TV show that drew mixed critical reviews.,normal
CMCSA,Comcast Corporation,20110919,Hulu sale at risk even as new bids are due ,NEW YORK The auction of online video site Hulu has been slowed by recent developments which could derail it completely  according to sources familiar with the process.,normal
CMCSA,Comcast Corporation,20110919,RPT-Hulu sale at risk even as new bids are due , NEW YORK  Sept 16 The auction of online video site Hulu has been slowed by recent developments which could derail it completely  according to sources familiar with the process.,normal
CMCSA,Comcast Corporation,20110919,Factbox: A list of Primetime Emmy Award winners ,LOS ANGELES  Sept 18 - Following is a list of winners of Primetime Emmy Awards on Sunday  the highest honors in U.S. television. The Emmys are presented by the Academy of Television Arts and Sciences.,normal
CMCSA,Comcast Corporation,20110919,UPDATE 5-'Mad Men'  'Modern Family' win Emmys but shocks abound , * Disappointing night for "Glee"  (Recasts at end of awards show),normal
CMCSA,Comcast Corporation,20110919,Factbox: A list of Primetime Emmy Award winners ,LOS ANGELES  Sept 18 - Following is a list of winners of Primetime Emmy Awards on Sunday  the highest honors in U.S. television. The Emmys are presented by the Academy of Television Arts and Sciences.,normal
CMCSA,Comcast Corporation,20110919,Factbox: A list of Primetime Emmy Award winners ,LOS ANGELES  Sept 18 - Following is a list of winners of Primetime Emmy Awards on Sunday  the highest honors in U.S. television. The Emmys are presented by the Academy of Television Arts and Sciences.,normal
CMCSA,Comcast Corporation,20110919,FACTBOX - A list of Primetime Emmy Award winners ,  LOS ANGELES  Sept 18 - Following is a list of winners of Primetime Emmy Awards on Sunday  the highest honors in U.S. television. The Emmys are presented by the Academy of Television Arts and Sciences.,normal
COST,Costco Wholesale Corporation,20110919,SoCal grocers  union avert strike with deal ,LOS ANGELES Albertsons  Ralphs and Vons and the union representing their Southern California supermarket employees reached a tentative agreement on a new labor contract on Monday  averting a threatened strike.,topStory
COST,Costco Wholesale Corporation,20110919,UPDATE 3-SoCal grocers  union avert strike with deal , * Grocers parent companies are Supervalu  Kroger  Safeway,normal
EBAY,eBay Inc,20110919,HOW TO PLAY IT: Taxing days ahead for wealth investors , THE ISSUE: Obama's proposed new tax plan threatens some sacred cows for upper income investors by adding a minimum tax on those with more than $1 million in income and putting caps on some tax breaks for high-end income earners.,topStory
EBAY,eBay Inc,20110919,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,normal
EBAY,eBay Inc,20110919,CORRECTED-EBay builds new division to woo developers , (Corrects 14th paragraph of Sept 16 story to show the ratio of profit for ebay vs developer is $1 to $20  not $1 to $15  as earlier sent),normal
EBAY,eBay Inc,20110919,RPT-EBay builds new division to woo developers , (Corrects in 14th paragraph the ratio of profit for ebay vs developer to $1 to $20  not $1 to $15  as earlier sent),normal
ERIC,Ericsson,20110919,NSN to push cloud computing to telco gear market ,HELSINKI Nokia Siemens Networks (NSN) unveiled on Tuesday its new Liquid technology which promises to ease telecom network congestion and possibly change the market for such equipment for good.,topStory
ERIC,Ericsson,20110919,NSN to push cloud computing to telco gear market , * First major step in commoditising telco hardware market,normal
ERIC,Ericsson,20110919,Start-up SpiderCloud targets emerging corporate mobile market ,HELSINKI Venture capital-backed telecom gear startup SpiderCloud Wireless aims to tap into the emerging market of small wireless networks which can be used inside offices  shopping centers and stadiums.,normal
ERIC,Ericsson,20110919,Tech start-up targets emerging corporate mobile mkt , HELSINKI  Sept 19 Venture capital-backed telecom gear startup SpiderCloud Wireless aims to tap into the emerging market of small wireless networks which can be used inside offices  shopping centers and stadiums.,normal
ERIC,Ericsson,20110919,Italian Stocks - Factors to watch on Sept 19 , MILAN  Sept 19 The following factors could affect Italian markets on Monday.,normal
ERIC,Ericsson,20110919,French and Benelux stocks-Factors to watch on Sept 19 , PARIS  Sept 19 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
EXEL,Exelixis Inc,20110919,Analysis: New drugs drive prostate cancer market ,LOS ANGELES Options for treating prostate cancer are expanding with the advent of novel  and more expensive  medicines  with key data expected soon for what could be one of the biggest new drugs.,topStory
EXPE,Expedia Inc,20110919,RPT-PREVIEW-Google preparing for U.S. Senate hearing , WASHINGTON  Sept 18 Google's Eric Schmidt  the online search giant's point man for all things Washington  goes before a Senate panel this week to argue the company is not a rival-abusing bully  but in fact is struggling to stay on top.,topStory
FSLR,First Solar Inc,20110919,Analysis: Solar startups plough ahead despite Solyndra ,LOS ANGELES Solyndra's collapse has cast a harsh spotlight on rival start-ups backing a promising solar technology that  despite the flameout by a leading player  remains on the verge of cracking the renewable energy market.,topStory
GILD,Gilead Sciences Inc,20110919,UPDATE 3-Gilead's 2nd trial of 4-drug AIDS pill meets goal ,* Shares close down 0.9 percent  (Adds analyst comment  background),topStory
GILD,Gilead Sciences Inc,20110919,Gilead: Second trial of 4-drug AIDS pill meets goal ,Gilead Sciences Inc's four-drug experimental HIV pill worked as well as a regimen containing protease inhibitor Reyataz in the second pivotal trial of the drug  the company said on Monday.,normal
GILD,Gilead Sciences Inc,20110919,Scientists find way to "disarm" AIDS virus ,LONDON Scientists have found a way to prevent HIV from damaging the immune system and say their discovery may offer a new approach to developing a vaccine against AIDS.,normal
GPRO,GoPro Inc,20110919,U.S. FDA advisory meetings through Nov. 16 , THIS DIARY IS FILED AS THE FOOD AND DRUG ADMINISTRATION UPDATES ITS SCHEDULE. ALL ITEMS EDT/GMT UNTIL NOV. 6.,topStory
INTC,Intel Corporation,20110919,Rambus: Hynix  Micron conspired to block chips ,SAN FRANCISCO Microchip heavyweights Micron Technology Inc and Hynix Semiconductor Inc conspired to squelch Rambus Inc's superior chip technology and keep it from becoming an industry standard  a Rambus lawyer argued in court on Monday.,topStory
INTC,Intel Corporation,20110919,UPDATE 1-Rambus: Hynix  Micron conspired to block chips , * Rambus kicks off  Micron and Hynix will have their turn  (Adds Micron  Hynix's closing statements),normal
INTC,Intel Corporation,20110919,Rambus: Hynix  Micron conspired to block its chips , * Rambus kicks off  Micron and Hynix will have their turn,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
FLAT,iPath US Treasury Flattener ETN,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
STPP,iPath US Treasury Steepener ETN,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
KONA,Kona Grill Inc,20110919,UPDATE 1-Kona Grill raises Q3 forecast; shares up , Sept 19 Boosted by strong sales growth and growing market share  American grill and sushi bar Kona Grill  raised its outlook for the third quarter  sending its shares up 12 percent.,topStory
MU,Micron Technology Inc,20110919,Rambus: Hynix  Micron conspired to block chips ,SAN FRANCISCO Microchip heavyweights Micron Technology Inc and Hynix Semiconductor Inc conspired to squelch Rambus Inc's superior chip technology and keep it from becoming an industry standard  a Rambus lawyer argued in court on Monday.,topStory
MU,Micron Technology Inc,20110919,UPDATE 1-Rambus: Hynix  Micron conspired to block chips , * Rambus kicks off  Micron and Hynix will have their turn  (Adds Micron  Hynix's closing statements),normal
MU,Micron Technology Inc,20110919,Rambus: Hynix  Micron conspired to block its chips , * Rambus kicks off  Micron and Hynix will have their turn,normal
MNTA,Momenta Pharmaceuticals Inc,20110919,UPDATE 1-US clears 2nd Lovenox generic  Momenta shares drop , * Teva awaiting approval for its own generic version  (Adds fourth-quarter launch plan  sales  partnership),topStory
NDAQ,Nasdaq Inc,20110919,Jefferies sues Nasdaq over alleged losses on swaps ,NEW YORK Jefferies Group Inc  sued Nasdaq OMX Group Inc  to recover tens of millions of dollars of alleged losses from being fraudulently induced to enter interest rate swap futures contracts.,topStory
NDAQ,Nasdaq Inc,20110919,UPDATE 3-Jefferies sues Nasdaq over alleged losses on swaps , * Lawsuit over clearinghouse IDCG without merit - Nasdaq  (Adds lawyer comment  background on clearinghouses),normal
NDAQ,Nasdaq Inc,20110919,Jefferies sues Nasdaq over alleged losses on swaps ,NEW YORK Jefferies Group Inc  has sued Nasdaq OMX Group Inc  to recover tens of millions of dollars of alleged losses from being fraudulently induced to enter interest rate swap futures contracts.,normal
NFLX,Netflix Inc,20110919,Netflix splits DVD and streaming services ,LOS ANGELES Top video rental company Netflix Inc split off its DVD service to a separate website called Qwikster  setting off another round of complaints from customers already angry at a price increase and sending its shares down 7 percent.,topStory
NFLX,Netflix Inc,20110919,Analysis: Netflix's new name is slow to catch hold ,It's difficult to remember  harder to spell and may go down as one of the biggest brand blunders in recent memory -- meet Qwikster.,normal
NFLX,Netflix Inc,20110919,UPDATE 6-Netflix splits DVD and streaming services , * DVD service renamed Qwikster  with own separate website,normal
NFLX,Netflix Inc,20110919,CORRECTED - UPDATE 4-Netflix DVDs to be Qwikster  on separate site , (Corrects spelling of Qwikster in headline  paragraph 10),normal
NFLX,Netflix Inc,20110919,UPDATE 2-Obama's Postal Service plan would cut Saturday mail , * Postmaster general thanks president  offers no opinion  (Updates with business impact  lawmaker  USPS reaction),normal
NFLX,Netflix Inc,20110919,US STOCKS-Market drops on euro zone effort to rescue Greece , * European policymakers fail to calm growing debt fears,normal
NFLX,Netflix Inc,20110919,Deals of the day -- mergers and acquisitions , (Adds Tyco International  Agnico-Eagle Mines  Nice Systems  Transatlantic Holdings  BNP Paribas  Schneider Electric SA  Ralcorp Holdings  Red Back Mining  Grupo Bimbo ),normal
NFLX,Netflix Inc,20110919,UPDATE 2-Netflix to split DVD and streaming services , * Netflix shares up 1.2 percent  (Adds analyst comment  details),normal
NWSA,News Corporation,20110919,Emmy viewers down  mixed reviews for host Jane Lynch ,LOS ANGELES Viewership for the 2011 Primetime Emmy Awards fell 8 percent from last year to just over 12 million Americans who watched Jane Lynch host the heavily promoted TV show that drew mixed critical reviews. | Video ,topStory
NWSA,News Corporation,20110919,Emmy viewers down  mixed reviews for host Jane Lynch ,LOS ANGELES Viewership for the 2011 Primetime Emmy Awards fell 8 percent from last year to just over 12 million Americans who watched Jane Lynch host the heavily promoted TV show that drew mixed critical reviews. | Video ,normal
NWSA,News Corporation,20110919,CORRECTED - Emmy viewers down  mixed reviews for host Jane Lynch , LOS ANGELES  Sept 19 Viewership for the 2011 Primetime Emmy Awards fell 8 percent from last year to just over 12 million Americans who watched Jane Lynch host the heavily promoted TV show that drew mixed critical reviews.,normal
NWSA,News Corporation,20110919,News International to pay $4.7 million to settle hacking ,LONDON News International is expected to pay three million pounds ($4.7 million) to settle hacking claims by the family of murder victim Milly Dowler against Britain's now defunct News of the World newspaper  sources close to the issue told Reuters on Monday.,normal
NWSA,News Corporation,20110919,UPDATE 1-News Intl to pay 3 mln pounds to settle hacking case-sources , LONDON  Sept 19 News International is expected to pay three million pounds ($4.7 million) to settle hacking claims by the family of murder victim Milly Dowler against Britain's now defunct News of the World newspaper  sources close to the issue told Reuters on Monday.,normal
NWSA,News Corporation,20110919,News Int to pay 3 mln pounds to settle hacking case-sources , LONDON  Sept 19 News International is expected to pay about three million pounds($4.7 million) to settle hacking claims by the family of murder victim Milly Dowler against the now defunct News of the World newspaper  sources close to the case told Reuters on Monday.,normal
NWSA,News Corporation,20110919,Hulu sale at risk even as new bids are due ,NEW YORK The auction of online video site Hulu has been slowed by recent developments which could derail it completely  according to sources familiar with the process.,normal
NWSA,News Corporation,20110919,RPT-Hulu sale at risk even as new bids are due , NEW YORK  Sept 16 The auction of online video site Hulu has been slowed by recent developments which could derail it completely  according to sources familiar with the process.,normal
NWSA,News Corporation,20110919,Factbox: A list of Primetime Emmy Award winners ,LOS ANGELES  Sept 18 - Following is a list of winners of Primetime Emmy Awards on Sunday  the highest honors in U.S. television. The Emmys are presented by the Academy of Television Arts and Sciences.,normal
NWSA,News Corporation,20110919,UPDATE 5-'Mad Men'  'Modern Family' win Emmys but shocks abound , * Disappointing night for "Glee"  (Recasts at end of awards show),normal
NICE,NICE Ltd,20110919,UPDATE 1-Nice Systems to acquire UK's Fizzback for $80 mln , * Says deal to become earnings accretive within 4 quarters   (Adds further details  share price reaction),topStory
OSTK,Overstockcom Inc,20110919,RPT-PREVIEW-Google preparing for U.S. Senate hearing , WASHINGTON  Sept 18 Google's Eric Schmidt  the online search giant's point man for all things Washington  goes before a Senate panel this week to argue the company is not a rival-abusing bully  but in fact is struggling to stay on top.,topStory
QCOM,QUALCOMM Incorporated,20110919,Tech start-up targets emerging corporate mobile mkt , HELSINKI  Sept 19 Venture capital-backed telecom gear startup SpiderCloud Wireless aims to tap into the emerging market of small wireless networks which can be used inside offices  shopping centers and stadiums.,topStory
RMBS,Rambus Inc,20110919,Rambus: Hynix  Micron conspired to block chips ,SAN FRANCISCO Microchip heavyweights Micron Technology Inc and Hynix Semiconductor Inc conspired to squelch Rambus Inc's superior chip technology and keep it from becoming an industry standard  a Rambus lawyer argued in court on Monday.,topStory
RMBS,Rambus Inc,20110919,UPDATE 1-Rambus: Hynix  Micron conspired to block chips , * Rambus kicks off  Micron and Hynix will have their turn  (Adds Micron  Hynix's closing statements),normal
RMBS,Rambus Inc,20110919,Rambus: Hynix  Micron conspired to block its chips , * Rambus kicks off  Micron and Hynix will have their turn,normal
SINA,Sina Corporation,20110919,China's Sina to step-up censorship of Weibo , BEIJING  Sept 19 China's biggest micro-blog operator  Sina Corp   is enhancing self-censorship to stamp out "rumours" as it copes with explosive growth in user numbers  its chief executive Charles Chao said  according to a news report on Monday.,topStory
SINA,Sina Corporation,20110919,PRESS DIGEST - Hong Kong - Sept 19 , HONG KONG  Sept 19 These are some of the leading stories in Hong Kong newspapers on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
SWKS,Skyworks Solutions Inc,20110919,Skyworks warns Analogic Tech on merger deal ,Analog chipmaker Skyworks Solutions  said it served notice to Advanced Analogic Technologies   accusing its smaller rival of breaking a merger agreement.,topStory
STRA,Strayer Education Inc,20110919,Corinthian to cut more jobs as enrollment declines , Sept 19 Corinthian Colleges Inc is cutting 325 jobs  or about 2 percent of its workforce  adding to the job cuts announced earlier this year as it battles dropping student enrollments  a company spokesman told Reuters.,topStory
VOD,Vodafone Group Plc,20110919,Vodacom in talks for Malawi telecom stake - paper , LILONGWE  Sept 19 South Africa's Vodacom  is in talks to buy a stake in mobile operator Telekom Networks Malawi   the Daily Times newspaper said on Monday  citing unidentified sources.,topStory
VOD,Vodafone Group Plc,20110919,Eaton Towers secures $150 mln funding for Africa , LONDON  Sept 19 Telecoms company Eaton Towers has secured $150 million of private equity funding to expand its tower-sharing business in Africa  which is enabling mobile operators to roll out services to remote areas more cheaply  it said on Monday.,normal
WMGI,Wright Medical Group NV,20110919,US SMALL/MIDCAPS-Investors gravitate to growth stocks , NEW YORK  Sept 19 Small-cap growth stocks outperformed value stocks on Monday  with investors gravitating towards proven earnings potential in a sign that risk aversion over the economic outlook was still running high.,topStory
WMGI,Wright Medical Group NV,20110919,Wright Medical taps veteran executive as CEO ,Wright Medical Group Inc   under federal monitoring following a bribery probe  named medical device industry veteran Robert Palmisano as its new chief executive  sending its shares up 8 percent.,normal
WMGI,Wright Medical Group NV,20110919,UPDATE 3-Wright Medical taps veteran exec as CEO  shrs jump , * Names Robert Palmisano  previously ev3 chief  as new CEO,normal
AEB,Aegon NV,20110919,EU mergers and takeovers (Sept 19) , BRUSSELS  Sept 19 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
AED,Aegon NV,20110919,EU mergers and takeovers (Sept 19) , BRUSSELS  Sept 19 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
AEG,Aegon NV,20110919,EU mergers and takeovers (Sept 19) , BRUSSELS  Sept 19 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
AEH,Aegon NV,20110919,EU mergers and takeovers (Sept 19) , BRUSSELS  Sept 19 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
AEK,Aegon NV,20110919,EU mergers and takeovers (Sept 19) , BRUSSELS  Sept 19 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
AEM,Agnico Eagle Mines Limited,20110919,CANADA STOCKS-TSX may open lower on euro zone debt fears , Sept 19 Toronto's main stock index was set to open lower on Monday as fears of a Greek default prompted investors to seek refuge in traditional safe-haven assets such as gold.,topStory
