AKAM,Akamai Technologies Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,topStory
AAPL,Apple Inc,20111004,Japan's KDDI to sell new iPhone: Apple ,TOKYO Japan's second-largest mobile phone carrier  KDDI  will sell Apple's new iPhone  the California-based company said at a presentation for the iPhone 4S.,topStory
AAPL,Apple Inc,20111004,Japan's KDDI to sell new iPhone - Apple , TOKYO  Oct 5 Japan's second-largest mobile phone carrier  KDDI   will sell Apple's new iPhone  the California-based company said at a presentation for the iPhone 4S.,normal
AAPL,Apple Inc,20111004,Buyers rush in as Wall Street toys with bear market ,NEW YORK Investors rushed in to buy technology and other beaten-down sectors as the S&P 500 dipped in and out of a bear market on Tuesday  and a late rally drove the index to its largest gain in more than a week. | Video ,normal
AAPL,Apple Inc,20111004,Sprint confirms plan to sell iPhone ,NEW YORK Sprint Nextel confirmed that it will sell the next version of Apple Inc's iPhone  ending months of speculation about whether it would become the third U.S. operator to sell the popular device.,normal
AAPL,Apple Inc,20111004,UPDATE 1-Sprint confirms plan to sell iPhone , * Sprint shares close up 5 pct after 10 pct drop Monday,normal
AAPL,Apple Inc,20111004,US STOCKS-Buyers rush in as Wall St toys with bear market ,  * Late rally boosted by reports EU preparing bank rescues  * S&P 500 briefly trades down 20 percent from 2011 high  * Dow up 1.4 pct  S&P up 2.3 pct  Nasdaq up 3 pct  (Recasts  changes comment  updates volume),normal
AAPL,Apple Inc,20111004,FACTBOX-New iPhone has similar specs to rival devices ,   Oct 4 Here's how the Apple Inc  iPhone 4S stacks up to rival devices from Samsung Electronics Co Ltd   HTC Corp  and Motorola Mobility  .,normal
AAPL,Apple Inc,20111004,New Apple iPhone fails to wow investors  fans ,CUPERTINO  California Apple Inc's newest iPhone left Wall Street and fans wishing for more than a souped-up version of last year's device  igniting a rare storm of criticism and disappointment on the Internet. | Video ,normal
AAPL,Apple Inc,20111004,UPDATE 7-New Apple iPhone fails to wow investors  fans , * Experts single out voice-powered commands  (Adds links  details on features  analyst's comments)),normal
AAPL,Apple Inc,20111004,RIM shares yo-yo on speculation  Apple event ,TORONTO Shares in Research In Motion ended 2 percent higher in yo-yo trade on Tuesday after rival Apple hinted at threats to RIM's core corporate market  but failed to wow fans and investors with its latest iPhone.,normal
ATRC,AtriCure Inc,20111004,U.S. FDA advisory meetings through Dec. 9 , THIS DIARY IS FILED AS THE FOOD AND DRUG ADMINISTRATION UPDATES ITS SCHEDULE. ALL ITEMS EDT/GMT UNTIL NOV. 6.,topStory
BIDU,Baidu Inc,20111004,ADR REPORT-Euro banks gain late; recapitalization plans cited , NEW YORK  Oct 4 European bank shares traded in New York staged a brisk rally late on Tuesday on apparent optimism over plans to recapitalize the region's banking sector  which is at risk from a Greek default.,topStory
BMLP,Bank Of Montreal,20111004,UPDATE 1-NY Fed names two primary dealers  list grows to 22 , * NY Fed adds Bank of Nova Scotia  BMO Capital as dealers,topStory
BMLP,Bank Of Montreal,20111004,NY Fed names two primary dealers  list grows to 22 , NEW YORK  Oct 4 The Federal Reserve Bank of New York on Tuesday granted primary dealer status to two large bond dealers  Bank of Nova Scotia  and BMO Capital Markets   bringing the total number of primary dealers to 22.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
DLBL,Barclays PLC,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
DLBL,Barclays PLC,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
DLBL,Barclays PLC,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
DTYL,Barclays PLC,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
DTYL,Barclays PLC,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
DTYL,Barclays PLC,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
CSIQ,Canadian Solar Inc,20111004,Westinghouse Solar files patent violation case ,Westinghouse Solar Inc said on Tuesday its rival Canadian Solar Inc infringed two of its solar panel patents and it was seeking to ban some products from being imported into the United States.,topStory
CSIQ,Canadian Solar Inc,20111004,UPDATE 1-Westinghouse Solar files patent violation case , Oct 3 Westinghouse Solar Inc  said on Tuesday its rival Canadian Solar Inc  infringed two of its solar panel patents and it was seeking to ban some products from being imported into the United States.,normal
CBOE,CBOE Holdings Inc,20111004,UPDATE 1-CME: overseas business growing  no big M&A , * CFO reiterates no significant M&A in immediate future,topStory
CME,CME Group Inc,20111004,UPDATE 1-CME: overseas business growing  no big M&A , * CFO reiterates no significant M&A in immediate future,topStory
CME,CME Group Inc,20111004,CME says 20 pct of business comes from overseas , CHICAGO  Oct 4 About 20 percent of trading at CME Group Inc  comes from outside North America  and that figure is likely to grow in coming months and years  top executives at the biggest U.S. futures exchange operator said on Tuesday.,normal
CME,CME Group Inc,20111004,UPDATE 2-CME ups platinum margins by 29 pct  copper by 15 pct , * Margin hike seen doing little in stabilising prices   (Recasts  adds comment),normal
CMCSA,Comcast Corporation,20111004,Controversial "Playboy Club" first victim of TV season ,LOS ANGELES Controversial new drama "The Playboy Club" was axed on Tuesday by NBC after just three episodes  making it the first victim of the new fall TV season.,topStory
CMCSA,Comcast Corporation,20111004,How to Play It: Finding the right channels for investors ,THE ISSUE: The new TV season and watershed events such as the Olympics and the 2012 elections are likely to attract big advertising dollars  focusing investor attention on media and entertainment. What networks will attract the most investor interest  and can internet rivals Google and Yahoo compete?,normal
CMCSA,Comcast Corporation,20111004,CORRECTED - How to Play It: Finding the right channels for investors , (Corrects second paragraph to say CBS gained the most amount of viewers in the 2010-2011 season  not the upcoming 2011-2012 period),normal
COST,Costco Wholesale Corporation,20111004,PREVIEW-UPDATE 1-September likely solid for U.S. chains , * Same-store sales rise of 4.6 pct seen - Thomson Reuters,topStory
COST,Costco Wholesale Corporation,20111004,Top U.S. Mexican dining chain files for bankruptcy ,The leading Mexican restaurant operator in the United States filed for bankruptcy on Tuesday and put its El Torito  Chevys Fresh Mex and Acapulco Mexican Restaurant chains up for sale.,normal
COST,Costco Wholesale Corporation,20111004,September likely solid  not stellar  for U.S. chains ,CHICAGO Shoppers hunting for back-to-school deals gave a nice boost to U.S. discount chains in September  though the rocky stock market and economic malaise may have curbed some people's desire to spend more.,normal
COST,Costco Wholesale Corporation,20111004,PREVIEW-September likely solid  not stellar  for US chains , * Same-store sales rise of 4.7 pct seen - Thomson Reuters,normal
DISCA,Discovery Communications Inc,20111004,How to Play It: Finding the right channels for investors ,THE ISSUE: The new TV season and watershed events such as the Olympics and the 2012 elections are likely to attract big advertising dollars  focusing investor attention on media and entertainment. What networks will attract the most investor interest  and can internet rivals Google and Yahoo compete?,topStory
DISCA,Discovery Communications Inc,20111004,CORRECTED - How to Play It: Finding the right channels for investors , (Corrects second paragraph to say CBS gained the most amount of viewers in the 2010-2011 season  not the upcoming 2011-2012 period),normal
ETFC,E*TRADE Financial Corporation,20111004,E*Trade to boost sales force  focus on retirement ,NEW YORK Online broker E*Trade Financial plans to double its sales force over the next couple of years to 400 from 200 as it seeks to increase its share of client assets in the investment retirement sector  the firm's chief financial officer  Matthew Audette  said on Monday.,topStory
EBAY,eBay Inc,20111004,Ex-Archives employee pleads to stealing recordings ,WASHINGTON A former employee of the National Archives pleaded guilty on Tuesday to stealing valuable audio recordings and selling some on eBay  including a 1937 master copy of legendary baseball player Babe Ruth on a hunting trip for about $35.,topStory
EBAY,eBay Inc,20111004,Ex-US Archives employee pleads to stealing recordings , WASHINGTON  Oct 4 A former employee of the U.S. National Archives pleaded guilty on Tuesday to stealing valuable audio recordings and selling some on eBay  including a 1937 master copy of legendary baseball player Babe Ruth on a hunting trip for about $35.,normal
ELON,Echelon Corporation,20111004,Echelon eyes smart grid growth away from home ,AMSTERDAM Smart grid infrastructure firm Echelon Corporation's chief executive said he saw more opportunities in Europe and the rest of the world than at home  where there is little appetite to upgrade power networks.,topStory
FELE,Franklin Electric Co Inc,20111004,UPDATE 2-Flowserve to buy privately held Lawrence Pumps , * Shares down 4 pct at 2-year low   (Adds details  share movement),topStory
GPRO,GoPro Inc,20111004,U.S. FDA advisory meetings through Dec. 9 , THIS DIARY IS FILED AS THE FOOD AND DRUG ADMINISTRATION UPDATES ITS SCHEDULE. ALL ITEMS EDT/GMT UNTIL NOV. 6.,topStory
INTC,Intel Corporation,20111004,CORRECTED - Intel acquires Israeli mobile navigation firm Telmap , (Corrects name of Intel's AppUp general manager to Peter Biddle throughout),topStory
INTC,Intel Corporation,20111004,Fund tycoon Rajaratnam fights for less prison time ,NEW YORK Convicted hedge fund tycoon Raj Rajaratnam is fighting to the last minute to convince the judge who will decide his fate next week to imprison him for far less than the 19-1/2 to 24-1/2 years demanded by prosecutors.,normal
INTC,Intel Corporation,20111004,UPDATE 1-Fund tycoon Rajaratnam fights for less prison time , * Rajaratnam disputes government's number on illicit gains,normal
INTC,Intel Corporation,20111004,IBM buys Q1 Labs to expand in security software ,IBM Corp  will buy security software provider Q1 Labs as it looks to expand in a market which has seen recent high-profile cyber attacks on victims from Sony Corp  to the British police.,normal
INTC,Intel Corporation,20111004,UPDATE 3-IBM buys Q1 Labs to expand in security software , * Security software & services is a $94 bln market opportunity - IBM,normal
INTC,Intel Corporation,20111004,IBM expands in security software with Q1 Labs buy ,International Business Machines Corp (IBM) said it is to buy Q1 Labs  a privately-held security intelligence software provider  as it looks to tap into a growing market for security software.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
FLAT,iPath US Treasury Flattener ETN,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
FLAT,iPath US Treasury Flattener ETN,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
FLAT,iPath US Treasury Flattener ETN,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
STPP,iPath US Treasury Steepener ETN,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
STPP,iPath US Treasury Steepener ETN,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
STPP,iPath US Treasury Steepener ETN,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
ITRI,Itron Inc,20111004,Echelon eyes smart grid growth away from home ,AMSTERDAM Smart grid infrastructure firm Echelon Corporation's chief executive said he saw more opportunities in Europe and the rest of the world than at home  where there is little appetite to upgrade power networks.,topStory
LHCG,LHC Group,20111004,Home health stocks crash on criminal probe speculation ,Shares of Amedisys   Gentiva Health  and LHC Group  tumbled for a second straight day on Tuesday on fears that the home healthcare providers may face criminal investigations after a U.S. Senate committee accused them of "gaming" the Medicare system.,topStory
LLNW,Limelight Networks Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,topStory
MSFT,Microsoft Corporation,20111004,Cloud computing disappoints early adopters: survey ,LONDON Few organizations have moved to cloud computing -- the delivery of computing as a service from remote centers -- and of those that have  many are disappointed with the results  a survey published on Tuesday found.,topStory
MSFT,Microsoft Corporation,20111004,Nokia still pledging Windows phone as Apple marches on ,HELSINKI On the day that Apple  launches the fifth generation of its ubiquitous iPhone  the once mighty Nokia  is still weeks away from mounting a fightback.,normal
MSFT,Microsoft Corporation,20111004,REFILE-UPDATE 3-Nokia still pledging Windows phone as Apple marches on , (Refiles to correct spelling of 'fightback' in first paragraph),normal
MSFT,Microsoft Corporation,20111004,Nokia still pledging Windows phone as Apple marches on ,HELSINKI On the day that Apple launches the fifth generation of its ubiquitous iPhone  the once mighty Nokia is still weeks away from mounting a fightback.,normal
MSFT,Microsoft Corporation,20111004,Cloud computing disappoints early adopters-survey , LONDON  Oct 4 Few organisations have moved to cloud computing -- the delivery of computing as a service from remote centres -- and of those that have  many are disappointed with the results  a survey published on Tuesday found.,normal
MORN,Morningstar Inc,20111004,Analysis: Why some fund managers don't invest in their own funds ,NEW YORK If you're an investor who owns a single share in a mutual fund  here's a nasty little shocker: You might have more money on the line than your own fund manager.,topStory
MORN,Morningstar Inc,20111004,REFILE-Why some fund managers don't invest in their own funds , The author is an award-winning freelance writer in New York and was formerly a senior writer with SmartMoney. The opinions expressed are his own.,normal
NFLX,Netflix Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,topStory
NWSA,News Corporation,20111004,Fox says can't afford more "Simpsons" without cuts ,LOS ANGELES The future of animated TV comedy "The Simpsons" was up in the air on Tuesday after 20th Century Fox Television said it could no longer afford to produce the show without a huge pay cut for its cast.,topStory
NWSA,News Corporation,20111004,UPDATE 1-Fox says can't afford more "Simpsons" without cuts , LOS ANGELES  Oct 4 The future of animated TV comedy "The Simpsons" was up in the air on Tuesday after 20th Century Fox Television said it could no longer afford to produce the show without a huge pay cut for its cast.,normal
NWSA,News Corporation,20111004,Actor Hugh Grant pressures UK's Cameron on hacking , * Actor has appeared at all three of UK's main party conferences,normal
NWSA,News Corporation,20111004,Fox says can't afford more "Simpsons" without cuts , LOS ANGELES  Oct 4 The future of long-running animated television comedy "The Simpsons" appeared to be up in the air on Tuesday after 20th Century Fox Television said it could not continue to afford producing the show under its current business model.,normal
NXST,Nexstar Media Group Inc,20111004,CORRECTED - How to Play It: Finding the right channels for investors , (Corrects second paragraph to say CBS gained the most amount of viewers in the 2010-2011 season  not the upcoming 2011-2012 period),topStory
QCOM,QUALCOMM Incorporated,20111004,Qualcomm names Altman vice chairman  Mollenkopf to COO ,NEW YORK Qualcomm Inc  has promoted Steve Altman to vice chairman and named another executive  Steve Mollenkopf  as chief operating officer  the cellphone chip supplier said on Tuesday.,topStory
QCOM,QUALCOMM Incorporated,20111004,Qualcomm names Altman vice chairman  Mollenkopf to COO , NEW YORK  Oct 4 Qualcomm Inc  has promoted Steve Altman to vice chairman and named another executive  Steve Mollenkopf  as chief operating officer  the cellphone chip supplier said on Tuesday.,normal
RNWK,RealNetworks Inc,20111004,Supreme Court rejects Internet music download case ,The Supreme Court let stand on Monday a ruling that a traditional Internet download of sound recording does not constitute a public performance of the recorded musical work under federal copyright law.,topStory
STX,Seagate Technology PLC,20111004,Western Digital offers EU concessions for Hitachi deal ,BRUSSELS Western Digital  has offered concessions to EU antitrust regulators in a bid to win approval for its $4.3 billion acquisition of Hitachi Ltd's  hard disk drive business  the European Commission's website showed on Tuesday.,topStory
STX,Seagate Technology PLC,20111004,Western Digital offers EU concessions for Hitachi deal , BRUSSELS  Oct 4 Western Digital has offered concessions to EU antitrust regulators in a bid to win approval for its $4.3 billion acquisition of Hitachi Ltd's  hard disk drive business  the European Commission's website showed on Tuesday.,normal
SHLD,Sears Holdings Corporation,20111004,US STOCKS-Wall St toys with bear market  buyers rush in ,  * Bernanke comments help market pare early losses  * S&P 500 briefly trades down 20 percent from 2011 high  * Dow up 1.4 pct  S&P up 2.3 pct  Nasdaq up 3 pct  (Updates to close  changes byline),topStory
SHLD,Sears Holdings Corporation,20111004,US STOCKS-Wall St falls on Europe  S&P enters bear market ,  * Bernanke comments help market to pare early losses  * S&P trades down 20 percent from 2011 high  * Indexes off: Dow 1.3 pct  S&P 0.9 pct  Nasdaq 0.2 pct  (Updates to early afternoon),normal
SFLY,Shutterfly Inc,20111004,Shutterfly slumps on Apple card app announcement ,SAN FRANCISCO Shares of Shutterfly Inc and American Greetings Corp dropped on Tuesday after Apple Inc unveiled a new greeting card application.,topStory
SFLY,Shutterfly Inc,20111004,Shutterfly slumps on Apple card app announcement , SAN FRANCISCO  Oct 4 Shares of Shutterfly Inc  and American Greetings Corp  dropped on Tuesday after Apple Inc  unveiled a new greeting card application.,normal
SBGI,Sinclair Broadcast Group Inc,20111004,CORRECTED - How to Play It: Finding the right channels for investors , (Corrects second paragraph to say CBS gained the most amount of viewers in the 2010-2011 season  not the upcoming 2011-2012 period),topStory
SBUX,Starbucks Corporation,20111004,KFC parent Yum fails to ease China fears ,KFC parent Yum Brands Inc  posted a quarterly profit that failed to assuage investor worries about slowing growth in China  its biggest market.,topStory
SBUX,Starbucks Corporation,20111004,UPDATE 3-KFC parent Yum fails to ease China fears , (Adds analyst and investor comment  byline  updates share activity),normal
SBUX,Starbucks Corporation,20111004,Corporate America seeks cover in arms of small business ,BOSTON Facing talk of "class warfare" in Washington and protest marches on Wall Street  some of the biggest players in corporate America are linking arms with small business in what observers see as moves to bolster their images at a time of rising public anger.,normal
SBUX,Starbucks Corporation,20111004,Starbucks profit-sharing to boost U.S. non-profits ,Starbucks Corp will share profits from two of its U.S. coffee shops with non-profit groups in New York City and Los Angeles to help offset expected government funding cuts to programs for children and education.,normal
SBUX,Starbucks Corporation,20111004,Starbucks profit-sharing to boost U.S. non-profits , * Each non-profit will get least $100 000 in first year,normal
SYMC,Symantec Corporation,20111004,IBM buys Q1 Labs to expand in security software ,IBM Corp  will buy security software provider Q1 Labs as it looks to expand in a market which has seen recent high-profile cyber attacks on victims from Sony Corp  to the British police.,topStory
SYMC,Symantec Corporation,20111004,UPDATE 3-IBM buys Q1 Labs to expand in security software , * Security software & services is a $94 bln market opportunity - IBM,normal
