ALKS,Alkermes plc,20110707,UPDATE 2-Amylin says heart trial of diabetes drug met goal ,* Alkermes shares rise 6 percent  (Adds background  updates share prices),topStory
SATS,EchoStar Corporation,20110707,UPDATE 2-Court OKs TerreStar's $1.38 bln sale to Dish , * Ruling paves way for TerreStar to emerge from bankruptcy,topStory
ERIC,Ericsson,20110707,SPECIAL REPORT-Malaysia's dilemma: Can it reform and discriminate? , PUTRAJAYA  Malaysia  July 7 Dr. Mahathir Mohamad sits at a vast desk cluttered with work  hands clasped before him and looking at his visitors with a slight smile.,topStory
ERIC,Ericsson,20110707,Special Report: Can Malaysia reform and discriminate? ,PUTRAJAYA  Malaysia Dr. Mahathir Mohamad sits at a vast desk cluttered with work  hands clasped before him and looking at his visitors with a slight smile.,normal
INTC,Intel Corporation,20110707,Retail  tech lead Wall Street rally before jobs data ,NEW YORK Stocks closed sharply higher and the Nasdaq notched an eighth day of gains on Thursday as improved labor market and retail sales data added to optimism a day before the critical June payrolls report.,topStory
INTC,Intel Corporation,20110707,US STOCKS-Retail  tech lead Wall St rally before jobs data , * Dow up 0.7 pct  S&P up 1.1 pct  Nasdaq up 1.4 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
LBTYA,Liberty Global plc,20110707,Australia's Austar says no deal yet from Foxtel talks , MELBOURNE  July 7 Australian pay-tv firm Foxtel remains in talks to take over rival Austar for $2 billion but due to the conditional nature of the proposal  there is no assurance talks will lead to a transaction  Austar said in a statement on Thursday.,topStory
LECO,Lincoln Electric Holdings Inc,20110707,DEALTALK-Charter's welding unit to attract U.S. rivals , * Bidding for Charter could rise to $2.6 bln - analysts,topStory
LECO,Lincoln Electric Holdings Inc,20110707,Dealtalk: Charter's welding unit to attract U.S. rivals ,LONDON/BANGALORE Charter International   a UK-based industrial tools maker which last week rejected a $2 billion approach  is likely to be targeted by U.S. rivals attracted by the prospect of its welding tools business  the world's second-largest.,normal
MESO,Mesoblast Limited,20110707,RPT-UPDATE 1-Mesoblast's late-stage stem cell trial gets FDA nod , * To aim to increase production of blood renewal cells for transplantation,topStory
MSFT,Microsoft Corporation,20110707,Buffett donates $1.5 billion to Gates Foundation ,NEW YORK Investor Warren Buffett has donated another $1.5 billion to the Bill & Melinda Gates Foundation  part of his plan that began in 2006 to donate 99 percent of his wealth.,topStory
MSFT,Microsoft Corporation,20110707,UPDATE 1-Buffett donates $1.5 billion to Gates Foundation , NEW YORK  July 7 Investor Warren Buffett has donated another $1.5 billion to the Bill & Melinda Gates Foundation  part of his plan that began in 2006 to donate 99 percent of his wealth.,normal
MSFT,Microsoft Corporation,20110707,UPDATE 1-Canada eyes Nortel patent sale review- minister , * Gives no detail on timeline for decision  (Adds quotes from minister  details),normal
MSFT,Microsoft Corporation,20110707,Canada eyes Nortel patent sale review- minister , OTTAWA  July 7 Canadian Industry Minister Christian Paradis said on Thursday that officials in his office are studying whether to formally review a sale of Nortel patents to ensure investment law was properly applied.,normal
MSFT,Microsoft Corporation,20110707,Facebook launches video chat with Skype ,PALO ALTO  California Facebook will add Skype video chat to its pages  aiming to spice up the appeal of the world's No. 1 Internet social networking service while fending off increased competition from Google. | Video ,normal
MSFT,Microsoft Corporation,20110707,Hulu owners seeking best sale value  says Disney's Iger , SUN VALLEY  Idaho  July 6 Hulu's current joint owners are seeking the highest possible value in a sale rather than focusing on who a new owner might be  Walt Disney Co  Chief Executive Bob Iger said on Wednesday.,normal
NDAQ,Nasdaq Inc,20110707,Ultra fast trading needs curbs -global regulators , LONDON  July 7 (Reuters)- Rule changes are needed to contain risks from the rapid spread of ultra fast share trading that contributed to Wall Street's "flash crash " global regulators said on Thursday.,topStory
NDAQ,Nasdaq Inc,20110707,Varney to step down as top antitrust official ,WASHINGTON Christine Varney  the top antitrust official in the U.S. Justice Department  is stepping down  the department said on Wednesday.,normal
NDAQ,Nasdaq Inc,20110707,UPDATE 2-Varney to step down as top U.S. antitrust official , * Experts do not expect sharp change in antitrust policy,normal
BABY,Natus Medical Incorporated,20110707,UPDATE 1-Natus Medical sees Q2 revenue below expectations , * Reiterates long-term revenue goal   (Follows alerts),topStory
NWSA,News Corporation,20110707,Hack job! Murdoch axes paper to save deal ,LONDON In an astonishing response to a scandal engulfing his media empire  Rupert Murdoch shut down the News of the World on Thursday  Britain's biggest selling Sunday newspaper. | Video ,topStory
NWSA,News Corporation,20110707,Factbox: Who's who in News of the World scandal ,NEW YORK Rupert Murdoch's News Corp abruptly shut the News of the World  Britain's biggest-selling Sunday newspaper  in response to a growing scandal over alleged phone hacking of celebrities  Britain's royal family  a murdered teenage girl and dead British soldiers.,normal
NWSA,News Corporation,20110707,FACTBOX-Who's who in News of the World scandal , NEW YORK  July 7 Rupert Murdoch's News Corp  abruptly shut the News of the World  Britain's biggest-selling Sunday newspaper  in response to a growing scandal over alleged phone hacking of celebrities  Britain's royal family  a murdered teenage girl and dead British soldiers. [ID:nL6E7I73V2],normal
NWSA,News Corporation,20110707,RPT-WRAPUP 3-Hack job! Murdoch axes paper to save deal , * After scandal  media mogul says News of the World to close,normal
NWSA,News Corporation,20110707,Murdoch journalists stunned by paper's closure , * Tears as News of the World pays price for hacking scandal,normal
NWSA,News Corporation,20110707,WRAPUP 3-Hack job! Murdoch axes paper to save deal , * After scandal  media mogul says News of the World to close,normal
NWSA,News Corporation,20110707,Hacking scandal tests Murdoch's political skills ,LONDON News Corp investors have long tolerated a "Rupert discount" that factors in Rupert Murdoch's penchant for mixing politics and family with business  but a mismanaged scandal that forced him to close one of his UK newspapers on Thursday is now testing the limits of their faith.,normal
NWSA,News Corporation,20110707,Hacking scandal tests Murdoch's political skills , LONDON  July 7 News Corp investors have long tolerated a "Rupert discount" that factors in Rupert Murdoch's penchant for mixing politics and family with business  but a mismanaged scandal that forced him to close one of his UK newspapers on Thursday is now testing the limits of their faith.,normal
NWSA,News Corporation,20110707,WRAPUP 2-Murdoch stuns critics  shuts down scandal-hit paper , * After scandal  media mogul says News of the World to close,normal
NWSA,News Corporation,20110707,Part of U.S. media ownership rule overturned ,WASHINGTON A federal appeals court has overturned part of a 2008 loosening of U.S. media-ownership rules that made it easier to own a newspaper and a broadcast outlet in a single market.,normal
NTRS,Northern Trust Corporation,20110707,MOVES-Rothschild  Standard Chartered  Ignis  BNP Paribas , (Adds HSBC Global Asset Management  Citi Private Bank and others),topStory
SCHL,Scholastic Corporation,20110707,Fans  stars  Hollywood say farewell to Harry Potter ,LONDON Thousands of fans braved rain and battled security restrictions in London's Trafalgar Square on Thursday to say farewell to the boy wizard Harry Potter at the world premiere of the final movie in the record-breaking series. | Video ,topStory
SCHL,Scholastic Corporation,20110707,UPDATE 4-Fans  stars  Hollywood say farewell to Harry Potter , * Record-breaking series has earned billions  (Adds Radcliffe quote  paragraph 20  21),normal
SCHL,Scholastic Corporation,20110707,Factbox: The Harry Potter phenomenon ,Following are some facts about the Harry Potter films and the novels they are based on  as the eighth film - "Harry Potter and the Deathly Hallows - Part 2" premieres in Britain on Thursday and opens in U.S. theatres on July 15. | Video ,normal
SCHL,Scholastic Corporation,20110707,Timeline: Harry Potter saga ends with eighth film ,Following are the events in the Harry Potter saga  leading up to the premiere of the eighth and final film in the series on Thursday -- "Harry Potter and the Deathly Hallows - Part 2." | Video ,normal
SCHL,Scholastic Corporation,20110707,TIMELINE-Harry Potter saga ends with eighth film , July 7 Following are the events in the Harry Potter saga  leading up to the premiere of the eighth and final film in the series on Thursday -- "Harry Potter and the Deathly Hallows - Part 2". ID:nL6E7I61V9],normal
LEDS,SemiLEDS Corporation,20110707,UPDATE 1-SemiLEDs posts wider-than-expected loss; shares down , July 7 Taiwanese lighting company SemiLEDs Corp  posted wider-than-expected third-quarter loss hurt by weak demand and pricing  and expects fourth-quarter gross margin to be negative  sending its shares down 13 percent in extended trading.,topStory
SBGI,Sinclair Broadcast Group Inc,20110707,Part of U.S. media ownership rule overturned ,WASHINGTON A federal appeals court has overturned part of a 2008 loosening of U.S. media-ownership rules that made it easier to own a newspaper and a broadcast outlet in a single market.,topStory
SBGI,Sinclair Broadcast Group Inc,20110707,UPDATE 2-Part of U.S. media ownership rule overturned , * Flaw found in newspaper-broadcast cross-ownership rule,normal
SBUX,Starbucks Corporation,20110707,UPDATE 1-Some Starbucks' workers in Chile plan strike , LOS ANGELES  July 6 Some employees at Starbucks Corp in Chile are planning to walk out on Thursday over a pay and benefits dispute  but the coffee chain said the action would not result in cafe closures.,topStory
SBUX,Starbucks Corporation,20110707,Starbucks' employees in Chile plan strike: report ,Employees at Starbucks Corp's  outlets in Chile plan to walk out on Thursday because  they say  their wages are so low that they can't afford to buy lunch  the Wall Street Journal reported.,normal
SBUX,Starbucks Corporation,20110707,Starbucks' employees in Chile plan strike-WSJ , July 6 Employees at Starbucks Corp's  outlets in Chile plan to walk out on Thursday because  they say  their wages are so low that they can't afford to buy lunch  the Wall Street Journal reported.,normal
VOD,Vodafone Group Plc,20110707,Factbox: Advertisers drop Murdoch paper over hacking claims ,LONDON Supermarket Sainsbury  cellphone operator O2 and a war veterans charity whose patron is Britain's Queen Elizabeth have joined a growing list of organizations to suspend ties with the News of the World as a scandal over hacking allegations deepens.,topStory
VOD,Vodafone Group Plc,20110707,Factbox: Advertisers drop Murdoch paper over hacking claims ,LONDON Supermarket Sainsbury   cellphone operator O2  and a war veterans charity whose patron is Britain's Queen Elizabeth have joined a growing list of organizations to suspend ties with the News of the World as a scandal over hacking allegations deepens.,normal
VOD,Vodafone Group Plc,20110707,TABLE-India adds 13.4 mln mobile users in May; total at 840 mln , July 7 Indian companies signed up 13.35 million mobile subscribers in May  taking total connections in the world's fastest growing mobile phone market to 840.28 million  data from the sector regulator showed on Thursday.,normal
VOD,Vodafone Group Plc,20110707,Varney to step down as top antitrust official ,WASHINGTON Christine Varney  the top antitrust official in the U.S. Justice Department  is stepping down  the department said on Wednesday.,normal
VOD,Vodafone Group Plc,20110707,UPDATE 2-Varney to step down as top U.S. antitrust official , * Experts do not expect sharp change in antitrust policy,normal
ZUMZ,Zumiez Inc,20110707,U.S. chains' June sales likely lifted by bargains , NEW YORK  July 7 Top U.S. retailers are expected to report healthy sales gains for June  helped by bargains that lured shoppers contending with high gasoline prices and a wobbly economy.,topStory
AA,Alcoa Corporation,20110707,Alcoa profit seen higher on aluminum price surge , * Analysts expect profit of 34 cts/shr vs year-ago 13 cts,topStory
AEO,American Eagle Outfitters Inc,20110707,UPDATE 1-US SMALL/MIDCAPS-Small caps hit new high; retailers up , NEW YORK  July 7 The S&P SmallCap 600 index hit a fresh all-time high on Thursday  with retailers helping to lead a rally that followed gains in the broader market.,topStory
AEO,American Eagle Outfitters Inc,20110707,US SMALL/MIDCAPS-Retailers help lead surge higher , NEW YORK  July 7 Retailers helped lead a rally in small- and mid-capitalization stocks on Thursday  with shares of Hot Topic  among the session's top gainers after it beat same-store sales estimates.,normal
AEP,American Electric Power Company Inc,20110707,EPA rule aims to cut smog  soot from coal plants ,WASHINGTON U.S. environmental regulators finalized a rule on Thursday to slash air pollution from coal-fired power plants in 27 states east of the Rocky Mountains that result in unhealthy levels of smog and soot.,topStory
AEP,American Electric Power Company Inc,20110707,UPDATE 2-US rule aims to cut smog  soot from coal plants , * Rule makes Texas cut sulfur dioxide annually  (Adds power producer comments  details of rule),normal
AXP,American Express Company,20110707,EBay buys Zong as mobile payments gain traction ,NEW YORK/SAN FRANCISCO EBay Inc said on Thursday it agreed to buy cellphone payments provider Zong for about $240 million in cash to help its PayPal unit push further into mobile commerce.,topStory
AIG,American International Group Inc,20110707,Citi hit Moody's hurdle in OneMain sale: source ,NEW YORK Citigroup Inc  is finding its consumer finance unit  OneMain Financial  to be a tough sell.,topStory
BUD,Anheuser-Busch Inbev SA,20110707,ABInbev focus on organic growth not M&A - paper , BRUSSELS  July 7 Anheuser-Busch InBev   the world's largest brewer  has reached the right scale and aims for organic growth rather than acquisitions  chief executive Carlos Brito told Belgian business daily De Tijd.,topStory
BUD,Anheuser-Busch Inbev SA,20110707,French and Benelux stocks-Factors to watch on July 7 , PARIS  July 7 Below are company-related news and leading stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
T,AT&T Inc,20110707,Internet providers to act against online pirates ,LOS ANGELES Consumers who illegally download copyrighted films  music or television shows might see their Internet speed slowed or access restricted under an industry anti-piracy effort announced on Thursday.,topStory
T,AT&T Inc,20110707,US Internet providers to act against online pirates , * Illegal downloading could lead to temporary restrictions,normal
T,AT&T Inc,20110707,Varney to step down as top antitrust official ,WASHINGTON Christine Varney  the top antitrust official in the U.S. Justice Department  is stepping down  the department said on Wednesday.,normal
T,AT&T Inc,20110707,UPDATE 2-Varney to step down as top U.S. antitrust official , * Experts do not expect sharp change in antitrust policy,normal
AVB,AvalonBay Communities Inc,20110707,Apartment rents rise  supply tight ,NEW YORK U.S. apartment rents rose and the vacancy rate fell to its lowest level in more than three years in the second quarter as economic trends and limited apartment construction kept the rental market tight  according to preliminary data from real estate research firm Reis.,topStory
AVB,AvalonBay Communities Inc,20110707,U.S. apartment rents rise  supply tight , NEW YORK  July 7 U.S. apartment rents rose and the vacancy rate fell to its lowest level in more than three years in the second quarter as economic trends and limited apartment construction kept the rental market tight  according to preliminary data from real estate research firm Reis.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110707,JP Morgan  Goldman among Loterias IPO co-ordinators , MADRID  July 7  Spain's state lottery LAE has hired Santander   BBVA   Goldman Sachs    UBS   JP Morgan and Credit Suisse  as global co-ordinators for its stock market listing  it said on Thursday.,topStory
SAN,Banco Santander SA,20110707,ONTARIO PRICES $1.0 BLN 2016 BOND  3.0 PCT  99.931 REOFFER  SWAPS + 33BP - LEADS , Jul 7 ONTARIO PRICES $1.0 BLN 2016 BOND  3.0 PCT  99.931 REOFFER  SWAPS + 33BP - LEADS	 	  (Created by Bharat Katal),topStory
SAN,Banco Santander SA,20110707,JP Morgan  Goldman among Loterias IPO co-ordinators , MADRID  July 7  Spain's state lottery LAE has hired Santander   BBVA   Goldman Sachs    UBS   JP Morgan and Credit Suisse  as global co-ordinators for its stock market listing  it said on Thursday.,normal
BAC,Bank of America Corporation,20110707,Analysis: JPMorgan close to becoming the top U.S. lender ,NEW YORK JPMorgan Chase & Co is close to vaulting past Bank of America Corp to become the biggest bank in the United States  but it will likely get there in an odd way -- by shrinking less than its rival.,topStory
BAC,Bank of America Corporation,20110707,Deals of the day -- mergers and acquisitions , July 7 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Thursday:,normal
BAC,Bank of America Corporation,20110707,Morgan Stanley private wealth arm hires Baranski ,NEW YORK Morgan Stanley's  wealth management arm for the super-rich hired a former Merrill Lynch private banking executive  Devon Baranski  to lead its U.S. Southwest region  according to an internal memo obtained by Reuters.,normal
BAC,Bank of America Corporation,20110707,Morgan Stanley private wealth arm hires Baranski , NEW YORK  July 7 Morgan Stanley's  wealth management arm for the super-rich hired a former Merrill Lynch private banking executive  Devon Baranski  to lead its U.S. Southwest region  according to an internal memo obtained by Reuters.,normal
BAC,Bank of America Corporation,20110707,BofA to sell Balboa life unit to Securian ,CHARLOTTE  North Carolina Bank of America Corp  is selling a life insurance subsidiary to Securian Financial Group Inc  continuing a string of asset sales by the largest U.S. bank by assets.,normal
BAC,Bank of America Corporation,20110707,Dealtalk: Gulf Arab M&A eyes rebound as tensions ebb  oil gains ,DUBAI Gulf Arab bankers  hit by a dearth of deal flows so far in 2011  are hoping sovereign wealth funds will drive a second-half rebound powered by a buoyant oil price and an easing in political tensions.,normal
BAC,Bank of America Corporation,20110707,DEALTALK-Gulf Arab M&A eyes rebound as tensions ebb  oil gains , * Outbound M&A deals seen rising in second half - bankers,normal
BAC,Bank of America Corporation,20110707,UPDATE 1-Two Korean financial groups launch $1.85 bln share sales-sources , * KB Financial share sale could raise as much as $1.71 bln,normal
BAC,Bank of America Corporation,20110707,UPDATE 2-Temasek says remains China bull  despite banks' selldown , * Says China biggest investment destination  accounts for 20 pct of portfolio,normal
BAC,Bank of America Corporation,20110707,KB Financial launches $1.71 bln sale of treasury shares - source , HONG KONG  July 7 KB Financial Group Inc  launched a sale of treasury shares worth $1.71 billion  a source with direct knowledge of the deal told Reuters on Thursday.,normal
BMO,Bank Of Montreal,20110707,RPT-UPDATE 1-Royal Bank of Canada latest to join ETF market , * Is one of several firms setting up ETF shops in Canada,topStory
BMO,Bank Of Montreal,20110707,UPDATE 1-Royal Bank of Canada latest to join ETF market , * Is one of several firms setting up ETF shops in Canada,normal
ABX,Barrick Gold Corporation,20110707,Peru Congress enacts law creating fund for miners , LIMA  July 7 Peru's Congress enacted a law on Thursday that will create an additional retirement fund for miners funded by monthly payrolls and corporate profits.,topStory
ABX,Barrick Gold Corporation,20110707,Analysis: Gold stocks to outsparkle gold in post-QE2 world ,LONDON Gold's performance has eclipsed that of gold mining stocks this year  but gold equities now are likely to take the upper hand as the flow of cheap U.S. cash slows and miners boast juicy margins and good growth prospects.,normal
BHP,BHP Billiton Limited,20110707,UPDATE 3-Winter storm continues to hit Chile copper heartland , * Union says extraction of mineral halted after heavy rain,topStory
BHP,BHP Billiton Limited,20110707,Analysis: Protests punish Pinera  but Chile economy seen safe ,SANTIAGO A growing wave of protests against Chilean President Sebastian Pinera's policies risks hampering his legislative agenda though investment in Latin America's model economy is seen safe for now.,normal
BHP,BHP Billiton Limited,20110707,Australia to set carbon price of A$23 per metric ton: report ,CANBERRA Australia is set to slap a carbon tax of A$23 a metric ton ($24.60) on its major emitters  newspapers said on Thursday  but it has halved the number of companies liable for the tax in a bid to overcome hostility to the policy.,normal
BHP,BHP Billiton Limited,20110707,Analysis: Gold stocks to outsparkle gold in post-QE2 world ,LONDON Gold's performance has eclipsed that of gold mining stocks this year  but gold equities now are likely to take the upper hand as the flow of cheap U.S. cash slows and miners boast juicy margins and good growth prospects.,normal
BHP,BHP Billiton Limited,20110707,UPDATE 5-Australia to set carbon price of A$23 per tonne-report , * Number of companies hit by tax to be halved to about 500,normal
BHP,BHP Billiton Limited,20110707,UPDATE 2-BHP halts Port Hedland operations after fatality , * Port Hedland Authority says port still open for other users,normal
BHP,BHP Billiton Limited,20110707,BHP suspends Port Hedland operations after accident , SYDNEY  July 7 Global miner BHP Billiton   suspended port and rail operations at Port Hedland in Western Australia  one of the world's biggest iron ore terminals  following a fatal incident  the company said on Thursday.,normal
BBL,BHP Billiton plc,20110707,UPDATE 3-Winter storm continues to hit Chile copper heartland , * Union says extraction of mineral halted after heavy rain,topStory
BBL,BHP Billiton plc,20110707,Australia to set carbon price of A$23 per metric ton: report ,CANBERRA Australia is set to slap a carbon tax of A$23 a metric ton ($24.60) on its major emitters  newspapers said on Thursday  but it has halved the number of companies liable for the tax in a bid to overcome hostility to the policy.,normal
BBL,BHP Billiton plc,20110707,Analysis: Gold stocks to outsparkle gold in post-QE2 world ,LONDON Gold's performance has eclipsed that of gold mining stocks this year  but gold equities now are likely to take the upper hand as the flow of cheap U.S. cash slows and miners boast juicy margins and good growth prospects.,normal
BBL,BHP Billiton plc,20110707,UPDATE 5-Australia to set carbon price of A$23 per tonne-report , * Number of companies hit by tax to be halved to about 500,normal
BBL,BHP Billiton plc,20110707,UPDATE 2-BHP halts Port Hedland operations after fatality , * Port Hedland Authority says port still open for other users,normal
BBL,BHP Billiton plc,20110707,BHP suspends Port Hedland operations after accident , SYDNEY  July 7 Global miner BHP Billiton   suspended port and rail operations at Port Hedland in Western Australia  one of the world's biggest iron ore terminals  following a fatal incident  the company said on Thursday.,normal
BLK,BlackRock Inc,20110707,RPT-UPDATE 1-Royal Bank of Canada latest to join ETF market , * Is one of several firms setting up ETF shops in Canada,topStory
BLK,BlackRock Inc,20110707,UPDATE 1-Royal Bank of Canada latest to join ETF market , * Is one of several firms setting up ETF shops in Canada,normal
BLK,BlackRock Inc,20110707,Domestic havens best bet in 2011 as resource funds slide , * Japan  UK  U.S. funds insulated from world worries rise,normal
BA,Boeing Company (The),20110707,US  allies' share of world military spending shrinking-study , * Decline partly reflects China's growing economic weight,topStory
