ATVI,Activision Blizzard Inc,20111201,Borrowing from cable  game cos. seek subscribers ,NEW YORK Video game companies want to turn gamers from one-time purchasers into subscribers who generate a steady and predictable revenue stream to boost business and protect against economic uncertainty.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DLBL,Barclays PLC,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
DLBL,Barclays PLC,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DLBL,Barclays PLC,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DTYL,Barclays PLC,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
DTYL,Barclays PLC,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DTYL,Barclays PLC,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
AVGO,Broadcom Limited,20111201,UPDATE 2-Chipmaker Avago sees slowing demand  forecasts weak Q1 sales ,Dec 1 Avago Technologies Ltd  forecast weak sales for the first-quarter as an uncertain global economy forces original equipment manufacturers to keep low inventory levels  hurting demand for its analog chips.,topStory
AVGO,Broadcom Limited,20111201,UPDATE 1-Avago Q4 beats  sees weak Q1 revenue ,Dec 1 Avago Technologies Ltd  posted a better-than-expected fourth-quarter  helped by strong demand for its chips used in  smartphones  but forecast weak sales for the first-quarter  sending its shares down 3 percent.,normal
CME,CME Group Inc,20111201,RPT-CME in talks to enter China derivatives market - paper ,SHANGHAI  Dec 1 CME Group Inc  operator of the world's leading energy  grains and precious metals markets  is in talks with China's securities regulator to enter the mainland's financial derivatives market  the official China Daily reported on Thursday.,topStory
CME,CME Group Inc,20111201,CME in talks to enter China derivatives market - paper ,SHANGHAI  Dec 1 CME Group Inc  operator of the world's leading energy  grains and precious metals markets  is in talks with China's securities regulator to enter the mainland's financial derivatives market  the official China Daily reported on Thursday.,normal
CME,CME Group Inc,20111201,CME defends handling of MF Global collapse ,Nov. 30 The CME Group on Wednesday fought back against criticism it has not done enough to protect customers whose money has gone missing in the collapse of brokerage MF Global Holdings Ltd .,normal
EBAY,eBay Inc,20111201,Exclusive: Trulia hires PayPal executive as CFO ,Real estate website Trulia Inc said on Thursday it hired veteran finance executive and deal-maker Sean Aggarwal from eBay Inc's PayPal to help manage a business that has grown significantly in the past year.,topStory
EBAYL,eBay Inc,20111201,Exclusive: Trulia hires PayPal executive as CFO ,Real estate website Trulia Inc said on Thursday it hired veteran finance executive and deal-maker Sean Aggarwal from eBay Inc's PayPal to help manage a business that has grown significantly in the past year.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
FLAT,iPath US Treasury Flattener ETN,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
FLAT,iPath US Treasury Flattener ETN,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
FLAT,iPath US Treasury Flattener ETN,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
STPP,iPath US Treasury Steepener ETN,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
STPP,iPath US Treasury Steepener ETN,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
STPP,iPath US Treasury Steepener ETN,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
MXIM,Maxim Integrated Products Inc,20111201,Maxim says end of chip correction unclear ,SUNNYVALE  California Short lead times from manufacturing customers are making it tough to predict end demand for microchips and hard to say whether an inventory correction is bottoming out  the chief executive of Maxim Integrated Products said.,topStory
MSFT,Microsoft Corporation,20111201,Google narrowing Microsoft browser lead-StatCounter ,Dec 1 Google Inc's Chrome internet browser overtook Firefox for the first time globally in November and it continues to narrow the gap to market leader Microsoft Corp's Internet Explorer  web analytics firm StatCounter said on Thursday.,topStory
MYL,Mylan NV,20111201,UPDATE 2-Mylan's HIV/AIDS therapy gets tentative nod ,* Drug combination can be used as second-line treatment option,topStory
SHLD,Sears Holdings Corporation,20111201,UPDATE 3-Ohio offers $400 mln to win Sears offices: source ,Dec 1 Ohio has offered $400 million in incentives to Sears Holdings Corp to get the retailer to relocate its headquarters from Illinois to Ohio  a source familiar with the discussions told Reuters.,topStory
SBUX,Starbucks Corporation,20111201,Starbucks to create 5 000 new UK jobs in next 5 years ,LONDON  Dec 1 U.S. coffee retailer Starbucks Corp is to create 5 000 new jobs in Britain over the next five years as it plans to open 200 new drive-thru stores to meet demand for coffee on the go  combined with a number of new conventional store openings.,topStory
TECD,Tech Data Corporation,20111201,UPDATE 1-Tech Data shuts Brazil ops ,Dec 1 Tech Data Corp said it would close its Brazilian commercial operations citing complex tax  legal and regulatory environments  which made it difficult to generate enough business in the country for the company.,topStory
DSGX,The Descartes Systems Group Inc,20111201,UPDATE 1-Descartes Systems Q3 profit beats ,Dec 1 Descartes Systems Group Inc    a provider of logistics-management software and services  posted a third-quarter profit above market estimates on strong growth in services.,topStory
VRSK,Verisk Analytics Inc,20111201,Text-S&P assigns BBB- to Verisk Analytics sr unsecd nts ,NEW YORK (Standard & Poor's) Dec. 1  2011--Standard & Poor's Ratings Services said today it assigned its 'BBB-' issue-level ratings to Verisk Analytics  Inc.'s proposed $250 million senior unsecured notes due 2018. The company intends to use the proceeds from the proposed notes to repay all revolver borrowings currently outstanding (approximately $145 million as of Dec. 1  2011) and the remaining funds for general corporate purposes  including the potential funding of a portion of underfunded pe,topStory
ABT,Abbott Laboratories,20111201,Twitter alum Michael Abbott joins Kleiner Perkins ,SAN FRANCISCO  Dec 1 Former Twitter engineering Vice President Michael Abbott is joining Kleiner Perkins Caufield & Byers next week as a partner  the firm said  signaling its commitment to social networks  mobile and the cloud.,topStory
ALEX,Alexander & Baldwin Holdings Inc,20111201,UPDATE 1-Alexander & Baldwin plans to split itself ,* Cites increased size  capabilities and financial strength,topStory
AEUA,Anadarko Petroleum Corporation,20111201,UPDATE 2-Anadarko has Gulf of Mexico gas discovery ,HOUSTON  Dec 1 Anadarko Petroleum Corp  has made a natural gas discovery at its Cheyenne East prospect in the Gulf of Mexico  an executive told investors on Thursday.,topStory
APC,Anadarko Petroleum Corporation,20111201,UPDATE 2-Anadarko has Gulf of Mexico gas discovery ,HOUSTON  Dec 1 Anadarko Petroleum Corp  has made a natural gas discovery at its Cheyenne East prospect in the Gulf of Mexico  an executive told investors on Thursday.,topStory
AGO,Assured Guaranty Ltd,20111201,S&P downgrades Assured Guaranty  big bond insurer ,Nov 30 Assured Guaranty Ltd saw its credit rating downgraded two notches on Wednesday by Standard & Poor's  but the cut was smaller than had been threatened and should let the last remaining U.S. municipal bond insurer keep guaranteeing public finance debt.,topStory
T,AT&T Inc,20111201,Berlin's fears over T-Mobile's U.S. disposal grow: FT ,LONDON The German government  Deutsche Telekom AG's  biggest shareholder  is growing increasingly worried the company's disposal of its T-Mobile USA subsidiary may run aground over antitrust concerns  the Financial Times reported on Thursday.,topStory
T,AT&T Inc,20111201,US senator demands privacy info from software firm ,Dec 1 U.S. Senator Al Franken asked software maker Carrier IQ to respond to claims by an independent security researcher that its products collect and transmit potentially sensitive data about millions of mobile phone users.,normal
T,AT&T Inc,20111201,AT&T says FCC "cherry-picks" facts in T-Mobile spat ,AT&T Inc accused the U.S. communications regulator of being one-sided and cherry-picking facts when it issued a stinging rebuke of the company's plan to buy T-Mobile USA from Deutsche Telekom.,normal
T,AT&T Inc,20111201,AT&T says FCC "cherry-picks" facts in T-Mobile spat ,AT&T Inc accused the U.S. communications regulator of being one-sided and cherry-picking facts when it issued a stinging rebuke of the company's plan to buy T-Mobile USA from Deutsche Telekom.,normal
T,AT&T Inc,20111201,UPDATE 2-AT&T says FCC "cherry-picks" facts in T-Mobile spat ,Dec 1 AT&T Inc accused the U.S. communications regulator of being one-sided and cherry-picking facts when it issued a stinging rebuke of the company's plan to buy T-Mobile USA from Deutsche Telekom .,normal
T,AT&T Inc,20111201,AT&T  Deutsche Telekom "battling" for merger: sources ,LONDON AT&T Inc and T-Mobile USA's parent company Deutsche Telekom AG are still battling to save their $39 billion merger and are not in talks about a network-sharing alternative  people familiar with the matter said on Thursday.,normal
T,AT&T Inc,20111201,AT&T says FCC "cherry-picks" facts in T-Mobile spat ,AT&T Inc accused the staff of the top U.S. communications regulator of being "one-sided" in a critical report on AT&T's proposed buy of T-Mobile USA from Deutsche Telekom.,normal
T,AT&T Inc,20111201,AT&T says FCC "cherry-picks" facts in T-Mobile spat ,Dec 1 AT&T Inc accused the staff of the top U.S. communications regulator of being "one-sided" in a critical report on AT&T's proposed buy of T-Mobile USA from Deutsche Telekom .,normal
T,AT&T Inc,20111201,AT&T  Deutsche Telekom "battling" for merger-sources ,* AT&T and Deutsche Telekom still battling to save merger-sources,normal
T,AT&T Inc,20111201,AT&T  Deutsche Telekom eyed fallback venture: WSJ ,NEW YORK AT&T Inc  and T-Mobile USA's parent Deutsche Telekom  have discussed options including forming a joint venture to pool the wireless operators' network assets if AT&T's proposed $39 billion plan to buy T-Mobile USA fails  the Wall Street Journal reported.,normal
BBD,Banco Bradesco Sa,20111201,New Issue-Petrobras prices dual tranche deal-Leads ,Borrower                Petrobras International Finance Corp,topStory
BBDO,Banco Bradesco Sa,20111201,New Issue-Petrobras prices dual tranche deal-Leads ,Borrower                Petrobras International Finance Corp,topStory
BAC,Bank of America Corporation,20111201,CORRECTED - BofA's online banking executive moving to JPMorgan ,Dec 1 Bank of America Corp's head of online banking is leaving to become chief financial officer of rival JPMorgan Chase & Co's consumer banking unit.,topStory
BAC,Bank of America Corporation,20111201,Khazanah hires banks for unit's $1.5 bln IPO-sources ,KUALA LUMPUR/SINGAPORE  Dec 1 Malaysian state investor Khazanah has hired Bank of America-Merrill Lynch  Deutsche and CIMB as joint global coordinators for listing of its healthcare unit that could raise about $1.5 billion  three sources with knowledge of the deal told Reuters.,normal
BAC,Bank of America Corporation,20111201,Getco to buy BofA's NYSE market-making business ,Nov 30 Getco LLC  an electronic market maker and high-frequency trading specialist  on Wednesday said it agreed to buy Bank of America Corp's floor-trading operations at the New York Stock Exchange  significantly expanding its market-making operations.,normal
BAC,Bank of America Corporation,20111201,UPDATE 1-Comverse sues BofA over auction-rate debt ,* Comverse claims losses on seemingly safe debt it bought,normal
BAC,Bank of America Corporation,20111201,Comverse sues BofA over auction-rate debt ,* BofA's Merrill Lynch accused of backing away from market,normal
BNS,Bank of Nova Scotia (The),20111201,UPDATE 2-Daiwa to sell prime broker to Bank of Nova Scotia ,* Daiwa to sell synthetic prime broker to Bank of Nova Scotia,topStory
BNS,Bank of Nova Scotia (The),20111201,Daiwa to sell prime broker unit to Bank of Nova Scotia-sources ,TOKYO  Dec 1 Daiwa Securities Group  plans to sell its synthetic prime brokerage to Canada's Bank of Nova Scotia as part of the Japanese brokerage's move to shed non-core assets  two sources familiar with the matter said.,normal
BCS,Barclays PLC,20111201,Del Monte's $89 million shareholder settlement approved ,WILMINGTON  Delaware A judge approved an $89.4 million settlement for shareholders of Del Monte  who claimed they were shortchanged in the food company's $4 billion sale to private equity investors led by KKR and Co .,topStory
BCS,Barclays PLC,20111201,Bank of Spain set to decide CAM's fate: report ,LONDON The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell  can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
BCS,Barclays PLC,20111201,Bank of Spain set to decide CAM's fate-FT ,LONDON  Dec 1 The Bank of Spain and Spain's state-backed bank restructuring FROB fund are set to decide as early as Friday whether Banco de Sabadell can buy Caja de Ahorros del Mediterraneo (CAM)  the Financial Times reported on Thursday  citing people involved in the negotiations.,normal
BKS,Barnes & Noble Inc,20111201,REFILE-US STOCKS-Wall St slips  eyes Friday's jobs report ,* Market pauses after Dow's best showing in nearly 3 years     * U.S. factory activity rebounds in November     * Barnes & Noble shares plunge after results     * Dow industrials  S&P 500 off 0.2 pct; Nasdaq up 0.2 pct  *An index of airline stocks rose 1.8 percent.     About 6.8 billion shares traded on the New York Stock Exchange  NYSE Amex and Nasdaq  below the current daily average of 7.97 billion shares traded per day.     Declining stocks outnumbered advancing ones on the NYSE by a ratio of,topStory
BKS,Barnes & Noble Inc,20111201,US STOCKS-Wall St eases after run; Friday's jobs key to rally ,* Investors expect payrolls to beat forecast     * U.S. factory activity rebounds in November     * Barnes & Noble shares plunge after results     * Dow off 0.4 pct  S&P off 0.4 pct  Nasdaq up 0.1 pct,normal
BKS,Barnes & Noble Inc,20111201,Costly Kindle fight hurting Barnes & Noble ,Barnes & Noble Inc's expensive investments to keep its Nook e-reader competitive with Amazon's Kindle led to an unexpected quarterly loss for the bookseller  sending its shares down as much as 24 percent on Thursday.,normal
BKS,Barnes & Noble Inc,20111201,UPDATE 3-Costly Kindle fight hurting Barnes & Noble ,Dec 1 Barnes & Noble Inc's expensive investments to keep its Nook e-reader competitive with Amazon's Kindle led to an unexpected quarterly loss for the bookseller  sending its shares down as much as 24 percent on Thursday.,normal
BKS,Barnes & Noble Inc,20111201,US STOCKS-Wall St slips in pullback from powerful rally ,* Indexes coming off best session in weeks     * U.S. factory activity rebounds in November     * Barnes & Noble shares plunge after results     * Dow off 0.1 pct  S&P up 0.1 pct  Nasdaq up 0.4 pct,normal
BBY,Best Buy Co Inc,20111201,Best Buy recalls iPhone battery cases over fire hazard ,WASHINGTON Electronics retailer Best Buy Co Inc is recalling about 32 000 Rocketfish battery cases for iPhones because of a fire hazard  the Consumer Product Safety Commission and Health Canada said.,topStory
BBY,Best Buy Co Inc,20111201,Best Buy recalls iPhone battery case due to hazard ,WASHINGTON  Dec 1 Electronics retailer Best Buy Co Inc is recalling about 32 000 Rocketfish battery cases for Apple Inc iPhones because of a fire hazard  the Consumer Product Safety Commission and Health Canada said.,normal
BLK,BlackRock Inc,20111201,BlackRock investment executives exit ,Dec 1 (Reuters) -A number of investment management executives at BlackRock Inc. have left the $3.345 trillion asset management firm over the past few weeks.,topStory
BA,Boeing Company (The),20111201,EU says complies with WTO in Airbus-Boeing dispute ,WASHINGTON/GENEVA The European Union said on Thursday it had met a deadline for complying with a WTO ruling against billions of euros of illegal subsidies for aircraft maker Airbus and outlined its actions in a letter to the United States and the World Trade Organization.,topStory
BA,Boeing Company (The),20111201,UPDATE 4-EU says complies with WTO in Airbus-Boeing dispute ,WASHINGTON/GENEVA  Dec 1 The European Union said on Thursday it had met a deadline for complying with a WTO ruling against billions of euros of illegal subsidies for aircraft maker Airbus and outlined its actions in a letter to the United States and the World Trade Organization.,normal
BA,Boeing Company (The),20111201,UPDATE 1-EU faces compliance deadline in Airbus spat with US ,* If no compliance  US should enforce rights  Boeing says,normal
BA,Boeing Company (The),20111201,EU faces deadline Thursday in Airbus spat with US ,* If no compliance  US should enforce rights  Boeing says,normal
BSX,Boston Scientific Corporation,20111201,Boston Sci stent vulnerable to deformation-study ,* Medtronic's Driver stent also vulnerable to deformation,topStory
BP,BP plc,20111201,BP sells Canadian natgas liquids unit to Plains ,BP Plc  has agreed to sell its Canadian natural gas liquids business to Plains All American Pipeline  for $1.67 billion as part of an effort to raise $45 billion to pay for its Gulf of Mexico oil spill in 2010.,topStory
BP,BP plc,20111201,UPDATE 3-BP sells Canadian natgas liquids unit to Plains ,Dec 1 BP Plc has agreed to sell its Canadian natural gas liquids business to Plains All American Pipeline for $1.67 billion as part of an effort to raise $45 billion to pay for its Gulf of Mexico oil spill in 2010.,normal
BTI,British American Tobacco plc,20111201,RPT-BAT challenges Australia plain pack tobacco laws ,CANBERRA  Dec 1 British American Tobacco  on Thursday became the second tobacco giant to launch legal action against Australian laws forcing tobacco products to be sold in drab  plain packaging from next year  following the lead of Philip Morris.,topStory
CM,Canadian Imperial Bank of Commerce,20111201,UPDATE 2-CIBC profit jumps 59 pct on wholesale banking ,TORONTO - Canadian Imperial Bank of Commerce's  fourth-quarter profit rose a stronger-than-expected 59 percent due mainly to wholesale banking income  the company said Thursday.	 Canada's No. 5 bank earned a net C$794 million ($778 million)  or C$1.89 a share  in the quarter ended Oct. 31. That compared with a year-before profit of C$500 million  or C$1.17 a share.	 Excluding one-time items  the bank earned C$1.87 a share. Analysts had expected  on average  a profit of C$1.81 per share  accordin,topStory
CX,Cemex SAB de CV,20111201,UPDATE 4-Venezuela to pay $600 mln compensation to Cemex ,CARACAS  Dec 1 President Hugo Chavez's government has agreed to pay $600 million to settle a claim from Mexico's Cemex  over the 2008 nationalization of Venezuela's cement sector.,topStory
CX,Cemex SAB de CV,20111201,Venezuela to pay $600 mln compensation to Cemex ,CARACAS  Dec 1 Venezuela said on Thursday it had agreed to pay $600 million to settle a compensation claim from Mexican cement maker Cemex  related to the 2008 nationalization of assets of the company's local unit.,normal
