ALIM,Alimera Sciences Inc,20160216,DEALTALK-Market turmoil drives small biotechs to big pharma ,Feb 16 Numerous small biotechnology companies have been all but shut out of the capital markets  leaving many with no choice but to consider a sale to larger peers.,normal
LBTYA,Liberty Global plc,20160216,European shares rise as energy and mining stocks climb ,LONDON  Feb 16 European stock markets rose on Tuesday  helped by stronger energy stocks which gained ground as oil prices surged on the possibility of output cuts.,normal
LBTYA,Liberty Global plc,20160216,UPDATE 2-UK Stocks-Factors to watch on Feb. 16 ,Feb 16 Britain's FTSE 100 index is seen to open up by 24-26 points  or 0.4-0.5 percent  on Tuesday  according to financial bookmakers. Futures were up 0.5 percent at 0746 GMT. For more on the factors affecting European stocks  please click on,normal
LBTYA,Liberty Global plc,20160216,UK Stocks-Factors to watch on Feb. 16 ,Feb 16 Britain's FTSE 100 index is seen to open up by 24-26 points  or 0.4-0.5 percent  on Tuesday  according to financial bookmakers. For more on the factors affecting European stocks  please click on           * The UK blue-chip index closed up 116.68 points  or 2 percent  at 5 825.17 on Monday  extending its recovery from three-year lows hit last week  helped by a surge in consumer goods group Reckitt Benckiser.      * VODAFONE: UK phone network operator Vodafone and John Malone's,normal
LBTYB,Liberty Global plc,20160216,Vodafone  Liberty agree on Dutch joint venture ,Feb 15 UK phone network operator Vodafone Plc  and John Malone's cable company Liberty Global Plc  agreed on Monday to combine their operations in the Netherlands by creating a joint venture.,topStory
LBTYB,Liberty Global plc,20160216,European shares fall after oil output deal disappoints ,* Telecom Italia slumps after profit miss   (Adds closing prices  details),normal
LBTYB,Liberty Global plc,20160216,European shares fall after oil output deal disappoints ,* Banks under pressure as JP Morgan suggest not to buy   (Adds details  updates prices),normal
LBTYB,Liberty Global plc,20160216,Vodafone ties up with Liberty in Dutch deal to take on KPN ,AMSTERDAM/LONDON Mobile telecoms network operator Vodafone  and cable company Liberty Global  have agreed to combine their Dutch operations to create a stronger package of TV  broadband Internet and mobile  aiming to better take on former incumbent KPN .,normal
LBTYB,Liberty Global plc,20160216,European shares edge lower as bank stocks fall; oils off highs ,LONDON/MILAN  Feb 16 European shares edged lower on Tuesday  with banking stocks again under pressure after a short rebound  while oil companies came off earlier highs on disappointment over a deal to tackle a global supply glut.,normal
LBTYB,Liberty Global plc,20160216,Vodafone ties up with Liberty in Dutch deal to take on KPN ,AMSTERDAM/LONDON Mobile telecoms network operator Vodafone  and cable company Liberty Global  have agreed to combine their Dutch operations to create a stronger package of TV  broadband Internet and mobile  aiming to better take on former incumbent KPN .,normal
LBTYB,Liberty Global plc,20160216,European shares steady as oil companies rise ,* FTSEurofirst 300 steady after 6 pct rise in last 2 sessions,normal
LBTYB,Liberty Global plc,20160216,European shares rise as energy and mining stocks climb ,LONDON  Feb 16 European stock markets rose on Tuesday  helped by stronger energy stocks which gained ground as oil prices surged on the possibility of output cuts.,normal
LBTYB,Liberty Global plc,20160216,UPDATE 2-UK Stocks-Factors to watch on Feb. 16 ,Feb 16 Britain's FTSE 100 index is seen to open up by 24-26 points  or 0.4-0.5 percent  on Tuesday  according to financial bookmakers. Futures were up 0.5 percent at 0746 GMT. For more on the factors affecting European stocks  please click on,normal
LBTYB,Liberty Global plc,20160216,UK Stocks-Factors to watch on Feb. 16 ,Feb 16 Britain's FTSE 100 index is seen to open up by 24-26 points  or 0.4-0.5 percent  on Tuesday  according to financial bookmakers. For more on the factors affecting European stocks  please click on           * The UK blue-chip index closed up 116.68 points  or 2 percent  at 5 825.17 on Monday  extending its recovery from three-year lows hit last week  helped by a surge in consumer goods group Reckitt Benckiser.      * VODAFONE: UK phone network operator Vodafone and John Malone's,normal
LBTYK,Liberty Global plc,20160216,Vodafone  Liberty agree on Dutch joint venture ,Feb 15 UK phone network operator Vodafone Plc  and John Malone's cable company Liberty Global Plc  agreed on Monday to combine their operations in the Netherlands by creating a joint venture.,topStory
LBTYK,Liberty Global plc,20160216,European shares fall after oil output deal disappoints ,* Telecom Italia slumps after profit miss   (Adds closing prices  details),normal
LBTYK,Liberty Global plc,20160216,European shares fall after oil output deal disappoints ,* Banks under pressure as JP Morgan suggest not to buy   (Adds details  updates prices),normal
LBTYK,Liberty Global plc,20160216,Vodafone ties up with Liberty in Dutch deal to take on KPN ,AMSTERDAM/LONDON Mobile telecoms network operator Vodafone  and cable company Liberty Global  have agreed to combine their Dutch operations to create a stronger package of TV  broadband Internet and mobile  aiming to better take on former incumbent KPN .,normal
LBTYK,Liberty Global plc,20160216,European shares edge lower as bank stocks fall; oils off highs ,LONDON/MILAN  Feb 16 European shares edged lower on Tuesday  with banking stocks again under pressure after a short rebound  while oil companies came off earlier highs on disappointment over a deal to tackle a global supply glut.,normal
LBTYK,Liberty Global plc,20160216,Vodafone ties up with Liberty in Dutch deal to take on KPN ,AMSTERDAM/LONDON Mobile telecoms network operator Vodafone  and cable company Liberty Global  have agreed to combine their Dutch operations to create a stronger package of TV  broadband Internet and mobile  aiming to better take on former incumbent KPN .,normal
LBTYK,Liberty Global plc,20160216,European shares steady as oil companies rise ,* FTSEurofirst 300 steady after 6 pct rise in last 2 sessions,normal
LBTYK,Liberty Global plc,20160216,European shares rise as energy and mining stocks climb ,LONDON  Feb 16 European stock markets rose on Tuesday  helped by stronger energy stocks which gained ground as oil prices surged on the possibility of output cuts.,normal
LBTYK,Liberty Global plc,20160216,UPDATE 2-UK Stocks-Factors to watch on Feb. 16 ,Feb 16 Britain's FTSE 100 index is seen to open up by 24-26 points  or 0.4-0.5 percent  on Tuesday  according to financial bookmakers. Futures were up 0.5 percent at 0746 GMT. For more on the factors affecting European stocks  please click on,normal
LBTYK,Liberty Global plc,20160216,UK Stocks-Factors to watch on Feb. 16 ,Feb 16 Britain's FTSE 100 index is seen to open up by 24-26 points  or 0.4-0.5 percent  on Tuesday  according to financial bookmakers. For more on the factors affecting European stocks  please click on           * The UK blue-chip index closed up 116.68 points  or 2 percent  at 5 825.17 on Monday  extending its recovery from three-year lows hit last week  helped by a surge in consumer goods group Reckitt Benckiser.      * VODAFONE: UK phone network operator Vodafone and John Malone's,normal
MDLZ,Mondelez International Inc,20160216,HIGHLIGHTS-Hedge funds pile into SunEdison shares ahead of plunge ,NEW YORK/BOSTON  Feb 16 Top U.S. hedge fund management firms  including Visium Asset Management  took stakes in embattled renewable energy company SunEdison Inc  during the fourth quarter.,normal
NDAQ,Nasdaq Inc,20160216,Nasdaq to test new incentives to ease volatility  trading halts ,NEW YORK Exchange operator Nasdaq Inc said on Tuesday it plans to lower trading prices for some U.S. stocks during times of extreme market volatility to determine whether the incentives lead to less disruptive trading.,topStory
NDAQ,Nasdaq Inc,20160216,Nasdaq to test new incentives to ease volatility  trading halts ,NEW YORK  Feb 16 Exchange operator Nasdaq Inc  said on Tuesday it plans to lower trading prices for some U.S. stocks during times of extreme market volatility to determine whether the incentives lead to less disruptive trading.,normal
ON,ON Semiconductor Corporation,20160216,Fairchild says China Resources offer not superior to ON Semi's ,Feb 16 Fairchild Semiconductor International Inc  said the unsolicited offer it received from China Resources Microelectronics Ltd and Hua Capital Management Co Ltd in December was not superior to ON Semiconductor Corp's  deal.,topStory
ON,ON Semiconductor Corporation,20160216,Fairchild rejects Chinese offer on U.S. regulatory fears ,Fairchild Semiconductor International Inc  said on Tuesday it had rejected an acquisition offer from China Resources Microelectronics Ltd and Hua Capital Management Co Ltd  citing concerns over the U.S. approval process.,normal
ON,ON Semiconductor Corporation,20160216,Fairchild rejects Chinese offer on U.S. regulatory fears ,Fairchild Semiconductor International Inc  said on Tuesday it had rejected an acquisition offer from China Resources Microelectronics Ltd and Hua Capital Management Co Ltd  citing concerns over the U.S. approval process.,normal
PTC,PTC Inc,20160216,Tech company PTC to pay $28 mln to resolve U.S. bribery probes ,Two units of Massachusetts-based software company PTC Inc will pay a total of $28 million to resolve probes into whether they gave more than $1 million in recreational travel to officials from China  two U.S. government agencies said on Tuesday.,topStory
PTC,PTC Inc,20160216,UPDATE 3-Tech company PTC to pay $28 mln to resolve U.S. bribery probes ,Feb 16 Two units of Massachusetts-based software company PTC Inc will pay a total of $28 million to resolve probes into whether they gave more than $1 million in recreational travel to officials from China  two U.S. government agencies said on Tuesday.,normal
PTC,PTC Inc,20160216,Tech company PTC to pay $28 million to resolve U.S. bribery probes ,Two units of Massachusetts-based software company PTC Inc will pay a total of $28 million to resolve probes into whether they gave more than $1 million in recreational travel to officials from China  two U.S. government agencies said on Tuesday.,normal
TMUS,T-Mobile US Inc,20160216,Analysis: T-Mobile could face crush of competition in crucial U.S. airwaves auction ,NEW YORK A few months ago  T-Mobile US Inc looked set to dominate a race for airwaves reserved for smaller  emerging players in an upcoming U.S. auction  a feat that would help it compete with U.S. wireless heavyweights Verizon Communications and AT&T Inc.,topStory
VOD,Vodafone Group Plc,20160216,Ziggo and Vodafone JV to lead to 2bn of new debt ,LONDON  Feb 16 (IFR) - The merger of Liberty Global's Ziggo and Vodafone's Dutch operations should result in billions of euros of new high-yield bonds or leveraged loans  according to market participants.,topStory
VOD,Vodafone Group Plc,20160216,Vodafone ties up with Liberty in Dutch deal to take on KPN ,AMSTERDAM/LONDON Mobile telecoms network operator Vodafone  and cable company Liberty Global  have agreed to combine their Dutch operations to create a stronger package of TV  broadband Internet and mobile  aiming to better take on former incumbent KPN .,normal
VOD,Vodafone Group Plc,20160216,Vodafone says gets $2 billion India tax reminder notice ,MUMBAI  Feb 16 India's tax office has issued a reminder notice to Vodafone Group Plc about a tax demand worth more than $2 billion  saying it could seize the British telecoms company's assets in India if it is not paid.,normal
VOD,Vodafone Group Plc,20160216,BRIEF-Vodafone confirms having received a tax reminder from Indian tax dept ,* Vodafone says Indian tax department notice has references to asset seizures in the event of non-payment,normal
VOD,Vodafone Group Plc,20160216,European Factors to Watch-Shares seen opening higher ,LONDON  Feb 16 European stocks were seen opening higher on Tuesday  tracking gains in Asian and U.S. equities while a rebound in oil prices also supported markets.,normal
VOD,Vodafone Group Plc,20160216,CORRECTED-UPDATE 1-Vodafone pays Liberty 1 bln euros for Dutch joint venture ,Feb 15 UK phone network operator Vodafone Plc  and John Malone's cable company Liberty Global Plc  agreed on Monday to combine their operations in the Netherlands for a better footing in the local market.,normal
VOD,Vodafone Group Plc,20160216,Vodafone  Liberty agree on Dutch joint venture ,Feb 15 UK phone network operator Vodafone Plc  and John Malone's cable company Liberty Global Plc  agreed on Monday to combine their operations in the Netherlands by creating a joint venture.,normal
YNDX,Yandex NV,20160216,BRIEF-Russia's Yandex expects 12-18 pct revenue growth in 2016 ,* Q4 2015 net income totalled 2.9 billion roubles ($37.5 million)  down 62 percent compared with Q4 2014;,topStory
AET,Aetna Inc,20160216,Aetna gets Florida insurance regulator's approval for Humana deal ,Health insurer Aetna Inc  said on Monday Florida's insurance regulator approved its acquisition of Humana Inc .,topStory
AET,Aetna Inc,20160216,Aetna gets Florida insurance regulator's approval for Humana deal ,Feb 15 Health insurer Aetna Inc said on Monday Florida's insurance regulator approved its acquisition of Humana Inc.,normal
APO,Apollo Global Management LLC,20160216,Apollo Global to buy security services provider ADT Corp ,Electronic security services provider ADT Corp  said it had agreed to be acquired by funds affiliated with private equity firm Apollo Global Management LLC  for $7 billion.,topStory
APO,Apollo Global Management LLC,20160216,Apollo Global to buy security services provider ADT Corp ,Feb 16 Electronic security services provider ADT Corp said it had agreed to be acquired by funds affiliated with private equity firm Apollo Global Management LLC  for $7 billion.,normal
APO,Apollo Global Management LLC,20160216,Apollo Global Management nears deal to buy ADT Corp: source ,Private-equity firm Apollo Global Management  is nearing a deal to acquire ADT Corp  and combine it with another security company Apollo already owns  Protection 1  according to a person familiar with the matter.,normal
APO,Apollo Global Management LLC,20160216,UPDATE 1-Apollo Global Management nears deal to buy ADT Corp - source ,Feb 15 Private-equity firm Apollo Global Management is nearing a deal to acquire ADT Corp  and combine it with another security company Apollo already owns  Protection 1  according to a person familiar with the matter.,normal
ALV,Autoliv Inc,20160216,BRIEF-Autoliv names Leif Johansson as new board member ,* Autoliv elects Leif Johansson as new board member  Source text for Eikon:  Further company coverage:    (Stockholm Newsroom),topStory
BLL,Ball Corporation,20160216,Drinks can makers Ball  Rexam launch $3 bln asset sale ahead of merger   - sources ,Drinks can makers Ball Corp and Rexam Plc have begun the process of selling assets  potentially worth more than $3 billion  to meet antitrust regulations ahead of their planned merger  several people familiar with the matter said.,topStory
BLL,Ball Corporation,20160216,Drinks can makers Ball  Rexam launch $3 billion asset sale ahead of merger: sources ,FRANKFURT Drinks can makers Ball Corp  and Rexam Plc  have begun the process of selling assets  potentially worth more than $3 billion  to meet antitrust regulations ahead of their planned merger  several people familiar with the matter said.,normal
BLL,Ball Corporation,20160216,Drinks can makers Ball  Rexam launch $3 bln asset sale ahead of merger -sources ,FRANKFURT  Feb 16 Drinks can makers Ball Corp  and Rexam Plc have begun the process of selling assets  potentially worth more than $3 billion  to meet antitrust regulations ahead of their planned merger  several people familiar with the matter said.,normal
BAX,Baxter International Inc,20160216,HIGHLIGHTS-Hedge funds pile into SunEdison shares ahead of plunge ,NEW YORK/BOSTON  Feb 16 Top U.S. hedge fund management firms  including Visium Asset Management  took stakes in embattled renewable energy company SunEdison Inc  during the fourth quarter.,normal
BHP,BHP Billiton Limited,20160216,U.S. says ferroalloy imports from Australia sold at 12.03 pct dumping margin ,WASHINGTON  Feb 16 The U.S. Commerce Department said on Tuesday an Australian company once owned by the world's biggest miner BHP Billiton Ltd sold silicomanganese in the United States at a dumping margin of 12.03 percent  and a final decision on imposing duties on the imports would be made on March 28.,topStory
BA,Boeing Company (The),20160216,U.S. agency rejects Boeing protest of Northrop bomber contract ,WASHINGTON A U.S. government agency on Tuesday rejected a protest filed by Boeing Co and Lockheed Martin Corp against a multibillion-dollar bomber contract awarded to Northrop Grumman Corp by the U.S. Air Force in October.,topStory
BA,Boeing Company (The),20160216,Boeing says 787 production will ramp to 12 per month by summer ,NORTH CHARLESTON  South Carolina Boeing Co  is ramping up total production of its widebody 787 Dreamliner to 12 planes a month from ten  Beverly Wyse  vice president and general manager of Boeing South Carolina said Tuesday.,normal
BA,Boeing Company (The),20160216,Boeing says 787 production will ramp to 12 per month by summer ,NORTH CHARLESTON  South Carolina  Feb 16 Boeing Co is ramping up total production of its widebody 787 Dreamliner to 12 planes a month from ten  Beverly Wyse  vice president and general manager of Boeing South Carolina said Tuesday.,normal
BA,Boeing Company (The),20160216,U.S. GAO denies Boeing protest of Northrop's bomber contract ,WASHINGTON  Feb 16 The U.S. Government Accountability Office on Tuesday said it had denied a protest filed by Boeing Co and Lockheed Martin Corp  against an $80 billion contract for a new bomber awarded to Northrop Grumman Corp by the U.S. Air Force.,normal
BP,BP plc,20160216,BRIEF-BP says start-up of Southern Fields project at In Salah Gas ,* In Salah Gas  a joint venture between Sonatrach  BP and Statoil today announced start-up of its Southern Fields project,topStory
BG,Bunge Limited,20160216,UPDATE 1-Bunge seeks to resell French wheat cargo rejected by Egypt - trade ,Feb 16 Bunge Ltd is seeking to resell a cargo of French milling wheat that was rejected by Egypt in December over trace levels of ergot fungus  traders said on Tuesday.,topStory
KO,Coca-Cola Company (The),20160216,Coca-Cola hopes to refresh corporate Kangaroo market ,SYDNEY  Feb 16 (IFR) - The Coca-Cola Company  (Aa3/AA/A+) looks set to provide the first real test of the year for the corporate Kangaroo market  having mandated Deutsche Bank to arrange investor meetings from March 7 for a potential debut trade.,normal
CYH,Community Health Systems Inc,20160216,UPDATE 2-Community Health's surprise loss pulls down hospital stocks ,Feb 16 Shares of Community Health Systems Inc  fell as much as 31 percent on Tuesday  to their lowest level in seven years  after the No. 2 U.S. for-profit hospital operator posted a surprise loss for the fourth quarter  citing lower-than-expected patient admissions.,topStory
CYH,Community Health Systems Inc,20160216,US STOCKS-Wall St rises as battered consumer  bank stocks gain favor ,* Indexes up: Dow 1.29 pct  S&P 1.54 pct  Nasdaq 2.09 pct   (Updates to late afternoon),normal
CYH,Community Health Systems Inc,20160216,US STOCKS-Wall St up as battered consumer  bank stocks seem bargains ,* Indexes up: Dow 1.06 pct  S&P 1.26 pct  Nasdaq 1.76 pct   (Updates to early afternoon),normal
CYH,Community Health Systems Inc,20160216,US STOCKS-Wall St up as bargain hunters snap up beaten-down stocks ,* Indexes up: Dow 0.52 pct  S&P 0.72 pct  Nasdaq 1.22 pct   (Adds details  changes comment  updates prices),normal
CYH,Community Health Systems Inc,20160216,US STOCKS-Wall St jumps at the open  helped by consumer  bank stocks ,* Indexes up: Dow 0.97 pct  S&P 1.15 pct  Nasdaq 1.63 pct   (Updates to open),normal
CYH,Community Health Systems Inc,20160216,Community Health stock slumps after surprise loss  rivals also hit ,Feb 16 Community Health Systems Inc's  shares were set to open at a near seven-year low on Tuesday  a day after the No.2 U.S. for-profit hospital operator posted a surprise quarterly loss.,normal
CYH,Community Health Systems Inc,20160216,US STOCKS-Wall St set to extend Friday's rally as oil stabilizes ,* Futures up: Dow 168 pts  S&P 20.75 pts  Nasdaq 59 pts   (Adds details  comment  updates prices),normal
GLW,Corning Incorporated,20160216,BRIEF-Kuehne und Nagel to manage Corning Life Sciences Asia-Pacific distribution hub ,* Corning Incorporated appointed Kuehne + Nagel to manage distribution requirements for its Corning Life Sciences business in Asia-Pacific market  Source text - http://bit.ly/1on1QMf,topStory
COTY,Coty Inc,20160216,EU clears Coty acquisition of P&G beauty businesses ,BRUSSELS  Feb 16 The European Commission said on Tuesday it had approved Coty Inc's planned acquisition of Procter & Gamble's beauty products businesses by Coty after concluding the market competition would remain sufficiently strong.,topStory
DB,Deutsche Bank AG,20160216,Former Deutsche Bank exec Neske to head LBBW- sources ,FRANKFURT  Feb 16 Former Deutsche Bank  board member Rainer Neske is to be named chief executive of Germany's biggest state-backed landesbank lender LBBW  three sources familiar with the matter said.,topStory
DVN,Devon Energy Corporation,20160216,UPDATE 1-Devon Energy cuts staff  dividend  spending on oil price crash ,HOUSTON  Feb 16 Devon Energy Corp  slashed its dividend and capital spending 75 percent on Tuesday and said it will lay off 20 percent of its staff as low prices roil shale oil companies.,topStory
DVN,Devon Energy Corporation,20160216,Devon Energy slashes spending 75 pct  cuts jobs and says output to dip ,HOUSTON  Feb 16 Devon Energy Corp  a top U.S. independent oil producer  slashed its 2016 capital spending program 75 percent on Tuesday  announced layoffs for 20 percent of staff  and said production would slip as low prices roil shale oil companies.,normal
PLOW,Douglas Dynamics Inc,20160216,Beauty retailer Douglas invests to counter online threat ,DUESSELDORF  Feb 16 German perfume and cosmetics retailer Douglas appointed a new chief executive and announced a shift of its headquarters and investment of 100 million euros ($112 million) as it seeks to respond to the spread of e-commerce.,topStory
FDX,FedEx Corporation,20160216,BRIEF-TNT Express Q4 operating result turns to profit of 57 mln euros ,* Reports Q4 revenues of 1 861 million euros ($2.08 billion)  up 4.1 pct yoy,topStory
GD,General Dynamics Corporation,20160216,Three Americans kidnapped in Iraq released in Baghdad -U.S. source ,WASHINGTON  Feb 16 Three U.S. citizens kidnapped in Iraq last month have been released in Baghdad  a U.S. government source said on Tuesday.,normal
GEK,General Electric Capital Corporation,20160216,GE explores oil and gas business in Iran with top executive visit ,General Electric Co  is exploring potential business opportunities in Iran and the chief executive of its oil and gas division visited the country recently  a company spokeswoman said.,topStory
GEK,General Electric Capital Corporation,20160216,GE explores oil and gas business in Iran with top exec visit ,Feb 15 General Electric Co is exploring potential business opportunities in Iran and the chief executive of its oil and gas division visited the country recently  a company spokeswoman said.,normal
GE,General Electric Company,20160216,GE explores oil and gas business in Iran with top executive visit ,General Electric Co  is exploring potential business opportunities in Iran and the chief executive of its oil and gas division visited the country recently  a company spokeswoman said.,topStory
GE,General Electric Company,20160216,GE explores oil and gas business in Iran with top exec visit ,Feb 15 General Electric Co is exploring potential business opportunities in Iran and the chief executive of its oil and gas division visited the country recently  a company spokeswoman said.,normal
GM,General Motors Company,20160216,GM says recalling Saab  Saturn brand vehicles with Takata parts ,DETROIT General Motors Co  on Tuesday said it is recalling about 200 000 vehicles of its former brands Saab and Saturn as part of a wider recall of more than 5 million autos with potentially defective air bag inflators made by Takata Corp .,topStory
GM,General Motors Company,20160216,GM says recalling Saab  Saturn brand vehicles with Takata parts ,DETROIT  Feb 16 General Motors Co on Tuesday said it is recalling about 200 000 vehicles of its former brands Saab and Saturn as part of a wider recall of more than 5 million autos with potentially defective air bag inflators made by Takata Corp.,normal
GM,General Motors Company,20160216,UPDATE 1-European car sales up 6.3 pct in January - ACEA ,* VW brand sales down  Ford  Opel post gains   (Adds analyst comment),normal
