AEGN,Aegion Corp,20131105,CORRECTED-BRIEF-Franchise Services of North America subsidiary Simply Wheelz to file for bankruptcy ,(Corrects headline to say Simply Wheelz to file for bankruptcy  not files),topStory
NTRS,Northern Trust Corporation,20131105,MOVES- MarketAxess Holdings  BNY Mellon  Northern Trust ,Nov 5 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
NTRSP,Northern Trust Corporation,20131105,MOVES- MarketAxess Holdings  BNY Mellon  Northern Trust ,Nov 5 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
REGN,Regeneron Pharmaceuticals Inc,20131105,Regeneron earnings beat forecasts  Eylea outlook higher ,Nov 5 Regeneron Pharmaceuticals Inc on Tuesday reported quarterly earnings that beat analyst expectations and also raised its forecast for its Eylea eye drug again  although it said growth of that key treatment slowed again during the past three months.,topStory
RYAAY,Ryanair Holdings plc,20131105,Ryanair investors berate O'Leary but fear his leaving ,DUBLIN/LONDON When one Ryanair  shareholder made a stinging attack on Chief Executive Michael O'Leary at the airline's annual meeting for scaring off customers with his "bullying" and "macho" style  there was one thing he didn't mention.,topStory
RYAAY,Ryanair Holdings plc,20131105,Ryanair investors berate O'Leary but fear his leaving ,* Profit warnings  policy u-turn spark questions about management,normal
SHPG,Shire plc,20131105,Shire's ADHD drug succeeds in trial to treat binge eating ,LONDON Pharmaceutical group Shire PLC said Vyvanse  its amphetamine-based drug prescribed to U.S. students to control ADHD  had also been successful in treating the newly-recognized binge eating disorder (BED) in a trial.,topStory
SHPG,Shire plc,20131105,Shire's ADHD drug Vyvanse succeeds in binge eating trial ,LONDON  Nov 5 Pharmaceutical group Shire PLC  said Vyvanse  its amphetamine-based drug prescribed to U.S. students to control ADHD  had also been successful in treating binge eating disorder (BED) in a trial.,normal
TSLA,Tesla Inc ,20131105,Tesla sales and profit forecasts disappoint ,DETROIT Electric car maker Tesla Motors Inc  forecast profit and sales below Wall Street estimates  and reported third-quarter deliveries of its Model S that disappointed some analysts.,topStory
TSLA,Tesla Inc ,20131105,UPDATE 2-Tesla sales and profit forecasts disappoint ,* Shares drop 7.3 percent in after-hours trade   (Adds background  analyst comment),normal
TSLA,Tesla Inc ,20131105,US STOCKS-Dow  S&P 500 down after 2-day winning streak; Tesla plunges on outlook ,* Indexes: Dow off 0.1 pct; S&P down 0.3 pct; Nasdaq up 0.1 pct,normal
TSLA,Tesla Inc ,20131105,Tesla posts strong Q3  but outlook falls short ,DETROIT  Nov 5 Tesla Motors Inc  reported on Tuesday a stronger-than-expected  third-quarter profit  but offered a fourth-quarter outlook that fell short of Wall Street estimates and the company's shares fell in after-market trading.,normal
TSLA,Tesla Inc ,20131105,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  Nov 05 2013 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese,normal
TIG,TiGenix,20131105,TiGenix in advanced talks over Dutch facility  drug partnering ,BRUSSELS Belgian biotech company TiGenix said on Tuesday it was in advanced discussions to sell its Dutch manufacturing facility and separately to find a partner for its candidate treatment for a disorder linked to Crohn's disease.,topStory
TIG,TiGenix,20131105,TiGenix in advanced talks over Dutch facility  drug partnering ,BRUSSELS  Nov 5 Belgian biotech company TiGenix  said on Tuesday it was in advanced discussions to sell its Dutch manufacturing facility and separately to find a partner for its candidate treatment for a disorder linked to Crohn's disease.,normal
FOX,Twenty-First Century Fox Inc,20131105,Fox earnings miss forecasts after cable investments ,LOS ANGELES Rupert Murdoch's 21st Century Fox Inc  TV and film company reported quarterly earnings on Tuesday that missed Wall Street expectations  hurt by investments in new cable channels and a weaker performance from its movie releases.,topStory
FOXA,Twenty-First Century Fox Inc,20131105,Fox earnings miss forecasts after cable investments ,LOS ANGELES Rupert Murdoch's 21st Century Fox Inc  TV and film company reported quarterly earnings on Tuesday that missed Wall Street expectations  hurt by investments in new cable channels and a weaker performance from its movie releases.,topStory
ANF,Abercrombie & Fitch Company,20131105,Abercrombie & Fitch same-store sales plunge again ,Abercrombie & Fitch Co  reported another double-digit drop in quarterly comparable sales as young shoppers stayed away  and the teen retailer more than halved its full-year adjusted profit forecast.,topStory
ANF,Abercrombie & Fitch Company,20131105,Abercrombie & Fitch same-store sales plunge again ,* Third-quarter revenue falls 12 pct to $1.03 bln vs est $1.07 bln,normal
AAV,Advantage Oil & Gas Ltd,20131105,Advantage to file for bankruptcy as Hertz cuts car supply ,Advantage Rent A Car  which Hertz Global Holdings Inc  hived off as part of a deal to buy Dollar Thrifty  will file for bankruptcy after Hertz terminated lease agreements that provided Advantage with its cars.,topStory
AA,Alcoa Corporation,20131105,UK businessman accused of corrupt Bahrain payments ,LONDON  Nov 5 A British prosecutor alleged on Tuesday that London-based businessman Victor Dahdaleh made "corrupt payments" of over 40 million pounds ($63 million) to the former chairman and chief executive of a Bahraini aluminium smelter to secure contracts worth over $3 billion for companies including U.S. group Alcoa.,topStory
AEUA,Anadarko Petroleum Corporation,20131105,UPDATE 1-September floods keep some Anadarko wells offline ,HOUSTON  Nov 5 Anadarko Petroleum Corp  said on Tuesday that 250 of its wells in the Wattenberg area in northeastern Colorado are still shut in following heavy flooding in September.,topStory
AEUA,Anadarko Petroleum Corporation,20131105,September floods keep some Anadarko wells offline ,HOUSTON  Nov 5 Anadarko Petroleum Corp  said on Tuesday that 250 of its wells in the Wattenberg area in northeastern Colorado are still shut in following heavy flooding in September.,normal
APC,Anadarko Petroleum Corporation,20131105,UPDATE 1-September floods keep some Anadarko wells offline ,HOUSTON  Nov 5 Anadarko Petroleum Corp  said on Tuesday that 250 of its wells in the Wattenberg area in northeastern Colorado are still shut in following heavy flooding in September.,topStory
APC,Anadarko Petroleum Corporation,20131105,September floods keep some Anadarko wells offline ,HOUSTON  Nov 5 Anadarko Petroleum Corp  said on Tuesday that 250 of its wells in the Wattenberg area in northeastern Colorado are still shut in following heavy flooding in September.,normal
T,AT&T Inc,20131105,T-Mobile US third quarter subscriber growth tops Street estimate ,T-Mobile US Inc  the No. 4 U.S. mobile provider  reported much better-than-expected subscriber growth  outpacing bigger rival AT&T and also putting pressure on other competitors  including market leader Verizon Wireless.,topStory
T,AT&T Inc,20131105,UPDATE 3-T-Mobile US Q3 subscriber growth tops Street estimate ,Nov 5 T-Mobile US Inc  the No. 4 U.S. mobile provider  reported much better-than-expected subscriber growth  outpacing bigger rival AT&T and also putting pressure on other competitors  including market leader Verizon Wireless.,normal
T,AT&T Inc,20131105,CORRECTED-UPDATE 2-T-Mobile US Q3 subscriber growth tops Street; shares rise ,(Corrects year-ago GAAP revenue to $4.89 billion  not $4.26 bln; error also occurred in update 1),normal
BK,Bank Of New York Mellon Corporation (The),20131105,MOVES- MarketAxess Holdings  BNY Mellon  Northern Trust ,Nov 5 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
BDX,Becton Dickinson and Company,20131105,Becton Dickinson quarterly profit beats expectations ,Medical technology company Becton Dickinson & Co  said on Tuesday that quarterly net income fell as costs rose sharply  but after excluding litigation charges and pension settlements  the results were higher than analysts had expected.,topStory
BDX,Becton Dickinson and Company,20131105,Becton Dickinson quarterly profit beats expectations ,Nov 5 Medical technology company Becton Dickinson & Co said on Tuesday that quarterly net income fell as costs rose sharply  but after excluding litigation charges and pension settlements  the results were higher than analysts had expected.,normal
BDXA,Becton Dickinson and Company,20131105,Becton Dickinson quarterly profit beats expectations ,Medical technology company Becton Dickinson & Co  said on Tuesday that quarterly net income fell as costs rose sharply  but after excluding litigation charges and pension settlements  the results were higher than analysts had expected.,topStory
BDXA,Becton Dickinson and Company,20131105,Becton Dickinson quarterly profit beats expectations ,Nov 5 Medical technology company Becton Dickinson & Co said on Tuesday that quarterly net income fell as costs rose sharply  but after excluding litigation charges and pension settlements  the results were higher than analysts had expected.,normal
BA,Boeing Company (The),20131105,Washington governor to announce tentative deal on Boeing 777X ,SEATTLE Washington State Governor Jay Inslee is set to announce a major agreement on Tuesday that would bring key parts of Boeing Co's newest jet program  the 777X  to the Seattle area.,topStory
BA,Boeing Company (The),20131105,UPDATE 2-Washington governor to announce tentative deal on Boeing 777X ,SEATTLE  Nov 5 Washington State Governor Jay Inslee is set to announce a major agreement on Tuesday that would bring key parts of Boeing Co's newest jet program  the 777X  to the Seattle area.,normal
BA,Boeing Company (The),20131105,Machinists union says members to vote on Boeing 777X proposal ,NEW YORK Machinists will vote on a proposal guaranteeing that fuselage and wings for Boeing Co's new 777X jet will be built by union members in the Puget Sound region  the union said on Tuesday.,normal
BA,Boeing Company (The),20131105,Machinists union says members to vote on Boeing 777X proposal ,NEW YORK  Nov 5 Machinists will vote on a proposal guaranteeing that fuselage and wings for Boeing Co's  new 777X jet will be built by union members in the Puget Sound region  the union said on Tuesday.,normal
BA,Boeing Company (The),20131105,UPDATE 1-Boeing working with Air India over 787 windshield crack ,* Air India says still finding out the cause of the crack,normal
BA,Boeing Company (The),20131105,Boeing seen in advanced talks to make 777X near Seattle ,Boeing is in advanced talks with its machinists' union to assemble the company's new 777X jet and build its wings in the Seattle area  several people familiar with the negotiations told Reuters.,normal
BA,Boeing Company (The),20131105,Boeing working with Air India over 787 windshield crack ,SYDNEY  Nov 5 Boeing Co is working with Air India Ltd after the windshield of a 787 Dreamliner cracked while landing in Australia  the Seattle-based plane maker said on Tuesday.,normal
BWA,BorgWarner Inc,20131105,BorgWarner sees $2.9 billion net new powertrain sales for next three yrs ,Automotive engine and drivetrain components maker BorgWarner Inc  expects net new powertrain business of $2.9 billion for the next three years  as automakers increasingly rely on fuel-saving technologies such as turbochargers.,topStory
BWA,BorgWarner Inc,20131105,BorgWarner sees $2.9 bln net new powertrain sales for next 3 yrs ,Nov 5 Automotive engine and drivetrain components maker BorgWarner Inc expects net new powertrain business of $2.9 billion for the next three years  as automakers increasingly rely on fuel-saving technologies such as turbochargers.,normal
BTI,British American Tobacco plc,20131105,UPDATE 2-Imperial Tobacco to launch e-cigarettes to counter falling sales ,LONDON  Nov 5 Imperial Tobacco Group  said cost cuts and the launch of electronic cigarettes would help deliver "modest" growth for the new year as it posted slightly better than expected earnings.,normal
CBS,CBS Corporation,20131105,UPDATE 2-DirecTV posts strong U.S. subscriber growth versus cable rivals ,Nov 5 Satellite TV provider DirecTV  added more customers in the United States than expected in the third quarter  showing strong subscriber growth in contrast to its cable rivals  which lost video subscribers in the same period.,normal
CVX,Chevron Corporation,20131105,REFILE-Former Ecuadorean judge denies fraud  defends Chevron ruling ,NEW YORK  Nov 5 The former Ecuadorean judge who issued a $19 billion pollution judgment against Chevron Corp  testified on Tuesday that he wrote the ruling alone  two weeks after another judge testified that he had been paid to ghostwrite much of the decision.,topStory
CVX,Chevron Corporation,20131105,Former Ecuadorian judge denies fraud  defends Chevron ruling ,NEW YORK The former Ecuadorean judge who issued a $19 billion pollution judgment against Chevron Corp  testified on Tuesday that he wrote the ruling alone  two weeks after another judge testified that he had been paid to ghostwrite much of the decision.,normal
CVX,Chevron Corporation,20131105,UPDATE 2-Ukraine signs $10 bln shale gas deal with Chevron ,KIEV  Nov 5 Ukraine signed a $10 billion shale gas production-sharing agreement with U.S. Chevron on Tuesday  another step in a drive for more energy independence from Russia.,normal
CVX,Chevron Corporation,20131105,Ukraine signs $10 billion shale deal with Chevron ,KIEV Ukraine signed a $10 billion shale gas production-sharing agreement with U.S. energy major Chevron  on Tuesday in the country's second such deal this year.,normal
CVX,Chevron Corporation,20131105,Ukraine signs $10 bln shale deal with Chevron -minister ,KIEV  Nov 5 Ukraine signed a $10 billion shale gas production-sharing agreement with U.S. energy major Chevron  on Tuesday  energy minister Eduard Stavytsky said  marking the second such deal this year.,normal
CTB,Cooper Tire & Rubber Company,20131105,Cooper Tire tells court its China partner was eyeing bid ,WILMINGTON  Delaware Cooper Tire & Rubber Co's  partner in a Chinese joint venture was exploring a bid for the fourth-largest U.S. tire maker when Cooper struck a deal with an Indian suitor  Cooper's chief executive told a court on Tuesday.,topStory
CTB,Cooper Tire & Rubber Company,20131105,Cooper Tire tells court its China partner was eyeing bid ,WILMINGTON  Del.  Nov 5 Cooper Tire & Rubber Co's partner in a Chinese joint venture was exploring a bid for the fourth-largest U.S. tire maker when Cooper struck a deal with an Indian suitor  Cooper's chief executive told a court on Tuesday.,normal
CRH,CRH PLC,20131105,After bailout  Ireland goes back to building houses ,SWORDS  Ireland  Nov 5 When 20 newly built family homes went up for sale in this Dublin commuter belt town in September  queues started three hours before the viewing opened on Saturday morning.,normal
CVS,CVS Health Corporation,20131105,CVS Caremark raises outlook  sees exchanges helping in 2014 ,CVS Caremark Corp raised its profit forecast for the year on Tuesday  as sales grew at its drugstore chain and it processed more prescriptions from new clients.,topStory
CVS,CVS Health Corporation,20131105,UPDATE 2-CVS Caremark raises outlook  sees exchanges helping in 2014 ,Nov 5 CVS Caremark Corp raised its profit forecast for the year on Tuesday  as sales grew at its drugstore chain and it processed more prescriptions from new clients.,normal
CVS,CVS Health Corporation,20131105,CVS Caremark raises outlook after higher Q3 profit ,Nov 5 CVS Caremark Corp posted higher quarterly profit and raised its forecast for the year on Tuesday  as sales grew at its drugstore chain and it processed more prescriptions.,normal
DLPH,Delphi Automotive plc,20131105,Delphi sees Europe stabilizing  but outlook disappoints ,DETROIT Delphi Automotive Plc  posted a stronger-than-expected quarterly profit on Tuesday on strong demand in North America and Asia  and said the European auto market was stabilizing  but its new full-year forecast disappointed  sending its shares down 4.8 percent.,topStory
DLPH,Delphi Automotive plc,20131105,UPDATE 3-Delphi sees Europe stabilizing  but outlook disappoints ,DETROIT  Nov 5 Delphi Automotive Plc  posted a stronger-than-expected quarterly profit on Tuesday on strong demand in North America and Asia  and said the European auto market was stabilizing  but its new full-year forecast disappointed  sending its shares down 4.8 percent.,normal
DLPH,Delphi Automotive plc,20131105,Delphi posts strong third-quarter profit  sees Europe stabilizing ,DETROIT Delphi Automotive Plc  posted a stronger-than-expected quarterly profit on Tuesday on strong demand in North America and Asia  and said the European auto market was stabilizing.,normal
DLPH,Delphi Automotive plc,20131105,Delphi posts strong Q3 profit  sees Europe stabilizing ,DETROIT  Nov 5 Delphi Automotive Plc  posted a stronger-than-expected quarterly profit on Tuesday on strong demand in North America and Asia  and said the European auto market was stabilizing.,normal
DB,Deutsche Bank AG,20131105,New Deutsche ETF taps into China's onshore market ,NEW YORK Foreign investors looking to access China's onshore market will have a new avenue starting on Wednesday when Deutsche Asset & Wealth Management launches the first ETF targeting direct exposure to shares of companies incorporated in mainland China.,topStory
DB,Deutsche Bank AG,20131105,New Deutsche ETF taps into China's onshore market ,NEW YORK  Nov 5 Foreign investors looking to access China's onshore market will have a new avenue starting on Wednesday when Deutsche Asset & Wealth Management launches the first ETF targeting direct exposure to shares of companies incorporated in mainland China.,normal
DB,Deutsche Bank AG,20131105,Exclusive: EU to fine Deutsche  JPMorgan and others in rate probe - source ,BRUSSELS EU antitrust regulators are set to fine six global banks including Deutsche Bank  JPMorgan and HSBC after an investigation into the rigging of benchmark euro zone interest rates  a person familiar with the matter said on Tuesday.,normal
DB,Deutsche Bank AG,20131105,New probe casts shadow over Deutsche Bank revamp ,FRANKFURT Deutsche Bank's struggle to break with the past and achieve a "cultural transformation" has suffered another setback after co-CEO Juergen Fitschen was implicated in a criminal investigation.,normal
DB,Deutsche Bank AG,20131105,New probe casts shadow over Deutsche Bank revamp ,* Deutsche Bank's co-CEO and reform leader named a suspect,normal
ECA,Encana Corporation,20131105,UPDATE 3-Canada's Encana to cut workforce  payout as gas prices stay low ,CALGARY  Alberta  Nov 5 Encana Corp  Canada's largest natural gas producer  said on Tuesday it will cut about 20 percent of its workforce  slash its dividend  and focus future spending on just five regions rich in oil and gas liquids as it looks to move away from low-value natural gas production.,topStory
ECA,Encana Corporation,20131105,CANADA STOCKS-TSX flat as mining drop offset by Open Text  Encana ,* TSX falls 0.07 of a point to 13 361.71     * Six of 10 main index sectors decline     * Open Text jumps 10 percent on company's acquisition move     * Encana climbs 3.3 percent on restructuring plans      By John Tilak     TORONTO  Nov 5 Canada's main stock index was virtually unchanged on Tuesday as strong gains in information technology company Open Text Corp and natural gas producer Encana Corp offset weakness in gold-mining shares.     Open Text's shares soared 10 percent to C$,normal
ECA,Encana Corporation,20131105,CANADA STOCKS-TSX retreats with bank  mine shares; Encana jumps ,* TSX falls 52.74 points  or 0.39 percent  to 13 309.04     * Eight of the 10 main index sectors decline     * RBC has biggest negative influence on the market     * Encana climbs 4.3 percent      By John Tilak     TORONTO  Nov 5 Canada's main stock index fell on Tuesday as general weakness in financial and resource shares offset gains in Encana Corp after the natural gas producer said it will cut about 20 percent of its workforce and spin off assets.      Weighing on the market was ,normal
ECA,Encana Corporation,20131105,CANADA STOCKS-TSX opens lower as banks  miners weigh; Encana up ,TORONTO  Nov 5 Canada's main stock index opened lower on Tuesday as weakness in the financial and material sectors offset gains in Encana Corp after the natural gas producer said it will cut about 20 percent of its workforce and slash its dividend.     The Toronto Stock Exchange's S&P/TSX composite index  was down 11.86 points  or 0.09 percent  at 13 349.92 shortly after the open.,normal
ECA,Encana Corporation,20131105,REFILE-Canada's Encana to cut 20 pct of workforce  slash dividend ,Nov 5 Encana Corp  Canada's largest natural gas producer   will cut about 20 percent of its workforce  slash its dividend and invest nearly three-quarters of its 2014 capital spending budget in more lucrative oil and liquid gas assets.,normal
E,ENI SpA,20131105,UPDATE 1-Eni signs deal with Quicksilver to boost shale footprint ,MILAN  Nov 5 Eni has signed a deal with Quicksilver Resources to explore and develop onshore shale oil reservoirs in the United States as the Italian oil and gas group looks to expand its non-conventional energy footprint.,topStory
ESV,ENSCO plc,20131105,After bondholders  OSX  Schlumberger  Ensco top OGX creditor list ,RIO DE JANEIRO Bondholders  followed by oilfield-service companies  are the biggest creditors of Brazilian tycoon Eike Batista's oil company OGX  which made Latin America's biggest-ever bankruptcy filing last week  according to a list obtained by Reuters.,topStory
ESV,ENSCO plc,20131105,After bondholders  OSX  Schlumberger  Ensco top OGX creditor list ,By Sabrina Lorenzi and Jeb Blount     RIO DE JANEIRO  Nov 4 Bondholders  followed by oilfield-service companies  are the biggest creditors of Brazilian tycoon Eike Batista's oil company OGX  which made Latin America's biggest-ever bankruptcy filing last week  according to a list obtained by Reuters.     The No. 2 creditor after bondholders is OSX Brasil SA   the Batista-controlled shipyard and ship-leasing company that built three offshore oil production platforms for OGX. OSX is owe,normal
F,Ford Motor Company,20131105,Ford shuffles executive team to prepare for post-Mulally era ,DETROIT Ford Motor Co  promoted several younger executives to key roles on Tuesday  marking yet another step by the U.S. automaker to prepare for the eventual exit of Chief Executive Alan Mulally.,topStory
F,Ford Motor Company,20131105,UPDATE 1-Ford shuffles exec team to prepare for post-Mulally era ,* Reshuffling latest in series of exec changes since early 2012,normal
F,Ford Motor Company,20131105,Ford shuffles executive team  names new design chief ,DETROIT Ford Motor Co  on Wednesday shuffled some of its management team  including naming a new design chief.,normal
F,Ford Motor Company,20131105,CORRECTED-Ford shuffles exec team  names new design chief ,(Corrects spelling of Tetreault's name in next to last paragraph),normal
FMS,Fresenius Medical Care Corporation,20131105,UPDATE 1-Dialysis group FMC says needs strong Q4 to meet goal ,FRANKFURT  Nov 5 Fresenius Medical Care   the world's largest dialysis provider  said it needed a "very strong" fourth quarter to meet its full-year profit forecast  hurt by cuts to healthcare budgets in the United States  its most important market.,topStory
FMS,Fresenius Medical Care Corporation,20131105,Fresenius Medical Care Q3 net income up 1.2 pct ,FRANKFURT  Nov 5 Third-quarter net income at Fresenius Medical Care  the world's largest dialysis provider  rose 1.2 percent to $273 million on higher revenues per treatment in the United States.,normal
GM,General Motors Company,20131105,GM names ex-BMW  luxury goods executive to head Cadillac marketing ,DETROIT General Motors Co  on Tuesday named a former BMW AG  and German luxury goods company executive to spearhead Cadillac's marketing efforts to strengthen its brand outside the United States.,topStory
GM,General Motors Company,20131105,CORRECTED-GM names ex-BMW  luxury goods executive to head Cadillac marketing ,(Corrects day to Tuesday from Wednesday in first paragraph),normal
GM,General Motors Company,20131105,Russia's Lada maker appoints former GM exec as chief ,MOSCOW  Nov 5 Russia's largest carmaker Avtovaz  has appointed former General Motors Co.  executive Bo Andersson as its first foreign boss.,normal
GLP,Global Partners LP,20131105,CFTC anti-speculation plan may not be so tough  data shows ,CHICAGO/WASHINGTON A new plan to curb commodity speculation could prove to be far less rigorous than feared by markets  data provided by the world's largest futures exchange the CME Group Inc showed.,topStory
