ALGT,Allegiant Travel Company,20130729,False alarm caused Allegiant plane to make emergency landing ,ATLANTA  July 29 The emergency landing in Georgia of an Allegiant Air flight late Sunday was caused by a false alarm when a warning light indicated a possible fire in the cargo hold  an airline spokesman said Monday.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
FLAT,iPath US Treasury Flattener ETN,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
FLAT,iPath US Treasury Flattener ETN,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
FLAT,iPath US Treasury Flattener ETN,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
FLAT,iPath US Treasury Flattener ETN,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
FLAT,iPath US Treasury Flattener ETN,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
FLAT,iPath US Treasury Flattener ETN,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
STPP,iPath US Treasury Steepener ETN,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
STPP,iPath US Treasury Steepener ETN,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
STPP,iPath US Treasury Steepener ETN,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
STPP,iPath US Treasury Steepener ETN,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
STPP,iPath US Treasury Steepener ETN,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
STPP,iPath US Treasury Steepener ETN,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
LBTYA,Liberty Global plc,20130729,BRIEF-Ziggo shares rise after Liberty Global increases stake ,AMSTERDAM  July 29 Ziggo NV :  * Shares open up 5.6 percent after liberty increases stake,topStory
LBTYB,Liberty Global plc,20130729,BRIEF-Ziggo shares rise after Liberty Global increases stake ,AMSTERDAM  July 29 Ziggo NV :  * Shares open up 5.6 percent after liberty increases stake,topStory
LBTYK,Liberty Global plc,20130729,BRIEF-Ziggo shares rise after Liberty Global increases stake ,AMSTERDAM  July 29 Ziggo NV :  * Shares open up 5.6 percent after liberty increases stake,topStory
PZZA,Papa John&#39;s International Inc,20130729,Pizza chain Papa Murphy's prepares for IPO: sources ,Pizza chain Papa Murphy's is close to selecting banks for an initial public offering that could come later this year  according to three sources familiar with the matter.,topStory
RYAAY,Ryanair Holdings plc,20130729,UPDATE 1-Seat charges help Ryanair profit meet forecast ,DUBLIN  July 29 Cutbacks by rivals and extra charges for choosing seats helped low-cost airline Ryanair meet forecasts with profit of 78 million euros ($103 million) in the three months to June  the Irish airline said on Monday.,topStory
RYAAY,Ryanair Holdings plc,20130729,Seat charges help Ryanair profit meet forecast ,DUBLIN  July 29 Retrenching rivals and extra charges for choosing seats helped low-cost airline Ryanair meet forecasts with profit of 78 million euros ($103 million) in the three months to June  the Irish airline said on Monday.,normal
SBGI,Sinclair Broadcast Group Inc,20130729,Sinclair to buy Allbritton TV stations for almost $1 billion ,Sinclair Broadcast Group Inc said it will acquire eight television stations from the Allbritton family for $985 million  the latest deal in a flurry of activity to buy local broadcasters.,topStory
SBGI,Sinclair Broadcast Group Inc,20130729,Sinclair to buy Allbritton TV stations for almost $1 billion ,Sinclair Broadcast Group Inc  said it will acquire eight television stations from the Allbritton family for $985 million  the latest deal in a flurry of activity to buy local broadcasters.,normal
SBGI,Sinclair Broadcast Group Inc,20130729,UPDATE 2-Sinclair to buy Allbritton TV stations for almost $1 bln ,July 29 Sinclair Broadcast Group Inc  said it will acquire eight television stations from the Allbritton family for $985 million  the latest deal in a flurry of activity to buy local broadcasters.,normal
SBGI,Sinclair Broadcast Group Inc,20130729,Sinclair Broadcast to buy 8 TV stations for $985 mln ,July 29 Sinclair Broadcast Group Inc  said it will buy eight television stations from companies owned by the Allbritton family for about $985 million.,normal
SLM,SLM Corporation,20130729,Frugal U.S. families focus on cheaper colleges: Sallie Mae ,BOSTON While higher education remains a priority  many Americans are balking at high-priced institutions  and two-thirds of families eliminated colleges or universities during the 2012-2013 application process based on affordability  according to student lender Sallie Mae.,topStory
SLMBP,SLM Corporation,20130729,Frugal U.S. families focus on cheaper colleges: Sallie Mae ,BOSTON While higher education remains a priority  many Americans are balking at high-priced institutions  and two-thirds of families eliminated colleges or universities during the 2012-2013 application process based on affordability  according to student lender Sallie Mae.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20130729,Vertex loss narrows as cystic fibrosis drug sales grow ,Vertex Pharmaceuticals Inc  on Monday posted a narrower quarterly loss on stronger-than-expected demand for its cystic fibrosis treatment  and it raised its full-year forecast for sales of the medicine.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20130729,UPDATE 3-Vertex loss narrows as cystic fibrosis drug sales grow ,July 29 Vertex Pharmaceuticals Inc on Monday posted a narrower quarterly loss on stronger-than-expected demand for its cystic fibrosis treatment  and it raised its full-year forecast for sales of the medicine.,normal
VRTX,Vertex Pharmaceuticals Incorporated,20130729,Vertex loss narrows as demand for cystic fibrosis drug strong ,July 29 Vertex Pharmaceuticals Inc  which last week had an experimental oral hepatitis drug placed on partial clinical hold by U.S. health regulators  posted a narrower quarterly loss on stronger-than-expected demand for its cystic fibrosis treatment.,normal
AMOV,America Movil SAB de CV,20130729,UPDATE 4-America Movil ends KPN pact  may eye buy-out ,AMSTERDAM/MEXICO CITY  July 29 Dutch telecom group KPN's biggest shareholder  billionaire Carlos Slim's America Movil  has ended an agreement to keep its holding below 30 percent  a sign that it may bid for the whole company.,topStory
AMOV,America Movil SAB de CV,20130729,Mexican stocks fall 1 pct as America Movil weighs ,MEXICO CITY  July 29 Mexico's IPC stock index dropped 1 percent on Monday  dragged down by mogul Carlos Slim's telecoms giant America Movil and cautious trading ahead of key U.S. economic data due this week.,normal
AMOV,America Movil SAB de CV,20130729,America Movil may buy KPN after shareholding cap ends ,AMSTERDAM/BRUSSELS Dutch telecom group KPN's  biggest shareholder  America Movil   has ended an agreement to keep its holding below 30 percent  a sign it may bid for the whole company.,normal
AMOV,America Movil SAB de CV,20130729,Shares in Slim's America Movil fall 1.45 pct after KPN deal ends ,MEXICO CITY  July 29 Shares in Mexican billionaire Carlos Slim's America Movil fell as much as 1.45 percent at the open on Monday after the telecoms company ended an agreement to keep its holding in Dutch telco KPN below 30 percent.,normal
AMOV,America Movil SAB de CV,20130729,KPN says America Movil cancels agreements  can up stake in KPN ,AMSTERDAM  July 29 Dutch telecoms group KPN's  main shareholder America Movil has ended a cooperation deal between the two firms as well as a second "standstill" agreement whose cancellation would allow the Mexican company to increase its KPN stake to more than 30 percent  KPN said on Monday.,normal
AMX,America Movil SAB de CV,20130729,UPDATE 4-America Movil ends KPN pact  may eye buy-out ,AMSTERDAM/MEXICO CITY  July 29 Dutch telecom group KPN's biggest shareholder  billionaire Carlos Slim's America Movil  has ended an agreement to keep its holding below 30 percent  a sign that it may bid for the whole company.,topStory
AMX,America Movil SAB de CV,20130729,Mexican stocks fall 1 pct as America Movil weighs ,MEXICO CITY  July 29 Mexico's IPC stock index dropped 1 percent on Monday  dragged down by mogul Carlos Slim's telecoms giant America Movil and cautious trading ahead of key U.S. economic data due this week.,normal
AMX,America Movil SAB de CV,20130729,America Movil may buy KPN after shareholding cap ends ,AMSTERDAM/BRUSSELS Dutch telecom group KPN's  biggest shareholder  America Movil   has ended an agreement to keep its holding below 30 percent  a sign it may bid for the whole company.,normal
AMX,America Movil SAB de CV,20130729,Shares in Slim's America Movil fall 1.45 pct after KPN deal ends ,MEXICO CITY  July 29 Shares in Mexican billionaire Carlos Slim's America Movil fell as much as 1.45 percent at the open on Monday after the telecoms company ended an agreement to keep its holding in Dutch telco KPN below 30 percent.,normal
AMX,America Movil SAB de CV,20130729,KPN says America Movil cancels agreements  can up stake in KPN ,AMSTERDAM  July 29 Dutch telecoms group KPN's  main shareholder America Movil has ended a cooperation deal between the two firms as well as a second "standstill" agreement whose cancellation would allow the Mexican company to increase its KPN stake to more than 30 percent  KPN said on Monday.,normal
AIG,American International Group Inc,20130729,Judge says Bernanke should testify in AIG bailout lawsuit ,A U.S. judge ruled on Monday that Federal Reserve Chairman Ben Bernanke should testify in the multibillion-dollar lawsuit by the former chief of American International Group Inc   Maurice "Hank" Greenberg  against the United States over the insurer's 2008 bailout.,topStory
AIG,American International Group Inc,20130729,UPDATE 2-Judge says Bernanke should testify in AIG bailout lawsuit ,* AIG suit filed by Maurice Greenberg's Starr International,normal
AEUA,Anadarko Petroleum Corporation,20130729,Anadarko has quarterly profit versus year-ago loss ,Anadarko Petroleum Corp  on Monday reported a quarterly profit compared with a year-earlier loss  as the U.S. oil and gas company's results were helped by higher natural gas prices.,topStory
AEUA,Anadarko Petroleum Corporation,20130729,Anadarko Petroleum has quarterly profit versus year-ago loss ,July 29 Anadarko Petroleum Corp on Monday reported a quarterly profit compared with a year-earlier loss when the U.S. oil and gas company wrote down the value of some of its natural gas properties.,normal
APC,Anadarko Petroleum Corporation,20130729,Anadarko has quarterly profit versus year-ago loss ,Anadarko Petroleum Corp  on Monday reported a quarterly profit compared with a year-earlier loss  as the U.S. oil and gas company's results were helped by higher natural gas prices.,topStory
APC,Anadarko Petroleum Corporation,20130729,Anadarko Petroleum has quarterly profit versus year-ago loss ,July 29 Anadarko Petroleum Corp on Monday reported a quarterly profit compared with a year-earlier loss when the U.S. oil and gas company wrote down the value of some of its natural gas properties.,normal
BCS,Barclays PLC,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
BCS,Barclays PLC,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
BCS,Barclays PLC,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
BCS,Barclays PLC,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
BCS,Barclays PLC,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
BCS,Barclays PLC,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
BA,Boeing Company (The),20130729,American Airlines airplane blows tires after landing ,An American Airlines Boeing 737 carrying 137 passengers and a crew of five blew two tires upon landing at O'Hare International Airport on Monday  and no one was injured  the carrier said.,topStory
BA,Boeing Company (The),20130729,Boeing asks for beacon checks on up to 1 200 jets ,PARIS/SINGAPORE Boeing  has asked airlines to inspect up to 1 200 aircraft across their fleets to gather data on Honeywell  emergency beacons that have come under scrutiny following a fire on a parked 787 Dreamliner two weeks ago.,normal
