AMGN,Amgen Inc,20131115,U.S. FDA says new cholesterol drugs may not need outcome studies ,Nov 14 Members of an experimental class of cholesterol-lowering drugs could get U.S. regulatory approval based on their ability to  lower "bad" cholesterol  and may not need to show that they reduce the risk of heart attack and stroke  the Food and Drug Administration said on Thursday.,normal
MSFT,Microsoft Corporation,20131115,UPDATE 1-Bill Gates wants Norway's $800 bln fund to spend more in Africa  Asia ,OSLO  Nov 15 Philanthropist and Microsoft  co-founder Bill Gates called on Norway's $800 billion oil fund  one of the biggest investors in the world  to spend more in the poorest countries  gaining the prime minister's support with his proposal.,normal
MSFT,Microsoft Corporation,20131115,Bill Gates wants Norway's $800 bln fund to spend more in Africa  Asia ,OSLO  Nov 15 Philanthropist and Microsoft  co-founder Bill Gates called on Norway's $800 billion oil fund  one of the biggest investors in the world  to spend more in the poorest countries where little private money reaches.,normal
MSFT,Microsoft Corporation,20131115,UPDATE 3-Sotheby's  BofA  J.C. Penney attract hedge fund buyers ,NEW YORK/BOSTON  Nov 14 Top U.S. hedge fund managers in the third quarter zoned in on the consumer sector  with investment plays ranging from Sotheby's  a high-end auction house that caters to millionaires  to J.C. Penney Co   the struggling department store chain.,normal
MSFT,Microsoft Corporation,20131115,Spy scandal weighs on U.S. tech firms in China  Cisco takes hit ,SINGAPORE U.S. technology companies including Cisco Systems Inc  International Business Machines Corp and Microsoft Corp may face new challenges selling their goods and services in China as fallout from the U.S. spying scandal starts to take a toll.,normal
MSFT,Microsoft Corporation,20131115,Microsoft finds favor with Highfields during third quarter ,BOSTON Jonathon Jacobson's Highfields Capital raised its stake in Microsoft sixfold during the third quarter to 31 million shares  a regulatory filing shows.,normal
MSFT,Microsoft Corporation,20131115,Microsoft finds favor with Highfields during third quarter ,BOSTON  Nov 14 Jonathon Jacobson's Highfields Capital raised its stake in Microsoft sixfold during the third quarter to 31 million shares  a regulatory filing shows.,normal
NFLX,Netflix Inc,20131115,CORRECTED-Icahn owned 3.9 million shares of Apple as of Sept. 30 -filing ,(Corrects seventh paragraph to say Icahn Enterprises L.P. shares up more than 158 percent),normal
REGI,Renewable Energy Group Inc,20131115,Biofuel stocks mixed on EPA mandate  biodiesel hit ,LOS ANGELES Shares of biofuels makers and oil refiners were mixed on Friday after the Obama administration proposed slashing federal requirements for U.S. biofuel use in 2014  with biodiesel maker Renewable Energy Group Inc's  stock falling 5 percent on the news.,topStory
SLGN,Silgan Holdings Inc,20131115,Rexam packaging unit eyed by three rivals  private equity firms: sources ,FRANKFURT/NEW YORK U.S. packaging companies Berry Plastics Group Inc  and Silgan Holding Inc  as well as German peer Gerresheimer  are competing to buy the healthcare packaging unit of Rexam  in a deal expected to fetch a little less than $1 billion  people familiar with the matter said.,topStory
SLGN,Silgan Holdings Inc,20131115,Rexam packaging unit eyed by 3 rivals  private equity firms -sources ,FRANKFURT/NEW YORK  Nov 15 U.S. packaging companies Berry Plastics Group Inc and Silgan Holding Inc as well as German peer Gerresheimer are competing to buy the healthcare packaging unit of Rexam  in a deal expected to fetch a little less than $1 billion  people familiar with the matter said.,normal
SBUX,Starbucks Corporation,20131115,Starbucks loses 'Charbucks' appeal ,NEW YORK Starbucks Corp has failed to persuade a federal appeals court to stop a small  family-owned New Hampshire roaster from selling coffee known as "Charbucks.",topStory
SBUX,Starbucks Corporation,20131115,UPDATE 1-Starbucks loses 'Charbucks' appeal ,NEW YORK  Nov 15 Starbucks Corp has failed to persuade a federal appeals court to stop a small  family-owned New Hampshire roaster from selling coffee known as "Charbucks.",normal
SBUX,Starbucks Corporation,20131115,Starbucks loses 'Charbucks' appeal ,NEW YORK  Nov 15 Starbucks Corp has failed to persuade a federal appeals court to stop a small  family-owned New Hampshire roaster from selling coffee known as "Charbucks.",normal
CG,The Carlyle Group LP,20131115,Carlyle to invest in Edgewood Partners Insurance Center ,Private equity firm Carlyle Group  has agreed to buy a controlling stake in Edgewood Partners Insurance Center to support the retail insurance broker's plans to acquire insurance distribution companies in the United States.,topStory
CG,The Carlyle Group LP,20131115,Carlyle to invest in Edgewood Partners Insurance Center ,Nov 14 Private equity firm Carlyle Group  has agreed to buy a controlling stake in Edgewood Partners Insurance Center to support the retail insurance broker's plans to acquire insurance distribution companies in the United States.,normal
TCGP,The Carlyle Group LP,20131115,Carlyle to invest in Edgewood Partners Insurance Center ,Private equity firm Carlyle Group  has agreed to buy a controlling stake in Edgewood Partners Insurance Center to support the retail insurance broker's plans to acquire insurance distribution companies in the United States.,topStory
TCGP,The Carlyle Group LP,20131115,Carlyle to invest in Edgewood Partners Insurance Center ,Nov 14 Private equity firm Carlyle Group  has agreed to buy a controlling stake in Edgewood Partners Insurance Center to support the retail insurance broker's plans to acquire insurance distribution companies in the United States.,normal
AEB,Aegon NV,20131115,RPT-Fitch affirms Aegon's Zest VIF notes at 'A' ,Nov 15 (The following statement was released by the rating agency),topStory
AED,Aegon NV,20131115,RPT-Fitch affirms Aegon's Zest VIF notes at 'A' ,Nov 15 (The following statement was released by the rating agency),topStory
AEG,Aegon NV,20131115,RPT-Fitch affirms Aegon's Zest VIF notes at 'A' ,Nov 15 (The following statement was released by the rating agency),topStory
AEH,Aegon NV,20131115,RPT-Fitch affirms Aegon's Zest VIF notes at 'A' ,Nov 15 (The following statement was released by the rating agency),topStory
AEK,Aegon NV,20131115,RPT-Fitch affirms Aegon's Zest VIF notes at 'A' ,Nov 15 (The following statement was released by the rating agency),topStory
ADM,Archer-Daniels-Midland Company,20131115,GrainCorp shares fall 5 pct on report that ADM deal will be rejected ,SYDNEY  Nov 15 Shares in GrainCorp fell 5 percent on Friday after a media report said Australia's prime minister will reject an A$3.0 billion ($2.80 billion) takeover by Archer Daniels Midland Co.,topStory
T,AT&T Inc,20131115,Motor racing: AT&T renews sponsorship of F1 champions Red Bull ,LONDON U.S. telecoms company AT&T Inc has renewed a sponsorship deal with Formula One motor racing champion team Infiniti Red Bull  extending a partnership that started in 2012.,topStory
T,AT&T Inc,20131115,Motor racing-AT&T renews sponsorship of F1 champions Red Bull ,LONDON  Nov 15 U.S. telecoms company AT&T Inc  has renewed a sponsorship deal with Formula One motor racing champion team Infiniti Red Bull  extending a partnership that started in 2012.,normal
BAC,Bank of America Corporation,20131115,Emerging market stock funds have $4.7 billion outflow: BofA ,NEW YORK Investors worldwide withdrew large sums of cash from emerging market funds in the latest week on lingering uncertainty over the U.S. Federal Reserve's plans for unwinding its bond-buying  data from a Bank of America Merrill Lynch Global Research report showed on Friday.,topStory
BAC,Bank of America Corporation,20131115,UPDATE 2-Moody's cuts debt of Morgan Stanley  JPMorgan  Goldman  BNY Mellon ,(Adds history of Moody's action  details on ratings  background on financial crisis)     By David Henry     NEW YORK  Nov 14 Moody's Investors Service cut the debt ratings for four big bank holding companies  including Morgan Stanley and JPMorgan Chase & Co  citing its increasing confidence that the U.S. government will not bail out the companies if they fail.        The cuts may increase banks' borrowing costs and force them to post more collateral in derivatives trades  weighing on,normal
BAC,Bank of America Corporation,20131115,UPDATE 1-U.S. judge says Detroit financing fees must be disclosed ,DETROIT  Nov 14 Detroit must disclose the fee structure of a $350 million debtor-in-possession financing agreement  a bankruptcy judge ruled on Thursday  turning back the city's efforts to keep secret the cost of a controversial loan package  and leading to a sharp exchange with one of the bankers involved in the deal.,normal
BK,Bank Of New York Mellon Corporation (The),20131115,UPDATE 2-Moody's cuts debt of Morgan Stanley  JPMorgan  Goldman  BNY Mellon ,(Adds history of Moody's action  details on ratings  background on financial crisis)     By David Henry     NEW YORK  Nov 14 Moody's Investors Service cut the debt ratings for four big bank holding companies  including Morgan Stanley and JPMorgan Chase & Co  citing its increasing confidence that the U.S. government will not bail out the companies if they fail.        The cuts may increase banks' borrowing costs and force them to post more collateral in derivatives trades  weighing on,topStory
BCS,Barclays PLC,20131115,Barclays Europe retail aims for 500 million pounds profit after revamp ,LONDON Barclays  retail operations in Italy  Spain  France and Portugal will return to profit in two years and could deliver 500 million pounds ($805 million) of annual earnings once a turnaround of the business takes hold.,topStory
ABX,Barrick Gold Corporation,20131115,Goldcorp  Barrick hire banks to explore sale of Nevada mine -sources ,TORONTO  Nov 15 Canadian gold miners Goldcorp  and Barrick Gold are looking to sell their jointly owned Marigold mine in Nevada  according to sources familiar with the situation.,topStory
BAX,Baxter International Inc,20131115,Cell Therapeutics soars 24 percent after drug deal with Baxter ,Cell Therapeutics Inc's  shares rose as much as 24 percent after Baxter International Inc  threw its financial and marketing heft behind the smaller company's bone marrow disorder drug.,topStory
BAX,Baxter International Inc,20131115,UPDATE 1-Cell Therapeutics soars 24 pct after drug deal with Baxter ,(Adds details  CEO comments from conference call  analyst comments; adds share movement),normal
BAX,Baxter International Inc,20131115,Cell Therapeutics shares soar 30 pct after deal with Baxter ,Nov 15 Baxter International Inc agreed to develop and market Cell Therapeutics Inc's bone marrow disorder drug for payments that could total up to $362 million  sending Cell Therapeutics' shares up more than 30 percent before the bell.,normal
BERY,Berry Global Group Inc,20131115,Rexam packaging unit eyed by three rivals  private equity firms: sources ,FRANKFURT/NEW YORK U.S. packaging companies Berry Plastics Group Inc  and Silgan Holding Inc  as well as German peer Gerresheimer  are competing to buy the healthcare packaging unit of Rexam  in a deal expected to fetch a little less than $1 billion  people familiar with the matter said.,topStory
BERY,Berry Global Group Inc,20131115,Rexam packaging unit eyed by 3 rivals  private equity firms -sources ,FRANKFURT/NEW YORK  Nov 15 U.S. packaging companies Berry Plastics Group Inc and Silgan Holding Inc as well as German peer Gerresheimer are competing to buy the healthcare packaging unit of Rexam  in a deal expected to fetch a little less than $1 billion  people familiar with the matter said.,normal
BA,Boeing Company (The),20131115,RPT-INSIGHT-Boeing vote brings out rivals for lucrative jetliner work ,Nov 14 State economic officials have jumped at the chance to grab a piece of Boeing's newest jetliner program after a union vote stalled efforts to build the aircraft in Washington state.,topStory
BA,Boeing Company (The),20131115,U.S. Navy to declare Boeing's P-8A spy plane ready for use: sources ,WASHINGTON The U.S. Navy is expected to announce soon that Boeing Co's P-8A aircraft  a long-range maritime surveillance plane based on the company's 737 airliner  is ready for initial operational use  sources familiar with the program said.,normal
BA,Boeing Company (The),20131115,CORRECTED-UPDATE 1-U.S. Navy to declare Boeing's P-8A spy plane ready for use-sources ,WASHINGTON  Nov 13 The U.S. Navy is expected to announce soon that Boeing Co's P-8A aircraft  a long-range maritime surveillance plane based on the company's 737 airliner  is ready for initial operational use  sources familiar with the program said.,normal
BA,Boeing Company (The),20131115,Insight: Boeing vote brings out rivals for lucrative jetliner work ,State economic officials have jumped at the chance to grab a piece of Boeing's newest jetliner program after a union vote stalled efforts to build the aircraft in Washington state.,normal
BA,Boeing Company (The),20131115,INSIGHT-Boeing vote brings out rivals for lucrative jetliner work ,Nov 14 State economic officials have jumped at the chance to grab a piece of Boeing's newest jetliner program after a union vote stalled efforts to build the aircraft in Washington state.,normal
BP,BP plc,20131115,Canada crude - Whiting coker start-up supports heavy grades ,CALGARY  Alberta  Nov 14 Canadian heavy crude prices pulled back after hitting a two-week high on Thursday  although losses were expected to be limited after BP Plc  started up a new coker at its Whiting  Indiana  refinery.,topStory
CRI,Carter&#39;s Inc,20131115,SEC charges hedge fund employee with insider trading in Carter's probe ,A New York-based hedge fund employee has been charged with trading on inside information about the children's clothing company Carter's Inc  the U.S. Securities and Exchange Commission (SEC) said on Thursday.,topStory
CRI,Carter&#39;s Inc,20131115,SEC charges hedge fund employee with insider trading in Carter's probe ,Nov 14 A New York-based hedge fund employee has been charged with trading on inside information about the children's clothing company Carter's Inc  the U.S. Securities and Exchange Commission (SEC) said on Thursday.,normal
CAT,Caterpillar Inc,20131115,Caterpillar to close another mining equipment plant ,CHICAGO Caterpillar Inc  said on Friday that it will close another plant and lay off 240 additional workers as it continues to respond to a sharp drop in demand for its earth-moving products from customers in the mining industry.,topStory
CAT,Caterpillar Inc,20131115,Caterpillar to close another mining equipment plant ,CHICAGO  Nov 15 Caterpillar Inc said on Friday that it will close another plant and lay off 240 additional workers as it continues to respond to a sharp drop in demand for its earth-moving products from customers in the mining industry.,normal
CVX,Chevron Corporation,20131115,In testimony  lawyer will deny bribery in Chevron-Ecuador case ,NEW YORK Steven Donziger  the lawyer accused by Chevron Corp of using bribery to secure a $19 billion judgment over pollution in Ecuador  has never been shy about his opinion of U.S. District Judge Lewis Kaplan.,topStory
CVX,Chevron Corporation,20131115,In testimony  lawyer will deny bribery in Chevron-Ecuador case ,NEW YORK  Nov 15 Steven Donziger  the lawyer accused by Chevron Corp of using bribery to secure a $19 billion judgment over pollution in Ecuador  has never been shy about his opinion of U.S. District Judge Lewis Kaplan.,normal
CVX,Chevron Corporation,20131115,One dead as fire hits Chevron refinery in Mississippi ,HOUSTON A Chevron Corp worker was killed in a fire that broke out early Friday morning at a cracking unit at the U.S. oil company's 330 000-barrel-per-day refinery in Pascagoula  Mississippi.,normal
CVX,Chevron Corporation,20131115,UPDATE 5-One dead as fire hits Chevron refinery in Mississippi ,* Refinery cited for violations in 2009 in nationwide safety effort   (Adds identity of fire victim  refinery history),normal
CVX,Chevron Corporation,20131115,One dead as fire hits Chevron refinery in Mississippi ,HOUSTON A Chevron Corp worker was killed in a fire that broke out early Friday morning at a cracking unit at the major U.S. oil company's 330 000-barrel-per-day refinery in Pascagoula  Mississippi.,normal
CVX,Chevron Corporation,20131115,Chevron pipeline explodes  burns in rural Texas ,HOUSTON A Chevron Corp. pipeline exploded near a tiny Texas town south of Dallas on Thursday  shooting flames high in the air and prompting evacuations from nearby homes and a school district  but no injuries were reported  the company and emergency officials said | Video ,normal
CYH,Community Health Systems Inc,20131115,Fitch Updates Recovery Analyses for U.S. For-Profit Hospital Operators ,(The following statement was released by the rating agency) Link to Fitch Ratings' Report: U.S. Healthcare Recovery Models â€” Third-Quarter  2013 http://www.fitchratings.com/creditdesk/reports/report_frame.cfm?rpt_id=723759 NEW YORK  November 15 (Fitch) Fitch Ratings has published updated recovery  analyses for the U.S. for-profit hospital operators rated below 'BB-'   including: --Community Health Systems  Inc.; --HCA Holdings  Inc.;  --Tenet Healthcare Corp. The interactive recovery analysis ,topStory
CTB,Cooper Tire & Rubber Company,20131115,Cooper to try to save Apollo deal at December 19 court hearing ,Cooper Tire & Rubber Co  will make a last-ditch effort to save its sale to Apollo Tires Ltd  on December 19  as it seeks a ruling from Delaware Supreme Court that could force the Indian company to complete their proposed $2.3 billion merger.,topStory
DB,Deutsche Bank AG,20131115,Deutsche Bank to triple Irish workforce with 700 new jobs ,DUBLIN  Nov 15 Deutsche Bank will more than triple its workforce in Ireland after announcing 700 new jobs on Friday  handing the government a boost a day after it decided to make a clean break from its EU/IMF bailout.,topStory
EW,Edwards Lifesciences Corporation,20131115,SINGAPORE PRESS-Edwards Lifesciences expands Singapore facility ,A global specialist in heart valves and haemodynamic monitoring has announced the expansion of its heart valve manufacturing facility here  giving a fillip to Singapore's medical technology industry.,topStory
E,ENI SpA,20131115,Petronas  Eni's Versalis ink joint venture to make synthetic rubbers ,KUALA LUMPUR  Nov 15 Petroliam Nasional Bhd (Petronas)  Malaysia's state oil firm  and Italian oil company Eni's chemical unit said they have inked a joint venture agreement to make synthetic rubber in the Southeast Asian nation.,topStory
XOM,Exxon Mobil Corporation,20131115,US STOCKS-Dow  S&P close at new highs; Exxon Mobil leads Dow ,NEW YORK  Nov 15 The Dow and the S&P 500 hit new highs on Friday for a sixth straight week of gains  as investors continued to take cues from Federal Reserve Chair nominee Janet Yellen  who told a Senate Committee it was too early to end the central bank's stimulus.,topStory
XOM,Exxon Mobil Corporation,20131115,US STOCKS-Dow  S&P at new highs; Exxon leads blue chips higher ,* NY factory index falls in Nov to weakest since May -NY Fed,normal
XOM,Exxon Mobil Corporation,20131115,US STOCKS-Dow  S&P hit new highs on Fed; Twitter options debut ,* NY factory index falls in Nov to weakest since May-NY Fed,normal
XOM,Exxon Mobil Corporation,20131115,US STOCKS-Wall St set for new record highs; S&P 500 eyes 1 800 level ,* NY factory index falls in Nov to weakest since May-NY Fed,normal
XOM,Exxon Mobil Corporation,20131115,Deals of the day-Mergers and acquisitions ,(Adds PPF  CFR Pharmaceuticals  Jos. A. Bank  Max Bahr  WPP; updates Saputo),normal
XOM,Exxon Mobil Corporation,20131115,CANADA STOCKS-TSX may open higher buoyed by stimulus hopes ,Nov 15 Canada's main stock index futures pointed to a higher open on Friday  tracking global markets  after investors took comfort in the expectation of extended U.S. monetary stimulus.,normal
XOM,Exxon Mobil Corporation,20131115,Buffett's Berkshire buys sizable new Exxon Mobil stake ,Warren Buffett's Berkshire Hathaway Inc on Thursday disclosed a new $3.45 billion stake in Exxon Mobil Corp  after buying 40.1 million shares in the world's largest publicly traded oil company. | Video ,normal
FDX,FedEx Corporation,20131115,US STOCKS-Dow  S&P close at new highs; Exxon Mobil leads Dow ,NEW YORK  Nov 15 The Dow and the S&P 500 hit new highs on Friday for a sixth straight week of gains  as investors continued to take cues from Federal Reserve Chair nominee Janet Yellen  who told a Senate Committee it was too early to end the central bank's stimulus.,topStory
FDX,FedEx Corporation,20131115,US STOCKS-Dow  S&P at new highs; hedge fund stakes boost J.C. Penney ,* NY factory index falls in Nov to weakest since May -NY Fed,normal
FDX,FedEx Corporation,20131115,US STOCKS-Dow  S&P at new highs; Exxon leads blue chips higher ,* NY factory index falls in Nov to weakest since May -NY Fed,normal
GEH,General Electric Capital Corporation,20131115,GE plans credit card unit spinoff to shrink finance arm ,NORWALK  Connecticut General Electric Co  will spin off its credit card business next year into a separately traded company as it tries to reduce its exposure to unpredictable financial businesses and return to its manufacturing roots.,topStory
GEH,General Electric Capital Corporation,20131115,UPDATE 3-GE plans credit card unit spinoff to shrink finance arm ,NORWALK  Conn.  Nov 15 General Electric Co  will spin off its credit card business next year into a separately traded company as it tries to reduce its exposure to unpredictable financial businesses and return to its manufacturing roots.,normal
GEH,General Electric Capital Corporation,20131115,GE to spin off part of North American finance unit via IPO ,NORWALK  Conn.  Nov 15 General Electric Co  said on Friday it would spin off part of its North American retail finance business in an initial public offering next year.,normal
GEK,General Electric Capital Corporation,20131115,GE plans credit card unit spinoff to shrink finance arm ,NORWALK  Connecticut General Electric Co  will spin off its credit card business next year into a separately traded company as it tries to reduce its exposure to unpredictable financial businesses and return to its manufacturing roots.,topStory
GEK,General Electric Capital Corporation,20131115,UPDATE 3-GE plans credit card unit spinoff to shrink finance arm ,NORWALK  Conn.  Nov 15 General Electric Co  will spin off its credit card business next year into a separately traded company as it tries to reduce its exposure to unpredictable financial businesses and return to its manufacturing roots.,normal
GEK,General Electric Capital Corporation,20131115,GE to spin off part of North American finance unit via IPO ,NORWALK  Conn.  Nov 15 General Electric Co  said on Friday it would spin off part of its North American retail finance business in an initial public offering next year.,normal
GE,General Electric Company,20131115,GE plans credit card unit spinoff to shrink finance arm ,NORWALK  Connecticut General Electric Co  will spin off its credit card business next year into a separately traded company as it tries to reduce its exposure to unpredictable financial businesses and return to its manufacturing roots.,topStory
GE,General Electric Company,20131115,UPDATE 3-GE plans credit card unit spinoff to shrink finance arm ,NORWALK  Conn.  Nov 15 General Electric Co  will spin off its credit card business next year into a separately traded company as it tries to reduce its exposure to unpredictable financial businesses and return to its manufacturing roots.,normal
GE,General Electric Company,20131115,GE to spin off part of North American finance unit via IPO ,NORWALK  Conn.  Nov 15 General Electric Co  said on Friday it would spin off part of its North American retail finance business in an initial public offering next year.,normal
GEB,General Electric Company,20131115,GE plans credit card unit spinoff to shrink finance arm ,NORWALK  Connecticut General Electric Co  will spin off its credit card business next year into a separately traded company as it tries to reduce its exposure to unpredictable financial businesses and return to its manufacturing roots.,topStory
GEB,General Electric Company,20131115,UPDATE 3-GE plans credit card unit spinoff to shrink finance arm ,NORWALK  Conn.  Nov 15 General Electric Co  will spin off its credit card business next year into a separately traded company as it tries to reduce its exposure to unpredictable financial businesses and return to its manufacturing roots.,normal
GEB,General Electric Company,20131115,GE to spin off part of North American finance unit via IPO ,NORWALK  Conn.  Nov 15 General Electric Co  said on Friday it would spin off part of its North American retail finance business in an initial public offering next year.,normal
GM,General Motors Company,20131115,GM recalls 15 000 Malibu sedans for fire threat ,DETROIT  Nov 15 General Motors Co is recalling nearly 15 000 Chevrolet Malibu sedans from model year 2013 to check for faulty wiring harnesses that could cause a fire.,topStory
GG,Goldcorp Inc,20131115,Goldcorp  Barrick hire banks to explore sale of Nevada mine -sources ,TORONTO  Nov 15 Canadian gold miners Goldcorp  and Barrick Gold are looking to sell their jointly owned Marigold mine in Nevada  according to sources familiar with the situation.,topStory
GS,Goldman Sachs Group Inc (The),20131115,UPDATE 2-Moody's cuts debt of Morgan Stanley  JPMorgan  Goldman  BNY Mellon ,(Adds history of Moody's action  details on ratings  background on financial crisis)     By David Henry     NEW YORK  Nov 14 Moody's Investors Service cut the debt ratings for four big bank holding companies  including Morgan Stanley and JPMorgan Chase & Co  citing its increasing confidence that the U.S. government will not bail out the companies if they fail.        The cuts may increase banks' borrowing costs and force them to post more collateral in derivatives trades  weighing on,topStory
HAL,Halliburton Company,20131115,U.S. justices to hear Halliburton securities class action ,The U.S. Supreme Court  which in recent years has ruled for business in a string of high-profile cases  agreed on Friday to hear a case that could herald a dramatic decline in securities class action litigation.,topStory
HAL,Halliburton Company,20131115,UPDATE 3-U.S. justices to hear Halliburton securities class action ,Nov 15 The U.S. Supreme Court  which in recent years has ruled for business in a string of high-profile cases  agreed on Friday to hear a case that could herald a dramatic decline in securities class action litigation.,normal
HAL,Halliburton Company,20131115,U.S. justices agree to hear Halliburton securities class action ,WASHINGTON  Nov 15 The U.S. Supreme Court on Friday agreed to revisit a securities class action case against Halliburton that could have major implications for the future of such lawsuits.,normal
HAL,Halliburton Company,20131115,U.S. justices agree to hear Halliburton securities class action ,WASHINGTON  Nov 15 The U.S. Supreme Court on Friday agreed to revisit a securities class action case against Halliburton that could have major implications for the future of such lawsuits.,normal
