AMZN,Amazoncom Inc,20130823,Intel Media opens offices in LA  New York in TV push ,SAN FRANCISCO  Aug 23 Intel Corp's  media arm is opening offices in New York and Los Angeles as the company pushes ahead with an Internet television service that it plans to launch later this year  an Intel spokesman said on Friday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
STPP,iPath US Treasury Steepener ETN,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
STPP,iPath US Treasury Steepener ETN,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
STPP,iPath US Treasury Steepener ETN,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
MSFT,Microsoft Corporation,20130823,CEO Ballmer retires as Microsoft struggles to modernize ,SEATTLE/NEW YORK Steve Ballmer  a passionate salesman who has been a central figure at Microsoft Corp for more than three decades  unexpectedly announced his retirement as chief executive on Friday  ending a controversial 13-year reign in which the world's largest software company lost its position as the dominant force in computing. | Video ,topStory
MSFT,Microsoft Corporation,20130823,UPDATE 5-CEO Ballmer retires as Microsoft struggles to modernize ,* Ballmer to retire in next 12 months     * Special committee to find new CEO  no obvious candidate     * Activist shareholder recently campaigned for change     * Ballmer long criticized by Wall Street       By Bill Rigby     SEATTLE/NEW YORK  Aug 23 Steve Ballmer  a passionate salesman who has been a central figure at Microsoft Corp for more than three decades  unexpectedly announced his retirement as chief executive on Friday  ending a controversial 13-year reign in which the worl,normal
MSFT,Microsoft Corporation,20130823,Steve Ballmer ends run as Microsoft's relentless salesman ,SEATTLE Few CEOs wielded more power than Microsoft chief Steve Ballmer. | Video ,normal
MSFT,Microsoft Corporation,20130823,Wall Street ends up a day after Nasdaq outage  Microsoft jumps ,NEW YORK Stocks rose in light trading on Friday  led by a jump in Microsoft shares  as trading took place without interruption a day after the Nasdaq stock exchange suffered an unprecedented  three-hour trading halt. | Video ,normal
MSFT,Microsoft Corporation,20130823,US STOCKS-Wall St ends up a day after Nasdaq outage  Microsoft jumps ,* Microsoft climbs after announcing CEO Ballmer's retirement,normal
MSFT,Microsoft Corporation,20130823,CHRONOLOGY-Steve Ballmer's tenure as Microsoft CEO- ,SAN FRANCISCO  Aug 23 Microsoft Corp CEO Steve Ballmer unexpectedly announced on Friday that he would retire in 2014  13 years after he took over the dominant personal computer software company and tried to steer it into growing markets like video games  portable music players  smartphones and tablets.,normal
MSFT,Microsoft Corporation,20130823,US STOCKS SNAPSHOT-Wall Street up for second day  Microsoft leads ,NEW YORK  Aug 23 U.S. stocks rose for a second day on Friday  led by a jump in Microsoft shares as trading occurred without incident a day after the Nasdaq stock exchange was halted for several hours due to a technical problem. Friday's volume was low.,normal
MSFT,Microsoft Corporation,20130823,Factbox: Who will be next to lead Microsoft? ,SEATTLE Microsoft Corp has set up a special committee to find a new chief executive after Steve Ballmer announced his retirement on Friday.,normal
MSFT,Microsoft Corporation,20130823,US STOCKS-Wall St rises a day after Nasdaq outage  Microsoft up ,* Microsoft climbs after announcing CEO Ballmer's retirement,normal
MSFT,Microsoft Corporation,20130823,Analysts View: Ballmer era set to end for Microsoft ,Microsoft Corp said on Friday that Chief Executive Officer Steve Ballmer would retire within the next 12 months  once it has selected a successor  sending its shares up in early trading.,normal
NDAQ,Nasdaq Inc,20130823,Connectivity issue between Nasdaq and Arca preceded outage: source ,NEW YORK The vague "connectivity issue" that Nasdaq said triggered the outage that paralyzed a large part of the U.S. stock market on Thursday originated as a problem between Nasdaq and rival NYSE Arca  a source familiar with the matter said Friday.,topStory
NDAQ,Nasdaq Inc,20130823,UPDATE 3-Connectivity issue between Nasdaq and Arca preceded outage -source ,(Rewrites with developments on connectivity issue  new throughout),normal
QCOM,QUALCOMM Incorporated,20130823,Qualcomm to sell fleet management software unit for $800 million ,Mobile chipmaker Qualcomm Inc said it would sell its unit Omnitracs Inc to private equity firm Vista Equity Partners for about $800 million in cash.,topStory
QCOM,QUALCOMM Incorporated,20130823,Qualcomm to sell fleet management software unit for $800 mln ,Aug 23 Mobile chipmaker Qualcomm Inc  said it would sell its unit Omnitracs Inc to private equity firm Vista Equity Partners for about $800 million in cash.,normal
SHPG,Shire plc,20130823,BRIEF-Shire extends strategic alliance with Santaris ,Aug 23 Shire PLC :  * Extends strategic alliance with Santaris to discover and develop LNA-drugs in,topStory
TSLA,Tesla Inc ,20130823,Electric carmaker Tesla hits roadblock in China over trademark ,BEIJING/SHANGHAI Popular electric carmaker Tesla Motors Inc's  plans to enter the world's biggest auto market have stalled after a businessman in China claimed trademark rights to the name  people close to the California-based company have told Reuters.,topStory
ANFI,Amira Nature Foods Ltd,20130823,DIARY - Central and Eastern European Corporate event frm Aug 23 ,Event DatCountMarket Event Title                                                  RIC   23-Aug   PL          H1 2013 Agora SA Earnings Release                               23-Aug   PL          H1 2013 Pfleiderer Grajewo SA Earnings Release                  26-Aug   PL          H1 2013 Asseco Poland SA Earnings Release                       26-Aug   UA   AMC    Q1 2014 Amira Nature Foods Ltd Earnings Release                 26-Aug   UA   20:30  Q1 2014 Amira Nature Foods Ltd Earnings Conf Call  ,topStory
APA,Apache Corporation,20130823,RPT-Apache's Egypt quandary symbolizes tough business call ,NEW YORK/SAN FRANCISCO  Aug 23 Apache Corp  faces a difficult choice in Egypt: whether to sell its substantial oil and natural gas operations in the country or wait out the recent bloodshed.,topStory
APA,Apache Corporation,20130823,Apache's Egypt quandary symbolizes tough business call ,NEW YORK/SAN FRANCISCO Apache Corp  faces a difficult choice in Egypt: whether to sell its substantial oil and natural gas operations in the country or wait out the recent bloodshed.,normal
BAC,Bank of America Corporation,20130823,Brazil's Anima hires Itaú  Bank of America for IPO  sources say ,RIO DE JANEIRO/SAO PAULO  Aug 23 Anima Educação SA  a Brazilian education company  hired investment banks Itaú BBA and Bank of America Merrill Lynch to advise on an initial public offering  two people with direct knowledge of the situation said on Friday.,topStory
BAC,Bank of America Corporation,20130823,UPDATE 2-China's Jiangxi Copper interested in Glencore's Peru mine-sources ,* Magris Resources also interested in Glencore mine -source,normal
BAC,Bank of America Corporation,20130823,Bank of America reviews long-hours culture after intern's death ,LONDON Bank of America Merrill Lynch said on Friday it was reviewing the working conditions for junior employees after the death of an intern employed at its London offices raised concerns about the long-hours culture of the world's top banks. | Video ,normal
BAC,Bank of America Corporation,20130823,Bank of America reviews long-hours culture after intern's death ,* Bank of America to review working conditions for interns,normal
BAC,Bank of America Corporation,20130823,China's Jiangxi Copper interested in Glencore's Peru mine: sources ,HONG KONG Jiangxi Copper Co Ltd has joined a list of potential Chinese suitors interested in buying Glencore Xstrata Plc's  $5 billion-plus Las Bambas copper mine in Peru  underscoring the Chinese government's desire to plug a shortage in supply.,normal
BCS,Barclays PLC,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
BCS,Barclays PLC,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
BCS,Barclays PLC,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
BBT,BB&T Corporation,20130823,Fed says it does not object to new BB&T capital plan ,WASHINGTON/NEW YORK The Federal Reserve approved a revised capital plan for BB&T Corp for 2013  and the bank said on Friday that it is maintaining its current quarterly dividend.,topStory
BBT,BB&T Corporation,20130823,UPDATE 2-U.S. Fed says it does not object to new BB&T capital plan ,WASHINGTON/NEW YORK  Aug 23 The U.S. Federal Reserve approved a revised capital plan for BB&T Corp  for 2013  and the bank said on Friday that it is maintaining its current quarterly dividend.,normal
BBT,BB&T Corporation,20130823,U.S. Fed says does not object to new BB&T capital plan ,WASHINGTON  Aug 23 The U.S. Federal Reserve said on Friday it would not object to a new 2013 capital plan submitted by BB&T Corp  after the bank's initial plan was rejected earlier this year.,normal
BBY,Best Buy Co Inc,20130823,Time Warner Cable offers antennas during CBS blackout ,Aug 23 Time Warner Cable Inc is offering free antennas to help customers watch CBS via broadcast signals during a blackout that is in its third week  the cable operator said on Friday.,normal
BHP,BHP Billiton Limited,20130823,BHP Billiton cuts bonuses  CEO forgoes $1.5 mln in shares ,MELBOURNE  Aug 23 BHP Billiton Ltd   has cut bonus payouts to its top executives  as total returns to shareholders fell over five years  even though the top global miner beat its target for outperforming its peers over that period.,topStory
BBL,BHP Billiton plc,20130823,BHP Billiton cuts bonuses  CEO forgoes $1.5 million in shares ,MELBOURNE BHP Billiton Ltd  has cut bonus payouts to its top executives  as total returns to shareholders fell over five years  even though the top global miner beat its target for outperforming its peers over that period.,topStory
BA,Boeing Company (The),20130823,China's Xiamen to buy six Boeing 787s to launch long-haul flights ,SINGAPORE Chinese carrier Xiamen Airlines has finalized a long-awaited deal for six Boeing 787 aircraft worth $1.27 billion at list prices  allowing it to begin long-haul services to the United States and Europe in 2014.,topStory
BA,Boeing Company (The),20130823,China's Xiamen to buy 6 Boeing 787s to launch long-haul flights ,SINGAPORE  Aug 23 Chinese carrier Xiamen Airlines has finalised a long-awaited deal for six Boeing 787 aircraft worth $1.27 billion at list prices  allowing it to begin long-haul services to the United States and Europe in 2014.,normal
BP,BP plc,20130823,BP spill claims deadline may slip by year or more ,LONDON The April 2014 deadline for compensation claims against BP over its U.S. oil spill is almost certain to be extended  say both side of the legal settlement that governs payouts  possibly into 2015.,topStory
BP,BP plc,20130823,BP spill claims deadline may slip by year or more ,* Actual date for last claims will start moving into future in October,normal
CAJ,Canon Inc,20130823,Canon spies opportunity in surveillance as camera growth cools ,TOKYO Nosy governments and nervous homeowners  among other drivers of the surveillance society  may soon upstage amateur photographers as the focus for big camera makers such as Canon Inc  who spot growing opportunities in the security market.,topStory
CAJ,Canon Inc,20130823,CORRECTED-Canon spies opportunity in surveillance as camera growth cools ,TOKYO  Aug 23 Nosy governments and nervous homeowners  among other drivers of the surveillance society  may soon upstage amateur photographers as the focus for big camera makers such as Canon Inc who spot growing opportunities in the security market.,normal
CBS,CBS Corporation,20130823,Time Warner Cable offers antennas during CBS blackout ,Time Warner Cable Inc is offering free antennas to help customers watch CBS via broadcast signals during a blackout that is in its third week  the cable operator said on Friday.,topStory
CBS,CBS Corporation,20130823,Time Warner Cable offers antennas during CBS blackout ,Aug 23 Time Warner Cable Inc is offering free antennas to help customers watch CBS via broadcast signals during a blackout that is in its third week  the cable operator said on Friday.,normal
CHL,China Mobile (Hong Kong) Ltd,20130823,Huawei  ZTE win bulk of China Mobile's $3 billion 4G bonanza: sources ,SINGAPORE China Mobile Ltd has awarded initial 4G contracts worth around 20 billion yuan ($3.2 billion)  with Chinese firms securing more than half of the biggest prize in the global telecoms industry this year and foreign firms winning about a third  industry sources said.,topStory
CHL,China Mobile (Hong Kong) Ltd,20130823,UPDATE 1-Huawei  ZTE win bulk of China Mobile's $3 bln 4G bonanza-sources ,SINGAPORE  Aug 23 China Mobile Ltd has awarded initial 4G contracts worth around 20 billion yuan ($3.2 billion)  with Chinese firms securing more than half of the biggest prize in the global telecoms industry this year and foreign firms winning about a third  industry sources said.,normal
DAR,Darling Ingredients Inc,20130823,UPDATE 1-Maple Leaf  Darling shares jump on deal for biodiesel business ,Aug 23 Canadian food processor Maple Leaf Foods  agreed to sell its rendering and biodiesel business to Darling International Inc for about C$645 million ($613.6 million) in cash  causing shares in both companies to spike on Friday.,topStory
LLY,Eli Lilly and Company,20130823,Halt in Zilmax sales fuels demand for rival cattle feed product ,* Some new Optaflexx feeders put on waiting list-customers,topStory
LLY,Eli Lilly and Company,20130823,A new generation fights for civil rights in Florida ,ORLANDO  Florida The shooting of unarmed black teenager Trayvon Martin in Florida last year shook the foundations of Phillip Agnew's comfortable life selling erectile dysfunction drugs and anti-depressants.,normal
XOM,Exxon Mobil Corporation,20130823,Deals of the day -- mergers and acquisitions ,Aug 23 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
XOM,Exxon Mobil Corporation,20130823,Exxon selling Iraqi oilfield stakes to Petro China  Pertamina: Iraq minister ,NEW DELHI Exxon Mobil  is selling stakes it controls in Iraq's West Qurna-1 oilfield to China's Petro China  and Indonesia's Pertamina   the country's oil minister confirmed on Friday.,normal
XOM,Exxon Mobil Corporation,20130823,Exxon selling Iraqi oilfield stakes to Petro China  Pertamina-Iraq minister ,NEW DELHI  Aug 23 Exxon Mobil is selling stakes it controls in Iraq's West Qurna-1 oilfield to China's Petro China and Indonesia's Pertamina  the country's oil minister confirmed on Friday.,normal
FMX,Fomento Economico Mexicano SAB de CV,20130823,EMERGING MARKETS-Brazil stocks edge down a day after strong gains ,* Bovespa dips as lenders contain Vale  steel makers loss     * Femsa's acquisition of Brazil bottler sends shares down     * Brazil Bovespa down 0.14 pct  Mexico IPC down 0.6 pct      By Lucas Iberico-Lozada     SAO PAULO  Aug 23 Brazilian stocks edged down on Friday  a day after the country's benchmark Bovespa index made its strongest daily gains in two weeks.      Mexico's IPC index also edged down  while Chile's bourse snapped a seven-session slump.     Late on Thursday  the Braz,topStory
GM,General Motors Company,20130823,GM returning to Super Bowl TV ads in 2014 ,A year after General Motors Co decided to pass on advertising during the Super Bowl because commercial television time was too expensive  the automaker said on Friday it would return to the big game in February.,topStory
GM,General Motors Company,20130823,GM returning to Super Bowl TV ads in 2014 ,Aug 23 A year after General Motors Co  decided to pass on advertising during the Super Bowl because commercial television time was too expensive  the automaker said on Friday it would return to the big game in February.,normal
GSK,GlaxoSmithKline PLC,20130823,GSK's Crohn's disease treatment fails in Phase III trial ,LONDON  Aug 23 British pharmaceutical group GlaxoSmithKline Plc said vercirnon  a drug it was developing to treat Crohn's disease and licensed from ChemoCentryx  had failed in a late-stage clinical trial.,topStory
GSK,GlaxoSmithKline PLC,20130823,BRIEF-GSK's Crohn's disease treatment fails in Phase III trial ,Aug 23 GlaxoSmithKline Plc :  * Announces phase III study of Vercirnon in patients with moderate-to-severe,normal
GS,Goldman Sachs Group Inc (The),20130823,Goldman Sachs banker charged with rape in New York state ,A New York-based Goldman Sachs managing director was arrested and charged with raping a 20-year-old woman while on vacation in the up-market Hamptons resort in New York state.,topStory
GS,Goldman Sachs Group Inc (The),20130823,Goldman Sachs banker charged with rape in New York state ,Aug 23 A New York-based Goldman Sachs  managing director was arrested and charged with raping a 20-year-old woman while on vacation in the up-market Hamptons resort in New York state.,normal
ITUB,Itau Unibanco Banco Holding SA,20130823,Brazil's Anima hires Itaú  Bank of America for IPO  sources say ,RIO DE JANEIRO/SAO PAULO  Aug 23 Anima Educação SA  a Brazilian education company  hired investment banks Itaú BBA and Bank of America Merrill Lynch to advise on an initial public offering  two people with direct knowledge of the situation said on Friday.,topStory
KKR,KKR & Co LP,20130823,Toshiba  KKR  Bain to bid for Panasonic healthcare unit: sources ,TOKYO Toshiba Corp  U.S. private equity firm Kohlberg Kravis Roberts & Co (KKR) and a consortium including Bain Capital are expected to participate in the final round of bids next week for Panasonic Corp's healthcare business  a deal that could fetch as much as $1.5 billion  sources with knowledge of the matter said on Friday.,topStory
