AAPL,Apple Inc,20131210,U.S. tech companies call for more controls on surveillance ,LONDON Eight major U.S. web companies  including Apple  Google and Facebook  made a joint call on Monday for tighter controls on how governments collect personal data  intensifying the furor over online surveillance. | Video ,topStory
LULU,lululemon athletica inc,20131210,CORRECTED-UPDATE 1-Lululemon names new CEO; founder Chip Wilson to step down ,Dec 10 Yoga-wear retailer Lululemon Athletica Inc  reeling from an embarrassing recall of see-through pants  named Laurent Potdevin as chief executive and said founder Chip Wilson would step down as non-executive chairman.,normal
LULU,lululemon athletica inc,20131210,CORRECTED-Lululemon names new CEO; founder Chip Wilson to step down ,Dec 10 High-end yoga-wear retailer Lululemon Athletica Inc named Laurent Potdevin as its chief executive and said founder Chip Wilson will step down as non-executive chairman.,normal
MGIC,Magic Software Enterprises Ltd,20131210,Grizzlies hang on to defeat Magic ,MEMPHIS  Tenn. -- The Memphis Grizzlies were cruising. They led by as many as 23 points in the first half and by as many as 16 early in the fourth quarter over an Orlando Magic team that had won one road game all season and was on the second night of a back-to-back.,topStory
MU,Micron Technology Inc,20131210,US STOCKS-Wall Street falls after record; Fed remains in focus ,* Indexes down: Dow 0.33 pct; S&P 0.32 pct; Nasdaq 0.2 pct,topStory
MU,Micron Technology Inc,20131210,US STOCKS-S&P 500 slips from record  Fed remains in focus ,* Indexes down: Dow 0.25 pct; S&P 0.27 pct; Nasdaq 0.2 pct,normal
MSFT,Microsoft Corporation,20131210,India court seeks value of Nokia factory seized in tax dispute ,An Indian court extended a hearing over local tax authorities' seizure of a Nokia factory by seeking information on the plant value  adding to concerns whether the company can transfer the property to Microsoft as part of the sale of its mobile phone business.,topStory
MSFT,Microsoft Corporation,20131210,India court seeks value of Nokia factory seized in tax dispute ,Dec 10 An Indian court extended a hearing over local tax authorities' seizure of a Nokia factory by seeking information on the plant  value  adding to concerns whether the company can transfer the property to Microsoft as part of the sale of its mobile phone business.,normal
NDAQ,Nasdaq Inc,20131210,Nasdaq plans "dark pool" for U.S. Treasuries ,NEW YORK  Dec 10 Nasdaq OMX Group plans to create a so-called dark pool for electronic U.S. Treasuries trading where buying and selling interest is not revealed  even on a post-trade basis  the company's chief executive officer said on Tuesday.,topStory
PDLI,PDL BioPharma Inc,20131210,BRIEF-PDL BioPharma shares up 1.5 pct afer the bell following guidance ,NEW YORK  Dec 10 PDL BioPharma Inc :  * Shares were up 1.5 percent afer the bell following guidance,topStory
RMBS,Rambus Inc,20131210,US STOCKS-Wall Street falls after record; Fed remains in focus ,* Indexes down: Dow 0.33 pct; S&P 0.32 pct; Nasdaq 0.2 pct,topStory
RMBS,Rambus Inc,20131210,US STOCKS-S&P 500 slips from record  Fed remains in focus ,* Indexes down: Dow 0.25 pct; S&P 0.27 pct; Nasdaq 0.2 pct,normal
RMBS,Rambus Inc,20131210,BRIEF-Rambus shares up 9 percent following patent settlement ,NEW YORK  Dec 10 Rambus Inc :  * Shares up 9 percent in premarket trade following patent settlement,normal
URBN,Urban Outfitters Inc,20131210,BRIEF-Urban Outfitters Q4 retail comparable sales up "mid-single-digit" percentage so far-filingNG ,Dec 10 Urban Outfitters Inc :  * Says Q4 retail comparable sales up "mid-single-digit" percentage so far,topStory
URBN,Urban Outfitters Inc,20131210,BRIEF-Urban Outfitters shares up 4.3 pct in after-hours trading ,NEW YORK  Dec 10 Urban Outfitters Inc :  * Shares up 4.3 percent in after-hours trading,normal
ABBV,AbbVie Inc,20131210,AbbVie oral hep C drugs cure 96 percent in late stage trial ,AbbVie Inc's all-oral hepatitis C therapy cured 96 percent of difficult-to-treat patients in a late-stage clinical trial after 12 weeks  keeping the company well placed in a highly competitive race to deliver new treatments for the serious liver disease.,topStory
ABBV,AbbVie Inc,20131210,UPDATE 2-AbbVie oral hep C drugs cure 96 pct in late stage trial ,Dec 10 AbbVie Inc's all-oral hepatitis C therapy cured 96 percent of difficult-to-treat patients in a late-stage clinical trial after 12 weeks  keeping the company well placed in a highly competitive race to deliver new treatments for the serious liver disease.,normal
ABBV,AbbVie Inc,20131210,AbbVie says 96 pct patients in oral hepatitis C study show improvement ,Dec 10 AbbVie Inc said a late-stage trial of its experimental hepatitis C therapy showed 96 percent of the patients who had previously failed to respond to treatment had no detectable levels of the virus in the blood after 12 weeks.,normal
ADM,Archer-Daniels-Midland Company,20131210,ADM sees 1 mln T grains through Brazil Amazon port in 2014 ,SAO PAULO  Dec 10 The Brazilian arm of U.S. commodities trader Archer Daniels Midland Co expects to move 1 million tonnes of soy and corn through its new terminal at the mouth of the Amazon in 2014  the head of South American operations said on Tuesday.,topStory
AZN,Astrazeneca PLC,20131210,FDA staff cautious on AstraZeneca  Bristol diabetes drug ,LONDON U.S. Food and Drug Administration staff said on Tuesday they were wary about the benefits versus the risks of AstraZeneca and Bristol-Myers Squibb's new diabetes drug dapagliflozin.,topStory
AZN,Astrazeneca PLC,20131210,UPDATE 1-FDA staff cautious on AstraZeneca  Bristol diabetes drug ,LONDON  Dec 10 U.S. Food and Drug Administration staff said on Tuesday they were wary about the benefits versus the risks of AstraZeneca and Bristol-Myers Squibb's  new diabetes drug dapagliflozin.,normal
AZN,Astrazeneca PLC,20131210,FDA staff cautious on AstraZeneca  Bristol diabetes drug ,LONDON  Dec 10 U.S. Food and Drug Administration staff said on Tuesday they were wary about the benefits versus the risks of AstraZeneca and Bristol-Myers Squibb's  new diabetes drug dapagliflozin in documents posted on the agency's website.,normal
T,AT&T Inc,20131210,FCC stalls AT&T move to end discounts for wholesale clients ,NEW YORK  Dec 9 The U.S. Federal Communications Commission on Monday said it was suspending a plan by AT&T Inc  to end certain discounts for so called special-access services for wholesale clients after some of its customers complained.,topStory
AZO,AutoZone Inc,20131210,AutoZone to focus on sales to repair chains as retail drags ,AutoZone Inc   the largest U.S. auto parts retailer  reported a better-than-expected quarterly profit as it focuses on its fast-growing business that sells to auto repair chains to offset weakness in its main do-it-yourself market.,topStory
AZO,AutoZone Inc,20131210,UPDATE 3-AutoZone to focus on sales to repair chains as retail drags ,* Shares rise as much as 6 pct   (Adds CEO comment  details; updates shares),normal
AZO,AutoZone Inc,20131210,AutoZone profit rises 7 pct due to higher repairs ,Dec 10 AutoZone Inc  the largest U.S. auto parts retailer  reported a 7 percent rise in quarterly profit due to higher repairs.,normal
SAN,Banco Santander SA,20131210,UPDATE 1-RBS's Finance Director Bostock resigns to join Santander ,Dec 10 Royal Bank of Scotland said its finance director  Nathan Bostock  had resigned after just 10 weeks in the job  dealing a major blow to the state-backed bank's turnaround efforts.,topStory
SAN,Banco Santander SA,20131210,Santander ups bet on China with Bank of Shanghai stake ,MADRID/LONDON Santander   Spain's largest bank  is to buy HSBC's  8 percent stake in Bank of Shanghai  just as many international rivals are beginning to sell out of China.,normal
SAN,Banco Santander SA,20131210,UPDATE 2-Santander ups bet on China with Bank of Shanghai stake ,* Deal  including cooperation agreement  worth 470 mln eur,normal
SAN,Banco Santander SA,20131210,Santander agrees to buy 8 percent of Bank of Shanghai from HSBC ,MADRID Spain's largest bank Banco Santander  said on Tuesday it had agreed to buy HSBC's  8 percent stake in China's Bank of Shanghai and had signed a cooperation agreement.,normal
SAN,Banco Santander SA,20131210,Santander agrees to buy 8 pct of Bank of Shanghai from HSBC ,MADRID  Dec 10 Spain's largest bank Banco Santander said on Tuesday it had agreed to buy HSBC's  8 percent stake in China's Bank of Shanghai and had signed a cooperation agreement.,normal
ABX,Barrick Gold Corporation,20131210,CANADA STOCKS-TSX gains as gold miners shine  Barrick jumps ,* TSX closes up 11.23 points  or 0.08 percent  at 13 324.01     * Gold miners lead push as Barrick rises 5 pct     * Narrowing crude spread helps Canadian oil companies      By Alastair Sharp     TORONTO  Dec 10 Canada's main stock index eked out a small gain on Tuesday  helped by a surge in major gold miners as the price of bullion hit a three-week high  while bank stocks wilted in the aftermath of an uninspiring earnings season.     Barrick Gold Corp jumped 5.3 percent to C$17.91  ,topStory
ABX,Barrick Gold Corporation,20131210,CANADA STOCKS-TSX ends higher as Barrick jumps on bullion gains ,TORONTO  Dec 10 Canada's main stock index closed higher on Tuesday  helped by a 5 percent gain in miner Barrick Gold Corp and smaller rises in other gold miners as the price of bullion jumped.     The Toronto Stock Exchange's S&P/TSX composite index  unofficially ended up 11.23 points  or 0.08 percent  at 13 324.01.,normal
ABX,Barrick Gold Corporation,20131210,CANADA STOCKS-TSX gains as gold miners shine  Barrick jumps ,* TSX up 33.71 points  or 0.25 percent  at 13 346.49     * Gold miners lead push as Barrick rises 5 pct     * Narrowing crude spread helps Canadian oil companies      By Alastair Sharp     TORONTO  Dec 10 Canada's main stock index rose on Tuesday  helped by a surge in major gold miners as the price of bullion hit a three-week high  while energy companies also aided the gain.     Barrick Gold Corp jumped 5.4 percent to C$17.90 and Goldcorp Inc added 3 percent to C$23  as investors scr,normal
BBL,BHP Billiton plc,20131210,UPDATE 2-BHP says U.S. shale business to generate cash by 2016 ,* To focus spending on Australia  US  Trinidad and Tobago,topStory
BA,Boeing Company (The),20131210,Washington state congressional delegates pitch for  Boeing plant ,WASHINGTON  D.C. Washington's full congressional delegation pleaded with Boeing Co on Tuesday to keep its next-generation jetliner in the state as rival states made their own pitches to lure the 777X in a contest worth billions of dollars.,topStory
BA,Boeing Company (The),20131210,Washington state congressional delegates pitch for  Boeing plant ,WASHINGTON  D.C.  Dec 10 Washington's full congressional delegation pleaded with Boeing Co on Tuesday to keep its next-generation jetliner in the state as rival states made their own pitches to lure the 777X in a contest worth billions of dollars.,normal
BA,Boeing Company (The),20131210,Boeing sees export credits waning as aircraft funding source ,LONDON More commercial jet buyers will tap rapidly-expanding capital markets to finance $112 billion of jet sales in 2014 as state-backed export credits become pricier and more politically sensitive  Boeing Co  said on Tuesday.,normal
BA,Boeing Company (The),20131210,UPDATE 1-Boeing sees export credits waning as aircraft funding source ,LONDON  Dec 10 More commercial jet buyers will tap rapidly-expanding capital markets to finance $112 billion of jet sales in 2014 as state-backed export credits become pricier and more politically sensitive  Boeing Co said on Tuesday.,normal
BA,Boeing Company (The),20131210,Boeing sees aircraft finance market rising to $112 billion in 2014 ,LONDON Commercial jet buyers are set to turn to rapidly-expanding capital markets for more financing in 2014  as the value of jet sales rises by about 7.7 percent to $112 billion  Boeing Co  forecast on Tuesday.,normal
BA,Boeing Company (The),20131210,Boeing sees aircraft finance market rising to $112 bln in 2014 ,LONDON  Dec 10 Commercial jet buyers are set to turn to rapidly-expanding capital markets for more financing in 2014  as the value of jet sales rises by about 7.7 percent to $112 billion  Boeing Co forecast on Tuesday.,normal
BA,Boeing Company (The),20131210,Poland's LOT agrees compensation with Boeing over Dreamliners ,WARSAW Polish flagship carrier LOT  said it had agreed with U.S. plane maker Boeing  on compensation for the faults that grounded its 787 Dreamliner jets.,normal
BA,Boeing Company (The),20131210,UPDATE 1-Poland's LOT agrees compensation with Boeing over Dreamliners ,* LOT has estimated cost of Dreamliner problems at $32 mln,normal
BA,Boeing Company (The),20131210,Poland agrees compensation with Boeing over Dreamliners-minister ,WARSAW  Dec 10 Polish flagship carrier LOT  has agreed with U.S. plane maker Boeing on compensation for the faults that grounded its 787 Dreamliner jets  Treasury Minister Wlodzimierz Karpinski was quoted as saying by local media on Tuesday.,normal
BA,Boeing Company (The),20131210,Boeing must decide on F/A-18 production in March 2014: executive ,NAVAL AIR STATION PATUXENT RIVER  Maryland Boeing Co  must decide in March 2014 whether to invest tens of millions of dollars to continue production of the F/A-18 fighter jet  a senior Boeing executive said on Monday  underscoring his confidence that sufficient orders would emerge to keep the plane in production until beyond 2020.,normal
BMY,Bristol-Myers Squibb Company,20131210,FDA staff cautious on AstraZeneca  Bristol diabetes drug ,LONDON U.S. Food and Drug Administration staff said on Tuesday they were wary about the benefits versus the risks of AstraZeneca and Bristol-Myers Squibb's new diabetes drug dapagliflozin.,topStory
BMY,Bristol-Myers Squibb Company,20131210,UPDATE 1-FDA staff cautious on AstraZeneca  Bristol diabetes drug ,LONDON  Dec 10 U.S. Food and Drug Administration staff said on Tuesday they were wary about the benefits versus the risks of AstraZeneca and Bristol-Myers Squibb's  new diabetes drug dapagliflozin.,normal
CNI,Canadian National Railway Company,20131210,CORRECTED-CN Rail targets double-digit EPS growth in 2014 ,(Corrects 2nd paragraph to say company based in Montreal  not Toronto),topStory
CAH,Cardinal Health Inc,20131210,US STOCKS-Wall Street falls after record; Fed remains in focus ,* Indexes down: Dow 0.33 pct; S&P 0.32 pct; Nasdaq 0.2 pct,topStory
CAH,Cardinal Health Inc,20131210,CVS  Cardinal Health form U.S. generic drug venture ,Pharmacy chain CVS Caremark Corp and pharmaceutical distributor Cardinal Health Inc on Tuesday announced a 10-year agreement to form the largest generic drug sourcing operation in the United States  the world's biggest generic drug market.,normal
CAH,Cardinal Health Inc,20131210,UPDATE 2-CVS  Cardinal Health form U.S. generic drug venture ,Dec 10 Pharmacy chain CVS Caremark Corp  and pharmaceutical distributor Cardinal Health Inc on Tuesday announced a 10-year agreement to form the largest generic drug sourcing operation in the United States  the world's biggest generic drug market.,normal
CAH,Cardinal Health Inc,20131210,BRIEF-Cardinal Health shares up 3.5 pct  CVS Caremark up 1.6 pct on JV announcement ,NEW YORK  Dec 10 Cardinal Health Inc :  * Shares up 3.5 percent  CVS Caremark up 1.6 percent on jv announcement,normal
CAH,Cardinal Health Inc,20131210,CVS  Cardinal Health enter U.S. generic drug joint venture ,Dec 10 Pharmacy chain CVS Caremark Corp  and pharmaceutical distributor Cardinal Health Inc said on Tuesday they would form the largest U.S. generic drug sourcing operation in a 10-year agreement to serve the world's biggest market for generic drugs.,normal
CHU,China Unicom (Hong Kong) Ltd,20131210,BRIEF-Guangdong Highsun Group signs strategic alliance with China Unicom's branch ,* Says signs strategic alliance with China Unicom's Guangzhou branch,topStory
C,Citigroup Inc,20131210,Citigroup CFO sees fourth-quarter markets results slipping ,Fourth-quarter capital markets and underwriting revenues this quarter are running slightly below results from a year ago  Citigroup Inc  Chief Financial Officer John Gerspach said on Tuesday.,topStory
C,Citigroup Inc,20131210,Citigroup CFO sees Q4 markets results slipping ,Dec 10 Fourth-quarter capital markets and underwriting revenues this quarter are running slightly below results from a year ago  Citigroup Inc Chief Financial Officer John Gerspach said on Tuesday.,normal
CMI,Cummins Inc,20131210,UPDATE 4-GM shakes up auto industry men's club  naming first woman CEO ,* Akerson accelerates exit after wife's cancer diagnosis     * CFO Ammann named president  ex-Cummins CEO named chairman     * Barra will be GM's fifth CEO in less than five years     * Barra's task is to complete turnaround begun under Akerson       By Ben Klayman     DETROIT  Dec 10 General Motors Co CEO Dan Akerson will step down next month and be replaced by GM "lifer" and global product chief Mary Barra  a sign that the development of new vehicles will be the paramount focus of ,topStory
CVS,CVS Health Corporation,20131210,US STOCKS-Wall Street falls after record; Fed remains in focus ,* Indexes down: Dow 0.33 pct; S&P 0.32 pct; Nasdaq 0.2 pct,topStory
CVS,CVS Health Corporation,20131210,CVS  Cardinal Health form U.S. generic drug venture ,Pharmacy chain CVS Caremark Corp and pharmaceutical distributor Cardinal Health Inc on Tuesday announced a 10-year agreement to form the largest generic drug sourcing operation in the United States  the world's biggest generic drug market.,normal
CVS,CVS Health Corporation,20131210,UPDATE 2-CVS  Cardinal Health form U.S. generic drug venture ,Dec 10 Pharmacy chain CVS Caremark Corp  and pharmaceutical distributor Cardinal Health Inc on Tuesday announced a 10-year agreement to form the largest generic drug sourcing operation in the United States  the world's biggest generic drug market.,normal
CVS,CVS Health Corporation,20131210,BRIEF-Cardinal Health shares up 3.5 pct  CVS Caremark up 1.6 pct on JV announcement ,NEW YORK  Dec 10 Cardinal Health Inc :  * Shares up 3.5 percent  CVS Caremark up 1.6 percent on jv announcement,normal
CVS,CVS Health Corporation,20131210,CVS  Cardinal Health enter U.S. generic drug joint venture ,Dec 10 Pharmacy chain CVS Caremark Corp  and pharmaceutical distributor Cardinal Health Inc said on Tuesday they would form the largest U.S. generic drug sourcing operation in a 10-year agreement to serve the world's biggest market for generic drugs.,normal
DHI,DR Horton Inc,20131210,D.R. Horton to return mineral rights to Florida homeowners ,Dec 10 D.R. Horton Inc is temporarily suspending its practice of reserving mineral rights beneath new homes it sells in Florida  according to a letter from the company to the office of the Florida Attorney General.,topStory
DB,Deutsche Bank AG,20131210,Deutsche Bank pulls plug on iron ore swaps trade ,LONDON  Dec 10 Deutsche Bank AG has now closed its iron ore swaps business as part of an overall strategy to get out of physical commodities and maintain only a limited presence in commodity derivatives.,topStory
DB,Deutsche Bank AG,20131210,Deutsche Bank ex-CEO urges top court to bar seized evidence ,FRANKFURT Deutsche Bank's  former CEO Josef Ackermann has asked Germany's highest court to keep a trove of documents out of a long-running suit brought by heirs of the collapsed Kirch media empire.,normal
DB,Deutsche Bank AG,20131210,Deutsche Bank ex-CEO urges top court to bar seized evidence ,FRANKFURT  Dec 10 Deutsche Bank's  former CEO Josef Ackermann has asked Germany's highest court to keep a trove of documents out of a long-running suit brought by heirs of the collapsed Kirch media empire.,normal
LLY,Eli Lilly and Company,20131210,UPDATE 2-Merck moves Alzheimer's drug into big trials after safety review ,Dec 10 Merck & Co said it will begin two late-stage trials of its experimental Alzheimer's drug  one of the industry's best hopes for slowing the memory-robbing disease  after an independent monitoring board reviewed its safety and recommended that more patients be recruited for studies.,normal
ETR,Entergy Corporation,20131210,WRAPUP-1-Entergy transmission exit hit as Mississippi denies ITC deal ,* ITC says Mississippi order denies savings for customers,topStory
ETR,Entergy Corporation,20131210,TIMELINE-Entergy transition to MISO caps years of wrangling ,HOUSTON  Dec 10 New Orleans-based Entergy Corp  is scheduled to turn over day-to-day control of its 15 000-mile (24 000-km)  four-state transmission network later this month when it joins the Midcontinent Independent System Operator (MISO).,normal
ETR,Entergy Corporation,20131210,Entergy's rocky road to MISO may revive Gulf Coast power trading ,HOUSTON  Dec 10 The U.S. Gulf Coast region may see a rebirth in power trading as Entergy Corp and utilities in four states join the Midcontinent Independent System Operator (MISO)  one of the world's largest grid operators and wholesale energy markets  later this month.,normal
ETR,Entergy Corporation,20131210,UPDATE 1-Mississippi rejects Entergy grid transfer to ITC ,HOUSTON  Dec 10 The Mississippi Public Service Commission on Tuesday rejected  Entergy Corp's deal to divest its transmission operation to ITC Holdings in a transaction valued at $1.78 billion.,normal
ETR,Entergy Corporation,20131210,Mississippi rejects Entergy grid transfer to ITC Holdings ,HOUSTON  Dec 10 The Mississippi Public Service Commission on Tuesday voted to deny Entergy Corp's deal to divest its transmission operation to ITC Holdings in a transaction valued at $1.78 billion.,normal
GEH,General Electric Capital Corporation,20131210,GE unit to reimburse consumers misled over credit cards ,WASHINGTON The U.S. consumer financial watchdog on Tuesday ordered a General Electric Co unit to refund up to $34.1 million to customers who it said were misled about healthcare credit cards.,topStory
GEH,General Electric Capital Corporation,20131210,UPDATE 1-GE unit to reimburse consumers misled over credit cards ,WASHINGTON  Dec 10 The U.S. consumer financial watchdog on Tuesday ordered a General Electric Co unit to refund up to $34.1 million to customers who it said were misled about healthcare credit cards.,normal
GEH,General Electric Capital Corporation,20131210,GE unit to refund customers $34 million over deceptive practices ,WASHINGTON  Dec 10 The U.S. consumer bureau on Tuesday ordered General Electric Co's GE Capital Retail Bank and one of its subsidiaries to refund up to $34.1 million to customers who it said were  misled about healthcare credit cards.,normal
GEK,General Electric Capital Corporation,20131210,GE unit to reimburse consumers misled over credit cards ,WASHINGTON The U.S. consumer financial watchdog on Tuesday ordered a General Electric Co unit to refund up to $34.1 million to customers who it said were misled about healthcare credit cards.,topStory
GEK,General Electric Capital Corporation,20131210,UPDATE 1-GE unit to reimburse consumers misled over credit cards ,WASHINGTON  Dec 10 The U.S. consumer financial watchdog on Tuesday ordered a General Electric Co unit to refund up to $34.1 million to customers who it said were misled about healthcare credit cards.,normal
GEK,General Electric Capital Corporation,20131210,GE unit to refund customers $34 million over deceptive practices ,WASHINGTON  Dec 10 The U.S. consumer bureau on Tuesday ordered General Electric Co's GE Capital Retail Bank and one of its subsidiaries to refund up to $34.1 million to customers who it said were  misled about healthcare credit cards.,normal
GE,General Electric Company,20131210,GE unit to reimburse consumers misled over credit cards ,WASHINGTON The U.S. consumer financial watchdog on Tuesday ordered a General Electric Co unit to refund up to $34.1 million to customers who it said were misled about healthcare credit cards.,topStory
GE,General Electric Company,20131210,UPDATE 1-GE unit to reimburse consumers misled over credit cards ,WASHINGTON  Dec 10 The U.S. consumer financial watchdog on Tuesday ordered a General Electric Co unit to refund up to $34.1 million to customers who it said were misled about healthcare credit cards.,normal
GE,General Electric Company,20131210,GE unit to refund customers $34 million over deceptive practices ,WASHINGTON  Dec 10 The U.S. consumer bureau on Tuesday ordered General Electric Co's GE Capital Retail Bank and one of its subsidiaries to refund up to $34.1 million to customers who it said were  misled about healthcare credit cards.,normal
GEB,General Electric Company,20131210,GE unit to reimburse consumers misled over credit cards ,WASHINGTON The U.S. consumer financial watchdog on Tuesday ordered a General Electric Co unit to refund up to $34.1 million to customers who it said were misled about healthcare credit cards.,topStory
GEB,General Electric Company,20131210,UPDATE 1-GE unit to reimburse consumers misled over credit cards ,WASHINGTON  Dec 10 The U.S. consumer financial watchdog on Tuesday ordered a General Electric Co unit to refund up to $34.1 million to customers who it said were misled about healthcare credit cards.,normal
GEB,General Electric Company,20131210,GE unit to refund customers $34 million over deceptive practices ,WASHINGTON  Dec 10 The U.S. consumer bureau on Tuesday ordered General Electric Co's GE Capital Retail Bank and one of its subsidiaries to refund up to $34.1 million to customers who it said were  misled about healthcare credit cards.,normal
GM,General Motors Company,20131210,GM's new president Ammann out to prove he is not a 'bean counter' ,DETROIT General Motor Co's  incoming president has gone to great lengths to prove that while he is the U.S. automaker's chief financial officer  he is not just a "bean counter.",topStory
GM,General Motors Company,20131210,GM's new president Ammann out to prove he is not a 'bean counter' ,DETROIT  Dec 10 General Motor Co's  incoming president has gone to great lengths to prove that while he is the U.S. automaker's chief financial officer  he is not just a "bean counter.",normal
GM,General Motors Company,20131210,GM shakes up auto industry men's club  naming first woman CEO ,DETROIT General Motors Co CEO Dan Akerson will step down next month and be replaced by GM "lifer" and global product chief Mary Barra  a sign that the development of new vehicles will be the paramount focus of the company that emerged from bankruptcy four years ago. | Video ,normal
GM,General Motors Company,20131210,UPDATE 4-GM shakes up auto industry men's club  naming first woman CEO ,* Akerson accelerates exit after wife's cancer diagnosis     * CFO Ammann named president  ex-Cummins CEO named chairman     * Barra will be GM's fifth CEO in less than five years     * Barra's task is to complete turnaround begun under Akerson       By Ben Klayman     DETROIT  Dec 10 General Motors Co CEO Dan Akerson will step down next month and be replaced by GM "lifer" and global product chief Mary Barra  a sign that the development of new vehicles will be the paramount focus of ,normal
GM,General Motors Company,20131210,Wall Street falls after record; Fed remains in focus ,NEW YORK Stocks slipped on Tuesday  a day after a record close on the S&P 500  with traders looking ahead to next week's Federal Reserve meeting in the absence of market-moving economic data.,normal
GM,General Motors Company,20131210,US STOCKS-Wall St slightly lower  S&P retreats from record close ,* Lululemon falls as retailer names new CEO  founder steps down,normal
