AMZN,Amazoncom Inc,20130927,Panic button-equipped Amazon Kindles join gadget battle ,SEATTLE Amazon.com Inc has begun selling faster and lighter versions of its Kindle tablet with a unique video helpdesk feature aimed at giving it a leg-up over Apple Inc and Google Inc during the holiday season.,topStory
EBAY,eBay Inc,20130927,eBay must defend Justice Department suit over recruiting -ruling ,SAN FRANCISCO  Sept 27 A U.S. judge on Friday refused eBay's attempt to dismiss a U.S. Department of Justice lawsuit over an alleged agreement with Intuit to refrain from recruiting each other's employees.,normal
EBAY,eBay Inc,20130927,EBay to buy Braintree to boost PayPal's mobile presence ,Ebay Inc will buy payment gateway Braintree for about $800 million to strengthen its PayPal unit's presence on mobile devices and take out a rapidly growing rival.,normal
EBAYL,eBay Inc,20130927,eBay must face Justice Department suit over recruiting: ruling ,SAN FRANCISCO A U.S. judge on Friday refused eBay's attempt to dismiss a U.S. Department of Justice civil lawsuit over its alleged agreement with Intuit to refrain from recruiting each other's employees.,topStory
EBAYL,eBay Inc,20130927,eBay must defend Justice Department suit over recruiting -ruling ,SAN FRANCISCO  Sept 27 A U.S. judge on Friday refused eBay's attempt to dismiss a U.S. Department of Justice lawsuit over an alleged agreement with Intuit to refrain from recruiting each other's employees.,normal
EBAYL,eBay Inc,20130927,EBay to buy Braintree to boost PayPal's mobile presence ,Ebay Inc will buy payment gateway Braintree for about $800 million to strengthen its PayPal unit's presence on mobile devices and take out a rapidly growing rival.,normal
EA,Electronic Arts Inc,20130927,UPDATE 2-EA settles NCAA student-athlete cases  no game next year ,SAN FRANCISCO  Sept 26 Electronic Arts  said it had reached a settlement with former college football athletes who have accused the company of using their images without permission and would not be making a new game for the popular "NCAA Football" series in 2014.,topStory
FB,Facebook Inc,20130927,Facebook to show users less unwanted ads in newsfeed ,SAN FRANCISCO  Sept 27 Facebook newsfeeds will contain fewer ads for products or services that users are not interested in  Facebook Inc said on Friday  announcing changes in advertising policy.,topStory
FB,Facebook Inc,20130927,Facebook and Twitter too late for China's Internet ,BEIJING Facebook Inc and Twitter face a daunting task in China  if access to their social networks is unblocked  as they would be up against deeply entrenched domestic rivals which cater to local needs and tastes.,normal
KALU,Kaiser Aluminum Corporation,20130927,China shares see small bounce on industrial data  Hong Kong struggles ,* Turnover lackluster before quarter-end  holiday next week,topStory
MSFT,Microsoft Corporation,20130927,CEO Mulally 'focused' on setting Ford's long-term vision -exec ,DETROIT  Sept 27 Ford Motor Co Chief Executive Alan Mulally  a turnaround expert who is being mentioned as a candidate for Microsoft Corp's top job  remains "absolutely focused" on crafting the No. 2 U.S. automaker's long-term strategy  a top executive said on Friday.,topStory
MSFT,Microsoft Corporation,20130927,Ballmer goes out punching at last Microsoft employee meeting ,SEATTLE Microsoft Corp Chief Executive Steve Ballmer took his farewell bow before thousands of applauding employees on Thursday with a typically loud and emotional performance at his last companywide meeting  talking up the software giant's prospects and taking swipes at rivals.,normal
MYL,Mylan NV,20130927,MARKET PULSE-BlackBerry  J.C. Penney  Lumber Liquidators  Nektar ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stock index futures fell on Friday as deadlines loomed for a political agreement in Washington that would keep the U.S. government running and avoid a debt default  with no clear solution in sight. S&P 500 futures fell 8 points  Dow Jones industrial average futures fell 48 points  and Nasdaq 100 fu,normal
NKTR,Nektar Therapeutics,20130927,MARKET PULSE-J.C. Penney  Lumber Liquidators  Nektar  Violin  Enduro ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,topStory
RNWK,RealNetworks Inc,20130927,RealNetworks aims for comeback with new video software ,SAN FRANCISCO RealNetworks Inc  an early warhorse of the internet era that has stumbled in recent years  aims to reverse its fortunes with video software and storage services that enable people to readily share videos among different devices.,topStory
SIRI,Sirius XM Holdings Inc,20130927,Judge tosses lawsuit opposed to Sirius takeover by Liberty Media ,Sept 27 The board of Sirius XM Radio Inc did not breach its duty to shareholders by allowing a takeover by Liberty Media Corp without demanding it pay a premium for the stock  a Delaware judge ruled on Friday.,topStory
SIRI,Sirius XM Holdings Inc,20130927,Sirius considers international expansion  looking at Mexico - CEO ,NEW YORK Sirius XM Radio Inc Chief Executive Jim Meyer sees an opportunity to enter international markets with Internet-based products  a business that could provide a new revenue stream to the company  which is mainly focused on the United States.,normal
CG,The Carlyle Group LP,20130927,Carlyle invests in Dr. Dre's Beats  valuing company at more than $1 billion ,Beats Electronics LLC  a maker of headphones founded by rapper Dr. Dre and music producer Jimmy Iovine  will get a $500 million investment from Carlyle Group   a person familiar with the matter said  valuing the company at more than $1 billion.,topStory
CG,The Carlyle Group LP,20130927,Dr. Dre's Beats Electronics gets investment from Carlyle ,Sept 27 Beats Electronics LLC  founded by U.S. rapper Dr. Dre and music producer Jimmy Iovine  said private equity firm Carlyle Group LP has agreed to make a minority investment in the audio technology company.,normal
TCGP,The Carlyle Group LP,20130927,Carlyle invests in Dr. Dre's Beats  valuing company at more than $1 billion ,Beats Electronics LLC  a maker of headphones founded by rapper Dr. Dre and music producer Jimmy Iovine  will get a $500 million investment from Carlyle Group   a person familiar with the matter said  valuing the company at more than $1 billion.,topStory
TCGP,The Carlyle Group LP,20130927,Dr. Dre's Beats Electronics gets investment from Carlyle ,Sept 27 Beats Electronics LLC  founded by U.S. rapper Dr. Dre and music producer Jimmy Iovine  said private equity firm Carlyle Group LP has agreed to make a minority investment in the audio technology company.,normal
AMOV,America Movil SAB de CV,20130927,Mexico's America Movil may launch KPN offer in October ,MEXICO CITY Mexican phone company America Movil  embroiled in an increasingly complex bid for Dutch telecom KPN  said on Friday that it might go ahead with its formal offer next month.,topStory
AMOV,America Movil SAB de CV,20130927,Mexico's America Movil may launch KPN offer in October ,MEXICO CITY  Sept 27 Mexican phone company America Movil  embroiled in an increasingly complex offer for Dutch telecom KPN  said on Friday it may proceed with its formal offer next month.,normal
AMX,America Movil SAB de CV,20130927,Mexico's America Movil may launch KPN offer in October ,MEXICO CITY Mexican phone company America Movil  embroiled in an increasingly complex bid for Dutch telecom KPN  said on Friday that it might go ahead with its formal offer next month.,topStory
AMX,America Movil SAB de CV,20130927,Mexico's America Movil may launch KPN offer in October ,MEXICO CITY  Sept 27 Mexican phone company America Movil  embroiled in an increasingly complex offer for Dutch telecom KPN  said on Friday it may proceed with its formal offer next month.,normal
BSBR,Banco Santander Brasil SA,20130927,CORRECTED-Banco Santander Brasil to pay $2.73 bln one-off dividend ,(Corrects in first paragraph to remove reference to returning funds to parent which has been suffering losses),topStory
SAN,Banco Santander SA,20130927,EMERGING MARKETS-Brazil stocks firm on Santander unit payout ,* U.S. debt  budget negotiations still worrying investors     * Banks drive gains in Brazil Bovespa  OGX weighs     * Mexico IPC and Chile IPSA each fall 0.24 percent      MEXICO CITY  Sept 27 Brazilian stocks rose slightly on Friday  led higher by the local wing of Spanish bank Santander SA after it announced a one-off dividend paid to Santander Brasil shareholders.     However  ongoing concern over U.S. budget and debt negotiations in Washington continued to worry investors who fea,topStory
SAN,Banco Santander SA,20130927,Santander says Brazil dividend has no impact on group ,MADRID  Sept 27 Spanish bank Santander SA  said on Friday a one-off dividend paid to shareholders in its Brazilian unit would improve profitability at the Latin American division but would not have any impact on the parent company.,normal
BAC,Bank of America Corporation,20130927,Bank of America fraud trial spotlights whistleblower awards ,NEW YORK The former executive who blew the whistle on questionable mortgage lending at Countrywide Financial Inc could reap up to $1.6 million under a law dating from the 1980s savings-and-loan crisis.,topStory
BAC,Bank of America Corporation,20130927,Moelis hires Zhang Xiuping as Asia M&A head ,HONG KONG  Sept 27 Independent investment bank Moelis & Co said on Friday it has appointed former Bank of America Corp executive Zhang Xiuping as its head of M&A for Asia.,normal
BCS,Barclays PLC,20130927,UPDATE 1-I'm buying more Barclays shares  says ousted boss Diamond ,LONDON  Sept 27 Bob Diamond  who was ousted last year as the boss of British bank Barclays Plc  said it has grown stronger since he left and he plans to buy shares in its 6 billion-pound ($9.6 billion) rights issue.,topStory
BCS,Barclays PLC,20130927,Ousted boss Diamond says to buy more Barclays shares ,LONDON  Sept 27 Bob Diamond  who was ousted last year as the boss of British bank Barclays Plc  said the bank has grown stronger  since he left and he plans to buy shares in its 6 billion pound ($9.6 billion) rights issue.,normal
BBL,BHP Billiton plc,20130927,Australian coal miners explore everywhere but home ,* High costs in Australia also push prospectors to look abroad,topStory
BA,Boeing Company (The),20130927,Vietnam Air to buy General Electric engines for 787s ,NEW YORK Vietnam Airlines has agreed to order General Electric  engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,topStory
BA,Boeing Company (The),20130927,UPDATE 2-Vietnam Air to buy General Electric engines for 787s ,NEW YORK  Sept 27 Vietnam Airlines has agreed to order General Electric engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,normal
BA,Boeing Company (The),20130927,VietJet to order Boeing 737s shortly  prime minister says ,NEW YORK  Sept 27 Vietnamese budget airline VietJet is in talks to buy Boeing Co 737 airplanes and the contract should be signed "shortly " the nation's prime minister said on Friday.,normal
BA,Boeing Company (The),20130927,Vietnam Air to buy 19 Boeing 787s  listed over $4 bln -sources ,NEW YORK  Sept 27 Vietnam Airlines has agreed to buy 19 Boeing Co 787 Dreamliners valued at more than $4 billion at list prices  according to people familiar with the matter.,normal
BA,Boeing Company (The),20130927,Norwegian Dreamliner stuck in Bangkok after hydraulic pump fails ,OSLO Norwegian Air Shuttle suffered yet another Boeing Dreamliner breakdown on Friday when a hydraulic pump failed  delaying a flight to Stockholm from Bangkok  a spokesman said on Friday.,normal
BA,Boeing Company (The),20130927,UPDATE 1-Norwegian Dreamliner stuck in Bangkok after hydraulic pump fails ,OSLO  Sept 27 Norwegian Air Shuttle  suffered yet another Boeing Dreamliner breakdown on Friday when a hydraulic pump failed  delaying a flight to Stockholm from Bangkok  a spokesman said on Friday.,normal
BA,Boeing Company (The),20130927,Norwegian suffers new Dreamliner breakdown ,OSLO  Sept 27 Norwegian Air Shuttle  suffered another Boeing Dreamliner breakdown on Friday which delayed a flight from Bangkok to Stockholm  a spokesman said on Friday.,normal
BA,Boeing Company (The),20130927,Japan's Toray targets cheaper carbon fiber market in $584 million Zoltek buy ,Japan's Toray Industries Inc   maker of advanced fibers used in Boeing Co's  787 Dreamliner jet  will buy U.S.-based Zoltek Companies Inc  in a move to tap into the lower end of the growing global market for carbon fibers.,normal
BYD,Boyd Gaming Corporation,20130927,William Boyd tinkers with typecast Bond in new novel "Solo" ,LONDON The women  fast cars and a glamorous London hotel set the scene for the launch of a new James Bond novel on Wednesday that sees 007 set out on a renegade mission in the pursuit of justice.,topStory
BP,BP plc,20130927,Rosneft's Sechin may offer to buy out TNK-BP minorities ,SOCHI/MOSCOW Russian Rosneft's  board will consider the possibility of buying out minority shareholders of TNK-BP Holding   offering a premium and potentially winding up a long-lasting wrangle over how it treats smaller stakeholders.,topStory
BP,BP plc,20130927,BP battles for billions in new Gulf trial phase ,HOUSTON/LONDON BP will battle to hold down fines that could hit $18 billion in a new phase of the Gulf of Mexico trial that will rule on how much oil it spilled in 2010 and judge its efforts to plug its well.,normal
BP,BP plc,20130927,Pay up or dry up - Egyptian gas at a crossroads ,LONDON An offshore gas find in the Nile Delta is strong new evidence that Egypt has the resources to end power cuts and get export income flowing again. Its challenge is to persuade wary international oil companies to develop them.,normal
BP,BP plc,20130927,BP faces pressure over Algeria gas plant attack ,LONDON Some foreign workers at an Algerian desert gas plant feared for their safety well before Islamist militants killed dozens at the site  and relatives and survivors want joint operator BP to investigate its own security record.,normal
BP,BP plc,20130927,RPT-BP faces pressure over Algeria gas plant attack ,* Relatives of workers killed ask BP to investigate security,normal
BMY,Bristol-Myers Squibb Company,20130927,Bristol-Myers melanoma drug boosts survival for 22 pct of patients ,Sept 27 Yervoy  the melanoma drug sold by Bristol-Myers Squibb Co  improves survival for around 22 percent of patients  according pooled results from 12 clinical trials to be presented by the company at a European conference this weekend.,topStory
CEO,CNOOC Limited,20130927,ASIA CREDIT CLOSE: CNOOC's offering lifts the market ,SINGAPORE  Sept 27 (IFR) - Asian credit markets ended the week on a bullish note  helped by the strong performance of new bonds issued by CNOOC.,topStory
EVR,Evercore Inc,20130927,DEALTALK-How Jack Ma can keep a tight grip on Alibaba after an IPO ,NEW YORK/SAN FRANCISCO  Sept 26 Alibaba Group Holding Ltd founder Jack Ma wants to keep a tight grip on the Chinese e-commerce company he founded even after he takes it public  and U.S. law gives him several ways to do so.,normal
XOM,Exxon Mobil Corporation,20130927,In big shift  Exxon to provide same-sex marriage benefits ,HOUSTON Exxon Mobil Corp said on Friday it will extend benefits to spouses of its U.S. workers in same-sex marriages  a sweeping reversal by one of the world's top companies following a landmark Supreme Court ruling in June.,topStory
XOM,Exxon Mobil Corporation,20130927,Exxon to start maintenance at Singapore petchem plant on Sep 28 ,SINGAPORE  Sept 27 Exxon Mobil Corp will shut some of its operating units at its Singapore Chemical Plant (SCP) for a planned maintenance on Sept. 28  the company said in a statement on Friday.,normal
F,Ford Motor Company,20130927,CEO Mulally 'focused' on setting Ford's long-term vision: executive ,DETROIT Ford Motor Co  Chief Executive Alan Mulally  a turnaround expert who is being mentioned as a candidate for Microsoft Corp's  top job  remains "absolutely focused" on crafting the No. 2 U.S. automaker's long-term strategy  a top executive said on Friday.,topStory
F,Ford Motor Company,20130927,CEO Mulally 'focused' on setting Ford's long-term vision -exec ,DETROIT  Sept 27 Ford Motor Co Chief Executive Alan Mulally  a turnaround expert who is being mentioned as a candidate for Microsoft Corp's top job  remains "absolutely focused" on crafting the No. 2 U.S. automaker's long-term strategy  a top executive said on Friday.,normal
GEH,General Electric Capital Corporation,20130927,Vietnam Air to buy General Electric engines for 787s ,NEW YORK Vietnam Airlines has agreed to order General Electric  engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,topStory
GEH,General Electric Capital Corporation,20130927,UPDATE 2-Vietnam Air to buy General Electric engines for 787s ,NEW YORK  Sept 27 Vietnam Airlines has agreed to order General Electric engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,normal
GEH,General Electric Capital Corporation,20130927,Vietnam Air to buy 19 Boeing 787s  listed over $4 bln -sources ,NEW YORK  Sept 27 Vietnam Airlines has agreed to buy 19 Boeing Co 787 Dreamliners valued at more than $4 billion at list prices  according to people familiar with the matter.,normal
GEK,General Electric Capital Corporation,20130927,Vietnam Air to buy General Electric engines for 787s ,NEW YORK Vietnam Airlines has agreed to order General Electric  engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,topStory
GEK,General Electric Capital Corporation,20130927,UPDATE 2-Vietnam Air to buy General Electric engines for 787s ,NEW YORK  Sept 27 Vietnam Airlines has agreed to order General Electric engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,normal
GEK,General Electric Capital Corporation,20130927,Vietnam Air to buy 19 Boeing 787s  listed over $4 bln -sources ,NEW YORK  Sept 27 Vietnam Airlines has agreed to buy 19 Boeing Co 787 Dreamliners valued at more than $4 billion at list prices  according to people familiar with the matter.,normal
GE,General Electric Company,20130927,Vietnam Air to buy General Electric engines for 787s ,NEW YORK Vietnam Airlines has agreed to order General Electric  engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,topStory
GE,General Electric Company,20130927,UPDATE 2-Vietnam Air to buy General Electric engines for 787s ,NEW YORK  Sept 27 Vietnam Airlines has agreed to order General Electric engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,normal
GE,General Electric Company,20130927,Vietnam Air to buy 19 Boeing 787s  listed over $4 bln -sources ,NEW YORK  Sept 27 Vietnam Airlines has agreed to buy 19 Boeing Co 787 Dreamliners valued at more than $4 billion at list prices  according to people familiar with the matter.,normal
GEB,General Electric Company,20130927,Vietnam Air to buy General Electric engines for 787s ,NEW YORK Vietnam Airlines has agreed to order General Electric  engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,topStory
GEB,General Electric Company,20130927,UPDATE 2-Vietnam Air to buy General Electric engines for 787s ,NEW YORK  Sept 27 Vietnam Airlines has agreed to order General Electric engines to power its Boeing Co  787 Dreamliners  according to Vietnamese government officials.,normal
GEB,General Electric Company,20130927,Vietnam Air to buy 19 Boeing 787s  listed over $4 bln -sources ,NEW YORK  Sept 27 Vietnam Airlines has agreed to buy 19 Boeing Co 787 Dreamliners valued at more than $4 billion at list prices  according to people familiar with the matter.,normal
GM,General Motors Company,20130927,GM won't tackle pension talks with UAW until 2015: executive ,NEW YORK General Motors Co  will wait until its next round of labor talks in 2015 before negotiating with the United Auto Workers about the automaker's U.S. blue-collar pension obligation  GM's vice chairman said on Friday. | Video ,topStory
GM,General Motors Company,20130927,GM won't tackle pension talks with UAW until 2015-exec ,NEW YORK  Sept 27 General Motors Co will wait until its next round of labor talks in 2015 before negotiating with the United Auto Workers about the automaker's U.S. blue-collar pension obligation  GM's vice chairman said on Friday.,normal
GM,General Motors Company,20130927,Possible China partner for Peugeot no worry for GM ,NEW YORK General Motors Co   which has been seeking to fix its ailing European operations  believes a crucial partnership in France would survive even if the French partner ties up with China's Dongfeng Motor Group Co Ltd   a top GM executive said on Friday. | Video ,normal
GM,General Motors Company,20130927,GM impresses market with USD4.5bn bond deal ,* USD25bn of orders flood in as GM heads back to high grade,normal
GS,Goldman Sachs Group Inc (The),20130927,Goldman Sachs close to buying stake in Denmark's DONG Energy: paper ,COPENHAGEN Goldman Sachs'  private equity unit is close to buying a stake in Denmark's oil and gas group DONG Energy   Danish business daily Borsen reported on Friday.,topStory
GS,Goldman Sachs Group Inc (The),20130927,Goldman Sachs close to buying stake in Denmark's DONG Energy -paper ,COPENHAGEN  Sept 27 Goldman Sachs'  private equity unit is close to buying a stake in Denmark's oil and gas group DONG Energy  Danish business daily Borsen reported on Friday.,normal
GS,Goldman Sachs Group Inc (The),20130927,STOCKS NEWS EUROPE-Goldman upgrade boosts Adecco -traders ,Swiss staffing company Adecco rises to feature as one of Europe's best-performing blue-chip stocks  which traders attribute to investment bank Goldman Sachs' move to upgrade its rating on the group to "buy" from "neutral.",normal
HON,Honeywell International Inc,20130927,CEOs take familiar  frustrating path to Washington on budget woes ,Some of America's leading CEOs are beating a familiar path to Washington to support a stopgap bill to raise the U.S. borrowing limit and avert a government shutdown  warning lawmakers that the specter of the first debt default in the country's history and a credit downgrade is damaging the economy.,topStory
JCP,JC Penney Company Inc Holding Company,20130927,Penney stock plunges on share sale  lower cash forecast ,J.C. Penney Co Inc's  decision to shore up its cash reserves by issuing almost $1 billion in new shares sent its stock tumbling more than 13 percent Friday.,topStory
JCP,JC Penney Company Inc Holding Company,20130927,UPDATE 6-Penney stock plunges on share sale  lower cash forecast ,Sept 27 J.C. Penney Co Inc's decision to shore up its cash reserves by issuing almost $1 billion in new shares sent its stock tumbling more than 13 percent Friday.,normal
JCP,JC Penney Company Inc Holding Company,20130927,US STOCKS-Wall St falls as U.S. government faces possible shutdown ,NEW YORK  Sept 27 U.S. stocks declined on Friday and the S&P 500 and Dow posted their first weekly drop in four  as Democrat and Republican lawmakers struggled to agree on an emergency funding bill to avert a U.S. government shutdown days away.,normal
JCP,JC Penney Company Inc Holding Company,20130927,US STOCKS-Wall Street falls as federal budget deadline draws near ,NEW YORK  Sept 27 U.S. stocks declined on Friday  putting the S&P 500 and Dow on track for their first weekly drop in four  as congressional Democrats and Republicans struggled to pass a federal budget to avert a government shutdown days away.,normal
JCP,JC Penney Company Inc Holding Company,20130927,MARKET PULSE-J.C. Penney  United Continental  Arqule  Yahoo ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,normal
JCP,JC Penney Company Inc Holding Company,20130927,US STOCKS-Wall St falls as Washington deadline draws closer ,* Indexes off: Dow 0.48 pct  S&P 0.37 pct  Nasdaq 0.02 pct,normal
JCP,JC Penney Company Inc Holding Company,20130927,MARKET PULSE-J.C. Penney  United Continental  Arqule  Yahoo ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,normal
JCP,JC Penney Company Inc Holding Company,20130927,US STOCKS-Looming Washington debt deadlines drag Wall St lower ,NEW YORK  Sept 27 U.S. stocks fell on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by lawmakers in Washington.,normal
JCP,JC Penney Company Inc Holding Company,20130927,MARKET PULSE-J.C. Penney  Lumber Liquidators  Nektar  Violin  Enduro ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,normal
JCP,JC Penney Company Inc Holding Company,20130927,MARKET PULSE-BlackBerry  J.C. Penney  Lumber Liquidators  Nektar ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stock index futures fell on Friday as deadlines loomed for a political agreement in Washington that would keep the U.S. government running and avoid a debt default  with no clear solution in sight. S&P 500 futures fell 8 points  Dow Jones industrial average futures fell 48 points  and Nasdaq 100 fu,normal
JBL,Jabil Inc,20130927,UPDATE 3-BlackBerry confirms deep loss and revenue drop ,TORONTO  Sept 27 BlackBerry Ltd   reported a quarterly loss of nearly $1 billion on Friday  in line with a warning it gave last week  just days after the smartphone maker accepted its largest shareholder's tentative $4.7 billion bid to take it private.,normal
JBL,Jabil Inc,20130927,REFILE-UPDATE 2-BlackBerry reports deep loss  revenue drop  as warned ,TORONTO  Sept 27 BlackBerry Ltd   reported a quarterly loss of nearly $1 billion on Friday  in line with last week's warning  days after accepting its largest shareholder's tentative $4.7 billion bid to take it out of the public eye.,normal
KKR,KKR & Co LP,20130927,KKR to buy Panasonic's healthcare unit in $1.67 billion deal ,U.S. private equity firm KKR & Co  said it will initially pay about 165 billion yen ($1.67 billion) for Panasonic Corp's  healthcare unit  in what could be the largest buyout deal in Asia year to date.,topStory
KKR,KKR & Co LP,20130927,UPDATE 1-KKR to buy Panasonic's healthcare unit in $1.67 bln deal ,Sept 27 U.S. private equity firm KKR & Co  said it will initially pay about 165 billion yen ($1.67 billion) for Panasonic Corp's healthcare unit  in what could be the largest buyout deal in Asia year to date.,normal
KKR,KKR & Co LP,20130927,CORRECTED-KKR to buy Panasonic Healthcare in $1.67 bln deal ,(Corrects headline and first paragraph to clarify KKR is not paying $1.67 bln for an 80 pct stake),normal
KKR,KKR & Co LP,20130927,UPDATE 1-Market Chatter-Corporate finance press digest ,Sept 27 The following corporate finance-related stories were reported by media on Friday:,normal
KKR,KKR & Co LP,20130927,Market Chatter- Corporate finance press digest ,Sept 27 The following corporate finance-related stories were reported by media on Friday:,normal
LMT,Lockheed Martin Corporation,20130927,Pentagon finalizes $7.8 billion in F-35 contracts with Lockheed ,WASHINGTON The Pentagon on Friday said it had finalized two contracts with Lockheed Martin Corp  valued at $7.8 billion for 71 more F-35 fighter jets  citing what it called significant reductions in the cost of the new radar-evading warplane.,topStory
LMT,Lockheed Martin Corporation,20130927,UPDATE 1-Pentagon finalizes $7.8 bln in F-35 contracts with Lockheed ,WASHINGTON  Sept 27 The Pentagon on Friday said it had finalized two contracts with Lockheed Martin Corp  valued at $7.8 billion for 71 more F-35 fighter jets  citing what it called significant reductions in the cost of the new radar-evading warplane.,normal
