AMZN,Amazoncom Inc,20130708,UPDATE 2-Barnes & Noble CEO resigns after Nook sales slump ,NEW YORK  July 8 Barnes & Noble Inc  Chief Executive William Lynch resigned on Monday after he led a failed attempt by the U.S. bookstore chain to compete against the likes of Amazon.com Inc  Apple Inc and Google Inc in the e-reader and tablet markets.,topStory
BP,BP plc,20130708,UK energy firms pull 160 expatriate staff out of Egypt ,LONDON  July 8 Spreading unrest in Egypt has led British energy firms BG Group and BP to pull 160 expatriate staff out of the country.,normal
C,Citigroup Inc,20130708,MOVES-BofA Merrill  Citi  UBS  Alternative Investment Group ,July 8 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20130708,Jones Group hires Citi to explore sale of company: sources ,Jones Group Inc   the fashion company that owns retail chains Nine West and Jones New York  has hired Citigroup Inc  to explore a potential sale of the company  according to three sources familiar with the matter.,normal
C,Citigroup Inc,20130708,UPDATE 2-Jones Group hires Citi to explore sale of company -sources ,(Adds company comment paragraph 3  updates share price paragraph 5),normal
C,Citigroup Inc,20130708,Citi names two new board members ,Citigroup Inc  added two directors on Monday as Chairman Mike O'Neill moved to provide the board with more experience in corporate information systems and auditing.,normal
C,Citigroup Inc,20130708,UPDATE 1-Citi names two new board members ,July 8 Citigroup Inc added two directors on Monday as Chairman Mike O'Neill moved to provide the board with more experience in corporate information systems and auditing.,normal
C,Citigroup Inc,20130708,Dubai could raise $1 billion from telecoms stake sales: J.P. Morgan ,DUBAI Dubai Holding could raise almost $1 billion from the sale of its minority stakes in two telecoms firms  J.P. Morgan  said in a research note  part of a strategy by state-linked companies to sell assets to repay the emirate's debt pile.,normal
CODI,Compass Diversified Holdings,20130708,Auto parts maker Fox Factory files for IPO of up to $120 mln ,July 8 Auto parts maker Fox Factory Holdings Inc  backed by investment firm Compass Diversified Holdings   filed with the U.S. Securities and Exchange Commission to raise up to $120 million in an initial public offering of common stock.,topStory
DB,Deutsche Bank AG,20130708,Deutsche Bank hires Goldman's Tan to cover SE Asia clients-source ,HONG KONG  July 8 Deutsche Bank has hired former Goldman Sachs managing director Boon Kee Tan to be its head of client coverage for Southeast Asia  a source familiar with the matter told Reuters on Monday.,topStory
LLY,Eli Lilly and Company,20130708,Lilly CEO returns to work after surgery ,July 8 Eli Lilly and Co said Chief Executive John Lechleiter returned to work after recovering from a surgery to treat a dilated aorta.,topStory
FE,FirstEnergy Corporation,20130708,FirstEnergy sees Ohio Davis-Besse nuclear reactor back soon ,July 8 FirstEnergy Corp said Monday it expects the 894-megawatt Davis-Besse nuclear power plant to return to service this week.,topStory
GFA,Gafisa SA,20130708,STXNEWS LATAM-Citigroup cuts rating on Brazil's MRV and PDG; ups Cyrela ,Citigroup analysts led by Paola Mello cut their recommendation on shares of Brazilian homebuilder MRV Engenharia e Participacoes SA to "neutral" from "buy" while lowering their outlook for shares of rival PDG Realty SA  to "sell" from "neutral" on Monday  pointing to a weaker macroeconomic outlook for Brazil.,topStory
GEH,General Electric Capital Corporation,20130708,General Electric expects to miss German growth target ,FRANKFURT General Electric Co  will miss its growth target for its German business after Europe's biggest economy suffered a slump in industrial orders last year  the U.S. conglomerate's European head said.,topStory
GEH,General Electric Capital Corporation,20130708,General Electric expects to miss German growth target ,FRANKFURT  July 8 General Electric Co  will miss its growth target for its German business after Europe's biggest economy suffered a slump in industrial orders last year  the U.S. conglomerate's European head said.,normal
GEK,General Electric Capital Corporation,20130708,General Electric expects to miss German growth target ,FRANKFURT General Electric Co  will miss its growth target for its German business after Europe's biggest economy suffered a slump in industrial orders last year  the U.S. conglomerate's European head said.,topStory
GEK,General Electric Capital Corporation,20130708,General Electric expects to miss German growth target ,FRANKFURT  July 8 General Electric Co  will miss its growth target for its German business after Europe's biggest economy suffered a slump in industrial orders last year  the U.S. conglomerate's European head said.,normal
GE,General Electric Company,20130708,General Electric expects to miss German growth target ,FRANKFURT General Electric Co  will miss its growth target for its German business after Europe's biggest economy suffered a slump in industrial orders last year  the U.S. conglomerate's European head said.,topStory
GE,General Electric Company,20130708,General Electric expects to miss German growth target ,FRANKFURT  July 8 General Electric Co  will miss its growth target for its German business after Europe's biggest economy suffered a slump in industrial orders last year  the U.S. conglomerate's European head said.,normal
GEB,General Electric Company,20130708,General Electric expects to miss German growth target ,FRANKFURT General Electric Co  will miss its growth target for its German business after Europe's biggest economy suffered a slump in industrial orders last year  the U.S. conglomerate's European head said.,topStory
GEB,General Electric Company,20130708,General Electric expects to miss German growth target ,FRANKFURT  July 8 General Electric Co  will miss its growth target for its German business after Europe's biggest economy suffered a slump in industrial orders last year  the U.S. conglomerate's European head said.,normal
GSK,GlaxoSmithKline PLC,20130708,GSK examines Botox sales tactics used in China ,SHANGHAI/LONDON GlaxoSmithKline said on Monday it was investigating new allegations that its staff had used improper tactics to market Botox in China  but had so far found no evidence of bribery or corruption.,topStory
GSK,GlaxoSmithKline PLC,20130708,UPDATE 1-GSK examines Botox sales tactics used in China ,* GSK says inquiries so far show no evidence of wrongdoing,normal
GSK,GlaxoSmithKline PLC,20130708,New bribery allegations hit GSK in China - WSJ ,SHANGHAI  July 8 China-based staff of GlaxoSmithKline Plc allegedly handed doctors with cash and other rewards for prescribing Botox  according to the Wall Street Journal  in the latest scandal to hit the British drugmaker which is under investigation by Chinese police for economic crimes.,normal
GS,Goldman Sachs Group Inc (The),20130708,Deutsche Bank hires Goldman's Tan to cover SE Asia clients-source ,HONG KONG  July 8 Deutsche Bank has hired former Goldman Sachs managing director Boon Kee Tan to be its head of client coverage for Southeast Asia  a source familiar with the matter told Reuters on Monday.,topStory
GS,Goldman Sachs Group Inc (The),20130708,Bank of America hires Cheng as Asia ex-Japan TMT head ,HONG KONG  July 8 Bank of America Merrill Lynch  has hired Winston Cheng from Goldman Sachs as Asia ex-Japan head of its technology  media and telecommunications (TMT) banking group  according to a memo seen by Reuters on Monday.,normal
ASR,Grupo Aeroportuario del Sureste SA de CV,20130708,UPDATE 1-Mexican airport operator relaunches stock offering ,MEXICO CITY  July 8 Mexican airport operator Grupo Aeroportuario del Centro Norte (OMA)  a subsidiary of debt-laden construction company ICA  said on Monday it is relaunching a trimmed-back version of a stock offering it postponed in June because of market volatility.,topStory
HSBC,HSBC Holdings plc,20130708,HSBC names new head of commercial banking ,LONDON  July 8 HSBC Holdings said Simon Cooper will take over as head of its commercial banking arm in October in one of a batch of senior management changes unveiled on Monday.,topStory
HSEA,HSBC Holdings plc,20130708,HSBC names new head of commercial banking ,LONDON  July 8 HSBC Holdings said Simon Cooper will take over as head of its commercial banking arm in October in one of a batch of senior management changes unveiled on Monday.,topStory
HSEB,HSBC Holdings plc,20130708,HSBC names new head of commercial banking ,LONDON  July 8 HSBC Holdings said Simon Cooper will take over as head of its commercial banking arm in October in one of a batch of senior management changes unveiled on Monday.,topStory
LYG,Lloyds Banking Group Plc,20130708,Lloyds shares hit two-year high on overseas buyers' interest ,LONDON Lloyds Banking Group  shares jumped to a 2-1/2 year high on Monday as overseas investors stepped up their interest in buying part of the bank  with media reports suggesting some may want half the government's stake.,topStory
LYG,Lloyds Banking Group Plc,20130708,Banks lead UK FTSE higher on Lloyds bid speculation ,* Lloyds rises on reports of overseas interest  RBS also climbs,normal
LYG,Lloyds Banking Group Plc,20130708,UPDATE 1-UK Stocks-Factors to watch on Monday  July 8 ,LONDON  July 8 Britain's FTSE 100 index is seen opening around 62 to 65 points higher  or up 1 percent  on Monday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
LMT,Lockheed Martin Corporation,20130708,UPDATE 1-Furloughs to curtail F-35 flight testing -US Navy official ,WASHINGTON  July 8 Flight testing of Lockheed Martin Corp's new F-35 fighter jet will fall short of planned totals for the year due to budget cuts that will keep the Pentagon's civilian workers off their jobs for 11 days  a top U.S. Navy official told Reuters on Monday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20130708,EMERGING MARKETS-Brazil stocks choppy as Petrobras gains offset PDG losses ,* Market holiday on Tuesday fuels volatility     * Brazil central bank to announce interest rate decision Wednesday     * Brazil Bovespa falls 0.13 pct  Mexico IPC down 0.18 pct      By Lucas Iberico-Lozada     SAO PAULO  July 8Brazilian stocks swung widely on Monday as gains from state-run oil producer Petrobras offset losses from homebuilders  banks and commodities firms.     Mexico's IPC index edged lower following its worst loss in over two weeks on Friday  while Chile's bourse  ,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20130708,UPDATE 1-NORDIC STOCKS - Factors to watch on July 8 ,HELSINKI  July 8 The following stocks may be affected by newspaper reports and other factors on Monday:,normal
S,Sprint Corporation,20130708,UPDATE 2-Clearwire shareholders vote for Sprint takeover ,BELLEVUE  Wash.  July 8 Shareholders in Clearwire Corp voted on Monday to approve majority owner Sprint Nextel Corp's buyout of the rest of the company  ending a six-month battle for control of the small U.S. wireless operator.,topStory
S,Sprint Corporation,20130708,Clearwire shareholders vote for Sprint takeover ,BELLEVUE  Wash.  July 8 Shareholders in Clearwire Corp voted on Monday to approve majority owner Sprint Nextel Corp's buyout of the rest of the company  finally ending a massive battle for control of the small U.S. wireless operator.,normal
S,Sprint Corporation,20130708,Japan's SoftBank says expects to complete Sprint deal on July 10 ,TOKYO Japan's SoftBank Corp said on Monday that it expects to complete its $21.6 billion acquisition of U.S. wireless carrier Sprint Nextel Corp on Wednesday  July 10.,normal
S,Sprint Corporation,20130708,Japan's SoftBank says expects to complete Sprint deal on July 10 ,TOKYO  July 8 Japan's SoftBank Corp  said on Monday that it expects to complete its $21.6 billion acquisition of U.S. wireless carrier Sprint Nextel Corp on Wednesday  July 10.,normal
S,Sprint Corporation,20130708,S&P downgrades SoftBank to 'junk' status  shares slide ,TOKYO Standard & Poor's cut SoftBank Corp's  debt rating two notches to "junk" grade  citing financial risks from its $21.6 billion purchase of U.S. wireless carrier Sprint Nextel Corp  and Sprint's proposed buyout of Clearwire Corp .,normal
SUI,Sun Communities Inc,20130708,Two more journalists from Murdoch's UK titles to be charged ,LONDON The head of news at Rupert Murdoch's British Sun tabloid is to be charged with authorizing illegal payments to police and army officials  prosecutors said on Monday  the latest senior figure from the media mogul's newspapers to face criminal charges.,topStory
TGT,Target Corporation,20130708,Target Stores co-founder dies at 88 ,Douglas Dayton  the man who helped start Target Corp  as a family-owned department store in 1961 and turned it into one of the largest discount retail chains in the United States  has died at the age of 88.,topStory
TI,Telecom Italia SPA,20130708,Brazil to probe local telecom operators over alleged U.S. spying ,RIO DE JANEIRO Brazil's telecommunications agency said on Monday it would investigate whether local operators had violated customer privacy rules in alleged surveillance of Brazilian telecommunications data by U.S. spy agencies.,topStory
TI,Telecom Italia SPA,20130708,UPDATE 1-Brazil to probe local telecom operators over alleged U.S. spying ,* Telecom regulator investigating if privacy laws violated,normal
TI,Telecom Italia SPA,20130708,Brazil to probe local telecom operators over alleged U.S. spying ,RIO DE JANEIRO Brazil's telecommunications agency said on Monday it would investigate whether local operators had violated customer privacy rules in alleged surveillance of Brazilian telecommunications data by U.S. spy agencies.,normal
TI,Telecom Italia SPA,20130708,Brazil to probe local telecom operators over alleged U.S. spying ,* Telecom regulator investigating if privacy laws violated,normal
VZ,Verizon Communications Inc,20130708,U.S. Supreme Court asked to review leaked Verizon ruling ,WASHINGTON  July 8 A civil liberties group is taking the unusual step of asking the U.S. Supreme Court to review a ruling by a secretive intelligence court that authorized government access to millions of Verizon Communications Inc phone call records,topStory
VZA,Verizon Communications Inc,20130708,U.S. Supreme Court asked to review leaked Verizon ruling ,WASHINGTON  July 8 A civil liberties group is taking the unusual step of asking the U.S. Supreme Court to review a ruling by a secretive intelligence court that authorized government access to millions of Verizon Communications Inc phone call records,topStory
INT,World Fuel Services Corporation,20130708,UPDATE 1-Train in Quebec wreck carried crude sold by World Fuel Services ,July 8 World Fuel Services Corp said on Monday crude oil sold by one of its subsidiaries was being carried by railcars involved in the deadly train derailment in Lac-Megantic  Quebec over the weekend.,topStory
