CAR,Avis Budget Group Inc,20131230,Hertz adopts shareholder rights plan ,Dec 30 Hertz Global Holdings Inc  the No. 2 U.S. car rental company  said it adopted a shareholder rights plan as it had observed "unusual and substantial activity" in its shares.,normal
BH,Biglari Holdings Inc,20131230,Cracker Barrel rejects top shareholder Biglari's call for sale ,Dec 30 Restaurant chain Cracker Barrel Old Country Store Inc has rejected activist investor and top shareholder Sardar Biglari's demand to sell itself.,topStory
BA,Boeing Company (The),20131230,Boeing wins deal worth up to $750 million for B-1 bomber work ,WASHINGTON Boeing Co  has won a contract valued at up to $750 million over five years for continued work on the U.S. Air Force's fleet of B-1 bombers  the Pentagon announced on Monday.,topStory
BA,Boeing Company (The),20131230,Boeing wins deal worth up to $750 mln for B-1 bomber work ,WASHINGTON  Dec 30 Boeing Co has won a contract valued at up to $750 million over five years for continued work on the U.S. Air Force's fleet of B-1 bombers  the Pentagon announced on Monday.,normal
BP,BP plc,20131230,Rosneft says to sell BP $2.87 bln worth of oil products ,MOSCOW  Dec 30 Russia's top crude producer Rosneft said in a filing on Monday its board had approved a deal to sell up to 3.2 million tonnes of oil products to BP from a number of Black Sea ports for up to $2.87 billion.,topStory
CTB,Cooper Tire & Rubber Company,20131230,US STOCKS-Wall St closes mostly flat  but Dow hits record ,* Rise in November pending home sales weaker than expected,topStory
CTB,Cooper Tire & Rubber Company,20131230,Cooper Tire terminates $2.5 billion sale to India's Apollo ,MUMBAI U.S.-based Cooper Tire & Rubber Co  said it was terminating a proposed $2.5 billion sale to Apollo Tyres Ltd   with both sides threatening legal action over a deal plagued by obstacles from the start.,normal
CTB,Cooper Tire & Rubber Company,20131230,CORRECTED-UPDATE 3-Cooper Tire terminates $2.5 bln sale to India's Apollo ,(Corrects paragraphs 6 and 22 to attribute the quotes to CFO Bradley Hughes  not CEO Roy Armes),normal
CTB,Cooper Tire & Rubber Company,20131230,US STOCKS-Wall St trades flat; housing data falls short ,* Rise in November pending home sales weaker than expected,normal
CTB,Cooper Tire & Rubber Company,20131230,US STOCKS-Wall St flat  housing data falls short ,* Rise in Nov.'s pending home contracts weaker than expected,normal
CTB,Cooper Tire & Rubber Company,20131230,US STOCKS-Wall St set for flat open; home sales data due ,* Futures: Dow up 8 pts  S&P up 0.5 pt  Nasdaq off 2.5 pts,normal
CTB,Cooper Tire & Rubber Company,20131230,US STOCKS-Futures little changed; home sales data on tap ,* Futures: Dow up 13 pts  S&P up 1.2 pts  Nasdaq off 0.5 pt,normal
CTB,Cooper Tire & Rubber Company,20131230,BRIEF-Cooper Tire & Rubber down 6.6 percent premarket after Apollo merger terminated ,NEW YORK  Dec 30 Cooper Tire & Rubber Co :  * Down 6.6 percent to $21.45 in premarket after Apollo Tyres merger terminated,normal
CTB,Cooper Tire & Rubber Company,20131230,Cooper Tire terminates $2.5 billion sale agreement with India's Apollo ,MUMBAI/BANGALORE Cooper Tire & Rubber Co  said on Monday it was terminating a proposed $2.5 billion sale to Apollo Tyres Ltd   saying the Indian tyre maker had failed to find financing for the transaction.,normal
DUK,Duke Energy Corporation,20131230,U.S. cracks open skies to testing  use of aerial drones ,NEW YORK The U.S. aviation regulator took a step toward opening the skies to aerial drones on Monday  authorizing six sites where unmanned aircraft can be tested for a variety of uses.,topStory
DUKH,Duke Energy Corporation,20131230,U.S. cracks open skies to testing  use of aerial drones ,NEW YORK The U.S. aviation regulator took a step toward opening the skies to aerial drones on Monday  authorizing six sites where unmanned aircraft can be tested for a variety of uses.,topStory
FDX,FedEx Corporation,20131230,NYC sues FedEx for illegally shipping cigarettes to homes ,NEW YORK New York City has sued FedEx Corp  accusing it of illegally delivering millions of contraband cigarettes to people's homes and seeking $52 million in fines and unpaid taxes.,topStory
FDX,FedEx Corporation,20131230,UPDATE 1-NYC sues FedEx for illegally shipping cigarettes to homes ,NEW YORK  Dec 30 New York City has sued FedEx Corp  accusing it of illegally delivering millions of contraband cigarettes to people's homes and seeking $52 million in fines and unpaid taxes.,normal
FDX,FedEx Corporation,20131230,NYC sues FedEx for illegally shipping cigarettes to homes ,NEW YORK  Dec 30 New York City has sued FedEx Corp  accusing the package delivery company of illegally delivering millions of contraband cigarettes to people's homes  violating a 2006 settlement.,normal
FDX,FedEx Corporation,20131230,NYC sues FedEx for illegally shipping cigarettes to homes ,NEW YORK  Dec 30 New York City has sued FedEx Corp  accusing the package delivery company of illegally delivering millions of contraband cigarettes to people's homes  violating a 2006 settlement.,normal
F,Ford Motor Company,20131230,U.S. December auto sales seen up 4 percent ,DETROIT  Dec 30 December U.S. auto sales  spurred by end-of-the-year bargains  likely rose about 4 percent from a year earlier  industry analysts said.,normal
GM,General Motors Company,20131230,U.S. December auto sales seen up 4 percent ,DETROIT  Dec 30 December U.S. auto sales  spurred by end-of-the-year bargains  likely rose about 4 percent from a year earlier  industry analysts said.,normal
HTZ,Hertz Global Holdings Inc,20131230,Hertz adopts shareholder rights plan ,Hertz Global Holdings Inc   the No. 2 U.S. car rental company  said it adopted a shareholder rights plan as it had observed "unusual and substantial activity" in its shares.,topStory
HTZ,Hertz Global Holdings Inc,20131230,Hertz adopts shareholder rights plan ,Dec 30 Hertz Global Holdings Inc  the No. 2 U.S. car rental company  said it adopted a shareholder rights plan as it had observed "unusual and substantial activity" in its shares.,normal
HTZ,Hertz Global Holdings Inc,20131230,BRIEF-Hertz shares up 3.2 percent in extended trading ,NEW YORK  Dec 30 Hertz Global Holdings Inc :  * Shares up 3.2 percent in extended trading,normal
KKR,KKR & Co LP,20131230,KKR reports stake in chipmaker Marvell ,Private equity firm KKR & Co LLP has reported a 6.8 percent stake in chipmaker Marvell Technology Group Ltd  according to a regulatory filing.,topStory
KKR,KKR & Co LP,20131230,KKR reports stake in chipmaker Marvell ,Dec 30 Private equity firm KKR & Co LLP  has reported a 6.8 percent stake in chipmaker Marvell Technology Group Ltd  according to a regulatory filing.,normal
LYG,Lloyds Banking Group Plc,20131230,UK government could sell off Lloyds bank stake in 2014 -Telegraph ,Dec 30 The British government could sell off all of its 18.4 billion pound stake in the Lloyds banking group  in 2014  the Daily Telegraph reported  citing unnamed sources.,topStory
MDR,McDermott International Inc,20131230,Creighton 90  Chicago State 58 ,(Updated: CHANGES to 16 of McDermott's 24 points in Para 1 CHANGES Chicago State surge to 14-3 in Para 4),topStory
MCD,McDonald&#39;s Corporation,20131230,Islanders rally to defeat Wild ,SAINT PAUL  Minn. -- New York Islanders right winger Kyle Okposo didn't make it home for Christmas  but his pre-New Years' visit to his hometown went better than he might have hoped.,topStory
MTL,Mechel PAO,20131230,Russia's Mechel board to consider CEO resignation ,MOSCOW  Dec 30 The board of loss-making Russian coal miner and steelmaker Mechel will discuss the early resignation of the company's chief executive at a meeting on Monday  Mechel said in a regulatory statement.,topStory
MRK,Merck & Company Inc,20131230,Special Report: Lost hooves  dead cattle before Merck halted Zilmax sales ,WALLA WALLA COUNTY  WASHINGTON The U.S. beef industry's dependence on the muscle-building drug Zilmax began unraveling here  on a sweltering summer day  in the dusty cattle pens outside a Tyson Foods Inc slaughterhouse in southeastern Washington state.,topStory
MRK,Merck & Company Inc,20131230,SPECIAL REPORT-Lost hooves  dead cattle before Merck halted Zilmax sales ,WALLA WALLA COUNTY  WASHINGTON  Dec 30 The U.S. beef industry's dependence on the muscle-building drug Zilmax began unraveling here  on a sweltering summer day  in the dusty cattle pens outside a Tyson Foods Inc slaughterhouse in southeastern Washington state.,normal
NBHC,National Bank Holdings Corporation,20131230,More than 2 000 sign up to redundancy plan at Greece's NBG-source ,ATHENS  Dec 30 More than 2 000 people have signed up for a voluntary redundancy scheme at Greece's biggest lender  National Bank (NBG)  aimed at shedding about 15 percent of its workforce to cut costs  an NBG official told Reuters on Monday.,topStory
ORAN,Orange,20131230,Orange to take legal action after report of spying via its cable ,PARIS Orange  is preparing its legal response to a report alleging the U.S. National Security Agency (NSA) accessed customers' data transmitted by a submarine cable partly used by the French telecoms operator.,topStory
ORAN,Orange,20131230,Orange to take legal action after report of spying via its cable ,PARIS  Dec 30 Orange is preparing its legal response to a report alleging the U.S. National Security Agency (NSA) accessed customers' data transmitted by a submarine cable partly used by the French telecoms operator.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20131230,Petrobras oil  gas output in November falls 1.5 pct on year ,SAO PAULO  Dec 30 Production of oil and natural gas at Brazil's state-run oil company Petroleo Brasileiro SA  fell 1.5 percent in November compared with a year earlier as platforms and production facilities were shut down for maintenance.,topStory
SNY,Sanofi,20131230,UPDATE 4-Sanofi MS drug suffers setback in key U.S. market ,* Drug's prospects were at heart of $20 bln Genzyme takeover,topStory
SNY,Sanofi,20131230,Sanofi MS drug suffers setback in key U.S. market ,PARIS Sanofi's Lemtrada multiple sclerosis treatment has failed to win approval from U.S. regulators  dealing a setback to a drug which was at the heart of the French drugmaker's $20 billion takeover of biotech firm Genzyme.,normal
SNY,Sanofi,20131230,UPDATE 4-Sanofi MS drug suffers setback in key U.S. market ,* Drug's prospects were at heart of $20 bln Genzyme takeover,normal
SNE,Sony Corp Ord,20131230,Deals of the day- Mergers and acquisitions ,Dec 30 The following bids  mergers  acquisitions and disposals were reported by 1100 GMT on Monday:,topStory
BX,The Blackstone Group LP,20131230,BRIEF-Crocs up 13.1 percent premarket after investment deal with Blackstone Group ,NEW YORK  Dec 30 Crocs Inc :  * Up 13.1 percent to $15.07 in premarket after investment deal with Blackstone Group,topStory
BX,The Blackstone Group LP,20131230,Deals of the day- Mergers and acquisitions ,Dec 30 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,normal
BX,The Blackstone Group LP,20131230,US STOCKS-Futures little changed ahead of home sales data ,NEW YORK  Dec 30 U.S. stock index futures were little changed on Monday  in the wake of the best two-week advance for the S&P 500 in five months  and ahead of data on the housing market.,normal
BX,The Blackstone Group LP,20131230,Crocs to receive $200 million from Blackstone  CEO to retire ,NEW YORK Crocs Inc  said Blackstone Group LP  is making a $200 million investment that will give the private equity firm a 13 percent stake in the shoe company.,normal
BX,The Blackstone Group LP,20131230,UPDATE 1-Crocs to receive $200 mln from Blackstone  CEO to retire ,NEW YORK  Dec 29 Crocs Inc said Blackstone Group LP is making a $200 million investment that will give the private equity firm a 13 percent stake in the shoe company.,normal
BX,The Blackstone Group LP,20131230,Blackstone to invest $200 million in Crocs-WSJ ,NEW YORK  Dec 29 Blackstone Group LP is making a $200 million investment in Crocs Inc that will give the private equity firm a 13 percent stake in the shoe company  Crocs' chief financial officer told the Wall Street Journal on Sunday.,normal
TM,Toyota Motor Corp Ltd Ord,20131230,BMW  Toyota agree on joint sportscar platform - paper ,FRANKFURT Carmakers BMW  and Toyota  have agreed to develop a joint platform for sportscars  BMW's development chief Herbert Diess told a German newspaper.,topStory
TM,Toyota Motor Corp Ltd Ord,20131230,U.S. December auto sales seen up 4 percent ,DETROIT  Dec 30 December U.S. auto sales  spurred by end-of-the-year bargains  likely rose about 4 percent from a year earlier  industry analysts said.,normal
TM,Toyota Motor Corp Ltd Ord,20131230,BMW  Toyota agree on joint sportscar platform - paper ,FRANKFURT  Dec 30 Carmakers BMW and Toyota have agreed to develop a joint platform for sportscars  BMW's development chief Herbert Diess told a German newspaper.,normal
TWTR,Twitter Inc,20131230,LinkedIn  Pinterest more popular than Twitter: study ,SAN FRANCISCO More U.S. adults use LinkedIn and Pinterest than Twitter  but that website attracts a greater proportion of blacks and young adults than do its social media peers  a Pew Research Center study released on Monday showed.,topStory
TWTR,Twitter Inc,20131230,LinkedIn  Pinterest more popular than Twitter -study ,SAN FRANCISCO  Dec 30 More U.S. adults use LinkedIn and Pinterest than Twitter  but that website attracts a greater proportion of blacks and young adults than do its social media peers  a Pew Research Center study released on Monday showed.,normal
TWTR,Twitter Inc,20131230,BRIEF-Twitter down 4.6 percent in premarket trade ,NEW YORK  Dec 30 Twitter Inc :  * Down 4.6 percent to $60.81 in premarket trade,normal
TSN,Tyson Foods Inc,20131230,Special Report: Lost hooves  dead cattle before Merck halted Zilmax sales ,WALLA WALLA COUNTY  WASHINGTON The U.S. beef industry's dependence on the muscle-building drug Zilmax began unraveling here  on a sweltering summer day  in the dusty cattle pens outside a Tyson Foods Inc slaughterhouse in southeastern Washington state.,topStory
TSN,Tyson Foods Inc,20131230,SPECIAL REPORT-Lost hooves  dead cattle before Merck halted Zilmax sales ,WALLA WALLA COUNTY  WASHINGTON  Dec 30 The U.S. beef industry's dependence on the muscle-building drug Zilmax began unraveling here  on a sweltering summer day  in the dusty cattle pens outside a Tyson Foods Inc slaughterhouse in southeastern Washington state.,normal
WFC,Wells Fargo & Company,20131230,Wells Fargo agrees to $541 million loan settlement ,Wells Fargo & Co will pay a net $541 million to Fannie Mae to settle claims over defective home loans  completing the government-controlled mortgage company's efforts to have banks buy back troubled loans made before the financial crisis.,topStory
WFC,Wells Fargo & Company,20131230,UPDATE 1-Fannie Mae settles with Wells Fargo as mortgage review ends ,Dec 30 Wells Fargo & Co will pay a net $541 million to Fannie Mae to settle claims over defective home loans  completing the government-controlled mortgage company's efforts to have banks buy back troubled loans made before the financial crisis.,normal
WFC,Wells Fargo & Company,20131230,Wells Fargo to pay Fannie Mae $591 mln to settle mortgage claims ,Dec 30 Wells Fargo & Co  the fourth-largest U.S. bank by assets  said it would pay $591 million to Fannie Mae to substantially settle all repurchase liabilities related to loans sold to the government-controlled mortgage company before Jan. 1  2009.,normal
