AMZN,Amazoncom Inc,20130916,RPT-REUTERS SUMMIT-Retailers must work harder to merge e-commerce  stores ,(Repeats Sept. 15 story for wider readership (For other news from the Reuters Global Consumer and Retail Summit  click on http://www.reuters.com/summit/Retail13),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
DLBL,Barclays PLC,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
DLBL,Barclays PLC,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
DLBL,Barclays PLC,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
DLBL,Barclays PLC,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
DTYL,Barclays PLC,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
DTYL,Barclays PLC,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
DTYL,Barclays PLC,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
DTYL,Barclays PLC,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
CETV,Central European Media Enterprises Ltd,20130916,Broadcaster CME's new co-CEOs to get $800 000 annual pay plus bonus ,PRAGUE  Sept 16 Central European Media Enterprises (CME)  which is battling a downturn in TV advertising markets  said it will pay its two new co-chief executives base annual salary of $800 000 each  totalling a bit less than that of the man they replace.,topStory
CSCO,Cisco Systems Inc,20130916,UPDATE 1-Chipmaker Nvidia hires CFO  ends two-year search ,SAN FRANCISCO  Sept 16 Chipmaker Nvidia  said on Monday it had appointed a former Cisco and Microsoft executive as its new chief financial officer  ending a search of more than two years after its previous CFO left.,topStory
CSCO,Cisco Systems Inc,20130916,MARKET PULSE- Tesco  Regeneron  GSK  Cooper Tire ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
DTYS,iPath US Treasury 10-year Bear ETN,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
FLAT,iPath US Treasury Flattener ETN,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
FLAT,iPath US Treasury Flattener ETN,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
FLAT,iPath US Treasury Flattener ETN,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
FLAT,iPath US Treasury Flattener ETN,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
STPP,iPath US Treasury Steepener ETN,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
STPP,iPath US Treasury Steepener ETN,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
STPP,iPath US Treasury Steepener ETN,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
STPP,iPath US Treasury Steepener ETN,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
MU,Micron Technology Inc,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Potash producers ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
MU,Micron Technology Inc,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Potash producers ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
MU,Micron Technology Inc,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Omeros ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
MU,Micron Technology Inc,20130916,MARKET PULSE- Blyth  Micron  Boise  Pluristem  Omeros ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
MSFT,Microsoft Corporation,20130916,Nokia delays phablet launch after Microsoft deal -source ,Sept 16 Nokia has delayed the launch of a large-screen "phablet" device  originally planned for late September  following a deal to sell its handset business and license patents to Microsoft  a source said on Monday.,topStory
MSFT,Microsoft Corporation,20130916,UPDATE 1-Chipmaker Nvidia hires CFO  ends two-year search ,SAN FRANCISCO  Sept 16 Chipmaker Nvidia  said on Monday it had appointed a former Cisco and Microsoft executive as its new chief financial officer  ending a search of more than two years after its previous CFO left.,normal
NVDA,NVIDIA Corporation,20130916,Chipmaker Nvidia hires CFO  ends two-year search ,SAN FRANCISCO Chipmaker Nvidia said on Monday it had appointed a former Cisco and Microsoft executive as its new chief financial officer  ending a search of more than two years after its previous CFO left.,topStory
NVDA,NVIDIA Corporation,20130916,UPDATE 1-Chipmaker Nvidia hires CFO  ends two-year search ,SAN FRANCISCO  Sept 16 Chipmaker Nvidia  said on Monday it had appointed a former Cisco and Microsoft executive as its new chief financial officer  ending a search of more than two years after its previous CFO left.,normal
NVDA,NVIDIA Corporation,20130916,Chipmaker Nvidia hires CFO  ends two-year search ,SAN FRANCISCO  Sept 16 Chipmaker Nvidia  said it appointed a former Cisco and Microsoft  executive as its new chief financial officer  ending a search of more than two years after its previous CFO left.,normal
OMER,Omeros Corporation,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Omeros ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
OMER,Omeros Corporation,20130916,MARKET PULSE- Blyth  Micron  Boise  Pluristem  Omeros ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
PERI,Perion Network Ltd,20130916,Israel's Perion to merge with part of Conduit in all stock deal ,TEL AVIV Israeli consumer Internet company Perion Network  will merge with privately held Conduit's "client connect" business in an all-stock transaction  the companies said on Monday.,topStory
PERI,Perion Network Ltd,20130916,Israel's Perion to merge with part of Conduit in all stock deal ,TEL AVIV  Sept 16 Israeli consumer Internet company Perion Network will merge with privately held Conduit's "client connect" business in an all-stock transaction  the companies said on Monday.,normal
PSTI,Pluristem Therapeutics Inc,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Potash producers ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
PSTI,Pluristem Therapeutics Inc,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Potash producers ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
PSTI,Pluristem Therapeutics Inc,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Omeros ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
PSTI,Pluristem Therapeutics Inc,20130916,MARKET PULSE- Blyth  Micron  Boise  Pluristem  Omeros ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
PSTI,Pluristem Therapeutics Inc,20130916,Pluristem says FDA lifts hold on muscle pain drug study ,Pluristem Therapeutics Inc said the U.S. Food and Drug Administration lifted its clinical hold on a mid-stage trial of the company's experimental drug for muscle pain.,normal
PSTI,Pluristem Therapeutics Inc,20130916,Pluristem says FDA lifts hold on muscle pain drug study ,Sept 16 Pluristem Therapeutics Inc said the U.S. Food and Drug Administration lifted its clinical hold on a mid-stage trial of the company's experimental drug for muscle pain.,normal
REGN,Regeneron Pharmaceuticals Inc,20130916,MARKET PULSE- Tesco  Regeneron  GSK  Cooper Tire ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
REGN,Regeneron Pharmaceuticals Inc,20130916,MARKET PULSE- Tesco  Regeneron  GSK  Boeing  Boise ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
RYAAY,Ryanair Holdings plc,20130916,UPDATE 1-Stansted to cut Ryanair fees in return for more flights ,LONDON  Sept 16 Ryanair has persuaded London's Stansted airport to cut the fees levied on the low-cost airline in return for a promise of sharply increased flights to and from the airport in coming years.,topStory
SOHU,Sohucom Inc,20130916,Tencent invests $448 mln to buy 36.5 pct stake in Sohu's search engine ,BEIJING  Sept 16 Tencent Holdings Ltd  said on Monday that it will buy a  36.5 percent stake in Sohu.com Inc's Sogou search engine  China's third-largest  to lift its presence in the  fast-growing China market for search and Internet services.,topStory
VOD,Vodafone Group Plc,20130916,Vodafone has 76.48 percent of Kabel Deutschland shares ,FRANKFURT Vodafone  has secured 76.48 percent of shares in Kabel Deutschland  for its 7.7 billion euro ($10 billion) offer for Germany's largest cable company  the telecom operator said on Monday.,topStory
VOD,Vodafone Group Plc,20130916,UPDATE 1-Vodafone has 76.48 pct of Kabel Deutschland shares ,FRANKFURT  Sept 16 Vodafone has secured 76.48 percent of shares in Kabel Deutschland for its 7.7 billion euro ($10 billion)offer for Germany's largest cable company  the telecom operator said on Monday.,normal
VOD,Vodafone Group Plc,20130916,Vodafone says has 76.48 pct of Kabel shares for $10 bln offer , ,normal
VOD,Vodafone Group Plc,20130916,RPT-Vodafone says has 76.48 pct of Kabel shares for $10 bln offer ,FRANKFURT  Sept 16 Vodafone has secured 76.48 percent of shares in Kabel Deutschland for its 7.7 billion euro ($10 billion)offer for Germany's largest cable company  Vodafone said on Monday.,normal
VOD,Vodafone Group Plc,20130916,Vodafone says has 76.48 pct of Kabel shares for $10 bln offer ,FRANKFURT  Sept 16 Vodafone has secured 76.48 percent of shares in Kabel Deutschland for its 7.7 billion euro ($10 billion)offer for Germany's largest cable company  Vodafone said on Monday.,normal
ABT,Abbott Laboratories,20130916,Australia's new PM Abbott unveils cabinet  to be sworn in Wednesday ,CANBERRA  Sept 16 Australia's new conservative Prime Minister Tony Abbott unveiled his first cabinet on Monday  using the appointment of experienced lawmakers to promise a stable government after three years of minority rule.,topStory
ATI,Allegheny Technologies Incorporated,20130916,Kennametal boosts tungsten supply with Allegheny Tech's unit buy ,Kennametal Inc  said it would buy Allegheny Technologies Inc's  tungsten materials business for $605 million to boost supply of the raw material used to make its metal-working tools  increasing its exposure to aerospace and energy markets.,topStory
ATI,Allegheny Technologies Incorporated,20130916,Kennametal to buy Allegheny's tungsten materials business for $605 mln ,Sept 16 Industrial toolmaker Kennametal Inc  said it would buy Allegheny Technologies Inc's  tungsten materials business for $605 million to strengthen its materials and cutting tools business.,normal
BAC,Bank of America Corporation,20130916,Stress test shows Bank of America adequately capitalized ,Sept 16 Bank of America Corp said its mid-cycle stress test showed that the bank had enough capital to withstand a severe economic downturn.,topStory
BAC,Bank of America Corporation,20130916,RPT-U.S. banks to get 3rd-qtr profit boost from dipping into reserves ,* JPMorgan  Bank of America  Wells Fargo expected to release reserves,normal
BCS,Barclays PLC,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
BCS,Barclays PLC,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
BCS,Barclays PLC,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
BCS,Barclays PLC,20130916,First Gulf Bank may bid for Barclays' UAE retail arm - CEO ,DUBAI  Sept 16 First Gulf Bank (FGB)  the United Arab Emirates' third largest bank  may look to buy Barclays Plc's retail banking operations in the United Arab Emirates  FGB's chief executive said on Monday.,normal
BA,Boeing Company (The),20130916,U.S. Air Force vows to shield 3 weapons programs from budget cuts ,NATIONAL HARBOR  Maryland  Sept 16 The top U.S. Air Force official on Monday vowed to protect three weapons programs from sweeping federal budget cuts: Lockheed Martin Corp's F-35 fighter jet  a new refueling plane built by Boeing Co and early work on a new bomber.,topStory
BA,Boeing Company (The),20130916,UPDATE 5-Bombardier's all-new CSeries makes inaugural flight ,MIRABEL  Quebec  Sept 16 Bombardier Inc's  CSeries jetliner successfully completed its first flight on Monday  a key step in a $3.4 billion program to develop the first all-new narrow-body plane of its size in decades that the company hopes will increase sales.,normal
BA,Boeing Company (The),20130916,Factbox - Key facts about Bombardier's CSeries jet ,Sept 16 Reuters) - Following are some facts about Bombardier Inc's  CSeries passenger jet  a narrowbody rival to Airbus and Boeing aircraft  which was scheduled to carry out its much anticipated maiden flight on Monday.,normal
BA,Boeing Company (The),20130916,Bombardier's all-new CSeries prepares for maiden flight ,MIRABEL  Quebec  Sept 16 Bombardier Inc  carried out final preparations for the maiden flight of its CSeries on Monday  hoping to translate its ambitions to shatter an Airbus and Boeing duopoly into faster sales of Canada's most ambitious jet.,normal
BA,Boeing Company (The),20130916,MARKET PULSE- Tesco  Regeneron  GSK  Boeing  Boise ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
BA,Boeing Company (The),20130916,Norwegian Air suffers another Dreamliner technical fault ,OSLO  Sept 16 Norwegian Air Shuttle has suffered another technical fault with one of its Boeing  787 Dreamliners  the latest in a series of glitches to hit the new carbon-fibre jet.,normal
BA,Boeing Company (The),20130916,Boeing moves closer to South Korean fighter jet deal ,SEOUL Top decision makers in South Korea's 8.3 trillion won ($7.64 billion) fighter jet tender have briefed the president on the outcome of an assessment process and told her that Boeing Co's F-15 Silent Eagle was the sole eligible bid  a source with knowledge of the process told Reuters.,normal
BA,Boeing Company (The),20130916,Boeing moves closer to South Korean fighter jet deal ,SEOUL  Sept 16 Top decision makers in South Korea's 8.3 trillion won ($7.64 billion) fighter jet tender have briefed the president on the outcome of an assessment process and told her that Boeing Co's F-15 Silent Eagle was the sole eligible bid  a source with knowledge of the process told Reuters.,normal
CM,Canadian Imperial Bank of Commerce,20130916,TD Bank  CIBC reach deal on Aeroplan Visa card ,Toronto-Dominion Bank  agreed on Monday to buy about half of Canadian Imperial Bank of Commerce's  Aeroplan Visa  credit card portfolio in a deal that will see both banks issue the popular and lucrative rewards card.,topStory
CM,Canadian Imperial Bank of Commerce,20130916,CORRECTED-TD to issue Aeroplan credit cards  CIBC to keep half of portfolio ,(Corrects paragraph 2 to say earnings of 10 Canadian cents per share is on an adjusted basis),normal
COF,Capital One Financial Corporation,20130916,TABLE-Delinquency rates fall at major U.S. banks in August ,Sept 16 Delinquency rates fell at most major U.S. banks for August as more consumers continued to keep up with their bill payments. Delinquency rates  however  rose for Capital One Financial and Discover Financial. Credit card charge-offs have fallen  except for JPMorgan Chase  Bank of America and Capital One Financial.,topStory
CF,CF Industries Holdings Inc,20130916,CF Industries picks new CEO with expansion under way ,Sept 16 The longtime chief executive of CF Industries Holdings Inc will retire and be replaced internally  just as it carries out a $3.8-billion expansion  the world's second-biggest producer of nitrogen fertilizer said on Monday.,topStory
SNP,China Petroleum & Chemical Corporation,20130916,UPDATE 1-China's Sinopec to resume large diesel exports with Q4 quota ,* Sinopec gets Q4 diesel export quota of more than 1 mln T -sources,topStory
