AMGN,Amgen Inc,20130718,Exclusive: Pfizer not moving forward with Onyx bid: sources ,NEW YORK Pfizer Inc decided not to pursue a bid for Onyx Pharmaceuticals Inc this week  according to two people familiar with the matter  leaving Amgen Inc in the front position to buy the cancer drugmaker.,topStory
ERIC,Ericsson,20130718,BRIEF-Ericsson shares fall 4.6 percent after Q2 report ,STOCKHOLM  July 18 ERICSSON :  * Shares fall 4.6 percent in early trade after weak Q2 report,normal
ERIC,Ericsson,20130718,UPDATE 2-NORDIC STOCKS - Factors to watch on July 18 ,HELSINKI  July 18 The following stocks may be affected by newspaper reports and other factors on Thursday:,normal
FB,Facebook Inc,20130718,Apple  Google  dozens of others urge surveillance disclosures ,Dozens of companies  non-profits and trade organizations including Apple Inc  Google Inc and Facebook Inc sent a letter Thursday pushing the Obama administration and Congress for more disclosures on the government's national security-related requests for user data.,topStory
FB,Facebook Inc,20130718,Apple  Google  dozens of others urge U.S. surveillance disclosures ,July 18 Dozens of companies  non-profits and trade organizations including Apple Inc  Google Inc  and Facebook Inc sent a letter Thursday pushing the Obama administration and Congress for more disclosures on the government's national security-related requests for user data.,normal
INTC,Intel Corporation,20130718,US STOCKS-Dow  S&P 500 end at all-time highs on earnings  Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,topStory
INTC,Intel Corporation,20130718,US STOCKS-Dow  S&P 500 end at record highs on earnings  Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,normal
INTC,Intel Corporation,20130718,US STOCKS-Dow  S&P 500 hit record highs on earnings and Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,normal
INTC,Intel Corporation,20130718,US STOCKS-Earnings lift Dow  S&P 500 to fresh highs ,* Shares of eBay  Intel fall after disappointing forecasts,normal
INTC,Intel Corporation,20130718,US STOCKS-Wall St to open little changed as earnings roll out ,* Futures: Dow up 3.4 pts  S&P up 1 pt  Nasdaq up 0.75 pt,normal
INTC,Intel Corporation,20130718,US STOCKS-Futures flat  eyes on Bernanke; Morgan Stanley jumps ,* Futures: Dow up 1 pts  S&P up 1.8 pts  Nasdaq off 2.5 pts,normal
INTC,Intel Corporation,20130718,US STOCKS-Futures mixed as earnings  Bernanke in view ,* Futures: Dow off 8 pts  S&P up 1 pt  Nasdaq off 0.5 pts,normal
INTC,Intel Corporation,20130718,UPDATE 1-TSMC says shift to cheaper smartphones to support chip sales growth ,* Q2 net profit up 23.8 pct to record high  beats expectations,normal
INTC,Intel Corporation,20130718,GLOBAL MARKETS-Asian shares fall on China  Intel; dollar rises after Bernanke ,* Dollar extends modest overnight gains after Bernanke remarks,normal
ISRG,Intuitive Surgical Inc,20130718,Intuitive cuts sales  surgery forecasts  hit by FDA warning ,Intuitive Surgical Inc  shares fell 11 percent after the company slashed its 2013 sales forecast due to disappointing demand for its da Vinci surgical robots and procedures  and said U.S. regulators had issued a warning letter after an inspection of its facilities in June.,topStory
ISRG,Intuitive Surgical Inc,20130718,UPDATE 2-Intuitive cuts sales  surgery forecasts  hit by FDA warning ,July 18 Intuitive Surgical Inc shares fell 11 percent after the company slashed its 2013 sales forecast due to disappointing demand for its da Vinci surgical robots and procedures  and said U.S. regulators had issued a warning letter after an inspection of its facilities in June.,normal
ISRG,Intuitive Surgical Inc,20130718,Intuitive lowers sales  procedure forecasts  hit by FDA warning ,July 18 Intuitive Surgical Inc shares fell 11 percent after the company slashed its 2013 sales forecast due to disappointing demand for its da Vinci surgical robots and procedures  and said U.S. regulators had issued a warning letter following a June inspection of its facilities.,normal
MSFT,Microsoft Corporation,20130718,Microsoft profit misses as Surface tablets languish; shares drop ,SEATTLE Microsoft Corp on Thursday reported lower-than-expected quarterly earnings as slow personal computer sales ate into its Windows business and the company took an unexpected $900 million charge for its inventory of unsold Surface tablets. | Video ,topStory
MSFT,Microsoft Corporation,20130718,UPDATE 3-Microsoft profit misses as Surface tablets languish; shares drop ,SEATTLE  July 18 Microsoft Corp on Thursday reported lower-than-expected quarterly earnings as slow personal computer sales ate into its Windows business and the company took an unexpected $900 million charge for its inventory of unsold Surface tablets.,normal
MSFT,Microsoft Corporation,20130718,Microsoft profit below estimates after tablet charge ,SEATTLE  July 18 Microsoft Corp on Thursday reported lower-than expected quarterly earnings as slow personal computer sales ate into its Windows business and it took a large unexpected charge for its inventory of unsold Surface tablets.,normal
MSFT,Microsoft Corporation,20130718,UPDATE 3-Nokia's halting turnaround hit by weak handset sales ,* Shipments of smartphones  regular handsets weaker than expected,normal
MDLZ,Mondelez International Inc,20130718,BlackRock support for PepsiCo may stymie Peltz call for Mondelez merger ,NEW YORK BlackRock Inc  said on Thursday it opposes Nelson Peltz's proposal that PepsiCo Inc  buy Mondelez International  and shed its beverage business  signaling that the activist investor's proposal could fall flat with fellow investors.,topStory
MDLZ,Mondelez International Inc,20130718,BlackRock support for PepsiCo may stymie Peltz call for Mondelez merger ,NEW YORK  July 18 BlackRock Inc said on Thursday it opposes Nelson Peltz's proposal that PepsiCo Inc  buy Mondelez International and shed its beverage business  signaling that the activist investor's proposal could fall flat with fellow investors.,normal
MDLZ,Mondelez International Inc,20130718,BlackRock disagrees with Peltz on PepsiCo buying Mondelez -CNBC ,NEW YORK  July 18 BlackRock Inc  a top shareholder of PepsiCo Inc   does not agree with Trian Fund Management's Nelson Peltz that PepsiCo should buy Mondelez International Inc  BlackRock's CEO said on Thursday on CNBC television.,normal
MDLZ,Mondelez International Inc,20130718,Trian's Peltz says PepsiCo should buy Mondelez ,NEW YORK Activist shareholder Nelson Peltz dialed up pressure on PepsiCo Inc   saying it should buy Mondelez International Inc  for more than $62 billion and spin off its soft drink business.,normal
MDLZ,Mondelez International Inc,20130718,UPDATE 3-Trian's Peltz says PepsiCo should buy Mondelez ,NEW YORK  July 17 Activist shareholder Nelson Peltz dialed up pressure on PepsiCo Inc  saying it should buy Mondelez International Inc for more than $62 billion and spin off its soft drink business.,normal
NDAQ,Nasdaq Inc,20130718,Nasdaq forum website hacked  passwords compromised ,NEW YORK Cyber-criminals targeted Nasdaq OMX Group's community forum website and gained access to the email usernames and passwords of the members of the site  which took two days to come back online on Thursday evening.,topStory
NFLX,Netflix Inc,20130718,Netflix streams into Emmys race in test of TV's future ,LOS ANGELES "House of Cards " a sleek 13-episode political drama released all at once gave Internet-streaming service Netflix its first Emmy nominations on Thursday in a closely watched contest for the future of television entertainment beyond broadcast and cable.,topStory
NFLX,Netflix Inc,20130718,UPDATE 5-Netflix streams into Emmys race in test of TV's future ,LOS ANGELES  July 18 "House of Cards " a sleek 13-episode political drama released all at once gave Internet-streaming service Netflix its first Emmy nominations on Thursday in a closely watched contest for the future of television entertainment beyond broadcast and cable.,normal
NFLX,Netflix Inc,20130718,Netflix's Emmy spotlight lifts status of online shows ,LOS ANGELES The Emmy recognition for Netflix Inc elevated the stature of programming delivered solely over the Internet  a field that is attracting the biggest names in Silicon Valley and a roster of A-list Hollywood stars.,normal
NFLX,Netflix Inc,20130718,Netflix's Emmy spotlight lifts status of online shows ,LOS ANGELES  July 18 The Emmy recognition for Netflix Inc elevated the stature of programming delivered solely over the Internet  a field that is attracting the biggest names in Silicon Valley and a roster of A-list Hollywood stars.,normal
NFLX,Netflix Inc,20130718,REFILE-UPDATE 2-Dark drama leads Emmy nominations  Netflix enters race ,LOS ANGELES  July 18 Television thriller "American Horror Story: Asylum" and medieval fantasy "Game of Thrones" led nominees for primetime Emmy Awards on Thursday  while the Internet streaming service Netflix made history with nods for its first foray into original programming.,normal
SCHL,Scholastic Corporation,20130718,Scholastic revenue hit by declining sales of Hunger Games ,Publisher Scholastic Corp  reported a 25 percent drop in quarterly revenue due to lower sales of "The Hunger Games " a trilogy of scientific fiction novels by Suzanne Collins.,topStory
SCHL,Scholastic Corporation,20130718,UPDATE 1-Scholastic revenue hit by declining sales of Hunger Games ,July 18 Publisher Scholastic Corp  reported a 25 percent drop in quarterly revenue due to lower sales of "The Hunger Games " a trilogy of scientific fiction novels by Suzanne Collins.,normal
SCHL,Scholastic Corporation,20130718,Scholastic revenue falls 25 pct on lower Hunger Games sales ,July 18 Publisher Scholastic Corp  reported a 25 percent drop in quarterly revenue as sales of its Hunger Games trilogy fell.,normal
SWKS,Skyworks Solutions Inc,20130718,Skyworks eyes new chip customers  forecasts strong quarter ,Skyworks Solutions Inc  forecast current-quarter revenue above analysts' expectations as it sells more analog chips to smartphone makers and wins new business in a variety of high-margin industries.,topStory
TROW,T Rowe Price Group Inc,20130718,Opponents of Dell buyout say don't delay vote ,Opposition to Michael Dell's bid to take his computer company private grew on Wednesday  and billionaire Carl Icahn argued Dell Inc had no right to delay a shareholder vote  even if the deal looked more likely to fail. | Video ,normal
VVUS,VIVUS Inc,20130718,Vivus vote delayed as company talks with shareholder-sources ,NEW YORK Obesity drugmaker Vivus Inc  has delayed its board election  which was scheduled for Thursday morning  as it negotiates with shareholder First Manhattan Co  according to two sources familiar with the situation.,topStory
VVUS,VIVUS Inc,20130718,UPDATE 1-Vivus vote delayed as company talks with shareholder-sources ,NEW YORK  July 18 Obesity drugmaker Vivus Inc  has delayed its board election  which was scheduled for Thursday morning  as it negotiates with shareholder First Manhattan Co  according to two sources familiar with the situation.,normal
VVUS,VIVUS Inc,20130718,Vivus vote delayed as company negotiates with First Manhattan-sources ,NEW YORK  July 18 Obesity drugmaker Vivus Inc  has delayed its board election  which was scheduled for Thursday morning  as it negotiates with shareholder First Manhattan Co  according to two sources familiar with the situation.,normal
ALL,Allstate Corporation (The),20130718,UPDATE 1-Allstate to sell Lincoln Benefit Life insurance unit for $600 mln ,July 17 Home and auto insurer Allstate Corp  will sell one of its life insurance businesses  Lincoln Benefit Life Co  to Resolution Life Holdings for $600 million  the company said on Wednesday.,topStory
APA,Apache Corporation,20130718,Apache selling some U.S. Gulf holdings for $3.75 billion ,Apache Corp  said on Thursday it will sell its Gulf of Mexico shelf assets for $3.75 billion to Fieldwood Energy LLC in a deal that will allow the U.S. oil and gas company to focus on growth from its U.S. onshore assets.,topStory
APA,Apache Corporation,20130718,UPDATE 2-Apache to sell shallow U.S. Gulf holdings for $3.75 bln ,July 18 Apache Corp said on Thursday it had agreed to sell its Gulf of Mexico shelf assets for $3.75 billion to private equity firm Riverstone Holdings LLC as the oil and gas company focuses on growth from its U.S. onshore assets.,normal
APA,Apache Corporation,20130718,Apache selling U.S. Gulf holdings for $3.75 billion ,NEW YORK  July 18 Apache Corp said on Thursday it will sell its Gulf of Mexico shelf assets for $3.75 billion to Fieldwood Energy LLC.,normal
APO,Apollo Global Management LLC,20130718,UPDATE 3-Eight firms must face deal collusion lawsuit -U.S. judge ,* Bain  Blackstone  Carlyle  Goldman  others still in case,topStory
AN,AutoNation Inc,20130718,UPDATE 1-AutoNation posts profit  affirms industry sales view ,DETROIT  July 18 AutoNation Inc  the largest U.S. auto dealer group  reported a higher second-quarter profit on Thursday as new-vehicle sales jumped 11 percent  and reaffirmed its outlook for industry new-vehicle sales this year.,topStory
AVP,Avon Products Inc,20130718,Investor confidence in Avon pushes CDS lower ,NEW YORK  July 18 (IFR) - The credit default swap (CDS) spreads of Avon Products dropped a further 8bp to 190bp on Thursday and are now down 25% on the month  as the turnaround in the beauty products company continues to instill confidence in investors.,topStory
BAC,Bank of America Corporation,20130718,Analysis: Bank of America's interest-rate exposure may be worse than rivals' ,NEW YORK Bank of America Corp's balance sheet suffered from rising bond yields in the second quarter  suggesting that the second-largest U.S. bank may be more exposed to interest-rate risk than some of its major rivals.,topStory
ABX,Barrick Gold Corporation,20130718,Exclusive: Chile indigenous group likely to appeal Barrick ruling: lawyer ,SANTIAGO A Chilean indigenous group will likely ask the Supreme Court to review a lower court decision on Barrick Gold Corp's Pascua-Lama gold mine  because the ruling does not go far enough to protect the environment  a lawyer representing the group told Reuters on Thursday.,topStory
ABX,Barrick Gold Corporation,20130718,RPT-EXCLUSIVE-Chile indigenous likely to appeal Barrick ruling -lawyer ,SANTIAGO  July 18 A Chilean indigenous group will likely appeal a court decision on Barrick Gold Corp's   Pascua-Lama gold mine to the Supreme Court because it deems the measures slapped on the project don't go far enough to protect the environment  lawyer Lorenzo Soto told Reuters on Thursday.,normal
ABX,Barrick Gold Corporation,20130718,EXCLUSIVE-Chile indigenous likely to appeal Barrick ruling -lawyer ,SANTIAGO  July 18 A Chilean indigenous group will likely appeal a court decision on Barrick Gold Corp's   Pascua-Lama gold mine to the Supreme Court because it deems the measures slapped on the project don't go far enough to protect the environment  lawyer Lorenzo Soto told Reuters on Thursday.,normal
BBL,BHP Billiton plc,20130718,COLUMN-BHP  Rio gamble on iron ore  but they've stacked the deck: Clyde Russell ,--Clyde Russell is a Reuters market analyst. The views expressed are his own.--,topStory
BLK,BlackRock Inc,20130718,BlackRock support for PepsiCo may stymie Peltz call for Mondelez merger ,NEW YORK BlackRock Inc  said on Thursday it opposes Nelson Peltz's proposal that PepsiCo Inc  buy Mondelez International  and shed its beverage business  signaling that the activist investor's proposal could fall flat with fellow investors.,topStory
BLK,BlackRock Inc,20130718,BlackRock support for PepsiCo may stymie Peltz call for Mondelez merger ,NEW YORK  July 18 BlackRock Inc said on Thursday it opposes Nelson Peltz's proposal that PepsiCo Inc  buy Mondelez International and shed its beverage business  signaling that the activist investor's proposal could fall flat with fellow investors.,normal
BLK,BlackRock Inc,20130718,Dell postpones meeting on buyout as more votes needed ,NEW YORK/ROUND ROCK  Texas Dell Inc on Thursday postponed a shareholder vote on CEO Michael Dell's $24.4 billion buyout offer  after he won 11th-hour backing from several large investors but still fell short of enough votes to seal the deal.,normal
BLK,BlackRock Inc,20130718,UPDATE 5-Dell postpones meeting on buyout as more votes needed ,NEW YORK/ROUND ROCK  Texas  July 18 Dell Inc  on Thursday postponed a shareholder vote on CEO Michael Dell's $24.4 billion buyout offer  after he won 11th-hour backing from several large investors but still fell short of enough votes to seal the deal.,normal
BLK,BlackRock Inc,20130718,BlackRock disagrees with Peltz on PepsiCo buying Mondelez -CNBC ,NEW YORK  July 18 BlackRock Inc  a top shareholder of PepsiCo Inc   does not agree with Trian Fund Management's Nelson Peltz that PepsiCo should buy Mondelez International Inc  BlackRock's CEO said on Thursday on CNBC television.,normal
BLK,BlackRock Inc,20130718,BlackRock profit rises as investors look to multi-asset products ,BlackRock Inc   the world's largest money manager  said on Thursday that its second-quarter profit rose 32 percent  citing strong global demand from its retail and institutional clients and growth in markets.,normal
BLK,BlackRock Inc,20130718,BlackRock profit rises as investors look to multi-asset products ,July 18 BlackRock Inc  the world's largest money manager  said on Thursday that its second-quarter profit rose 32 percent  citing strong global demand from its retail and institutional clients and growth in markets.,normal
BLK,BlackRock Inc,20130718,BlackRock profit rises on strong investor demand ,July 18 BlackRock Inc  the world's largest money manager  reported a higher second-quarter profit on Thursday  citing strong global demand from its retail and institutional clients and growth in markets.,normal
BA,Boeing Company (The),20130718,Beacon focus of Boeing fire probe  Boston plane upsets investors ,LONDON/SEATTLE/WASHINGTON British aviation investigators identified an emergency beacon made by Honeywell International Inc  as a likely source of last week's blaze on a Boeing Co  787 Dreamliner and called for it to be turned off  spurring a rally in Boeing shares by relieved investors.,topStory
BA,Boeing Company (The),20130718,UPDATE 6-Beacon focus of Boeing fire probe  Boston plane upsets investors ,LONDON/SEATTLE/WASHINGTON  July 18 British aviation investigators identified an emergency beacon made by Honeywell International Inc as a likely source of last week's blaze on a Boeing Co 787 Dreamliner and called for it to be turned off  spurring a rally in Boeing shares by relieved investors.,normal
BA,Boeing Company (The),20130718,FAA says Boston 787 incident involved fuel tank  no emergency ,WASHINGTON A Boeing Co 787 operated by Japan Airlines returned to Boston's Logan International Airport on Thursday because of an issue with its fuel pump  but the incident was not an emergency  a U.S. aviation official said.,normal
BA,Boeing Company (The),20130718,Boeing 787 returns to Boston after mechanical alert  shares fall ,BOSTON A Boeing Co 787 Dreamliner plane operated by Japan Airlines Co Ltd returned to Boston's Logan International Airport on Thursday after a mechanical indicator alert came on  driving Boeing shares 1.7 percent lower.,normal
BA,Boeing Company (The),20130718,UPDATE 1-Boeing 787 returns to Boston after mechanical alert  shares fall ,BOSTON  July 18 A Boeing Co 787 Dreamliner plane operated by Japan Airlines Co Ltd  returned to Boston's Logan International Airport on Thursday after a mechanical indicator alert came on  driving Boeing shares 1.7 percent lower.,normal
BA,Boeing Company (The),20130718,Boeing says tanker on track for U.S. approval following review ,WASHINGTON A Boeing Co  aerial tanker built to refuel other warplanes during flight is expected to win final approval soon following an important design review conducted in early July by the U.S. Air Force  according to the company.,normal
BA,Boeing Company (The),20130718,Boeing says tanker on track for U.S. approval following review ,WASHINGTON  July 18 A Boeing Co aerial tanker built to refuel other warplanes during flight is expected to win final approval soon following an important design review conducted in early July by the U.S. Air Force  according to the company.,normal
BA,Boeing Company (The),20130718,Honeywell backs UK recommendation on 787 emergency beacons ,WASHINGTON Honeywell International Inc  on Thursday said it backed a proposal by British authorities to switch off its emergency beacons on Boeing Co's  787s after a fire on a parked plane in London  but said it was premature to jump to conclusions.,normal
BA,Boeing Company (The),20130718,Airlines keep 787 flying as probe seeks cause of fire ,Airlines are keeping Boeing's  787 Dreamliner flying  and are sticking with their orders for the new jet as safety investigators look for what sparked a fire in one of the planes while it was parked at London's Heathrow Airport.,normal
BA,Boeing Company (The),20130718,Factbox: Honeywell rescue beacon had trouble before Boeing fire ,(Reuters)  Aviation investigators were examining the lithiumbased battery of an emergency rescue beacon made by Honeywell International Inc  as a possible cause of or contributor to a fire that badly burned a Boeing Co  787 in London last week.,normal
BT,BT Group plc,20130718,UPDATE 1-BSkyB extends TV deal with English soccer's lower level ,LONDON  July 18 Pay TV company BSkyB  announced a surprise five-year extension to its deal to show live matches from English soccer's lower tiers on Thursday  an early renewal sparked by BT's entry into the market.,topStory
BT,BT Group plc,20130718,BSkyB extends soccer TV deal with England's lower league to 2018 ,LONDON Pay television company BSkyB announced a surprise five-year extension to its contract to show live matches from English soccer's lower tiers on Thursday  an early renewal sparked by BT's entry into the market.,normal
BT,BT Group plc,20130718,BSkyB extends soccer TV deal with England's lower league to 2018 ,LONDON  July 18 Pay television company BSkyB  announced a surprise five-year extension to its contract to show live matches from English soccer's lower tiers on Thursday  an early renewal sparked by BT's entry into the market.,normal
CNQ,Canadian Natural Resources Limited,20130718,UPDATE 1-Canadian Natural says restrictions will not change output target ,CALGARY  Alberta  July 18 Steam restrictions imposed on the Wolf Lake and Primrose oil sands projects after spills of bitumen emulsion at the northern Alberta sites should not change the 2013 production forecast  Canadian Natural Resources Ltd said on Thursday.,topStory
COF,Capital One Financial Corporation,20130718,UPDATE 2-Capital One profit boosted by higher credit card spending ,July 18 A gradual recovery in U.S. consumer spending helped Capital One Financial Corp to raise net interest income from its credit card business in the second quarter and beat Wall Street forecasts on earnings.,topStory
CBS,CBS Corporation,20130718,CBS  Time Warner Cable enter fight over fees ,July 18 Millions of Time Warner Cable  customers in New York  Los Angeles and Dallas could miss out on the summer reruns of "The Big Bang Theory" and "NCIS" if the cable operator does not reach an agreement with No. 1 broadcast network CBS by July 24.,topStory
CMG,Chipotle Mexican Grill Inc,20130718,Analysis: Chipotle under attack by noodles and clones ,LOS ANGELES Chipotle Mexican Grill  is one of the restaurant industry's hottest stocks  but fickle diners and an ever-expanding selection of entrepreneurial eateries threaten to make it harder for the upscale burrito seller to keep delivering the explosive growth investors savor.,topStory
CMG,Chipotle Mexican Grill Inc,20130718,Chipotle restaurant sales accelerate  shares jump ,Chipotle Mexican Grill Inc  on Thursday reported a higher quarterly profit after sales at established restaurants rose due to more visits by diners  sending the stock more than 4 percent higher.,normal
CMG,Chipotle Mexican Grill Inc,20130718,UPDATE 2-Chipotle restaurant sales accelerate  shares jump ,July 18 Chipotle Mexican Grill Inc on Thursday reported a higher quarterly profit after sales at established restaurants rose due to more visits by diners  sending the stock more than 4 percent higher.,normal
C,Citigroup Inc,20130718,CORRECTED-(OFFICIAL)-Nigeria appoints Citigroup  Vetiva to manage sale of bank ,(Corrects to say AMCON appoints Citigroup  Vetiva to sell Enterprise Bank not all three nationalised banks),topStory
C,Citigroup Inc,20130718,Nigeria appoints Citigroup  Vetiva to manage sale of 3 banks ,LAGOS The Asset Management Company of Nigeria  which holds non-performing assets of troubled banks  said it had named Citigroup  and Africa-focused investment bank Vetiva Capital to manage the sale of three lenders.,normal
C,Citigroup Inc,20130718,Analysis: Bank of America's interest-rate exposure may be worse than rivals' ,NEW YORK Bank of America Corp's balance sheet suffered from rising bond yields in the second quarter  suggesting that the second-largest U.S. bank may be more exposed to interest-rate risk than some of its major rivals.,normal
CYH,Community Health Systems Inc,20130718,Community Health warns of profit shortfall  shares fall 18 percent ,Hospital operator Community Health Systems Inc  on Thursday said its second quarter results were hurt by a combination of weak volumes in May and June  bad debts and deteriorating reimbursements.,topStory
