AMZN,Amazoncom Inc,20131218,Italy revises "Google tax" to exclude goods purchased online ,ROME  Dec 18 Italian lawmakers have revised proposed legislation that would raise revenue from online companies including Google and Amazon  but its passage is still uncertain as the leader of the main ruling party said it should be scrapped.,topStory
ADM,Archer-Daniels-Midland Company,20131218,Archer Daniels Midland picks Chicago for new headquarters ,CHICAGO  Dec 18 Archer Daniels Midland Co  will move its headquarters to Chicago after 44 years in the central Illinois city of Decatur  the agribusiness company said on Wednesday.,normal
AZO,AutoZone Inc,20131218,BRIEF-AutoZone down 1.7 percent in extended trading ,NEW YORK  Dec 18 Autozone Inc :  * Shares down 1.7 percent in extended trading,topStory
ABX,Barrick Gold Corporation,20131218,CANADA STOCKS-TSX jumps to one-week high as Fed cuts bond buying ,* TSX rises 154.57 points  or 1.17 percent  to 13 334.73     * All of the 10 main index sectors advance     * Barrick Gold declines after directors leave      By John Tilak     TORONTO  Dec 18 Canada's main stock index climbed to a one-week high on Wednesday after the U.S. Federal Reserve said it will begin scaling back its asset purchase program.     The market has been fixated in recent months on when the Fed will start rolling back its stimulative bond purchases  which have inject,topStory
ABX,Barrick Gold Corporation,20131218,CANADA STOCKS-TSX hits one-week high ahead of Fed statement ,* TSX rises 86.95 points  or 0.66 percent  to 13 267.11     * All of the 10 main index sectors advance     * Barrick declines after directors leave     * BlackBerry slips after former SAP executive joins company      By John Tilak     TORONTO  Dec 18 Canada's main stock index rose sharply on Wednesday  hitting a one-week high  as investors awaited the outcome of a Federal Reserve policy meeting that could determine the fate of the U.S. central bank's monetary stimulus program.     Th,normal
BBL,BHP Billiton plc,20131218,End of boom? Not for Australia's iron ore miners ,* Rio Tinto  BHP happy to dig as China buys more and more iron ore,topStory
BBL,BHP Billiton plc,20131218,UPDATE 2-Australia to ship more iron ore as miners shrug off China risks ,* Australia raises export forecasts for iron ore  metallurgical coal,normal
BLK,BlackRock Inc,20131218,BlackRock says Telecom Italia stake was over 10 pct under SEC rules ,MILAN U.S. money manager BlackRock said on Wednesday its stake in Telecom Italia was 10.12 percent as of December 16 if calculated in accordance with the U.S. Securities and Exchange Commission requirements.,topStory
BLK,BlackRock Inc,20131218,BlackRock says Telecom Italia stake was over 10 pct under SEC rules ,MILAN  Dec 18 U.S. money manager BlackRock  said on Wednesday its stake in Telecom Italia  was 10.12 percent as of Dec. 16 if calculated in accordance with the U.S. Securities and Exchange Commission requirements.,normal
BA,Boeing Company (The),20131218,Boeing promotes defense chief to chief operating officer ,WASHINGTON Boeing Co  on Wednesday promoted Dennis Muilenburg  head of its defense division  to the post of president and chief operating officer  a move that company insiders and analysts said makes him "heir apparent" to Chief Executive Jim McNerney.,topStory
BA,Boeing Company (The),20131218,UPDATE 4-Boeing promotes defense chief to chief operating officer ,WASHINGTON  Dec 18 Boeing Co on Wednesday promoted Dennis Muilenburg  head of its defense division  to the post of president and chief operating officer  a move that company insiders and analysts said makes him "heir apparent" to Chief Executive Jim McNerney.,normal
BA,Boeing Company (The),20131218,UPDATE 3-Saab wins Brazil jet deal after NSA spying sours Boeing bid ,BRASILIA/SAO PAULO  Dec 18 Brazil awarded a $4.5 billion contract to Saab AB on Wednesday to replace its aging fleet of fighter jets  a surprise coup for the Swedish company after news of U.S. spying on Brazilians helped derail Boeing's chances for the deal.,normal
BA,Boeing Company (The),20131218,Boeing has not heard of decision on Brazil jets deal -source ,SAO PAULO  Dec 18 Boeing Co has not yet heard from Brazil about a final decision on a long-awaited fighter jet contract  a source with knowledge of the situation told Reuters on Wednesday.,normal
BA,Boeing Company (The),20131218,Boeing promotes defense chief to chief operating officer ,WASHINGTON Boeing Co  on Wednesday promoted Dennis Muilenburg  head of its defense division  to the post of president and chief operating officer  a move that company insiders and analysts said makes him "heir apparent" to Chief Executive Jim McNerney.,normal
BA,Boeing Company (The),20131218,Boeing's Muilenburg to be named chief operating officer -source ,WASHINGTON  Dec 18 Dennis Muilenburg  head of Boeing's defense division  will be named chief operating officer of the overall parent company Boeing Co  a source familiar with the decision said on Wednesday  making him the "heir apparent" to the company's chief executive  Jim McNerney.,normal
BA,Boeing Company (The),20131218,Norwegian Air signs deal for two more Boeing Dreamliners ,OSLO Norwegian Air  is buying another two Boeing  787-9 Dreamliners  seeing the aircraft's technical advances as outweighing its operating problems as the budget carrier expands in long-haul services.,normal
BA,Boeing Company (The),20131218,UPDATE 1-Norwegian Air signs deal for two more Boeing Dreamliners ,OSLO  Dec 18 Norwegian Air is buying another two Boeing 787-9 Dreamliners  seeing the aircraft's technical advances as outweighing its operating problems as the budget carrier expands in long-haul services.,normal
BA,Boeing Company (The),20131218,Boeing making short list for 777X factory location ,SEATTLE Boeing Co  said on Tuesday it is narrowing its list of sites for building its newest jetliner  the 777X  to "a handful " signaling its determination to consider locations outside Washington state where it now builds similar planes.,normal
BA,Boeing Company (The),20131218,UPDATE 1-Boeing making short list for 777X factory location ,SEATTLE  Dec 17 Boeing Co said on Tuesday it is narrowing its list of sites for building its newest jetliner  the 777X  to "a handful " signaling its determination to consider locations outside Washington state where it now builds similar planes.,normal
BP,BP plc,20131218,Tea Party conservatives shift to fight over U.S. debt ceiling hike ,WASHINGTON Even as a touch of bipartisan bonhomie settles over Washington with the passage of a budget compromise  conservatives in Congress are planning their next attempt to rein in government spending when the U.S. bumps up against its borrowing limit in the spring.,topStory
BP,BP plc,20131218,Ex-BP engineer found guilty in Gulf of Mexico spill case ,NEW ORLEANS An engineer charged in connection with the 2010 BP oil well blowout in the Gulf of Mexico was found guilty of one count of obstructing justice by a federal jury on Wednesday  officials said.,normal
BP,BP plc,20131218,UPDATE 2-Ex-BP engineer found guilty in Gulf of Mexico spill case ,NEW ORLEANS  Dec 18 An engineer charged in connection with the 2010 BP oil well blowout in the Gulf of Mexico was found guilty of one count of obstructing justice by a federal jury on Wednesday  officials said.,normal
BP,BP plc,20131218,Ex-BP engineer found guilty in Gulf of Mexico spill case ,NEW ORLEANS  Dec 18 An engineer charged with obstructing justice in connection with the 2010 BP well blowout in the Gulf of Mexico was found guilty on one count by a federal jury on Wednesday  officials said.,normal
BP,BP plc,20131218,BP completes commissioning of Indiana refinery upgrade ,HOUSTON  Dec 18 BP Plc has finished the commissioning of all new major units associated with a $4 billion upgrade of the company's Indiana refinery to sharply increase its ability to process cheap Canadian heavy crude  the company said on Wednesday.,normal
BP,BP plc,20131218,UPDATE 1-BP flags Gulf of Mexico find  $1.08 bln Brazil writedown ,* Writedown is $850 mln non-operating item  $230 mln operating,normal
BP,BP plc,20131218,BP makes major oil discovery in Gulf of Mexico ,LONDON  Dec 18 Britain's BP Plc said on Wednesday it had made a significant oil discovery at its Gila prospect in the deepwater U.S. Gulf of Mexico.,normal
CHL,China Mobile (Hong Kong) Ltd,20131218,China Mobile chairman says still in talks with Apple on iPhone deal ,TAIPEI China Mobile Ltd said it's still in talks with Apple Inc to sell iPhones amid mounting industry speculation that the pair are about to announce a deal to net the technology giant hundreds of millions of potential new customers.,topStory
CHL,China Mobile (Hong Kong) Ltd,20131218,China Mobile chairman says still in talks with Apple on iPhone deal ,TAIPEI  Dec 18 China Mobile Ltd said it's still in talks with Apple Inc to sell iPhones amid mounting industry speculation that the pair are about to announce a deal to net the technology giant hundreds of millions of potential new customers.,normal
CNK,Cinemark Holdings Inc,20131218,UPDATE 1-Cinema chain AMC's shares shine in market premiere ,Dec 18 Shares of AMC Entertainment Holdings Inc   the U.S. theater chain controlled by Chinese billionaire Wang Jianlin  rose about 10 percent in their debut  valuing the company at $1.88 billion as it returns to public markets after nine years.,normal
CNK,Cinemark Holdings Inc,20131218,AMC Entertainment prices IPO at $18 per share -underwriter ,Dec 17 Theater group AMC Entertainment Holdings Inc priced its initial public offering of 18.42 million shares at $18 per share  according to an underwriter.,normal
C,Citigroup Inc,20131218,RPT-U.S. preparing civil charges against Citigroup  Merrill Lynch -sources ,Dec 17 The U.S. Justice Department is preparing to file civil fraud charges against Citigroup Inc and Bank of America's Merrill Lynch unit over their sale of flawed mortgage securities ahead of the financial crisis  according to people familiar with the probes.,topStory
C,Citigroup Inc,20131218,U.S. preparing civil charges against Citigroup  Merrill Lynch: sources ,The Justice Department is preparing to file civil fraud charges against Citigroup Inc and Bank of America's Merrill Lynch unit over their sale of flawed mortgage securities ahead of the financial crisis  according to people familiar with the probes.,normal
CIA,Citizens Inc,20131218,RBS appoints 'bad bank' boss to lead Citizens  'Rainbow' IPOs ,LONDON Royal Bank of Scotland  said Rory Cullinan  the head of its non-core business  will have responsibility for managing the flotations of its U.S. bank Citizens and a network of 314 UK branches being spun off.,topStory
CIA,Citizens Inc,20131218,RPT-RBS appoints "bad bank" boss to lead Citizens  "Rainbow" IPOs ,LONDON  Dec 18 Royal Bank of Scotland  said Rory Cullinan  the head of its non-core business  will have responsibility for managing the flotations of its U.S. bank Citizens and a network of 314 UK branches being spun off.,normal
CIA,Citizens Inc,20131218,RBS appoints "bad bank" boss to lead Citizens  "Rainbow" IPOs ,LONDON  Dec 18 Royal Bank of Scotland  said Rory Cullinan  the head of its non-core business  will have responsibility for managing the flotations of its U.S. bank Citizens and a network of 314 UK branches being spun off.,normal
CBD,Companhia Brasileira de Distribuicao,20131218,UPDATE 1-Brazil retailer GPA readies supermarket price battle ,SAO PAULO  Dec 17 Brazil's biggest retailer  GPA    is gearing up for an aggressive price war in its food business  where it aims to maintain its operating profit margin by cutting expenses  according to a presentation to investors on Tuesday.,topStory
COP,ConocoPhillips,20131218,lk UPDATE 1-Oando to raise $193 mln to fund ConocoPhillips deal ,LAGOS  Dec 18 Nigerian energy firm Oando  is offering 30.75 billion naira ($193 mln) in shares on Wednesday to help it buy  ConocoPhillips' assets in Nigeria  bankers close to the deal told Reuters.,topStory
COP,ConocoPhillips,20131218,Oando to raise $193 mln to fund ConocoPhillips deal ,LAGOS  Dec 18 Nigerian energy firm Oando  is offering 30.75 billion naira ($193 mln) in shares on Wednesday to help fund the purchase of ConocoPhillips'  Nigerian assets  bankers close to the deal told Reuters.,normal
CVS,CVS Health Corporation,20131218,CVS expects 2014 sales gain despite Obamacare ,NEW YORK CVS Caremark Corp  said on Wednesday that it expected sales and earnings to rise in 2014 despite only a "modest" benefit next year from the launch of Obamacare and a ban preventing it from marketing to some Medicare patients.,topStory
CVS,CVS Health Corporation,20131218,UPDATE 2-CVS expects 2014 sales gain despite Obamacare ,NEW YORK  Dec 18 CVS Caremark Corp said on Wednesday that it expected sales and earnings to rise in 2014 despite only a "modest" benefit next year from the launch of Obamacare and a ban preventing it from marketing to some Medicare patients.,normal
CVS,CVS Health Corporation,20131218,BRIEF-CVS Caremark CFO says expects CMS ban on Medicare part d to be lifted in Q1 2014 ,Dec 18 CVS Caremark Corp :  * CFO says expects cms ban on medicare part d to be lifted in Q1 2014  * CFO sees private and public exchanges to be "a net positive" in 2014,normal
CVS,CVS Health Corporation,20131218,BRIEF-CVS sees 2014 revenue growth 4-5.25 pct- presentation slides ,Dec 18 CVS Caremark Corp :  * Sees 2014 revenue growth 4-5.25 percent- presentation slides  * Presentation slides sees 2014 free cash flow $5.1 billion-$5.4 billion  * Rpt-cvs sees 2014 free cash flow $5.1 bln-$5.4 bln- presentation slides  * Sees 2014 retail revenue up 2-3.25 percent  with same-store sales up 0.75-2,normal
CVS,CVS Health Corporation,20131218,CVS expects 2014 earnings to rise  lifts dividend ,Dec 18 CVS Caremark Corp said on Wednesday that it expected adjusted earnings to rise to a range of $4.36 to $4.50 per share in 2014.,normal
DB,Deutsche Bank AG,20131218,STXNEWS LATAM-Deutsche Bank taps Ricciardi to head Latam transaction banking ,Deutsche Bank AG  Europe's No. 1 investment bank by revenue  on Wednesday named Maria Cristina Ricciardi as head of global transaction banking for Latin America  seeking to grow in a segment where businesses are booming from Mexico to Chile. Ricciardi  known in Brazilian financial circles as "Kika " has had an experience of more than 25 years covering the area and has worked for Citigroup Inc in the New York-based bank's global subsidiaries group in Brazil  the Deutsche Bank said in a statement.,topStory
ENB,Enbridge Inc,20131218,TIMELINE-Enbridge's Northern Gateway oil pipeline proposal ,Dec 18 Here are some key dates in Enbridge Inc's  bid to build a 525 000 barrel per day pipeline from the Alberta oil sands hub of Edmonton to Kitimat  British Columbia  on Canada's Pacific Coast.     The proposed C$6 billion ($5.61 billion) project has run into fierce opposition from environmentalists and aboriginal groups  and cost estimates have more than doubled since it was first announced.     Canada's National Energy Board will release its decision on whether to approve the pi,topStory
E,ENI SpA,20131218,UPDATE 1-Eni gets major price cut in GasTerra contract deal ,* GasTerra contract change includes new indexation mechanism,topStory
XOM,Exxon Mobil Corporation,20131218,Exxon stock zeroes in on $100 per share as rally stretches ,HOUSTON Exxon Mobil Corp  stock on Wednesday neared $100 per share  the continuation of a rally fueled by investor expectations that the world's largest publicly traded oil company would return more cash to shareholders in coming months.,topStory
XOM,Exxon Mobil Corporation,20131218,Exxon stock zeroes in on $100 per share as rally stretches ,HOUSTON  Dec 18 Exxon Mobil Corp stock on Wednesday neared $100 per share  the continuation of a rally fueled by investor expectations that the world's largest publicly traded oil company would return more cash to shareholders in coming months.,normal
XOM,Exxon Mobil Corporation,20131218,UPDATE 1-Exxon further cuts share in Japan refining amid sector rejig ,* ExxonMobil pulls back further from declining Japan market,normal
FDX,FedEx Corporation,20131218,FedEx second-quarter profit misses estimate; offers holiday optimism ,FedEx Corp  posted a 14 percent rise in quarterly profit on Wednesday on stronger margins and cost cuts  but results missed Wall Street estimates  which overshadowed the company's confident forecast for the holiday shopping season. | Video ,topStory
FDX,FedEx Corporation,20131218,REFILE-UPDATE 5-FedEx 2nd-qtr profit misses estimate; offers holiday optimism ,Dec 18 FedEx Corp posted a 14 percent rise in quarterly profit on Wednesday on stronger margins and cost cuts  but results missed Wall Street estimates  which overshadowed the company's confident forecast for the holiday shopping season.,normal
FDX,FedEx Corporation,20131218,US STOCKS-Wall Street ticks up  Fed decision awaited ,* Lennar shares up after results; Jabil slides on outlook,normal
FDX,FedEx Corporation,20131218,US STOCKS-Wall Street to open higher as Fed decision looms ,NEW YORK  Dec 18 U.S. stocks were set to rise at the open on Wednesday  with markets on tenterhooks ahead of the Federal Reserve's last policy announcement of the year  which might determine the immediate future of its 15-month long program to stimulate the economy.,normal
FDX,FedEx Corporation,20131218,US STOCKS-Futures tick up as Fed decision looms ,NEW YORK  Dec 18 U.S. stock index futures edged higher on Wednesday with markets on tenterhooks ahead of the Federal Reserve's last policy announcement of the year  which might determine the immediate future of its 15-month long program to stimulate the economy.,normal
FDX,FedEx Corporation,20131218,BRIEF-FedEx shares down 2.9 pct premarket after results ,NEW YORK  Dec 18 FedEx Corp :  * Shares down 2.9 percent in premarket trading after results,normal
FBC,Flagstar Bancorp Inc,20131218,Two Harbors to buy mortgage servicing rights from Flagstar ,Mortgage real estate investment trust Two Harbors Investment Corp  said its unit would buy a pool of mortgage servicing rights (MSRs) from Flagstar Bancorp Inc  for about $500 million.,topStory
FBC,Flagstar Bancorp Inc,20131218,Two Harbors to buy mortgage servicing rights from Flagstar ,Dec 18 Mortgage real estate investment trust Two Harbors Investment Corp said its unit would buy a pool of mortgage servicing rights (MSRs) from Flagstar Bancorp Inc  for about $500 million.,normal
F,Ford Motor Company,20131218,US STOCKS-Dow  S&P 500 end at record highs after Fed trims stimulus ,* Fed tapers purchases by $10 bln a month  keeps rates low,topStory
F,Ford Motor Company,20131218,Ford says profit to slow a gear in 2014; shares slump ,NEW YORK Ford Motor Co  warned Wednesday that the cost of launching new vehicles and a deteriorating Venezuelan economy would dent its profit next year  news that sent the No. 2 U.S. automaker's shares to their biggest one-day percentage drop in more than two years. | Video ,normal
F,Ford Motor Company,20131218,UPDATE 3-Ford says profit to slow a gear in 2014; shares slump ,(Adds details of Ford forecast  analysts' comments  background on Venezuelan currency),normal
F,Ford Motor Company,20131218,US STOCKS-Wall St jumps after Fed announces stimulus cut ,* Fed tapers purchases by $10 bln a month  keeps rates low,normal
F,Ford Motor Company,20131218,US STOCKS-Wall St turns positive after Fed announces tapering ,* Fed tapers purchases by $10 bln a month  keeps rates low,normal
F,Ford Motor Company,20131218,Ford CFO doesn't expect 2014 CEO succession announcement ,NEW YORK Ford Motor Co's  Chief Financial Officer Bob Shanks said on Wednesday that he does not expect an announcement next year on whether Chief Executive Alan Mulally will be succeeded by his second-in-command.,normal
F,Ford Motor Company,20131218,CORRECTED-Ford CFO doesn't expect 2014 CEO succession announcement ,(Corrects to make clear CFO does not expect announcement on CEO succession next year),normal
F,Ford Motor Company,20131218,Ford CFO does not expect COO Fields to replace CEO Mulally in '14 ,NEW YORK  Dec 18 Ford Motor Co's Chief Financial Officer Bob Shanks said on Wednesday that he does not expect Chief Executive Alan Mulally to be succeeded by his second-in-command in 2014.,normal
F,Ford Motor Company,20131218,US STOCKS-Wall Street ticks up  Fed decision awaited ,* Lennar shares up after results; Jabil slides on outlook,normal
F,Ford Motor Company,20131218,CORRECTED-Ford sees operating margin target at risk  shares fall ,(Corrects first paragraph to "expects North American pretax profit " adding words "North American"),normal
GFA,Gafisa SA,20131218,UPDATE 2-Brazil's Gafisa sees fewer launches  Tenda recovery in 2014 ,SAO PAULO  Dec 18 Brazilian homebuilder Gafisa SA plans to rein in new projects and expenses next year as it seeks to cut debt and boost profitability  executives said on Wednesday.,topStory
GFA,Gafisa SA,20131218,Brazil's Gafisa sees launches  leverage down next year ,SAO PAULO  Dec 18 Brazilian homebuilder Gafisa SA expects the value of new projects at between 1.5 billion reais ($647 million) and 1.7 billion reais next year.,normal
