ACOR,Acorda Therapeutics Inc,20160217,BRIEF-Biotie Therapies U.S. antitrust regulation relating to tender offer expires ,* U.S. antitrust regulation waiting period relating to tender offer has expired,topStory
GILD,Gilead Sciences Inc,20160217,UPDATE 2-Regulus hep C combo drug effective in mid-stage study ,* Drug combination shows effective response in hep c patients,normal
INO,Inovio Pharmaceuticals Inc,20160217,Zika vaccine shows promise in mice  lifting maker Inovio ,Hopes of developing a vaccine against Zika took a small step forward on Wednesday as Inovio Pharmaceuticals Inc  said its experimental shot had induced a robust and durable response in mice.,topStory
INO,Inovio Pharmaceuticals Inc,20160217,UPDATE 2-Zika vaccine shows promise in mice  lifting maker Inovio ,* At least 15 different groups working on Zika vaccines   (Adds context on other vaccine developers),normal
DTYS,iPath US Treasury 10-year Bear ETN,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
FLAT,iPath US Treasury Flattener ETN,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
FLAT,iPath US Treasury Flattener ETN,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
STPP,iPath US Treasury Steepener ETN,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
STPP,iPath US Treasury Steepener ETN,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
JACK,Jack In The Box Inc,20160217,Jack in the Box loses diners to rivals; shares sink ,Hamburger chain Jack in the Box Inc  reported a lower-than-expected profit as fewer customers visited its restaurants  making it the latest chain to be hit by a price war sparked by McDonald's Corp's  launch of all-day breakfasts.,topStory
JACK,Jack In The Box Inc,20160217,Jack in the Box loses diners to rivals; shares sink ,Feb 17 Hamburger chain Jack in the Box Inc  reported a lower-than-expected profit as fewer customers visited its restaurants  making it the latest chain to be hit by a price war sparked by McDonald's Corp's  launch of all-day breakfasts.,normal
MAR,Marriott International,20160217,Marriott revenue rises 4 pct ,Feb 17 Hotel chain Marriott International Inc  reported a 4 percent rise in quarterly revenue  boosted by higher room rates in North America.,topStory
MRVL,Marvell Technology Group Ltd,20160217,Marvell Technology to pay Carnegie Mellon $750 mln over patents ,Marvell Technology Group Ltd on Wednesday said it will pay Carnegie Mellon University $750 million to settle a nearly seven-year-old lawsuit accusing it of infringing two hard disk drive patents held by the Pittsburgh school.,topStory
MRVL,Marvell Technology Group Ltd,20160217,Marvell Technology to pay Carnegie Mellon $750 million over patents ,Marvell Technology Group Ltd on Wednesday said it will pay Carnegie Mellon University $750 million to settle a nearly seven-year-old lawsuit accusing it of infringing two hard disk drive patents held by the Pittsburgh school.,normal
MRVL,Marvell Technology Group Ltd,20160217,Marvell Technology to pay Carnegie Mellon $750 mln over patents ,Feb 17 Marvell Technology Group Ltd on Wednesday said it will pay Carnegie Mellon University $750 million to settle a nearly seven-year-old lawsuit accusing it of infringing two hard disk drive patents held by the Pittsburgh school.,normal
NTAP,NetApp Inc,20160217,NetApp revenue misses estimates; to cut jobs ,NetApp Inc   a data storage equipment maker  reported lower-than-expected quarterly revenue  hurt by weak demand for its storage products  and said it would cut about 12 percent of its workforce.,topStory
NTAP,NetApp Inc,20160217,UPDATE 1-NetApp revenue misses estimates; to cut jobs ,Feb 17 NetApp Inc  a data storage equipment maker  reported lower-than-expected quarterly revenue  hurt by weak demand for its storage products  and said it would cut about 12 percent of its workforce.,normal
NTAP,NetApp Inc,20160217,REFILE-NetApp revenue falls 10.6 pct; to cut 12 pct jobs ,Feb 17 Data storage equipment maker NetApp Inc  reported a 10.6 percent fall in quarterly revenue due to weak demand for its storage products  and said it would cut its workforce by 12 pct.,normal
NVDA,NVIDIA Corporation,20160217,Nvidia revenue rises 12 pct on higher chip demand ,Feb 17Chipmaker Nvidia Corp reported a 12 percent rise in quarterly revenue  helped by strong demand for its chips used in gaming consoles and personal computers.,topStory
RGLS,Regulus Therapeutics Inc,20160217,Regulus hep C combo drug effective in mid-stage study ,Regulus Therapeutics Inc said interim mid-stage data for its hepatitis C combination drug showed it had the potential to sharply reduce the duration of the treatment to four weeks from 12 weeks.,topStory
RGLS,Regulus Therapeutics Inc,20160217,UPDATE 2-Regulus hep C combo drug effective in mid-stage study ,* Drug combination shows effective response in hep c patients,normal
RGLS,Regulus Therapeutics Inc,20160217,Regulus hep C combination drug effective in mid-stage study ,Feb 17 Regulus Therapeutics Inc said patients tested with its hepatitis C drug combination treatment showed a sustained viral response in an ongoing mid-stage study  sending its shares up 39 percent in premarket trading.,normal
TMUS,T-Mobile US Inc,20160217,T-Mobile profit nearly triples  adds 2.1 million customers ,T-Mobile US Inc  nearly tripled its profit in the fourth quarter as its "Binge On" video streaming service and lower-priced plans helped it add more than 2 million subscribers.,topStory
TMUS,T-Mobile US Inc,20160217,UPDATE 4-T-Mobile profit nearly triples  adds 2.1 mln customers ,Feb 17 T-Mobile US Inc nearly tripled its profit in the fourth quarter as its "Binge On" video streaming service and lower-priced plans helped it add more than 2 million subscribers.,normal
TMUS,T-Mobile US Inc,20160217,T-Mobile profit nearly triples ,Feb 17 T-Mobile US Inc  the No.3 U.S. wireless carrier  said its quarterly profit nearly tripled as aggressive discounts helped it add more subscribers.,normal
VOD,Vodafone Group Plc,20160217,Indian tax office tells Vodafone to pay $2 billion in tax dispute ,MUMBAI India's tax office has sent Vodafone a reminder to pay $2 billion in taxes and threatened the UK group with seizure of local assets if it fails to do so  despite the dispute being the subject of an international arbitration process.,topStory
VOD,Vodafone Group Plc,20160217,Tax office tells Vodafone to pay $2 billion in tax dispute ,MUMBAI India's tax office has sent Vodafone a reminder to pay $2 billion in taxes and threatened the UK group with seizure of local assets if it fails to do so  despite the dispute being the subject of an international arbitration process.,normal
VOD,Vodafone Group Plc,20160217,UPDATE 2-Indian tax office tells Vodafone to pay $2 bln in tax dispute ,* Threatens with seizure of local assets in case of non-payment,normal
VOD,Vodafone Group Plc,20160217,PRESS DIGEST- British Business - Feb 17 ,Feb 17 - The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
ANTM,Anthem Inc,20160217,BRIEF-Express Scripts says hopeful can reach contract agreement with Anthem ,* Tells analysts in conference call it is hopeful it can reach contract agreement with Anthem Inc   Source text for Eikon:  Further company coverage:    (Reporting by Ransdell Pierson),topStory
ANTM,Anthem Inc,20160217,Judge allows some claims over Anthem data breach to go forward ,A federal judge has dismissed several claims but allowed others to go forward in a multidistrict litigation against health insurer Anthem Inc over a data breach last year that compromised about 79 million customers' personal information.,normal
ANTX,Anthem Inc,20160217,BRIEF-Express Scripts says hopeful can reach contract agreement with Anthem ,* Tells analysts in conference call it is hopeful it can reach contract agreement with Anthem Inc   Source text for Eikon:  Further company coverage:    (Reporting by Ransdell Pierson),topStory
ANTX,Anthem Inc,20160217,Judge allows some claims over Anthem data breach to go forward ,A federal judge has dismissed several claims but allowed others to go forward in a multidistrict litigation against health insurer Anthem Inc over a data breach last year that compromised about 79 million customers' personal information.,normal
BAC,Bank of America Corporation,20160217,Bank of America Merrill Lynch pares U.S. rate hike outlook for 2016 ,NEW YORK Bank of America Merrill Lynch on Wednesday reduced its forecast for the number of times the Federal Reserve will raise U.S. interest rates this year to two from its earlier projection of three to four due to recent market turbulence.,topStory
BCS,Barclays PLC,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
BCS,Barclays PLC,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
ABX,Barrick Gold Corporation,20160217,Barrick Gold posts smaller quarterly loss ,Feb 17 Barrick Gold Corp   the world's largest gold producer  reported a smaller quarterly loss as sale of its non-core assets helped offset a continued slump in gold prices.,topStory
BIG,Big Lots Inc,20160217,UPDATE 2-Ex-Deutsche Bank analyst fined  suspended over stock rating ,Feb 17 A former Deutsche Bank analyst agreed to a $100 000 penalty and year-long suspension after improperly approving a stock rating because he wanted to maintain good ties with the company  the U.S. Securities and Exchange Commission said on Wednesday.,normal
BIG,Big Lots Inc,20160217,Ex-Deutsche Bank analyst fined  suspended over stock rating ,A former Deutsche Bank analyst agreed to a $100 000 penalty and year-long suspension after improperly approving a rating on a stock  the U.S. Securities and Exchange Commission said on Wednesday.,normal
BLK,BlackRock Inc,20160217,Top BlackRock fund manager buys more European junk bonds ,NEW YORK  Feb 17 A top portfolio manager at BlackRock Inc said his fund recently added exposure to European junk bonds  adding that "widespread pessimism" in markets has created new investment opportunities.,topStory
BA,Boeing Company (The),20160217,Boeing CEO sees no downturn in commercial airplane cycle ,Boeing Co's  top executive reaffirmed on Wednesday the company's outlook for strong growth and cash flow over the next five years  dismissing investor concerns that the aviation business cycle is on the cusp of a downturn.,topStory
BA,Boeing Company (The),20160217,UPDATE 2-Boeing CEO sees no downturn in commercial airplane cycle ,Feb 17 Boeing Co's top executive reaffirmed on Wednesday the company's outlook for strong growth and cash flow over the next five years  dismissing investor concerns that the aviation business cycle is on the cusp of a downturn.,normal
BA,Boeing Company (The),20160217,Boeing CEO sees no downturn in commercial airplane cycle ,Feb 17 Boeing Co's top executive reaffirmed on Wednesday the company's outlook for strong growth and cash flow over the next five years  dismissing concerns the aviation business cycle is on the cusp of a downturn and predicting profitability will rise.,normal
BA,Boeing Company (The),20160217,Boeing's new CEO in spotlight after a rough ride this year ,Feb 17 Boeing Co's celebration of its centenary year is off to a rocky start  with new Chief Executive Dennis Muilenburg under pressure to address concerns about potential earnings and the strategy for its defense business when he meets with investors today.,normal
BA,Boeing Company (The),20160217,China's Okay Airways in commitment for Boeing 737 jets worth $1.3 billion ,SINGAPORE China's Okay Airways has signed a commitment for 12 Boeing  737 jets worth $1.3 billion at list prices  as the privately owned carrier looks to expand its fleet to tap the mainland's growing air travel market.,normal
BA,Boeing Company (The),20160217,Garuda Indonesia restructures fleet  defers plane deliveries ,SINGAPORE Garuda Indonesia  is facing pressure on yields because of over-capacity in markets and weak economic growth  forcing it to restructure its fleet and defer some aircraft deliveries  the airline's president said on Wednesday.,normal
BA,Boeing Company (The),20160217,AIRSHOW-UPDATE 1-Garuda Indonesia restructures fleet  defers plane deliveries ,SINGAPORE  Feb 17 Garuda Indonesia is facing pressure on yields because of over-capacity in markets and weak economic growth  forcing it to restructure its fleet and defer some aircraft deliveries  the airline's president said on Wednesday.,normal
BA,Boeing Company (The),20160217,AIRSHOW-China's Okay Airways in commitment for Boeing 737 jets worth $1.3 bln ,* Boeing  Okay Airways agreement includes options for 8 737 Max,normal
BA,Boeing Company (The),20160217,AIRSHOW-Boeing  Okay Airways sign commitment for 737 jets worth $1.3 bln ,SINGAPORE  Feb 17 Chinese carrier Okay Airways has signed a commitment for 12 Boeing 737 jets worth $1.3 billion.,normal
BA,Boeing Company (The),20160217,U.S. agency rejects Boeing protest of Northrop bomber contract ,A U.S. government agency on Tuesday rejected a protest filed by Boeing Co  and Lockheed Martin Corp  against a multibillion-dollar bomber contract awarded to Northrop Grumman Corp  by the U.S. Air Force in October.,normal
CF,CF Industries Holdings Inc,20160217,UPDATE 1-CF Industries profit misses estimates as prices weaken ,Feb 17 U.S. nitrogen fertilizer producer CF Industries Holdings Inc reported a lower-than-expected quarterly profit  hurt by weakening prices and higher costs.,topStory
CF,CF Industries Holdings Inc,20160217,CF Industries profit falls 89 pct as costs rise ,Feb 17 U.S. nitrogen fertilizer producer CF Industries Holdings Inc reported an 89 percent drop in fourth-quarter profit as costs rose sharply.,normal
SNP,China Petroleum & Chemical Corporation,20160217,China's Sinopec to shut four oilfields at Shengli: company paper ,BEIJING China's state-owned Sinopec will shut four oilfields this year at Shengli in the eastern province of Shandong  a company newspaper said late on Tuesday  as low global oil prices take a toll on output of the country's aging fields.,topStory
SNP,China Petroleum & Chemical Corporation,20160217,China's Sinopec to shut four oilfields at Shengli - company paper ,BEIJING  Feb 17 China's state-owned Sinopec will shut four oilfields this year at Shengli in the eastern province of Shandong  a company newspaper said late on Tuesday  as low global oil prices take a toll on output of the country's ageing fields.,normal
CNA,CNA Financial Corporation,20160217,Fitch Affirms CNA's Ratings; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  February 17 (Fitch) Fitch Ratings has affirmed CNA Financial  Corporation's (CNA) Issuer Default Rating (IDR) at 'BBB+' and senior unsecured  debt at 'BBB'. Fitch has also affirmed the Insurer Financial Strength (IFS)  ratings of CNA's property/casualty (P/C) insurance subsidiaries at 'A'. The  Rating Outlook for all ratings is Stable. A full list of ratings follows at the  end of this release. KEY RATING DRIVERS Fitch's rating,topStory
DVN,Devon Energy Corporation,20160217,BRIEF-Devon expects bids for its upstream assets in the first half of the year-CEO ,* Ceo says the access pipeline transaction could occur in Q1  discussions are in latter stages,topStory
ETE,Energy Transfer Equity LP,20160217,UPDATE 1-Williams shares rise as hedge funds pile in  ETE offer spread narrows ,NEW YORK/HOUSTON  Feb 17 William Cos Inc's  shares extended their surge on Wednesday  having jumped by nearly a fifth this week  narrowing the spread of the takeover offer by rival pipeline company Energy Transfer Equity LP.,topStory
ETE,Energy Transfer Equity LP,20160217,Williams shares pop as hedge funds pile in  ETE offer spread narrows ,Feb 17 William Cos Inc's shares continued their surge on Wednesday  having jumped by nearly a fifth this week  narrowing the spread of its takeover offer by rival pipeline company Energy Transfer Equity LP.,normal
XOM,Exxon Mobil Corporation,20160217,ExxonMobil shuts one of its offices in Azerbaijan: tax ministry ,BAKU U.S. energy company ExxonMobil  has closed one of its offices in Azerbaijan  the country's tax ministry said on Wednesday  the result of a delayed oil project.,topStory
XOM,Exxon Mobil Corporation,20160217,UPDATE 1-ExxonMobil shuts one of its offices in Azerbaijan - tax ministry ,BAKU  Feb 17 U.S. energy company ExxonMobil  has closed one of its offices in Azerbaijan  the country's tax ministry said on Wednesday  the result of a delayed oil project.,normal
XOM,Exxon Mobil Corporation,20160217,CORRECTED-ExxonMobil closes one of its offices in Azerbaijan - Azeri tax ministry ,BAKU  Feb 17 U.S. energy company ExxonMobil  has closed one of its offices in Azerbaijan  the Azeri taxation ministry said on Wednesday.,normal
XOM,Exxon Mobil Corporation,20160217,U.S. Exxon Mobil closes its office in Azerbaijan - Azeri tax ministry ,BAKU  Feb 17 U.S. energy company Exxon Mobil  has closed its representative office in Azerbaijan  the Azeri taxation ministry said on Wednesday.,normal
FMS,Fresenius Medical Care Corporation,20160217,FMC takes $60 mln pretax burden on GranuFlo settlement ,FRANKFURT  Feb 17 Dialysis specialist Fresenius Medical Care (FMC) settled out of court for $250 million with U.S. plaintiffs who had accused the German company of understating the side effects of a medical product  it said late on Wednesday.,topStory
GEK,General Electric Capital Corporation,20160217,Spirit Aero names former GE exec as COO ,WASHINGTON  Feb 16 Aircraft parts maker Spirit AeroSystems Holdings Inc on Tuesday said it had named Tom Gentile  a former senior General Electric Co  executive  as executive vice president and chief operating officer  effective April 1.,topStory
GE,General Electric Company,20160217,Spirit Aero names former GE exec as COO ,WASHINGTON  Feb 16 Aircraft parts maker Spirit AeroSystems Holdings Inc on Tuesday said it had named Tom Gentile  a former senior General Electric Co  executive  as executive vice president and chief operating officer  effective April 1.,topStory
GDDY,GoDaddy Inc,20160217,GoDaddy's revenue misses estimates as strong dollar weighs ,Web-hosting company GoDaddy Inc forecast first-quarter revenue largely below analysts' estimates  citing a strong dollar.,topStory
GDDY,GoDaddy Inc,20160217,UPDATE 2-GoDaddy's revenue misses estimates as strong dollar weighs ,Feb 17 Web-hosting company GoDaddy Inc  forecast first-quarter revenue largely below analysts' estimates  citing a strong dollar.,normal
GDDY,GoDaddy Inc,20160217,CORRECTED-GoDaddy fourth-quarter revenue rises 14.4 percent ,Feb 17 Web-hosting company GoDaddy Inc  reported a 14.4 percent rise in quarterly revenue  helped by higher demand for its domain registration and Web hosting services.,normal
HSBC,HSBC Holdings plc,20160217,HSBC effectively scraps pay rise for managers at UK retail bank: source ,LONDON Most managers at HSBC's  UK retail and wealth unit will not be getting a pay rise this year  a source familiar with the matter said on Wednesday  in what marks the bank's third change to pay policy in as many weeks.,topStory
HSBC,HSBC Holdings plc,20160217,HSBC effectively scraps pay rise for managers at UK retail bank -source ,LONDON  Feb 17 Most managers at HSBC's  UK retail and wealth unit will not be getting a pay rise this year  a source familiar with the matter said on Wednesday  in what marks the bank's third change to pay policy in as many weeks.,normal
HSEA,HSBC Holdings plc,20160217,HSBC effectively scraps pay rise for managers at UK retail bank: source ,LONDON Most managers at HSBC's  UK retail and wealth unit will not be getting a pay rise this year  a source familiar with the matter said on Wednesday  in what marks the bank's third change to pay policy in as many weeks.,topStory
HSEA,HSBC Holdings plc,20160217,HSBC effectively scraps pay rise for managers at UK retail bank -source ,LONDON  Feb 17 Most managers at HSBC's  UK retail and wealth unit will not be getting a pay rise this year  a source familiar with the matter said on Wednesday  in what marks the bank's third change to pay policy in as many weeks.,normal
HSEB,HSBC Holdings plc,20160217,HSBC effectively scraps pay rise for managers at UK retail bank: source ,LONDON Most managers at HSBC's  UK retail and wealth unit will not be getting a pay rise this year  a source familiar with the matter said on Wednesday  in what marks the bank's third change to pay policy in as many weeks.,topStory
HSEB,HSBC Holdings plc,20160217,HSBC effectively scraps pay rise for managers at UK retail bank -source ,LONDON  Feb 17 Most managers at HSBC's  UK retail and wealth unit will not be getting a pay rise this year  a source familiar with the matter said on Wednesday  in what marks the bank's third change to pay policy in as many weeks.,normal
IBM,International Business Machines Corporation,20160217,Fitch Rates IBM's Sr. Unsecured Notes Offering 'A+' ,(The following statement was released by the rating agency) CHICAGO  February 17 (Fitch) Fitch Ratings has assigned an 'A+' rating to  International Business Machines Corporation's (IBM) $5 billion senior notes  offering. IBM will use net proceeds for general corporate purposes  including  potentially funding a portion of the company's acquisition of The Weather  Company. Fitch's action affects approximately $55 billion of debt  including  IBM's undrawn $10 billion revolving credit facility (RCF,topStory
