ACHC,Acadia Healthcare Company Inc,20160218,BRIEF-UK's CMA serves Acadia initial enforcement order over Priory deal ,* Served an initial enforcement order on Acadia Healthcare Co and its UK subsidiary in relation to completed acquisition of Priory Group No. 1 Ltd  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +91 806 749 1136),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DLBL,Barclays PLC,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
DLBL,Barclays PLC,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DLBL,Barclays PLC,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DLBL,Barclays PLC,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DLBL,Barclays PLC,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTYL,Barclays PLC,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
DTYL,Barclays PLC,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTYL,Barclays PLC,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTYL,Barclays PLC,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTYL,Barclays PLC,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
CDNA,CareDx Inc,20160218,BRIEF-CareDx to acquire all of outstanding shares of Allenex ,* CareDx  Inc (the "Bidder") announced on Dec. 16  2015 a public takeover offer to the shareholders of Allenex AB to acquire all outstanding shares of Allenex,topStory
DISH,DISH Network Corporation,20160218,Dish net income tumbles in 2015 as subscribers drop; shares slump ,Dish Network Corp  reported lower net income in 2015 from a year earlier amid a drop in pay-TV subscriptions and a wireless airwaves auction-related expense  sending its shares down more than 4 percent on Thursday.,topStory
DISH,DISH Network Corporation,20160218,UPDATE 5-Dish net income tumbles in 2015 as subscribers drop; shares slump ,* Exited 2015 with about 13.9 mln pay-TV subscribers   (Adds executive comments  updates Craig Moffett's subscriber estimates in ninth paragraph.),normal
DISH,DISH Network Corporation,20160218,CORRECTED-UPDATE 3-Dish 2015 earnings fall as subscribers decline; shares drop ,Feb 18 Satellite TV company Dish Network Corp's  earnings dropped in 2015  hurt by a decline in pay-TV subscribers and a wireless airwaves auction-related expense  sending its shares down more than 3 percent in early trading on Thursday.,normal
DISH,DISH Network Corporation,20160218,Satellite TV company Dish's revenue rises 3.4 pct in 2015 ,Feb 18 Dish Network Corp reported a 3.4 percent rise in full-year revenue  helped by higher revenue per user in its core pay-TV business.,normal
GOGL,Golden Ocean Group Limited,20160218,BRIEF-Golden Ocean says share issue bookbuilding to end Feb 19 ,* Says bookbuilding period in $200 million share issue will start February 18 at 16:30 cet and end at February 19 at 08:30 cet  Source text for Eikon:  Further company coverage:,topStory
GOGL,Golden Ocean Group Limited,20160218,EXECUTIVE VIEW-Golden Ocean refinance to survive another tough year ,OSLO  Feb 18 Dry bulk shipping firm Golden Ocean  plans to raise $200 million in fresh equity  backed by its main owner billionaire John Fredriksen  as it continues to face weak markets for its vessels.,normal
GOGL,Golden Ocean Group Limited,20160218,Dry bulker Golden Ocean plans to raise $200 mln in restructuring ,OSLO  Feb 18 Billionaire investor John Fredriksen's dry bulk shipping firm Golden Ocean   plans to raise $200 million in fresh equity as it continues to face weak markets for its vessels  the company said on Thursday.,normal
GOGL,Golden Ocean Group Limited,20160218,BRIEF-Dry bulk shipper Golden Ocean swings to a Q4 net loss ,* Q4 net loss of $69.3 million and a loss per share of $0.40 compared to a profit of $5.2 million and $0.06 a year ago,normal
DTYS,iPath US Treasury 10-year Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
FLAT,iPath US Treasury Flattener ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
FLAT,iPath US Treasury Flattener ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
FLAT,iPath US Treasury Flattener ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
FLAT,iPath US Treasury Flattener ETN,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
FLAT,iPath US Treasury Flattener ETN,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
STPP,iPath US Treasury Steepener ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
STPP,iPath US Treasury Steepener ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
STPP,iPath US Treasury Steepener ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
STPP,iPath US Treasury Steepener ETN,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
STPP,iPath US Treasury Steepener ETN,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
MAR,Marriott International,20160218,Starwood Hotels  Marriott cut key revenue metric forecast ,Feb 18 U.S. hotel operators Starwood Hotels & Resorts Worldwide and Marriott International cut their 2016 forecast for a key revenue metric amid fears of slowing global economic growth.,topStory
MAR,Marriott International,20160218,Marriott revenue rises 4 percent ,Hotel chain Marriott International Inc  reported a 4 percent rise in quarterly revenue  boosted by higher room rates in North America.,normal
VOD,Vodafone Group Plc,20160218,BRIEF-Vodafone to raise 2.9 bln stg in convertible bonds issue ,* Intends to raise approximately £2.9 billion through issuance of mandatory convertible bonds,topStory
ZFGN,Zafgen Inc,20160218,Zafgen obesity drug succeeds in mid-stage trial  shares rise ,Zafgen Inc's controversial obesity drug reduced the weight of overweight diabetic patients  the second trial success in as many months for the drug on which all tests have been halted since December after two patients died.,topStory
ZFGN,Zafgen Inc,20160218,UPDATE 2-Zafgen obesity drug succeeds in mid-stage trial  shares rise ,* Shares rise 12 percent in premarket trading   (Adds analyst comment  details),normal
APO,Apollo Global Management LLC,20160218,TRLPC: US loan market braced for ADT's giant US$7bn leveraged buyout ,NEW YORK  Feb 18 The US$4.7bn financing backing security firm ADT's jumbo US$7bn buyout by Apollo Global Management is expected to provide a litmus test for appetite in the turbulent US leveraged finance market.,normal
AGX,Argan Inc,20160218,BRIEF-Argan sells portfolio of 4 logistics platforms ,* Sells portfolio of 4 logistics platforms to CBRE Global Investors,topStory
BLL,Ball Corporation,20160218,BRIEF-Rexam full-year sales from cont ops rise ,* FY sales from cont ops 3.925 bln stg vs 3.832 bln stg yr ago,topStory
BCS,Barclays PLC,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
BCS,Barclays PLC,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
BCS,Barclays PLC,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
BCS,Barclays PLC,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
BCS,Barclays PLC,20160218,Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
ABX,Barrick Gold Corporation,20160218,Barrick Gold aims to cut at least $2 billion in debt this year (Feb. 17) , (The story headline and paragraph 1 were corrected to say company set production and debt-reduction targets for 2016  not cut forecast and costs),topStory
ABX,Barrick Gold Corporation,20160218,RPT-CORRECTED-UPDATE 1-Barrick Gold aims to cut at least $2 bln in debt this year (Feb. 17) ,Feb 17 Barrick Gold Corp   the world's largest gold producer  on Wednesday forecast 2016 gold production of 5.0-5.5 million ounces and a debt reduction target of at least $2 billion for the year.,normal
ABX,Barrick Gold Corporation,20160218,CORRECTED-UPDATE 1-Barrick Gold aims to cut at least $2 bln in debt this year ,Feb 17 Barrick Gold Corp   the world's largest gold producer  on Wednesday forecast 2016 gold production of 5.0-5.5 million ounces and a debt reduction target of at least $2 billion for the year.,normal
BLK,BlackRock Inc,20160218,Banks build ETF businesses as growth stalls in bond trading ,Feb 18 Wall Street banks are ramping up businesses that trade exchange-traded funds full of bonds  a bright spot of growth at an otherwise bleak time for trading but one that may carry unappreciated risk.,normal
BA,Boeing Company (The),20160218,Boeing engineers overwhelmingly back new labor contracts ,Boeing Co's  engineers' union ratified six-year labor contracts by a wide margin on Wednesday  a vote that ensures stability during a period when the planemaker is bringing out new versions of its two most profitable jetliners  the 737 and the 777.,topStory
BA,Boeing Company (The),20160218,UPDATE 1-Boeing engineers overwhelmingly back new labor contracts ,Feb 17 Boeing Co's engineers' union ratified six-year labor contracts by a wide margin on Wednesday  a vote that ensures stability during a period when the planemaker is bringing out new versions of its two most profitable jetliners  the 737 and the 777.,normal
BA,Boeing Company (The),20160218,Boeing engineers' union overwhelmingly backs new labor contracts ,Feb 18 Boeing Co's engineers' union ratified six-year labor contracts by a wide margin on Wednesday  a vote that ensures stability during a period when Boeing is bringing out new versions of its two most profitable jetliners.,normal
BP,BP plc,20160218,Judge rules BP settlement funds cannot go to build hotel ,Alabama cannot use $58.5 million of BP oil spill settlement money on a coastal hotel and conference center project previously approved by federal and state trustees  a U.S. district court judge has ruled.,topStory
BAK,Braskem SA,20160218,Brazil's Braskem posts $39 mln quarterly profit ,SAO PAULO  Feb 18 Brazilian petrochemical company Braskem SA posted fourth-quarter net income of 158 million reais ($39 million) on Thursday  reversing a year-earlier loss due to a favorable exchange rate and falling crude oil prices.,topStory
CAT,Caterpillar Inc,20160218,UPDATE 1-Caterpillar dealer Finning Q4 profit misses; to cut more jobs ,Feb 18 Canada's Finning International Inc   the world's biggest dealer of Caterpillar Inc  equipment  posted a lower-than-expected quarterly profit and said it would cut more jobs.,topStory
CAT,Caterpillar Inc,20160218,Finning International swings to loss; to cut more jobs ,Feb 18 Canada's Finning International Inc   the world's biggest dealer of Caterpillar Inc  equipment  swung to a quarterly loss and said it would cut more jobs.,normal
C,Citigroup Inc,20160218,Citi raises CEO Corbat's pay by 27 percent in 2015 ,Citigroup Inc  raised Chief Executive Michael Corbat's pay by an estimated 27 percent in 2015  a year in which the bank's profit more than doubled.,topStory
C,Citigroup Inc,20160218,UPDATE 1-Citi raises CEO Corbat's pay by 27 pct in 2015 ,Feb 18 Citigroup Inc raised Chief Executive Michael Corbat's pay by an estimated 27 percent in 2015  a year in which the bank's profit more than doubled.,normal
C,Citigroup Inc,20160218,Citi raises CEO Corbat's pay by 27 pct in 2015 ,Feb 18 Citigroup Inc raised Chief Executive Michael Corbat's pay by an estimated 27 percent in 2015  a year in which the bank's profit more than doubled.,normal
C,Citigroup Inc,20160218,Citigroup plans to exit retail banking in Argentina  Brazil - Bloomberg ,Citigroup Inc  plans to exit retail banking in Argentina and Brazil  Bloomberg reported  citing a person familiar with the matter.,normal
C,Citigroup Inc,20160218,UPDATE 1-Citigroup plans to exit retail banking in Argentina  Brazil - Bbg ,Feb 18 Citigroup Inc plans to exit retail banking in Argentina and Brazil  Bloomberg reported  citing a person familiar with the matter.,normal
C,Citigroup Inc,20160218,Citigroup plans to exit retail banking in Argentina  Brazil-Bloomberg ,Feb 18 Citigroup Inc plans to exit retail banking in Argentina and Brazil  Bloomberg reported  citing a person familiar with the matter.,normal
DB,Deutsche Bank AG,20160218,Defendant in Deutsche Bank carbon trial says he was victim ,FRANKFURT  Feb 18 A former Deutsche Bank  employee alleged to have evaded tax when buying and selling carbon emission certificates told a Frankfurt court on Thursday that he was the innocent victim of criminal traders.,topStory
