ATVI,Activision Blizzard Inc,20160115,BRIEF-Vivendi unwounds hedge on remaining stake in Activision Blizzard ,* Announced that it unwound the hedge on its remaining 41.5 million Activision Blizzard Inc shares,topStory
BLK,BlackRock Inc,20160115,UPDATE 4-BlackRock reels in billions but profits miss expectations ,Jan 15 Investors drove $54 billion into BlackRock Inc funds during a weak and turbulent fourth quarter for financial markets  driving profits higher  but the company nonetheless missed Wall Street analysts' forecasts.,normal
BLK,BlackRock Inc,20160115,BlackRock quarterly profit rises 6 pct ,Jan 15 BlackRock Inc  the world's largest asset manager  said on Friday its profit rose about 6 percent in a turbulent fourth quarter for investors.,normal
BT,BT Group plc,20160115,BT takeover of mobile firm EE cleared by UK competition body ,LONDON BT Group won approval for its 12.5 billion pound ($18 billion) acquisition of mobile operator EE on Friday from British competition authorities which said it would not greatly   reduce competition in broadband  fixed and mobile markets.,topStory
BT,BT Group plc,20160115,UPDATE 2-BT takeover of mobile firm EE cleared by UK competition body ,* Rival TalkTalk disappointed by decision   (Adds BT detail on market share post-deal  updates shares),normal
BT,BT Group plc,20160115,BRIEF-BT says EE deal to close on Jan. 29 ,* Welcomed competition and markets authority's decision to approve its acquisition of EE  unconditionally without remedies,normal
BT,BT Group plc,20160115,BT takeover of mobile firm EE cleared by competition authorities   ,LONDON  Jan 15 British competition authorities cleared BT Group 's 12.5 billion pound acquisition of mobile operator EE on Friday  saying it would not substantially lesson competition in the broadband  fixed and mobile markets.,normal
CVX,Chevron Corporation,20160115,Chevron readies first LNG cargo from Australian mega project ,SINGAPORE Chevron Corp said on Friday it is on track to export the first cargo of liquefied natural gas (LNG) from its Australian Gorgon project - the world's most expensive - early this year.,topStory
CVX,Chevron Corporation,20160115,Chevron readies first LNG cargo from Australian mega project ,SINGAPORE  Jan 15 Chevron Corp said on Friday it is on track to export the first cargo of liquefied natural gas (LNG) from its Australian Gorgon project - the world's most expensive - early this year.,normal
SNP,China Petroleum & Chemical Corporation,20160115,Exclusive: China buys first U.S. crude cargo since end of export ban - source ,China’s state-run oil refiner Sinopec Corp has purchased its first ever batch of U.S. crude oil for export  a source told Reuters on Thursday  a landmark transaction after the ending of a four-decade ban on domestic exports.,topStory
SNP,China Petroleum & Chemical Corporation,20160115,OPEC's oil basket price drops to $25 a barrel ,DUBAI  Jan 15 The average price for a basket of crudes from OPEC producers fell to $25 a barrel on Thursday  the group said  even before unrestrained exports from Iran hit the market.,normal
CMG,Chipotle Mexican Grill Inc,20160115,Chipotle to shut outlets next month for food safety meeting ,Popular burrito chain Chipotle Mexican Grill Inc will close its restaurants for a few hours next month to hold a meeting on food safety with employees  company executives said.,topStory
CMG,Chipotle Mexican Grill Inc,20160115,Chipotle to shut outlets next month for food safety meeting ,Jan 15 Popular burrito chain Chipotle Mexican Grill Inc will close its restaurants for a few hours next month to hold a meeting on food safety with employees  company executives said.,normal
C,Citigroup Inc,20160115,Fitch: Citi's 4Q'15 Results Lower Due to Challenging Environment ,(The following statement was released by the rating agency) CHICAGO  January 15 (Fitch) Fitch Ratings views Citigroup's (Citi) earnings  performance in the fourth quarter of 2015 (4Q'15) as disappointing  but the  full-year's results were in line with the agency's expectations. Citi reported a  0.77% return on assets (ROA) in the fourth quarter of 2015 (4Q'15) and 0.94% for  the full-year. Results for the full-year were within the company's target of  90bps to 110bps.  Performance in 4Q'15 fell ,topStory
C,Citigroup Inc,20160115,RBS settlement on U.S. mortgages could come within weeks - analysts ,Royal Bank of Scotland could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,normal
C,Citigroup Inc,20160115,RBS settlement on U.S. mortgages could come within weeks: analysts ,LONDON Royal Bank of Scotland could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,normal
C,Citigroup Inc,20160115,RBS settlement on U.S. mortgages could come within weeks  -analysts ,LONDON  Jan 15 Royal Bank of Scotland  could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,normal
C,Citigroup Inc,20160115,Citigroup profit leaps as legal bill shrinks ,Jan 15 Citigroup Inc  the No.3 U.S. bank by assets  reported a massive jump in quarterly profit as costs plunged from a year earlier  when the bank took $3.5 billion in legal and repositioning charges.,normal
CB,D/B/A Chubb Limited New,20160115,Fitch Affirms ACE Ltd & Chubb's IFS Ratings Following Acquisition; Downgrades Chubb Holding Company ,(The following statement was released by the rating agency) CHICAGO  January 15 (Fitch) Fitch Ratings has affirmed all the ratings for ACE  Limited and its subsidiaries (ACE) and the Insurer Financial Strength (IFS)  ratings for The Chubb Corporation (Chubb) operating subsidiaries. Fitch has  downgraded Chubb's Issuer Default Rating (IDR) to 'A+' from 'AA-' and downgraded  all other holding company obligations one notch. The Rating Outlook for all  ratings is Stable. A complete list of ratings f,topStory
ETE,Energy Transfer Equity LP,20160115,Williams' board "committed" on completing Energy Transfer deal ,Williams Cos Inc said it would go ahead with the $33 billion deal to be acquired by pipeline giant Energy Transfer Equity LP  allaying concerns that the transaction might fall apart due to the steep slide in oil prices.,topStory
ETE,Energy Transfer Equity LP,20160115,Williams' board 'committed' on completing Energy Transfer deal ,Williams Cos Inc  said it would go ahead with the $33 billion deal to be acquired by pipeline giant Energy Transfer Equity LP   allaying concerns that the transaction might fall apart due to the steep slide in oil prices.,normal
ETE,Energy Transfer Equity LP,20160115,Williams' board "committed" on completing Energy Transfer deal ,Jan 15 Williams Cos Inc said it would go ahead with the $33 billion deal to be acquired by pipeline giant Energy Transfer Equity LP  allaying concerns that the transaction might fall apart due to the steep slide in oil prices.,normal
XOM,Exxon Mobil Corporation,20160115,Workers call off strike at 300 000-bpd Exxon Antwerp refinery - union ,LONDON  Jan 15 Workers at Exxon Mobil's  300 000-barrels-per-day Antwerp refinery in Belgium have cancelled a planned walk-out after agreeing to a proposed deal from the company  a union spokesman said on Friday.,topStory
XOM,Exxon Mobil Corporation,20160115,Chevron readies first LNG cargo from Australian mega project ,SINGAPORE Chevron Corp said on Friday it is on track to export the first cargo of liquefied natural gas (LNG) from its Australian Gorgon project - the world's most expensive - early this year.,normal
XOM,Exxon Mobil Corporation,20160115,Chevron readies first LNG cargo from Australian mega project ,SINGAPORE  Jan 15 Chevron Corp said on Friday it is on track to export the first cargo of liquefied natural gas (LNG) from its Australian Gorgon project - the world's most expensive - early this year.,normal
FCAU,Fiat Chrysler Automobiles NV,20160115,Fiat Chrysler shares hit by report of U.S. lawsuit ,MILAN/DETROIT Shares of Fiat Chrysler Automobiles (FCA) fell by more than 10 percent in Milan on Thursday after the owner of two Chicago-area dealerships filed a lawsuit accusing the company of inflating sales  adding to the legal woes hitting the sector.,topStory
FCAU,Fiat Chrysler Automobiles NV,20160115,UPDATE 3-Fiat Chrysler shares hit by report of U.S. lawsuit ,* Shares fall 11 pct in Milan  suspended twice for volatility,normal
BEN,Franklin Resources Inc,20160115,Franklin ends fight over Stockton bankruptcy with a warning ,Stockton  California's long-running bankruptcy is at an end after the final hold-out creditor dropped its appeal  but not before warning of the consequences of the Chapter 9 case.,topStory
GEK,General Electric Capital Corporation,20160115,Deals of the day-Mergers and acquisitions ,Jan 15 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Friday:,topStory
GEK,General Electric Capital Corporation,20160115,GE to sell appliances business to China's Haier for $5.4 billion ,Haier Group said it would buy General Electric Co's appliance business for $5.4 billion  the Chinese company's latest attempt to boost its presence in the lucrative United States market. | Video ,normal
GEK,General Electric Capital Corporation,20160115,UPDATE 4-GE to sell appliances business to China's Haier for $5.4 bln ,Jan 15 Haier Group said it would buy General Electric Co's appliance business for $5.4 billion  the Chinese company's latest attempt to boost its presence in the lucrative United States market.,normal
GEK,General Electric Capital Corporation,20160115,CORRECTED-UPDATE 3-GE to sell appliances business to China's Haier for $5.4 bln ,Jan 15 General Electric Co said it would sell its appliance business to China's Haier Group for $5.4 billion in cash  another step in its push to sell its non-core assets and project itself as a technology company.,normal
GEK,General Electric Capital Corporation,20160115,GE to sell appliances business to Haier for $5.4 bln ,Jan 14 General Electric Co said on Friday it has agreed to sell its appliances business to Qingdao Haier Co Ltd for $5.4 billion.,normal
GEK,General Electric Capital Corporation,20160115,BRIEF-Qingdao Haier agrees to buy GE's appliances business for $5.4 bln ,* Says signs agreement to buy General Electric Co's  appliances business for $5.4 billion via cash,normal
GE,General Electric Company,20160115,Deals of the day-Mergers and acquisitions ,Jan 15 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Friday:,topStory
GE,General Electric Company,20160115,GE to sell appliances business to China's Haier for $5.4 billion ,Haier Group said it would buy General Electric Co's appliance business for $5.4 billion  the Chinese company's latest attempt to boost its presence in the lucrative United States market. | Video ,normal
GE,General Electric Company,20160115,UPDATE 4-GE to sell appliances business to China's Haier for $5.4 bln ,Jan 15 Haier Group said it would buy General Electric Co's appliance business for $5.4 billion  the Chinese company's latest attempt to boost its presence in the lucrative United States market.,normal
GE,General Electric Company,20160115,CORRECTED-UPDATE 3-GE to sell appliances business to China's Haier for $5.4 bln ,Jan 15 General Electric Co said it would sell its appliance business to China's Haier Group for $5.4 billion in cash  another step in its push to sell its non-core assets and project itself as a technology company.,normal
GE,General Electric Company,20160115,GE to sell appliances business to Haier for $5.4 bln ,Jan 14 General Electric Co said on Friday it has agreed to sell its appliances business to Qingdao Haier Co Ltd for $5.4 billion.,normal
GE,General Electric Company,20160115,BRIEF-Qingdao Haier agrees to buy GE's appliances business for $5.4 bln ,* Says signs agreement to buy General Electric Co's  appliances business for $5.4 billion via cash,normal
GS,Goldman Sachs Group Inc (The),20160115,Goldman maintains $40 a barrel oil forecast ,Goldman Sachs said on Friday it was still not adopting the view of crude prices falling to $20 per barrel as its baseline forecast  saying it did not see the market hitting storage capacity constraints.,topStory
INFY,Infosys Limited,20160115,Morning News Call - India  January 15 ,To access the newsletter  click on the link:    http://share.thomsonreuters.com/assets/newsletters/Indiamorning/MNC_IN_01152016.pdf           FACTORS TO WATCH     10:00 am: Food Minister Ram Vilas Paswan and CBEC chairman Najib Shah at FICCI event on illicit trade.     3:15 pm: State Bank of India Chairman Arundhati Bhattacharya to brief media on likely tie-up with Snapdeal.     3:30 pm: CBEC chairman Najib Shah and DIPP Joint Secretary Atul Chaturvedi at CII retail summit.     5:00 pm: RBI to r,normal
ITUB,Itau Unibanco Banco Holding SA,20160115,Brazil's Petrobras tells analysts it may need further capex cuts - Itau BBA ,SAO PAULO  Jan 15 Brazil's state-run oil company Petroleo Brasileiro SA is pressing ahead with the sale of $15 billion in assets but may need to make further cuts to its investment plan depending on oil prices  the company told analysts on Friday according to a client note from Itaú BBA.,topStory
JPM,J P Morgan Chase & Co,20160115,BRIEF-JP Morgan trims long position in Telecom Italia ,Jan 15 A filing with Italian market regulator Consob shows:,topStory
JPM,J P Morgan Chase & Co,20160115,RBS settlement on U.S. mortgages could come within weeks: analysts ,LONDON Royal Bank of Scotland could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,normal
JPM,J P Morgan Chase & Co,20160115,RBS settlement on U.S. mortgages could come within weeks  -analysts ,LONDON  Jan 15 Royal Bank of Scotland  could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,normal
JPM,J P Morgan Chase & Co,20160115,MOVES-JPMorgan's asset management unit hires Nick Malangone ,Jan 15 JPMorgan Chase & Co's J.P. Morgan Asset Management said it hired Nick Malangone as executive director and insurance portfolio manager in its multi-asset solutions team.,normal
KKR,KKR & Co LP,20160115,INSIGHT-Private equity deals hit as banks curb lending for leveraged buyouts ,NEW YORK  Jan 15 For KKR & Co LP  the private equity firm behind some of the world's largest leveraged buyouts  the acquisition of U.S. outdoor retailer Mills Fleet Farm for a little more than $1.2 billion should have been a formality.,normal
LNC,Lincoln National Corporation,20160115,Fitch Affirms Lincoln National Corp.'s Ratings; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  January 15 (Fitch) Fitch Ratings has affirmed Lincoln National  Corporation's (LNC) Long-term Issuer Default Rating (IDR) at 'A-'  and the  Insurer Financial Strength (IFS) ratings of LNC's insurance operating  subsidiaries at 'A+'. The Rating Outlook is Stable. A full list of rating  actions follows at the end of this release. KEY RATING DRIVERS Today's rating actions reflect LNC's good overall operating performance  strong  ,topStory
LYG,Lloyds Banking Group Plc,20160115,Lloyds bond investors take fight to Supreme Court ,LONDON  Jan 15 (IFR) - Investors in high-interest Lloyds Banking Group bonds that the bank wants to cancel have lodged an appeal with London's Supreme Court in a final attempt to stop the move.,topStory
LMT,Lockheed Martin Corporation,20160115,UPDATE 1-Pratt seals deal with Pentagon for 167 F-35 engines ,WASHINGTON  Jan 15 Engine maker Pratt & Whitney has reached an agreement with the Pentagon about two separate contracts to build 167 engines to power the F-35 fighter jet built by Lockheed Martin Corp  the company and Pentagon said in a joint statement.,topStory
LMT,Lockheed Martin Corporation,20160115,Lockheed says committed to commercial helicopter market ,WASHINGTON Lockheed Martin is committed to the commercial helicopter market despite shrinkage in the sector due to the slide in oil prices since it took over Sikorsky Aircraft from United Technologies Corp  last year  a senior executive told Reuters on Thursday.,normal
MCK,McKesson Corporation,20160115,EU mergers and takeovers (Jan 15) ,BRUSSELS  Jan 15 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
MRK,Merck & Company Inc,20160115,Fight over Merck name sees German firm win in British court ,FRANKFURT Germany's Merck KGaA said it won a British court's backing in its quest to keep U.S. namesake drugmaker Merck & Co Inc from doing business under the Merck name outside North America  part of an increasingly bitter legal feud.,topStory
MRK,Merck & Company Inc,20160115,Fight over Merck name sees German firm win in British court ,FRANKFURT  Jan 15 Germany's Merck KGaA  said it won a British court's backing in its quest to keep U.S. namesake drugmaker Merck & Co Inc from doing business under the Merck name outside North America  part of an increasingly bitter legal feud.,normal
MRK,Merck & Company Inc,20160115,Merck agrees to pay $830 mln to settle Vioxx securities lawsuit ,U.S. drugmaker Merck & Co on Friday said it would pay $830 million to settle a federal class action lawsuit involving allegations the company failed to adequately inform investors about heart risks from its now-recalled Vioxx pain medication.,normal
MRK,Merck & Company Inc,20160115,Merck agrees to pay $830 million to settle Vioxx securities lawsuit ,U.S. drugmaker Merck & Co on Friday said it would pay $830 million to settle a federal class action lawsuit involving allegations the company failed to adequately inform investors about heart risks from its now-recalled Vioxx pain medication.,normal
MRK,Merck & Company Inc,20160115,Merck agrees to pay $830 mln to settle Vioxx securities lawsuit ,Jan 15 U.S. drugmaker Merck & Co on Friday said it would pay $830 million to settle a federal class action lawsuit involving allegations the company failed to adequately inform investors about heart risks from its now-recalled Vioxx pain medication.,normal
ORAN,Orange,20160115,Orange talking to rivals about selling Bouygues Telecom assets: sources ,PARIS French telecommunications operator Orange  has started informal talks with rivals Numericable-SFR  and Iliad  on possible asset sales to satisfy competition concerns in case it acquires Bouygues Telecom  sources close to the matter said.,topStory
ORAN,Orange,20160115,UPDATE 2-Orange talking to rivals about selling Bouygues Telecom assets -sources ,* Potential Orange  Bouygues deal could be reached before Feb. 16   (Adds comments on EE sale  regulatory screening of the deal),normal
ORAN,Orange,20160115,UPDATE 1-Orange talking to rivals about selling Bouygues Telecom assets -sources ,PARIS  Jan 15 French telecommunications operator Orange has started informal talks with rivals Numericable-SFR and Iliad on possible asset sales to satisfy competition concerns in case it acquires Bouygues Telecom  sources close to the matter said.,normal
ORAN,Orange,20160115,Orange talking to rivals about selling Bouygues Telecom assets-sources ,PARIS  Jan 15 Orange  France's biggest telecommunications firm  has started informal talks with rivals Numericable-SFR and Iliad on possible asset sales in case it would acquire Bouygues' telecoms unit  sources close to the matter said.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20160115,Petrobras says to speed up asset sales; bailout 'last resort' ,RIO DE JANEIRO Brazil's Petroleo Brasileiro SA is confident it can sell $15 billion in assets by the end of the year to pay off debt and limit further cuts to its investments as oil prices tumble to 12-year lows  executives from the state-led oil company said on Friday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20160115,UPDATE 3-Petrobras says to speed up asset sales; bailout 'last resort' ,* Petrobras shares fall 9.14 pct; close near 13-year low   (Adds closing prices  7th paragraph),normal
PBR,Petroleo Brasileiro SA- Petrobras,20160115,Bradesco tops Brazil's M&A ranking  sees busy year for takeovers ,SAO PAULO  Jan 15 Banco Bradesco BBI SA  which ended last year as the top-ranked advisor for mergers and acquisitions in Brazil for the first time in nearly two decades  expects a worsening recession and weakening currency to fuel takeover activity in coming months.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20160115,Petrobras CFO says government bailout would only be "last resort" ,RIO DE JANEIRO  Jan 15 Brazil's Petroleo Brasileiro SA will only seek new capital from the Brazilian government as a last resort and that no such bailout is under consideration for the heavily indebted state-led oil company  Chief Financial Officer Ivan Monteiro told reporters on Friday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20160115,UPDATE 1-Brazil's Odebrecht Ambiental seeks partner - report ,BRASILIA  Jan 15 Grupo Odebrecht  the Brazilian engineering conglomerate entangled in the country's biggest ever corruption scandal  is looking to sell a minority stake in its Odebrecht Ambiental water and sewage unit  business newspaper Valor Economico said on Friday  citing a senior executive.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20160115,Brazil's Petrobras tells analysts it may need further capex cuts - Itau BBA ,SAO PAULO  Jan 15 Brazil's state-run oil company Petroleo Brasileiro SA is pressing ahead with the sale of $15 billion in assets but may need to make further cuts to its investment plan depending on oil prices  the company told analysts on Friday according to a client note from Itaú BBA.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20160115,Brazil's Petrobras cancels plan to sell local-market bonds ,RIO DE JANEIRO  Jan 15 Brazil's state-led oil company Petroleo Brasileiro SA said on Friday it had canceled plans to sell as much as 3 billion reais ($744 million) of local-market bonds after being unable to sell the debt at rates acceptable to both the company and investors.,normal
REV,Revlon Inc,20160115,Revlon's largest shareholder Perelman seeks strategic options ,Revlon Inc's  controlling shareholder and billionaire  Ron Perelman  said on Friday he would seek strategic alternatives for the cosmetics maker but did not detail a specific plan.,topStory
REV,Revlon Inc,20160115,UPDATE 2-Revlon's largest shareholder Perelman seeks strategic options ,* Shares rise as much as 11.5 pct to $28.06   (Adds background  shares),normal
REV,Revlon Inc,20160115,Perelman to seek strategic options for Revlon ,Jan 15 Billionaire Ron Perelman  the majority owner of Revlon Inc  said he would seek strategic alternatives for the cosmetics maker.,normal
