ALKS,Alkermes plc,20160128,Alkermes short bets built up ahead of depression drug setback ,NEW YORK  Jan 28 Investors who recently shorted Alkermes Plc shares may have had their timing exactly right: They stood to make a nice profit when a setback caused the stock to drop 44 percent.,topStory
AAPL,Apple Inc,20160128,Google asks court for OK to press for sanctions against Oracle ,SAN FRANCISCO  Jan 27 Google is asking for sanctions against Oracle Corp after one of the software developer's lawyers discussed confidential details about the search giant's relationship with Apple Inc at a court hearing earlier this month.,normal
AAPL,Apple Inc,20160128,Wall Street sinks after Fed fails to impress ,Wall Street dropped sharply on Wednesday after the U.S. Federal Reserve frustrated stock investors hoping for a strong sign it might scale back future interest rate hikes because of recent financial and economic turmoil. | Video ,normal
AMAT,Applied Materials Inc,20160128,BRIEF-UMC's Xiamen subsidiary orders equipment from Lam Research  Applied Materials ,* Says Xiamen subsidiary orders machinery equipment worth T$1.5 billion  ($44.66 million) from Lam Research,topStory
BOKF,BOK Financial Corporation,20160128,Fitch Affirms BOK Financial's Ratings at 'A/F1'; Outlook Revised to Negative ,(The following statement was released by the rating agency) NEW YORK  January 28 (Fitch) Fitch Ratings has affirmed BOK Financial (BOKF)  ratings at 'A/F1'. The affirmation reflects BOKF's good performance and sound  overall financial profile relative to Fitch's midtier regional banking peers. At the same time  Fitch has revised the Rating Outlook for BOKF to Negative from  Stable given the more challenging environment in the largely energy-driven  economies of Texas and Oklahoma where BOKF prin,topStory
BOKFL,BOK Financial Corporation,20160128,Fitch Affirms BOK Financial's Ratings at 'A/F1'; Outlook Revised to Negative ,(The following statement was released by the rating agency) NEW YORK  January 28 (Fitch) Fitch Ratings has affirmed BOK Financial (BOKF)  ratings at 'A/F1'. The affirmation reflects BOKF's good performance and sound  overall financial profile relative to Fitch's midtier regional banking peers. At the same time  Fitch has revised the Rating Outlook for BOKF to Negative from  Stable given the more challenging environment in the largely energy-driven  economies of Texas and Oklahoma where BOKF prin,topStory
CELG,Celgene Corporation,20160128,UPDATE 2-Celgene's profit misses estimates as costs rise ,* Company bullish on prospects of cancer drug Revlimid - call,topStory
CELG,Celgene Corporation,20160128,Celgene's quarterly revenue rises 23 pct ,Jan 28 U.S. biotechnology company Celgene Corp  reported a  23 percent rise in quarterly revenue due to higher demand for its flagship multiple myeloma drug  Revlimid.,normal
CHTR,Charter Communications Inc,20160128,Time Warner Cable's revenue  profit beat estimates ,Time Warner Cable Inc  which is being bought by Charter Communications Inc  reported better-than-expected profit and revenue for the fourth quarter as it added more residential video customers.,topStory
CHTR,Charter Communications Inc,20160128,Time Warner Cable revenue rises 4.9 percent ,Jan 28 Time Warner Cable Inc  which is being bought by Charter Communications Inc  reported a 4.9 percent rise in revenue as it added more residential video customers.,normal
CHKP,Check Point Software Technologies Ltd,20160128,UPDATE 1-Cyber security demand boosts Israel's Check Point ,* Nasdaq-listed shares up 4.3 pct in early trade   (Adds outlook  CEO/CFO comments  share reaction),topStory
CHKP,Check Point Software Technologies Ltd,20160128,BRIEF-Check Point Software Q1  2016 outlook ,* Sees 2016 revenue $1.72-$1.79 billion  non-GAAP EPS $4.45-$4.60,normal
CHKP,Check Point Software Technologies Ltd,20160128,Israel's Check Point Software Q4 profit beats forecast ,TEL AVIV  Jan 27 Network security provider Check Point Software Technologies reported quarterly profit that beat expectations on strong demand for its advanced threat prevention and mobile security technologies.,normal
IMOS,ChipMOS TECHNOLOGIES INC,20160128,Second Taiwan chip firm shareholders OK plan for partial sale to Tsinghua Unigroup ,HSINCHU  Taiwan Shareholders of ChipMOS Technologies Inc on Thursday approved a plan for China's state-backed Tsinghua Unigroup to take a quarter stake in the Taiwanese chip test and packaging company.,topStory
IMOS,ChipMOS TECHNOLOGIES INC,20160128,Second Taiwan chip firm shareholders OK plan for partial sale to Tsinghua Unigroup ,HSINCHU  Taiwan  Jan 28 Shareholders of ChipMOS Technologies Inc on Thursday approved a plan for China's state-backed Tsinghua Unigroup to take a quarter stake in the Taiwanese chip test and packaging company.,normal
EWBC,East West Bancorp Inc,20160128,Fitch Affirms East West Bancorp at 'BBB' Following Midtier Regional Bank Review; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  January 28 (Fitch) Fitch Ratings has affirmed East West Bancorp  Inc.'s  (EWBC) ratings at 'BBB/F2' reflecting its solid earnings profile  good asset  quality  and a distinctive franchise. This is primarily offset by strong loan  growth and a recent regulatory agreement regarding BSA compliance. The Rating  Outlook is Stable The rating action follows a periodic review of the midtier regional banking  group  which includes BankU,topStory
EBAY,eBay Inc,20160128,EBay shares sink as strong dollar  competition hit forecast ,EBay Inc's shares plunged 13 percent on Thursday  after a disappointing holiday-quarter performance and a weak forecast suggested that overwhelming competition from Amazon.com Inc was gutting the one-time Wall Street favorite.,topStory
EBAY,eBay Inc,20160128,UPDATE 1-EBay shares sink as strong dollar  competition hit forecast ,Jan 28 EBay Inc's shares plunged 13 percent on Thursday  after a disappointing holiday-quarter performance and a weak forecast suggested that overwhelming competition from Amazon.com Inc was gutting the one-time Wall Street favorite.,normal
EBAY,eBay Inc,20160128,EBay shares sink as strong dollar  competition hit forecast ,Jan 28 EBay Inc stock plunged 14 percent in premarket trading after a disappointing showing in the holiday quarter and a weak forecast suggested that overwhelming competition from Amazon.com Inc was gutting the one-time Wall Street favorite.,normal
EBAY,eBay Inc,20160128,EBay's disappointing forecast fuels stock decline ,EBay Inc forecast weaker-than-expected revenue and profit for the current quarter and full year  as the e-commerce company struggles against a strong dollar while trying to revamp its core marketplace business.,normal
EBAY,eBay Inc,20160128,UPDATE 3-EBay's disappointing forecast fuels stock decline ,Jan 27 EBay Inc forecast weaker-than-expected revenue and profit for the current quarter and full year  as the e-commerce company struggles against a strong dollar while trying to revamp its core marketplace business.,normal
EBAYL,eBay Inc,20160128,EBay shares sink as strong dollar  competition hit forecast ,EBay Inc's shares plunged 13 percent on Thursday  after a disappointing holiday-quarter performance and a weak forecast suggested that overwhelming competition from Amazon.com Inc was gutting the one-time Wall Street favorite.,topStory
EBAYL,eBay Inc,20160128,UPDATE 1-EBay shares sink as strong dollar  competition hit forecast ,Jan 28 EBay Inc's shares plunged 13 percent on Thursday  after a disappointing holiday-quarter performance and a weak forecast suggested that overwhelming competition from Amazon.com Inc was gutting the one-time Wall Street favorite.,normal
EBAYL,eBay Inc,20160128,EBay shares sink as strong dollar  competition hit forecast ,Jan 28 EBay Inc stock plunged 14 percent in premarket trading after a disappointing showing in the holiday quarter and a weak forecast suggested that overwhelming competition from Amazon.com Inc was gutting the one-time Wall Street favorite.,normal
EBAYL,eBay Inc,20160128,EBay's disappointing forecast fuels stock decline ,EBay Inc forecast weaker-than-expected revenue and profit for the current quarter and full year  as the e-commerce company struggles against a strong dollar while trying to revamp its core marketplace business.,normal
EBAYL,eBay Inc,20160128,UPDATE 3-EBay's disappointing forecast fuels stock decline ,Jan 27 EBay Inc forecast weaker-than-expected revenue and profit for the current quarter and full year  as the e-commerce company struggles against a strong dollar while trying to revamp its core marketplace business.,normal
EA,Electronic Arts Inc,20160128,EA forecast disappoints as Star Wars' game success proves bittersweet ,Electronic Arts Inc's quarterly revenue missed analysts' estimates and the company did not raise its full-year forecasts as much as expected as the strong sales of the newly launched "Star Wars: Battlefront" proved to be bittersweet.,topStory
EA,Electronic Arts Inc,20160128,UPDATE 2-EA forecast disappoints as Star Wars' game success proves bittersweet ,* Shares fall 8 pct in extended trading   (Adds details  CFO quote),normal
EA,Electronic Arts Inc,20160128,BRIEF-Electronic Arts reports 3rd-qtr non-GAAP EPS of $1.83 ,* Q3 GAAP total net revenue $1.07 billion versus $1.13 billion last year; Q3 non-GAAP total net revenue $1.8 billion versus $1.43 billion last year,normal
EA,Electronic Arts Inc,20160128,Electronic Arts posts higher revenue  raises full-year forecast ,Jan 28 Electronic Arts Inc posted an 26.3 percent rise in revenue for the holiday quarter and raised its full-year profit and sales forecasts slightly  boosted by strong sales of "Star Wars: Battlefront".,normal
FB,Facebook Inc,20160128,Facebook shares jump 15.5 percent after strong results ,Facebook Inc  shares surged 15.5 percent on Thursday  their biggest percentage increase since July 2013  after the social networking service posted quarterly results that blew away expectations on every key measure. | Video ,topStory
FB,Facebook Inc,20160128,Facebook shares jump 15.5 percent after strong results ,Facebook Inc  shares surged 15.5 percent on Thursday  their biggest percentage increase since July 2013  after the social networking service posted quarterly results that blew away expectations on every key measure.,normal
FB,Facebook Inc,20160128,UPDATE 2-Facebook shares jump 15.5 pct after strong results ,Jan 28 Facebook Inc shares surged 15.5 percent on Thursday  their biggest percentage increase since July 2013  after the social networking service posted quarterly results that blew away expectations on every key measure.,normal
FB,Facebook Inc,20160128,US STOCKS SNAPSHOT-Wall Street rises  boosted by Facebook  oil ,NEW YORK  Jan 28 Wall Street gained on Thursday as a blockbuster quarterly report from Facebook drove tech shares higher and a bounce in oil prices propped up the beleaguered energy sector.,normal
FB,Facebook Inc,20160128,US STOCKS-Facebook 'likes' push Wall Street higher ,* Indexes up: Dow 0.8 pct  S&P 0.66 pct  Nasdaq 0.9 pct   (Updates to afternoon),normal
FB,Facebook Inc,20160128,Facebook shares soar as mobile drives big jump in ad sales ,Facebook Inc  smashed investors' expectations with a 52-percent jump in quarterly revenue as it sold more ads targeted at a fast-growing number of mobile users  sending its shares sharply higher after hours. | Video ,normal
FB,Facebook Inc,20160128,LeEco plans to start selling VR headsets in India ,Chinese consumer electronics maker LeEco plans to start selling virtual reality headsets and launch smart TVs in India in the June quarter  months after entering the country with its smartphone range  a company executive said.,normal
FB,Facebook Inc,20160128,LeEco plans to start selling VR headsets in India ,Chinese consumer electronics maker LeEco  plans to start selling virtual reality headsets and launch smart TVs in India in the June quarter  months after entering the country with its smartphone range  a company executive said.,normal
FB,Facebook Inc,20160128,Facebook shares soar as mobile drives big jump in ad sales ,Facebook Inc smashed investors' expectations with a 52-percent jump in quarterly revenue as it sold more ads targeted at a fast-growing number of mobile users  sending its shares sharply higher after hours.,normal
FPRX,Five Prime Therapeutics Inc,20160128,CORRECTED-UPDATE 1-Bristol-Myers forecasts 2016 profit above Wall Street estimates ,Jan 28 Bristol-Myers Squibb Co  forecast 2016 earnings slightly above Wall Street estimates and said it had halted a large trial of its Opdivo immuno-oncology drug after an independent monitoring committee concluded it prolonged survival compared to standard therapy for head and neck cancer.,normal
FPRX,Five Prime Therapeutics Inc,20160128,REFILE-Bristol-Myers forecasts 2016 profit above Wall Street estimates ,Jan 28 Bristol-Myers Squibb Co reported better-than-expected quarterly results  helped by strong sales of its cancer treatments and its Eliquis pill to prevent blood clots  and predicted 2016 earnings slightly above Wall Street forecasts.,normal
JBLU,JetBlue Airways Corporation,20160128,More airlines ease policies for bookings to Zika-hit areas ,Lufthansa   British Airways  and JetBlue  on Thursday became the latest international carriers to offer rebookings or refunds for tickets to areas affected by the Zika virus  as the World Health Organization expressed concern about the swift spread of the mosquito-borne disease.,topStory
JBLU,JetBlue Airways Corporation,20160128,CORRECTED-UPDATE 1-JetBlue joins list of airlines refunding travel to Zika-hit areas ,Jan 28 JetBlue Airways Corp will refund customers with tickets to areas impacted by the Zika virus or let them rebook flights  a spokesman said on Thursday.,normal
JBLU,JetBlue Airways Corporation,20160128,CORRECTED-JetBlue joins list of airlines refunding travel to Zika-hit areas ,Jan 28 JetBlue Airways Corp will refund customers with tickets to areas impacted by the Zika virus or let them rebook flights  a spokesman said on Thursday.,normal
JBLU,JetBlue Airways Corporation,20160128,JetBlue Airways fourth-quarter profit soars  beats estimates ,JetBlue Airways Corp  said Thursday that its fourth-quarter profit more than doubled from a year earlier  topping analysts' estimates as cheap fuel and revenue from new checked bag fees and first-class seats added to its bottom line.,normal
JBLU,JetBlue Airways Corporation,20160128,UPDATE 1-JetBlue Airways 4th-qtr profit soars  beats estimates ,Jan 28 JetBlue Airways Corp said Thursday that its fourth-quarter profit more than doubled from a year earlier  topping analysts' estimates as cheap fuel and revenue from new checked bag fees and first-class seats added to its bottom line.,normal
JBLU,JetBlue Airways Corporation,20160128,JetBlue Airways 4th-qtr profit soars  beats estimates ,Jan 28JetBlue Airways Corp said Thursday that its fourth-quarter profit more than doubled from a year earlier  topping analysts' estimates as cheap fuel and revenue from new checked bag fees and first-class seats added to its bottom line.,normal
LRCX,Lam Research Corporation,20160128,BRIEF-UMC's Xiamen subsidiary orders equipment from Lam Research  Applied Materials ,* Says Xiamen subsidiary orders machinery equipment worth T$1.5 billion  ($44.66 million) from Lam Research,topStory
MSFT,Microsoft Corporation,20160128,Microsoft reports 10.1 pct fall in quarterly revenue ,Jan 28 Microsoft Corp reported a 10.1 percent fall in quarterly revenue on Thursday  squeezed by a strong dollar as well as a weak personal computer market that has reduced demand for the company's Windows operating system.,topStory
NDAQ,Nasdaq Inc,20160128,BRIEF-Nasdaq Inc Q4 adjusted EPS $0.89 ,* Q4 adjusted earnings per share $0.89; Q4 earnings per share $0.88; Q4 net revenues $536 million  up 4 percent,topStory
NEOS,Neos Therapeutics Inc,20160128,FDA approves Neos Therapeutics' long-acting ADHD drug ,Neos Therapeutics Inc's drug to treat a common type of childhood behavioral disorder was approved by the U.S. Food and Drug Administration  making it the first of its kind to win U.S. approval.,topStory
NEOS,Neos Therapeutics Inc,20160128,FDA approves Neos Therapeutics' long-acting ADHD drug ,Jan 28 Neos Therapeutics Inc's drug to treat a common type of childhood behavioral disorder was approved by the U.S. Food and Drug Administration  making it the first of its kind to win U.S. approval.,normal
PETS,PetMed Express Inc,20160128,Here comes the sun - and with it  U.S. earnings excuses ,NEW YORK  Jan 28 U.S. companies are singing the warm weather blues this corporate earnings season.,normal
SPIL,Siliconware Precision Industries Company Ltd,20160128,Second Taiwan chip firm shareholders OK plan for partial sale to Tsinghua Unigroup ,HSINCHU  Taiwan  Jan 28 Shareholders of ChipMOS Technologies Inc on Thursday approved a plan for China's state-backed Tsinghua Unigroup to take a quarter stake in the Taiwanese chip test and packaging company.,normal
GT,The Goodyear Tire & Rubber Company,20160128,Here comes the sun - and with it  U.S. earnings excuses ,NEW YORK  Jan 28 U.S. companies are singing the warm weather blues this corporate earnings season.,normal
ABT,Abbott Laboratories,20160128,BRIEF-Alk Abello expands partnership into South-East Asian growth markets ,* Abbott will register and sell house dust mite (HDM) sublingual allergy immunotherapy (SLIT) tablet in 7 new growth markets in SE Asia,topStory
ABBV,AbbVie Inc,20160128,What to Watch in the Day Ahead - Friday  Jan 29 ,(The Day Ahead is an email and PDF publication that includes the day's major stories and events  analyses and other features. To receive The Day Ahead  Eikon users can register at . Thomson One users can register at RT/DAY/US. All times in ET/GMT)  The Commerce Department issues advance (first estimate) U.S. fourth-quarter gross domestic product data. Economic growth likely braked sharply as businesses doubled down on efforts to reduce an inventory glut and unseasonably warm weather slowed co,normal
AA,Alcoa Corporation,20160128,Alcoa wins Boeing supply agreement ,U.S. aluminum producer Alcoa Inc  said on Thursday it will supply aerospace parts to Boeing Co  under a new long-term agreement  the latest in a series of contract wins.,topStory
AA,Alcoa Corporation,20160128,UPDATE 1-Alcoa wins Boeing supply agreement ,Jan 28 U.S. aluminum producer Alcoa Inc  said on Thursday it will supply aerospace parts to Boeing Co  under a new long-term agreement  the latest in a series of contract wins.,normal
AA,Alcoa Corporation,20160128,Alcoa wins supply agreement with Boeing ,Jan 28 U.S. aluminum producer Alcoa Inc  said on Thursday it will supply multi-material aerospace parts to Boeing Co under a new long-term agreement.,normal
BABA,Alibaba Group Holding Limited,20160128,Deals of the day-Mergers and acquisitions ,Jan 28 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Thursday:,topStory
BABA,Alibaba Group Holding Limited,20160128,Alibaba delivers on revenue but feels China slowdown ,Strong holiday sales helped e-commerce giant Alibaba Group Holding Ltd  beat forecasts on Thursday with a 32 percent rise in third-quarter revenue  but it was not immune from China's slowdown. | Video ,normal
BABA,Alibaba Group Holding Limited,20160128,UPDATE 2-Alibaba delivers on revenue but feels China slowdown ,* Company optimistic on retail sales  internet penetration   (Adds analyst  company comment),normal
BABA,Alibaba Group Holding Limited,20160128,Alibaba to exit Meituan  focus on Koubei to deliver local services ,BEIJING/SHANGHAI Alibaba Group Holding Ltd  said on Thursday that the group will sell the firm's stake in Meituan  a company that delivers food and offers deals from local businesses  to focus on its own rival Koubei venture.,normal
BABA,Alibaba Group Holding Limited,20160128,Alibaba to exit Meituan  focus on Koubei to deliver local services ,BEIJING/SHANGHAI  Jan 28 Alibaba Group Holding Ltd said on Thursday that the group will sell the firm's stake in Meituan  a company that delivers food and offers deals from local businesses  to focus on its own rival Koubei venture.,normal
BABA,Alibaba Group Holding Limited,20160128,BRIEF-Alibaba qtrly revenue up 32 pct from last year ,* Qtrly revenue RMB34 543 million (US$5 333 million)  up 32 percent year-over-year,normal
BABA,Alibaba Group Holding Limited,20160128,CORRECTED-Alibaba revenue jumps 32 pct ,Jan 28 Chinese e-commerce giant Alibaba Group Holding Ltd's third-quarter revenue rose 32 percent  helped by the holiday shopping quarter  and beat analysts' average estimate.,normal
BABA,Alibaba Group Holding Limited,20160128,PRESS DIGEST - Wall Street Journal - Jan 28 ,Jan 28 The following are the top stories in The Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
BABA,Alibaba Group Holding Limited,20160128,Investor calls on Yahoo  Viacom to take on 'Buffett-like' partners ,A vocal investor in Yahoo Inc  and Viacom Inc  is calling for the boards of both companies to seek outside investments from strategic partners in the vein of legendary investor Warren Buffett to help boost the value of their stocks.,normal
BABA,Alibaba Group Holding Limited,20160128,Investor calls on Yahoo  Viacom to take on 'Buffett-like' partners ,Jan 27 A vocal investor in Yahoo Inc  and Viacom Inc is calling for the boards of both companies to seek outside investments from strategic partners in the vein of legendary investor Warren Buffett to help boost the value of their stocks.,normal
AEUA,Anadarko Petroleum Corporation,20160128,Mozambique says final gas decisions to be made this year ,MAPUTO  Jan 28 Mozambican gas projects being developed by Italy's Eni and U.S. energy firm Anadarko  will be given the final go-ahead by the end of this year  the state-run National Hydrocarbon Company (ENH) said on Thursday.,topStory
APC,Anadarko Petroleum Corporation,20160128,Mozambique says final gas decisions to be made this year ,MAPUTO  Jan 28 Mozambican gas projects being developed by Italy's Eni and U.S. energy firm Anadarko  will be given the final go-ahead by the end of this year  the state-run National Hydrocarbon Company (ENH) said on Thursday.,topStory
BUD,Anheuser-Busch Inbev SA,20160128,AB InBev cancels $42.5 billion of acquisition loans after bond issue ,Anheuser-Busch InBev  said on Thursday that it had canceled $42.5 billion of a record $75 billion senior acquisition loan after raising a hugely successful bond which was used to repay part of the loan.,topStory
BUD,Anheuser-Busch Inbev SA,20160128,BRIEF-AB InBev says partial cancellation of $75 bln committed senior acquisition facilities ,* AB InBev announces partial cancellation of usd 75.0 billion committed senior acquisition facilities,normal
AN,AutoNation Inc,20160128,AutoNation will cut new vehicle orders: CEO ,AutoNation Inc  Chief Executive Mike Jackson told Reuters on Thursday the U.S. auto retailer will cut new vehicle orders as part of a push to reduce its stocks of unsold vehicles by 10 to 15 percent this year.,topStory
AN,AutoNation Inc,20160128,UPDATE 3-AutoNation will cut new vehicle orders -CEO ,Jan 28 AutoNation Inc Chief Executive Mike Jackson told Reuters on Thursday the U.S. auto retailer will cut new vehicle orders as part of a push to reduce its stocks of unsold vehicles by 10 to 15 percent this year.,normal
AN,AutoNation Inc,20160128,AutoNation quarterly sales rise 5.8 pct ,Jan 28 AutoNation Inc  the largest U.S. auto dealership chain  reported a 5.8 percent rise in quarterly sales  reflecting strong growth in vehicle sales and services business.,normal
BBD,Banco Bradesco Sa,20160128,UPDATE 3-Bradesco's cautious targets underpin extent of Brazil woes ,SAO PAULO  Jan 28 Banco Bradesco SA  Brazil's No. 2 private sector bank  expects loan book growth to slow and loan-loss provisions to rise significantly this year  highlighting the headwinds facing Latin America's largest economy.,topStory
BBD,Banco Bradesco Sa,20160128,Brazil's Bradesco sees loan book growing 1 pct-5 pct this year ,SAO PAULO  Jan 28 Banco Bradesco SA    Brazil's second-largest private-sector bank  announced on Thursday the following operating estimates for this year:  1) Bradesco expects to grow lending between 1 percent and 5 percent this year  compared with an expansion of 4.2 percent in 2015. 2) Bradesco expects to grow disbursements of corporate loans between 0 percent and 4 percent  and consumer credit between 4 percent and 8 percent this year. 3) The bank forecasts interest income  or rev,normal
BBDO,Banco Bradesco Sa,20160128,UPDATE 3-Bradesco's cautious targets underpin extent of Brazil woes ,SAO PAULO  Jan 28 Banco Bradesco SA  Brazil's No. 2 private sector bank  expects loan book growth to slow and loan-loss provisions to rise significantly this year  highlighting the headwinds facing Latin America's largest economy.,topStory
BBDO,Banco Bradesco Sa,20160128,Brazil's Bradesco sees loan book growing 1 pct-5 pct this year ,SAO PAULO  Jan 28 Banco Bradesco SA    Brazil's second-largest private-sector bank  announced on Thursday the following operating estimates for this year:  1) Bradesco expects to grow lending between 1 percent and 5 percent this year  compared with an expansion of 4.2 percent in 2015. 2) Bradesco expects to grow disbursements of corporate loans between 0 percent and 4 percent  and consumer credit between 4 percent and 8 percent this year. 3) The bank forecasts interest income  or rev,normal
