AMCX,AMC Networks Inc,20150805,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from August 5  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                        ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-           Eikon Indicator-> Home-&g,topStory
GAINM,Gladstone Investment Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
GAINM,Gladstone Investment Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
GAINN,Gladstone Investment Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
GAINN,Gladstone Investment Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
GAINO,Gladstone Investment Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
GAINO,Gladstone Investment Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
LPLA,LPL Financial Holdings Inc,20150805,UPDATE 1-LPL Financial's profit rises but commissions disappoint ,NEW YORK  Aug 5 LPL Financial Holdings Inc   the biggest independent U.S. broker  reported higher second-quarter earnings on Wednesday as expenses fell on lower payouts to brokers.,topStory
MRTX,Mirati Therapeutics Inc,20150805,BRIEF-AstraZeneca's Medimmune partners Mirati for immuno-oncology combination in lung cancer ,* Medimmune and Mirati Therapeutics partner on immuno-oncology combination in lung cancer 5 August 2015,topStory
MYL,Mylan NV,20150805,Perrigo CEO says no easy path for Mylan to acquire company ,Perrigo Co Plc  on Wednesday made a fresh case for rejecting a $34 billion offer from generic drugmaker Mylan NV  and said Mylan's recent share price plunge reinforces Perrigo's intention to remain independent.,topStory
MYL,Mylan NV,20150805,Perrigo CEO says no easy path for Mylan to acquire company ,Aug 5 Perrigo Co Plc on Wednesday made a fresh case for rejecting a $34 billion offer from generic drugmaker Mylan NV and said Mylan's recent share price plunge reinforces Perrigo's intention to remain independent.,normal
NFLX,Netflix Inc,20150805,Netflix's year-long parental leave raises bar for U.S. employers ,Netflix Inc is offering up to a year of paid maternity and paternity leave for employees to care for a newborn or newly adopted child  significantly raising the bar for parental benefits in corporate America.,topStory
NFLX,Netflix Inc,20150805,REFILE-UPDATE 1-Netflix's year-long parental leave raises bar for U.S. employers ,Aug 5 Netflix Inc is offering up to a year of paid maternity and paternity leave for employees to care for a newborn or newly adopted child  significantly raising the bar for parental benefits in corporate America.,normal
NFLX,Netflix Inc,20150805,Netflix offers employees a year of parental leave ,Aug 5 Netflix Inc is offering up to a year of paid maternity and paternity leave for employees to care for a newborn or newly adopted child  significantly raising the bar for parental benefits in corporate America.,normal
NFLX,Netflix Inc,20150805,Telecom Italia agrees pay-TV content deal with Mediaset: sources ,MILAN Italian phone group Telecom Italia has reached an agreement with Mediaset  to sell the broadcaster's pay-TV content to its own clients  two sources with knowledge of the matter told Reuters.,normal
NFLX,Netflix Inc,20150805,Telecom Italia agrees pay-TV content deal with Mediaset - sources ,MILAN  Aug 5 Italian phone group Telecom Italia has reached an agreement with Mediaset to sell the broadcaster's pay-TV content to its own clients  two sources with knowledge of the matter told Reuters.,normal
RYAAY,Ryanair Holdings plc,20150805,BRIEF-Ryanair says July traffic up 11 pct to 10.1m customers ,* July load factor rose 4 pct points to 95 pct  July rolling annual traffic to July grew 15 pct to 95.3m customers.  Source text for Eikon:  Further company coverage:,topStory
SHPG,Shire plc,20150805,Shire seen having to sweeten $30 billion offer to win Baxalta ,LONDON Shire Chief Executive Flemming Ornskov will need to dig deeper in his pocket if he wants to win U.S. biotech company Baxalta.,topStory
SHPG,Shire plc,20150805,Shire seen having to sweeten $30 billion offer to win Baxalta ,LONDON  Aug 5 Shire Chief Executive Flemming Ornskov will need to dig deeper in his pocket if he wants to win U.S. biotech company Baxalta.,normal
SHPG,Shire plc,20150805,PRESS DIGEST- New York Times business news - Aug 5 ,Aug 5 The following are the top stories on the New York Times business pages. Reuters has not verified these stories and does not vouch for their accuracy.,normal
TSLA,Tesla Inc ,20150805,Tesla stock falls on wider loss  CEO comments on cash need ,DETROIT Shares of Tesla Motors Inc  fell about 6 percent on Wednesday after the electric car maker posted a wider quarterly loss and said it may raise more cash to offset heavy spending on expanded production.,topStory
TSLA,Tesla Inc ,20150805,UPDATE 2-Tesla stock falls on wider loss  CEO comments on cash need ,DETROIT  Aug 5 Shares of Tesla Motors Inc  fell about 6 percent on Wednesday after the electric car maker posted a wider quarterly loss and said it may raise more cash to offset heavy spending on expanded production.,normal
TSLA,Tesla Inc ,20150805,Tesla CEO says battery sales could hit 'a few billion dollars' in 2017 ,DETROIT Tesla Motors Inc's  new storage battery business could generate "a few billion dollars" in revenue in 2017  Chief Executive Elon Musk told analysts on Wednesday.,normal
TSLA,Tesla Inc ,20150805,Tesla CEO says battery sales could hit 'a few billion dollars' in 2017 ,DETROIT  Aug 5 Tesla Motors Inc's new storage battery business could generate "a few billion dollars" in revenue in 2017  Chief Executive Elon Musk told analysts on Wednesday.,normal
TSLA,Tesla Inc ,20150805,Electric car maker Tesla's net loss widens in 2nd quarter ,DETROIT  Aug 5 Electric car maker Tesla Motors Inc's net loss widened in the second quarter  and it continued to burn through cash ahead of the launch of its Model X crossover car and the opening of its Nevada battery factory  the company said Wednesday.,normal
PCLN,The Priceline Group Inc ,20150805,Priceline beats second-quarter profit estimates  sees solid third-quarter ,Priceline Group Inc  reported second-quarter profit above analysts' estimates on Wednesday  although weakness in foreign currencies against the U.S. dollar continued to weigh down results as well as its third-quarter outlook in dollar terms. | Video ,topStory
PCLN,The Priceline Group Inc ,20150805,CORRECTED-UPDATE 2-Priceline beats 2nd-qtr profit estimates  sees solid 3rd qtr ,Aug 5 Priceline Group Inc reported second-quarter profit above analysts' estimates on Wednesday  although weakness in foreign currencies against the U.S. dollar continued to weigh down results as well as its third-quarter outlook in dollar terms.,normal
PCLN,The Priceline Group Inc ,20150805,Priceline Group beats 2nd-qtr profit estimates ,Aug 5 The Priceline Group Inc on Wednesday reported second-quarter profit above analysts' estimates although the weakness of foreign currencies against the U.S. dollar continued to weigh on its results in dollar terms.,normal
TSEM,Tower Semiconductor Ltd,20150805,UPDATE 1-Chipmaker TowerJazz Q2 profit up  sees momentum into 2016 ,* CEO: Momentum strong for 2016 and 2017   (Adds CEO comments  share reaction),topStory
FOX,Twenty-First Century Fox Inc,20150805,Fox revenue misses estimates; company boosts buyback ,Twenty-First Century Fox Inc's  reported a 9.3 percent fall in quarterly adjusted revenue as advertising sales fell in its television business and a lack of major film releases weighed on its studio business.,topStory
FOX,Twenty-First Century Fox Inc,20150805,UPDATE 1-Fox revenue misses estimates; company boosts buyback ,Aug 5 Twenty-First Century Fox Inc's  reported a 9.3 percent fall in quarterly adjusted revenue as advertising sales fell in its television business and a lack of major film releases weighed on its studio business.,normal
FOX,Twenty-First Century Fox Inc,20150805,Twenty-First Century Fox posts fall in revenue  boosts buyback ,Aug 5 Twenty-First Century Fox Inc  reported a 9.3 percent fall in quarterly adjusted revenue as advertising sales fell in its television business and a lack of major film releases weighed on its studio business.,normal
FOXA,Twenty-First Century Fox Inc,20150805,Fox revenue misses estimates; company boosts buyback ,Twenty-First Century Fox Inc's  reported a 9.3 percent fall in quarterly adjusted revenue as advertising sales fell in its television business and a lack of major film releases weighed on its studio business.,topStory
FOXA,Twenty-First Century Fox Inc,20150805,UPDATE 1-Fox revenue misses estimates; company boosts buyback ,Aug 5 Twenty-First Century Fox Inc's  reported a 9.3 percent fall in quarterly adjusted revenue as advertising sales fell in its television business and a lack of major film releases weighed on its studio business.,normal
FOXA,Twenty-First Century Fox Inc,20150805,Twenty-First Century Fox posts fall in revenue  boosts buyback ,Aug 5 Twenty-First Century Fox Inc  reported a 9.3 percent fall in quarterly adjusted revenue as advertising sales fell in its television business and a lack of major film releases weighed on its studio business.,normal
VIRT,Virtu Financial Inc,20150805,Electronic trading firm Virtu Financial makes inroads in China ,NEW YORK Electronic trading company Virtu Financial Inc on Wednesday announced an agreement with a major Chinese brokerage firm that has allowed it to begin making markets  providing two-sided quotes to help ease trading  in that country.,topStory
VIRT,Virtu Financial Inc,20150805,Electronic trading firm Virtu Financial makes inroads in China ,NEW YORK  Aug 5 Electronic trading company Virtu Financial Inc on Wednesday announced an agreement with a major Chinese brokerage firm that has allowed it to begin making markets  providing two-sided quotes to help ease trading  in that country.,normal
VOD,Vodafone Group Plc,20150805,UPDATE 1-Telecom Italia eyes settlement to stop 4 bln euro antitrust claims -sources ,* Telecom seen setting aside money to cover antitrust risks   (Adds source  details),topStory
WEN,Wendy&#39;s Company (The),20150805,Wendy's same-restaurant sales beat on image revamp  new menu items ,U.S. burger chain Wendy's Co  reported quarterly same-restaurant sales above analysts' estimates as a move to revamp restaurants and add new menu items helped attract customers.,topStory
WEN,Wendy&#39;s Company (The),20150805,UPDATE 2-Wendy's same-restaurant sales beat on image revamp  new menu items ,* Q2 company-owned same-restaurant sales up 2.4 pct vs est. 1.6 pct,normal
WEN,Wendy&#39;s Company (The),20150805,CORRECTED-Burger chain Wendy's sales fall for 7th straight quarter ,Aug 5 U.S. burger chain Wendy's Co  reported a fall in sales for the seventh straight quarter  due to fewer company-owned stores and fierce competition from fast-casual dining chains such as Chipotle Mexican Grill Inc .,normal
WIX,Wixcom Ltd,20150805,Wix.com moves into profit  raises 2015 earnings outlook ,JERUSALEM  Aug 5 Wix.com  which helps small businesses build and operate websites  reported its first quarterly profit on Wednesday and raised its 2015 forecast as more customers convert to its paid services.,topStory
WRLD,World Acceptance Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
WRLD,World Acceptance Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
AET,Aetna Inc,20150805,UPDATE 2-Health insurer WellCare raises forecast  looks to buy assets ,* Shares rise as much as 9.6 pct   (Adds details from conference call; updates shares),normal
AGU,Agrium Inc,20150805,Fertilizer makers Agrium  CF post higher profits ,North American nitrogen fertilizer producers Agrium Inc  and CF Industries  reported higher second-quarter profits on Wednesday after markets closed.,topStory
AGU,Agrium Inc,20150805,UPDATE 1-Fertilizer makers Agrium  CF post higher profits ,Aug 5 North American nitrogen fertilizer producers Agrium Inc and CF Industries reported higher second-quarter profits on Wednesday after markets closed.,normal
AGU,Agrium Inc,20150805,Fertilizer makers Agrium  CF post higher profits ,Aug 5 North American nitrogen fertilizer producers Agrium Inc and CF Industries reported on Wednesday higher second-quarter profits after markets closed.,normal
AA,Alcoa Corporation,20150805,Alcoa ramps up criticism of CFTC over LME warehouse reform ,NEW YORK U.S. aluminum producer Alcoa Inc has stepped up efforts to challenge the U.S. commodities regulator's intervention in the London Metal Exchange's warehousing reform plan  criticizing its handling of the issue for a second time in as many months.,topStory
AA,Alcoa Corporation,20150805,UPDATE 1-Alcoa ramps up criticism of CFTC over LME warehouse reform ,NEW YORK  Aug 5 U.S. aluminum producer Alcoa Inc  has stepped up efforts to challenge the U.S. commodities regulator's intervention in the London Metal Exchange's warehousing reform plan  criticizing its handling of the issue for a second time in as many months.,normal
AA,Alcoa Corporation,20150805,Alcoa ramps up criticism of CFTC over LME warehouse reform ,NEW YORK  Aug 5 U.S. aluminum producer Alcoa Inc  has stepped up efforts to challenge the U.S. commodities regulator's intervention in the London Metal Exchange's warehousing reform plan  criticizing its handling of the issue for a second time in as many months.,normal
BABA,Alibaba Group Holding Limited,20150805,Alibaba pins U.S. growth hopes on Goldman's China rainmaker ,HONG KONG Alibaba Group Holding Ltd is hoping a Canadian Olympic gold medallist once tipped to be the next chief executive of Goldman Sachs Group Inc will help them make it big in the United States. | Video ,topStory
BABA,Alibaba Group Holding Limited,20150805,REFILE-Alibaba pins U.S. growth hopes on Goldman's China rainmaker ,HONG KONG  Aug 5 Alibaba Group Holding Ltd  is hoping a Canadian Olympic gold medallist once tipped to be the next chief executive of Goldman Sachs Group Inc  will help them make it big in the United States.,normal
AXP,American Express Company,20150805,COLUMN-Judge finds lawyer 'fatally tainted' Amex deal: Frankel ,Gary Friedman of the Friedman Law Group can now put a price tag on the cost of his horribly misguided decision to share privileged and confidential documents from his antitrust class action against American Express with his old friend Keila Ravelo  a lawyer for MasterCard in a parallel case: $75 million.,topStory
BETR,Amplify Snack Brands inc,20150805,Amplify Snack Brands shares fail to pop in debut ,Shares of Amplify Snack Brands Inc  fell as much as 8 percent in their debut  valuing the maker of SkinnyPop popcorn and Paqui tortilla chips at $1.24 billion.,topStory
APO,Apollo Global Management LLC,20150805,Teekay to buy 12 tankers from Apollo-backed Principal Maritime ,Shipping company Teekay Tankers Ltd  said it would buy a fleet of 12 Suezmax tankers for $662 million from Principal Maritime Tankers  backed by Apollo Global Management LLC .,topStory
APO,Apollo Global Management LLC,20150805,Teekay to buy 12 tankers from Apollo-backed Principal Maritime ,Aug 5 Shipping company Teekay Tankers Ltd  said it would buy a fleet of 12 Suezmax tankers for $662 million from Principal Maritime Tankers  backed by Apollo Global Management LLC.,normal
AZN,Astrazeneca PLC,20150805,BRIEF-AstraZeneca's Medimmune partners Mirati for immuno-oncology combination in lung cancer ,* Medimmune and Mirati Therapeutics partner on immuno-oncology combination in lung cancer 5 August 2015,topStory
AUO,AU Optronics Corp,20150805,BRIEF-Taiwan's AU Optronics purchases equipment from Canon Semiconductor Equipment ,* Says purchases equipment for T$504 million  ($15.92 million),topStory
BAC,Bank of America Corporation,20150805,Bank of America tells advisers to exit Paulson hedge fund: memo ,BOSTON Bank of America Merrill Lynch is telling its financial advisers to pull clients' money from billionaire hedge fund manager John Paulson's Advantage fund and said they are not permitted to put new money into one of his other portfolios.,topStory
BAC,Bank of America Corporation,20150805,UPDATE 1-Bank of America tells advisers to exit Paulson hedge fund -memo ,BOSTON  Aug 5 Bank of America Merrill Lynch  is telling its financial advisers to pull clients' money from billionaire hedge fund manager John Paulson's Advantage fund and said they are not permitted to put new money into one of his other portfolios.,normal
BAC,Bank of America Corporation,20150805,Bank of America tells advisers to exit Paulson hedge fund ,BOSTON  Aug 5 Bank of America Merrill Lynch  is telling its financial advisers to pull clients' money out of billionaire hedge fund manager John Paulson's Advantage Funds and said they are not permitted to put new money into one of his other portfolios.,normal
ABX,Barrick Gold Corporation,20150805,Barrick Gold agrees gold  silver "streaming" deal on Dominican mine ,Aug 5 Barrick Gold Corp said on Wednesday it has entered into a gold and silver "streaming" agreement with Royal Gold Inc for production linked to Barrick's 60 percent stake in the Pueblo Viejo mine in the Dominican Republic.,topStory
BAX,Baxter International Inc,20150805,Loeb asks for board seats at Baxter  discloses new stake ,BOSTON Billionaire investor Daniel Loeb on Wednesday asked for two board seats at Baxter International after publicly unveiling the roughly $2 billion stake his hedge fund  Third Point  recently took in the healthcare company.,topStory
BAX,Baxter International Inc,20150805,UPDATE 1-Loeb asks for board seats at Baxter  discloses new stake ,BOSTON  Aug 5 Billionaire investor Daniel Loeb on Wednesday asked for two board seats at Baxter International  after publicly unveiling the roughly $2 billion stake his hedge fund  Third Point  recently took in the healthcare company.,normal
BAX,Baxter International Inc,20150805,Loeb asks for board seats at Baxter  discloses new stake ,BOSTON  Aug 5 Billionaire investor Daniel Loeb on Wednesday asked for two board seats at Baxter International  after publicly unveiling the roughly $2 billion stake his hedge fund  Third Point  recently took in the healthcare company.,normal
BLK,BlackRock Inc,20150805,BlackRock's global head of trading departs -source ,Aug 5 Paul Walker-Duncalf  BlackRock Inc's  global head of trading  has left the firm as of July 28  a source familiar with the situation confirmed to Reuters.,topStory
BA,Boeing Company (The),20150805,RPT-Israeli airline El Al in talks to buy  lease 15 Boeing Dreamliners for $800-900 mln ,JERUSALEM  Aug 5 El Al Israel Airlines  said on Wednesday it was opening talks with Boeing to buy and lease up to 15 new Dreamliner aircraft over the next five years in a deal that could be worth $800-$900 million  its biggest-ever plane order.,topStory
BA,Boeing Company (The),20150805,UPDATE 3-Malaysia confirms wing part is from missing Malaysian jet ,KUALA LUMPUR  Aug 6 Malaysia confirmed early on Thursday that a piece of a wing washed up on an Indian Ocean island beach last week was from the Malaysian Airlines jet MH370  the first trace of the plane found since it vanished last year with 239 people on board.,normal
BP,BP plc,20150805,BP to invest $1 billion in upgrading ageing North Sea fields ,LONDON British oil major BP  will spend $1 billion to increase output from oil fields off the eastern coast of Scotland  it said on Wednesday  at a time when oil companies are seeking to exit the ageing UK North Sea basin.,topStory
