ALGT,Allegiant Travel Company,20150223,BRIEF-Philippines' Cebu Pacific to sell 6 Airbus A319 to budget carrier Allegiant Travel ,* Says to sell 6 Airbus A319 aircraft to budget airline operator Allegiant Travel Co   Source text for Eikon: (http://bit.ly/1weAaf3) Further company coverage:    (Reporting by Neil Jerome Morales),topStory
TSEM,Tower Semiconductor Ltd,20150223,TowerJazz Q4 profit doubles  tops estimates ,TEL AVIV  Feb 23 Israeli chipmaker TowerJazz  beat estimates for fourth-quarter net profit on revenue from its joint venture in Japan with Panasonic Corp  as well as growing market share from its largest customers.,normal
FOX,Twenty-First Century Fox Inc,20150223,'Birdman' leap makes Fox Searchlight shine at Oscars ,LOS ANGELES Fox Searchlight  the arthouse film division of Rupert Murdoch's 21st Century Fox   dominated the Academy Awards on Sunday with eight awards including the coveted best picture prize for its absurd comedy-drama "Birdman.",topStory
FOX,Twenty-First Century Fox Inc,20150223,'Birdman' leap makes Fox Searchlight shine at Oscars ,LOS ANGELES  Feb 22 Fox Searchlight  the arthouse film division of Rupert Murdoch's 21st Century Fox   dominated the Academy Awards on Sunday with eight awards including the coveted best picture prize for its absurd comedy-drama "Birdman.",normal
FOX,Twenty-First Century Fox Inc,20150223,BRIEF-Twenty-First Century Fox spokesman says no truth in report company held takeover talks with Discovery Communications ,* Spokesman says no truth in report company held takeover talks with discovery communications    Further company coverage:,normal
FOXA,Twenty-First Century Fox Inc,20150223,'Birdman' leap makes Fox Searchlight shine at Oscars ,LOS ANGELES Fox Searchlight  the arthouse film division of Rupert Murdoch's 21st Century Fox   dominated the Academy Awards on Sunday with eight awards including the coveted best picture prize for its absurd comedy-drama "Birdman.",topStory
FOXA,Twenty-First Century Fox Inc,20150223,'Birdman' leap makes Fox Searchlight shine at Oscars ,LOS ANGELES  Feb 22 Fox Searchlight  the arthouse film division of Rupert Murdoch's 21st Century Fox   dominated the Academy Awards on Sunday with eight awards including the coveted best picture prize for its absurd comedy-drama "Birdman.",normal
FOXA,Twenty-First Century Fox Inc,20150223,BRIEF-Twenty-First Century Fox spokesman says no truth in report company held takeover talks with Discovery Communications ,* Spokesman says no truth in report company held takeover talks with discovery communications    Further company coverage:,normal
MMM,3M Company,20150223,UPDATE 3-Asahi Kasei eyes electric car growth with $2.2 bln Polypore battery deal ,* 3M buys Polypore's separations media operation for $1 billion,topStory
AIR,AAR Corp,20150223,Deals of the day- Mergers and acquisitions ,Feb 23 The following bids  mergers  acquisitions and disposals were reported by 2115 GMT on Monday:,topStory
AIR,AAR Corp,20150223,AAR to sell cargo handling business to TransDigm for $725 million ,AAR Corp  said it would sell its cargo handling business  Telair Cargo Group  to TransDigm Group Inc  for $725 million in cash to focus on its aviation services business.,normal
AIR,AAR Corp,20150223,UPDATE 1-AAR to sell cargo handling business to TransDigm for $725 mln ,Feb 23 AAR Corp said it would sell its cargo handling business  Telair Cargo Group  to TransDigm Group Inc for $725 million in cash to focus on its aviation services business.,normal
AIR,AAR Corp,20150223,AAR to sell cargo handling business to TransDigm for $725 mln ,Feb 23 Aviation services provider AAR Corp  said it would sell its cargo handling business  Telair Cargo Group  to TransDigm Group Inc for $725 million in cash.,normal
ABT,Abbott Laboratories,20150223,UPDATE 3-Bidvest makes $515 million bid for rest of Adcock Ingram ,* Shares in Adcock jump more than four percent   (Adds analyst comment),topStory
ADM,Archer-Daniels-Midland Company,20150223,EU probes Cargill's plan to buy ADM chocolate unit ,BRUSSELS/CHICAGO The European Commission said on Monday it had opened an in-depth investigation into Cargill Inc's planned acquisition of Archer Daniels Midland Co's  chocolate business  citing concerns the deal could lead to higher prices.,topStory
ADM,Archer-Daniels-Midland Company,20150223,UPDATE 1-EU probes Cargill's plan to buy ADM chocolate unit ,BRUSSELS/CHICAGO  Feb 23 The European Commission said on Monday it had opened an in-depth investigation into Cargill Inc's planned acquisition of Archer Daniels Midland Co's chocolate business  citing concerns the deal could lead to higher prices.,normal
ADM,Archer-Daniels-Midland Company,20150223,EU opens in-depth study of Cargill's planned buy of ADM chocolate unit ,BRUSSELS  Feb 23 The European Commission said on Monday it had opened an in-depth investigation into Cargill Inc's planned acquisition of the industrial chocolate business of rival Archer Daniels Midland Co.,normal
ADM,Archer-Daniels-Midland Company,20150223,EU mergers and takeovers (Feb 23) ,BRUSSELS  Feb 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
AWI,Armstrong World Industries Inc,20150223,Deals of the day- Mergers and acquisitions ,Feb 23 The following bids  mergers  acquisitions and disposals were reported by 2115 GMT on Monday:,topStory
AWI,Armstrong World Industries Inc,20150223,Armstrong World to spin off floorings business to focus on ceilings unit ,Construction materials maker Armstrong World Industries Inc  said it would spin off its flooring business to create two separate publicly traded companies.,normal
AWI,Armstrong World Industries Inc,20150223,UPDATE 2-Armstrong World to spin off floorings business to focus on ceilings unit ,Feb 23 Construction materials maker Armstrong World Industries Inc said it would spin off its flooring business to create two separate publicly traded companies.,normal
AWI,Armstrong World Industries Inc,20150223,REFILE-Armstrong World to spin off floorings business ,Feb 23 Construction materials maker Armstrong World Industries Inc said it would spin off its flooring business to concentrate on its ceilings unit.,normal
T,AT&T Inc,20150223,Fitch Rates AT&T'S Senior Unsecured Notes Offering 'A-'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  February 23 (Fitch) Fitch Ratings has assigned an 'A-' rating to AT&T  Inc.'s (AT&T) Euro note offering of senior unsecured debt  consisting of EUR1.25  billion 1.3% notes due 2023 and EUR1.25 billion of 2.45% notes due 2035. The  Rating Outlook is Stable.  Proceeds from this offering are expected to be used for general corporate  purposes  including the repayment of upcoming debt maturities. KEY RATING DRIVERS The rating and S,topStory
BAC,Bank of America Corporation,20150223,Bank of America chips away at brokerage industry truce ,NEW YORK For the last decade  Wall Street brokerages have had a pact not to sue brokers that leave their firms and try to take clients with them. Now Bank of America  Merrill Lynch  one of the founding signers of the truce  is taking steps to erode the agreement  industry lawyers say.,topStory
BAC,Bank of America Corporation,20150223,UPDATE 2-Goldman warns of federal lawsuit risk over mortgage bond sales ,Feb 23 Goldman Sachs Group Inc said it could face a federal civil lawsuit after a government probe concluded that the bank had violated laws related to sale of residential mortgage-backed securities before the financial crisis.,normal
BAC,Bank of America Corporation,20150223,RPT - INSIGHT-Bank of America chips away at brokerage industry truce ,NEW YORK  Feb 23 For the last decade  Wall Street brokerages have had a pact not to sue brokers that leave their firms and try to take clients with them. Now Bank of America Merrill Lynch  one of the founding signers of the truce  is taking steps to erode the agreement  industry lawyers say.,normal
BAC,Bank of America Corporation,20150223,Bank of America chips away at brokerage industry truce ,NEW YORK For the last decade  Wall Street brokerages have had a pact not to sue brokers that leave their firms and try to take clients with them. Now Bank of America BAC.N Merrill Lynch  one of the founding signers of the truce  is taking steps to erode the agreement  industry lawyers say.,normal
BAC,Bank of America Corporation,20150223,INSIGHT-Bank of America chips away at brokerage industry truce ,NEW YORK  Feb 23 For the last decade  Wall Street brokerages have had a pact not to sue brokers that leave their firms and try to take clients with them. Now Bank of America Merrill Lynch  one of the founding signers of the truce  is taking steps to erode the agreement  industry lawyers say.,normal
ABX,Barrick Gold Corporation,20150223,UPDATE 4-Zambia's president vows to prevent job losses at Barrick mine ,* Zambia trying to end rows over royalties  taxes   (Adds Barrick comment),topStory
ABX,Barrick Gold Corporation,20150223,Zambia president says to prevent job losses at Barrick Gold's mine ,LUSAKA  Feb 23 President Edgar Lungu said on Monday his government would not allow mining jobs to be lost at Barrick Gold's Zambian copper mine after the company said it plans to close the business due to high royalties.,normal
ABX,Barrick Gold Corporation,20150223,Over 2 000 workers strike at Barrick Gold Zambia copper mine ,LUSAKA  Feb 23 Over 2 000 unionised workers at the Lumwana copper mine owned by Barrick Gold Corp.  downed tools on Monday demanding an explanation of their fate when the company closes the operation  a senior government official said.,normal
BCE,BCE Inc,20150223,Canada's BCE appeals mobile TV rate ruling ,TORONTO BCE Inc   Canada's largest telecommunications company  will appeal a ruling that blocks it from sending its own content to customers' mobile devices for lower rates than it charges for transmitting third-party data.,topStory
BCE,BCE Inc,20150223,Canada's BCE appeals mobile TV rate ruling ,TORONTO  Feb 23 BCE Inc  Canada's largest telecommunications company  will appeal a ruling that blocks it from sending its own content to customers' mobile devices for lower rates than it charges for transmitting third-party data.,normal
BBL,BHP Billiton plc,20150223,BHP Billiton half-year profit slides  ahead of forecasts ,MELBOURNE Global miner BHP Billiton  posted a 31 percent drop in half-year profit as prices for all its main products collapsed  but beat market forecasts and flagged further belt tightening to withstand the tough conditions.,topStory
BBL,BHP Billiton plc,20150223,CORRECTED-What to Watch in the Day Ahead - Tuesday  Feb. 24 ,(Corrects to remove reference to BHP Billiton  which reported its half-yearly results at 4:30 p.m. ET on Monday  Feb. 23 (8:30 a.m. Australian Eastern Daylight Time on Tuesday  Feb. 24))       Federal Reserve Chair Janet Yellen gives semiannual testimony on the economy and monetary policy before the Senate Banking Committee. The markets will be focused on Yellen's two-day testimony  as investors further coalesce around the idea of an interest-rate hike by June or September. (1000/1500)      C,normal
BBL,BHP Billiton plc,20150223,UPDATE 1-BHP Billiton half-year profit slides  ahead of forecasts ,MELBOURNE  Feb 24 Global miner BHP Billiton   posted a 31 percent drop in half-year profit as prices for all its main products collapsed  but beat market forecasts and flagged further belt tightening to withstand the tough conditions.,normal
BBL,BHP Billiton plc,20150223,BHP Billiton half-year profit falls  beats forecasts ,MELBOURNE  Feb 24 Global miner BHP Billiton   reported a 31 percent slide in half-year profit  its weakest since 2013 as prices for its four main products collapsed  and flagged it would cut costs further to weather the weak market.,normal
BBL,BHP Billiton plc,20150223,RPT-BHP Billiton spin-off a bright spot in commodities gloom ,MELBOURNE  Feb 23 When global miner BHP Billiton   reports its half-year results on Tuesday  the only parts of the company that are likely to report profit growth are some of the unloved assets it aims to spin off by June.,normal
BBL,BHP Billiton plc,20150223,BHP Billiton spin-off a bright spot in commodities gloom ,MELBOURNE When global miner BHP Billiton reports its half-year results on Tuesday  the only parts of the company that are likely to report profit growth are some of the unloved assets it aims to spin off by June.,normal
BBL,BHP Billiton plc,20150223,BHP Billiton spin-off a bright spot in commodities gloom ,MELBOURNE  Feb 23 When global miner BHP Billiton   reports its half-year results on Tuesday  the only parts of the company that are likely to report profit growth are some of the unloved assets it aims to spin off by June.,normal
BLK,BlackRock Inc,20150223,BlackRock set to launch first 'smart beta' bond fund ,NEW YORK BlackRock Inc is planning to launch its first so-called "smart beta" bond fund that will adjust the holdings of a traditional bond index to achieve an equal balance of credit and interest rate risk.,topStory
BLK,BlackRock Inc,20150223,BlackRock set to launch first 'smart beta' bond fund ,NEW YORK  Feb 23 BlackRock Inc is planning to launch its first so-called "smart beta" bond fund that will adjust the holdings of a traditional bond index to achieve an equal balance of credit and interest rate risk.,normal
BA,Boeing Company (The),20150223,US STOCKS-Nasdaq ends up 9th session; S&P 500  Dow dip with energy ,* Dow down 0.1 pct  S&P down 0.03 pct  Nasdaq up 0.1 pct   (Updates to close),topStory
BA,Boeing Company (The),20150223,US STOCKS-Wall St eases after Dow  S&P records as energy declines ,* Indexes off: Dow 0.27 pct  S&P 0.22 pct  Nasdaq 0.06 pct   (Updates to midday),normal
BA,Boeing Company (The),20150223,US STOCKS-Wall Street slips off Dow  S&P records as oil price drops ,* Indexes off: Dow 0.24 pct  S&P 0.16 pct  Nasdaq 0.16 pct   (Adds data  updates prices),normal
BA,Boeing Company (The),20150223,US STOCKS-Wall St dips after Dow  S&P touch records; energy drags ,* Indexes off: Dow 0.39 pct  S&P 0.25 pct  Nasdaq 0.05 pct   (Updates to market open),normal
BA,Boeing Company (The),20150223,US STOCKS-Wall St to slip at open after Dow  S&P hit records ,* Futures: Dow off 39 pts  S&P off 4 pts  Nasdaq up 0.5 pt   (Adds quote  updates prices),normal
BA,Boeing Company (The),20150223,US STOCKS-Futures edge lower after Dow  S&P hit records ,NEW YORK  Feb 23 U.S. stock index futures dipped on Monday  after the Dow and S&P closed at records on the heels of an agreement by euro zone finance ministers to extend Greece's bailout by four months provided it draws up a list of reforms.,normal
BP,BP plc,20150223,BP appeals U.S. judge's ruling on size of Gulf oil spill ,NEW ORLEANS BP Plc on Monday appealed a federal judge's finding of the size of the 2010 Gulf of Mexico oil spill  which leaves the company potentially liable to pay $13.7 billion in fines.,topStory
BP,BP plc,20150223,BP appeals U.S. judge's ruling on size of Gulf oil spill ,NEW ORLEANS  Feb 23 BP Plc on Monday appealed a federal judge's finding of the size of the 2010 Gulf of Mexico oil spill  which leaves the company potentially liable to pay $13.7 billion in fines.,normal
BP,BP plc,20150223,BP exported super-light crude from Texas -ClipperData ,HOUSTON  Feb 23 BP Plc exported nearly 670 000 barrels of minimally processed super-light crude oil from the Houston Ship Channel more than a week ago  according to ClipperData  an industry firm that tracks crude movements.,normal
BMY,Bristol-Myers Squibb Company,20150223,Deals of the day- Mergers and acquisitions ,Feb 23 The following bids  mergers  acquisitions and disposals were reported by 2115 GMT on Monday:,topStory
BMY,Bristol-Myers Squibb Company,20150223,Bristol-Myers to buy private cancer drugmaker for up to $1.25 billion ,Bristol-Myers Squibb Co  said it would buy privately held drugmaker Flexus Biosciences Inc for up to $1.25 billion to add an emerging class of cancer-fighting drugs to its pipeline.,normal
BMY,Bristol-Myers Squibb Company,20150223,UPDATE 1-Bristol-Myers to buy private cancer drugmaker for up to $1.25 bln ,Feb 23 Bristol-Myers Squibb Co said it would buy privately held drugmaker Flexus Biosciences Inc for up to $1.25 billion to add an emerging class of cancer-fighting drugs to its pipeline.,normal
BMY,Bristol-Myers Squibb Company,20150223,Bristol-Myers to buy private cancer drugmaker for up to $1.25 bln ,Feb 23 Bristol-Myers Squibb Co said it would buy privately held drugmaker Flexus Biosciences Inc for up to $1.25 billion to expand its pipeline of cancer drugs.,normal
BTI,British American Tobacco plc,20150223,British American Tobacco mulls $3.5 billion buyout of Brazil unit stake ,LONDON/SAO PAULO British American Tobacco Plc  is considering a buyout of the 24.7 percent stake it does not already own in Souza Cruz SA   Brazil's largest cigarette company  in a deal that could cost about 2.3 billion pounds ($3.53 billion).,topStory
