ACTG,Acacia Research Corporation,20150302,BRIEF-LifeWatch: suit brought against LifeWatch Services  Inc. by Acacia subsidiary dismissed ,* Says suit brought against LifeWatch Services  Inc. by Acacia subsidiary dismissed,topStory
GOOGL,Alphabet Inc,20150302,Former HP chairman admits 'mistake' in venture firm sexism trial ,SAN FRANCISCO Onetime highflying tech executive Ray Lane testified on Monday during a sex discrimination trial involving his former employer  Kleiner Perkins Caufield & Byers  that he made a mistake in judgment involving the harassment of a female venture capitalist at the firm.,normal
GOOGL,Alphabet Inc,20150302,Deals of the day- Mergers and acquisitions ,March 2 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,normal
GOOGL,Alphabet Inc,20150302,Former HP chairman to testify in venture firm sexism trial ,SAN FRANCISCO  March 2 Onetime highflying tech executive Ray Lane is expected to testify Monday in a discrimination and retaliation trial involving his former employer  Kleiner Perkins Caufield & Byers  the investment firm that has backed companies from Google Inc to Amazon.com Inc.,normal
GOOGL,Alphabet Inc,20150302,Fidelity cuts Google stake by nearly a third amid shift to cheaper searches ,One of Google Inc's largest investors has cut its exposure to the company by nearly a third over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOGL,Alphabet Inc,20150302,UPDATE 1-Fidelity cuts Google stake by nearly a third amid shift to cheaper searches ,March 2 One of Google Inc's largest investors has cut its exposure to the company by nearly a third over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOGL,Alphabet Inc,20150302,Large Google investor cuts stake amid shift to cheaper searches ,March 2 One of Google Inc's largest investors has cut its exposure to the company by nearly 29 percent over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
AMZN,Amazoncom Inc,20150302,Former HP chairman admits 'mistake' in venture firm sexism trial ,SAN FRANCISCO Onetime highflying tech executive Ray Lane testified on Monday during a sex discrimination trial involving his former employer  Kleiner Perkins Caufield & Byers  that he made a mistake in judgment involving the harassment of a female venture capitalist at the firm.,topStory
AMZN,Amazoncom Inc,20150302,Former HP chairman admits 'mistake' in venture firm sexism trial ,SAN FRANCISCO Onetime highflying tech executive Ray Lane testified on Monday during a sex discrimination trial involving his former employer  Kleiner Perkins Caufield & Byers  that he made a mistake in judgment involving the harassment of a female venture capitalist at the firm.,normal
AMZN,Amazoncom Inc,20150302,Former HP chairman to testify in venture firm sexism trial ,SAN FRANCISCO  March 2 Onetime highflying tech executive Ray Lane is expected to testify Monday in a discrimination and retaliation trial involving his former employer  Kleiner Perkins Caufield & Byers  the investment firm that has backed companies from Google Inc to Amazon.com Inc.,normal
AMGN,Amgen Inc,20150302,UPDATE 1-Amgen says Kyprolis doubles progression-free survival vs Velcade ,March 1 Amgen Inc's Kyprolis helped patients with relapsed multiple myeloma live twice as long before their blood cancer worsened compared to a regimen containing rival drug Velcade  according to an interim analysis announced by the company on Sunday.,topStory
AAPL,Apple Inc,20150302,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,topStory
AAPL,Apple Inc,20150302,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
AAPL,Apple Inc,20150302,UPDATE 1-Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO  March 2 A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc   Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
AAPL,Apple Inc,20150302,What would the Dow look like if it included Apple? ,NEW YORK It may be by far the most valuable American company but Apple Inc still can’t get into at least one exclusive club – the 30-member Dow Jones Industrial Average.,normal
AAPL,Apple Inc,20150302,INSIGHT-What would the Dow look like if it included Apple? ,NEW YORK  March 2 It may be by far the most valuable American company but Apple Inc still can't get into at least one exclusive club - the 30-member Dow Jones Industrial Average.,normal
AAPL,Apple Inc,20150302,Samsung unveils sleek new Galaxy phones to battle Apple ,SEOUL/BARCELONA South Korea's Samsung Electronics Co Ltd unveiled its latest Galaxy S smartphones  featuring a slim body made from aircraft-grade metal  in a bid to reclaim the throne of undisputed global smartphone leader from Apple Inc. | Video ,normal
AAPL,Apple Inc,20150302,Deutsche Bank bets big on U.S. for investment bank growth ,NEW YORK From its tower on Wall Street  Deutsche Bank  enjoys a commanding view of lower Manhattan. Its target is to gain a presence in investment banking which is nearly as dominant.,normal
AAPL,Apple Inc,20150302,Apple  Google workers head to court on $415 mln poaching settlement ,SAN FRANCISCO  March 2 Workers accusing Apple   Google and two other Silicon Valley companies of conspiring to hold down salaries will try on Monday to win approval of a $415 million settlement from a U.S. judge who rejected an earlier deal as too low.,normal
AAPL,Apple Inc,20150302,UPDATE 3-Samsung unveils sleek new Galaxy phones to battle Apple ,* Key launch in fight to stay No.1 vs Apple   (Updates with Samsung's closing share price  graphic link),normal
AAPL,Apple Inc,20150302,AT&T to hook up its automated home and connected car services ,NEW YORK AT&T Inc  will link its connected car and smart home technologies to bolster its foothold in the fast-growing market for Internet-connected devices  a new battleground for the company and rivals ranging from Verizon  to Google Inc .,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150302,Barclays to set aside more for forex fines and customer compensation ,LONDON Barclays is expected to set aside more money for potential foreign exchange fines and to add to its compensation tab for UK customer mis-selling  eating into an expected slim rise in profits.,topStory
BIOL,Biolase Inc,20150302,Boston Scientific to buy Endo's urology portfolio for $1.65 billion ,Medical device maker Boston Scientific Corp  said it will buy Endo International Plc's  American Medical Systems' men's and prostate health business for up to $1.65 billion.,topStory
BIOL,Biolase Inc,20150302,UPDATE 1-Boston Scientific to buy Endo's urology portfolio for $1.65 bln ,March 2 Medical device maker Boston Scientific Corp said it will buy Endo International Plc's  American Medical Systems' men's and prostate health business for up to $1.65 billion.,normal
BIOL,Biolase Inc,20150302,Boston Scientific to buy Endo's urology portfolio for up to $1.65 bln ,March 2 Boston Scientific Corp said it will acquire Endo International Plc's American Medical Systems urology portfolio for up to $1.65 billion.,normal
CSCO,Cisco Systems Inc,20150302,US STOCKS-Wall St advances after data and deals; Nasdaq hits 5 000 ,* Markit manufacturing hits 4-month high  ISM hits 13-month low,normal
CSCO,Cisco Systems Inc,20150302,UPDATE 3-HP to buy Wi-Fi gear maker Aruba Networks for $2.7 bln ,* Aruba shares fall 1.45 pct; HP marginally down   (Adds analysts' comments  details),normal
CSCO,Cisco Systems Inc,20150302,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacenters  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
CSCO,Cisco Systems Inc,20150302,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA  March 2 Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacentres  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
COST,Costco Wholesale Corporation,20150302,Costco ties up with Citigroup  Visa for U.S. co-branded cards ,Warehouse club Costco Wholesale Corp  has chosen Citigroup Inc  and Visa Inc  to run its co-branded credit card starting next year  replacing American Express Co   which lost the coveted tie-up last month.,topStory
COST,Costco Wholesale Corporation,20150302,UPDATE 3-Costco ties up with Citigroup  Visa for U.S. co-branded cards ,* Visa shares hit all-time high   (Adds comment from Citigroup CFO  analyst),normal
COST,Costco Wholesale Corporation,20150302,Costco ties up with Citigroup  Visa for co-branded credit cards ,March 2 Warehouse club retailer Costco Wholesale Corp said on Monday it had entered into agreements with Citigroup Inc and Visa Inc for co-branded credit cards.,normal
ETFC,E*TRADE Financial Corporation,20150302,E*Trade to cut debt by $340 million in restructuring ,NEW YORK E*Trade Financial Corp  the discount broker and bank that almost collapsed during the financial crisis  said on Monday it will retire $800 million of debt due in 2019 and issue $460 million of new eight-year notes at a lower interest rate.,topStory
ERIC,Ericsson,20150302,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacenters  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,topStory
ERIC,Ericsson,20150302,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA  March 2 Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacentres  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
ERIC,Ericsson,20150302,BRIEF-Idea Cellular selects Ericsson to roll out 3G services in Delhi ,* Ericsson : Idea Cellular selects ericsson to roll out 3G services in Delhi  Source text for Eikon:  Further company coverage:    (Reporting By Johannes Hellstrom),normal
ERIC,Ericsson,20150302,BRIEF-Bharti Airtel extends managed services partnership with Ericsson ,* Ericsson : Bharti Airtel extends managed services partnership with Ericsson,normal
ERIC,Ericsson,20150302,BRIEF-Ericsson and Telstra to collaborate on development of 5G standards and technologies ,* Telstra and Ericsson will collaborate on 5G radio access and core network innovation and will lead with 5G field trials.,normal
ERIC,Ericsson,20150302,BRIEF-Ericsson  Intel CEOs say in partnership to develop cloud based software and hardware products ,* Ericsson  Intel CEOs say in partnership to develop cloud based software and hardware products  Further company coverage:,normal
FB,Facebook Inc,20150302,Bill Gates tops Forbes rich list  Michael Jordan joins ,Bill Gates stands atop Forbes magazine's annual list of the world's richest people  as Facebook Inc's Mark Zuckerberg joined the top 20 and basketball star Michael Jordan plowed new air by making the list for the first time.,topStory
FB,Facebook Inc,20150302,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacenters  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
FB,Facebook Inc,20150302,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA  March 2 Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacentres  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
GILD,Gilead Sciences Inc,20150302,UPDATE 1-India's Natco Pharma ties up with Gilead on hepatitis C drugs ,* Natco to pay Gilead royalties on sales of drugs   (Adds comments from Delhi Network of Positive People  BDR Pharma MD  stock price),topStory
GILD,Gilead Sciences Inc,20150302,India's Natco Pharma ties up with Gilead on hepatitis C drugs ,MUMBAI  March 2 India's Natco Pharma Limited  said on Monday it signed a licensing deal with Gilead Sciences Inc to make and sell generic versions of the U.S. drugmaker's chronic hepatitis C medicines.,normal
INTC,Intel Corporation,20150302,Intel launches chip for new push into low-price smartphones ,SAN FRANCISCO Intel Corp is shipping new mobile chips that represent the semiconductor company's biggest hope for making progress in smartphones this year.,topStory
INTC,Intel Corporation,20150302,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacenters  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
INTC,Intel Corporation,20150302,Intel launches chip for new push into low-price smartphones ,SAN FRANCISCO  March 2 Intel Corp is shipping new mobile chips that represent the semiconductor company's biggest hope for making progress in smartphones this year.,normal
INTC,Intel Corporation,20150302,Ericsson joins with Intel to help telecoms firms get in the cloud ,BARCELONA  March 2 Telecom equipment maker Ericsson and chipmaker Intel have agreed a partnership deal to help network operator customers build datacentres  putting them on a more competitive footing against big  cloud-based Internet firms such as Google  Facebook and Amazon.,normal
INTC,Intel Corporation,20150302,BRIEF-Ericsson  Intel CEOs say in partnership to develop cloud based software and hardware products ,* Ericsson  Intel CEOs say in partnership to develop cloud based software and hardware products  Further company coverage:,normal
INTC,Intel Corporation,20150302,'Jihadi John' part of network linked to failed London bombers: court papers ,LONDON Islamist militant Mohammed Emwazi  identified as 'Jihadi John ' was a  member of a network in contact with one of the men convicted of trying to bomb the British capital's underground railway in 2005  according to the government.,normal
IRDM,Iridium Communications Inc,20150302,Honeywell  OneWeb partner to offer satellite internet to aircraft ,NEW YORK  March 2 Honeywell International Inc  said on Monday it has teamed up with satellite internet startup OneWeb Ltd to expand the high-speed data services it offers to aircraft.,normal
IRDMB,Iridium Communications Inc,20150302,Honeywell  OneWeb partner to offer satellite internet to aircraft ,NEW YORK  March 2 Honeywell International Inc  said on Monday it has teamed up with satellite internet startup OneWeb Ltd to expand the high-speed data services it offers to aircraft.,normal
MGIC,Magic Software Enterprises Ltd,20150302,Hornets 98  Magic 83 ,Hornets 98  Magic 83: Mo Williams recorded 23 points and dished out 11 assists as visiting Charlotte handed Orlando its third straight defeat.,topStory
MSFT,Microsoft Corporation,20150302,Bill Gates tops Forbes rich list  Michael Jordan joins ,Bill Gates stands atop Forbes magazine's annual list of the world's richest people  as Facebook Inc's Mark Zuckerberg joined the top 20 and basketball star Michael Jordan plowed new air by making the list for the first time.,topStory
MITL,Mitel Networks Corporation,20150302,Deals of the day- Mergers and acquisitions ,March 2 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,topStory
MITL,Mitel Networks Corporation,20150302,UPDATE 2-Canada's Mitel to buy Mavenir to expand into mobile services ,March 2 Canadian telecom services provider Mitel Networks Corp  said on Monday it would buy U.S.-based Mavenir Systems Inc for $560 million in a bid to expand its telephone services to the high-speed 4G LTE mobile market.,normal
MITL,Mitel Networks Corporation,20150302,Canada's Mitel Networks to buy Mavenir Systems for $560 mln ,March 2 Canadian telecom services provider Mitel Networks Corp  said it would buy mobile networking software maker Mavenir Systems Inc for $560 million in cash and stock.,normal
MORN,Morningstar Inc,20150302,Janus' Bill Gross warns on dangers of low interest rates ,NEW YORK Bond investor Bill Gross on Monday criticized ultra-low interest rates  saying they could harm global growth instead of boosting it in the way that many central banks intend.,topStory
MYL,Mylan NV,20150302,Drugmaker Mylan's fourth-quarter profit rises on strong demand in North America ,Generic and specialty drugmaker Mylan Inc reported a rise in quarterly profit and revenue  driven mainly by strong demand for its generics in North America.,topStory
MYL,Mylan NV,20150302,Drugmaker Mylan's 4th-qtr profit rises on strong demand in N. America ,March 2 Generic and specialty drugmaker Mylan Inc reported a rise in quarterly profit and revenue  driven mainly by strong demand for its generics in North America.,normal
NFLX,Netflix Inc,20150302,Netflix eyes entering tricky China market on its own ,SHANGHAI U.S. video service provider Netflix Inc is likely to enter the Chinese market without a local partner  which could make it harder to do business in the world's biggest internet market widely known for censorship and strict regulation.,topStory
NFLX,Netflix Inc,20150302,Netflix eyes entering tricky China market on its own ,SHANGHAI  March 2 U.S. video service provider Netflix Inc is likely to enter the Chinese market without a local partner  which could make it harder to do business in the world's biggest internet market widely known for censorship and strict regulation.,normal
NXPI,NXP Semiconductors NV,20150302,NXP to buy Freescale  create $40 billion company ,NEW YORK Chip maker NXP Semiconductors NV has agreed to buy smaller peer Freescale Semiconductor Ltd and merge operations in a deal valuing the combined company at over $40 billion.,topStory
NXPI,NXP Semiconductors NV,20150302,Deals of the day- Mergers and acquisitions ,March 2 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,normal
NXPI,NXP Semiconductors NV,20150302,US STOCKS-Wall St advances  with Nasdaq hitting 5 000  after data ,* Indexes up: Dow 0.61 pct  S&P 0.34 pct  Nasdaq 0.5 pct   (Adds data),normal
NXPI,NXP Semiconductors NV,20150302,US STOCKS-Wall St advances as Nasdaq touches 5 000 mark ,* Markit manufacturing hits 4-month high  ISM hits 13-month low,normal
NXPI,NXP Semiconductors NV,20150302,US STOCKS-Wall St inches up in wake of February rally ,* Indexes up: Dow 0.22 pct  S&P 0.11 pct  Nasdaq 0.31 pct   (Updates to market open),normal
NXPI,NXP Semiconductors NV,20150302,US STOCKS-Wall St set for flat open after February rally ,* Futures: Dow up 13 pts  S&P off 1.75 pts  Nasdaq up 5.75 pts   (Adds quote  updates prices),normal
NXPI,NXP Semiconductors NV,20150302,US STOCKS-Futures flat after strong February; data on tap ,NEW YORK  March 2 U.S. stock index futures were little changed on Monday  after the S&P 500 scored its best monthly performance in more than three years and ahead of data on the consumer and manufacturing sector.,normal
NXPI,NXP Semiconductors NV,20150302,UK Stocks-Factors to watch on March 2 ,LONDON  March 2 Britain's FTSE 100 index is seen opening down by 7 to 13 points  or 0.2 percent lower on Monday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
NXPI,NXP Semiconductors NV,20150302,UPDATE 3-NXP to buy Freescale Semiconductor  merge operations in $40bln deal ,NEW YORK  March 1 Chip maker NXP Semiconductors NV has agreed to buy smaller peer Freescale Semiconductor Ltd and merge operations in a deal valuing the combined company at over $40 billion.,normal
PCRX,Pacira Pharmaceuticals Inc,20150302,FDA rejects Pacira's application for expanded use of pain drug ,The U.S. Food and Drug Administration rejected Pacira Pharmaceuticals Inc's application to expand the use of its post-surgery pain drug  Exparel  sending the company's stock down more than 16 percent on Monday.,topStory
PCRX,Pacira Pharmaceuticals Inc,20150302,UPDATE 2-FDA rejects Pacira's application for expanded use of pain drug ,* Shares fall more than 16 pct   (Adds management  analyst comment),normal
PCRX,Pacira Pharmaceuticals Inc,20150302,FDA rejects Pacira's application for expanded use of pain drug ,March 2 The U.S. Food and Drug Administration rejected Pacira Pharmaceuticals Inc's application for expanding the use of its pain drug  exparel.,normal
PACW,PacWest Bancorp,20150302,PacWest Bancorp to buy Square 1 Financial for about $849 million ,U.S. regional lender PacWest Bancorp  said it would buy Square 1 Financial Inc  in an all-stock deal valued at about $849 million  as the bank looks to increase its exposure to the fast-growing technology and life-sciences markets.,topStory
PACW,PacWest Bancorp,20150302,UPDATE 1-PacWest Bancorp to buy Square 1 Financial for about $849 mln ,March 2 U.S. regional lender PacWest Bancorp  said it would buy Square 1 Financial Inc in an all-stock deal valued at about $849 million  as the bank looks to increase its exposure to the fast-growing technology and life-sciences markets.,normal
PACW,PacWest Bancorp,20150302,PacWest Bancorp to buy Square 1 Financial for about $849 mln ,March 2 Regional lender PacWest Bancorp  said it agreed to buy Square 1 Financial Inc in an all-stock deal valued at about $849 million.,normal
QCOM,QUALCOMM Incorporated,20150302,Honeywell  OneWeb partner to offer satellite internet to aircraft ,NEW YORK Honeywell International Inc said on Monday it has teamed up with satellite internet startup OneWeb Ltd to expand the high-speed data services it offers to aircraft.,topStory
QCOM,QUALCOMM Incorporated,20150302,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters March 02  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                ,normal
QCOM,QUALCOMM Incorporated,20150302,Qualcomm seeks to pave road to marriage of cars and smartphones ,DETROIT Qualcomm Inc  a maker of smartphone chips and software  unveiled on Monday fourth-generation LTE modems that will enable cars to stay better-connected wirelessly to cloud-based services via the Web.,normal
QCOM,QUALCOMM Incorporated,20150302,Qualcomm seeks to pave road to marriage of cars and smartphones ,DETROIT  March 2 Qualcomm Inc  a maker of smartphone chips and software  unveiled on Monday fourth-generation LTE modems that will enable cars to stay better-connected wirelessly to cloud-based services via the Web.,normal
FOX,Twenty-First Century Fox Inc,20150302,Rebekah Brooks in talks to return to News Corp: source ,LONDON Rebekah Brooks  the former Rupert Murdoch protegee cleared last year of running an illegal campaign to hack into phones for tabloid scoops  is in talks to return to the media conglomerate  a source said on Monday.,topStory
FOX,Twenty-First Century Fox Inc,20150302,UPDATE 1-Rebekah Brooks in talks to return to News Corp - source ,LONDON  March 2 Rebekah Brooks  the former Rupert Murdoch protegee cleared last year of running an illegal campaign to hack into phones for tabloid scoops  is in talks to return to the media conglomerate  a source said on Monday.,normal
FOXA,Twenty-First Century Fox Inc,20150302,Rebekah Brooks in talks to return to News Corp: source ,LONDON Rebekah Brooks  the former Rupert Murdoch protegee cleared last year of running an illegal campaign to hack into phones for tabloid scoops  is in talks to return to the media conglomerate  a source said on Monday.,topStory
FOXA,Twenty-First Century Fox Inc,20150302,UPDATE 1-Rebekah Brooks in talks to return to News Corp - source ,LONDON  March 2 Rebekah Brooks  the former Rupert Murdoch protegee cleared last year of running an illegal campaign to hack into phones for tabloid scoops  is in talks to return to the media conglomerate  a source said on Monday.,normal
VOD,Vodafone Group Plc,20150302,European telecoms firms call for pragmatism on net neutrality ,BARCELONA Europe's two biggest telecom operators have called on regulators to be flexible and pragmatic in finalising rules to protect the openness of the Internet  to allow them to give priority to certain kinds of data traffic on their networks.,topStory
BABA,Alibaba Group Holding Limited,20150302,Royal Mail announces China link-up through Alibaba's Tmall ,LONDON Britain's Royal Mail is joining Alibaba Group Holding Ltd's Tmall Global's online marketplace  hoping to link small British companies with Chinese consumers and boost trade for its overseas parcels business.,topStory
BABA,Alibaba Group Holding Limited,20150302,Royal Mail announces China link-up through Alibaba's Tmall ,LONDON  March 2 Britain's Royal Mail is joining Alibaba Group Holding Ltd's Tmall Global's online marketplace  hoping to link small British companies with Chinese consumers and boost trade for its overseas parcels business.,normal
BABA,Alibaba Group Holding Limited,20150302,Taiwan orders Alibaba withdrawal after rules violation: official ,TAIPEI Taiwan has ordered Alibaba Group Holding Ltd to withdraw from the country within six months because the online retailer had violated investment rules required for a Chinese company  an economics ministry official said on Monday.,normal
BABA,Alibaba Group Holding Limited,20150302,UPDATE 1-Taiwan orders Alibaba withdrawal after rules violation -official ,TAIPEI  March 2 Taiwan has ordered Alibaba Group Holding Ltd to withdraw from the country within six months because the online retailer had violated investment rules required for a Chinese company  an economics ministry official said on Monday.,normal
BABA,Alibaba Group Holding Limited,20150302,Taiwan orders Alibaba to withdraw after violating rules - official ,TAIPEI  March 2 Taiwan has ordered China's Alibaba Group Holding Ltd to withdraw from the country within six months because the online retailer had violated investment rules required for a Chinese company  an economics ministry official said on Monday.,normal
AIG,American International Group Inc,20150302,Fitch Revises AIG's Rating Outlook to Positive; Affirms 'A-' IDR ,(The following statement was released by the rating agency) CHICAGO  March 02 (Fitch) Fitch Ratings has affirmed American International  Group  Inc.'s ratings  including the long-term IDR at 'A-'. Fitch has also  affirmed the ratings on AIG's senior debt obligations at 'BBB+'. Additionally   Fitch has affirmed the Insurer Financial Strength (IFS) ratings of AIG's rated  property/casualty insurance subsidiaries at 'A' and the IFS ratings of the  company's U.S. life insurance subsidiaries led by A,topStory
ADM,Archer-Daniels-Midland Company,20150302,ADM finance chief to oversee Asia business in management shuffle ,CHICAGO Archer Daniels Midland Co on Monday said its chief financial officer will assume oversight of business in Asia as the commodity trader looks to expand operations in the fast-growing region.,topStory
ADM,Archer-Daniels-Midland Company,20150302,ADM finance chief to oversee Asia business in management shuffle ,CHICAGO  March 2 Archer Daniels Midland Co  on Monday said its chief financial officer will assume oversight of business in Asia as the commodity trader looks to expand operations in the fast-growing region.,normal
T,AT&T Inc,20150302,AT&T to hook up its automated home and connected car services ,NEW YORK AT&T Inc  will link its connected car and smart home technologies to bolster its foothold in the fast-growing market for Internet-connected devices  a new battleground for the company and rivals ranging from Verizon  to Google Inc .,topStory
SAN,Banco Santander SA,20150302,UPDATE 2-Banco Santander U.S. unit to name Powell as new CEO ,March 2 Santander Holdings USA Inc has appointed a new chief executive  a source familiar with the matter said on Monday  with the Spanish bank facing setbacks in its U.S. operations and under pressure from regulators.,topStory
BAC,Bank of America Corporation,20150302,1st Circuit revives bisexual worker's claims against Bank of America ,A U.S. appeals court has reinstated claims against Bank of America Corp by a former call center employee who says the harassment she faced when she began dating a female coworker led to her termination.,topStory
