AMZN,Amazoncom Inc,20150212,Exclusive - Survey: Trouble for Amazon Prime's two-day deliveries? ,SAN FRANCISCO/CHICAGO Amazon.com Inc packages ordered by its Prime members regularly arrived late during the holidays  a Reuters/Ipsos survey shows  reflecting the strain on the logistics network that transformed the company into an e-commerce powerhouse.,topStory
CSCO,Cisco Systems Inc,20150212,Robust switching sales power strong quarter for Cisco ,Network equipment maker Cisco Systems Inc  reported stronger-than-expected quarterly revenue and profit as demand for switching equipment and routers helped make up for weak spending by the company's traditional telecom customers. | Video ,normal
COST,Costco Wholesale Corporation,20150212,Costco to ditch AmEx cards at U.S. stores next year ,Warehouse club retailer Costco Wholesale Corp  will stop accepting American Express Co's  credit cards at U.S. stores from next year  threatening nearly 8 percent of the worldwide annual spending on its cards.,topStory
COST,Costco Wholesale Corporation,20150212,UPDATE 4-Costco to ditch AmEx cards at U.S. stores next year ,* AmEx shares fall as much as 7 pct   (Adds details  loss market capitalization and stock movement),normal
COST,Costco Wholesale Corporation,20150212,American Express  Costco to end U.S. credit card partnership ,Feb 12 American Express Co said it will stop issuing credit cards co-branded with Costco Wholesale Corp  in the United States from March 31  2016.,normal
COST,Costco Wholesale Corporation,20150212,Jet raises $140 million in bid to take on Amazon ,SAN FRANCISCO Jet  the startup founded by former Amazon.com Inc executive Marc Lore that hopes to change the way consumers shop online  has raised $140 million in its latest funding round  led by Bain Capital Ventures.,normal
COST,Costco Wholesale Corporation,20150212,UPDATE 1-Jet raises $140 mln in bid to take on Amazon ,SAN FRANCISCO  Feb 11 Jet  the startup founded by former Amazon.com Inc executive Marc Lore that hopes to change the way consumers shop online  has raised $140 million in its latest funding round  led by Bain Capital Ventures.,normal
EXPE,Expedia Inc,20150212,US STOCKS-Wall St ends sharply higher on tech  Ukraine deal ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to close),topStory
EXPE,Expedia Inc,20150212,Online travel agency Expedia to buy rival Orbitz for $1.33 billion ,Online travel company Expedia Inc said on Thursday that it would buy Orbitz Worldwide Inc for about $1.33 billion in cash to bring on the rival's programmers and widen its customer base.,normal
EXPE,Expedia Inc,20150212,Deals of the day- Mergers and acquisitions ,* Adds Expedia  Valeant  Enel  Sumitomo Mitsui  Centrica  BT  Fininvest,normal
EXPE,Expedia Inc,20150212,CORRECTED-Online travel agency Expedia to buy rival Orbitz for $1.33 bln ,Feb 12 Online travel agency Expedia Inc  said it would buy rival Orbitz Worldwide for about $1.33 billion  as it looks to increase its customers base in a highly competitive industry.,normal
EXPE,Expedia Inc,20150212,US STOCKS-Tech rally  Ukraine deal boost Wall Street ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to afternoon trading),normal
EXPE,Expedia Inc,20150212,US STOCKS-Wall St climbs on Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.24 pct  S&P 0.55 pct  Nasdaq 0.68 pct   (Updates to late morning),normal
EXPE,Expedia Inc,20150212,US STOCKS-Wall St rises after Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.21 pct  S&P 0.46 pct  Nasdaq 0.65 pct   (Updates to market open  adds data),normal
EXPE,Expedia Inc,20150212,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
EXPE,Expedia Inc,20150212,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
EXPE,Expedia Inc,20150212,CORRECTED-Online travel agency Expedia to buy rival Orbitz for $1.38 bln ,Feb 12 Online travel agency Expedia Inc  said it would buy rival Orbitz Worldwide for about $1.38 billion  as it looks to increase its customers base in a highly competitive industry.,normal
FEYE,FireEye Inc,20150212,CORRECTED-UPDATE 2-Higher IT security spending helps FireEye revenue beat Street (Feb 11) ,Feb 12 Cybersecurity company FireEye Inc's  quarterly revenue beat market estimates as governments and businesses ramped up spending to protect their networks from increasingly sophisticated attacks.,topStory
FSLR,First Solar Inc,20150212,Apple deal  tax change could spark corporate solar stampede ,Apple Inc's deal to buy nearly $1 billion of power from a massive First Solar Inc plant could be the first of a stampede of contracts driven by the looming change in a solar tax incentive that makes such projects particularly attractive.,topStory
FSLR,First Solar Inc,20150212,Apple deal  tax change could spark corporate solar stampede ,Feb 11 Apple Inc's deal to buy nearly $1 billion of power from a massive First Solar Inc  plant could be the first of a stampede of contracts driven by the looming change in a solar tax incentive that makes such projects particularly attractive.,normal
FLIR,FLIR Systems Inc,20150212,TowerJazz to make chips for Flir smartphone night vision systems ,TEL AVIV Israel's TowerJazz said on Thursday it will manufacture chips for Flir Systems Inc's infrared technology for smartphone  security and industrial markets.,topStory
FLIR,FLIR Systems Inc,20150212,TowerJazz to make chips for Flir smartphone night vision systems ,TEL AVIV  Feb 12 Israel's TowerJazz  said on Thursday it will manufacture chips for Flir Systems Inc's infrared technology for smartphone  security and industrial markets.,normal
GRPN,Groupon Inc,20150212,Groupon outlook disappoints  shares slide after hours ,SAN FRANCISCO Groupon Inc's  forecast for first-quarter results fell short of Wall Street's expectations  as the online commerce company has been struggling to rev up sales and profit growth.,topStory
GRPN,Groupon Inc,20150212,UPDATE 1-Groupon outlook disappoints  shares slide after hours ,SAN FRANCISCO  Feb 12 Groupon Inc's  forecast for first-quarter results fell short of Wall Street's expectations  as the online commerce company has been struggling to rev up sales and profit growth.,normal
LPLA,LPL Financial Holdings Inc,20150212,LPL's Stratos Wealth adds financial advisory firm ,LPL Financial Holdings Inc's fast-growing network firm  Stratos Wealth Partners  acquired a financial advisory firm and transitioned it to LPL's platform.,topStory
LPLA,LPL Financial Holdings Inc,20150212,ON THE MOVE-LPL's Stratos Wealth adds financial advisory firm ,Feb 12 LPL Financial Holdings Inc's  fast-growing network firm  Stratos Wealth Partners  acquired a financial advisory firm and transitioned it to LPL's platform.,normal
MDLZ,Mondelez International Inc,20150212,Kraft Foods shakes up leadership  reports quarterly loss ,Kraft Foods Group Inc said its chief financial officer and two other senior executives would leave the company  and the maker of Velveeta cheese and Oscar Mayer meats reported a quarterly loss due to a charge related to its pension plan.,topStory
NVAX,Novavax Inc,20150212,Novavax starts Ebola vaccine trial in humans ,Novavax Inc has begun early-stage human trials of an Ebola vaccine that it hopes can win the race to become the most effective shot for the deadly virus.,topStory
NVAX,Novavax Inc,20150212,UPDATE 1-Novavax starts Ebola vaccine trial in humans ,* Co says can manufacture millions of doses a month   (Adds CEO comment  detail),normal
NVAX,Novavax Inc,20150212,Novavax starts Ebola vaccine trial in humans ,Feb 12 Novavax Inc has begun early-stage testing of its Ebola vaccine in humans  the company said  less than five months after entering the race to develop a shot for the deadly virus.,normal
QCOM,QUALCOMM Incorporated,20150212,South Korea antitrust body investigating Qualcomm: source ,SEOUL South Korea's Fair Trade Commission is investigating Qualcomm Inc  a person familiar with the matter told Reuters on Thursday  adding to antitrust woes for the U.S. chipmaker following a record fine it agreed to pay in China.,topStory
QCOM,QUALCOMM Incorporated,20150212,UPDATE 2-South Korea antitrust body investigating Qualcomm -source ,* S.Korea fined Qualcomm more than $200 mln in 2009   (Updates with regulator declining comment  background),normal
QCOM,QUALCOMM Incorporated,20150212,S.Korea Fair Trade Commission investigating Qualcomm - source ,SEOUL  Feb 12 South Korea's Fair Trade Commission is investigating U.S.-based chipmaker Qualcomm Inc   a person familiar with the matter told Reuters on Thursday.,normal
RYAAY,Ryanair Holdings plc,20150212,Ryanair says to appeal UK court ruling on Aer Lingus stake ,DUBLIN Ryanair  will continue its legal battle against a UK Competition and Markets Authority (CMA) order for it to sell most of its stake in Irish rival Aer Lingus   the company said on Thursday.,topStory
RYAAY,Ryanair Holdings plc,20150212,Ryanair says to appeal UK court ruling on Aer Lingus stake ,DUBLIN  Feb 12 Ryanair will continue its legal battle against a UK Competition and Markets Authority (CMA) order for it to sell most of its stake in Irish rival Aer Lingus  the company said on Thursday.,normal
SHPG,Shire plc,20150212,Exclusive: Shire Plc moves to prepare Salix bid - sources ,British pharmaceutical company Shire Plc  has taken initial steps towards a bid for U.S. bowel drugmaker Salix Pharmaceuticals Inc  and is working with advisers on a potential offer  according to people familiar with the matter.,topStory
SHPG,Shire plc,20150212,UPDATE 1-Shire confident on 2015 after NPS deal  binge-eating drug approval ,* Shares up 2.6 pct   (Adds CEO comments  analyst reaction  shares),normal
SHPG,Shire plc,20150212,BRIEF-Shire declines to comment on any takeover targets ,Feb 12 Shire Plc chief executive on a conference call with reporters:,normal
SHPG,Shire plc,20150212,Shire sees mid-single earnings growth in 2015 ,LONDON  Feb 12 Shire  the drugs company buying rare disease specialist NPS Pharma for $5.2 billion  posted a 17 percent rise in fourth-quarter earnings on Thursday  and said it expected profit to grow in the mid-single digits in 2015.,normal
SFNC,Simmons First National Corporation,20150212,Fed approves Simmons First National Corp bank mergers ,WASHINGTON The Federal Reserve on Thursday said it had approved Simmons First National Corp's  merger with Community First Bancshares Inc and its merger with Liberty Bancshares Inc.,topStory
SFNC,Simmons First National Corporation,20150212,Fed approves Simmons First National Corp bank mergers ,WASHINGTON  Feb 12 The U.S. Federal Reserve on Thursday said it had approved Simmons First National Corp's  merger with Community First Bancshares Inc and its merger with Liberty Bancshares Inc.,normal
TSLA,Tesla Inc ,20150212,US STOCKS-Wall St ends sharply higher on tech  Ukraine deal ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to close),topStory
TSLA,Tesla Inc ,20150212,Tesla years away from its goal of reaching Apple's market cap ,NEW YORK How far does electric car maker Tesla Motors Inc  have to go to reach its goal of matching Apple Inc's  current market value? It would take 26 years  based on rough calculations by Reuters  unless it starts selling a lot more cars. | Video ,normal
TSLA,Tesla Inc ,20150212,Tesla years away from its goal of reaching Apple's market cap ,NEW YORK  Feb 12 How far does electric car maker Tesla Motors Inc have to go to reach its goal of matching Apple Inc's current market value? It would take 26 years  based on rough calculations by Reuters  unless it starts selling a lot more cars.,normal
TSLA,Tesla Inc ,20150212,US STOCKS-Tech rally  Ukraine deal boost Wall Street ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to afternoon trading),normal
TSLA,Tesla Inc ,20150212,US STOCKS-Wall St climbs on Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.24 pct  S&P 0.55 pct  Nasdaq 0.68 pct   (Updates to late morning),normal
TSLA,Tesla Inc ,20150212,US STOCKS-Wall St rises after Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.21 pct  S&P 0.46 pct  Nasdaq 0.65 pct   (Updates to market open  adds data),normal
TSLA,Tesla Inc ,20150212,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
TSLA,Tesla Inc ,20150212,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
TSLA,Tesla Inc ,20150212,US STOCKS-Futures gain after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stock index futures advanced on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank.,normal
TSLA,Tesla Inc ,20150212,Tesla CEO Musk says market value could rival Apple by 2025 ,DETROIT Tesla Motors Inc missed fourth-quarter sales targets and analysts' profit expectations  but Chief Executive Officer Elon Musk on Wednesday said by 2025 Tesla's growth trajectory could take its market value to $700 billion  matching that of Apple Inc. | Video ,normal
GT,The Goodyear Tire & Rubber Company,20150212,CORRECTED-UPDATE 1-Pirelli forecasts 11 pct profit rise in 2015 on strong premium sales ,MILAN  Feb 12 Italy's Pirelli  the world's fifth-largest tyremaker  on Thursday forecast an 11 percent rise in 2015 operating profit after last year's earnings met expectations as strong sales of  premium tyres offset weakness in Latin America.,topStory
PCLN,The Priceline Group Inc ,20150212,Deals of the day- Mergers and acquisitions ,* Adds Expedia  Valeant  Enel  Sumitomo Mitsui  Centrica  BT  Fininvest,topStory
TIG,TiGenix,20150212,BRIEF-TiGenix signs Crohn's Disease treatment deal with Lonza ,* Sign agreement for manufacture of stem cell-based treatment of complex perianal fistulas in Crohn's Disease,topStory
TIG,TiGenix,20150212,BRIEF-Lonza Group and TiGenix sign agreement for manufacture treatment of complex perianal fistulas in Crohn's disease ,* Says TiGenix and Lonza sign agreement for manufacture of stem cell-based treatment of complex perianal fistulas in Crohn's disease,normal
TSEM,Tower Semiconductor Ltd,20150212,TowerJazz to make chips for Flir smartphone night vision systems ,TEL AVIV Israel's TowerJazz said on Thursday it will manufacture chips for Flir Systems Inc's infrared technology for smartphone  security and industrial markets.,topStory
TSEM,Tower Semiconductor Ltd,20150212,TowerJazz to make chips for Flir smartphone night vision systems ,TEL AVIV  Feb 12 Israel's TowerJazz  said on Thursday it will manufacture chips for Flir Systems Inc's infrared technology for smartphone  security and industrial markets.,normal
TRIP,TripAdvisor Inc,20150212,US STOCKS-Wall St ends sharply higher on tech  Ukraine deal ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to close),topStory
TRIP,TripAdvisor Inc,20150212,US STOCKS-Tech rally  Ukraine deal boost Wall Street ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to afternoon trading),normal
WBA,Walgreens Boots Alliance Inc,20150212,Four retailers pull some dietary aids off shelves after probe: NYT ,Walgreens Boots Alliance Inc  Wal-Mart Stores Inc  GNC Holdings Inc and Target Corp agreed to remove certain dietary supplements off their shelves in New York after receiving a threat of legal action from the state's attorney general  the New York Times reported.,topStory
WBA,Walgreens Boots Alliance Inc,20150212,Four retailers pull some dietary aids off shelves after probe: NYT ,Walgreens Boots Alliance Inc   Wal-Mart Stores Inc   GNC Holdings Inc  and Target Corp  agreed to remove certain dietary supplements off their shelves in New York after receiving a threat of legal action from the state's attorney general  the New York Times reported.,normal
WBA,Walgreens Boots Alliance Inc,20150212,Four retailers pull some dietary aids off shelves after probe -NYT ,Feb 12 Walgreens Boots Alliance Inc  Wal-Mart Stores Inc  GNC Holdings Inc and Target Corp agreed to remove certain dietary supplements off their shelves in New York after receiving a threat of legal action from the state's attorney general  the New York Times reported.,normal
ZNGA,Zynga Inc,20150212,'Farmville' creator Zynga's bookings  forecast below estimates ,"FarmVille" creator Zynga Inc reported lower-than-expected quarterly bookings as releases such as "New Words with Friends" failed to excite gamers.,topStory
ZNGA,Zynga Inc,20150212,UPDATE 1-"Farmville" creator Zynga's bookings  forecast below estimates ,Feb 12 "FarmVille" creator Zynga Inc  reported lower-than-expected quarterly bookings as releases such as "New Words with Friends" failed to excite gamers.,normal
ZNGA,Zynga Inc,20150212,"Farmville" developer Zynga reports lower-than-expected bookings ,Feb 12 "FarmVille" creator Zynga Inc  reported lower-than-expected quarterly bookings of $182.4 million as releases such as "New Words with Friends" failed to excite gamers.,normal
AMC,AMC Entertainment Holdings Inc,20150212,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from Feb 12  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                            ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-      Eikon Indicator-> Home-> ,topStory
AXP,American Express Company,20150212,Costco to ditch AmEx cards at U.S. stores next year ,Warehouse club retailer Costco Wholesale Corp  will stop accepting American Express Co's  credit cards at U.S. stores from next year  threatening nearly 8 percent of the worldwide annual spending on its cards.,topStory
AXP,American Express Company,20150212,UPDATE 4-Costco to ditch AmEx cards at U.S. stores next year ,* AmEx shares fall as much as 7 pct   (Adds details  loss market capitalization and stock movement),normal
AXP,American Express Company,20150212,American Express  Costco to end U.S. credit card partnership ,Feb 12 American Express Co said it will stop issuing credit cards co-branded with Costco Wholesale Corp  in the United States from March 31  2016.,normal
ANTM,Anthem Inc,20150212,Anthem offers free identity-theft protection after breach ,Anthem Inc said on Wednesday its millions of customers can sign up for free credit monitoring and identity-theft protection services this week following a massive cyber attack involving stolen U.S. Social Security numbers  birth dates and sensitive health information.,topStory
ANTX,Anthem Inc,20150212,Anthem offers free identity-theft protection after breach ,Anthem Inc said on Wednesday its millions of customers can sign up for free credit monitoring and identity-theft protection services this week following a massive cyber attack involving stolen U.S. Social Security numbers  birth dates and sensitive health information.,topStory
APA,Apache Corporation,20150212,Apache slashing 2015 rig count  capex due to low oil prices ,Apache Corp   one of the top U.S. shale oil producers  said on Thursday it would slash capital expenditures and its rig count in 2015  in response to the collapse of crude oil prices.,topStory
APA,Apache Corporation,20150212,UPDATE 3-Apache slashing 2015 rig count  capex due to low oil prices ,Feb 12 Apache Corp  one of the top U.S. shale oil producers  said on Thursday it would slash capital expenditures and its rig count in 2015  in response to the collapse of crude oil prices.,normal
APA,Apache Corporation,20150212,Apache now keeping Egypt  North Sea units -CEO ,HOUSTON  Feb 12 Apache Corp has tabled its plans to sell or spin-off its businesses in Egypt and the North Sea because those projects generate needed cash in a time of low crude oil prices  the CEO said on Thursday.,normal
APA,Apache Corporation,20150212,Apache posts quarterly loss  plans to slash rig count ,Feb 12 Apache Corp on Thursday reported a quarterly loss as it wrote down the value of oil and gas assets and said it is reducing its rig count by more than a third in response to the collapse in crude oil prices.,normal
AVP,Avon Products Inc,20150212,Avon expects North America to turn profitable in 2015 ,Avon Products Inc  said it expects its North American business to turn profitable for the first time in three years  allaying some investor concerns after the company reported a bigger quarterly loss due to weakness in Brazil  its largest market.,topStory
AVP,Avon Products Inc,20150212,UPDATE 2-Avon expects North America to turn profitable in 2015 ,Feb 12 Avon Products Inc said it expects its North American business to turn profitable for the first time in three years  allaying some investor concerns after the company reported a bigger quarterly loss due to weakness in Brazil  its largest market.,normal
AVP,Avon Products Inc,20150212,Avon reports 12 pct fall in quarterly sales ,Feb 12 Cosmetics maker Avon Products Inc  reported a 12 percent drop in quarterly sales as it struggles with weak demand in Brazil  its biggest market  and a stronger dollar.,normal
BA,Boeing Company (The),20150212,BRIEF-Air France-KLM's Transavia orders 20 Boeing 737-800 aircraft ,* Low-cost airline Transavia orders 20 Boeing 737-800 aircraft,topStory
BA,Boeing Company (The),20150212,Korean Air to spend $1.5 bln on 5 new Boeing cargo airplanes ,SEOUL  Feb 12 Korean Air Lines Co Ltd  said on Thursday it will spend 1.64 trillion won ($1.48 billion) on five new Boeing B777F cargo aeroplanes between 2015 and 2017.,normal
BA,Boeing Company (The),20150212,Boeing says not studying reviving 757 with new engines ,SEATTLE Boeing Co  said on Wednesday it is not studying resurrecting its out-of-production 757 jetliner with new engines to plug a gap in its jetliner lineup between its largest single-aisle plane and its smallest widebody models.,normal
BWA,BorgWarner Inc,20150212,BorgWarner earnings match Wall Street expectations ,DETROIT BorgWarner Inc  reported fourth quarter earnings in line with analysts' forecasts and revenue of $1.99 billion  which was just shy of expectations.,topStory
BWA,BorgWarner Inc,20150212,UPDATE 1-BorgWarner earnings match Wall Street expectations ,DETROIT  Feb 12 BorgWarner Inc reported fourth quarter earnings in line with analysts' forecasts and revenue of $1.99 billion  which was just shy of expectations.,normal
BWA,BorgWarner Inc,20150212,BorgWarner earnings match Wall Street expectations ,DETROIT  Feb 12 BorgWarner Inc reported fourth quarter earnings in line with analysts' forecasts and revenue of $1.99 billion  which was just shy of expectations.,normal
BT,BT Group plc,20150212,Deals of the day- Mergers and acquisitions ,* Adds Expedia  Valeant  Enel  Sumitomo Mitsui  Centrica  BT  Fininvest,topStory
BT,BT Group plc,20150212,UPDATE 1-BT raises around 1 billion stg to fund EE deal ,LONDON  Feb 12 Britain's BT raised around 1 billion pounds through a placing on Thursday of shares at 455 pence to help fund its 12.5 billion pound ($19 billion) acquisition of mobile operator EE.,normal
BT,BT Group plc,20150212,BRIEF-BT raises about 1 bln stg via placing to fund EE deal ,* A total of 222 000 223 new ordinary shares of five pence each in company have been placed,normal
BT,BT Group plc,20150212,BT launches 1 billion pound placing to fund EE deal ,LONDON  Feb 12 BT kicked off its 1 billion pound placing on Thursday  saying it would launch an underwritten accelerated bookbuilding process immediately to fund its 12.5 billion pound ($19 billion) acquisition of mobile operator EE.,normal
BG,Bunge Limited,20150212,Bunge quarterly profit disappoints again on hedging losses ,CHICAGO Bunge Ltd   one of the world's largest agricultural trading houses  reported fourth-quarter profit on Thursday that was well below analysts' expectations due to deteriorating oilseed-crushing margins in China and further hedging losses.,topStory
BG,Bunge Limited,20150212,UPDATE 1-Bunge quarterly profit disappoints again on hedging losses ,CHICAGO  Feb 12 Bunge Ltd  one of the world's largest agricultural trading houses  reported fourth-quarter profit on Thursday that was well below analysts' expectations due to deteriorating oilseed-crushing margins in China and further hedging losses.,normal
BG,Bunge Limited,20150212,Bunge quarterly profit  revenue disappoint on hedging losses ,CHICAGO  Feb 12 Bunge Ltd  one of the world's largest agricultural trading houses  reported fourth-quarter profit Thursday that was well below analysts' expectations due to $80 million of hedging losses.,normal
