AMZN,Amazoncom Inc,20150715,Amazon's Prime Day draws big virtual crowd  frustrates some shoppers ,Merchants participating in Amazon.com's much-advertised "Prime Day" sale saw an 80 percent rise in U.S. sales from a year earlier  according to preliminary data from e-commerce researcher ChannelAdvisor  although the event also drew ire from some shoppers.,topStory
MU,Micron Technology Inc,20150715,UPDATE 2-McCain raises concerns about possible China bid for Micron Tech ,WASHINGTON  July 15 Republican U.S. Senator John McCain on Wednesday raised concerns about the potential national security implications of a proposed bid by China's Tsinghua Unigroup Ltd's to acquire U.S. chip maker Micron Technology Inc  and called for a thorough U.S. review.,normal
MU,Micron Technology Inc,20150715,McCain raises concerns about possible Chinese bid for US chip maker ,WASHINGTON  July 15 Republican Senator John McCain on Wednesday raised concerns about the potential national security implications of a proposed bid by a China's Tsinghua Unigroup Ltd's to acquire U.S. chip maker Micron Technology  and called for a thorough U.S. review.,normal
MU,Micron Technology Inc,20150715,UPDATE 2-Reported Chinese offer for Micron faces far too many hurdles ,WASHINGTON/SAN FRANCISCO July 14 A Chinese state-backed company's plan to buy U.S. chip maker Micron Technology faces no shortage of obstacles - questions about the price  worries on Capitol Hill  an aggressive regulator - and any one of them could torpedo the deal.,normal
NFLX,Netflix Inc,20150715,Netflix subscriptions far outpace expectations  shares up 9 percent ,Netflix Inc  added nearly a third more subscribers than expected in the second quarter  sending its shares up 9.4 percent as the video streaming service said its investment in original television programs and movies was paying off.,topStory
NFLX,Netflix Inc,20150715,Netflix might not make it into China in 2016  CEO says ,Netflix Inc  Chief Executive Reed Hastings said it was possible the movie and TV streaming service's planned entry into China might be delayed beyond the company's goal of 2016.,normal
NFLX,Netflix Inc,20150715,UPDATE 1-Netflix might not make it into China in 2016  CEO says ,July 15 Netflix Inc Chief Executive Reed Hastings said it was possible the movie and TV streaming service's planned entry into China might be delayed beyond the company's goal of 2016.,normal
NFLX,Netflix Inc,20150715,BRIEF-Netflix CEO says 'it's possible' launch in China won't happen in 2016 ,* Netflix CEO Reed Hastings says 'I suppose it's possible' launch in China won't happen in 2016  Source text for Eikon:  Further company coverage:    (Reporting by Lisa Richwine),normal
NFLX,Netflix Inc,20150715,UPDATE 2-Netflix subscriptions far outpace expectations  shares up 9 pct ,July 15 Netflix Inc added nearly a third more subscribers than expected in the second quarter  sending its shares up 9.4 percent as the video streaming service said its investment in original television programs and movies was paying off.,normal
NFLX,Netflix Inc,20150715,US STOCKS-Wall Street edges lower as energy weighs ,* Indexes off: Dow 0.02 pct  S&P 0.07 pct  Nasdaq 0.12 pct   (Adds Intel  Netflix earnings),normal
NFLX,Netflix Inc,20150715,Netflix revenue boosted by strong subscriber growth , ,normal
RYAAY,Ryanair Holdings plc,20150715,Ryanair to bid for IAG slots at London's Gatwick ,BRUSSELS Ryanair  will bid for the slots IAG  has agreed to release at London's Gatwick airport as a condition of its takeover of Aer Lingus   Ryanair Chief Executive Michael O'Leary said on Wednesday.,topStory
RYAAY,Ryanair Holdings plc,20150715,UPDATE 1-Ryanair to bid for IAG slots at London's Gatwick ,BRUSSELS  July 15 Ryanair will bid for the slots IAG has agreed to release at London's Gatwick airport as a condition of its takeover of Aer Lingus  Ryanair Chief Executive Michael O'Leary said on Wednesday.,normal
SRCL,Stericycle Inc,20150715,Waste disposal firm Stericycle to buy Shred-it for $2.3 billion ,Waste disposal company Stericycle Inc  said it would buy privately held Shred-it International  a secure information destruction services provider  for $2.3 billion in cash.,topStory
SRCL,Stericycle Inc,20150715,Waste disposal firm Stericycle to buy Shred-it for $2.3 bln ,July 15 Waste disposal company Stericycle Inc  said it would buy privately held Shred-it International  a secure information destruction services provider  for $2.3 billion in cash.,normal
SRCLP,Stericycle Inc,20150715,Waste disposal firm Stericycle to buy Shred-it for $2.3 billion ,Waste disposal company Stericycle Inc  said it would buy privately held Shred-it International  a secure information destruction services provider  for $2.3 billion in cash.,topStory
SRCLP,Stericycle Inc,20150715,Waste disposal firm Stericycle to buy Shred-it for $2.3 bln ,July 15 Waste disposal company Stericycle Inc  said it would buy privately held Shred-it International  a secure information destruction services provider  for $2.3 billion in cash.,normal
MIDD,The Middleby Corporation,20150715,U.S. firm Middleby buys renowned British cooker maker Aga ,LONDON Aga Rangemaster   the maker of the range cooker which is often a feature of British country homes  is being sold to American kitchen equipment company Middleby  for $201 million.,topStory
MIDD,The Middleby Corporation,20150715,U.S. firm Middleby buys renowned British cooker maker Aga ,LONDON  July 15 Aga Rangemaster  the maker of the range cooker which is often a feature of British country homes  is being sold to American kitchen equipment company Middleby for $201 million.,normal
VOD,Vodafone Group Plc,20150715,Britain's FTSE advances as miners and utilities rise ,LONDON  July 15 Britain's top equity index gained ground on Wednesday as a rise in mining and utility stocks offset a drop at luxury goods maker Burberry and telecoms group Vodafone.,topStory
VOD,Vodafone Group Plc,20150715,Drops in Burberry and Vodafone push Britain' FTSE lower ,LONDON  July 15 Britain's top equity index fell on Wednesday as a drop in the shares of luxury goods maker Burberry and telecoms group Vodafone pushed the stock market lower.,normal
APO,Apollo Global Management LLC,20150715,U.S. fund Apollo interested in Raiffeisen's Slovenian bank: report ,LJUBLJANA US investment fund Apollo Global Management is interested in buying Raiffeisen's bank in Slovenia  daily newspaper Finance reported on Wednesday.,topStory
APO,Apollo Global Management LLC,20150715,U.S. fund Apollo interested in Raiffeisen's Slovenian bank - report ,LJUBLJANA  July 15 US investment fund Apollo Global Management is interested in buying Raiffeisen's  bank in Slovenia  daily newspaper Finance reported on Wednesday.,normal
BAC,Bank of America Corporation,20150715,Bank of America hires sales staff in latest effort to boost revenue ,NEW YORK Bank of America Corp  Chief Executive Brian Moynihan has been hiring more sales staff in areas ranging from commercial lending to wealth management  in his latest effort to boost revenue that has barely budged for years.,topStory
BAC,Bank of America Corporation,20150715,BofA profit soars as costs fall to lowest since 2008 ,Bank of America Corp   the No. 2 U.S. bank by assets  reported its biggest quarterly profit in nearly four years as expenses fell to their lowest since the financial crisis.,normal
BAC,Bank of America Corporation,20150715,UPDATE 1-Bank of America hires sales staff in latest effort to boost revenue ,NEW YORK  July 15 Bank of America Corp  Chief Executive Brian Moynihan has been hiring more sales staff in areas ranging from commercial lending to wealth management  in his latest effort to boost revenue that has barely budged for years.,normal
BAC,Bank of America Corporation,20150715,CORRECTED-Bank of America hires sales staff in latest effort to boost revenue ,NEW YORK  July 15 Bank of America Corp  Chief Executive Brian Moynihan has been hiring more sales staff  in areas ranging from commercial lending to wealth management  in his latest effort to boost revenue that has barely budged for years.,normal
BAC,Bank of America Corporation,20150715,US STOCKS-Futures flat as Fed stays on course for 2015 rate hike ,* Futures up: Dow 2 pts  S&P 0.5 pts  Nasdaq 8 pts   (Adds details  comment  updates prices),normal
BAC,Bank of America Corporation,20150715,Bank of America profit more than doubles on lower legal costs ,July 15 Bank of America Corp  the second-largest U.S. bank by assets  said its quarterly profit more than doubled from the same period last year  when earnings were hit by big legal bills.,normal
BCS,Barclays PLC,20150715,MOVES- Barclays  Citigroup  Willis  Permira ,July 15 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
BCS,Barclays PLC,20150715,UPDATE 2-Worldpay heads for listing after picking Barclays' Rake as chairman ,* Move signals likely Worldpay IPO in London  maybe this year,normal
BCS,Barclays PLC,20150715,MOVES-Barclays names Victor Wang head of China financials research ,July 15 Barclays Plc appointed Victor Wang as director  head of China financials research and China equity strategy.,normal
BCS,Barclays PLC,20150715,Barclays deputy chairman set to leave to chair Worldpay -sources ,LONDON  July 15 Barclays' deputy chairman Michael Rake is expected to step down this year and become chairman of payments processing firm Worldpay  two sources familiar with the matter said on Wednesday.,normal
BBL,BHP Billiton plc,20150715,Vale's designs on China add to Rio  BHP drive for more iron ore ,SYDNEY As Rio Tinto and BHP Billiton ship more iron ore than ever to China  the Australia mining giants face a fightback from Brazil's Vale for market share that threatens to drive already weak prices even lower.,topStory
BBL,BHP Billiton plc,20150715,Vale's designs on China add to Rio  BHP drive for more iron ore ,SYDNEY  July 16 As Rio Tinto and BHP Billiton ship more iron ore than ever to China  the Australia mining giants face a fightback from Brazil's Vale  for market share that threatens to drive already weak prices even lower.,normal
BBL,BHP Billiton plc,20150715,BHP says will take $2bln charge on U.S. onshore energy business ,SYDNEY BHP Billiton on Wednesday said it will take a $2 billion impairment on its U.S. shale operations - the third writedown in three years.,normal
BBL,BHP Billiton plc,20150715,Little joy for Iran's private iron ore exporters from nuclear deal ,LONDON Its nuclear deal with world powers bodes well for Iran's crude oil sales but offers less for Tehran's second biggest export  iron ore  as low prices squeeze private miners out of business.,normal
BLK,BlackRock Inc,20150715,Carl Icahn calls BlackRock a 'dangerous' company  cites ETF concerns ,NEW YORK Billionaire activist investor Carl Icahn on Wednesday lambasted BlackRock Inc   the world's largest asset manager  as an "extremely dangerous company" because of the prevalence of its exchange-traded fund products  which Icahn deems illiquid.,topStory
BLK,BlackRock Inc,20150715,UPDATE 2-Carl Icahn calls BlackRock a 'dangerous' company  cites ETF concerns ,NEW YORK  July 15 Billionaire activist investor Carl Icahn on Wednesday lambasted BlackRock Inc  the world's largest asset manager  as an "extremely dangerous company" because of the prevalence of its exchange-traded fund products  which Icahn deems illiquid.,normal
BLK,BlackRock Inc,20150715,Carl Icahn says BlackRock a 'dangerous' company  cites ETF concerns ,NEW YORK  July 15 Billionaire activist investor Carl Icahn said on Wednesday that BlackRock Inc.  the world's largest asset manager  was an "extremely dangerous" company because of the prevalence of its exchange-traded fund products  which Icahn deems illiquid.,normal
BLK,BlackRock Inc,20150715,BlackRock profit rises as firm sees first outflows since 2012 ,BlackRock Inc   the world's largest asset manager  posted a small rise in second-quarter profit as the company saw net outflows for the first time in nearly three years.,normal
BLK,BlackRock Inc,20150715,UPDATE 3-BlackRock profit rises as firm sees first outflows since 2012 ,July 15 BlackRock Inc  the world's largest asset manager  posted a small rise in second-quarter profit as the company saw net outflows for the first time in nearly three years.,normal
BLK,BlackRock Inc,20150715,BlackRock quarterly profit rises 1.3 pct ,July 15 BlackRock Inc  the world's largest asset manager  posted a small rise in second-quarter profit  as the firm saw net outflows for the first time in several quarters.,normal
BLK,BlackRock Inc,20150715,Swiss stocks - Factors to watch on July 15 ,ZURICH  July 15 The Swiss blue-chip SMI  was seen opening almost unchanged at 9 312 points on Wednesday  according to premarket indications by bank Julius Baer .,normal
BA,Boeing Company (The),20150715,UPDATE 2-Blast closes U.S. Zodiac Aero plant; Boeing  Airbus assess impact ,July 15 A powerful blast at a Zodiac Aerospace factory in Washington state made some portions of the building unsafe to enter  raising concerns that the assembly of Boeing  and Airbus aircraft could be affected.,topStory
BA,Boeing Company (The),20150715,Delta no longer plans on 60 Boeing orders due to pilot vote: CEO ,Delta Air Lines Inc  no longer plans to purchase 20 used and 40 new single-aisle aircraft from the Boeing Co  now that its pilots rejected a tentative contract proposal  according to Delta's Chief Executive Officer Richard Anderson.,normal
BA,Boeing Company (The),20150715,Gulf carriers impact to be minimal from U.S. Export-Import Bank shutdown ,DUBAI Gulf carriers' huge backlog of Boeing  aircraft orders will be largely unaffected by the shutdown of the United States Export-Import Bank  which provides the region's airlines with billions of dollars in guarantees  industry sources said.,normal
BA,Boeing Company (The),20150715,Boeing joins forces with India's Tata to build aerospace kit ,NEW DELHI Boeing Co and India's Tata Advanced Systems Ltd have agreed to work together on manufacturing aerospace and defense equipment including unmanned aerial vehicles  the U.S. company said on Wednesday.,normal
BA,Boeing Company (The),20150715,Boeing joins forces with Tata to build aerospace kit ,NEW DELHI Boeing Co  and Tata Advanced Systems Ltd have agreed to work together on manufacturing aerospace and defence equipment including unmanned aerial vehicles  the U.S. company said on Wednesday.,normal
BA,Boeing Company (The),20150715,Boeing joins forces with India's Tata to build aerospace kit ,NEW DELHI  July 15 Boeing Co and India's Tata Advanced Systems Ltd have agreed to work together on manufacturing aerospace and defence equipment including unmanned aerial vehicles  the U.S. company said on Wednesday.,normal
BA,Boeing Company (The),20150715,Turkish Airlines seeks up to $3 bln in loans for aircraft financing ,DUBAI  July 15 Turkish Airlines is in talks with banks to raise up to $3 billion in loans for financing the purchase of Airbus and Boeing  aircraft to be delivered in 2016  according to three sources.,normal
BC,Brunswick Corporation,20150715,CSX sees third-quarter EPS flat despite 15 percent coal freight drop ,CHICAGO CSX Corp   the No. 3 U.S. railroad  said it expects earnings per share to be flat in the third quarter compared with the same period last year  despite an expected drop in coal freight volumes of 15 percent.,topStory
BT,BT Group plc,20150715,Worldpay says Rake will become chairman in September ,LONDON  July 15 British payments processing firm Worldpay said Michael Rake  currently chairman of BT Group  and deputy chairman of Barclays  will become its new chairman on September 1.,topStory
BT,BT Group plc,20150715,Barclays deputy chairman set to leave to chair Worldpay -sources ,LONDON  July 15 Barclays' deputy chairman Michael Rake is expected to step down this year and become chairman of payments processing firm Worldpay  two sources familiar with the matter said on Wednesday.,normal
ECOM          ,ChannelAdvisor Corporation,20150715,Amazon's Prime Day draws big virtual crowd  frustrates some shoppers ,July 15 Merchants participating in Amazon.com's much-advertised "Prime Day" sale saw an 80 percent rise in U.S. sales from a year earlier  according to preliminary data from e-commerce researcher ChannelAdvisor  although the event also drew ire from some shoppers.,topStory
C,Citigroup Inc,20150715,MOVES- Barclays  Citigroup  Willis  Permira ,July 15 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20150715,MOVES-Citigroup loses corporate debt syndicate banker ,LONDON  July 15 (IFR) - Sameer Patel  a corporate debt syndicate banker at Citigroup  has left the bank  according to a source familiar with the matter.,normal
DAL,Delta Air Lines Inc,20150715,Delta Air beats second-quarter profit estimates  expects unit revenue drop ,Delta Air Lines Inc on Wednesday reported that second-quarter profit jumped 85 percent  topping expectations  but forecast a third-quarter drop in unit revenue as the carrier continued to see weaker demand abroad due to the strong U.S. dollar.,topStory
DAL,Delta Air Lines Inc,20150715,Delta Air Lines determines capacity 'unilaterally': CEO ,Delta Air Lines Inc's  chief executive stressed multiple times on Wednesday that his company decides on its own how many flights it operates and how many seats it puts up for sale in the face of a regulatory probe into possible airline collusion.,normal
DAL,Delta Air Lines Inc,20150715,UPDATE 1-Delta Air Lines determines capacity 'unilaterally' - CEO ,July 15 Delta Air Lines Inc's chief executive stressed multiple times on Wednesday that his company decides on its own how many flights it operates and how many seats it puts up for sale in the face of a regulatory probe into possible airline collusion.,normal
DAL,Delta Air Lines Inc,20150715,US STOCKS-Wall St up as Fed says on track to raise rates in 2015 ,* Indexes up: Dow 0.17 pct  S&P 0.2 pct  Nasdaq 0.36 pct   (Adds details  changes comment  updates prices),normal
DAL,Delta Air Lines Inc,20150715,Delta Air Lines determines capacity 'unilaterally' - CEO ,July 15 Delta Air Lines Inc decides how many flights it operates and how many seats it sells "unilaterally " Chief Executive Richard Anderson said Wednesday on an investor call  in a nod to a regulatory investigation into alleged airline collusion.,normal
DAL,Delta Air Lines Inc,20150715,US STOCKS-Wall St little changed; Celgene leads healthcare rally ,* Dow down 0.06 pct  S&P down 0.01 pct  Nasdaq up 0.28 pct   (Updates to open),normal
DAL,Delta Air Lines Inc,20150715,Deals of the day- Mergers and acquisitions ,July 15 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,normal
DAL,Delta Air Lines Inc,20150715,UPDATE 2-Delta Air beats 2nd-qtr profit estimates  expects unit rev drop ,July 15 Delta Air Lines Inc on Wednesday reported that second-quarter profit jumped 85 percent  topping expectations  but forecast a third-quarter drop in unit revenue as the carrier continued to see weaker demand abroad due to the strong U.S. dollar.,normal
DAL,Delta Air Lines Inc,20150715,US STOCKS-Futures flat as Fed stays on course for 2015 rate hike ,* Futures up: Dow 2 pts  S&P 0.5 pts  Nasdaq 8 pts   (Adds details  comment  updates prices),normal
DAL,Delta Air Lines Inc,20150715,Delta proposed as a sponsor for Japan's Skymark Airlines ,TOKYO Delta Air Lines has been proposed as a sponsor to rehabilitate Skymark Airlines Inc [SKALF.PK] by the bankrupt Japanese carrier's biggest creditor - a plan that challenges a separate proposal that has put forward ANA Holdings as a sponsor.,normal
DB,Deutsche Bank AG,20150715,UPDATE 1-Hapag-Lloyd picks banks for planned IPO - sources ,* Deutsche Bank  Goldman Sachs  Berenberg to lead IPO - sources,topStory
DB,Deutsche Bank AG,20150715,MOVES-Deutsche hires China ECM head from UBS ,HONG KONG  July 15 (IFR) - Deutsche Bank has hired Kefei Li from UBS  where he was head of equity capital markets for China  according to sources familiar with the move.  At Deutsche  where he will take on a senior ECM role  Li will be based in Hong Kong. He is expected to start in October and report to Bhupinder Singh  co-head of Asia Pacific corporate banking and securities  and Mark Hantho  global head of equity capital markets. UBS confirmed Li's resignation but declined to comment further. ,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20150715,Brazil's Embraer order book hits record high of $22.9 bln ,BRASILIA  July 15 Brazilian planemaker Embraer SA delivered 27 commercial jets and 33 business jets in the second quarter of 2015  the company said in an e-mailed statement on Wednesday.,topStory
ENB,Enbridge Inc,20150715,Canada regulator says Enbridge safely operating pipelines  despite violations ,CALGARY  July 15 Canada's energy regulator has concluded that Alberta-based Enbridge Inc is operating safely  despite finding the pipeline operator had violated rules designed to identify threats to the public and protect whistleblowers.,topStory
ETP,Energy Transfer Partners LP,20150715,Deals of the day- Mergers and acquisitions ,July 15 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,topStory
ETP,Energy Transfer Partners LP,20150715,Energy Transfer Partners sells convenience stores to Sunoco ,Pipeline company Energy Transfer Partners said it would sell convenience store operator Susser Holdings to its unit Sunoco LP for about $1.94 billion in cash and stock.,normal
ETP,Energy Transfer Partners LP,20150715,UPDATE 1-Energy Transfer Partners sells convenience stores to Sunoco ,July 15 Pipeline company Energy Transfer Partners said it would sell convenience store operator Susser Holdings to its unit Sunoco LP for about $1.94 billion in cash and stock.,normal
ETP,Energy Transfer Partners LP,20150715,Energy Transfer Partners sells convenience stores to Sunoco ,July 15 Pipeline company Energy Transfer Partners said it would sell convenience store operator Susser Holdings for about $1.94 billion to its unit Sunoco LP .,normal
FCAU,Fiat Chrysler Automobiles NV,20150715,Luxury Maserati sports cars to go on sale in India again ,NEW DELHI Italian carmaker Fiat Chrysler is set to starting selling luxury Maserati cars in India again nearly three years after troubles with its former partner in the country forced it to pull out temporarily.,topStory
FCAU,Fiat Chrysler Automobiles NV,20150715,Luxury Maserati sports cars to go on sale in India again ,NEW DELHI  July 15 Italian carmaker Fiat Chrysler is set to starting selling luxury Maserati cars in India again nearly three years after troubles with its former partner in the country forced it to pull out temporarily.,normal
FCAU,Fiat Chrysler Automobiles NV,20150715,Fiat Chrysler boss says no plans for another GM offer: New York Times ,MILAN The chief executive of Fiat Chrysler Automobiles (FCA) Sergio Marchionne does not plan to make another offer to merge with General Motors after being rejected by its U.S. rival four months ago  the New York Times quoted him as saying.,normal
FCAU,Fiat Chrysler Automobiles NV,20150715,Fiat Chrysler boss says no plans for another GM offer -New York Times ,MILAN  July 15 The chief executive of Fiat Chrysler Automobiles (FCA) Sergio Marchionne does not plan to make another offer to merge with General Motors  after being rejected by its U.S. rival four months ago  the New York Times quoted him as saying.,normal
GEH,General Electric Capital Corporation,20150715,GE investors seek industrial overhaul update with earnings report ,Three months after General Electric Co  shares posted their biggest one-day jump in six years  the stock has lost much of those gains and analysts say the company needs to show its industrial operations can generate stronger profits.,topStory
GEK,General Electric Capital Corporation,20150715,GE investors seek industrial overhaul update with earnings report ,Three months after General Electric Co  shares posted their biggest one-day jump in six years  the stock has lost much of those gains and analysts say the company needs to show its industrial operations can generate stronger profits.,topStory
GE,General Electric Company,20150715,GE investors seek industrial overhaul update with earnings report ,Three months after General Electric Co  shares posted their biggest one-day jump in six years  the stock has lost much of those gains and analysts say the company needs to show its industrial operations can generate stronger profits.,topStory
GEB,General Electric Company,20150715,GE investors seek industrial overhaul update with earnings report ,Three months after General Electric Co  shares posted their biggest one-day jump in six years  the stock has lost much of those gains and analysts say the company needs to show its industrial operations can generate stronger profits.,topStory
GIS,General Mills Inc,20150715,General Mills hopes natural ingredients will boost U.S. cereal sales ,NEW YORK By removing artificial colors and flavors and selling gluten-free cereals  General Mills Inc  Chief Executive Officer Ken Powell is betting his company can buck a broader decline in U.S. cereal sales.,topStory
GM,General Motors Company,20150715,Fiat Chrysler boss says no plans for another GM offer: New York Times ,MILAN The chief executive of Fiat Chrysler Automobiles (FCA) Sergio Marchionne does not plan to make another offer to merge with General Motors after being rejected by its U.S. rival four months ago  the New York Times quoted him as saying.,topStory
GM,General Motors Company,20150715,Fiat Chrysler boss says no plans for another GM offer -New York Times ,MILAN  July 15 The chief executive of Fiat Chrysler Automobiles (FCA) Sergio Marchionne does not plan to make another offer to merge with General Motors  after being rejected by its U.S. rival four months ago  the New York Times quoted him as saying.,normal
GGB,Gerdau SA,20150715,Do not underestimate benefits of Gerdau reorganization plan  Fator says ,SAO PAULO Investors may be underestimating the benefits of a reorganization plan at Gerdau SA that could help the company  the largest steelmaker in the Americas  spin off its North American unit in a few years  an analyst at Banco Fator said on Wednesday.,topStory
GS,Goldman Sachs Group Inc (The),20150715,UPDATE 1-Hapag-Lloyd picks banks for planned IPO - sources ,* Deutsche Bank  Goldman Sachs  Berenberg to lead IPO - sources,topStory
