ACRX,AcelRx Pharmaceuticals Inc,20150909,UPDATE 1-AcelRx Pharma's pain drug succeeds in late-stage study ,Sept 9 AcelRx Pharmaceuticals Inc said its experimental pain drug for patients undergoing abdominal surgery met the main goal in a late-stage study.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150909,Barclays in talks to sell Italian loans worth 4 billion euros ,MILAN Barclays  is in talks to sell Italian performing mortgages worth 4 billion euros ($4.46 billion)  two sources with knowledge of the matter said  as the British bank presses ahead with the sale of European assets.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150909,Barclays in talks to sell Italian loans worth 4 bln euros - sources ,MILAN  Sept 9 Barclays is in talks to sell Italian performing mortgages worth 4 billion euros ($4.46 billion)  two sources with knowledge of the matter said  as the British bank presses ahead with the sale of European assets.,normal
CA,CA Inc,20150909,UPDATE 1-Turkish finance minister says political uncertainty biggest risk to economy ,* Long-term instability could damage budget  C/A deficit -finmin,topStory
CZR,Caesars Entertainment Corporation,20150909,Judge moves lawsuit among Caesars' creditors to Chicago ,CHICAGO A legal battle between junior and senior creditors of the bankrupt division of Caesars Entertainment Corp  should be heard in Chicago rather than New York  a Manhattan federal judge ruled on Wednesday.,topStory
CZR,Caesars Entertainment Corporation,20150909,Judge moves lawsuit among Caesars' creditors to Chicago ,CHICAGO A legal battle between junior and senior creditors of the bankrupt division of Caesars Entertainment Corp should be heard in Chicago rather than New York  a Manhattan federal judge ruled on Wednesday.,normal
CZR,Caesars Entertainment Corporation,20150909,Judge moves lawsuit among Caesars' creditors to Chicago ,CHICAGO  Sept 9 A legal battle between junior and senior creditors of the bankrupt division of Caesars Entertainment Corp should be heard in Chicago rather than New York  a Manhattan federal judge ruled on Wednesday.,normal
CLLS,Cellectis SA,20150909,BRIEF-Cellectis H1 operating loss widens to 15.7 million euros ,* Reported on Tuesday H1 total revenues and other income of 17.2 million euros ($19.19 million) (H1 2014: 10.2 million euros),topStory
CENX,Century Aluminum Company,20150909,Century Aluminum shuts potline at Kentucky smelter ,NEW YORK  Sept 9 Century Aluminum Co  which is owned by Glencore PLC said on Wednesday it will close a potline at its Hawesville  Kentucky  smelter immediately as the U.S. producer prepares to shut the entire plant by the end of next month.,topStory
COLL,Collegium Pharmaceutical Inc,20150909,FDA staff flags dosing risk with Collegium opioid painkiller ,Staff at the U.S. Food and Drug Administration warned on Wednesday of the risks of incorrect dosing of another experimental opioid painkiller  highlighting the agency's concern about drugs that can be highly addictive.,topStory
COLL,Collegium Pharmaceutical Inc,20150909,UPDATE 2-FDA staff flags dosing risk with Collegium opioid painkiller ,Sept 9 Staff at the U.S. Food and Drug Administration warned on Wednesday of the risks of incorrect dosing of another experimental opioid painkiller  highlighting the agency's concern about drugs that can be highly addictive.,normal
COWN,Cowen Inc,20150909,MOVES-Cowen names Lorie Beers head of newly formed special situations group ,Sept 9 Financial services firm Cowen Group Inc  appointed Lorie Beers as managing director and head of special situations.,topStory
COWNL,Cowen Inc,20150909,MOVES-Cowen names Lorie Beers head of newly formed special situations group ,Sept 9 Financial services firm Cowen Group Inc  appointed Lorie Beers as managing director and head of special situations.,topStory
ESRX,Express Scripts Holding Company,20150909,Express Scripts CEO George Paz to retire in May ,Pharmacy benefit manager Express Scripts Holding Co said Chief Executive George Paz will retire in May and President Tim Wentworth will succeed him.,topStory
ESRX,Express Scripts Holding Company,20150909,UPDATE 1-Express Scripts CEO George Paz to retire in May ,Sept 9 Pharmacy benefit manager Express Scripts Holding Co said Chief Executive George Paz will retire in May and President Tim Wentworth will succeed him.,normal
ESRX,Express Scripts Holding Company,20150909,Express Scripts CEO George Paz to retire ,Sept 9 Pharmacy benefit manager Express Scripts Holding Co said Chief Executive George Paz will retire in May next year and named President Tim Wentworth as his replacement.,normal
MSFT,Microsoft Corporation,20150909,Microsoft urges US court to block warrant for emails held abroad ,NEW YORK Microsoft Corp asked a federal appeals court on Wednesday to block the U.S. government from forcing the company to hand over a customer's emails stored on an Irish server  warning that the precedent would create a "global free-for-all" that eviscerates personal privacy.,topStory
MSFT,Microsoft Corporation,20150909,Microsoft urges U.S. court to block warrant for emails held abroad ,NEW YORK Microsoft Corp  asked a federal appeals court on Wednesday to block the U.S. government from forcing the company to hand over a customer's emails stored on an Irish server  warning that the precedent would create a "global free-for-all" that eviscerates personal privacy.,normal
MSFT,Microsoft Corporation,20150909,Microsoft urges US court to block warrant for emails held abroad ,NEW YORK  Sept 9 Microsoft Corp asked a federal appeals court on Wednesday to block the U.S. government from forcing the company to hand over a customer's emails stored on an Irish server  warning that the precedent would create a "global free-for-all" that eviscerates personal privacy.,normal
NFLX,Netflix Inc,20150909,Netflix to launch in South Korea  Singapore  Hong Kong  Taiwan early next year ,Netflix Inc said it would launch its movie and TV streaming service in South Korea  Singapore  Hong Kong and Taiwan early next year.,topStory
NFLX,Netflix Inc,20150909,Netflix to launch in S.Korea  Singapore  Hong Kong  Taiwan early next year ,Sept 9 Netflix Inc said it would launch its movie and TV streaming service in South Korea  Singapore  Hong Kong and Taiwan early next year.,normal
PCRX,Pacira Pharmaceuticals Inc,20150909,Pacira sues FDA over pain drug marketing restrictions ,NEW YORK Pacira Pharmaceuticals Inc on Tuesday filed a lawsuit seeking a court order allowing it to promote its post-surgery pain drug  Exparel  for a wide range of surgeries  which the U.S. Food and Drug Administration opposes.,topStory
PCRX,Pacira Pharmaceuticals Inc,20150909,CORRECTED-Pacira sues FDA over pain drug marketing restrictions ,NEW YORK Pacira Pharmaceuticals Inc on Tuesday filed a lawsuit seeking a court order allowing it to promote its post-surgery pain drug  Exparel  for a wide range of surgeries  which the U.S. Food and Drug Administration opposes.,normal
PCRX,Pacira Pharmaceuticals Inc,20150909,CORRECTED-Pacira sues FDA over pain drug marketing restrictions ,NEW YORK  Sept 8 Pacira Pharmaceuticals Inc  on Tuesday filed a lawsuit seeking a court order allowing it to promote its post-surgery pain drug  Exparel  for a wide range of surgeries  which the U.S. Food and Drug Administration opposes.,normal
PRAA,PRA Group Inc,20150909,UPDATE 1-U.S. consumer agency charges top two bad debt buyers ,WASHINGTON  Sept 9 U.S. consumer protection regulators ordered the country's two largest debt buyers  Encore Capital Group and a unit of PRA Group  to pay millions of dollars in refunds and fines on Wednesday over charges of using "deceptive tactics" to collect bad debt.,topStory
REIS,Reis Inc,20150909,Real estate data company Reis sues over alleged online report theft ,NEW YORK Reis Inc  a commercial real estate data provider  on Wednesday sued Armada Analytics Inc  accusing it of downloading at least 1 562 reports over three years from its proprietary subscription database without paying for them.,topStory
REIS,Reis Inc,20150909,Real estate data company Reis sues over alleged online report theft ,NEW YORK  Sept 9 Reis Inc  a commercial real estate data provider  on Wednesday sued Armada Analytics Inc  accusing it of downloading at least 1 562 reports over three years from its proprietary subscription database without paying for them.,normal
RYAAY,Ryanair Holdings plc,20150909,European shares hit two-week high  miners boost ,LONDON  Sept 9 European shares climbed for a third session to a two-week high on Wednesday  with miners tracking a rally in metals prices on expectations that the world's top consumer  China  would take further steps to boost its economy.,topStory
RYAAY,Ryanair Holdings plc,20150909,UPDATE 3-Ryanair hikes profit forecast after eclipsing rivals in bumper summer ,* Shares up 10 percent at all-time high   (Rewrites first paragraph  adds comment from management and analysts  also adds background and updates shares),normal
RYAAY,Ryanair Holdings plc,20150909,Miners boost European shares to two-week highs ,LONDON  Sept 9 European shares climbed for a third session to a two-week high on Wednesday  with miners tracking a sharp rally in metals prices on expectations that world's top consumer  China  would take further steps to boost its economy.,normal
RYAAY,Ryanair Holdings plc,20150909,Rally in miners helps European shares hit two-week high ,LONDON  Sept 9 European shares climbed for a third straight session to a two-week high on Wednesday  with miners tracking a sharp rally in metals prices on expectations that world's top metals consumer  China  would take further steps to boost its economy.,normal
RYAAY,Ryanair Holdings plc,20150909,European shares boosted by Ryanair after profit forecast hike ,LONDON  Sept 9 European shares got a boost from a rally in Ryanair shares on Wednesday  which hit an all-time high after the airline lifted its full-year profit forecast by 25 percent.,normal
RYAAY,Ryanair Holdings plc,20150909,European shares rise  lifted by Ryanair after profit forecast hike ,LONDON  Sept 9 European shares rose on Wednesday  boosted by a rally in shares of Ryanair  which hit an all-time high after it lifted its full-year profit forecast.,normal
RYAAY,Ryanair Holdings plc,20150909,BRIEF-Ryanair shares soar 10 pct to record high after profit upgrade ,* Shares open up 10 percent after increases FY net profit forecast by 25 percent   Further company coverage:    (Reporting By Conor Humphries),normal
RYAAY,Ryanair Holdings plc,20150909,Ryanair hikes annual profit forecast by 25 pct after strong summer ,DUBLIN  Sept 9 Ryanair hiked its annual profit forecast by 25 percent on Wednesday after its summer performance was boosted by bad weather in northern Europe and the strength of the British pound.,normal
ANDE,The Andersons Inc,20150909,Cargill executive named CEO of grain handler Andersons ,CHICAGO U.S. grain handler The Andersons Inc  long considered a takeover target in the agribusiness industry  named a vice president from larger rival Cargill Inc [CARG.UL] as its new chief executive on Wednesday.,topStory
ANDE,The Andersons Inc,20150909,UPDATE 1-Cargill executive named CEO of grain handler Andersons ,CHICAGO  Sept 9 U.S. grain handler The Andersons Inc  long considered a takeover target in the agribusiness industry  named a vice president from larger rival Cargill Inc as its new chief executive on Wednesday.,normal
ANDE,The Andersons Inc,20150909,Cargill executive named CEO of U.S. grain handler Andersons ,CHICAGO  Sept 9 U.S. grain handler The Andersons Inc  long considered a takeover target in the agribusiness industry  on Wednesday named an executive from larger rival Cargill Inc as its new chief.,normal
CG,The Carlyle Group LP,20150909,Carlyle Group unit buys stake in India lab operator Metropolis Healthcare ,Sept 9 A unit of Carlyle Group LP has bought a stake in Metropolis Healthcare Ltd  an India-based global operator of pathology laboratories  for an undisclosed sum  according to a statement from the U.S. private equity firm on Wednesday.,topStory
TCGP,The Carlyle Group LP,20150909,Carlyle Group unit buys stake in India lab operator Metropolis Healthcare ,Sept 9 A unit of Carlyle Group LP has bought a stake in Metropolis Healthcare Ltd  an India-based global operator of pathology laboratories  for an undisclosed sum  according to a statement from the U.S. private equity firm on Wednesday.,topStory
ZEAL,Zealand Pharma A/S,20150909,BRIEF-Zealand Pharma: trial results support ZP4207's potential for correction of mild to moderate hypoglycemia ,* Says results from a multiple-dose phase Ib trial support the potential of Zealand's stable glucagon analogue  ZP4207  for the correction of mild to moderate hypoglycemia,topStory
BABA,Alibaba Group Holding Limited,20150909,Tax concerns on Yahoo's Alibaba stake spinoff prompt target cuts ,Wall Street analysts tempered their view on Yahoo Inc's stock after the company's plans for a tax-free spinoff of its stake in Alibaba Group Holdings Ltd ran into a potential problem with the U.S. Internal Revenue Service.,topStory
BABA,Alibaba Group Holding Limited,20150909,CORRECTED-US STOCKS-Wall St set to open higher on Chinese stimulus hopes ,* Tetraphase Pharma sinks after bowel drug fails to meet goal,normal
BABA,Alibaba Group Holding Limited,20150909,REUTERS BUSINESS NEWS SCHEDULE AT 1500 GMT/11 AM ET ,Shares in United Continental Holdings Inc down slightly after the company said its Chief Executive Jeff Smisek had stepped down due to a federal probe of the airline  along with two other senior executives. (UNITED CONTINENTAL-CEO/ (UPDATE 1)  moved  409 words),normal
BABA,Alibaba Group Holding Limited,20150909,REFILE-Tax concerns on Yahoo's Alibaba stake spinoff prompt target cuts ,Sept 9 Wall Street analysts tempered their view on Yahoo Inc's stock after the company's plans for a tax-free spinoff of its stake in Alibaba Group Holdings Ltd  hit a snag.,normal
BABA,Alibaba Group Holding Limited,20150909,US STOCKS-Futures rise on hopes of more Chinese stimulus steps ,Sept 9 U.S. stock index futures rose sharply on Wednesday as positive comments from Chinese officials kept alive hopes of further stimulus measures for the economy calmed investors.,normal
BABA,Alibaba Group Holding Limited,20150909,Alibaba trims sales estimates as China economy slows ,SHANGHAI Chinese e-commerce giant Alibaba Group Holding Ltd  said on Tuesday it expected its total value of transactions in the second-quarter to be lower than previously thought  a fresh signal that China's slowdown is taking a bite out of consumer spending.,normal
BABA,Alibaba Group Holding Limited,20150909,UPDATE 1-Alibaba trims sales estimates as China economy slows ,SHANGHAI  Sept 9 Chinese e-commerce giant Alibaba Group Holding Ltd said on Tuesday it expected its total value of transactions in the second-quarter to be lower than previously thought  a fresh signal that China's slowdown is taking a bite out of consumer spending.,normal
AIG,American International Group Inc,20150909,U.S. court rejects AIG  Bank of NY Mellon tax credit appeals ,NEW YORK A U.S. appeals court on Wednesday rejected efforts by American International Group Inc and Bank of New York Mellon Corp to recoup hundreds of millions of dollars of foreign tax credits that the Internal Revenue Service did not allow.,topStory
AIG,American International Group Inc,20150909,U.S. court rejects AIG  Bank of NY Mellon tax credit appeals ,NEW YORK A U.S. appeals court on Wednesday rejected efforts by American International Group Inc and Bank of New York Mellon Corp to recoup hundreds of millions of dollars of foreign tax credits that the Internal Revenue Service did not allow.,normal
AIG,American International Group Inc,20150909,U.S. court rejects AIG  Bank of NY Mellon tax credit appeals ,NEW YORK  Sept 9 A U.S. appeals court on Wednesday rejected efforts by American International Group Inc  and Bank of New York Mellon Corp to recoup hundreds of millions of dollars of foreign tax credits that the Internal Revenue Service did not allow.,normal
APA,Apache Corporation,20150909,BRIEF-Apache plans to live within cash flow in 2016-CEO ,* CEO says company has cut workforce by about 20 percent this year,topStory
AIZ,Assurant Inc,20150909,Sun Life to buy U.S. insurer Assurant's unit for $975 million ,Canadian insurer Sun Life Financial Inc  said it would buy New York-based insurer Assurant Inc's  employee-benefits business for $975 million  creating the sixth largest group benefits business in the United States.,topStory
AIZ,Assurant Inc,20150909,UPDATE 1-Sun Life to buy U.S. insurer Assurant's unit for $975 mln ,Sept 9 Canadian insurer Sun Life Financial Inc  said it would buy New York-based insurer Assurant Inc's  employee-benefits business for $975 million  creating the sixth largest group benefits business in the United States.,normal
AIZ,Assurant Inc,20150909,Canadian insurer Sun Life to buy Assurant's unit for $975 mln ,Sept 9 Canadian insurer Sun Life Financial Inc  said it would buy New York-based insurer Assurant Inc's  employee-benefits business for $975 million  creating the sixth largest group benefits business in the United States.,normal
ALV,Autoliv Inc,20150909,Autoliv and Nissin Kogyo in brakes joint venture ,STOCKHOLM  Sept 9 Auto safety equipment maker Autoliv and Japan's Nissin Kogyo will form a joint venture involving the companies' brake businesses  Autoliv said on Wednesday.,topStory
ALV,Autoliv Inc,20150909,BRIEF-Autoliv says to form joint venture with Nissin Kogyo ,* Autoliv inc says has entered into a definitive agreement to establish a joint venture (jv) with Nissin Kogyo,normal
BCS,Barclays PLC,20150909,Barclays in talks to sell Italian loans worth 4 billion euros ,MILAN Barclays  is in talks to sell Italian performing mortgages worth 4 billion euros ($4.46 billion)  two sources with knowledge of the matter said  as the British bank presses ahead with the sale of European assets.,topStory
BCS,Barclays PLC,20150909,Barclays in talks to sell Italian loans worth 4 bln euros - sources ,MILAN  Sept 9 Barclays is in talks to sell Italian performing mortgages worth 4 billion euros ($4.46 billion)  two sources with knowledge of the matter said  as the British bank presses ahead with the sale of European assets.,normal
BKS,Barnes & Noble Inc,20150909,Barnes & Noble sales fall for fifth straight quarter ,Barnes & Noble Inc  the largest U.S. bookstore chain  reported a decline in sales for the fifth successive quarter as lower demand for its Nook tablets and online books compounded a protracted slump in sales at its stores.,topStory
BKS,Barnes & Noble Inc,20150909,UPDATE 2-Barnes & Noble sales fall for 5th straight quarter ,* Shares fall as much as 16.6 pct   (Repeats to fix formatting with no changes to text),normal
BKS,Barnes & Noble Inc,20150909,Barnes & Noble sales fall for 5th straight quarter ,Sept 9 Barnes & Noble Inc  the largest U.S. bookstore chain   reported a decline in sales for the fifth consecutive quarter  hurt by store closures  lower online sales and weak demand for its Nook tablets.,normal
BLK,BlackRock Inc,20150909,BlackRock executive Charles Hallac  dies at 50 ,BlackRock Inc  co-president and long-time executive Charles Hallac has died after a years-long struggle with colon cancer at the age of 50  the company said on Wednesday.,topStory
BLK,BlackRock Inc,20150909,UPDATE 1-BlackRock executive Charles Hallac  dies at 50 ,Sept 9 BlackRock Inc co-president and long-time executive Charles Hallac has died after a years-long struggle with colon cancer at the age of 50  the company said on Wednesday.,normal
BA,Boeing Company (The),20150909,Boeing plans to further speed up 767 aircraft production ,NEW YORK Boeing Co  said on Wednesday that it will push production of its 767 aircraft up by 25 percent in 2017 to help fill a historic order for 50 planes from FedEx Corp .,topStory
BA,Boeing Company (The),20150909,Boeing plans to further speed up 767 aircraft production ,NEW YORK  Sept 9 Boeing Co said on Wednesday that it will push production of its 767 aircraft up by 25 percent in 2017 to help fill a historic order for 50 planes from FedEx Corp.,normal
BA,Boeing Company (The),20150909,Deals of the day- Mergers and acquisitions ,Sept 9 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Wednesday:,normal
BA,Boeing Company (The),20150909,Aerojet makes $2 billion offer for Lockheed-Boeing joint venture: sources ,WASHINGTON Aerojet Rocketdyne Holdings Inc  submitted a $2 cash billion offer to buy United Launch Alliance (ULA)  a satellite launch provider jointly held by Lockheed Martin Corp  and Boeing Co   sources familiar with the matter said Tuesday  a deal that would further consolidate the space business.,normal
BA,Boeing Company (The),20150909,UPDATE 3-Aerojet makes $2 bln offer for Lockheed-Boeing joint venture -sources ,WASHINGTON  Sept 8 Aerojet Rocketdyne Holdings Inc submitted a $2 cash billion offer to buy United Launch Alliance (ULA)  a satellite launch provider jointly held by Lockheed Martin Corp and Boeing Co  sources familiar with the matter said Tuesday  a deal that would further consolidate the space business.,normal
BOX,Box Inc,20150909,Cloud storage company Box raises full-year forecast for second time ,Cloud storage provider Box Inc  reported a better-than-expected rise in quarterly revenue and raised its full-year revenue forecast for the second time as more customers subscribed to its content-sharing platform.,topStory
BOX,Box Inc,20150909,UPDATE 1-Cloud storage company Box raises full-year forecast for second time ,Sept 9 Cloud storage provider Box Inc  reported a better-than-expected rise in quarterly revenue and raised its full-year revenue forecast for the second time as more customers subscribed to its content-sharing platform.,normal
BOX,Box Inc,20150909,Cloud storage company Box's revenue rises 43 pct ,Sept 9 Cloud storage provider Box Inc  reported a 42.8 percent increase in quarterly revenue as more customers subscribed to its content-sharing platform.,normal
BT,BT Group plc,20150909,Fitch Affirms BT at 'BBB'; Outlook Positive ,(The following statement was released by the rating agency) LONDON  September 09 (Fitch) Fitch Ratings has affirmed BT Group plc's (BT)  Long-term Issuer Default Rating (IDR) at 'BBB' with a Positive Outlook. A full  list of rating actions is below. BT's ratings take into account its solid incumbent telecom position in the  competitive but rational UK telecom market; its strong cash flow and  conservative leverage relative to European incumbent peers and the prospect of  an improved operating pr,topStory
CNQ,Canadian Natural Resources Limited,20150909,UPDATE 1-CNRL cuts Calgary  Aberdeen staff salaries; cites low oil prices ,CALGARY  Alberta  Sept 9 Canadian Natural Resources Ltd  the country's largest independent oil producer  is cutting salaries by up to 10 percent for all its staff in Calgary  Alberta  and Aberdeen  Scotland  the company said on Wednesday.,topStory
CNQ,Canadian Natural Resources Limited,20150909,CNRL cuts salaries by up to 10 pct for all Calgary and Aberdeen staff ,CALGARY  Alberta  Sept 9 Canadian Natural Resources Ltd  the country's largest independent oil producer  is cutting salaries by up to 10 percent for all its staff in Calgary  Alberta  and Aberdeen  Scotland  the company said on Wednesday.,normal
CCL,Carnival Corporation,20150909,REFILE-UPDATE 1-Cruise ship fire leaves guests stranded on Caribbean island ,ST. THOMAS  U.S. Virgin Islands  Sept 8 An engine fire on board a cruise ship operated by Carnival Corp  left about 4 500 passengers and crew stranded in the U.S. Virgin Islands for a second day on Tuesday and forced the cruise operator to cut the trip short.,topStory
CVE,Cenovus Energy Inc,20150909,Canadian Oil Sands says no plan to sell future production ,CALGARY  Alberta  Sept 9 Canadian Oil Sands Ltd   the largest stakeholder in the Syncrude oil sands project  said on Wednesday it had reviewed selling a small portion of its future production but decided against the option for now.,normal
COP,ConocoPhillips,20150909,U.S. judge upholds Conoco as sole owner of coker at Sweeny  Texas refinery ,HOUSTON A federal court in New York has upheld a ruling granting U.S. oil and gas company ConocoPhillips sole ownership of a unit at the Sweeny  Texas  refinery  in a long-running dispute over the asset with Venezuela's PDVSA.,normal
COP,ConocoPhillips,20150909,UPDATE 3-U.S. judge upholds Conoco as sole owner of coker at Sweeny  Texas refinery ,HOUSTON  Sept 8 A federal court in New York has upheld a ruling granting U.S. oil and gas company ConocoPhillips  sole ownership of a unit at the Sweeny  Texas  refinery  in a long-running dispute over the asset with Venezuela's PDVSA.,normal
ED,Consolidated Edison Inc,20150909,Con Edison to pay $3.8 million to settle sexual harassment claims ,Consolidated Edison of New York Inc  will pay up to $3.8 million to end a government investigation into claims that it failed to stop frequent sexual harassment and discrimination against female employees  the New York Attorney General's office said on Wednesday.,topStory
ED,Consolidated Edison Inc,20150909,Con Edison to pay $3.8 mil to settle sexual harassment claims ,Consolidated Edison of New York Inc  will pay up to $3.8 million to end a government investigation into claims that it failed to stop frequent sexual harassment and discrimination against female employees  the New York Attorney General's office said on Wednesday.,normal
ED,Consolidated Edison Inc,20150909,Con Edison to pay $3.8 mil to settle sexual harassment claims ,Sept 9 Consolidated Edison of New York Inc  will pay up to $3.8 million to end a government investigation into claims that it failed to stop frequent sexual harassment and discrimination against female employees  the New York Attorney General's office said on Wednesday.,normal
DB,Deutsche Bank AG,20150909,MOVES-Deutsche hires Haji-Touma for alternative capital coverage ,LONDON  Sept 9 (IFR) - Deutsche Bank has hired Evans Haji-Touma from HSBC to be global head of coverage for alternative capital providers within the bank's corporate finance business  a newly created role.,topStory
EC,Ecopetrol SA,20150909,Colombia's No.2 pipeline halted  production normal ,BOGOTA  Sept 9 Colombia's Cano Limon pipeline has been halted for repairs  a source at state-run Ecopetrol  said on Wednesday  but production in the Cano Limon and Caricare oil fields is normal.,topStory
ECA,Encana Corporation,20150909,Canadian Oil Sands says no plan to sell future production ,CALGARY  Alberta  Sept 9 Canadian Oil Sands Ltd   the largest stakeholder in the Syncrude oil sands project  said on Wednesday it had reviewed selling a small portion of its future production but decided against the option for now.,normal
E,ENI SpA,20150909,Accident at Eni chemical plant in Sicily kills two ,ROME  Sept 9 Italian energy group Eni  said two people had been killed in an accident at a Sicilian plant operated by its Versalis chemical unit  prompting trade union calls for a strike to protest over working conditions.,topStory
GEH,General Electric Capital Corporation,20150909,SEC charges father  son  friend with insider trading in GE deal ,Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,topStory
GEH,General Electric Capital Corporation,20150909,SEC charges father  son  friend with insider trading in GE deal ,Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GEH,General Electric Capital Corporation,20150909,UPDATE 2-U.S. SEC charges father  son  friend with insider trading in GE deal ,Sept 9 Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GEH,General Electric Capital Corporation,20150909,SEC charges father  son  friend with insider trading in GE deal ,Sept 9 Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GEH,General Electric Capital Corporation,20150909,EU mergers and takeovers (Sept 9) ,BRUSSELS  Sept 9 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GEK,General Electric Capital Corporation,20150909,SEC charges father  son  friend with insider trading in GE deal ,Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,topStory
GEK,General Electric Capital Corporation,20150909,SEC charges father  son  friend with insider trading in GE deal ,Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GEK,General Electric Capital Corporation,20150909,UPDATE 2-U.S. SEC charges father  son  friend with insider trading in GE deal ,Sept 9 Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
