ALKS,Alkermes plc,20151005,Alkermes' schizophrenia drug Aristada gets FDA nod ,The U.S. Food and Drug Administration on Monday approved Alkermes Plc's longer-acting injectable version of blockbuster schizophrenia pill Abilify  making the treatment available in two doses.,topStory
GOOGL,Alphabet Inc,20151005,Russia says Google must correct contracts with mobile manufacturers by Nov 18 - IFX ,MOSCOW  Oct 5 Russia's anti-monopoly agency said on Monday that Google Inc must correct its contracts with mobile manufacturers by Nov. 18  Interfax news agency reported.,normal
GOOGL,Alphabet Inc,20151005,U.S. top court rejects I/P Engine's bid to restore $30 million patent verdict ,WASHINGTON The U.S. Supreme Court on Monday rejected an appeal by Vringo Inc subsidiary I/P Engine  which was seeking to restore a $30 million patent infringement verdict it won against several companies including Google Inc.,normal
GOOGL,Alphabet Inc,20151005,U.S. top court rejects I/P Engine's bid to restore $30 million patent verdict ,WASHINGTON The U.S. Supreme Court on Monday rejected an appeal by Vringo Inc subsidiary I/P Engine  which was seeking to restore a $30 million patent infringement verdict it won against several companies including Google Inc.,normal
GOOGL,Alphabet Inc,20151005,UPDATE 1-U.S. top court rejects I/P Engine's bid to restore $30 million patent verdict ,WASHINGTON  Oct 5 The U.S. Supreme Court on Monday rejected an appeal by Vringo Inc subsidiary I/P Engine  which was seeking to restore a $30 million patent infringement verdict it won against several companies including Google Inc.,normal
GOOGL,Alphabet Inc,20151005,Shares of Alphabet  the new Google  rise slightly in early trade ,Shares of Alphabet Inc  the new umbrella company for Google Inc  rose slightly in their first few minutes of trading on Monday.,normal
GOOGL,Alphabet Inc,20151005,Shares of Alphabet  the new Google  rise slightly in early trade ,Oct 5 Shares of Alphabet Inc   the new umbrella company for Google Inc  rose slightly in their first few minutes of trading on Monday.,normal
AAL,American Airlines Group Inc,20151005,Pilot falls ill on American flight from Phoenix to Boston  dies ,Oct 5 An overnight flight from Phoenix to Boston was diverted to Syracuse  New York  on Monday morning after one of the pilots fell ill and died  an American Airlines spokeswoman said.,topStory
AMGN,Amgen Inc,20151005,Pacific trade deal adds to U.S. price quandary for biotech drugs ,NEW YORK/ATLANTA  Oct 5 The Pacific trade deal agreed on Monday  which grants biotechnology drug producers less protection than offered by the United States  could put more downward pressures on the costly drugs' pricing in the industry's most lucrative market.,normal
AAPL,Apple Inc,20151005,VMware shares pare gains after report Apple not renewing licensing agreement ,NEW YORK VMware shares sharply pared gains on Monday after CRN reported Apple will not renew an expiring VMware enterprise licensing agreement.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20151005,BRIEF-Barclays launches placing of Betfair shares ,* Accelerated bookbuilt offering of 7.35 million ordinary shares in Betfair Group Plc,topStory
AVGO,Broadcom Limited,20151005,EU regulators to decide on $37 bln Avago  Broadcom deal by Nov. 9 ,BRUSSELS  Oct 5 European Union antitrust regulators will rule by Nov. 9 whether to clear a $37 billion bid by U.S. chipmaker Avago Technologies for rival Broadcom Corp  the biggest ever merger in the sector.,topStory
CZR,Caesars Entertainment Corporation,20151005,Caesars bankruptcy date under scrutiny at trial with creditors ,CHICAGO Caesars Entertainment Corp's  casino business sparred with a group of creditors in a trial on Monday over the exact date that the casino operator went bankrupt  in a battle that could determine whether the company's restructuring deal can go forward.,topStory
CZR,Caesars Entertainment Corporation,20151005,Caesars bankruptcy date under scrutiny at trial with creditors ,CHICAGO Caesars Entertainment Corp's casino business sparred with a group of creditors in a trial on Monday over the exact date that the casino operator went bankrupt  in a battle that could determine whether the company's restructuring deal can go forward.,normal
CZR,Caesars Entertainment Corporation,20151005,Caesars bankruptcy date under scrutiny at trial with creditors ,CHICAGO  Oct 5 Caesars Entertainment Corp's  casino business sparred with a group of creditors in a trial on Monday over the exact date that the casino operator went bankrupt  in a battle that could determine whether the company's restructuring deal can go forward.,normal
DBVT,DBV Technologies SA,20151005,BRIEF-DBV Technologies announces topline findings for Viaskin Peanut ,* Follow-up study of Viaskin Peanut shows significant increase in peanut consumption and treatment benefit in peanut allergic children,topStory
ERIC,Ericsson,20151005,BRIEF-Brighter and Ericsson in cooperation on technology and business development in mHealth ,* Brighter and Ericsson launches a partnership to simplify connection of MedTech  such as next-generation Brighter One,topStory
FITB,Fifth Third Bancorp,20151005,Fitch Affirms Fifth Third Bancorp's Inc. LT IDR at 'A' Following Large Regional Bank Review ,(The following statement was released by the rating agency) CHICAGO  October 05 (Fitch) Fitch Ratings has affirmed Fifth Third Bancorp's  (FITB) ratings at 'A/F1'. The Rating Outlook remains Stable. The affirmation  reflects the company's solid liquidity levels  moderating credit trends  and  good capital profile.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated ,topStory
FITBI,Fifth Third Bancorp,20151005,Fitch Affirms Fifth Third Bancorp's Inc. LT IDR at 'A' Following Large Regional Bank Review ,(The following statement was released by the rating agency) CHICAGO  October 05 (Fitch) Fitch Ratings has affirmed Fifth Third Bancorp's  (FITB) ratings at 'A/F1'. The Rating Outlook remains Stable. The affirmation  reflects the company's solid liquidity levels  moderating credit trends  and  good capital profile.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated ,topStory
HBAN,Huntington Bancshares Incorporated,20151005,Fitch Affirms Huntington Bancshares  Inc.LT IDR at 'A-' Following Large Regional Bank Review ,(The following statement was released by the rating agency) NEW YORK  October 05 (Fitch) Fitch Ratings has affirmed Huntington Bancshares   Inc.'s (HBAN) ratings at 'A-/F1'. The Rating Outlook remains Stable.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated (CMA)  Fifth Third Bancorp (FITB)  Huntington Bancshares  Inc. (HBAN)  Keycorp (KEY)  M&T Bank Corporation ,topStory
HBANN,Huntington Bancshares Incorporated,20151005,Fitch Affirms Huntington Bancshares  Inc.LT IDR at 'A-' Following Large Regional Bank Review ,(The following statement was released by the rating agency) NEW YORK  October 05 (Fitch) Fitch Ratings has affirmed Huntington Bancshares   Inc.'s (HBAN) ratings at 'A-/F1'. The Rating Outlook remains Stable.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated (CMA)  Fifth Third Bancorp (FITB)  Huntington Bancshares  Inc. (HBAN)  Keycorp (KEY)  M&T Bank Corporation ,topStory
HBANO,Huntington Bancshares Incorporated,20151005,Fitch Affirms Huntington Bancshares  Inc.LT IDR at 'A-' Following Large Regional Bank Review ,(The following statement was released by the rating agency) NEW YORK  October 05 (Fitch) Fitch Ratings has affirmed Huntington Bancshares   Inc.'s (HBAN) ratings at 'A-/F1'. The Rating Outlook remains Stable.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated (CMA)  Fifth Third Bancorp (FITB)  Huntington Bancshares  Inc. (HBAN)  Keycorp (KEY)  M&T Bank Corporation ,topStory
HBANP,Huntington Bancshares Incorporated,20151005,Fitch Affirms Huntington Bancshares  Inc.LT IDR at 'A-' Following Large Regional Bank Review ,(The following statement was released by the rating agency) NEW YORK  October 05 (Fitch) Fitch Ratings has affirmed Huntington Bancshares   Inc.'s (HBAN) ratings at 'A-/F1'. The Rating Outlook remains Stable.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated (CMA)  Fifth Third Bancorp (FITB)  Huntington Bancshares  Inc. (HBAN)  Keycorp (KEY)  M&T Bank Corporation ,topStory
LBTYA,Liberty Global plc,20151005,EU antitrust regulators to probe deeper into Liberty Global  KPN deal ,BRUSSELS  Oct 5 European Union antitrust regulators opened a full-scale investigation on Monday into U.S. cable company Liberty Global's  bid for Dutch peer KPN's Belgian unit  concerned that the deal may lead to higher prices.,topStory
LBTYB,Liberty Global plc,20151005,EU antitrust regulators to probe deeper into Liberty Global  KPN deal ,BRUSSELS  Oct 5 European Union antitrust regulators opened a full-scale investigation on Monday into U.S. cable company Liberty Global's  bid for Dutch peer KPN's Belgian unit  concerned that the deal may lead to higher prices.,topStory
LBTYK,Liberty Global plc,20151005,EU antitrust regulators to probe deeper into Liberty Global  KPN deal ,BRUSSELS  Oct 5 European Union antitrust regulators opened a full-scale investigation on Monday into U.S. cable company Liberty Global's  bid for Dutch peer KPN's Belgian unit  concerned that the deal may lead to higher prices.,topStory
LILA,Liberty Global plc,20151005,EU antitrust regulators to probe deeper into Liberty Global  KPN deal ,BRUSSELS  Oct 5 European Union antitrust regulators opened a full-scale investigation on Monday into U.S. cable company Liberty Global's  bid for Dutch peer KPN's Belgian unit  concerned that the deal may lead to higher prices.,topStory
LILAK,Liberty Global plc,20151005,EU antitrust regulators to probe deeper into Liberty Global  KPN deal ,BRUSSELS  Oct 5 European Union antitrust regulators opened a full-scale investigation on Monday into U.S. cable company Liberty Global's  bid for Dutch peer KPN's Belgian unit  concerned that the deal may lead to higher prices.,topStory
LMNX,Luminex Corporation,20151005,Luminex 'dark pool' enlists 73 members ahead of trading launch ,NEW YORK Luminex Trading & Analytics LLC  the upstart private stock trading venue owned by nine large investment managers  said on Sunday it had signed up more than 70 institutional investors ahead of an expected trading launch in early November.,topStory
LMNX,Luminex Corporation,20151005,Luminex 'dark pool' enlists 73 members ahead of trading launch ,NEW YORK  Oct 4 Luminex Trading & Analytics LLC  the upstart private stock trading venue owned by nine large investment managers  said on Sunday it had signed up more than 70 institutional investors ahead of an expected trading launch in early November.,normal
MSFT,Microsoft Corporation,20151005,Supreme Court rejects Paul Allen's interval licensing patent appeal ,WASHINGTON The U.S. Supreme Court on Monday rejected a bid by Microsoft Corp co-founder Paul Allen to revive several patent claims against AOL Inc  Apple Inc  Google Inc and Yahoo Inc over software pop-up notifications.,normal
RYAAY,Ryanair Holdings plc,20151005,BRIEF-Ryanair September traffic up 12 percent from last year ,* Rolling annual traffic to sept. Grew 16% to 97.3m customers.  Further company coverage:    (Reporting By Conor Humphries),topStory
ONCE,Spark Therapeutics Inc,20151005,Spark Therapeutics' eye drug succeeds in study ,Oct 5 Drug developer Spark Therapeutics Inc  said its lead experimental drug helped improve the vision of patients with a type of inherited eye disorder  in a late stage study.,topStory
WEN,Wendy&#39;s Company (The),20151005,Wendy's CEO Brolick to retire  to be succeeded by CFO Penegor ,U.S. burger chain Wendy's Co said on Monday its Chief Executive Emil Brolick would retire in May and named Chief Financial Officer Todd Penegor as his successor.,topStory
WEN,Wendy&#39;s Company (The),20151005,UPDATE 1-Wendy's CEO Brolick to retire  to be succeeded by CFO Penegor ,Oct 5 U.S. burger chain Wendy's Co said on Monday its Chief Executive Emil Brolick would retire in May and named Chief Financial Officer Todd Penegor as his successor.,normal
WEN,Wendy&#39;s Company (The),20151005,Wendy's CEO Brolick to retire  to be succeeded by CFO ,Oct 5 U.S. burger chain Wendy's Co said its Chief Executive Emil Brolick would retire in May and would be replaced by Chief Financial Officer Todd Penegor.,normal
ZION,Zions Bancorporation,20151005,Fitch Affirms Zions Bancorp.'s LT IDR at 'BBB-' Following Large Regional Bank Review; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  October 05 (Fitch) Fitch Ratings has affirmed Zions Bancorporation's  (ZION) ratings at 'BBB-/F3'. The Rating Outlook remains Stable.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated (CMA)  Fifth Third Bancorp (FITB)  Huntington Bancshares  Inc. (HBAN)  Keycorp (KEY)  M&T Bank Corporation (MTB) ,topStory
AA,Alcoa Corporation,20151005,Alcoa signs $1 bln contract with Airbus ,Oct 5 Alcoa Inc said it has signed a contract worth about $1 billion with Airbus Group for multi-material aerospace fastening systems.,topStory
AA,Alcoa Corporation,20151005,Clinton blasts Patriot Coal bankruptcy plan ,Davie  FLORIDA U.S. Democratic presidential candidate Hillary Clinton said Friday that a bankruptcy plan proposed by Patriot Coal Corp. is "outrageous and must be stopped" because it diverts money intended for coal miners' retirement benefits.,normal
BABA,Alibaba Group Holding Limited,20151005,HKEx says no change to listing rules that drove Alibaba IPO away ,HONG KONG  Oct 5 The Hong Kong stock exchange said on Monday it would not seek to change listing rules that were one of the main reasons that drove Alibaba Group Holding  to list its $25 billion initial public offering in New York and not Hong Kong last year.,topStory
AU,AngloGold Ashanti Limited,20151005,South Africa's last bullion bluechip battles relegation ,JOHANNESBURG  Oct 5 The Johannesburg stock market  the capitalist heart of South Africa's 'City of Gold'  is close to relegating the last bullion producer in its bluechip index  the latest sign of the precious metal losing its place in an economy it once dominated.,topStory
BLL,Ball Corporation,20151005,BRIEF-Ball says will work with Brazil's CADE to address competition concerns ,* Ball confirms that CADE concluded first stage of its investigation on 2 October  2015.,topStory
BK,Bank Of New York Mellon Corporation (The),20151005,U.S. court rejects creditors' bid for Argentine funds held by BNY Mellon ,NEW YORK A U.S. appeals court on Monday refused to force Bank of New York Mellon Corp to turn over to holders of defaulted Argentine bonds any of the $539 million the country deposited in 2014 to pay creditors who participated in its past restructurings.,topStory
BK,Bank Of New York Mellon Corporation (The),20151005,U.S. court rejects creditors' bid for Argentine funds held by BNY Mellon ,NEW YORK A U.S. appeals court on Monday refused to force Bank of New York Mellon Corp to turn over to holders of defaulted Argentine bonds any of the $539 million the country deposited in 2014 to pay creditors who participated in its past restructurings.,normal
BK,Bank Of New York Mellon Corporation (The),20151005,UPDATE 1-U.S. court rejects creditors' bid for Argentine funds held by BNY Mellon ,NEW YORK  Oct 5 A U.S. appeals court on Monday refused to force Bank of New York Mellon Corp to turn over to holders of defaulted Argentine bonds any of the $539 million the country deposited in 2014 to pay creditors who participated in its past restructurings.,normal
BK,Bank Of New York Mellon Corporation (The),20151005,U.S. court rejects creditors' bid for Argentine funds held by BNY Mellon ,NEW YORK  Oct 5 A U.S. appeals court on Monday refused to force Bank of New York Mellon Corp to turn over to holders of defaulted Argentine bonds any of the $539 million the country in 2014 deposited to pay creditors who participated in its past restructurings.,normal
BCS,Barclays PLC,20151005,BRIEF-Barclays launches placing of Betfair shares ,* Accelerated bookbuilt offering of 7.35 million ordinary shares in Betfair Group Plc,topStory
BLK,BlackRock Inc,20151005,CORRECTED-MOVES-BlackRock names Sean Murray national sales manager for DC group ,Oct 5 Investment management firm BlackRock Inc  appointed Sean Murray to the newly created position of national sales manager of the United States and Canada defined contribution (DC) group.,topStory
BA,Boeing Company (The),20151005,Air France seeks to cancel five Boeing plane deliveries ,PARIS Air France will negotiate with Boeing and leasing company AerCap to cancel the delivery of five 787 passenger jets  Chief Executive Frederic Gagey said on Monday as he unveiled new cost-cutting measures for the troubled airline.,topStory
BA,Boeing Company (The),20151005,Air France seeks to cancel five Boeing plane deliveries ,PARIS  Oct 5 Air France will negotiate with Boeing and leasing company AerCap to cancel the delivery of five 787 passenger jets  Chief Executive Frederic Gagey said on Monday as he unveiled new cost-cutting measures for the troubled airline.,normal
BP,BP plc,20151005,U.S. says BP to pay $20 billion in fines for 2010 oil spill ,BP Plc will pay more than $20 billion in fines to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago  marking the largest corporate settlement of its kind in U.S. history  Attorney General Loretta Lynch said on Monday.,topStory
BP,BP plc,20151005,RPT-UPDATE 3-U.S. says BP to pay $20 bln in fines for 2010 oil spill ,WASHINGTON  Oct 5 BP Plc will pay more than $20 billion in fines to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago  marking the largest corporate settlement of its kind in U.S. history  Attorney General Loretta Lynch said on Monday.,normal
BP,BP plc,20151005,U.S. says BP to pay $20 bln in fines for 2010 oil spill , BP Plc will pay more than $20 billion in fines to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago  marking the largest corporate settlement of its kind in U.S. history  Attorney General Loretta Lynch said on Monday.,normal
BP,BP plc,20151005,UPDATE 3-U.S. says BP to pay $20 bln in fines for 2010 oil spill ,WASHINGTON  Oct 5 BP Plc will pay more than $20 billion in fines to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago  marking the largest corporate settlement of its kind in U.S. history  Attorney General Loretta Lynch said on Monday.,normal
BP,BP plc,20151005,U.S. says settles 2010 BP spill claims for more than $20 bln ,WASHINGTON  Oct 5 The U.S. Justice Department on Monday said it settled its claims against oil company BP PLC for more than $20 billion.,normal
BRFS,BRF SA,20151005,Brazil's BRF makes binding offer for stake in Qatar's QNIE unit ,SAO PAULO  Oct 5 BRF SA  the world's largest poultry producer  has made a binding offer to purchase a stake in Qatar National Import and Export Co's frozen food distribution unit  part of a strategy to expand in markets such as the Middle East and Asia.,topStory
BCO,Brink&#39;s Company (The),20151005,Starboard raises stake in cash handler Brink's to 12.4 percent ,Activist investor Starboard Value LP said it raised its stake in Brink's Co  a provider of cash transportation and ATM services  to about 12.4 percent.,topStory
BCO,Brink&#39;s Company (The),20151005,UPDATE 1-Starboard raises stake in cash handler Brink's to 12.4 pct ,Oct 5 Activist investor Starboard Value LP said it raised its stake in Brink's Co  a provider of cash transportation and ATM services  to about 12.4 percent.,normal
BCO,Brink&#39;s Company (The),20151005,Starboard Value raises stake in Brink's Co to 12.4 pct ,Oct 5 Activist investor Starboard Value LP said it raised its stake in Brink's Co  a provider of cash transportation and ATM services  to about 12.4 percent.,normal
COF,Capital One Financial Corporation,20151005,Fitch Affirms Capital One Financial Corp's LT IDR at 'A-' Following Large Regional Bank Review ,(The following statement was released by the rating agency) NEW YORK  October 05 (Fitch) Fitch Ratings has affirmed Capital One Financial  Corporation's (COF) ratings at 'A-/F1'. The Rating Outlook remains Stable. The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated (CMA)  Fifth Third Bancorp (FITB)  Huntington Bancshares  Inc. (HBAN)  Keycorp (KEY)  M&T Bank Corporat,topStory
CBL,CBL & Associates Properties Inc,20151005,Fitch Affirms CBL's Ratings at 'BBB-'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  October 05 (Fitch) Fitch Ratings has affirmed the ratings of CBL &  Associates Properties  Inc. (NYSE: CBL) and its operating partnership  CBL &  Associates Limited Partnership (collectively  CBL) including CBL's 'BBB-'  long-term IDR. The Rating Outlook is Stable. A full list of rating actions  follows at the end of the release.  KEY RATING DRIVERS The ratings reflect CBL's large  well-diversified portfolio of predominantly  ,topStory
KO,Coca-Cola Company (The),20151005,EU ruling on European Coca-Cola bottlers merger due by November 9 ,BRUSSELS European Union competition regulators will rule by Nov. 9 whether to approve a plan by three Coca-Cola bottlers in Europe to merge their businesses to deal better with industry challenges.,topStory
KO,Coca-Cola Company (The),20151005,EU ruling on European Coca-Cola bottlers merger due by Nov. 9 ,BRUSSELS  Oct 5 European Union competition regulators will rule by Nov. 9 whether to approve a plan by three Coca-Cola bottlers in Europe to merge their businesses to deal better with industry challenges.,normal
CMA,Comerica Incorporated,20151005,Fitch Affirms Comerica's L-T IDR at 'A' Following Large Regional Bank Review; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  October 05 (Fitch) Fitch Ratings has affirmed Comerica Incorporated's  (CMA) ratings at 'A/F1'. The Rating Outlook remains Stable. The affirmation  reflects the bank's prudent capital management  conservative risk appetite  and  consistency in financial performance.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   C,topStory
DB,Deutsche Bank AG,20151005,MOVES-Deutsche Bank names Towery to lead European chemicals M&A -source ,FRANKFURT  Oct 5 Deutsche Bank has hired Chris Towery to lead its chemicals M&A team in Europe following the departure of Arkadi Nachimowski to JP Morgan in June  a person familiar with the matter said.,topStory
DEO,Diageo plc,20151005,Xerox CFO Mikells moves to Diageo ,LONDON  Oct 5 Diageo has hired Kathryn Mikells from Xerox as its new chief financial officer  it said on Monday  as the world's largest spirits company navigates its way through a downturn.,topStory
DEO,Diageo plc,20151005,BRIEF-Diageo names Xerox's Kathryn Mikells as CFO ,* Mikells joins from Xerox Corporation  where she is currently CFO  a position she has held since May 2013  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom + 91 80 6749 1136),normal
XOM,Exxon Mobil Corporation,20151005,Exxon sells 2016 Upper Zakum crude at higher premium from yr ago - trade ,SINGAPORE  Oct 5 ExxonMobil has sold 2016 supplies of Upper Zakum crude to at least one buyer via a tender at a slightly higher premium than a year ago  trade sources said on Monday.,topStory
FCAU,Fiat Chrysler Automobiles NV,20151005,U.S. labor chief tries to calm Fiat Chrysler worker fears ,DETROIT The United Auto Workers and Fiat Chrysler Automobiles NV negotiators were back at the table on Monday days after U.S. union members soundly rejected a proposed four-year contract the two sides agreed on three weeks ago.,topStory
FCAU,Fiat Chrysler Automobiles NV,20151005,U.S. labor chief tries to calm Fiat Chrysler worker fears ,DETROIT  Oct 5 The United Auto Workers and Fiat Chrysler Automobiles NV  negotiators were back at the table on Monday days after U.S. union members soundly rejected a proposed four-year contract the two sides agreed on three weeks ago.,normal
GEH,General Electric Capital Corporation,20151005,Nelson Peltz's Trian takes $2.5 billion stake in General Electric ,Activist investor Nelson Peltz's fund has bought a $2.5 billion stake in General Electric Co  adding fresh pressure on the U.S. conglomerate to pull off its plan to shift away from finance operations toward its industrial roots. | Video ,topStory
GEH,General Electric Capital Corporation,20151005,Arkansas teachers top off a sweet day for Peltz' Trian hedge fund ,BOSTON Billionaire fund manager Nelson Peltz on Monday added a big new client when he took in $150 million in cash from the Arkansas Teachers Retirement System  part of a trio of welcome victories for the activist  whose portfolio has faced a bumpy ride lately.,normal
GEH,General Electric Capital Corporation,20151005,CORRECTED-UPDATE 4-Nelson Peltz's Trian Fund takes $2.5 bln stake in GE ,Oct 5 Nelson Peltz's Trian Fund Management said it bought $2.5 billion in shares of General Electric Co  since May  making it one of the top 10 shareholders in the industrial conglomerate.,normal
GEH,General Electric Capital Corporation,20151005,GE to sell corporate aircraft financing business ,General Electric Co said it would sell its fixed-wing corporate aircraft financing business in the Americas to Global Jet Capital  a provider of financing for the private aircraft market.,normal
GEH,General Electric Capital Corporation,20151005,GE to sell corporate aircraft financing business ,Oct 5 General Electric Co said it would sell its fixed-wing corporate aircraft financing business in the Americas to Global Jet Capital  a provider of financing for the private aircraft market.,normal
GEH,General Electric Capital Corporation,20151005,PRESS DIGEST - Wall Street Journal - Oct 5 ,Oct 5 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
GEH,General Electric Capital Corporation,20151005,Nelson Peltz's Trian Fund takes $2.5 billion stake in GE - WSJ ,Oct 5 Nelson Peltz's Trian Fund Management has accumulated $2.5 billion in General Electric shares since the middle of May - a roughly 1 percent stake - making it one of the company's top 10 shareholders  the Wall Street Journal reported.,normal
GEK,General Electric Capital Corporation,20151005,Nelson Peltz's Trian takes $2.5 billion stake in General Electric ,Activist investor Nelson Peltz's fund has bought a $2.5 billion stake in General Electric Co  adding fresh pressure on the U.S. conglomerate to pull off its plan to shift away from finance operations toward its industrial roots. | Video ,topStory
GEK,General Electric Capital Corporation,20151005,Arkansas teachers top off a sweet day for Peltz' Trian hedge fund ,BOSTON Billionaire fund manager Nelson Peltz on Monday added a big new client when he took in $150 million in cash from the Arkansas Teachers Retirement System  part of a trio of welcome victories for the activist  whose portfolio has faced a bumpy ride lately.,normal
GEK,General Electric Capital Corporation,20151005,CORRECTED-UPDATE 4-Nelson Peltz's Trian Fund takes $2.5 bln stake in GE ,Oct 5 Nelson Peltz's Trian Fund Management said it bought $2.5 billion in shares of General Electric Co  since May  making it one of the top 10 shareholders in the industrial conglomerate.,normal
GEK,General Electric Capital Corporation,20151005,GE to sell corporate aircraft financing business ,General Electric Co said it would sell its fixed-wing corporate aircraft financing business in the Americas to Global Jet Capital  a provider of financing for the private aircraft market.,normal
GEK,General Electric Capital Corporation,20151005,GE to sell corporate aircraft financing business ,Oct 5 General Electric Co said it would sell its fixed-wing corporate aircraft financing business in the Americas to Global Jet Capital  a provider of financing for the private aircraft market.,normal
GEK,General Electric Capital Corporation,20151005,PRESS DIGEST - Wall Street Journal - Oct 5 ,Oct 5 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
GEK,General Electric Capital Corporation,20151005,Nelson Peltz's Trian Fund takes $2.5 billion stake in GE - WSJ ,Oct 5 Nelson Peltz's Trian Fund Management has accumulated $2.5 billion in General Electric shares since the middle of May - a roughly 1 percent stake - making it one of the company's top 10 shareholders  the Wall Street Journal reported.,normal
