ALGT,Allegiant Travel Company,20150402,U.S. judge orders temporary block of Allegiant Air pilot strike ,A U.S. judge on Wednesday issued an order temporarily blocking Allegiant Air pilots from striking after they announced a Thursday walkout.,topStory
MAT,Mattel Inc,20150402,Mattel appoints Christopher Sinclair as CEO ,April 2 Barbie doll maker Mattel Inc  appointed Christopher Sinclair its Chief Executive  two months after the former PepsiCo Inc executive was named interim CEO.,normal
MU,Micron Technology Inc,20150402,US STOCKS-Futures point to modestly lower open after data ,* Futures down: Dow 30 pts  S&P 5 pts  Nasdaq 10.75 pts   (Updates with jobless claims data),topStory
MU,Micron Technology Inc,20150402,US STOCKS-Futures fall as investors await data ,NEW YORK  April 2 U.S. stock index futures were lower on Thursday  as investors held off on making big bets ahead of a critical payrolls report that will be released on Friday  a market holiday.,normal
MSFT,Microsoft Corporation,20150402,Microsoft brings document scanner app to iPhones  Android ,SEATTLE  April 2 Microsoft Corp said on Thursday it is bringing one of its most popular apps  which lets people take photos of a document and turn it into a editable file  to Apple Inc's iPhone and Google Inc's  Android.,topStory
MDLZ,Mondelez International Inc,20150402,Kraft Foods emails lay out plan to depress U.S. wheat prices: CFTC ,CHICAGO Emails between former senior executives at Kraft Foods  including its chief financial officer and a top procurement director  are among the evidence in a U.S. lawsuit accusing the company and Mondelez International of manipulating wheat prices.,topStory
MDLZ,Mondelez International Inc,20150402,Trian's Peltz says 'not pushing' Mondelez for a big deal ,Billionaire activist investor Nelson Peltz said on Thursday he is not pushing Mondelez International Inc to do a big deal.,normal
MDLZ,Mondelez International Inc,20150402,Kraft Foods emails lay out plan to depress U.S. wheat prices -CFTC ,CHICAGO  April 2 Emails between former senior executives at Kraft Foods  including its chief financial officer and a top procurement director  are among the evidence in a U.S. lawsuit accusing the company and Mondelez International of manipulating wheat prices.,normal
REIS,Reis Inc,20150402,U.S. apartment vacancy rate falls to 4.1 percent in first quarter ,U.S. apartment vacancy rate fell to 4.1 percent in the first quarter  from 4.2 percent in the fourth  while new construction declined to its lowest level since the first quarter of 2013  real estate research firm Reis Inc  said on Wednesday.,topStory
REIS,Reis Inc,20150402,U.S. apartment vacancy rate falls to 4.1 pct in first quarter ,April 1 U.S. apartment vacancy rate fell to 4.1 percent in the first quarter  from 4.2 percent in the fourth  while new construction declined to its lowest level since the first quarter of 2013  real estate research firm Reis Inc  said on Wednesday.,normal
PCLN,The Priceline Group Inc ,20150402,UPDATE 1-Airbnb opens rental listings for U.S. travelers to Cuba ,WASHINGTON  April 2 Online home-rental marketplace Airbnb Inc now offers properties in Cuba  the company said on Thursday  as it looks to capitalize on an expected travel boom resulting from the normalizing of relations between the United States and the Communist-run nation.,normal
PCLN,The Priceline Group Inc ,20150402,Airbnb opens rental listings for U.S. travelers to Cuba ,April 2 Online home-rental marketplace Airbnb Inc now offers properties in Cuba  the company said on Thursday  hoping to capitalize on an expected travel boost after the United States began normalizing relations with the Communist-run nation.,normal
VOD,Vodafone Group Plc,20150402,Italian state-backed lender ready to buy out Metroweb if stake unsold ,ROME Italian state-backed lender Cassa Depositi e Prestiti would be ready to buy out Metroweb if no buyer is found when Italian fund F2i decides to sell its stake  CDP Chairman Franco Bassanini said on Thursday.,topStory
AA,Alcoa Corporation,20150402,Stocks could resume gains as focus shifts to earnings ,NEW YORK Market focus will shift from macro to micro next week as economic data winds down and quarterly earnings reports from S&P 500 components including Alcoa  take center-stage.,topStory
AA,Alcoa Corporation,20150402,Wall St Week Ahead-Stocks could resume gains as focus shifts to earnings ,NEW YORK  April 2 Market focus will shift from macro to micro next week as economic data winds down and quarterly earnings reports from S&P 500 components including Alcoa take center-stage.,normal
BABA,Alibaba Group Holding Limited,20150402,China's Alibaba finance arm  Xiaomi partner in wearable payments ,BEIJING Alibaba Group Holding Ltd's  finance arm and smartphone maker Xiaomi Inc [XTC.UL] said on Thursday they will jointly develop mobile payment systems using wearable technology  a first for China's major tech firms.,topStory
BABA,Alibaba Group Holding Limited,20150402,China's Alibaba finance arm  Xiaomi partner in wearable payments ,BEIJING  April 2 Alibaba Group Holding Ltd's  finance arm and smartphone maker Xiaomi Inc  said on Thursday they will jointly develop mobile payment systems using wearable technology  a first for China's major tech firms.,normal
AMOV,America Movil SAB de CV,20150402,America Movil plans to list Mexico tower spin-off business ,MEXICO CITY Mexico's America Movil  the telecoms company controlled by billionaire Carlos Slim  said on Wednesday it would propose spinning off its local cellphone tower business into a separate  listed company known as Telesites.,topStory
AMOV,America Movil SAB de CV,20150402,UPDATE 3-America Movil plans to list Mexico tower spin-off business ,MEXICO CITY  April 1 Mexico's America Movil  the telecoms company controlled by billionaire Carlos Slim  said on Wednesday it would propose spinning off its local cellphone tower business into a separate  listed company known as Telesites.,normal
AMX,America Movil SAB de CV,20150402,America Movil plans to list Mexico tower spin-off business ,MEXICO CITY Mexico's America Movil  the telecoms company controlled by billionaire Carlos Slim  said on Wednesday it would propose spinning off its local cellphone tower business into a separate  listed company known as Telesites.,topStory
AMX,America Movil SAB de CV,20150402,UPDATE 3-America Movil plans to list Mexico tower spin-off business ,MEXICO CITY  April 1 Mexico's America Movil  the telecoms company controlled by billionaire Carlos Slim  said on Wednesday it would propose spinning off its local cellphone tower business into a separate  listed company known as Telesites.,normal
AMP,AMERIPRISE FINANCIAL SERVICES INC,20150402,Ameriprise hires adviser from Edward Jones ,Asset management firm Ameriprise Financial Inc said Robert Shanks from brokerage firm Edward Jones joined its independent channel as adviser.,topStory
AMP,AMERIPRISE FINANCIAL SERVICES INC,20150402,ON THE MOVE-Ameriprise hires adviser from Edward Jones ,April 2 Asset management firm Ameriprise Financial Inc said Robert Shanks from brokerage firm Edward Jones joined its independent channel as adviser.,normal
BAC,Bank of America Corporation,20150402,ON THE MOVE-Merrill Lynch lands $100 mln managers from Janney Montgomery ,NEW YORK  April 2 Bank of America's  Merrill Lynch said on Thursday it hired a broker away from Janney Montgomery Scott LLC in Scranton  Pennsylvania.,topStory
BCS,Barclays PLC,20150402,Brazil M&A deals struggle with flagging outlook in 1st qtr-report ,SAO PAULO  April 2 The value of mergers and acquisitions in Brazil in the first quarter slipped to its lowest in two years  as slumping confidence and an economic downturn prevented buyers and sellers from finalizing deals in Latin America's largest economy.,normal
BLK,BlackRock Inc,20150402,Funding Circle to get Temasek  Blackrock funding: Sky ,LONDON Singapore's sovereign wealth fund Temasek and money manager BlackRock  are set to buy stakes in Funding Circle in deals that could value the British peer-to-peer lending platform at more than $1 billion  Sky News said on Thursday.,topStory
BLK,BlackRock Inc,20150402,Funding Circle to get Temasek  Blackrock funding - Sky ,LONDON  April 2 Singapore's sovereign wealth fund Temasek and money manager BlackRock are set to buy stakes in Funding Circle in deals that could value the British peer-to-peer lending platform at more than $1 billion  Sky News said on Thursday.,normal
BA,Boeing Company (The),20150402,Boeing employee pleads guilty to taking kickbacks for bid information ,NEW YORK A Boeing Co  procurement official is among seven people who have pleaded guilty in a kickback scheme that involved giving confidential bidding information to suppliers to the aerospace company's satellite division  prosecutors said on Thursday.,topStory
BA,Boeing Company (The),20150402,Boeing employee pleads guilty to taking kickbacks for bid information ,NEW YORK A Boeing Co procurement official is among seven people who have pleaded guilty in a kickback scheme that involved giving confidential bidding information to suppliers to the aerospace company's satellite division  prosecutors said on Thursday.,normal
BA,Boeing Company (The),20150402,Boeing employee pleads guilty to taking kickbacks for bid information ,NEW YORK  April 2 A Boeing Co procurement official is among seven people who have pleaded guilty in a kickback scheme that involved giving confidential bidding information to suppliers to the aerospace company's satellite division  prosecutors said on Thursday.,normal
BA,Boeing Company (The),20150402,Boeing to ramp up lobbying  ads for F/A-18 Super Hornets ,WASHINGTON Boeing Co on Thursday said it will ramp up lobbying efforts to extend production of its F/A-18 fighter jets beyond the end of 2017 after the U.S. Navy asked Congress to fund 12 airplanes not included in the 2016 budget proposal.,normal
BA,Boeing Company (The),20150402,South Carolina governor takes aim at union 'bullies' in Boeing labor vote ,South Carolina Governor Nikki Haley considers the bid to unionize workers at Boeing Co's North Charleston plant a threat to one of her state's corporate crown jewels  and she is turning to radio  speeches and social media to denounce the campaign.,normal
BA,Boeing Company (The),20150402,Boeing to ramp up lobbying  ads for F/A-18 Super Hornets ,WASHINGTON  April 2 Boeing Co on Thursday said it will ramp up lobbying efforts to extend production of its F/A-18 fighter jets beyond the end of 2017 after the U.S. Navy asked Congress to fund 12 airplanes not included in the 2016 budget proposal.,normal
BA,Boeing Company (The),20150402,South Carolina governor takes aim at union "bullies" in Boeing labor vote ,South Carolina Governor Nikki Haley considers the bid to unionize workers at Boeing Co's North Charleston plant a threat to one of her state's corporate crown jewels  and she is turning to radio  speeches and social media to denounce the campaign.,normal
BA,Boeing Company (The),20150402,South Carolina governor takes aim at union "bullies" in Boeing labor vote ,April 2 South Carolina Governor Nikki Haley considers the bid to unionize workers at Boeing Co's  North Charleston plant a threat to one of her state's corporate crown jewels  and she is turning to radio  speeches and social media to denounce the campaign.,normal
BA,Boeing Company (The),20150402,Oman Air says orders 20 Boeing 737s; to double fleet by 2020 , (This version of the March 30 story corrects the last paragraph to 25 widebody and 45 narrowbody  not vice versa.),normal
BA,Boeing Company (The),20150402,CORRECTED-Oman Air says orders 20 Boeing 737s; to double fleet by 2020 ,SINGAPORE  March 30 Flag carrier Oman Air has ordered 20 Boeing Co 737 aircraft as part of a plan to double its fleet to 70 planes by 2020  Chief Executive Paul Gregorowitsch said on Monday.,normal
BR,Broadridge Financial Solutions Inc,20150402,Fitch Affirms Broadridge's IDR at 'BBB+'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  April 02 (Fitch) Fitch Ratings has affirmed the Issuer Default Rating  (IDR) and senior unsecured debt ratings of Broadridge Financial Solutions  Inc.  (Broadridge) at 'BBB+'. The Rating Outlook is Stable. See the full list of  ratings at the end of the release.  KEY RATING DRIVERS The ratings and Outlook are supported by the following considerations: --Broadridge has a leading share in the proxy distribution market  which Fitc,topStory
KMX,CarMax Inc,20150402,US STOCKS-Wall Street climbs after 2-day decline; focus on jobs data ,(Adds Micron shares lower  closing levels for the week)     * Investors look to payrolls data due on Good Friday     * Most S&P 500 sectors higher     * CarMax rallies on results     * Indexes up: Dow 0.4 pct  S&P 0.4 pct  Nasdaq 0.1 pct      By Caroline Valetkevitch     NEW YORK  April 2 U.S. stocks bounced on Thursday after two days of declines following encouraging data on the labor market  but mixed data this week kept investors on edge before Friday's key payrolls report.    ,topStory
KMX,CarMax Inc,20150402,US STOCKS-Wall St climbs after two-day decline; jobless data boosts ,NEW YORK  April 2 U.S. stocks bounced on Thursday after two days of declines following encouraging data on the labor market  but mixed data this week kept uncertainty high before Friday's key payrolls report.,normal
KMX,CarMax Inc,20150402,US STOCKS-Wall St climbs after 2-day decline; jobless data boosts ,NEW YORK  April 2 U.S. stocks edged higher on Thursday after two days of declines following encouraging data on the labor market  which raised investors' hopes for Friday's key payrolls report.,normal
CVX,Chevron Corporation,20150402,China sells Australia-spec gasoline cargo  eyes growing market ,* PetroChina sold rare Australian grade gasoline to Chevron last month - source,topStory
CVX,Chevron Corporation,20150402,Par wraps up Mid Pac takeover in Hawaii ,Par Petroleum Corp  today announced the completion of the acquisition of Hawaii based Mid Pac Petroleum  LLC.,normal
CHL,China Mobile (Hong Kong) Ltd,20150402,Fitch Affirms China Mobile at 'A+' with Stable Outlook ,(The following statement was released by the rating agency) HONG KONG/SYDNEY/SINGAPORE  April 02 (Fitch) Fitch Ratings has affirmed China  Mobile Limited's (CML) Long-Term Foreign-Currency and Local-Currency Issuer  Default Rating (IDR) at 'A+' with Stable Outlook. KEY RATING DRIVERS Dominant Mobile Market Position: The ratings reflect Fitch's expectations that  CML would be able to maintain its dominant position over the medium term due to  its significant economies of scale  robust financial p,topStory
SNP,China Petroleum & Chemical Corporation,20150402,China sells Australia-spec gasoline cargo  eyes growing market ,* PetroChina sold rare Australian grade gasoline to Chevron last month - source,topStory
ZNH,China Southern Airlines Company Limited,20150402,Two Chinese energy executives under investigation ,BEIJING Two senior energy executives are under investigation  authorities in China said on Thursday  as a corruption crackdown on state-owned enterprises continues to fell top officials.,topStory
ZNH,China Southern Airlines Company Limited,20150402,Chinese senior power official under criminal investigation ,BEIJING  April 2 A senior executive of state-run China Southern Power Grid is under criminal investigation  legal authorities in Guangdong province said in a statement on its website on Thursday.,normal
CHA,China Telecom Corp Ltd,20150402,IBM forges mobile app partnership with China Telecom ,BEIJING International Business Machines (IBM)  has struck a deal with China Telecom Corp Ltd  to offer and manage corporate-grade mobile apps  the latest in a string of tie-ups with Chinese firms.,topStory
CHA,China Telecom Corp Ltd,20150402,IBM forges mobile app partnership with China Telecom ,BEIJING  April 2 International Business Machines (IBM) has struck a deal with China Telecom Corp Ltd  to offer and manage corporate-grade mobile apps  the latest in a string of tie-ups with Chinese firms.,normal
CIT,CIT Group Inc (DEL),20150402,Lessor CIT orders five more Airbus A321 planes ,PARIS Leasing company CIT has ordered five additional Airbus A321 aircraft worth $570 million based on list prices  the European planemaker said in a statement on Thursday.,topStory
CIT,CIT Group Inc (DEL),20150402,Lessor CIT orders five more Airbus A321 planes ,PARIS  April 2 Leasing company CIT has ordered five additional Airbus A321 aircraft worth $570 million based on list prices  the European planemaker said in a statement on Thursday.,normal
C,Citigroup Inc,20150402,Justice Department pressing for guilty plea from Citibank unit in currency probe: Bloomberg ,The U.S. Department of Justice is pressing for Citigroup Inc's  main banking subsidiary to plead guilty to criminal charges that it manipulated the prices of foreign currencies  Bloomberg reported  citing two people familiar with the matter.,topStory
C,Citigroup Inc,20150402,DoJ pressing for guilty plea from Citibank unit in currency probe - Bloomberg ,April 2 The U.S. Department of Justice is pressing for Citigroup Inc's  main banking subsidiary to plead guilty to criminal charges that it manipulated the prices of foreign currencies  Bloomberg reported  citing two people familiar with the matter.,normal
C,Citigroup Inc,20150402,Citi taps ex-UBS executive Herrmann as global head of prime finance: memo ,LONDON Citigroup Inc has appointed former UBS Group executive Adam Herrmann as its global head of prime finance  a unit that services hedge funds.,normal
CEO,CNOOC Limited,20150402,UPDATE 1-Two Chinese energy executives under investigation ,* Power exec is 2nd this week for China Southern Power Grid   (Adds detail  merges with story about probe into CNOOC exec),topStory
CTB,Cooper Tire & Rubber Company,20150402,Connecticut fund executive  friend charged with insider trading ,U.S. authorities have filed criminal and civil insider trading charges against two friends  including a Connecticut venture capital executive  accused of profiting illegally from India-based Apollo Tyres Ltd's attempt to buy Cooper Tire & Rubber Co in 2013.,topStory
CTB,Cooper Tire & Rubber Company,20150402,Connecticut fund executive  friend charged with insider trading ,U.S. authorities have filed criminal and civil insider trading charges against two friends  including a Connecticut venture capital executive  accused of profiting illegally from India-based Apollo Tyres Ltd's attempt to buy Cooper Tire & Rubber Co in 2013.,normal
CTB,Cooper Tire & Rubber Company,20150402,UPDATE 1-Connecticut fund executive  friend charged with insider trading ,* Oak Investment puts Ahmed on leave of absence   (Adds Ahmed being put on leave of absence),normal
CTB,Cooper Tire & Rubber Company,20150402,Connecticut fund executive  friend charged with insider trading ,April 2 U.S. authorities have filed criminal and civil insider trading charges against two friends  including a Connecticut venture capital executive  accused of profiting illegally from India-based Apollo Tyres Ltd's attempt to buy Cooper Tire & Rubber Co in 2013.,normal
DAL,Delta Air Lines Inc,20150402,Delta Air Lines unit revenue fell 1.5 percent in first quarter ,Delta Air Lines Inc  said Thursday that first-quarter unit revenue dropped as a stronger dollar hurt international demand and domestic bookings fell short of its expectations.,topStory
DAL,Delta Air Lines Inc,20150402,UPDATE 1-Delta Air Lines unit revenue fell 1.5 pct in 1st qtr ,April 2 Delta Air Lines Inc said Thursday that first-quarter unit revenue dropped as a stronger dollar hurt international demand and domestic bookings fell short of its expectations.,normal
DB,Deutsche Bank AG,20150402,Austria probes Deutsche Bank role in Volksbanken debt sale ,VIENNA Austrian prosecutors said they were investigating whether Deutsche Bank violated prospectus and notification rules when selling special debt of Volksbanken AG to a pair of local investors.,topStory
DB,Deutsche Bank AG,20150402,Austria probes Deutsche Bank role in Volksbanken debt sale ,VIENNA  April 2 Austrian prosecutors said they were investigating whether Deutsche Bank violated prospectus and notification rules when selling special debt of Volksbanken AG to a pair of local investors.,normal
DEO,Diageo plc,20150402,Deals of the day- Mergers and acquisitions ,April 2 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Thursday:,topStory
DEO,Diageo plc,20150402,Diageo snaps up rest of United National Breweries beer business ,LONDON  April 2 Diageo  the world's largest spirits maker  said on Thursday it had agreed to acquire control of United National Breweries beer business in South Africa  buying the remaining 50 percent stake it did not already own.,normal
XOM,Exxon Mobil Corporation,20150402,Exxon lodges claim at Stockholm court in Russia tax dispute-ministry ,MOSCOW  April 2 U.S. oil and gas major ExxonMobil has lodged a claim against Russia at the Stockholm arbitrage court as part of a tax dispute over its project in Russia's far east  a spokeswoman for Russia's Energy Ministry said on Thursday.,topStory
F,Ford Motor Company,20150402,Ford China joint venture acquires factory in $1.1 billion deal ,BEIJING Ford Motor Co's  joint venture with Chongqing Changan Automobile Co Ltd  will takeover and upgrade a factory in northeast China in a 6.6 billion yuan ($1.1 billion) deal  a company spokeswoman said.,topStory
F,Ford Motor Company,20150402,Ford China joint venture acquires factory in $1.1 bln deal ,BEIJING  April 2 Ford Motor Co's joint venture with Chongqing Changan Automobile Co Ltd  will takeover and upgrade a factory in northeast China in a 6.6 billion yuan ($1.1 billion) deal  a company spokeswoman said.,normal
GM,General Motors Company,20150402,GM says Korea labor costs have surged  but has no plans to exit ,ILSAN  South Korea General Motors Co (GM)  on Thursday said its labor costs have risen nearly 50 percent over the past five years in South Korea  where it makes nearly one-fifth of its global output  but that it does not plan to shut any of its four plants there.,topStory
GEL,Genesis Energy LP,20150402,BRIEF-WSE suspends trading of Genesis Energy's shares ,* Said on Wednesday it resolved to suspend trading of shares Genesis Energy SA on New Connnect market as of April 2,topStory
GNW,Genworth Financial Inc,20150402,Deals of the day- Mergers and acquisitions ,April 2 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,topStory
GNW,Genworth Financial Inc,20150402,Genworth seeking buyers for a life and annuity unit: Bloomberg ,U.S. insurer Genworth Financial Inc  is seeking buyers for a life and annuity unit  Bloomberg reported  citing people familiar with the matter.,normal
GNW,Genworth Financial Inc,20150402,Genworth seeking buyers for a life and annuity unit - Bloomberg ,April 2 U.S. insurer Genworth Financial Inc  is seeking buyers for a life and annuity unit  Bloomberg reported  citing people familiar with the matter.,normal
GS,Goldman Sachs Group Inc (The),20150402,Goldman economist says Fed should hike late this year ,STONE MOUNTAIN  Ga. Goldman Sachs  Economist Jan Hatzius said on Wednesday he believed the Federal Reserve should raise interest rates late this year or early next year  given the amount of slack still present in the labor market.,topStory
GS,Goldman Sachs Group Inc (The),20150402,Genworth seeking buyers for a life and annuity unit - Bloomberg ,April 2 U.S. insurer Genworth Financial Inc  is seeking buyers for a life and annuity unit  Bloomberg reported  citing people familiar with the matter.,normal
GS,Goldman Sachs Group Inc (The),20150402,CORRECTED-UPDATE 1-Goldman economist says Fed should hike late this year ,STONE MOUNTAIN  Ga.  April 1 Goldman Sachs  Economist Jan Hatzius said on Wednesday he believed the Federal Reserve should raise interest rates late this year or early next year  given the amount of slack still present in the labor market.,normal
GS,Goldman Sachs Group Inc (The),20150402,CORRECTED-Goldman economist says Fed should hike very late this year ,STONE MOUNTAIN  Ga.  April 1 Goldman Sachs  Economist Jan Hatzius said on Wednesday that the Federal Reserve ought to raise interest rates very late this year  or early next year.,normal
HE,Hawaiian Electric Industries Inc,20150402,NextEra's Hawaii deal faces big concerns from solar players ,NextEra Energy Inc's  $4.3 billion plan to buy Hawaiian Electric Industries Inc  has made solar companies uneasy  worried that the deal would reverse the island state's push to decentralize its power grid.,topStory
HE,Hawaiian Electric Industries Inc,20150402,NextEra's Hawaii deal faces big concerns from solar players ,April 1 NextEra Energy Inc's $4.3 billion plan to buy Hawaiian Electric Industries Inc has made solar companies uneasy  worried that the deal would reverse the island state's push to decentralize its power grid.,normal
HES,Hess Corporation,20150402,Hess is mirroring Toyota manufacturing process to slash well costs ,DENVER  April 2 Oil producer Hess Corp  has turned to a manufacturing process developed by automaker Toyota Motor Corp to cut costs and boost production as crude oil prices lag.,topStory
HMC,Honda Motor Company Ltd,20150402,BRIEF-Honda March China vehicle sales up 14.7 pct y/y ,* March China vehicle sales up 14.7 percent y/y  vs 9.1 percent decrease in February,topStory
ICE,Intercontinental Exchange Inc,20150402,NYSE Arca says 'inadvertently' sent regulatory halts after glitch ,April 2 Intercontinental Exchange Inc's  NYSE Arca said on Thursday that it "inadvertently" sent out regulatory halts in around 160 exchange-traded funds and notes on Tuesday after a glitch interrupted trading on the electronic trading platform.,topStory
IBM,International Business Machines Corporation,20150402,IBM uncovers new  sophisticated bank transfer cyber scam ,SEATTLE IBM has uncovered a sophisticated fraud scheme run by a well- funded Eastern European gang of cyber criminals that uses a combination of phishing  malware and phone calls that the technology company says has netted more than $1 million from large and medium-sized U.S. companies.,topStory
IBM,International Business Machines Corporation,20150402,Exclusive: IBM hired advisers to deal with restless investors - sources ,NEW YORK/BOSTON Some top shareholders of IBM  disappointed by 11 straight quarters of falling revenues  are seeking help from activist investors to shake up the company  but have been turned down by both Bill Ackman's Pershing Square and Jeffrey Ubben's ValueAct  according to people with knowledge of the matter.,normal
