ADMA,ADMA Biologics Inc,20150930,BRIEF-Biotest continues cooperation with ADMA Biologics for RSV Hyperimmunoglobulin RI-002 ,* Continues cooperation with ADMA Biologics  Inc. for RSV Hyperimmunoglobulin RI-002,topStory
VOD,Vodafone Group Plc,20150930,BRIEF-Vodafone says will cut 1 059 jobs in Spain following ONO purchase ,* Says will cut 1 059 jobs in Spain following merger of its local unit with cable operator ONO,topStory
WDC,Western Digital Corporation,20150930,China's Tsinghua to buy Western Digital stake in U.S. tech push ,China's state-backed Tsinghua Holdings Co Ltd [TSHUAA.UL] plans to buy a 15 percent stake in U.S. data storage company Western Digital Corp  a deal that could draw regulatory scrutiny amid increased national security concerns.,topStory
WDC,Western Digital Corporation,20150930,UPDATE 4-China's Tsinghua to buy Western Digital stake in U.S. tech push ,* Western Digital shares rise 16 pct   (Adding Breakingviews link  comment on potential scrutiny),normal
WDC,Western Digital Corporation,20150930,China's Unisplendour to invest $3.78 bln in Western Digital ,Sept 30 U.S. data storage company Western Digital Corp said it would get a $3.78 billion equity investment from Chinese information technology company Unisplendour Corp Ltd.,normal
WPPGY,WPP plc,20150930,BRIEF-WPP announces close period buy-back programme ,* Entered into an irrevocable and non-discretionary arrangement with its broker  BofA Merrill Lynch  to repurchase ordinary shares on its behalf between 1 Oct and 23 Oct,topStory
WMGI,Wright Medical Group NV,20150930,Wright Medical Group  Tornier win U.S. approval to merge ,WASHINGTON Wright Medical Group and Tornier NV have won U.S. antitrust approval for their merger on condition that they sell certain assets related to replacement ankle and toe joints  the Federal Trade Commission said on Wednesday.,topStory
WMGI,Wright Medical Group NV,20150930,UPDATE 1-Wright Medical Group  Tornier win U.S. approval to merge ,WASHINGTON  Sept 30 Wright Medical Group  and Tornier NV have won U.S. antitrust approval for their merger on condition that they sell certain assets related to replacement ankle and toe joints  the Federal Trade Commission said on Wednesday.,normal
WMGI,Wright Medical Group NV,20150930,Wright Medical Group  Tornier win U.S. approval to merge ,WASHINGTON  Sept 30 Wright Medical Group  and Tornier NV have won U.S. antitrust approval for their $3.3 billion merger on condition that they sell assets  the Federal Trade Commission said on Wednesday.,normal
AAP,Advance Auto Parts Inc,20150930,Starboard takes stake in Advance Auto  urges changes ,Activist investor Starboard Value LP disclosed a 3.7 percent stake in automotive parts retailer Advance Auto Parts Inc on Wednesday and urged the company consider steps including a "substantial" dividend or buyback.,topStory
AAP,Advance Auto Parts Inc,20150930,UPDATE 2-Starboard takes stake in Advance Auto  urges changes ,Sept 30 Activist investor Starboard Value LP disclosed a 3.7 percent stake in automotive parts retailer Advance Auto Parts Inc on Wednesday and urged the company consider steps including a "substantial" dividend or buyback.,normal
AAP,Advance Auto Parts Inc,20150930,Starboard takes 3.7 pct stake in Advance Auto Parts ,Sept 30 Activist investor Starboard Value LP said it has bought a 3.7 percent stake in automotive parts retailer Advance Auto Parts Inc.,normal
AAP,Advance Auto Parts Inc,20150930,Activist investor Starboard builds 3.7 pct stake in Advance Auto-WSJ ,Sept 30 Activist investor Starboard Value LP has built a 3.7 percent stake in automotive parts maker Advance Auto Parts Inc  the Wall Street Journal reported.,normal
AA,Alcoa Corporation,20150930,RPT-COLUMN-Alcoa and the painful business of making aluminium: Andy Home ,LONDON  Sept 29 Alcoa is synonymous with aluminium.,topStory
MO,Altria Group,20150930,AB InBev faces delicate balance in structuring SABMiller bid ,BRUSSELS/LONDON  Sept 30 A $70 billion debt package being arranged to fund Anheuser-Busch InBev's  takeover of SABMiller still leaves the world's largest brewer with a tricky balancing act in satisfying a range of shareholder camps with different needs.,normal
BETR,Amplify Snack Brands inc,20150930,News Corp sells digital education brand Amplify ,News Corp said it sold its digital education brand  Amplify  to a management team supported by a group of private investors following slowing growth in the digital curriculum market.,topStory
BETR,Amplify Snack Brands inc,20150930,News Corp sells digital education brand Amplify ,Sept 30 News Corp said it sold its digital education brand  Amplify  to a management team supported by a group of private investors following slowing growth in the digital curriculum market.,normal
BUD,Anheuser-Busch Inbev SA,20150930,AB InBev faces delicate balance in structuring SABMiller bid ,BRUSSELS/LONDON A $70 billion debt package being arranged to fund Anheuser-Busch InBev's  takeover of SABMiller  still leaves the world's largest brewer with a tricky balancing act in satisfying a range of shareholder camps with different needs.,topStory
BUD,Anheuser-Busch Inbev SA,20150930,AB InBev faces delicate balance in structuring SABMiller bid ,BRUSSELS/LONDON  Sept 30 A $70 billion debt package being arranged to fund Anheuser-Busch InBev's  takeover of SABMiller still leaves the world's largest brewer with a tricky balancing act in satisfying a range of shareholder camps with different needs.,normal
ARW,Arrow Electronics Inc,20150930,BRIEF-Napatech: Arrow Electronics new global distribution partner ,* Says Arrow Electronics will market and distribute a range of Napatech products through their commercial web portal,topStory
BAX,Baxter International Inc,20150930,UPDATE 1-Drugmaker Baxter names Third Point's partner to board ,Sept 30 Drugmaker Baxter International Inc  said it agreed to name Third Point LLC's Munib Islam to its board nearly two months after the hedge fund disclosed a stake in the company.,topStory
BAX,Baxter International Inc,20150930,Drugmaker Baxter names Third Point's partner to board ,Sept 30 Drugmaker Baxter International Inc  said it agreed to name Third Point LLC's Munib Islam to its board and would add another  "mutually agreed upon" independent director in the near-term.,normal
BBL,BHP Billiton plc,20150930,Glencore's Glasenberg  once the hunter  now the hunted: Russell ,LAUNCESTON  Australia - It must be tempting for Rio Tinto Chief Executive Sam Walsh to contemplate whether he should buy Glencore  almost a year after fending off an unwelcome approach from his now beleaguered rival.,normal
BLK,BlackRock Inc,20150930,DuPont CEO Kullman: "Crucial" to engage with all stakeholders ,BOSTON  Sept 30 DuPont Chief Executive Ellen Kullman said it is critical to keep engaging with all stakeholders in the company  signaling an open door policy less than five months after fending off one of the year's toughest shareholder challenges.,normal
BA,Boeing Company (The),20150930,U.S. export bank's loss jeopardizes Boeing orders  airline says ,WASHINGTON South African airline Comair Ltd  has told Boeing Co  that the loss of U.S. Export-Import Bank financing could jeopardize a $1.1 billion order it had placed for Boeing jetliners  leading the carrier to turn to Europe's Airbus .,topStory
BA,Boeing Company (The),20150930,UPDATE 1-Pentagon warns against further consolidation among big arms makers ,WASHINGTON  Sept 30 Pentagon officials warned on Wednesday against further consolidation in the U.S. weapons industry because fewer defense contractors could lead to higher costs  decreased innovation and less competition.,normal
BA,Boeing Company (The),20150930,UPDATE 1-U.S. export bank's loss jeopardizes Boeing orders  airline says ,WASHINGTON  Sept 30 South African airline Comair Ltd has told Boeing Co that the loss of U.S. Export-Import Bank financing could jeopardize a $1.1 billion order it had placed for Boeing jetliners  leading the carrier to turn to Europe's Airbus.,normal
BA,Boeing Company (The),20150930,Comair says loss of EXIM financing jeopardizes $1 bln in Boeing orders ,WASHINGTON  Sept 30 South African airline Comair Ltd told Boeing Co in a letter this week that the loss of U.S. Export-Import Bank financing could jeopardize $1.1 billion in its orders for Boeing 737-800 and 737 MAX 8 aircraft.,normal
BA,Boeing Company (The),20150930,Lockheed-Boeing launch venture wins $882 million U.S. contract ,WASHINGTON United Launch Alliance  a joint venture of Lockheed Martin Corp  and Boeing Co   has won an $882 million contract to continue launching satellites for the U.S. Air Force with its Delta IV and Atlas V rockets  the Pentagon said Tuesday.,normal
BA,Boeing Company (The),20150930,UPDATE 1-Lockheed-Boeing launch venture wins $882 mln U.S. contract ,WASHINGTON  Sept 29 United Launch Alliance  a joint venture of Lockheed Martin Corp and Boeing Co   has won an $882 million contract to continue launching satellites for the U.S. Air Force with its Delta IV and Atlas V rockets  the Pentagon said Tuesday.,normal
CVE,Cenovus Energy Inc,20150930,Canada's Cenovus opening crude marketing desk in Houston ,CALGARY  Alberta  Sept 30 Oil sands producer Cenovus Energy is setting up its first marketing desk outside Canada in Houston  Texas  to sell more of its heavy crude to refineries in the Gulf Coast region  the company said on Wednesday.,topStory
CHK,Chesapeake Energy Corporation,20150930,Chesapeake cuts 15 percent of workforce on oil slump ,HOUSTON Chesapeake Energy Corp said on Tuesday it has cut about 15 percent of its workforce  or 740 jobs  as depressed oil and gas prices force deeper cost cutting at the U.S. No. 2 natural gas producer.,topStory
CEA,China Eastern Airlines Corporation Ltd,20150930,China Eastern to sell off 5 pct stake in loss-making Joy Air ,BEIJING  Sept 30 China Eastern Airlines  is seeking buyers for its  remaining 5 percent stake in loss-making Joy Air  a small domestic airline that has been blighted by safety concerns over its propeller-powered planes.,topStory
C,Citigroup Inc,20150930,Citigroup  Ashmore approved to buy Saudi stocks directly: sources ,RIYADH U.S. bank Citigroup Inc and emerging markets-focused investment manager Ashmore Group have won permission from the Saudi Arabian regulator to invest directly in the local stock market  industry sources said on Wednesday.,topStory
C,Citigroup Inc,20150930,Citigroup  Ashmore approved to buy Saudi stocks directly -sources ,RIYADH  Sept 30 U.S. bank Citigroup Inc  and emerging markets-focused investment manager Ashmore Group have won permission from the Saudi Arabian regulator to invest directly in the local stock market  industry sources said on Wednesday.,normal
COP,ConocoPhillips,20150930,RPT-U.S. mutual funds that bet bigger on energy sector get burned ,BOSTON  Sept 30 One-in-four U.S. large-cap mutual funds have increased their stakes in energy companies this year and many have suffered heavier losses than their peers as a result of ill-timed bets.,normal
COP,ConocoPhillips,20150930,UPDATE 1-Australia's Origin seeks to raise $1.8 bln to ease oil price pain ,* Australia Pacific LNG still seen profitable   (Adds CEO  analyst comments),normal
COP,ConocoPhillips,20150930,U.S. mutual funds that bet bigger on energy sector get burned ,BOSTON  Sept 30 One-in-four U.S. large-cap mutual funds have increased their stakes in energy companies this year and many have suffered heavier losses than their peers as a result of ill-timed bets.,normal
DB,Deutsche Bank AG,20150930,Deutsche penalized for swaps reporting violations ,NEW YORK In the first action of its kind  Deutsche Bank was ordered to pay a $2.5 million penalty for failing to properly report its swaps transactions  the U.S. Commodity Futures Trading Commission said on Wednesday.,topStory
DB,Deutsche Bank AG,20150930,Deutsche penalized for swaps reporting violations ,NEW YORK  Sept 30 In the first action of its kind  Deutsche Bank was ordered to pay a $2.5 million penalty for failing to properly report its swaps transactions  the U.S. Commodity Futures Trading Commission said on Wednesday.,normal
EC,Ecopetrol SA,20150930,Ecopetrol  Canada's Parex agree to boost reserves at Colombia field ,BOGOTA  Sept 30 Colombia's state-owned oil company Ecopetrol said on Wednesday it signed an agreement with Canada's Parex Resources to boost reserves and production at a field in the country's central Santander province  a project that could require up to $700 million.,topStory
LLY,Eli Lilly and Company,20150930,BRIEF-Adocia and Lilly initiate a new phase 1b study of BioChaperone Lispro ,* Adocia and Eli Lilly and Company initiate a new phase 1b study of repeat administration of ultra-rapid BioChaperone Lispro in patients with type 2 diabetes,topStory
E,ENI SpA,20150930,UPDATE 2-Mexico gets stronger demand in second oil auction  Eni among winners ,MEXICO CITY  Sept 30 Mexico awarded three out of five offshore production-sharing contracts on Wednesday in the second phase of its historic oil sector opening  comfortably beating the disappointing results of the first phase and giving a boost to the peso.,topStory
XOM,Exxon Mobil Corporation,20150930,PBF Energy to buy Exxon Mobil's Torrance refinery ,Sept 30 PBF Energy Inc said it would buy Exxon Mobil Corp's refinery in Torrance  California and restore it to full working order before the deal closes in the second quarter of 2016.,topStory
FCAU,Fiat Chrysler Automobiles NV,20150930,UPDATE 1-Ford given 5-day strike notice at key F-150 plant by U.S. union ,DETROIT  Sept 29 The United Auto Workers union on Tuesday threatened a strike in five days at a key plant making Ford Motor Co's most important model  the F-150 pickup truck  due to disagreements on a new "local" labor contract  the UAW's Ford chief said.,topStory
FL,Foot Locker Inc,20150930,Foot Locker must reform pension plan after misleading workers - judge ,Foot Locker Inc intentionally misled employees about major changes it made to its pension plan nearly two decades ago in order to pad its bottom line as it faced insolvency  a U.S. judge has ruled.,topStory
F,Ford Motor Company,20150930,Ford given five-day strike notice at key F-150 plant by U.S. union ,DETROIT The United Auto Workers union on Tuesday threatened a strike in five days at a key plant making Ford Motor Co's  most important model  the F-150 pickup truck  due to disagreements on a new "local" labor contract  the UAW's Ford chief said.,topStory
F,Ford Motor Company,20150930,UPDATE 1-Ford given 5-day strike notice at key F-150 plant by U.S. union ,DETROIT  Sept 29 The United Auto Workers union on Tuesday threatened a strike in five days at a key plant making Ford Motor Co's most important model  the F-150 pickup truck  due to disagreements on a new "local" labor contract  the UAW's Ford chief said.,normal
FCX,Freeport-McMoran Inc,20150930,UPDATE 1-Carl Icahn says would 'keep cash' given market risks - CNBC ,NEW YORK  Sept 30 Billionaire activist investor Carl Icahn said on Wednesday he would recommend investors hold cash given market risks and that he was "seriously considering" buying "a lot more" shares of Apple Inc.,normal
GM,General Motors Company,20150930,GM and Navistar to develop and make commercial trucks ,U.S. automaker General Motors Co said on Wednesday it will jointly develop and assemble medium-duty commercial vehicles with truck and engine maker Navistar International Corp.,topStory
GM,General Motors Company,20150930,UPDATE 1-GM and Navistar to develop and make commercial trucks ,Sept 30 U.S. automaker General Motors Co  said on Wednesday it will jointly develop and assemble medium-duty commercial vehicles with truck and engine maker Navistar International Corp.,normal
GM,General Motors Company,20150930,GM and Navistar join to develop and make commercial trucks ,Sept 30 General Motors Co said it will jointly develop and assemble medium-duty commercial vehicles with truck and engine maker Navistar International Corp.,normal
GM,General Motors Company,20150930,China tax cut on small cars seen lifting sales  VW to benefit ,BEIJING/SHANGHAI China has halved sales tax on small cars to revive growth in the world’s biggest automobile market  a move likely to provide a limited boost to carmakers including Volkswagen AG   the company embroiled in a global diesel emissions scandal.,normal
GM,General Motors Company,20150930,UPDATE 2-China tax cut on small cars seen lifting sales  VW to benefit ,BEIJING/SHANGHAI  Sept 30 China has halved sales tax on small cars to revive growth in the world's biggest automobile market  a move likely to provide a limited boost to carmakers including Volkswagen AG  the company embroiled in a global diesel emissions scandal.,normal
GNW,Genworth Financial Inc,20150930,Genworth sees after-tax GAAP loss of $275-$325 million ,Genworth Financial Inc  said it expects to record an after-tax GAAP loss of $275 to $325 million in the third quarter ending Wednesday as it agreed to sell certain blocks of term life insurance to Protective Life Insurance Co.,topStory
GNW,Genworth Financial Inc,20150930,Genworth sees after-tax GAAP loss of $275-$325 mln ,Sept 30 Genworth Financial Inc said it expects to record an after-tax GAAP loss of $275 to $325 million in the third quarter ending Wednesday as it agreed to sell certain blocks of term life insurance to Protective Life Insurance Co.,normal
