ALKS,Alkermes plc,20150224,CORRECTED-BRIEF-Alkermes says will not pursue further development of ALKS 7106 ,(Corrects headline to say company will not pursue further development of its drug. The previous headline incorrectly stated that the drug reached main goal) Feb 24 Alkermes Plc :  * Says topline results from a phase 1 clinical study of alks 7106  * Data from the study showed that alks 7106 did not meet the company's pre-specified criteria for advancing into phase 2 clinical trials  * Says will not pursue further development of alks 7106  * Will continue its efforts in developing comp,topStory
GOOGL,Alphabet Inc,20150224,Google's Schmidt to meet EU antitrust chief next week: sources ,BRUSSELS Google executive chairman Eric Schmidt will meet Europe's antitrust chief next week  two sources with knowledge of the matter said on Tuesday  a move likely to help regulators decide the next step in a four year-old investigation into the Internet company.,normal
GOOGL,Alphabet Inc,20150224,Google's Schmidt to meet EU antitrust chief next week - sources ,BRUSSELS Google executive chairman Eric Schmidt will meet Europe's antitrust chief next week  two sources with knowledge of the matter said on Tuesday  a move likely to help regulators decide the next step in a four year-old investigation into the Internet company.,normal
GOOGL,Alphabet Inc,20150224,Google's Schmidt to meet EU antitrust chief next week - sources ,BRUSSELS  Feb 24 Google executive chairman Eric Schmidt will meet Europe's antitrust chief next week  two sources with knowledge of the matter said on Tuesday  a move likely to help regulators decide the next step in a four year-old investigation into the Internet company.,normal
GOOGL,Alphabet Inc,20150224,Silicon Valley gender discrimination case heads to trial ,SAN FRANCISCO  Feb 24 Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  will defend itself in court on Tuesday in a closely watched gender discrimination case that could lay open the inner workings of venture capital.,normal
AMZN,Amazoncom Inc,20150224,Kleiner firm was not level playing field for women  jury told ,SAN FRANCISCO Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  fired a woman junior partner after she complained of gender discrimination  her lawyer said at trial on Tuesday. | Video ,topStory
AMZN,Amazoncom Inc,20150224,Kleiner firm was not level playing field for women  jury told ,SAN FRANCISCO Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  fired a woman junior partner after she complained of gender discrimination  her lawyer said at trial on Tuesday.,normal
AMZN,Amazoncom Inc,20150224,UPDATE 2-Kleiner firm was not level playing field for women  jury told ,SAN FRANCISCO  Feb 24 Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  fired a woman junior partner after she complained of gender discrimination  her lawyer said at trial on Tuesday.,normal
AMZN,Amazoncom Inc,20150224,Silicon Valley gender discrimination case heads to trial ,SAN FRANCISCO  Feb 24 Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  will defend itself in court on Tuesday in a closely watched gender discrimination case that could lay open the inner workings of venture capital.,normal
AAPL,Apple Inc,20150224,Visa Europe plans new security that could pave way for Apple Pay ,FRANKFURT Visa Europe has announced a new  more secure way for consumers to pay retailers via smartphones  a move that could set the stage for Apple's  Apple Pay and rival mobile payment services to be introduced into Europe in the coming months.,topStory
AAPL,Apple Inc,20150224,UPDATE 2-Visa Europe plans new security that could pave way for Apple Pay ,* Plans money transfer among Visa users via social networks   (adds details on social media money transfer service; Apple Pay),normal
AAPL,Apple Inc,20150224,Visa Europe plans credit card-cloaking that could pave way for Apple Pay ,FRANKFURT  Feb 24 Visa Europe said on Tuesday it would offer a secure way for consumers to pay retailers with their smartphones while concealing credit card details  a move that could set the stage for Apple's Apple Pay and rival payment services to be introduced into Europe in coming months.,normal
AAPL,Apple Inc,20150224,India Morning Call-Global Markets ,NEW YORK - The Nasdaq ended higher on Monday for a ninth straight day following gains in Apple.O  while the Dow and S&P 500 eased off recent record highs as lower oil prices dragged down energy shares.,normal
AAPL,Apple Inc,20150224,Taiwan stocks rise after long Lunar New Year holiday ,TAIPEI  Feb 24 Taiwan stocks rose 1 percent on Tuesday  the first day of trading after a long Lunar New Year holiday  led by tech and Apple Inc suppliers.     The main TAIEX index rose 96.61 points to 9626.12 as of 0219 GMT  after closing up 0.35 percent in the previous session.     Markets had been closed since Feb. 13.     The electronics subindex notched a 1.21 percent gain  with semiconductors and electrical components  both showing strength  rising 1.56 and 1.39 percent  respect,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150224,UPDATE 3-Barclays chops Russia from bond index  crimping its market access ,* No comment from JP Morgan on whether it will follow suit   (Adds investor comment  more background),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150224,Russian govt bonds cut from Barclays' indices after junk downgrade ,LONDON  Feb 24 British bank Barclays will remove foreign currency debt issued by the Russian government from its global bond indices after Moody's became the second ratings agency to downgrade it to junk.,normal
BIOL,Biolase Inc,20150224,Boston Scientific near deal to buy Endo's device unit: sources ,NEW YORK Boston Scientific Corp  is close to buying Endo International PLC's  AMS medical device unit  a deal that could value the business at around $2 billion  according to people familiar with the matter.,topStory
CMCSA,Comcast Corporation,20150224,Comcast expects to close to Time Warner Cable deal in early 2015 ,Comcast Corp said on Tuesday it was “optimistic” that it would close its $45 billion deal to buy Time Warner Cable Inc in early 2015. | Video ,topStory
CMCSA,Comcast Corporation,20150224,Comcast revenue rises as it adds video  internet customers ,Comcast Corp  the largest U.S. cable operator  posted fourth-quarter revenue that marginally beat estimates as the company added new video and high-speed internet customers.,normal
CMCSA,Comcast Corporation,20150224,Comcast expects to close to Time Warner Cable deal in early 2015 ,Feb 24 Comcast Corp said on Tuesday it was "optimistic" that it would close its $45 billion deal to buy Time Warner Cable Inc in early 2015.,normal
CMCSA,Comcast Corporation,20150224,UPDATE 1-Comcast revenue rises as it adds video  internet customers ,Feb 24 Comcast Corp  the largest U.S. cable operator  posted fourth-quarter revenue that marginally beat estimates as the company added new video and high-speed internet customers.,normal
CMCSA,Comcast Corporation,20150224,Comcast revenue rises as it adds video  internet customers ,Feb 24 Comcast Corp  the largest U.S. cable operator  posted higher fourth-quarter revenue as it added new video and high-speed internet customers.,normal
CBAY,CymaBay Therapeutics Inc,20150224,CymaBay drug not better than current care in reducing uric acid ,CymaBay Therapeutics Inc said its experimental gout drug did not reduce uric acid levels better than the current standard of care  reducing chances of developing the company's lead drug as a standalone therapy.,topStory
CBAY,CymaBay Therapeutics Inc,20150224,UPDATE 2-CymaBay drug not better than current care in reducing uric acid ,* Shares fall as much as 25 pct   (Adds details  CEO comments  shares),normal
CBAY,CymaBay Therapeutics Inc,20150224,CymaBay's gout drug meets main goal in mid-stage study ,Feb 24 CymaBay Therapeutics Inc said its experimental lead drug met the main goal of reducing episodes of gout in a mid-stage study.,normal
EXPO,Exponent Inc,20150224,BRIEF-UK private equity firm Exponent says to buy Big Bus Tours ,* Announces that it has reached an agreement to acquire Big Bus Tours  the UK-based global sightseeing bus tour operator,topStory
FB,Facebook Inc,20150224,Facebook counts 2 million active advertisers  mostly small businesses ,Facebook Inc said on Tuesday that its active advertisers rose to 2 million  a 33 percent increase from the 1.5 million it had in July 2014.,topStory
FB,Facebook Inc,20150224,Facebook counts 2 mln active advertisers  mostly small businesses ,Feb 24 Facebook Inc said on Tuesday that its active advertisers rose to 2 million  a 33 percent increase from the 1.5 million it had in July 2014.,normal
FSLR,First Solar Inc,20150224,First Solar sees lower results as it pursues spin off ,U.S. solar company First Solar Inc  on Tuesday reported sharply higher quarterly earnings in part due to the sale of a large California solar power plant to Southern Co .,topStory
FSLR,First Solar Inc,20150224,UPDATE 1-First Solar sees lower results as it pursues spin off ,Feb 24 U.S. solar company First Solar Inc  on Tuesday reported sharply higher quarterly earnings in part due to the sale of a large California solar power plant to Southern Co.,normal
FSLR,First Solar Inc,20150224,First Solar fourth-quarter profit jumps on power plant sale ,Feb 24 U.S. solar company First Solar Inc  on Tuesday reported sharply higher quarterly earnings in part due to the sale of a large California solar power plant to Southern Co.,normal
FSLR,First Solar Inc,20150224,UPDATE 2-SunPower  First Solar JV talks boosts solar sector ,* Shares of other solar companies also up   (Adds details from conference call  background  analyst quote),normal
INTC,Intel Corporation,20150224,Former McAfee president leaves Intel to run ForeScout ,Mike DeCesare  a senior executive with Intel Corp's security group  has left the company and taken a job running privately held cybersecurity firm ForeScout.,topStory
INTC,Intel Corporation,20150224,Former McAfee president leaves Intel to run ForeScout ,Feb 24 Mike DeCesare  a senior executive with Intel Corp's security group  has left the company and taken a job running privately held cybersecurity firm ForeScout.,normal
LBTYA,Liberty Global plc,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
LBTYA,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LBTYA,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS  Feb 24 Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LBTYB,Liberty Global plc,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
LBTYB,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LBTYB,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS  Feb 24 Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LBTYK,Liberty Global plc,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
LBTYK,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LBTYK,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS  Feb 24 Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LILA,Liberty Global plc,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
LILA,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LILA,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS  Feb 24 Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LILAK,Liberty Global plc,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
LILAK,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LILAK,Liberty Global plc,20150224,EU regulators clear Liberty Global's Belgian TV deal with conditions ,BRUSSELS  Feb 24 Liberty Global  secured EU regulatory approval on Tuesday to acquire a controlling stake in Belgian media group De Vijver after agreeing to license the Belgian broadcaster's TV channels on reasonable and non-discriminatory terms to rivals.,normal
LPLA,LPL Financial Holdings Inc,20150224,ON THE MOVE-Raymond James hires two advisers from LPL Financial ,Feb 24 Raymond James & Associates  Raymond James Financial Inc's broker-dealer  hired John Sedberry and Zachary Jones as advisers in its San Diego office.,topStory
MKTX,MarketAxess Holdings Inc,20150224,MOVES-MarketAxess names David Krein head of research ,Feb 24 MarketAxess Holdings Inc  an electronic bond-trading platform operator  appointed David Krein as head of its research division.,topStory
MDLZ,Mondelez International Inc,20150224,Italy's Lavazza has exclusive rights to consider Carte Noire buy ,MILAN Italy's Lavazza has exclusive rights to consider buying the European Carte Noire business of U.S.–based Mondelez International   the two companies said on Tuesday.,topStory
MDLZ,Mondelez International Inc,20150224,CORRECTED-UPDATE 1-Mondelez  DE Master Blenders propose Carte Noire sale ,BRUSSELS/MILAN  Feb 23 Mondelez International  and D.E. Master Blenders 1753 proposed on Monday selling the Carte Noire coffee brand instead of two smaller marques to soothe European competition concerns about their merger.,normal
ODP,Office Depot Inc,20150224,Office Depot sales to suffer from weak demand  strong dollar ,Office Depot Inc  said it expected sales to fall this year  mainly due to weak demand for office supplies and a stronger dollar.,topStory
ODP,Office Depot Inc,20150224,UPDATE 2-Office Depot sales to suffer from weak demand  strong dollar ,* North America retail sales fall 7 pct   (Adds legal expenses estimate  updates shares),normal
ODP,Office Depot Inc,20150224,Office Depot's quarterly sales rise 10 pct ,Feb 24 Office supply retailer Office Depot Inc's  quarterly sales rose nearly 10 percent  helped by the acquisition of OfficeMax.,normal
SGMS,Scientific Games Corp,20150224,BRIEF-Net Holding starts negotiations with Scientific Games ,* Starts negotiations with Scientific Games to sell minority stake in Net Piyango ve Sans Oyunlari Ticaret AS  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),topStory
SHPG,Shire plc,20150224,Shire buys Meritage Pharma for at least $70 million ,LONDON Dublin-based drugmaker Shire  said on Tuesday it had bought U.S. firm Meritage Pharma for at least $70 million  boosting its gastrointestinal drugs business.,topStory
SHPG,Shire plc,20150224,Shire buys Meritage Pharma for at least $70 mln ,LONDON  Feb 24 Dublin-based drugmaker Shire  said on Tuesday it had bought U.S. firm Meritage Pharma for at least $70 million  boosting its gastrointestinal drugs business.,normal
SPWR,SunPower Corporation,20150224,SunPower  First Solar JV talks boosts solar sector ,Shares of solar companies got a boost on Tuesday  a day after SunPower Corp  and First Solar Inc  said they were in talks to jointly spin off some assets  a move expected to generate stable cash flows for the long-standing rivals.,topStory
SPWR,SunPower Corporation,20150224,UPDATE 2-SunPower  First Solar JV talks boosts solar sector ,* Shares of other solar companies also up   (Adds details from conference call  background  analyst quote),normal
SPWR,SunPower Corporation,20150224,SunPower quarterly profit beats estimates ,Feb 24 SunPower Corp  the second-largest solar panel maker in the United States  reported a better-than-expected quarterly profit  helped by strong demand for its high-margin power plant business.,normal
CG,The Carlyle Group LP,20150224,Exclusive: Cap Gemini  Carlyle held talks to buy Computer Sciences - sources ,Technology consultant Computer Sciences Corp  drew buyout interest from French consulting company Cap Gemini SA  and private equity firm Carlyle Group LP   according to people familiar with the matter.,topStory
TCGP,The Carlyle Group LP,20150224,Exclusive: Cap Gemini  Carlyle held talks to buy Computer Sciences - sources ,Technology consultant Computer Sciences Corp  drew buyout interest from French consulting company Cap Gemini SA  and private equity firm Carlyle Group LP   according to people familiar with the matter.,topStory
GT,The Goodyear Tire & Rubber Company,20150224,Goodyear settles with SEC over bribery charges ,Goodyear Tire & Rubber Co agreed to pay $16.2 million to settle civil charges that two subsidiaries paid bribes to win more tire sales in Kenya and Angola  the U.S. Securities and Exchange Commission said on Tuesday.,topStory
GT,The Goodyear Tire & Rubber Company,20150224,Goodyear settles with SEC over bribery charges ,WASHINGTON Goodyear Tire & Rubber Co agreed to pay $16.2 million to settle civil charges that two subsidiaries paid bribes to win more tire sales in Kenya and Angola  the U.S. Securities and Exchange Commission said on Tuesday.,normal
GT,The Goodyear Tire & Rubber Company,20150224,UPDATE 1-Goodyear settles with U.S. SEC over bribery charges ,WASHINGTON  Feb 24 Goodyear Tire & Rubber Co  agreed to pay $16.2 million to settle civil charges that two subsidiaries paid bribes to win more tire sales in Kenya and Angola  the U.S. Securities and Exchange Commission said on Tuesday.,normal
GT,The Goodyear Tire & Rubber Company,20150224,Goodyear settles with U.S. SEC over bribery charges ,WASHINGTON  Feb 24 Goodyear Tire & Rubber Co.  will pay more than $16 million to settle civil charges alleging some of the company's subsidiaries paid bribes to win business in Kenya and Angola  U.S. regulators said Tuesday.,normal
VOD,Vodafone Group Plc,20150224,UK's FTSE steady as Billiton offsets fall in Vodafone ,LONDON  Feb 24 Britain's top equity index was steady in sight of record highs on Tuesday  as a rise in the shares of miner BHP Billiton offset a fall in mobile operator Vodafone.,topStory
ANF,Abercrombie & Fitch Company,20150224,Religious groups back Muslim woman in U.S. high court scarf case ,WASHINGTON A Muslim woman denied a sales job at an Abercrombie & Fitch Co clothing store in Oklahoma because she wears a head scarf has won the support of Christians  Jews  Sikhs and fellow Muslims as the U.S. Supreme Court prepares to hear her case.,topStory
ANF,Abercrombie & Fitch Company,20150224,Religious groups back Muslim woman in U.S. high court scarf case ,WASHINGTON A Muslim woman denied a sales job at an Abercrombie & Fitch Co clothing store in Oklahoma because she wears a head scarf has won the support of Christians  Jews  Sikhs and fellow Muslims as the U.S. Supreme Court prepares to hear her case.,normal
ANF,Abercrombie & Fitch Company,20150224,Religious groups back Muslim woman in U.S. high court scarf case ,WASHINGTON  Feb 24 A Muslim woman denied a sales job at an Abercrombie & Fitch Co clothing store in Oklahoma because she wears a head scarf has won the support of Christians  Jews  Sikhs and fellow Muslims as the U.S. Supreme Court prepares to hear her case.,normal
AGU,Agrium Inc,20150224,Canada's Agrium profit falls 48 pct ,Feb 23 Canadian fertilizer and farm retail dealer Agrium Inc reported a 48 percent fall in fourth-quarter profit as expenses rose.,topStory
AEUA,Anadarko Petroleum Corporation,20150224,REFILE-BRIEF-Maurel et Prom Kifaru-1 well plugged and abandoned ,* Kifaru-1 well in Mozambique was drilled to a depth of 3 100 meters but failed to find an economic reservoir and as result the well has been plugged and abandoned,topStory
APC,Anadarko Petroleum Corporation,20150224,REFILE-BRIEF-Maurel et Prom Kifaru-1 well plugged and abandoned ,* Kifaru-1 well in Mozambique was drilled to a depth of 3 100 meters but failed to find an economic reservoir and as result the well has been plugged and abandoned,topStory
ANTM,Anthem Inc,20150224,Anthem says at least 8.8 million non-customers could be victims in data hack ,Health insurer Anthem Inc  which earlier this month reported that it was hit by a massive cyberbreach  said on Tuesday that 8.8 million to 18.8 million people who were not its customers could be victims in the attack.,topStory
ANTM,Anthem Inc,20150224,UPDATE 1-Anthem says at least 8.8 million non-customers could be victims in data hack ,Feb 24 Health insurer Anthem Inc  which earlier this month reported that it was hit by a massive cyberbreach  said on Tuesday that 8.8 million to 18.8 million people who were not its customers could be victims in the attack.,normal
ANTX,Anthem Inc,20150224,Anthem says at least 8.8 million non-customers could be victims in data hack ,Health insurer Anthem Inc  which earlier this month reported that it was hit by a massive cyberbreach  said on Tuesday that 8.8 million to 18.8 million people who were not its customers could be victims in the attack.,topStory
ANTX,Anthem Inc,20150224,UPDATE 1-Anthem says at least 8.8 million non-customers could be victims in data hack ,Feb 24 Health insurer Anthem Inc  which earlier this month reported that it was hit by a massive cyberbreach  said on Tuesday that 8.8 million to 18.8 million people who were not its customers could be victims in the attack.,normal
ADM,Archer-Daniels-Midland Company,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
ARCO,Arcos Dorados Holdings Inc,20150224,UPDATE 1-Brazil unions sue McDonald's operator on pay  rules ,RIO DE JANEIRO  Feb 24 Brazilian unions have filed a lawsuit alleging that the largest operator of McDonald's restaurants in Latin America violates Brazil's labor laws  a case that could lead to fines of up to 30 percent of annual sales.,topStory
ARW,Arrow Electronics Inc,20150224,Fitch Rates Arrow Electronic's $700MM Senior Notes Offering 'BBB-' ,(The following statement was released by the rating agency) CHICAGO  February 24 (Fitch) Fitch Ratings has assigned a 'BBB-' rating to Arrow  Electronics' senior notes offering. Pro forma for the issuance  Fitch's ratings  affect $4 billion of debt including the undrawn $1.5 billion revolving credit  facility (RCF). The Rating Outlook is Stable. A full list of ratings follows at  the end of this release. Arrow will use $700 million of senior notes to repay $250 million of senior  notes due Nov. ,topStory
BCS,Barclays PLC,20150224,UPDATE 3-Barclays chops Russia from bond index  crimping its market access ,* No comment from JP Morgan on whether it will follow suit   (Adds investor comment  more background),topStory
BCS,Barclays PLC,20150224,Russian govt bonds cut from Barclays' indices after junk downgrade ,LONDON  Feb 24 British bank Barclays will remove foreign currency debt issued by the Russian government from its global bond indices after Moody's became the second ratings agency to downgrade it to junk.,normal
ABX,Barrick Gold Corporation,20150224,UPDATE 1-Workers end strike at Zambia's Barrick Gold copper mine ,LUSAKA  Feb 24 Workers at Barrick Gold's  Lumwana Copper Mine in Zambia called off their strike on Tuesday after the government said they would not lose their jobs  an official said.,topStory
ABX,Barrick Gold Corporation,20150224,Workers end strike at Zambia's Barrick Gold copper mine ,LUSAKA  Feb 24 Workers at Barrick Gold's  Lumwana Copper Mine in Zambia called off their strike on Tuesday after the government said they would not lose their jobs  a government official said.,normal
BHP,BHP Billiton Limited,20150224,Greek shares outpace European indexes on rescue extension hopes ,LONDON  Feb 24 Greek shares outperformed flat European indexes on Tuesday after a list of proposed reforms submitted to international partners was received favourably by the European Commission.,topStory
BBL,BHP Billiton plc,20150224,RPT-UPDATE 1-BHP chief warns of continuing downward pressure on iron ore prices ,LONDON  Feb 24 The head of the world's largest mining company BHP Billiton  said on Tuesday that the price of its main commodity  iron ore  is likely to fall in the near term under pressure from increasing global supply.,topStory
BBL,BHP Billiton plc,20150224,Britain's FTSE sets record high surpassing 1999 peak ,LONDON  Feb 24 Britain's top equity index climbed to a record high on Tuesday as a rally in mining companies helped the three-decade-old blue-chip index to surpass its previous high  set in late 1999.,normal
BBL,BHP Billiton plc,20150224,BHP Billiton profit slides on commodities slump  pledges more spending cuts ,MELBOURNE Global miner BHP Billiton  posted a 31 percent drop in half-year profit as prices for all its main products collapsed  but beat market forecasts and flagged further belt tightening to withstand the tough conditions. | Video ,normal
BBL,BHP Billiton plc,20150224,BHP chief warns of continuing downward pressure on iron ore prices ,LONDON The head of the world's largest mining company BHP Billiton   said on Tuesday that the price of its main commodity  iron ore  is likely to fall in the near term under pressure from increasing global supply.,normal
BBL,BHP Billiton plc,20150224,UPDATE 1-BHP chief warns of continuing downward pressure on iron ore prices ,LONDON  Feb 24 The head of the world's largest mining company BHP Billiton  said on Tuesday that the price of its main commodity  iron ore  is likely to fall in the near term under pressure from increasing global supply.,normal
BBL,BHP Billiton plc,20150224,Britain's FTSE steadies below record high  BHP gains ,LONDON  Feb 24 Britain's top equity index steadied in sight of record highs on Tuesday  with a rally in global miner BHP Billiton after results offsetting a sharp decline in aircraft parts supplier Meggitt.,normal
BBL,BHP Billiton plc,20150224,UK's FTSE steady as Billiton offsets fall in Vodafone ,LONDON  Feb 24 Britain's top equity index was steady in sight of record highs on Tuesday  as a rise in the shares of miner BHP Billiton offset a fall in mobile operator Vodafone.,normal
BBL,BHP Billiton plc,20150224,BHP Billiton profit slides on commodities slump  pledges more spending cuts ,MELBOURNE Global miner BHP Billiton  posted a 31 percent drop in half-year profit as prices for all its main products collapsed  but beat market forecasts and flagged further belt tightening to withstand the tough conditions.,normal
BBL,BHP Billiton plc,20150224,BHP profit beat helps European shares to fresh 7-yr high ,LONDON  Feb 24 European shares hit fresh seven-year highs on Tuesday on the back of better-than-expected results at BHP Billiton and expectations of cost savings at network operator Telefonica Deutschland from its E-Plus buy.,normal
BBL,BHP Billiton plc,20150224,BHP's iron ore outlook holds little cheer for small miners ,SYDNEY  Feb 24 Global miner BHP Billiton  on Tuesday batted away suggestions of a turnaround in iron ore prices anytime soon - a bad omen for smaller producers struggling close to the break even point.,normal
BLK,BlackRock Inc,20150224,BlackRock equity manager Keefe departs ,Timothy Keefe  who managed BlackRock Inc's $581 million Flexible Equity Income Fund has left the firm after three years.,topStory
BLK,BlackRock Inc,20150224,BlackRock equity manager Keefe departs ,Feb 24 Timothy Keefe  who managed BlackRock Inc's $581 million Flexible Equity Income Fund  has left the firm after three years.,normal
BA,Boeing Company (The),20150224,Exclusive: Airbus mulls A320 output increase to 50/month from 2017 ,PARIS European planemaker Airbus is talking to suppliers about the possibility of raising production of its A320 family of aircraft to 50 jets a month as early as 2017  narrowing a gap with rival Boeing   a senior industry source said on Tuesday.,topStory
