ACTG,Acacia Research Corporation,20150303,Law firm disqualified in fee dispute against Acacia Corp ,A California appeals court has disqualified the law firm of AlvaradoSmith from representing a client in a fee dispute with patent-holding company Acacia Research Corp because the firm had previously acted for another law firm in a similar fee case.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150303,UPDATE 3-Barclays will cut investment bank again if performance doesn't improve ,* 2014 profit including charges  costs down 21 pct at 2.3 bln stg,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150303,European shares nudged off highs by Veolia and Barclays ,LONDON  March 3 European stock markets slipped off multi-year highs on Tuesday  pegged back by falls in the shares of French environment company Veolia and British bank Barclays.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150303,Barclays  Glencore earnings knock FTSE back from Monday's record high ,* Shire up on broker comments   (Recasts  adds quote  detail),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150303,UPDATE 1-Barclays gives information to U.S. precious metals probe ,* Precious metals lawsuits pending in U.S. courts   (Adds background  Barclays results),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150303,Barclays takes extra 750 mln stg FX provision as profits rise 12 pct ,LONDON  March 3 Barclays set aside 750 million pounds more for potential foreign exchange fines and litigation as the British bank's annual profits rose a higher-than-expected 12 percent thanks to a sharp cut in costs.,normal
BOBE,Bob Evans Farms Inc,20150303,Bob Evans not currently looking at hiving off food products business ,Bob Evans Farms Inc  said it was not currently looking at selling or spinning off its food-products business and was evaluating strategic options for all or a portion of its real-estate assets.,topStory
BOBE,Bob Evans Farms Inc,20150303,UPDATE 1-Bob Evans not currently looking at hiving off food products business ,March 3 Bob Evans Farms Inc said it was not currently looking at selling or spinning off its food-products business and was evaluating strategic options for all or a portion of its real-estate assets.,normal
BOBE,Bob Evans Farms Inc,20150303,Bob Evans not looking to sell or spin off BEF Foods ,March 3 Restaurant and packaged food company Bob Evans Farms Inc said it was not currently looking at selling or spinning off its BEF Foods business and was evaluating strategic options for all or a portion of its real-estate assets.,normal
CZR,Caesars Entertainment Corporation,20150303,Caesars' operating unit files bankruptcy exit plan ,The operating unit of casino company Caesars Entertainment Corp unveiled its plan to cut $10 billion of debt and to exit Chapter 11 in a late Monday filing with a U.S. Bankruptcy Court.,topStory
CZR,Caesars Entertainment Corporation,20150303,Caesars' operating unit files bankruptcy exit plan ,The operating unit of casino company Caesars Entertainment Corp unveiled its plan to cut $10 billion of debt and to exit Chapter 11 in a late Monday filing with a U.S. Bankruptcy Court.,normal
CZR,Caesars Entertainment Corporation,20150303,UPDATE 1-Caesars' operating unit files bankruptcy exit plan ,March 3 The operating unit of casino company Caesars Entertainment Corp unveiled its plan to cut $10 billion of debt and to exit Chapter 11 in a late Monday filing with a U.S. Bankruptcy Court.,normal
CZR,Caesars Entertainment Corporation,20150303,Caesars' operating unit files bankruptcy exit plan ,March 3 The operating unit of casino company Caesars Entertainment Corp unveiled its plan to cut $10 billion of debt and to exit Chapter 11 in a late Monday filing with a U.S. Bankruptcy Court.,normal
ERIC,Ericsson,20150303,BRIEF-Ericsson wins managed services contract for Orange operations in five European countries ,* Ericsson : Ericsson selected as managed services partner for Orange operations in five european countries,topStory
FB,Facebook Inc,20150303,Facebook's Zuckerberg seeks peace with telcos on Web-for-all push ,BARCELONA Facebook Inc founder Mark Zuckerberg was on hostile turf on Monday as spoke to executives at the world's biggest annual gathering of the mobile industry  renewing attempts to win their backing to help reach billions of users with no Internet access.,topStory
FB,Facebook Inc,20150303,Facebook's Zuckerberg seeks peace with telcos on Web-for-all push ,BARCELONA  March 3 Facebook Inc founder Mark Zuckerberg was on hostile turf on Monday as spoke to executives at the world's biggest annual gathering of the mobile industry  renewing attempts to win their backing to help reach billions of users with no Internet access.,normal
INTC,Intel Corporation,20150303,Israel's TowerJazz to produce sensors for Intel's 3D cameras ,TEL AVIV  March 3 TowerJazz has won a contract from Intel Corp to produce infrared sensors for Intel's 3D cameras  the Israeli chip manufacturer said on Tuesday.,topStory
JD,JDcom Inc,20150303,JD.com tops expectations with 73 percent rise in quarterly revenue ,BEIJING China's JD.com Inc  the biggest e-commerce rival to Alibaba Group Holding Ltd  posted a 73 percent rise in revenue for the three months through December  topping estimates as it expanded sales across more consumer goods categories.,topStory
JD,JDcom Inc,20150303,UPDATE 1-JD.com tops expectations with 73 pct rise in quarterly revenue ,* More than one-third of Q4 orders fulfilled by mobile   (Adds details),normal
JD,JDcom Inc,20150303,JD.com tops expectations with 73 rise in quarterly revenue ,BEIJING  March 3 China's JD.com Inc  Alibaba Group Holding Ltd's biggest e-commerce rival  on Tuesday posted a 73 percent rise in revenue for the three months ended December  topping estimates  as it expanded sales across more consumer goods categories.,normal
KFRC,Kforce Inc,20150303,State guarantees would cover Heta haircuts - FMA co-head ,VIENNA  March 3 Guarantees from the province of Carinthia or the Austrian federal government would cover the amount of debt subject to a potential haircut at "bad bank" Heta Asset Management  Austria's Financial Market Authority said.,topStory
LBTYA,Liberty Global plc,20150303,BRIEF-Millicom picks Liberty Global's Mauricio Ramos as CEO ,* Mauricio Ramos appointed Millicom's Chief Executive Officer,topStory
LBTYB,Liberty Global plc,20150303,BRIEF-Millicom picks Liberty Global's Mauricio Ramos as CEO ,* Mauricio Ramos appointed Millicom's Chief Executive Officer,topStory
LBTYK,Liberty Global plc,20150303,BRIEF-Millicom picks Liberty Global's Mauricio Ramos as CEO ,* Mauricio Ramos appointed Millicom's Chief Executive Officer,topStory
LILA,Liberty Global plc,20150303,BRIEF-Millicom picks Liberty Global's Mauricio Ramos as CEO ,* Mauricio Ramos appointed Millicom's Chief Executive Officer,topStory
LILAK,Liberty Global plc,20150303,BRIEF-Millicom picks Liberty Global's Mauricio Ramos as CEO ,* Mauricio Ramos appointed Millicom's Chief Executive Officer,topStory
MAR,Marriott International,20150303,Marriott eyes European expansion led by Moxy budget brand ,BERLIN  March 3 Hotels group Marriott  plans to double the number of hotels it has in Europe by 2020  with growth led by its new Moxy brand aimed at travellers on a budget.,topStory
MAR,Marriott International,20150303,Sahara's Grosvenor House hotel in London put up for sale ,NEW DELHI/MUMBAI London's landmark Grosvenor House hotel has been put up for sale after its owner  part of troubled Indian conglomerate Sahara which has been trying to raise funds for its jailed boss Subrata Roy  was placed into administration by creditors.,normal
MAR,Marriott International,20150303,UPDATE 1-Sahara's Grosvenor House hotel in London put up for sale ,NEW DELHI/MUMBAI  March 3 London's landmark Grosvenor House hotel has been put up for sale after its owner  part of troubled Indian conglomerate Sahara which has been trying to raise funds for its jailed boss Subrata Roy  was placed into administration by creditors.,normal
MDLZ,Mondelez International Inc,20150303,MOVES-Mondelez's cocoa chief Amoye leaves after 5 years ,NEW YORK  March 2 Scott Amoye  who ran Mondelez International Inc's cocoa business  has left after five year years with one of the world's largest chocolate companies and the maker of Cadbury chocolates and Oreo cookies  he confirmed to Reuters on Monday.,topStory
MYL,Mylan NV,20150303,UPDATE 1-Mylan still on the prowl for deals  perhaps one by end 2015 ,March 2 U.S. generic drug maker Mylan Inc  is still on the prowl for more deals  after completing the multibillion-dollar acquisition of some of Abbott Laboratories' non-U.S. businesses just last week.,topStory
NTRS,Northern Trust Corporation,20150303,Veris Wealth hires adviser from Northern Trust ,Wealth management firm Veris Wealth Partners said it hired Jane Swan from Northern Trust Corp as senior wealth manager.,topStory
NTRS,Northern Trust Corporation,20150303,ON THE MOVE-Veris Wealth hires adviser from Northern Trust ,March 3 Wealth management firm Veris Wealth Partners said it hired Jane Swan from Northern Trust Corp  as senior wealth manager.,normal
NTRSP,Northern Trust Corporation,20150303,Veris Wealth hires adviser from Northern Trust ,Wealth management firm Veris Wealth Partners said it hired Jane Swan from Northern Trust Corp as senior wealth manager.,topStory
NTRSP,Northern Trust Corporation,20150303,ON THE MOVE-Veris Wealth hires adviser from Northern Trust ,March 3 Wealth management firm Veris Wealth Partners said it hired Jane Swan from Northern Trust Corp  as senior wealth manager.,normal
RYAAY,Ryanair Holdings plc,20150303,Ryanair raises 850 mln in second ever bond issue ,DUBLIN  March 3 Ryanair raised 850 million euros ($951.32 million) in a bond issue on Tuesday at a rate of 1.12 percent  its second issuance as it seeks to use the highest credit rating in the industry to cut its financing costs.,topStory
TIVO,TiVo Corporation,20150303,TiVo revenue  profit beat estimates as subscriptions rise ,Digital video recorder maker TiVo Inc reported better-than-expected quarterly revenue and profit  helped by higher subscriptions.,topStory
TIVO,TiVo Corporation,20150303,UPDATE 1-TiVo revenue  profit beat estimates as subscriptions rise ,March 3 Digital video recorder maker TiVo Inc  reported better-than-expected quarterly revenue and profit  helped by higher subscriptions.,normal
TIVO,TiVo Corporation,20150303,TiVo's quarterly revenue rises about 7 pct ,March 3 Digital video recorder maker TiVo Inc's  quarterly revenue rose about 7 percent  helped by higher subscriptions.,normal
TSEM,Tower Semiconductor Ltd,20150303,Israel's TowerJazz to produce sensors for Intel's 3D cameras ,TEL AVIV  March 3 TowerJazz has won a contract from Intel Corp to produce infrared sensors for Intel's 3D cameras  the Israeli chip manufacturer said on Tuesday.,topStory
ABT,Abbott Laboratories,20150303,UPDATE 1-Mylan still on the prowl for deals  perhaps one by end 2015 ,March 2 U.S. generic drug maker Mylan Inc  is still on the prowl for more deals  after completing the multibillion-dollar acquisition of some of Abbott Laboratories' non-U.S. businesses just last week.,topStory
ACN,Accenture plc,20150303,BRIEF-IFS signs Nordic cooperation agreement with Accenture ,March 3 Industrial and Financial Systems (IFS) AB,topStory
AET,Aetna Inc,20150303,Arizona Aetna affiliates sued over alleged underpaying ,An Arizona hospital operator has sued three Aetna affiliates for allegedly underpaying for emergency services given to out-of-network patients.,topStory
BABA,Alibaba Group Holding Limited,20150303,Complex logistics await Lippo's e-commerce push in archipelago Indonesia ,JAKARTA Selling goods online may only rely on a few mouse clicks  but in Indonesia  delivering purchases to dozens of islands via creaky ports and potholed roads is the logistical challenge Lippo Group faces when its department store opens in cyberspace this month.,topStory
BABA,Alibaba Group Holding Limited,20150303,Taiwan orders Alibaba withdrawal after rules violation: official ,TAIPEI Taiwan has ordered Alibaba Group Holding Ltd to withdraw from the island within six months because the online retailer had violated investment rules required for a Chinese company  an economics ministry official said on Monday. | Video ,normal
BABA,Alibaba Group Holding Limited,20150303,Alibaba's Ma says to provide requested documents to Taiwan government ,TAIPEI Alibaba Group Holding will provide Taiwan with the information required about its business  Executive Chairman Jack Ma said on Tuesday  after the government ordered the Chinese e-commerce giant to withdraw from the island within six months.,normal
BABA,Alibaba Group Holding Limited,20150303,UPDATE 1-Alibaba's Ma says to provide requested documents to Taiwan govt ,TAIPEI  March 3 Alibaba Group Holding  will provide Taiwan with the information required about its business  Executive Chairman Jack Ma said on Tuesday  after the government ordered the Chinese e-commerce giant to withdraw from the island within six months.,normal
BABA,Alibaba Group Holding Limited,20150303,UPDATE 1-JD.com tops expectations with 73 pct rise in quarterly revenue ,* More than one-third of Q4 orders fulfilled by mobile   (Adds details),normal
BABA,Alibaba Group Holding Limited,20150303,Alibaba's Ma says to provide requested documents to Taiwan govt ,TAIPEI  March 3 Alibaba Group Holding's  executive chairman said on Tuesday his company will provide documents required by the Taiwan government after the island ordered the Chinese company to withdraw from the country within six months.,normal
BABA,Alibaba Group Holding Limited,20150303,CORRECTED-UPDATE 2-Taiwan orders Alibaba withdrawal after rules violation -official ,TAIPEI  March 3 Taiwan has ordered Alibaba Group Holding Ltd to withdraw from the country within six months because the online retailer had violated investment rules required for a Chinese company  an economics ministry official said on Monday.,normal
AEUA,Anadarko Petroleum Corporation,20150303,UPDATE 2-Anadarko Petroleum cuts '15 capital expenditures by a third ,March 3 Anadarko Petroleum Corp said on Tuesday it will reduce spending by about 33 percent this year  as the exploration and production company responds to lower crude oil prices.,topStory
AEUA,Anadarko Petroleum Corporation,20150303,BRIEF-Anadarko has no plans to access capital markets this year-exec ,* Exec says company has no plans to access capital markets this year  Further company coverage:    (Reporting By Anna Driver),normal
AEUA,Anadarko Petroleum Corporation,20150303,Anadarko Petroleum cuts 2015 capex by a third ,March 3 Anadarko Petroleum Corp said it would reduce spending by about a third to $5.4 billion-$5.8 billion in 2015  in response to lower oil prices.,normal
APC,Anadarko Petroleum Corporation,20150303,UPDATE 2-Anadarko Petroleum cuts '15 capital expenditures by a third ,March 3 Anadarko Petroleum Corp said on Tuesday it will reduce spending by about 33 percent this year  as the exploration and production company responds to lower crude oil prices.,topStory
APC,Anadarko Petroleum Corporation,20150303,BRIEF-Anadarko has no plans to access capital markets this year-exec ,* Exec says company has no plans to access capital markets this year  Further company coverage:    (Reporting By Anna Driver),normal
APC,Anadarko Petroleum Corporation,20150303,Anadarko Petroleum cuts 2015 capex by a third ,March 3 Anadarko Petroleum Corp said it would reduce spending by about a third to $5.4 billion-$5.8 billion in 2015  in response to lower oil prices.,normal
AZN,Astrazeneca PLC,20150303,BRIEF-AstraZeneca completes buy of Actavis' portfolio in North America ,* Completed transaction to acquire rights to actavis' branded respiratory business in us and canada.  Source text for Eikon:  Further company coverage:,topStory
T,AT&T Inc,20150303,U.S. CEOs modestly more upbeat on economy  spending: survey ,U.S. chief executive officers are modestly more upbeat about the economy and almost half plan to increase capital spending over the next six months  a quarterly business group survey said on Tuesday.,topStory
BAC,Bank of America Corporation,20150303,MOVES-Merrill Lynch hires Lewis Steinberg from Credit Suisse - NYT ,March 3 Bank of America Corp's Merrill Lynch unit has hired Lewis Steinberg from Credit Suisse Group AG  to serve as its in-house tax expert  the New York Times reported  citing an internal memo.,topStory
BNS,Bank of Nova Scotia (The),20150303,UPDATE 3-Scotiabank profit misses expectations; shares slip ,March 3 Bank of Nova Scotia posted a lower-than-expected quarterly profit on Tuesday  hurt by an increase in credit-loss provisions and higher expenses  and its shares fell 1.4 percent.,topStory
BNS,Bank of Nova Scotia (The),20150303,Scotiabank profit constrained by 'softer' investment banking ,Bank of Nova Scotia   Canada's No. 3 lender  reported a lower-than-expected quarterly profit  hurt by higher provisions and a "softer" performance in its investment banking business.,normal
BNS,Bank of Nova Scotia (The),20150303,Scotiabank's profit rises marginally  dividend raised ,March 3 Bank of Nova Scotia  Canada's No. 3 lender  reported a marginal rise in first-quarter profit on Tuesday  led by its global banking & markets unit.,normal
BCS,Barclays PLC,20150303,European shares slip off highs as Veolia and Barclays fall ,LONDON  March 3 European stock markets slipped from multi-year highs on Tuesday  pegged back by falls in French environment company Veolia and British bank Barclays .,topStory
BCS,Barclays PLC,20150303,Barclays will cut investment bank again if performance doesn't improve ,LONDON Barclays Plc  chief Antony Jenkins has threatened more cuts to its underperforming investment bank after a 750 million pounds ($1.2 billion) charge by the British bank provided fresh evidence of the costs of past misdemeanors by its traders. | Video ,normal
BCS,Barclays PLC,20150303,UPDATE 3-Barclays will cut investment bank again if performance doesn't improve ,* 2014 profit including charges  costs down 21 pct at 2.3 bln stg,normal
BCS,Barclays PLC,20150303,European shares nudged off highs by Veolia and Barclays ,LONDON  March 3 European stock markets slipped off multi-year highs on Tuesday  pegged back by falls in the shares of French environment company Veolia and British bank Barclays.,normal
BCS,Barclays PLC,20150303,Barclays  Glencore earnings knock FTSE back from Monday's record high ,* Shire up on broker comments   (Recasts  adds quote  detail),normal
BCS,Barclays PLC,20150303,UPDATE 1-Barclays gives information to U.S. precious metals probe ,* Precious metals lawsuits pending in U.S. courts   (Adds background  Barclays results),normal
BCS,Barclays PLC,20150303,Barclays takes extra 750 mln stg FX provision as profits rise 12 pct ,LONDON  March 3 Barclays set aside 750 million pounds more for potential foreign exchange fines and litigation as the British bank's annual profits rose a higher-than-expected 12 percent thanks to a sharp cut in costs.,normal
BBX,BBX Capital Corporation,20150303,SEC seeks maximum penalties against BankAtlantic  CEO ,NEW YORK The U.S. Securities and Exchange Commission has asked a court to impose a $5.2 million penalty against BankAtlantic Bancorp  a Florida lender found liable by a jury last year for defrauding investors at the start of the U.S. financial crisis.,topStory
BBX,BBX Capital Corporation,20150303,U.S. SEC seeks maximum penalties against BankAtlantic  CEO ,NEW YORK The U.S. Securities and Exchange Commission has asked a court to impose a $5.2 million penalty against BankAtlantic Bancorp  a Florida lender found liable by a jury last year for defrauding investors at the start of the U.S. financial crisis.,normal
BBX,BBX Capital Corporation,20150303,U.S. SEC seeks maximum penalties against BankAtlantic  CEO ,NEW YORK  March 3 The U.S. Securities and Exchange Commission has asked a court to impose a $5.2 million penalty against BankAtlantic Bancorp  a Florida lender found liable by a jury last year for defrauding investors at the start of the U.S. financial crisis.,normal
BCE,BCE Inc,20150303,UPDATE 1-Telecoms firm BCE to shift pension fund longevity risk to Sun Life ,TORONTO  March 3 Telecommunications provider BCE Inc has reached a deal to transfer the longevity risk for C$5 billion ($4.01 billion) of pension plan liabilities to insurer Sun Life Financial Inc  the companies said on Tuesday.,topStory
BCE,BCE Inc,20150303,Telecoms firm BCE to shift pension fund longevity risk to Sun Life ,TORONTO  March 3 Telecommunications provider BCE Inc has reached a deal to transfer the longevity risk for C$5 billion ($4.01 billion) of pension plan liabilities to insurer Sun Life Financial Inc  the companies said on Tuesday.,normal
BDX,Becton Dickinson and Company,20150303,EU mergers and takeovers (March 3) ,BRUSSELS  March 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BDXA,Becton Dickinson and Company,20150303,EU mergers and takeovers (March 3) ,BRUSSELS  March 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BBY,Best Buy Co Inc,20150303,Best Buy announces first buyback since 2012; profit jumps ,Best Buy Co Inc   the largest U.S. consumer electronics chain  on Tuesday reported higher-than-expected quarterly earnings on a strong holiday season and said it would buy back stock for the first time since 2012. | Video ,topStory
BBY,Best Buy Co Inc,20150303,US STOCKS-Wall St falls from latest records; auto sales soft ,NEW YORK  March 3 U.S. stocks fell on Tuesday  as the Dow and S&P retreated from their latest records and the Nasdaq dipped below 5 000 after scaling the milestone level for the first time in 15 years.,normal
BBY,Best Buy Co Inc,20150303,UPDATE 2-Best Buy announces first buyback since 2012; profit jumps ,March 3 Best Buy Co Inc  the largest U.S. consumer electronics chain  on Tuesday reported higher-than-expected quarterly earnings on a strong holiday season and said it would buy back stock for the first time since 2012.,normal
BBY,Best Buy Co Inc,20150303,US STOCKS-Wall St slips from latest records; Nasdaq below 5 000 ,NEW YORK  March 3 U.S. stocks edged lower shortly after the open on Tuesday in the wake of the latest records for the Dow and S&P and the Nasdaq scaling the 5 000 mark for the first time in 15 years.,normal
BBY,Best Buy Co Inc,20150303,REFILE-US STOCKS-Wall St to dip at open after latest records  Nasdaq 5 000 ,NEW YORK  March 3 U.S. stocks were set for a modestly lower open on Tuesday  after the Dow and S&P marched to new record highs and the Nasdaq topped the 5 000 mark for the first time in 15 years.,normal
BBY,Best Buy Co Inc,20150303,Best Buy aims to save $400 million over three years ,CHICAGO Best Buy Co Inc   the largest U.S. consumer electronics chain  said on Tuesday it will launch a new cost savings program in fiscal year 2016  beginning Feb. 1.,normal
BBY,Best Buy Co Inc,20150303,Best Buy aims to save $400 mln over 3 yrs ,CHICAGO  March 3 Best Buy Co Inc  the largest U.S. consumer electronics chain  said on Tuesday it will launch a new cost savings program in fiscal year 2016  beginning Feb. 1.,normal
BBY,Best Buy Co Inc,20150303,US STOCKS-Futures dip after Dow  S&P records and Nasdaq 5 000 ,NEW YORK  March 3 U.S. stock index futures edged lower on Tuesday  after the Dow and S&P marched to new record highs and the Nasdaq topped the 5 000 mark for the first time in 15 years.,normal
BBY,Best Buy Co Inc,20150303,Best Buy same-store sales up 2 pct ,March 3 Best Buy Co Inc  the largest U.S. consumer electronics chain  reported a 2 percent rise in quarterly same-store sales  helped by higher sales of large-screen televisions and mobile phones in the holiday shopping season.,normal
BLK,BlackRock Inc,20150303,MOVES- Veris Wealth  Target Advisers  BlackRock ,March 3 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
BLK,BlackRock Inc,20150303,Investors pull record $525.8 million from BlackRock bond ETF ,NEW YORK Investors pulled $525.8 million from BlackRock Inc's iShares Core U.S. Aggregate Bond ETF on Monday  the company said on Tuesday.,normal
BLK,BlackRock Inc,20150303,Investors pull record $525.8 million from BlackRock bond ETF ,NEW YORK  March 3 Investors pulled $525.8 million from BlackRock Inc's iShares Core U.S. Aggregate Bond ETF on Monday  the company said on Tuesday.,normal
BLK,BlackRock Inc,20150303,MOVES-BlackRock's Charrington steps down as EMEA exec chairman - memo ,LONDON  March 3 BlackRock Inc's James Charrington stepped down as  executive chairman in Europe  Middle East and Africa this week after more than two decades at the world's biggest money manager  according to an internal memo seen by Reuters.,normal
BTI,British American Tobacco plc,20150303,Fitch Affirms British American Tobacco plc. at 'A-'; Outlook Stable ,(The following statement was released by the rating agency) LONDON  March 03 (Fitch) Fitch Ratings has affirmed British American Tobacco  plc.'s (BAT) Long-term Issuer Default Rating (IDR) at 'A-' with a Stable  Outlook. The Short-term IDR has been affirmed at 'F2'. In addition  the senior  unsecured long-term rating of debt issued by BAT's subsidiaries  B.A.T.  International Finance plc and B.A.T. Netherlands Finance B.V.  has been affirmed  at 'A-'. The short-term debt rating has been affirmed,topStory
