ACHN,Achillion Pharmaceuticals Inc,20150520,CORRECTED-UPDATE 1-Achillion partners with J&J to develop hep C drugs (May 19) ,May 19 Achillion Pharmaceuticals Inc  said it will collaborate with Johnson & Johnson to develop and market its hepatitis C drugs including an oral regimen that could work on all genotypes and shorten treatment time.,topStory
MSFT,Microsoft Corporation,20150520,INSIGHT-Apple  Android app makers cool to Microsoft overtures ,SEATTLE  May 20 Microsoft's plan to make its new version of Windows a mobile hit by letting it accept tweaked Apple and Android apps has met an obstacle: some of the software developers the company needs to woo just aren't interested.,normal
NTAP,NetApp Inc,20150520,NetApp results miss estimates; shares fall ,Data storage equipment maker NetApp Inc  reported fourth-quarter results below analysts' estimates  hurt by lower sales to original equipment manufacturers  sending its shares down more than 10 percent in extended trading.,topStory
NTAP,NetApp Inc,20150520,UPDATE 1-NetApp results miss estimates; shares fall ,May 20 Data storage equipment maker NetApp Inc  reported fourth-quarter results below analysts' estimates  hurt by lower sales to original equipment manufacturers  sending its shares down more than 10 percent in extended trading.,normal
NFLX,Netflix Inc,20150520,BRIEF-Telecom Italia will be open platform for Sky  Mediaset  Netflix ,May 20 Telecom Italia CEO Marco Patuano tells shareholder meeting:,topStory
NCLH,Norwegian Cruise Line Holdings Ltd,20150520,UPDATE 3-Norwegian Cruise Line ship runs aground on Bermuda reef; no injuries ,May 19 A Norwegian Cruise Line ship ran aground on a reef on Tuesday after leaving Bermuda but no one was injured and the vessel was later floated off at high tide  the company said.,topStory
PTNR,Partner Communications Company Ltd,20150520,UPDATE 1-Israel mobile group Partner Communications may launch TV service ,* Q1 net profit 25 mln shekels vs 20 mln forecast   (Recasts  adds details  CEO/CFO comments  share reaction),topStory
SAFM,Sanderson Farms Inc,20150520,Sanderson sees no alternatives to antibiotic use in chicken production ,NEW YORK Sanderson Farms Inc  the third largest U.S. poultry producer  plans to continue using antibiotics on its birds partly because there are no alternatives on the horizon for treating a deadly but common gut disease  Chief Executive Officer Joe Sanderson said on Wednesday.,topStory
SGRP,SPAR Group Inc,20150520,South Africa's Spar H1 earnings jump 22 pct  helped by M&A ,JOHANNESBURG  May 20 South Africa's second biggest grocer by value Spar Group reported higher half-year profit on Wednesday  helped by the first full contribution from a newly acquired company as consumer spending at home remain muted.,topStory
VOD,Vodafone Group Plc,20150520,Telecoms takeover talk helps lift European shares ,* Altice surges 11.6 pct on Suddenlink bid  Vodafone also gains,topStory
VOD,Vodafone Group Plc,20150520,UK's FTSE rises near record high as banks and Vodafone advance ,LONDON  May 20 Britain's top share index climbed back towards earlier record highs on Wednesday  buoyed by gains in major bank stocks and after bid speculation lifted the shares of mobile network operator Vodafone.,normal
VOD,Vodafone Group Plc,20150520,Stronger telecoms on M&A boost help European shares ,* Altice surges 11 pct on Suddenlink bid  Vodafone also gains,normal
VOD,Vodafone Group Plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
VOD,Vodafone Group Plc,20150520,European shares extend gains  telecoms get M&A boost ,* Altice surges 7.7 pct on Suddenlink bid  Vodafone also gains,normal
VOD,Vodafone Group Plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
VOD,Vodafone Group Plc,20150520,Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON Vodafone's  shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
VOD,Vodafone Group Plc,20150520,UPDATE 1-Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON  May 20 Vodafone's shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
VOD,Vodafone Group Plc,20150520,Britain's FTSE edges lower after Burberry cuts outlook ,LONDON  May 20 Britain's top share index edged lower in choppy trade on Wednesday  weighed down by a hefty drop in luxury goods maker Burberry after it gave a lower outlook for 2016  although M&A talk around Vodafone supported the market.,normal
VOD,Vodafone Group Plc,20150520,European shares extend gains  telecoms get M&A boost ,LONDON  May 20 European shares edged up slightly on Wednesday after rebounding strongly in the previous session  with the telecoms sector getting a big lift from deal-making and takeover talk.,normal
ZEAL,Zealand Pharma A/S,20150520,BRIEF-Zealand starts development of multiple-dose version of ZP4207 ,* Zealand starts clinical development of a multiple-dose version of its stable glucagon analogue  ZP4207,topStory
AET,Aetna Inc,20150520,J&J to submit at least 10 new drugs for approval by 2019 ,U.S. healthcare conglomerate Johnson & Johnson said on Wednesday it expects to submit more than 10 new medicines with annual revenue potential of at least $1 billion each to regulators by 2019  and is testing dozens of new uses for existing medicines.,topStory
AET,Aetna Inc,20150520,J&J to submit at least 10 new drugs for approval by 2019 ,U.S. healthcare conglomerate Johnson & Johnson said on Wednesday it expects to submit more than 10 new medicines with annual revenue potential of at least $1 billion each to regulators by 2019  and is testing dozens of new uses for existing medicines.,normal
AET,Aetna Inc,20150520,UPDATE 2-J&J to submit at least 10 new drugs for approval by 2019 ,May 20 U.S. healthcare conglomerate Johnson & Johnson said on Wednesday it expects to submit more than 10 new medicines with annual revenue potential of at least $1 billion each to regulators by 2019  and is testing dozens of new uses for existing medicines.,normal
AL,Air Lease Corporation,20150520,BRIEF-Wizz Air sets up leasing ties with Air Leasing Corp. ,* Wizz Air says signed lease contract with Air Lease Corp. for the first time,topStory
BABA,Alibaba Group Holding Limited,20150520,Tax scare on Yahoo's Alibaba stake spin-off seen premature ,Yahoo Inc's  planned spin-off of its stake in Alibaba Group Holding Ltd  is likely to proceed on a tax-free basis  analysts said  as Yahoo shares regained most of their losses after concerns of a possible change in U.S. tax rules spurred a slide on Tuesday.,topStory
BABA,Alibaba Group Holding Limited,20150520,Tax scare on Yahoo's Alibaba stake spin-off seen premature ,May 20 Yahoo Inc's planned spin-off of its stake in Alibaba Group Holding Ltd is likely to proceed on a tax-free basis  analysts said  as Yahoo shares regained most of their losses after concerns of a possible change in U.S. tax rules spurred a slide on Tuesday.,normal
BABA,Alibaba Group Holding Limited,20150520,Dow  S&P 500 end slightly lower after Fed minutes ,U.S. stocks ended marginally lower on Wednesday after Wall Street saw little in the minutes from last month's Federal Reserve meeting to alter expectations of when the central bank will raise interest rates.,normal
BABA,Alibaba Group Holding Limited,20150520,Yahoo shares fall on worries of possible U.S. tax change on spinoffs ,WASHINGTON Yahoo Inc  shares fell 7.6 percent on Tuesday on concerns that a possible change in U.S. tax regulations would affect Yahoo's planned spinoff of its stake in Alibaba Group Holding Ltd .,normal
BABA,Alibaba Group Holding Limited,20150520,UPDATE 2-Yahoo shares fall on worries of possible U.S. tax change on spinoffs ,WASHINGTON  May 19 Yahoo Inc shares fell 7.6 percent on Tuesday on concerns that a possible change in U.S. tax regulations would affect Yahoo's planned spinoff of its stake in Alibaba Group Holding Ltd.,normal
Y,Alleghany Corporation,20150520,Exclusive: Alleghany mulls sale of TransRe - sources ,U.S. property and casualty insurer Alleghany Corp  is considering a sale of Transatlantic Holdings Inc  also known as TransRe  in a deal that could value the reinsurance unit at around $6.5 billion  people familiar with the matter said.,topStory
AMOV,America Movil SAB de CV,20150520,KPN shares fall on potential America Movil exit ,AMSTERDAM Shares in KPN   fell in early trading Wednesday after America Movil  said it will sell up to 2.5 billion euros ($2.77 billion) worth of its own bonds exchangeable for KPN shares under certain circumstances.,topStory
AMOV,America Movil SAB de CV,20150520,America Movil issues 2.5 bln euros bonds exchangeable into KPN shares ,LONDON  May 20 - America Movil launches up to 2.5 billion euros  ($2.78 billion) senior unsecured bonds of  exchangeable into KPN shares. - Bonds will have a maturity of 5 years and are expected to pay a coupon of up to 0.50 percent per annum payable semi-annually in arrear. - The exchange premium seen between 40 percent and 45 percent above the reference price of KPN stock  which will be the volume weighted average price on the Euronext Amsterdam on 20 May 2015. - Deutsche Bank acti,normal
AMX,America Movil SAB de CV,20150520,KPN shares fall on potential America Movil exit ,AMSTERDAM Shares in KPN   fell in early trading Wednesday after America Movil  said it will sell up to 2.5 billion euros ($2.77 billion) worth of its own bonds exchangeable for KPN shares under certain circumstances.,topStory
AMX,America Movil SAB de CV,20150520,America Movil issues 2.5 bln euros bonds exchangeable into KPN shares ,LONDON  May 20 - America Movil launches up to 2.5 billion euros  ($2.78 billion) senior unsecured bonds of  exchangeable into KPN shares. - Bonds will have a maturity of 5 years and are expected to pay a coupon of up to 0.50 percent per annum payable semi-annually in arrear. - The exchange premium seen between 40 percent and 45 percent above the reference price of KPN stock  which will be the volume weighted average price on the Euronext Amsterdam on 20 May 2015. - Deutsche Bank acti,normal
AEO,American Eagle Outfitters Inc,20150520,UPDATE 2-American Eagle forecast tops estimates as teens shoppers return ,May 20 Teen apparel retailer American Eagle Outfitters Inc forecast current-quarter profit above analysts' expectations as fewer discounts drive margins and sales recover at its namesake brand after falling for the past two years.,topStory
AEO,American Eagle Outfitters Inc,20150520,Apparel retailer American Eagle's sales rise 8.3 percent ,May 20 Teen apparel retailer American Eagle Outfitters Inc reported an 8.3 percent rise in quarterly sales  helped by strong demand for its clothes and fewer discounts.,normal
T,AT&T Inc,20150520,Mexico foreign direct investment rises to $7.57 billion in first quarter ,MEXICO CITY Foreign direct investment (FDI) in Mexico rose to $7.57 billion in the first quarter of the year according to preliminary figures  boosted by U.S. telecoms giant AT&T's  purchase of Iusacell  the economy ministry said on Wednesday.,topStory
T,AT&T Inc,20150520,Mexico foreign direct investment rises to $7.57 bln in 1st-qtr ,MEXICO CITY  May 20 Foreign direct investment (FDI) in Mexico rose to $7.57 billion in the first quarter of the year according to preliminary figures  boosted by U.S. telecoms giant AT&T's purchase of Iusacell  the economy ministry said on Wednesday.,normal
AXS,Axis Capital Holdings Limited,20150520,Axis remains committed to deal with PartnerRe -memo ,May 20 AXIS Capital Holdings Ltd Chief Executive Officer Albert Benchimol told employees on Wednesday that a merger with PartnerRe Ltd was still in the best interests of both reinsurance companies  according to a memo seen by Reuters.,topStory
SAN,Banco Santander SA,20150520,BRIEF-Banco Santander sells 8.56 pct stake in NH Hotels ,* Accelerated bookbuilding on NH Hotels is on behalf of Banco Santander,topStory
BCS,Barclays PLC,20150520,WRAPUP 7-Global banks admit guilt in forex probe  fined nearly $6 bln ,NEW YORK/LONDON  May 20 Four major banks pleaded guilty on Wednesday to trying to manipulate foreign exchange rates and  with two others  were fined nearly $6 billion in another settlement in a global probe into the $5 trillion-a-day market.,topStory
BCS,Barclays PLC,20150520,Barclays agrees $115 mln ISDAfix settlement with CFTC ,LONDON  May 20 Barclays was fined $115 million by the U.S. Commodity Futures Trading Commission on Wednesday to settle an investigation into the setting of the ISDAfix benchmark  in addition to a fine for currency market manipulation.,normal
BCS,Barclays PLC,20150520,Barclays agrees $115 mln ISDAfix settlement with CFTC ,LONDON  May 20 Barclays was fined $115 million by the U.S. Commodity Futures Trading Commission on Wednesday to settle an investigation into the setting of the ISDAfix benchmark  in addition to a fine for currency market manipulation.,normal
BCS,Barclays PLC,20150520,REFILE-Barclays fined $2.4 bln for FX manipulation  to fire 8 staff ,LONDON  May 20 Barclays Plc pleaded guilty to a U.S. criminal charge and was fined $2.4 billion by U.S. and British authorities on Wednesday for manipulating foreign exchange rates.,normal
BAX,Baxter International Inc,20150520,Novo Nordisk  Baxter clash over haemophilia drug patent ,Novo Nordisk on Wednesday rejected claims by Baxter International that its drug used substances developed by the U.S. rival  following the launch this week of a U.S. investigation into possible patent infringement.,topStory
BAX,Baxter International Inc,20150520,Novo Nordisk  Baxter clash over hemophilia drug patent ,COPENHAGEN Novo Nordisk on Wednesday rejected claims by Baxter International that its drug used substances developed by the U.S. rival  following the launch this week of a U.S. investigation into possible patent infringement.,normal
BAX,Baxter International Inc,20150520,UPDATE 1-Novo Nordisk  Baxter clash over haemophilia drug patent ,COPENHAGEN  May 20 Novo Nordisk on Wednesday rejected claims by Baxter International that its drug used substances developed by the U.S. rival  following the launch this week of a U.S. investigation into possible patent infringement.,normal
