AIRT,Air T Inc,20150511,BRIEF-Tinc prices IPO at 11 euros per share and raises 110 mln euros ,* Tinc has an initial public offering at 11 euros ($12.28) per share and raises 110 million euros,topStory
BCS,Barclays PLC,20150511,MOVES-Barclays hires semiconductor banker from Bank of America-source ,May 11 Barclays Plc has hired Mark Garcia  a semiconductor specialist from Bank of America  in a move to help build out its team in one of the most active sectors of technology banking.,normal
BCS,Barclays PLC,20150511,BRIEF-JC Flowers & Co funds to sell about 6.5 pct stake in OneSavings Bank ,* Accelerated bookbuilt offering of 15 722 599 existing shares in OneSavings Bank Plc,normal
BBL,BHP Billiton plc,20150511,Fortescue founder asks Australians to fight Rio  BHP iron ore plans ,SYDNEY  May 11 Fortescue Metals Group  Chairman Andrew "Twiggy" Forrest on Monday called on Australians to urge the government to stop expansion plans by iron ore miners Rio Tinto and BHP Billiton  saying they were jeopardizing the economy.,topStory
BSX,Boston Scientific Corporation,20150511,Boston Scientific settles bellwether mesh case in California ,Boston Scientific agreed to settle a lawsuit from a woman who said she was injured by one of the company's transvaginal mesh devices  which have been the target of more than 26 000 cases.,topStory
BP,BP plc,20150511,UPDATE 1-BP Whiting refinery workers approve pact  end strike -union ,HOUSTON  May 11 Striking workers at BP Plc's  Whiting  Indiana  refinery ratified a new four-year contract on Monday  formally ending a three-month work stoppage  said the president of the United Steelworkers local chapter representing the hourly employees.,topStory
BVN,Buenaventura Mining Company Inc,20150511,UPDATE 1-Workers at Buenaventura silver mine in Peru on strike -company ,LIMA  May 11 Contract workers at Peruvian Buenaventura's  silver mine Uchucchacua went on strike to press for better working conditions  the company said on Monday in a filing with the country's market regulator.,topStory
BVN,Buenaventura Mining Company Inc,20150511,Workers at Buenaventura silver mine in Peru on strike -company ,LIMA  May 11 Contract workers at Peruvian Buenaventura's  silver mine Uchucchacua went on strike to press for better working conditions  the company said on Monday in a filing with the country's market regulator.   (Reporting By Marco Aquino; Editing by Ted Botha),normal
C,Citigroup Inc,20150511,Citigroup says could plead guilty to settle forex probe ,NEW YORK Citigroup Inc  said it could plead guilty to an antitrust charge to resolve a U.S. Department of Justice investigation of its dealings in foreign exchange markets.,topStory
C,Citigroup Inc,20150511,UPDATE 1-Citigroup says could plead guilty to settle forex probe ,NEW YORK  May 11 Citigroup Inc said it could plead guilty to an antitrust charge to resolve a U.S. Department of Justice investigation of its dealings in foreign exchange markets.,normal
C,Citigroup Inc,20150511,Citigroup says could plead guilty to settle FX probe ,NEW YORK  May 11 Citigroup Inc said it could plead guilty to an antitrust charge to resolve a U.S. Department of Justice investigation of its dealings in foreign exchange markets.,normal
C,Citigroup Inc,20150511,Late to the party  global banks try to muscle into India's start-up boom ,MUMBAI Global investment banks are scrambling to get a piece of the action from India's booming technology start-ups  having missed out on the initial flurry of deal-making to their better-connected but much smaller domestic rivals.,normal
C,Citigroup Inc,20150511,Late to the party  global banks try to muscle into India's start-up boom ,MUMBAI Global investment banks are scrambling to get a piece of the action from India's booming technology start-ups  having missed out on the initial flurry of deal-making to their better-connected but much smaller domestic rivals.,normal
CNO,CNO Financial Group Inc,20150511,Fitch Expects to Rate CNO Financial's Sr Debt 'BB+'; Upgrades IFS Rtgs to BBB+; Outlook Positive ,(The following statement was released by the rating agency) CHICAGO  May 11 (Fitch) Fitch Ratings has assigned a 'BB+(EXP)' rating to CNO  Financial Group Inc.'s (CNO) planned issuance of new senior unsecured notes.  At  the same time  Fitch has upgraded the Insurer Financial Strength (IFS) ratings  for CNO's core insurance subsidiaries to 'BBB+' from 'BBB'. The Rating Outlook  is Positive for all ratings. A full list of rating actions follows at the end of  this release.  KEY RATING DRIVERS The,topStory
CCV,Comcast Corporation,20150511,Comcast names Carlyle Group's Michael Cavanagh as CFO ,Comcast Corp  on Monday named Carlyle Group LP  Co-President Michael Cavanagh as chief financial officer  bringing on a prominent dealmaker after its failed attempt to acquire Time Warner Cable Inc .,topStory
CCV,Comcast Corporation,20150511,UPDATE 2-Comcast names Carlyle Group's Michael Cavanagh as CFO ,May 11 Comcast Corp on Monday named Carlyle Group LP Co-President Michael Cavanagh as chief financial officer  bringing on a prominent dealmaker after its failed attempt to acquire Time Warner Cable Inc.,normal
CCV,Comcast Corporation,20150511,Comcast names Michael Cavanagh CFO ,May 11 Comcast Corp named Michael Cavanagh chief financial officer  succeeding Michael Angelakis.,normal
DF,Dean Foods Company,20150511,Dean Foods profit beats estimates as raw milk costs fall ,Dean Foods Co   the largest U.S. milk processor  reported a better-than-expected quarterly profit as the company benefited from its decision to not pass on lower milk prices to customers.,topStory
DF,Dean Foods Company,20150511,UPDATE 2-Dean Foods profit beats estimates as raw milk costs fall ,* Shares rise 10 pct to 3-month high   (Adds details from conference call; updates shares),normal
DF,Dean Foods Company,20150511,Dean Foods quarterly profit beats estimates ,May 11 Dean Foods Co  the largest U.S. milk processor  reported  a better-than-expected quarterly profit as the company did not pass on the benefits of falling milk prices to consumers.,normal
DB,Deutsche Bank AG,20150511,MOVES-Herman quits as head of fixed income at Deutsche Bank ,LONDON  May 11 (IFR) - Rich Herman  who took over as sole head of Deutsche Bank's fixed income and currencies trading business just six months ago  has decided to leave the bank to travel and pursue opportunities outside the industry  according to internal memos seen by IFR.,topStory
DB,Deutsche Bank AG,20150511,MOVES-Herman quits as head of fixed income at Deutsche Bank - source ,LONDON  May 11 (IFR) - Rich Herman  who took over as sole head of Deutsche Bank's fixed income and currencies trading business just six months ago  has decided to leave the bank to travel and pursue opportunities outside the industry  according to internal memos seen by IFR.   (Reporting by Gareth Gore),normal
DB,Deutsche Bank AG,20150511,New Issue- Deutsche Bank prices 50 mln CHF 2023 bond ,Notes                   Launched under issuer's Global DIP programme,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20150511,Embraer to move Phenom executive jet production to U.S.: union ,SAO PAULO Brazil's Embraer SA  the world's third-largest commercial planemaker  plans to move production of its Phenom executive jets to its factory in the United States next year  a Brazilian union said on Monday.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20150511,Embraer to move Phenom executive jet production to U.S. -union ,SAO PAULO  May 11 Brazil's Embraer SA   the world's third-largest commercial planemaker  plans to move production of its Phenom executive jets to its factory in the United States next year  a Brazilian union said on Monday.,normal
ETR,Entergy Corporation,20150511,N.Y. Indian Pt 3 reactor could return in a few weeks - Entergy ,May 8 Entergy Corp said Monday Indian Point 3 nuclear power reactor in New York could return to service in a few weeks after shutting Saturday due to a transformer fire.,topStory
EQT,EQT Corporation,20150511,EQT affiliate achieves tightest-ever yield ,NEW YORK (IFR) - EQT Corp managed to get the tightest pricing ever in yield terms on a new MLP vehicle  as it wrapped up the IPO on Monday for the holdco of its affiliate EQT Midstream Partners.,topStory
EQT,EQT Corporation,20150511,EQT affiliate achieves tightest-ever yield ,NEW YORK  May 11 (IFR) - EQT Corp managed to get the tightest pricing ever in yield terms on a new MLP vehicle  as it wrapped up the IPO on Monday for the holdco of its affiliate EQT Midstream Partners.,normal
EQM,EQT Midstream Partners LP,20150511,EQT affiliate achieves tightest-ever yield ,NEW YORK (IFR) - EQT Corp managed to get the tightest pricing ever in yield terms on a new MLP vehicle  as it wrapped up the IPO on Monday for the holdco of its affiliate EQT Midstream Partners.,topStory
EQM,EQT Midstream Partners LP,20150511,EQT affiliate achieves tightest-ever yield ,NEW YORK  May 11 (IFR) - EQT Corp managed to get the tightest pricing ever in yield terms on a new MLP vehicle  as it wrapped up the IPO on Monday for the holdco of its affiliate EQT Midstream Partners.,normal
XOM,Exxon Mobil Corporation,20150511,New Jersey Governor Christie vetoes environmental bill passed after Exxon deal ,New Jersey Governor Chris Christie on Monday vetoed legislation that would have directed more money from environmental legal settlements to be used to fund cleanups of pollution.,topStory
XOM,Exxon Mobil Corporation,20150511,N.J. Gov. Christie vetoes environmental bill passed after Exxon deal ,New Jersey Governor Chris Christie on Monday vetoed legislation that would have directed more money from environmental legal settlements to be used to fund cleanups of pollution.,normal
GEH,General Electric Capital Corporation,20150511,GE would offer concessions to win EU approval of Alstom deal: executive ,NEW YORK/BRUSSELS General Electric Co  said on Monday for the first time it would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom .,topStory
GEH,General Electric Capital Corporation,20150511,UPDATE 2-GE would offer concessions to win EU approval of Alstom deal-exec ,NEW YORK/BRUSSELS  May 11 General Electric Co  said on Monday for the first time it would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom.,normal
GEH,General Electric Capital Corporation,20150511,GE would offer concessions to win EU approval for Alstom deal -exec ,May 11 A General Electric Co executive said on Monday that the company would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom.,normal
GEK,General Electric Capital Corporation,20150511,GE would offer concessions to win EU approval of Alstom deal: executive ,NEW YORK/BRUSSELS General Electric Co  said on Monday for the first time it would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom .,topStory
GEK,General Electric Capital Corporation,20150511,UPDATE 2-GE would offer concessions to win EU approval of Alstom deal-exec ,NEW YORK/BRUSSELS  May 11 General Electric Co  said on Monday for the first time it would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom.,normal
GEK,General Electric Capital Corporation,20150511,GE would offer concessions to win EU approval for Alstom deal -exec ,May 11 A General Electric Co executive said on Monday that the company would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom.,normal
GE,General Electric Company,20150511,GE would offer concessions to win EU approval of Alstom deal: executive ,NEW YORK/BRUSSELS General Electric Co  said on Monday for the first time it would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom .,topStory
GE,General Electric Company,20150511,UPDATE 2-GE would offer concessions to win EU approval of Alstom deal-exec ,NEW YORK/BRUSSELS  May 11 General Electric Co  said on Monday for the first time it would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom.,normal
GE,General Electric Company,20150511,GE would offer concessions to win EU approval for Alstom deal -exec ,May 11 A General Electric Co executive said on Monday that the company would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom.,normal
GEB,General Electric Company,20150511,GE would offer concessions to win EU approval of Alstom deal: executive ,NEW YORK/BRUSSELS General Electric Co  said on Monday for the first time it would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom .,topStory
GEB,General Electric Company,20150511,UPDATE 2-GE would offer concessions to win EU approval of Alstom deal-exec ,NEW YORK/BRUSSELS  May 11 General Electric Co  said on Monday for the first time it would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom.,normal
GEB,General Electric Company,20150511,GE would offer concessions to win EU approval for Alstom deal -exec ,May 11 A General Electric Co executive said on Monday that the company would be willing to consider concessions in order to win European approval to acquire the power equipment unit of France's Alstom.,normal
GSK,GlaxoSmithKline PLC,20150511,Hunt for AIDS cure accelerates as GSK and U.S. experts link up ,LONDON Britain's GlaxoSmithKline  which decided last week to retain rather than float off its HIV drugs business  is to collaborate with U.S. scientists in developing a cure for AIDS.,topStory
GSK,GlaxoSmithKline PLC,20150511,Hunt for AIDS cure accelerates as GSK and U.S. experts link up ,LONDON  May 11 Britain's GlaxoSmithKline   which decided last week to retain rather than float off its HIV drugs business  is to collaborate with U.S. scientists in developing a cure for AIDS.,normal
GS,Goldman Sachs Group Inc (The),20150511,Goldman Sachs ordered to pay $80 mln plus interest in 2006 case ,May 11 Goldman Sachs Inc has been ordered to pay $80 million  plus interest  to the National Australia Bank for breaches associated with the sale of mortgage-linked securities  according to a court filing.,topStory
IBN,ICICI Bank Limited,20150511,India picks private banker KV Kamath as first BRICS bank head ,NEW DELHI India has named private banker K.V. Kamath as the first head of a new development bank being set up by the BRICS group of emerging market economies  Finance Secretary Rajiv Mehrishi told reporters on Monday.,topStory
IBM,International Business Machines Corporation,20150511,11th Circuit says IBM had power to lower sales commission ,A U.S. appeals court on Monday rejected an IBM Corp software salesman's challenge to the company's ability to slash a commission he earned for his role in a "blockbuster deal" with Bank of America.,topStory
LYG,Lloyds Banking Group Plc,20150511,Lloyds shareholders urged to reject remuneration report ,LONDON  May 11 Lloyds Banking Group's  shareholders should reject the British bank's remuneration policy as pay for Chief Executive Antonio Horta-Osorio is "highly excessive"  a shareholder advisory group said on Monday.,topStory
MS,Morgan Stanley,20150511,Castleton joins oil trade titans with Morgan Stanley deal ,NEW YORK Castleton Commodities International will buy Morgan Stanley's physical oil business  the largest and oldest on Wall Street  vaulting the Connecticut-based merchant into the big leagues of global crude and fuel traders.,topStory
MS,Morgan Stanley,20150511,Castleton joins oil trade titans with Morgan Stanley deal ,NEW YORK Castleton Commodities International will buy Morgan Stanley's  physical oil business  the largest and oldest on Wall Street  vaulting the Connecticut-based merchant into the big leagues of global crude and fuel traders.,normal
MS,Morgan Stanley,20150511,UPDATE 2-Castleton joins oil trade titans with Morgan Stanley deal ,NEW YORK  May 11 Castleton Commodities International will buy Morgan Stanley's physical oil business  the largest and oldest on Wall Street  vaulting the Connecticut-based merchant into the big leagues of global crude and fuel traders.,normal
MS,Morgan Stanley,20150511,Morgan Stanley to sell Global Oil Merchanting business to CCI ,May 11 Morgan Stanley said it would sell its Global Oil Merchanting business to Castleton Commodities International LLC   a privately held U.S. energy merchant  for an undisclosed sum.,normal
MS,Morgan Stanley,20150511,ON THE MOVE-Wells Fargo Advisors hires four advisers from Morgan Stanley ,May 11 Wells Fargo Advisors  the brokerage unit of Wells Fargo & Co  said it hired four advisers from Morgan Stanley.,normal
MS,Morgan Stanley,20150511,Oil and gas M&A set to rebound in second quarter: Morgan Stanley ,LONDON Deal making in the oil and gas sector is set to accelerate as higher oil prices and an improved outlook for the sector boost investor appetite  Morgan Stanley said in a report on Monday.,normal
NKE,Nike Inc,20150511,RPT-U.S. factory job gains come slowly despite corporate vows ,DETROIT  May 11 Nike Inc's announcement that it could create up to 10 000 manufacturing jobs in the United States will spark further debate on whether the country is starting to see an industrial renaissance after many years of job losses.,topStory
NBL,Noble Energy Inc,20150511,Deals of the day- Mergers and acquisitions ,May 11 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Monday:,topStory
NBL,Noble Energy Inc,20150511,Noble Energy's $2 billion Rosetta deal reopens U.S. shale oil M&A ,Noble Energy Inc said on Monday it would acquire Rosetta Resources Inc for about $2 billion in stock  marking the first significant deal among U.S. shale oil producers following a steep fall in global crude prices.,normal
NBL,Noble Energy Inc,20150511,UPDATE 3-Noble Energy's $2 bln Rosetta deal reopens U.S. shale oil M&A ,* Rosetta shares rise 25 pct; Noble Energy stock down 7 pct   (Adds comments from call  share prices),normal
NBL,Noble Energy Inc,20150511,US STOCKS-Wall St mixed at open; energy shares fall ,* Rosetta soars as Noble Energy offers to buy company for $2 bln,normal
NBL,Noble Energy Inc,20150511,US STOCKS-Futures little changed after soaring last week on strong jobs data ,* Rosetta soars as Noble Energy offers to buy company for $2 bln,normal
NBL,Noble Energy Inc,20150511,Noble Energy to buy Rosetta Resources for about $2 bln ,May 11 Noble Energy Inc said it would acquire Rosetta Resources Inc for about $2 billion in an all-stock deal that will give it an entry into the Eagle Ford Shale field and the Permian Basin oil and gas region in Texas.,normal
