AMD,Advanced Micro Devices Inc,20150202,Fitch Affirms AMD's IDR at 'B-'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  February 02 (Fitch) Fitch Ratings has affirmed the long-term Issuer  Default Rating (IDR) for Advanced Micro Devices Inc. (NYSE: AMD) at 'B-'. The  Rating Outlook is Stable.  Fitch's actions affect approximately $2.6 billion of total debt  including the  undrawn portion of the company's revolving credit facility (RCF). A full list of  ratings follows the end of this commentary. The ratings and Outlook reflect Fitch's expectatio,topStory
LULU,lululemon athletica inc,20150202,UPDATE 2-Lululemon founder to leave board  keep stake in yogawear chain ,Feb 2 Lululemon Athletica Inc founder Chip Wilson said on Monday he is quitting the board of directors of the yogawear retailer  hit nearly two years ago by a major recall  because the company was back on track with a strong management team.,normal
LULU,lululemon athletica inc,20150202,Lululemon founder to retain stake in company -spokesman ,TORONTO  Feb 2 Canadian yogawear retailer Lululemon Athletica Inc's founder Chip Wilson has no immediate plans to trim his stake in the company  said a spokesman for Wilson on Monday.,normal
LULU,lululemon athletica inc,20150202,Founder of yogawear chain Lululemon steps down from board ,Lululemon Athletica Inc  founder Chip Wilson  a sometimes controversial figure who helped build the Canadian yogawear retailer into an international success story  said on Monday he was resigning from the company's board.,normal
LULU,lululemon athletica inc,20150202,Yogawear chain Lululemon founder Chip Wilson steps down from board , ,normal
MYL,Mylan NV,20150202,Mylan buys female health businesses from Indian drugmaker ,Mylan Inc  said it would buy Indian drugmaker Famy Care Ltd's female health businesses for about $750 million in cash and $50 million in contingent payments to expand its line of women's health products.,topStory
MYL,Mylan NV,20150202,UPDATE 1-Mylan buys female health businesses from Indian drugmaker ,Feb 2 Mylan Inc said it would buy Indian drugmaker Famy Care Ltd's female health businesses for about $750 million in cash and $50 million in contingent payments to expand its line of women's health products.,normal
MYL,Mylan NV,20150202,Mylan buys female health businesses from Indian drugmaker ,Feb 2 Mylan Inc said it would buy Indian drugmaker Famy Care Ltd's female health businesses to expand its line of women's health products.,normal
NWS,News Corporation,20150202,Justice Department drops News Corp probe related to phone hacking ,The United States Department of Justice has decided not to prosecute News Corp  or its sister company Twenty-First Century Fox  after completing an investigation of scandals in Great Britain involving phone hacking and alleged bribery of public officials.,topStory
NWS,News Corporation,20150202,U.S. Justice Dept drops News Corp probe related to phone hacking ,Feb 2 The United States Department of Justice has decided not to prosecute News Corp or its sister company Twenty-First Century Fox after completing an investigation of scandals in Great Britain involving phone hacking and alleged bribery of public officials.,normal
NWSA,News Corporation,20150202,Justice Department drops News Corp probe related to phone hacking ,The United States Department of Justice has decided not to prosecute News Corp  or its sister company Twenty-First Century Fox  after completing an investigation of scandals in Great Britain involving phone hacking and alleged bribery of public officials.,topStory
NWSA,News Corporation,20150202,U.S. Justice Dept drops News Corp probe related to phone hacking ,Feb 2 The United States Department of Justice has decided not to prosecute News Corp or its sister company Twenty-First Century Fox after completing an investigation of scandals in Great Britain involving phone hacking and alleged bribery of public officials.,normal
SEED,Origin Agritech Limited,20150202,Australia regulator says reviewing Origin proposal to buy BP gas terminal ,SYDNEY  Feb 2 Australia's antitrust regulator said on Monday it was reviewing a proposal by top energy retailer Origin Energy to buy out BP Plc's stake in the Bulwer Island gas terminal they jointly own in Brisbane.,topStory
RYAAY,Ryanair Holdings plc,20150202,CRH surge leads Britain's FTSE to modest gains ,* Budget airlines fall after Ryanair update   (Updates with closing prices),topStory
RYAAY,Ryanair Holdings plc,20150202,BA owner offers route pledge to Dublin in Aer Lingus bid ,LONDON  Feb 2 British Airways's owner committed to serving London to Ireland routes for five years on Monday in a bid to win backing from the Irish government for its takeover of partly state-owned airline Aer Lingus.,normal
RYAAY,Ryanair Holdings plc,20150202,CRH surge leads Britain's FTSE to modest gains ,* Budget airlines fall after Ryanair update   (Adds detail  updates prices),normal
RYAAY,Ryanair Holdings plc,20150202,CRH surge leads Britain's FTSE to modest gains ,* Budget airlines fall after Ryanair update   (Adds quote  updates prices),normal
RYAAY,Ryanair Holdings plc,20150202,UPDATE 2-Ryanair sees cheap oil fuelling competition on fares ,* Expects 2014/15 profit of 840 to 850 mln euros as costs fall,normal
RYAAY,Ryanair Holdings plc,20150202,FTSE gains  CRH leads as asset purchase deal seen positive ,LONDON  Feb 2 Britain's top share index edged up in morning trading on Monday  with Irish building supplies groups CRH leading the market higher after agreeing to buy assets from rivals.,normal
RYAAY,Ryanair Holdings plc,20150202,Europe Factors to Watch-Shares set to inch up; Ryanair eyed ,PARIS  Feb 2 European stock index futures inched higher on Monday  with the airline sector in focus after Ryanair raised its profit forecast.     Ryanair  Europe's largest airline by passenger numbers  lifted its profit forecast for the third time in as many months  as costs fell and traffic grew  but it cautioned that profit growth will be modest next year as rivals' cheaper fuel push fares down.      At 0738 GMT  futures for Euro STOXX 50  for Germany's DAX  and for France's CAC we,normal
SSYS,Stratasys Ltd,20150202,Stratasys cuts adjusted profit estimate for second time ,Stratasys Ltd  cut its 2014 adjusted profit estimates for the second time and said it took a $100 million-$110 million charge in the fourth quarter related to its MakerBot home 3D printers business  which it acquired in 2013.,topStory
SSYS,Stratasys Ltd,20150202,UPDATE 1-Stratasys cuts adjusted profit estimate for second time ,Feb 2 Stratasys Ltd cut its 2014 adjusted profit estimates for the second time and said it took a $100 million-$110 million charge in the fourth quarter related to its MakerBot home 3D printers business  which it acquired in 2013.,normal
SSYS,Stratasys Ltd,20150202,Stratasys full-year profit  revenue forecast misses estimate ,Feb 2 3D printer maker Stratasys Ltd on Monday forecast revenue and adjusted profit for the full year below average analyst expectation  saying operating expenses will increase.,normal
FOX,Twenty-First Century Fox Inc,20150202,Justice Department drops News Corp probe related to phone hacking ,The United States Department of Justice has decided not to prosecute News Corp  or its sister company Twenty-First Century Fox  after completing an investigation of scandals in Great Britain involving phone hacking and alleged bribery of public officials.,topStory
FOX,Twenty-First Century Fox Inc,20150202,U.S. Justice Dept drops News Corp probe related to phone hacking ,Feb 2 The United States Department of Justice has decided not to prosecute News Corp or its sister company Twenty-First Century Fox after completing an investigation of scandals in Great Britain involving phone hacking and alleged bribery of public officials.,normal
FOXA,Twenty-First Century Fox Inc,20150202,Justice Department drops News Corp probe related to phone hacking ,The United States Department of Justice has decided not to prosecute News Corp  or its sister company Twenty-First Century Fox  after completing an investigation of scandals in Great Britain involving phone hacking and alleged bribery of public officials.,topStory
FOXA,Twenty-First Century Fox Inc,20150202,U.S. Justice Dept drops News Corp probe related to phone hacking ,Feb 2 The United States Department of Justice has decided not to prosecute News Corp or its sister company Twenty-First Century Fox after completing an investigation of scandals in Great Britain involving phone hacking and alleged bribery of public officials.,normal
BABA,Alibaba Group Holding Limited,20150202,Alibaba's Ma says IPO of Ant Financial unlikely in 2015 ,HONG KONG Jack Ma  chairman of Chinese e-commerce giant Alibaba Group Holding  said on Monday he hoped the company's financial affiliate would list in Asia at some point  but that no decision on the timing or location had been made.,topStory
BABA,Alibaba Group Holding Limited,20150202,Alibaba's Ma says IPO of Ant Financial unlikely in 2015 ,HONG KONG Jack Ma  chairman of Chinese e-commerce giant Alibaba Group Holding   said on Monday he hoped the company's financial affiliate would list in Asia at some point  but that no decision on the timing or location had been made.,normal
BABA,Alibaba Group Holding Limited,20150202,UPDATE 1-Alibaba's Ma says IPO of Ant Financial unlikely in 2015 ,HONG KONG  Feb 2 Jack Ma  chairman of Chinese e-commerce giant Alibaba Group Holding  said on Monday he hoped the company's financial affiliate would list in Asia at some point  but that no decision on the timing or location had been made.,normal
BABA,Alibaba Group Holding Limited,20150202,Alibaba's Jack Ma says IPO of Ant Financial unlikely in 2015 ,HONG KONG  Feb 2 Jack Ma  chairman of Chinese e-commerce giant Alibaba Group Holding  said on Monday he hoped the company's financial affiliate would list in Asia but the exact timing and location were unknown.,normal
ALLY,Ally Financial Inc,20150202,Ally picks auto finance chief to succeed retiring CEO ,NEW YORK Ally Financial Inc  said on Monday that Jeffrey Brown  the company's head of dealer financial services  has been named chief executive  effective immediately.,topStory
ALLY,Ally Financial Inc,20150202,Ally picks auto finance chief to succeed retiring CEO ,NEW YORK  Feb 2 Ally Financial Inc said on Monday that Jeffrey Brown  the company's head of dealer financial services  has been named chief executive  effective immediately.,normal
AEUA,Anadarko Petroleum Corporation,20150202,UPDATE 1-Anadarko quarterly loss narrows  misses Street estimates ,Feb 2 Anadarko Petroleum Corp on Monday reported fourth-quarter results that fell short of Wall Street expectations  as fallout from the collapse in crude oil prices offset a 6.0 percent increase in output.,topStory
AEUA,Anadarko Petroleum Corporation,20150202,Anadarko quarterly loss narrows  output rises ,Anadarko Petroleum Corp  on Monday said its fourth-quarter loss narrowed compared to a year earlier  when the company had taken a big charge related to a long-running lawsuit.,normal
AEUA,Anadarko Petroleum Corporation,20150202,Anadarko quarterly loss narrows  output rises ,Feb 2 Anadarko Petroleum Corp on Monday said its fourth-quarter loss narrowed compared to a year earlier  when the company had taken a big charge related to a long-running lawsuit.,normal
APC,Anadarko Petroleum Corporation,20150202,UPDATE 1-Anadarko quarterly loss narrows  misses Street estimates ,Feb 2 Anadarko Petroleum Corp on Monday reported fourth-quarter results that fell short of Wall Street expectations  as fallout from the collapse in crude oil prices offset a 6.0 percent increase in output.,topStory
APC,Anadarko Petroleum Corporation,20150202,Anadarko quarterly loss narrows  output rises ,Anadarko Petroleum Corp  on Monday said its fourth-quarter loss narrowed compared to a year earlier  when the company had taken a big charge related to a long-running lawsuit.,normal
APC,Anadarko Petroleum Corporation,20150202,Anadarko quarterly loss narrows  output rises ,Feb 2 Anadarko Petroleum Corp on Monday said its fourth-quarter loss narrowed compared to a year earlier  when the company had taken a big charge related to a long-running lawsuit.,normal
APA,Apache Corporation,20150202,IDB unit extends Islamic reinsurance for Apache's Egypt projects ,Feb 2 A unit of the Jeddah-based Islamic Development Bank  a multilateral lending institution  has provided $80 million worth of sharia-compliant reinsurance to cover political risk for oil and gas projects in Egypt.,topStory
ARW,Arrow Electronics Inc,20150202,Computacenter to return about 100 mln stg to shareholders ,Feb 2 British IT services provider Computacenter Plc said it would return about 100 million pounds ($150 million) to shareholders after the sale of its disposal and recycling subsidiary to a unit of U.S.-based Arrow Electronics Inc.,topStory
T,AT&T Inc,20150202,AT&T to sell data centers worth $2 bln - sources ,NEW YORK/SAN FRANCISCO AT&T Inc is selling some data centers worth about $2 billion as it continues its streak of asset sales  people familiar with the matter said on Monday.,topStory
T,AT&T Inc,20150202,AT&T to sell data centers worth $2 billion: sources ,NEW YORK/SAN FRANCISCO AT&T Inc is selling some data centers worth about $2 billion as it continues its streak of asset sales  people familiar with the matter said on Monday.,normal
T,AT&T Inc,20150202,AT&T to sell data centers worth $2 bln - sources ,NEW YORK/SAN FRANCISCO  Feb 2 AT&T Inc is selling some data centers worth about $2 billion as it continues its streak of asset sales  people familiar with the matter said on Monday.,normal
BCS,Barclays PLC,20150202,Barclays to add Malaysian sukuk to flagship bond index ,Feb 2 Barclays Plc's index business will include Islamic bonds issued by the Malaysian government in its global fixed income index  doubling the market value of ringgit-denominated components in the benchmark.,topStory
BLK,BlackRock Inc,20150202,MOVES- JPMorgan  BlackRock  StanChart  SocGen  AXA ,Feb 2 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
BLK,BlackRock Inc,20150202,MOVES- JPMorgan  BlackRock  StanChart  SocGen  AXA ,Feb 2 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
BLK,BlackRock Inc,20150202,MOVES- JPMorgan  BlackRock  Standard Chartered  Societe Generale  AXA ,Feb 2 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
BLK,BlackRock Inc,20150202,MOVES-BlackRock names Christopher Hall Asia equities team MD ,Feb 2 BlackRock Inc  the world's largest asset manager  appointed Christopher Hall as managing director for its Asia Fundamental Equities team.,normal
BA,Boeing Company (The),20150202,US aims to lead redesign Raytheon missile defense "kill vehicle" ,WASHINGTON  Feb 2 The U.S. Missile Defense Agency on Monday said it was close to finalizing a government-led effort to redesign a Raytheon Co "kill vehicle" used in the ground-based missile defense system that would involve Raytheon  Boeing Co and Lockheed Martin Corp.,topStory
BA,Boeing Company (The),20150202,U.S. Air Force delays competition for ground surveillance planes ,WASHINGTON  Feb 2 The U.S. Air Force's fiscal 2016 budget released on Monday delayed a long-awaited competition for a new air-ground surveillance aircraft to replace the E-8C Joint Surveillance Target Attack Radar System (JSTARS).,normal
BA,Boeing Company (The),20150202,UPDATE 1-U.S. Navy budget plan omits funding for Boeing  jets ,WASHINGTON  Feb 2 The U.S. Navy's fiscal 2016 budget plan would pay for 492 manned and unmanned aircraft  including 13 F-35 fighter jets built by Lockheed Martin Corp   but omits any funding for Boeing Co F/A-18 fighters or EA-18G electronic attack jets.,normal
BA,Boeing Company (The),20150202,U.S. Navy budget plan omits funding for Boeing EA-18G jets ,WASHINGTON  Feb 2 The U.S. Navy's fiscal 2016 budget plan would pay for 492 manned and unmanned aircraft  including 13 F-35 fighter jets built by Lockheed Martin Corp   but omits any funding for Boeing Co F/A-18 fighters or EA-18G electronic attack jets.,normal
BP,BP plc,20150202,Australia regulator says reviewing Origin proposal to buy BP gas terminal ,SYDNEY  Feb 2 Australia's antitrust regulator said on Monday it was reviewing a proposal by top energy retailer Origin Energy to buy out BP Plc's stake in the Bulwer Island gas terminal they jointly own in Brisbane.,topStory
BDN,Brandywine Realty Trust,20150202,Fitch Affirms Brandywine Realty Trust's IDR at 'BB+'; Outlook Positive ,(The following statement was released by the rating agency) NEW YORK  February 02 (Fitch) Fitch Ratings has affirmed its 'BB+' Issuer  Default Rating (IDR) for Brandywine Realty Trust and its operating partnership  Brandywine Operating Partnership  L.P. (together Brandywine or the company). A  full list of rating actions follows at the end of this release. The Rating Outlook is Positive. KEY RATING DRIVERS The affirmation of Brandywine's ratings is driven by projected leverage and  unencumbered ,topStory
CVX,Chevron Corporation,20150202,Opposition  disappointing data wither Europe's shale gas prospects ,PRAGUE/LONDON  Feb 2 U.S. energy major Chevron's decision to stop exploring for shale gas in Poland has highlighted the sector's uncertain future and role in strengthening energy security in Europe  analysts said on Monday.,topStory
CLF,Cleveland-Cliffs Inc,20150202,UPDATE 1-Cliffs Natural iron ore sales volumes rise  shares jump ,* Shares up 11 pct after market   (Adds details on iron ore sales  share movement),topStory
CLF,Cleveland-Cliffs Inc,20150202,Cliffs Natural Resources posts quarterly loss ,U.S. miner Cliffs Natural Resources Inc  reported a fourth-quarter loss  hurt partly by asset impairment charges.,normal
CLF,Cleveland-Cliffs Inc,20150202,Cliffs Natural Resources posts quarterly loss ,Feb 2 U.S. miner Cliffs Natural Resources Inc  reported a fourth-quarter loss  hurt partly by asset impairment charges.,normal
CNS,Cohen & Steers Inc,20150202,Billionaire Steve Cohen eyes college graduates for his firm ,BOSTON  Feb 2 Billionaire Steven A. Cohen  who oversees only his personal fortune after decades of running one of the world's biggest hedge funds  wants to recruit newly minted college graduates into his army of hundreds of investment professionals.,normal
CYH,Community Health Systems Inc,20150202,Community Health Services unit to pay $75 mln in fraud settlement ,A unit of Community Health Systems Inc  one of the largest U.S. hospital groups  and three of its hospitals have agreed to pay $75 million to settle claims that they made illegal donations to county governments in New Mexico to secure federal funding.,topStory
CYH,Community Health Systems Inc,20150202,Community Health Services unit to pay $75 million in fraud settlement ,A unit of Community Health Systems Inc  one of the largest U.S. hospital groups  and three of its hospitals have agreed to pay $75 million to settle claims that they made illegal donations to county governments in New Mexico to secure federal funding.,normal
CYH,Community Health Systems Inc,20150202,UPDATE 1-Community Health Services unit to pay $75 mln in fraud settlement ,Feb 2 A unit of Community Health Systems Inc   one of the largest U.S. hospital groups  and three of its hospitals have agreed to pay $75 million to settle claims that they made illegal donations to county governments in New Mexico to secure federal funding.,normal
CYH,Community Health Systems Inc,20150202,Community Health Services unit to pay $75 mln in fraud settlement ,Feb 2 A unit of Community Health Systems Inc   one of the largest U.S. hospital groups  and three of its hospitals have agreed to pay $75 million to settle claims that they made illegal donations to county governments in New Mexico to secure federal funding.,normal
CRH,CRH PLC,20150202,CRH surge leads Britain's FTSE to modest gains ,* Budget airlines fall after Ryanair update   (Updates with closing prices),topStory
CRH,CRH PLC,20150202,CRH likely to price accelerated bookbuild at 16.50 euros a share - sources ,LONDON  Feb 2 Irish building supply firm CRH  is likely to price its accelerated bookbuild at 16.50 euros a share  after investors were told that orders below that sum risked missing out  two sources familiar with the matter said on Monday.,normal
CRH,CRH PLC,20150202,CRH surge leads Britain's FTSE to modest gains ,* Budget airlines fall after Ryanair update   (Adds detail  updates prices),normal
CRH,CRH PLC,20150202,Breakingviews: CRH's $7.4 bln buy reveals M&A tolerance ,LONDON (Reuters Breakingviews) - Here is a deal with all the red flags of M&A - ambition  leverage and a jumbo share placing. Yet the market is spurring on CRH's 6.5 billion euro ($7.4 billion) purchase of surplus assets from European cement rivals Lafarge and Holcim. The traditional criteria for judging such deals don't apply.,normal
CRH,CRH PLC,20150202,UPDATE 5-Ireland's CRH to buy Lafarge  Holcim assets for $7.4 bln ,* CRH shares jump as much as 7 percent   (Adds CEO  analyst  quotes  background  details  updates shares),normal
CRH,CRH PLC,20150202,CRH surge leads Britain's FTSE to modest gains ,* Budget airlines fall after Ryanair update   (Adds quote  updates prices),normal
CRH,CRH PLC,20150202,TRLPC-CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan ,LONDON  Feb 2 Banks have lined up a 6.5 billion euro ($7.37 billion) bridge loan to back Irish building supplies group CRH's 6.5 billion euro acquisition of assets that rivals Lafarge and Holcim needed to sell ahead of their planned merger  CRH announced.,normal
CRH,CRH PLC,20150202,FTSE gains  CRH leads as asset purchase deal seen positive ,LONDON  Feb 2 Britain's top share index edged up in morning trading on Monday  with Irish building supplies groups CRH leading the market higher after agreeing to buy assets from rivals.,normal
CRH,CRH PLC,20150202,Books covered for CRH placement to fund Lafarge  Holcim asset buy - source ,LONDON  Feb 2 Books are covered for an accelerated bookbuild by CRH to help fund the Irish building supply group's acquisition of assets from cement firms Holcim and Lafarge  a source familiar with the matter said on Monday.,normal
CRH,CRH PLC,20150202,BRIEF-CRH shares rise after deal to buy Lafarge  Holcim assets ,* Shares up 1.2 percent after agreed to pay 6.5 billion euros for lafarge  holcim assets  Source text for Eikon:  Further company coverage:    (Reporting By Padraic Halpin),normal
XOM,Exxon Mobil Corporation,20150202,US STOCKS-Wall St rallies late on Greek deal hopes; energy gains ,* Indexes up: Dow 1.1 pct  S&P up 1.3 pct  Nasdaq up 0.9 pct   (Updates to close),topStory
XOM,Exxon Mobil Corporation,20150202,US STOCKS-Wall St near flat; economic data disappoints ,* Indexes: Dow down 0.1 pct  S&P up 0.01 pct  Nasdaq down 0.3 pct   (Updates to late afternoon),normal
XOM,Exxon Mobil Corporation,20150202,US STOCKS-Wall St rises in volatile day as energy shares lead ,* Indexes up: Dow 0.2 pct  S&P 0.4 pct  Nasdaq 0.1 pct   (Updates to afternoon trading),normal
XOM,Exxon Mobil Corporation,20150202,Exxon fourth-quarter profit tops estimate  share buyback slashed in half ,Exxon Mobil Corp said on Monday its quarterly profit fell 21 percent as weak oil prices took a toll  but results topped Wall Street expectations due to a tax adjustment and higher earnings from its chemicals business.,normal
XOM,Exxon Mobil Corporation,20150202,UPDATE 2-Exxon 4th-qtr profit tops estimate  share buyback slashed in half ,Feb 2 Exxon Mobil Corp said on Monday its quarterly profit fell 21 percent as weak oil prices took a toll  but results topped Wall Street expectations due to a tax adjustment and higher earnings from its chemicals business.,normal
XOM,Exxon Mobil Corporation,20150202,US STOCKS-S&P 500 edges up in volatile day  energy shares higher ,* Dow flat  S&P up 0.2 pct  Nasdaq down 0.1 pct   (Updates to midday trading),normal
XOM,Exxon Mobil Corporation,20150202,Exxon mum on 2015 capex plans until March ,HOUSTON Exxon Mobil Corp will release is spending plans for 2015 in early March  but the world's largest publicly traded oil company remains committed to growing its dividend  an executive said on Monday.,normal
XOM,Exxon Mobil Corporation,20150202,Exxon mum on 2015 capex plans until March ,HOUSTON  Feb 2 Exxon Mobil Corp will release is spending plans for 2015 in early March  but the world's largest publicly traded oil company remains committed to growing its dividend  an executive said on Monday.,normal
XOM,Exxon Mobil Corporation,20150202,US STOCKS-Wall St falls as manufacturing data disappoints ,* Indexes down: Dow 0.6 pct  S&P 0.6 pct  Nasdaq 1 pct   (Updates to market open  adds manufacturing data),normal
XOM,Exxon Mobil Corporation,20150202,US STOCKS-Futures point to modest gains at the open ,* Futures up: Dow 40 pts  S&P 4.5 pts  Nasdaq 5.25 pts   (Adds Exxon results  economic data),normal
F,Ford Motor Company,20150202,RPT-INSIGHT-US companies face billions in Venezuela currency losses  Reuters analysis shows ,Feb 2 At least 40 major U.S. companies have substantial exposure to Venezuela's deepening economic crisis  and could collectively be forced to take billions of dollars of write downs  a Reuters analysis shows.,normal
F,Ford Motor Company,20150202,INSIGHT-US companies face billions in Venezuela currency losses  Reuters analysis shows ,Feb 2 At least 40 major U.S. companies have substantial exposure to Venezuela's deepening economic crisis  and could collectively be forced to take billions of dollars of write downs  a Reuters analysis shows.,normal
