AGEN,Agenus Inc,20141218,UPDATE 1-New GSK shingles vaccine may challenge Merck after strong test data ,* GSK vaccine cuts risk of shingles by 97.2 pct in over 50s,topStory
AAPL,Apple Inc,20141218,Chinese shopping 'agents' cash in on Russian currency slide ,SHANGHAI In Blagoveshchensk on Russia's side of the Chinese border  Mou Jiani has turned her home into a warehouse  stocking up on Apple Inc  iPhones  handbags and milk powder to sell back home as Chinese shoppers take advantage of the rouble's slide.,normal
AAPL,Apple Inc,20141218,Chinese shopping "agents" cash in on Russian currency slide ,SHANGHAI  Dec 18 In Blagoveshchensk on Russia's side of the Chinese border  Mou Jiani has turned her home into a warehouse  stocking up on Apple Inc iPhones  handbags and milk powder to sell back home as Chinese shoppers take advantage of the rouble's slide.,normal
CME,CME Group Inc,20141218,CME Group imposes rare halt on wheat futures trading ,CHICAGO  Dec 18 CME Group Inc briefly halted electronic trading in U.S. wheat futures overnight on Thursday after prices sank 1.6 percent in one second as concerns about Russian export curbs roiled the market.,topStory
JD,JDcom Inc,20141218,China's JD.com to sell Gap clothing  vying with Alibaba to woo Western brands ,BEIJING China's JD.com Inc  has partnered Gap Inc  to sell the U.S. clothing retailer's apparel online in China  as the Beijing-based e-commerce company goes head to head with Alibaba Group Holding Ltd  to woo big foreign fashion names.,topStory
JD,JDcom Inc,20141218,China's JD.com to sell Gap clothing  vying with Alibaba to woo Western brands ,BEIJING  Dec 18 China's JD.com Inc has partnered Gap Inc to sell the U.S. clothing retailer's apparel online in China  as the Beijing-based e-commerce company goes head to head with Alibaba Group Holding Ltd to woo big foreign fashion names.,normal
MSFT,Microsoft Corporation,20141218,BRIEF-Line to buy MixRadio music streaming service from Microsoft ,* Messaging app Line Corp says has agreed to buy music streaming service MixRadio from Microsoft Corp  price not disclosed  Further company coverage:     (Tokyo newsroom),topStory
MGI,Moneygram International Inc,20141218,U.S. sues former MoneyGram exec  seeks $1 million penalty ,NEW YORK/ST. LOUIS U.S. authorities sued MoneyGram International Inc's former chief compliance officer on Thursday  seeking a $1 million civil penalty and to hold him personally responsible for failing to stop fraudulent telemarketers from using the money-transfer firm's services.,topStory
MGI,Moneygram International Inc,20141218,U.S. sues former MoneyGram exec  seeks $1 million civil penalty ,NEW YORK  Dec 18 U.S. authorities said on Thursday they had sued a former chief compliance officer of money-transfer firm MoneyGram International  seeking to collect a $1 million civil penalty from him for failing to stop fraudulent telemarketers from using the firm's services.,normal
RYAAY,Ryanair Holdings plc,20141218,UPDATE 2-Aer Lingus rejects takeover approach from British Airways owner ,* IAG keen on Aer Lingus's slots at London's Heathrow Airport,topStory
SQBG,Sequential Brands Group Inc,20141218,Dunkin' Brands cuts 2015 forecast as coffee sales slow ,Dunkin' Brands Group Inc  cut 2015 U.S. same-store sales growth forecast for its Dunkin' Donuts business  citing slowing sales of packaged coffee in its restaurants.,topStory
SQBG,Sequential Brands Group Inc,20141218,UPDATE 1-Dunkin' Brands cuts 2015 forecast as coffee sales slow ,Dec 18 Dunkin' Brands Group Inc cut 2015 U.S. same-store sales growth forecast for its Dunkin' Donuts business  citing slowing sales of packaged coffee in its restaurants.,normal
SHPG,Shire plc,20141218,Shire considering bid for NPS Pharmaceuticals: Bloomberg ,Dublin-based Shire Plc  whose proposed sale to AbbVie Inc fell apart in October  is considering an offer for U.S-based drug developer NPS Pharmaceuticals Inc  Bloomberg reported  citing people familiar with the matter.,topStory
CG,The Carlyle Group LP,20141218,Private equity firm Carlyle names insider as CFO ,Carlyle Group LP has named Curtis Buser  the private equity firm's chief accounting officer since 2004  as its next chief financial officer  succeeding Adena Friedman  who departed in May to return to NASDAQ OMX Group Inc.,topStory
CG,The Carlyle Group LP,20141218,Private equity firm Carlyle names insider as CFO ,Carlyle Group LP has named Curtis Buser  the private equity firm's chief accounting officer since 2004  as its next chief financial officer  succeeding Adena Friedman  who departed in May to return to NASDAQ OMX Group Inc.,normal
CG,The Carlyle Group LP,20141218,Private equity firm Carlyle names insider as CFO ,Dec 18 Carlyle Group LP has named Curtis Buser  the private equity firm's chief accounting officer since 2004  as its next chief financial officer  succeeding Adena Friedman  who departed in May to return to NASDAQ OMX Group Inc .,normal
CG,The Carlyle Group LP,20141218,BRIEF-Euromoney Institutional Investor completes Dealogic transaction ,* Confirms that it has completed the acquisition of a 15.5% equity stake in New Dealogic incorporated by The Carlyle Group to acquire Dealogic Holdings Plc alongside Carlyle and Dealogic's founders.  Source text for Eikon:  Further company coverage:,normal
TCGP,The Carlyle Group LP,20141218,Private equity firm Carlyle names insider as CFO ,Carlyle Group LP has named Curtis Buser  the private equity firm's chief accounting officer since 2004  as its next chief financial officer  succeeding Adena Friedman  who departed in May to return to NASDAQ OMX Group Inc.,topStory
TCGP,The Carlyle Group LP,20141218,Private equity firm Carlyle names insider as CFO ,Carlyle Group LP has named Curtis Buser  the private equity firm's chief accounting officer since 2004  as its next chief financial officer  succeeding Adena Friedman  who departed in May to return to NASDAQ OMX Group Inc.,normal
TCGP,The Carlyle Group LP,20141218,Private equity firm Carlyle names insider as CFO ,Dec 18 Carlyle Group LP has named Curtis Buser  the private equity firm's chief accounting officer since 2004  as its next chief financial officer  succeeding Adena Friedman  who departed in May to return to NASDAQ OMX Group Inc .,normal
TCGP,The Carlyle Group LP,20141218,BRIEF-Euromoney Institutional Investor completes Dealogic transaction ,* Confirms that it has completed the acquisition of a 15.5% equity stake in New Dealogic incorporated by The Carlyle Group to acquire Dealogic Holdings Plc alongside Carlyle and Dealogic's founders.  Source text for Eikon:  Further company coverage:,normal
CUBA,The Herzfeld Caribbean Basin Fund Inc,20141218,U.S. policy shift finally rewards Cuba-focused fund manager ,(The story corrects figure in second paragraph to show that after a share offering completed December 4  the fund's market capitalization is $48 million  not $25.3 million.),topStory
CUBA,The Herzfeld Caribbean Basin Fund Inc,20141218,CORRECTED-U.S. policy shift finally rewards Cuba-focused fund manager ,(Corrects figure in second paragraph to show that after a share offering completed December 4  the fund's market capitalization is $48 million  not $25.3 million.),normal
VOD,Vodafone Group Plc,20141218,Italy's digital future seen at stake in battle for Metroweb ,* Metroweb seen becoming central to government's digital plan,topStory
ABBV,AbbVie Inc,20141218,Shire considering bid for NPS Pharmaceuticals: Bloomberg ,Dublin-based Shire Plc  whose proposed sale to AbbVie Inc fell apart in October  is considering an offer for U.S-based drug developer NPS Pharmaceuticals Inc  Bloomberg reported  citing people familiar with the matter.,topStory
ACN,Accenture plc,20141218,Accenture raises full-year revenue forecast after strong first-quarter ,Consulting and outsourcing company Accenture Plc  raised its revenue forecast for fiscal 2015 after contract wins helped the company post better-than-expected first-quarter earnings and revenue.,topStory
AEB,Aegon NV,20141218,BRIEF-Aegon says in talks with La Banque Postale to form strategic asset management partnership ,* Aegon and La Banque Postale have entered into exclusive talks to form a strategic asset management partnership in France,topStory
AEB,Aegon NV,20141218,BRIEF-Tsinghua Tongfang gets regulatory approval to acquire stake in Aegon-CNOOC Life ,* Says gets insurance regulator's approval to acquire 50 percent stake in Aegon-CNOOC Life Insurance,normal
AED,Aegon NV,20141218,BRIEF-Aegon says in talks with La Banque Postale to form strategic asset management partnership ,* Aegon and La Banque Postale have entered into exclusive talks to form a strategic asset management partnership in France,topStory
AED,Aegon NV,20141218,BRIEF-Tsinghua Tongfang gets regulatory approval to acquire stake in Aegon-CNOOC Life ,* Says gets insurance regulator's approval to acquire 50 percent stake in Aegon-CNOOC Life Insurance,normal
AEG,Aegon NV,20141218,BRIEF-Aegon says in talks with La Banque Postale to form strategic asset management partnership ,* Aegon and La Banque Postale have entered into exclusive talks to form a strategic asset management partnership in France,topStory
AEG,Aegon NV,20141218,BRIEF-Tsinghua Tongfang gets regulatory approval to acquire stake in Aegon-CNOOC Life ,* Says gets insurance regulator's approval to acquire 50 percent stake in Aegon-CNOOC Life Insurance,normal
AEH,Aegon NV,20141218,BRIEF-Aegon says in talks with La Banque Postale to form strategic asset management partnership ,* Aegon and La Banque Postale have entered into exclusive talks to form a strategic asset management partnership in France,topStory
AEH,Aegon NV,20141218,BRIEF-Tsinghua Tongfang gets regulatory approval to acquire stake in Aegon-CNOOC Life ,* Says gets insurance regulator's approval to acquire 50 percent stake in Aegon-CNOOC Life Insurance,normal
AEK,Aegon NV,20141218,BRIEF-Aegon says in talks with La Banque Postale to form strategic asset management partnership ,* Aegon and La Banque Postale have entered into exclusive talks to form a strategic asset management partnership in France,topStory
AEK,Aegon NV,20141218,BRIEF-Tsinghua Tongfang gets regulatory approval to acquire stake in Aegon-CNOOC Life ,* Says gets insurance regulator's approval to acquire 50 percent stake in Aegon-CNOOC Life Insurance,normal
BABA,Alibaba Group Holding Limited,20141218,China's JD.com to sell Gap clothing  vying with Alibaba to woo Western brands ,BEIJING China's JD.com Inc  has partnered Gap Inc  to sell the U.S. clothing retailer's apparel online in China  as the Beijing-based e-commerce company goes head to head with Alibaba Group Holding Ltd  to woo big foreign fashion names.,topStory
BABA,Alibaba Group Holding Limited,20141218,China's JD.com to sell Gap clothing  vying with Alibaba to woo Western brands ,BEIJING  Dec 18 China's JD.com Inc has partnered Gap Inc to sell the U.S. clothing retailer's apparel online in China  as the Beijing-based e-commerce company goes head to head with Alibaba Group Holding Ltd to woo big foreign fashion names.,normal
ADM,Archer-Daniels-Midland Company,20141218,RPT-Olam's cocoa purchase raises supply  price volatility concerns ,NEW YORK  Dec 17 Olam's $1.3 billion deal to buy rival Archer Daniels Midland's cocoa processing business may reduce liquidity in the niche cocoa bean trade  raising concerns about volatile prices and a potential shake-up of customer relationships.,topStory
ADM,Archer-Daniels-Midland Company,20141218,Olam's cocoa purchase raises supply  price volatility concerns ,NEW YORK Olam's $1.3 billion deal to buy rival Archer Daniels Midland's cocoa processing business may reduce liquidity in the niche cocoa bean trade  raising concerns about volatile prices and a potential shake-up of customer relationships.,normal
AZN,Astrazeneca PLC,20141218,AstraZeneca first-in-class ovarian cancer drug wins EU approval ,LONDON AstraZeneca's all-important cancer drug business received a fillip on Thursday as a new medicine against ovarian cancer was approved in Europe  making it the first of its kind to reach the market.,topStory
AZN,Astrazeneca PLC,20141218,AstraZeneca first-in-class ovarian cancer drug wins EU approval ,LONDON  Dec 18 AstraZeneca's  all-important cancer drug business received a fillip on Thursday as a new medicine against ovarian cancer was approved in Europe  making it the first of its kind to reach the market.,normal
AZN,Astrazeneca PLC,20141218,BRIEF-Astrazeneca's Lynparza gets EU approval ,* Lynparza approved in European Union as first-in-class treatment for advanced BRCA-mutated ovarian cancer  Source text for Eikon:  Further company coverage:,normal
BK,Bank Of New York Mellon Corporation (The),20141218,MOVES- LEBC  Ernst & Young  Pimco  BNY Mellon  FTI Consulting ,Dec 18 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
ABX,Barrick Gold Corporation,20141218,UPDATE 2-Barrick to suspend operations at Zambian mine after royalty increase ,TORONTO  Dec 18 Barrick Gold Corp said on Thursday it would suspend operations at its Lumwana copper mine in Zambia following passage of legislation that raises the royalty rate on open-pit mining operations in the country to 20 percent from 6 percent.,topStory
ABX,Barrick Gold Corporation,20141218,Barrick to suspend operations at Zambian mine on tax increase ,TORONTO  Dec 18 Barrick Gold Corp said on Thursday it is initiating procedures to suspend operations at its Lumwana copper mine in Zambia  following the passage of legislation that raises the royalty rate on the country's open pit mining operations from six percent to 20 percent.,normal
BP,BP plc,20141218,BP faces heavy hit from former prized asset Rosneft ,* BP EPS could be cut to 5 cents due to first Rosneft loss,topStory
BRFS,BRF SA,20141218,Brazil's BRF approves share buyback of up to $376 mln ,SAO PAULO  Dec 18 The board of BRF SA   the world's largest poultry producer  approved on Thursday repurchases of up to 1 billion reais ($376 million) in outstanding shares in a bid to better reallocate the company's capital.,topStory
BRFS,BRF SA,20141218,Carrefour's Brazilian investor Diniz to remain chairman of BRF ,SAO PAULO  Dec 18 Brazilian businessman Abilio Diniz  who took a 10 percent stake in the Brazil unit of French retailer Carrefour  will remain chairman of food processor BRF SA and take a seat on the Carrefour board  he said on Thursday.,normal
CX,Cemex SAB de CV,20141218,Cemex to invest $35 mln to expand cement plant in Costa Rica ,MEXICO CITY  Dec 18 Mexico's Cemex  one of the world's biggest cement makers  said on Thursday that its subsidiary  Cemex Latam Holdings  will invest $35 million over 3 years to increase capacity at its plant in Colorado  Costa Rica.,topStory
CVX,Chevron Corporation,20141218,Chevron cancels Canadian Arctic drilling as oil prices slide ,CALGARY  Alberta Chevron Corp  is putting a plan to drill for oil in the Beaufort Sea in Canada's Arctic on hold indefinitely because of what it called "economic uncertainty in the industry" as oil prices fall. | Video ,topStory
CVX,Chevron Corporation,20141218,UPDATE 9-Oil tumbles after brief rebound; Brent back below $60 ,* Brent  U.S. crude fall over $2 a barrel after Wednesday rally,normal
SNP,China Petroleum & Chemical Corporation,20141218,UPDATE 1-China to loan Angola's Sonangol $2 bln for oil projects ,* Deal should help cement Beijing  Luanda ties   (Adds details  background),topStory
CEO,CNOOC Limited,20141218,BRIEF-Tsinghua Tongfang gets regulatory approval to acquire stake in Aegon-CNOOC Life ,* Says gets insurance regulator's approval to acquire 50 percent stake in Aegon-CNOOC Life Insurance,topStory
CL,Colgate-Palmolive Company,20141218,UPDATE 2-France fines household product firms $1.2 bln for price fixing ,PARIS  Dec 18 The French competition authority slapped fines worth 951 million euros ($1.2 billion) on household goods makers on Thursday over price fixing in supermarkets between 2003 and 2006.,normal
CAG,ConAgra Brands Inc,20141218,ConAgra says recovery in private-label business to take longer ,ConAgra Foods Inc  reported sales below market estimates due to weak demand for its branded products and said recovery in its private-label business would take longer than expected.,topStory
CAG,ConAgra Brands Inc,20141218,UPDATE 2-ConAgra says recovery in private-label business to take longer ,* Sees private-label profit recovery in year ending May 2016,normal
CAG,ConAgra Brands Inc,20141218,ConAgra Foods quarterly sales fall 2 percent ,Dec 18 ConAgra Foods Inc reported a 2 percent fall in quarterly net sales  due to weak demand for branded foods such as Hunt's ketchup and Bertolli pastas and frozen meals.,normal
CPA,Copa Holdings SA,20141218,CORRECTED-U.S. policy shift finally rewards Cuba-focused fund manager ,(Corrects figure in second paragraph to show that after a share offering completed December 4  the fund's market capitalization is $48 million  not $25.3 million.),normal
DE,Deere & Company,20141218,Deals of the day- Mergers and acquisitions ,(Adds BNP Paribas  One Equity  Deere  Aer Lingus  Grupo Bimbo  Roche; updates Alcatel Lucent),topStory
DB,Deutsche Bank AG,20141218,Deutsche Bank to review strategy and may sell Postbank network ,FRANKFURT Deutsche Bank AG  will review its strategy and profit targets next year and may sell its Postbank-branded  retail unit  in a major reversal as a hoped-for turnaround in profitability slips out of reach.,topStory
DB,Deutsche Bank AG,20141218,UPDATE 2-Deutsche Bank to review strategy and may sell Postbank network ,* Deutsche says irresponsible to speculate on sale of any unit   (Adds Qatar investor disappointment  updates shares),normal
DB,Deutsche Bank AG,20141218,Deutsche Bank says to review strategy in 2015 ,FRANKFURT  Dec 18 Deutsche Bank will review and update its strategy in 2015 as its current strategic plan comes to an end  Germany's largest bank said in a statement.,normal
DB,Deutsche Bank AG,20141218,Deutsche Bank mulls Postbank sale in strategy overhaul - magazine ,FRANKFURT  Dec 18 Deutsche Bank is considering strategic changes  which include the sale of its Postbank unit  due to disappointing group performance  Germany's Manager Magazin said on Thursday.,normal
DB,Deutsche Bank AG,20141218,Australia's New South Wales state to sell electricity network for $16 billion ,SYDNEY Australia's New South Wales state said it plans to raise $16 billion by selling just under half its electricity network  using proceeds from one of the country's biggest privatizations for major rail  road and other infrastructure upgrades.,normal
DEO,Diageo plc,20141218,Di Montezemolo returns to F1 board ,LONDON Former Ferrari chairman Luca Di Montezemolo is returning to the board of Formula One as a non-executive director along with former Diageo chief executive Paul Walsh  controlling shareholders CVC said on Thursday.,topStory
DEO,Diageo plc,20141218,Motor racing-Di Montezemolo returns to F1 board ,LONDON  Dec 18 Former Ferrari chairman Luca Di Montezemolo is returning to the board of Formula One as a non-executive director along with former Diageo chief executive Paul Walsh  controlling shareholders CVC said on Thursday.,normal
DEO,Diageo plc,20141218,Weak Thanksgiving to cap Diageo's U.S. sales growth ,LONDON Alcoholic drinks maker Diageo  forecast flat sales for the first half of its financial year in the United States  its biggest and most profitable market  after demand over Thanksgiving fell short of its hopes.,normal
DEO,Diageo plc,20141218,REFILE-UPDATE 1-Weak Thanksgiving to cap Diageo's U.S. sales growth ,LONDON  Dec 17 Alcoholic drinks maker Diageo  forecast flat sales for the first half of its financial year in the United States  its biggest and most profitable market  after demand over Thanksgiving fell short of its hopes.,normal
EC,Ecopetrol SA,20141218,Colombia's Trasandino oil pipeline shut by rebel bomb attack ,BOGOTA The Trasandino pipeline in southern Colombia was suspended on Wednesday after a bomb attack by leftist guerrillas that caused a significant oil spill on the damaged stretch  state-owned oil company Ecopetrol said.,topStory
ENB,Enbridge Inc,20141218,UPDATE 1-Enbridge optimistic Line 4 pipeline to restart Thursday ,(New throughout  adds trader comments  market reaction  details on differentials),topStory
ENB,Enbridge Inc,20141218,CORRECTED-National Energy Board monitoring Enbridge Regina oil spill cleanup ,(Corrects headline and text to clarify NEB staff is monitoring the company's response to the spill and not involved in cleaning),normal
XOM,Exxon Mobil Corporation,20141218,UPDATE 1-Exxon Mobil says hits more shale oil  gas in Argentine region ,BUENOS AIRES  Dec 18 U.S. energy major Exxon Mobil has struck shale oil and gas at a second well in Argentina's Neuquen province  the company said on Thursday  referring to a region that sits atop Vaca Muerta  one of the world's largest shale resources.,topStory
XOM,Exxon Mobil Corporation,20141218,Exxon Mobil says strikes more shale oil  gas again in Argentine region ,BUENOS AIRES  Dec 18 Exxon Mobil has struck non-conventional oil and gas at a second well in Argentina's Neuquen province  the company said on Thursday  referring to a region that sits atop Vaca Muerta  one of the world's largest shale resources.,normal
F,Ford Motor Company,20141218,Ford expands Takata driver-side air bag recall in U.S. ,DETROIT Ford Motor Co on Thursday expanded the recall of older-model Mustang cars that have driver-side Takata air bags with inflators  to include about 502 500 vehicles.,topStory
F,Ford Motor Company,20141218,UPDATE 1-Ford expands Takata driver-side air bag recall in U.S. ,(Adds expanded recall actions by other automakers in paragraph 4),normal
F,Ford Motor Company,20141218,Ford expands Takata driver-side airbag recall in U.S. ,DETROIT  Dec 18 Ford Motor Co on Thursday expanded the recall of older-model Mustang cars  that have driver-side Takata airbags with inflators  to include about 502 500 vehicles.,normal
F,Ford Motor Company,20141218,Ford shuts doors of Belgium's Genk plant ,GENK  Belgium Ford Motor Company  produced the last car at its plant in Genk  Belgium  on Thursday  closing the site which produced some 14 million vehicles over the past 50 years.,normal
F,Ford Motor Company,20141218,Ford shuts doors of Belgium's Genk plant ,GENK  Belgium  Dec 18 Ford Motor Company  produced the last car at its plant in Genk  Belgium  on Thursday  closing the site which produced some 14 million vehicles over the past 50 years.,normal
FCN,FTI Consulting Inc,20141218,MOVES- LEBC  Ernst & Young  Pimco  BNY Mellon  FTI Consulting ,Dec 18 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
GPS,Gap Inc (The),20141218,China's JD.com to sell Gap clothing  vying with Alibaba to woo Western brands ,BEIJING China's JD.com Inc  has partnered Gap Inc  to sell the U.S. clothing retailer's apparel online in China  as the Beijing-based e-commerce company goes head to head with Alibaba Group Holding Ltd  to woo big foreign fashion names.,topStory
GPS,Gap Inc (The),20141218,China's JD.com to sell Gap clothing  vying with Alibaba to woo Western brands ,BEIJING  Dec 18 China's JD.com Inc has partnered Gap Inc to sell the U.S. clothing retailer's apparel online in China  as the Beijing-based e-commerce company goes head to head with Alibaba Group Holding Ltd to woo big foreign fashion names.,normal
GEH,General Electric Capital Corporation,20141218,GE to launch breakdancing documentary for streaming devices ,U.S. industrial conglomerate General Electric Co plans to release its first feature film through video streaming devices like Roku and Apple TV in a marketing effort that raises the bar for sponsored content.,topStory
GEH,General Electric Capital Corporation,20141218,GE to launch breakdancing documentary for streaming devices ,Dec 18 U.S. industrial conglomerate General Electric Co plans to release its first feature film through video streaming devices like Roku and Apple TV in a marketing effort that raises the bar for sponsored content.,normal
GEK,General Electric Capital Corporation,20141218,GE to launch breakdancing documentary for streaming devices ,U.S. industrial conglomerate General Electric Co plans to release its first feature film through video streaming devices like Roku and Apple TV in a marketing effort that raises the bar for sponsored content.,topStory
GEK,General Electric Capital Corporation,20141218,GE to launch breakdancing documentary for streaming devices ,Dec 18 U.S. industrial conglomerate General Electric Co plans to release its first feature film through video streaming devices like Roku and Apple TV in a marketing effort that raises the bar for sponsored content.,normal
GE,General Electric Company,20141218,GE to launch breakdancing documentary for streaming devices ,U.S. industrial conglomerate General Electric Co plans to release its first feature film through video streaming devices like Roku and Apple TV in a marketing effort that raises the bar for sponsored content.,topStory
GE,General Electric Company,20141218,GE to launch breakdancing documentary for streaming devices ,Dec 18 U.S. industrial conglomerate General Electric Co plans to release its first feature film through video streaming devices like Roku and Apple TV in a marketing effort that raises the bar for sponsored content.,normal
GEB,General Electric Company,20141218,GE to launch breakdancing documentary for streaming devices ,U.S. industrial conglomerate General Electric Co plans to release its first feature film through video streaming devices like Roku and Apple TV in a marketing effort that raises the bar for sponsored content.,topStory
GEB,General Electric Company,20141218,GE to launch breakdancing documentary for streaming devices ,Dec 18 U.S. industrial conglomerate General Electric Co plans to release its first feature film through video streaming devices like Roku and Apple TV in a marketing effort that raises the bar for sponsored content.,normal
GM,General Motors Company,20141218,GM  JLR suspend car deliveries to Russian dealers ,HAMBURG/PARIS Carmakers including General Motors  and Jaguar Land Rover  have stopped delivering to Russian dealerships in response to the sharp slide in the value of the rouble.,topStory
GSK,GlaxoSmithKline PLC,20141218,UPDATE 1-New GSK shingles vaccine may challenge Merck after strong test data ,* GSK vaccine cuts risk of shingles by 97.2 pct in over 50s,topStory
GSK,GlaxoSmithKline PLC,20141218,GSK shareholders approve asset swap deal with Novartis ,LONDON  Dec 18 Shareholders in British drugmaker GlaxoSmithKline have approved a planned deal with Switzerland's Novartis  which will see the two pharmaceutical groups trade more than $20 billion of assets.,normal
GSK,GlaxoSmithKline PLC,20141218,GlaxoSmithKline shingles vaccine hits goal in major study ,LONDON  Dec 18 An experimental vaccine against shingles from GlaxoSmithKline met its goal in a late-stage study  in a boost for the company's vaccine unit  which is expanding part of its overall healthcare business.,normal
GS,Goldman Sachs Group Inc (The),20141218,Goldman's Weinberg shifts to firmwide client development role -memo ,NEW YORK  Dec 18 John S. Weinberg  whose family has been in the senior echelons of Goldman Sachs since the 1920s  is moving from his position overseeing the investment banking division to a firmwide client development role  the bank said on Thursday.,topStory
GS,Goldman Sachs Group Inc (The),20141218,Atlantia investor group Sintonia dissolves pact ,MILAN  Dec 18 Investors in Sintonia have agreed to dissolve a shareholder pact controlling 45.6 percent of Atlantia by end-June  taking direct control of their stakes in the Italian motorway and airport operator  Atlantia said on Thursday.,normal
ICE,Intercontinental Exchange Inc,20141218,UPDATE 1-Market Chatter-Corporate finance press digest ,Dec 18 The following corporate finance-related stories were reported by media:,topStory
IHG,Intercontinental Hotels Group,20141218,Hotelier IHG kicks off Chinese-focused Hualuxe roll-out ,LONDON  Dec 18 InterContinental Hotels Group  will open up to three of its new Hualuxe hotels in China in 2015  the first of a Chinese-specific brand it hopes to eventually roll out globally.,topStory
IBM,International Business Machines Corporation,20141218,U.S. judge says to likely vacate insider trading guilty pleas over IBM deal ,NEW YORK A U.S. judge said Thursday he would likely vacate the guilty pleas of four men accused of engaging in an insider trading scheme ahead of an IBM Corp deal  as fallout continued from an appellate ruling curtailing authorities' abilities to pursue such cases.,topStory
IBM,International Business Machines Corporation,20141218,U.S. judge says to likely vacate insider trading guilty pleas over IBM deal ,NEW YORK A U.S. judge said Thursday he would likely vacate the guilty pleas of four men accused of engaging in an insider trading scheme ahead of an IBM Corp deal  as fallout continued from an appellate ruling curtailing authorities' abilities to pursue such cases.,normal
IBM,International Business Machines Corporation,20141218,U.S. judge says to likely vacate insider trading guilty pleas over IBM deal ,NEW YORK  Dec 18 A U.S. judge said Thursday he would likely vacate the guilty pleas of four men accused of engaging in an insider trading scheme ahead of an IBM Corp  deal  as fallout continued from an appellate ruling curtailing authorities' abilities to pursue such cases.,normal
IBM,International Business Machines Corporation,20141218,IBM says cloud business enjoying 'breakthrough year' ,LONDON IBM aims to expand the number of data centers it offers clients around the world by 25 percent to meet fast-rising demand for internet-based services  after what a company executive said has been a "breakthrough year" in 2014 for its cloud computing business.,normal
IBM,International Business Machines Corporation,20141218,REFILE-IBM says cloud business enjoying "breakthrough year" ,LONDON  Dec 17 IBM aims to expand the number of data centres it offers clients around the world by 25 percent to meet fast-rising demand for internet-based services  after what a company executive said has been a "breakthrough year" in 2014 for its cloud computing business.,normal
