GOOG,Alphabet Inc,20141110,MEDIA-Google in race with Facebook  Microsoft for a slice of digital India - Economic Times ,- Note: Reuters has not verified this story and does not vouch for its accuracy,topStory
FEYE,FireEye Inc,20141110,UPDATE 2-Apple iOS bug makes devices vulnerable to attack -experts ,Nov 10 Researchers have warned that a bug in Apple Inc's iOS operating system makes most iPhones and iPads vulnerable to cyber attacks by hackers seeking access to sensitive data and control of their devices.,topStory
GILD,Gilead Sciences Inc,20141110,US STOCKS-Wall Street climbs to new highs; transports rally ,* Gilead climbs after Merck's hepatitis C drug trial results,topStory
GILD,Gilead Sciences Inc,20141110,US STOCKS-Wall Street climbs modestly after three-week run ,* Gilead climbs after Merck's hepatitis C drug trial results,normal
GILD,Gilead Sciences Inc,20141110,US STOCKS-Wall Street edges higher after three-week run ,* Gilead climbs after Merck's hepatitis C drug trial results,normal
GILD,Gilead Sciences Inc,20141110,US STOCKS-Wall Street little changed after three-week rally ,* Dow off 0.05 pct  S&P up 0.01 pct  Nasdaq off 0.08 pct   (Updates to market open),normal
GILD,Gilead Sciences Inc,20141110,US STOCKS-Wall Street set to open flat after three-week run ,* Futures up: Dow 17 pts  S&P 1.75 pts  Nasdaq 9.5 pts   (Adds quote  updates prices),normal
GILD,Gilead Sciences Inc,20141110,US STOCKS-Futures inch up after three-week rally; Alibaba active ,* Futures up: Dow 17 pts  S&P 2.5 pts  Nasdaq 10.25 pts   (Adds premarket movers),normal
GILD,Gilead Sciences Inc,20141110,RPT - INSIGHT-After hep C cure  companies target next big liver disease market ,NEW YORK  Nov 10 Now that new medicines promise to cure millions of hepatitis C patients in coming years  drugmakers including Gilead Sciences Inc are turning their attention to other liver diseases  with a potential market that could rival the success of statins  which generated more than $30 billion a year in sales at their peak.,normal
GILD,Gilead Sciences Inc,20141110,Merck 4-week hep C regimen with Gilead's Sovaldi comes up short ,Nov 9 An attempt by Merck & Co to shorten hepatitis C treatment to just four weeks by adding Gilead Sciences Inc's huge selling Sovaldi to its own oral two-drug combination came nowhere near the desired efficacy due to a high rate of relapses  according to interim data from a midstage study.,normal
GOGO,Gogo Inc,20141110,In-flight Wi-Fi provider Gogo posts bigger loss as expenses rise ,In-flight internet services provider Gogo Inc posted a bigger quarterly loss as it spent more on expanding its services  sending its shares down 7 percent in premarket trading.,topStory
GOGO,Gogo Inc,20141110,UPDATE 1-In-flight Wi-Fi provider Gogo posts bigger loss as expenses rise ,Nov 10 In-flight internet services provider Gogo Inc posted a bigger quarterly loss as it spent more on expanding its services  sending its shares down 7 percent in premarket trading.,normal
GPRO,GoPro Inc,20141110,GoPro launches $800 million offering  CEO to sell some shares ,Wearable camera maker GoPro Inc's chief executive  Nicholas Woodman  plans to sell a portion of his stake as part of an $800 million offering of the company's shares.,topStory
GPRO,GoPro Inc,20141110,GoPro launches $800 mln offering  CEO to sell some shares ,Nov 10 Wearable camera maker GoPro Inc  announced a follow-on offering of $800 million of Class A shares  with its chief executive saying he plans to sell a portion of his holdings in the company.,normal
MSFT,Microsoft Corporation,20141110,Geldof to fire up charity hit 30 years on to fight Ebola ,LONDON Musician and philanthropist Bob Geldof  who in 1984 inspired a host of rock stars to record a charity single for Africa  will raise money to combat Ebola with a new version of the song.,topStory
MITL,Mitel Networks Corporation,20141110,UPDATE 2-Mitel raises offer for ShoreTel to $574 mln ,Nov 10 Canadian telecommunications provider Mitel Networks Corp  raised its offer for smaller U.S. peer ShoreTel Inc  after ShoreTel did not accept its earlier offer.,topStory
MITL,Mitel Networks Corporation,20141110,Mitel raises offer for ShoreTel to $574 mln ,Nov 10 Canadian telecommunications provider Mitel Networks Corp  raised its offer for smaller U.S. peer ShoreTel Inc  after ShoreTel did not accept its earlier offer.,normal
SIRI,Sirius XM Holdings Inc,20141110,Sirius XM cannot force vehicle owners to arbitrate: U.S. court ,Sirius XM Holdings Inc cannot force owners of vehicles sold with trial subscriptions to its satellite radio service to arbitrate disputes  a federal appeals court decided on Monday  in a case involving alleged unsolicited sales calls.,topStory
SIRI,Sirius XM Holdings Inc,20141110,Sirius XM cannot force vehicle owners to arbitrate: U.S. court ,Sirius XM Holdings Inc cannot force owners of vehicles sold with trial subscriptions to its satellite radio service to arbitrate disputes  a federal appeals court decided on Monday  in a case involving alleged unsolicited sales calls.,normal
SIRI,Sirius XM Holdings Inc,20141110,Sirius XM cannot force vehicle owners to arbitrate- U.S. court ,Nov 10 Sirius XM Holdings Inc cannot force owners of vehicles sold with trial subscriptions to its satellite radio service to arbitrate disputes  a federal appeals court decided on Monday  in a case involving alleged unsolicited sales calls.,normal
SKYS,Sky Solar Holdings Ltd,20141110,UPDATE 1-Hong Kong's Sky Solar slashes IPO size to $48 mln ,Nov 10 Hong Kong-based Sky Solar Holdings Ltd  slashed the size of its IPO by two-thirds to $48 million  after postponing the offering last week.,topStory
BABA,Alibaba Group Holding Limited,20141110,Dow  S&P 500 end at record highs; transports jump ,NEW YORK The Dow and S&P 500 extended their run of record high closes for a fourth session on Monday  led by transportation and healthcare shares.,topStory
BABA,Alibaba Group Holding Limited,20141110,Alibaba shopping festival sells $2 billion in first one hour ,Alibaba Group Holding Ltd said about $2 billion worth of goods were sold on the e-commerce giant's websites within the first hour and 12 seconds of its annual shopping festival.,normal
BABA,Alibaba Group Holding Limited,20141110,Alibaba shopping festival sells $2 bln in first one hour ,Nov 10 Alibaba Group Holding Ltd said about $2 billion worth of goods were sold on the e-commerce giant's websites within the first hour and 12 seconds of its annual shopping festival.,normal
BABA,Alibaba Group Holding Limited,20141110,US STOCKS-Futures inch up after three-week rally; Alibaba active ,* Futures up: Dow 17 pts  S&P 2.5 pts  Nasdaq 10.25 pts   (Adds premarket movers),normal
AXP,American Express Company,20141110,Fitch Rates American Express' Preferred Share Issuance 'BBB-' ,(The following statement was released by the rating agency) NEW YORK  November 10 (Fitch) Fitch Ratings has assigned a rating of 'BBB-' to  the $750  million in preferred stock issued by American Express Company (AXP   rated 'A+/F1' by Fitch). This preferred issuance represents approximately 1% of  AXP's total risk-weighted assets at Sept. 30  2014. AXP had previously stated that it would issue preferred shares for Basel III  capital planning purposes. More specifically  the new Tier 1 ratio req,topStory
ADM,Archer-Daniels-Midland Company,20141110,CORRECTED-ADM's next CEO faces ethanol  global trade hurdles ,(In 10th paragraph of Nov. 6 story  corrects name to Aakash Doshi  not Aakosh; clarifies his forecast is for production capacity not actual production),topStory
T,AT&T Inc,20141110,AT&T scraps plans for in-flight high-speed internet service ,WASHINGTON AT&T Inc has scrapped its plans to launch high-speed Internet service on commercial flights in order to focus on international expansion and video offerings  the company said in a statement on Monday.,topStory
T,AT&T Inc,20141110,AT&T scraps plans for in-flight high-speed internet service ,WASHINGTON  Nov 10 AT&T Inc has scrapped its plans to launch high-speed Internet service on commercial flights in order to focus on international expansion and video offerings  the company said in a statement on Monday.,normal
T,AT&T Inc,20141110,Exclusive: Fullscreen to buy online video producer Rooster Teeth ,LOS ANGELES Media company Fullscreen has agreed to acquire Rooster Teeth  an 11-year-old online production studio based in Austin  Texas  that created the long-running video series "Red vs. Blue " executives of the companies told Reuters.,normal
T,AT&T Inc,20141110,Exclusive: Fullscreen to buy online video producer Rooster Teeth ,LOS ANGELES Media company Fullscreen has agreed to acquire Rooster Teeth  an 11-year-old online production studio based in Austin  Texas  that created the long-running video series "Red vs. Blue " executives of the companies told Reuters.,normal
BAC,Bank of America Corporation,20141110,MOVES-Former Bank of America healthcare banker joins Credit Suisse ,Nov 10 A former Bank of America banker who advises clients in the healthcare sector has joined Credit Suisse  according to an internal memo.,topStory
BAX,Baxter International Inc,20141110,BRIEF-Caverion provides building systems for Baxter in Austria ,* Entered into a contract with pharmaceutical group Baxter in framework of a consortium with Molin,topStory
BLK,BlackRock Inc,20141110,U.S. SEC denies BATS request to list 'non-transparent' ETFs ,NEW YORK  Nov 10 U.S. regulators rejected a proposal from BATS Global Markets that would allow it to list and trade actively managed exchange-traded funds that do not have to disclose their holdings on a daily basis.,normal
BP,BP plc,20141110,U.S. judge rejects BP bid to oust Gulf spill claims chief ,BP Plc has failed to persuade a federal judge to oust the administrator overseeing payouts to businesses and individuals claiming damages arising from the 2010 Gulf of Mexico oil spill.,topStory
BP,BP plc,20141110,U.S. judge rejects BP bid to oust Gulf spill claims chief ,Nov 10 BP Plc has failed to persuade a federal judge to oust the administrator overseeing payouts to businesses and individuals claiming damages arising from the 2010 Gulf of Mexico oil spill.,normal
BP,BP plc,20141110,BP CEO says committed to Rosneft investment  no sale plans ,ABU DHABI BP chief executive Robert Dudley said the oil major was committed to investments in Russia and had no plans to sell its stake in Rosneft despite Western sanctions against the country.,normal
BP,BP plc,20141110,BP chief says oil price drop will restrain industry's capex ,ABU DHABI The recent tumble of oil prices will create some discipline in the energy industry's capital spending  Robert Dudley  chief executive of oil giant BP  said on Monday.,normal
CRI,Carter&#39;s Inc,20141110,NJ hedge fund manager can't toss Carter's insider trading charges ,A New Jersey hedge fund founder has lost a bid to dismiss charges he illegally traded in shares of children's apparel maker Carter's Inc in a ruling that highlights the legal debate over what constitutes insider trading.,topStory
CRI,Carter&#39;s Inc,20141110,NJ hedge fund manager can't toss Carter's insider trading charges ,Nov 10 A New Jersey hedge fund founder has lost a bid to dismiss charges he illegally traded in shares of children's apparel maker Carter's Inc in a ruling that highlights the legal debate over what constitutes insider trading.,normal
CGG,CGG,20141110,Big Oil cutbacks deal supply-chain pain ,LONDON/PARIS  Nov 9 Belt-tightening by big energy majors faced with plunging oil prices is battering the finances and share prices of their suppliers  as investors reassess the sector's ability to keep gushing cash.,topStory
CVX,Chevron Corporation,20141110,Chevron says yet to finish Romanian shale gas assessment ,BUCHAREST U.S. energy major Chevron  has yet to complete an assessment of Romania's natural gas potential from shale  it said  one day after the country's prime minister expressed doubt about the existence of shale gas reserves there.,topStory
CVX,Chevron Corporation,20141110,UPDATE 1-Chevron says yet to finish Romanian shale gas assessment ,* Romania may have 51 trillion cubic feet of shale gas   (Adds quotes  detail),normal
CVX,Chevron Corporation,20141110,Chevron has yet to finish Romania shale gas assessment ,BUCHAREST  Nov 10 U.S. energy major Chevron  has yet to complete an assessment of Romania's natural gas potential from shale  it said  one day after the country's prime minister said "it looks like we fought very hard for something that we do not have.",normal
SNP,China Petroleum & Chemical Corporation,20141110,Sinopec Canada unit fined C$150 000 for pipeline spill ,CALGARY  Alberta  Nov 10 Sinopec Corp's  Canadian unit has agreed to pay a C$150 000 ($132 000) fine for spilling nearly 2 500 barrels of contaminated water into a northern Alberta creek in 2012  regulators in the Western Canadian province said on Monday.,topStory
CHU,China Unicom (Hong Kong) Ltd,20141110,UPDATE 2-Telefonica sells half of China Unicom stake for $854 mln ,* Telefonica is busy reorganising Latin American business   (Recasts with confirmation of sale  adds details),topStory
CHU,China Unicom (Hong Kong) Ltd,20141110,Spain's Telefonica sells 2.5 pct of China Unicom ,MADRID  Nov 10 Spanish telecoms giant Telefonica SA said on Monday it had sold a 2.5 percent stake in China Unicom (Hong Kong) Ltd in a block trade for about 687 million euros ($854 million).,normal
CHU,China Unicom (Hong Kong) Ltd,20141110,Telefonica seeks up to $875 mln by selling China Unicom stake -term sheet ,HONG KONG  Nov 10 Spanish telecoms giant Telefonica SA is seeking to raise $859 million to $875 million by selling a stake in China Unicom (Hong Kong) Ltd   according to a term sheet seen by Reuters on Monday.,normal
C,Citigroup Inc,20141110,U.S. judge says Citigroup can process Argentina's next bond payment ,NEW YORK A U.S. judge ruled on Monday that Citigroup Inc could process an $85 million interest payment by Argentina on bonds issued under its local laws following its 2002 default.,topStory
C,Citigroup Inc,20141110,UPDATE 1-U.S. judge says Citigroup can process Argentina's next bond payment ,(Updates with background on litigation  comment from Citi  quote from court-appointed mediator),normal
C,Citigroup Inc,20141110,U.S. judge says Citigroup can process Argentina's next bond payment ,NEW YORK  Nov 10 A U.S. judge ruled on Monday that Citigroup Inc could process an expected $85 million interest payment by Argentina on bonds issued under its local laws following its 2002 default.,normal
CCU,Compania Cervecerias Unidas SA,20141110,UPDATE 1-Chilean brewer CCU sets up joint venture in Colombia ,SANTIAGO  Nov 10 Chilean brewer and bottler CCU   said on Monday it entered into a joint-venture agreement with unlisted company Postobon  Colombia's biggest non-alcoholic distributor.,topStory
CCU,Compania Cervecerias Unidas SA,20141110,Chile's CCU says enters agreement to operate in Colombia ,SANTIAGO  Nov 10 Chilean brewer and bottler CCU  said on Monday it had entered into an agreement with Colombia's Postobon to operate in Colombia.,normal
CLR,Continental Resources Inc,20141110,UPDATE 3-Continental Resources CEO ordered to pay $995 mln in divorce ,Nov 10 Continental Resources Chief Executive Officer Harold Hamm has been ordered to pay nearly $1 billion to his ex-wife in one of the largest-ever U.S. divorce judgments  according to a court filing on Monday.,topStory
CLR,Continental Resources Inc,20141110,CORRECTED-UPDATE 1-Continental CEO Harold Hamm ordered to pay $995 million in divorce ,Nov 10 An Oklahoma County judge has ordered Continental Resources Chief Executive Officer Harold Hamm to pay nearly $1 billion in a divorce judgment  according to a court filing made public on Monday.,normal
CLR,Continental Resources Inc,20141110,Continental CEO Harold Hamm ordered to pay $995 million in divorce ,Nov 10 An Oklahoma County judge has ordered oil magnate and Continental Resources Chief Executive Officer Harold Hamm to pay nearly $1 billion in a divorce judgment  according to a court filing made public on Monday.,normal
DF,Dean Foods Company,20141110,Dean Foods expects profit helped by lower costs ,Dean Foods Co   the largest U.S. milk processor  forecast its first quarterly adjusted profit in a year  due to cost cuts and a steep fall in butterfat prices.,topStory
DF,Dean Foods Company,20141110,UPDATE 2-Dean Foods expects profit helped by lower costs ,* Shares rise as much as 15 pct   (Adds analyst comments  updates share move),normal
DF,Dean Foods Company,20141110,Dean Foods reports quarterly loss on higher milk prices ,Nov 10 Dean Foods Co  the largest U.S. milk processor     reported its fourth straight quarterly loss  hurt by higher milk prices.,normal
DLPH,Delphi Automotive plc,20141110,UPDATE 1-GM ordered new switches months before recall - WSJ ,NEW YORK  Nov 9 General Motors Co ordered half a million replacement ignition switches almost two months before it alerted federal safety regulators of the issues that prompted a recall of millions of vehicles  the Wall Street Journal reported  citing email exchanges between the automaker and its supplier Delphi Automotive Plc.,topStory
DB,Deutsche Bank AG,20141110,ON THE MOVE-Deutsche Asset & Wealth Management hires 3 bankers from Citi  Credit Suisse ,NEW YORK  Nov 10 Deutsche Bank AG's  Asset & Wealth Management division said on Monday it hired three private bankers away from rivals Citi Private Bank and Credit Suisse to join the firm's New York office.,topStory
DB,Deutsche Bank AG,20141110,MOVES- Deutsche Bank  Credit Suisse  Exotix Partners ,Nov 10 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
DB,Deutsche Bank AG,20141110,MOVES-Deutsche Bank appoints first chief data officer ,LONDON  Nov 10 (IFR) - Deutsche Bank has appointed JP Rangaswami as its first-ever chief data officer  a role that will involve standardising the firms's processes  tools and governance around information to support its digital strategy.,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20141110,Azul may cancel  delay Embraer orders on Brazil aviation change ,SAO PAULO  Nov 10 Brazil's third-biggest airline will cancel or postpone deliveries of Embraer regional jets if lawmakers do not drop a change in a new aviation law  the chief executive of Azul Linhas Aereas told Reuters on Monday.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20141110,UPDATE 1-Strike ends at main Embraer factory in Brazil ,SAO PAULO  Nov 10 Brazil's Embraer SA    the world's third-largest commercial planemaker  said on Monday that operations were returning to normal at its main factory in the state of Sao Paulo after workers ended a strike that lasted nearly five days.,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20141110,Strike ends at main Embraer factory in Brazil ,SAO PAULO  Nov 10 Brazil's Embraer SA    the world's third-largest commercial planemaker  said operations were returning to normal at its main factory in the state of Sao Paulo on Monday after workers ended a nearly five-day strike.,normal
FDX,FedEx Corporation,20141110,Teamsters step up union drive at FedEx Freight  Con-way ,CHICAGO After years of failed efforts  the Teamsters union has won a toehold in the trucking units of FedEx and Con-way and is targeting more facilities at both  potentially threatening what analysts see as a core competitive advantage for the companies.,topStory
FDX,FedEx Corporation,20141110,Teamsters step up union drive at FedEx Freight  Con-way ,CHICAGO  Nov 10 After years of failed efforts  the Teamsters union has won a toehold in the trucking units of FedEx and Con-way and is targeting more facilities at both  potentially threatening what analysts see as a core competitive advantage for the companies.,normal
GFA,Gafisa SA,20141110,Brazil builder Gafisa's Tenda sees cancellations down in 2015 ,SAO PAULO  Nov 10 Tenda  the low-income division of Brazilian homebuilder Gafisa SA  expects sales cancellations to decline in 2015 as it delivers fewer of the less-profitable projects started in years past  Tenda Chief Financial Officer Felipe Cohen said on Monday.,topStory
GEH,General Electric Capital Corporation,20141110,GE ties cash  margin goals to compensation of CEO Immelt ,General Electric Co Chief Executive Officer Jeff Immelt will personally profit if the U.S. conglomerate reaches certain cash and operating profit margin targets over the next three years.,topStory
GEH,General Electric Capital Corporation,20141110,GE ties cash  margin goals to compensation of CEO Immelt ,Nov 10 General Electric Co Chief Executive Officer Jeff Immelt will personally profit if the U.S. conglomerate reaches certain cash and operating profit margin targets over the next three years.,normal
GEK,General Electric Capital Corporation,20141110,GE ties cash  margin goals to compensation of CEO Immelt ,General Electric Co Chief Executive Officer Jeff Immelt will personally profit if the U.S. conglomerate reaches certain cash and operating profit margin targets over the next three years.,topStory
GEK,General Electric Capital Corporation,20141110,GE ties cash  margin goals to compensation of CEO Immelt ,Nov 10 General Electric Co Chief Executive Officer Jeff Immelt will personally profit if the U.S. conglomerate reaches certain cash and operating profit margin targets over the next three years.,normal
GE,General Electric Company,20141110,GE ties cash  margin goals to compensation of CEO Immelt ,General Electric Co Chief Executive Officer Jeff Immelt will personally profit if the U.S. conglomerate reaches certain cash and operating profit margin targets over the next three years.,topStory
GE,General Electric Company,20141110,GE ties cash  margin goals to compensation of CEO Immelt ,Nov 10 General Electric Co Chief Executive Officer Jeff Immelt will personally profit if the U.S. conglomerate reaches certain cash and operating profit margin targets over the next three years.,normal
GEB,General Electric Company,20141110,GE ties cash  margin goals to compensation of CEO Immelt ,General Electric Co Chief Executive Officer Jeff Immelt will personally profit if the U.S. conglomerate reaches certain cash and operating profit margin targets over the next three years.,topStory
GEB,General Electric Company,20141110,GE ties cash  margin goals to compensation of CEO Immelt ,Nov 10 General Electric Co Chief Executive Officer Jeff Immelt will personally profit if the U.S. conglomerate reaches certain cash and operating profit margin targets over the next three years.,normal
GM,General Motors Company,20141110,Six new death  injury claims approved by GM switch fund ,NEW YORK A program to compensate the victims of a faulty ignition switch in General Motors Co  vehicles found last week that the part was linked to two additional deaths and four injuries  bringing the total number of eligible claims to 67  according to a report on Monday.,topStory
GM,General Motors Company,20141110,UPDATE 1-Six new death  injury claims approved by GM switch fund ,NEW YORK  Nov 10 A program to compensate the victims of a faulty ignition switch in General Motors Co  vehicles found last week that the part was linked to two additional deaths and four injuries  bringing the total number of eligible claims to 67  according to a report on Monday.,normal
GM,General Motors Company,20141110,Six new death  injury claims approved by GM switch fund ,NEW YORK  Nov 10 A program to compensate the victims of a faulty ignition switch in General Motors Co  vehicles found last week that the part was linked to two additional deaths and four injuries  bringing the total number of eligible claims to 67  according to a report on Monday.,normal
GM,General Motors Company,20141110,GM ordered new switches months before recall: WSJ ,NEW YORK General Motors Co  ordered half a million replacement ignition switches almost two months before it alerted federal safety regulators of the issues that prompted a recall of millions of vehicles  the Wall Street Journal reported  citing email exchanges between the automaker and its supplier Delphi Automotive Plc .,normal
GM,General Motors Company,20141110,UPDATE 1-GM ordered new switches months before recall - WSJ ,NEW YORK  Nov 9 General Motors Co ordered half a million replacement ignition switches almost two months before it alerted federal safety regulators of the issues that prompted a recall of millions of vehicles  the Wall Street Journal reported  citing email exchanges between the automaker and its supplier Delphi Automotive Plc.,normal
GM,General Motors Company,20141110,General Motors ordered new switches months before recall -WSJ ,NEW YORK  Nov 9 General Motors Co had ordered a half-million new replacement ignition switches nearly two months before it told federal safety regulators about the safety issues which prompted a recall of millions of vehicles this year  The Wall Street Journal reported on Sunday.,normal
GS,Goldman Sachs Group Inc (The),20141110,KKR  Goldman Sachs sell up to $308 mln of shares in Germany's Kion ,LONDON  Nov 10 Superlift Holding  the Luxembourg-based holding company held jointly by Goldman Sachs Capital Partners and private equity fund KKR  is to sell 8 million shares in German forklift truck maker Kion Group in an accelerated bookbuild  Goldman Sachs said on Monday.,topStory
GHL,Greenhill & Co Inc,20141110,MOVES-Greenhill appoints Jacob Bier as senior adviser ,Nov 10 Greenhill & Co Inc named Jacob Bier as senior adviser to help in the expansion of the investment bank's client relationships in the Nordic region  especially Denmark.,topStory
HK,Halcon Resources Corporation,20141110,UPDATE 1-Halcon Resources slashes drilling rigs on oil price ,Nov 10 Oil and gas producer Halcon Resources Corp said on Monday it is cutting nearly half the rigs it originally planned to operate next year due to the more than 25 percent slide in crude oil prices.,topStory
HK,Halcon Resources Corporation,20141110,Halcon Resources slashes drilling rigs on oil price ,Nov 10 Oil and gas producer Halcon Resources Corp said on Monday it is cutting nearly half the rigs it originally planned to operate next year due to the more than 25 percent slide in crude oil prices.,normal
HES,Hess Corporation,20141110,UPDATE 2-Hess sees strong output growth even with low oil price ,Nov 10 Oil and gas producer Hess Corp  boosted its five-year production forecast on Monday  shrugging off the recent sharp drop in oil prices and touting development of shale formations and deepwater wells.,topStory
HES,Hess Corporation,20141110,Hess boosts 5-year oil production forecast ,Nov 10 Oil and gas producer Hess Corp  boosted its five-year production forecast on Monday  citing strength in output from North Dakota's Bakken shale formation and the Utica shale in Ohio.,normal
HMC,Honda Motor Company Ltd,20141110,Honda CEO says to prioritize quality over sales target ,TOKYO Honda Motor Co's CEO  said he would prioritize quality improvements over the company's target of selling 6 million cars in the year starting April 2016  as the automaker recalls millions of cars to fix potentially defective air bags.,topStory
HMC,Honda Motor Company Ltd,20141110,Honda CEO says to prioritise quality over sales target ,TOKYO  Nov 10 Honda Motor Co's CEO said he would prioritise quality improvements over the company's target of selling 6 million cars in the year starting April 2016  as the automaker recalls millions of cars to fix potentially defective air bags.,normal
HPQ,HP Inc,20141110,CORRECTED-UPDATE 1- Data analysis software maker Hortonworks files for IPO ,(Corrects paragraph 7 to show that the company's revenue was $33.4 million for the nine months ended Sept 30  not $2.2 billion for the six months ended June 30. Also  the company reported loss  not profit  for the current period.),normal
HPQ,HP Inc,20141110,China pays big to expand its clout along the new Silk Road ,CHONGQING China China  already at the center of world trade  plans to spend billions of dollars to revive intercontinental land routes and develop maritime links to expand commerce and give it more weight in a freight system dominated by European shipping lines.,normal
HPQ,HP Inc,20141110,China pays big to expand its clout along the new Silk Road ,CHONGQING  China  Nov 11 China  already at the centre of world trade  plans to spend billions of dollars to revive intercontinental land routes and develop maritime links to expand commerce and give it more weight in a freight system dominated by European shipping lines.,normal
IAG,Iamgold Corporation,20141110,UPDATE 1-Gold miner Iamgold to shrink executive ranks by nearly half ,Nov 10 Iamgold Corp said on Monday it is shrinking its executive team by 40 percent and taking other cost-cutting steps  as the mid-sized gold miner and its peers reel from a 40 percent slump in the price of bullion over the past three years.,topStory
IAG,Iamgold Corporation,20141110,Gold miner Iamgold to shrink executive ranks by nearly half ,Nov 10 Iamgold Corp  a gold miner hit by weaker bullion prices  said on Monday it is shrinking its executive team by 40 percent and taking other cost-cutting steps to improve its performance.,normal
JPM,J P Morgan Chase & Co,20141110,Wells Fargo lands JP Morgan broker team managing nearly $1 billion ,NEW YORK Wells Fargo Advisors  Wells Fargo & Co's brokerage unit  landed a three-person team from JP Morgan Private Bank where they managed $972 million in client assets and deposits.,topStory
JPM,J P Morgan Chase & Co,20141110,ON THE MOVE-Wells Fargo lands JP Morgan broker team managing nearly $1 bln ,NEW YORK  Nov 10 Wells Fargo Advisors  Wells Fargo & Co's brokerage unit  landed a three-person team from JP Morgan Private Bank where they managed $972 million in client assets and deposits.,normal
JNPR,Juniper Networks Inc,20141110,BRIEF-Juniper says leadership change has no effect on customer relationships ,SAN FRANCISCO  Nov 10 Juniper Networks Inc :  * New CEO says leadership change has no effect on any customer,topStory
JNPR,Juniper Networks Inc,20141110,Juniper CEO quits after board reviews customer negotiation ,Network gear maker Juniper Networks Inc said Chief Executive Shaygan Kheradpir resigned  following a board review of his conduct in a negotiation with a customer.,normal
JNPR,Juniper Networks Inc,20141110,UPDATE 1-Juniper CEO quits after board reviews customer negotiation ,Nov 10 Network gear maker Juniper Networks Inc  said Chief Executive Shaygan Kheradpir resigned  following a board review of his conduct in a negotiation with a customer.,normal
JNPR,Juniper Networks Inc,20141110,Juniper CEO Kheradpir resigns after differences with board ,Nov 10 Network gear maker Juniper Networks Inc  said Chief Executive Shaygan Kheradpir resigned  one year after he was hired from Barclays Plc to head the company.,normal
KKR,KKR & Co LP,20141110,Exclusive: KKR prepares more Samson asset sales as oil prices plunge - sources ,KKR & Co   which led the acquisition of oil and gas producer Samson Resources Corp for $7.2 billion in 2011 and has already sold almost half its acreage to cope with lower energy prices  plans to sell its North Dakota Bakken oil deposit worth less than $500 million as part of an ongoing downsizing plan  according to people familiar with the matter.,topStory
KKR,KKR & Co LP,20141110,Unit of Indian auto parts maker Amtek Auto raises $293 mln from KKR ,NEW DELHI  Nov 10 Amtek Global Technologies  a unit of auto parts maker Amtek Auto Ltd  has raised 235 million euros ($293 million) of long-term finance from global investment firm Kohlberg Kravis Roberts (KKR)  the two companies said in a statement on Monday.,normal
