AMZN,Amazoncom Inc,20140505,Ticketfly taps former Amazon exec for operating role ,SAN FRANCISCO  May 5 Ticketfly  which harnesses data analytics to promote events  hired a former Amazon executive to run day-to-day operations as the start-up adds more events to its roster and lays the groundwork to expand internationally.,topStory
AAPL,Apple Inc,20140505,Hon Hai in talks to buy 22 percent of Asia Pacific Telecom: report ,TAIPEI Hon Hai Precision Industry Co Ltd  which makes iPhones for Apple Inc  is in talks to buy 22 percent of compatriot mobile network provider Asia Pacific Telecom Co Ltd  local media reported citing unidentified sources.,normal
ATHN,athenahealth Inc,20140505,Einhorn's Greenlight shorts athenahealth  says at 'wrong price' ,NEW YORK Hedge fund manager David Einhorn said on Monday that athenahealth Inc is one of the companies in which his firm  Greenlight Capital  has taken a short position.,topStory
ATHN,athenahealth Inc,20140505,UPDATE 1-Einhorn's Greenlight shorts athenahealth  says at 'wrong price' ,NEW YORK  May 5 Hedge fund manager David Einhorn said on Monday that athenahealth Inc is one of the companies in which his firm  Greenlight Capital  has taken a short position.,normal
ATHN,athenahealth Inc,20140505,Einhorn's Greenlight Capital shorts Athenahealth ,NEW YORK Hedge fund manager David Einhorn  who recently warned that he is seeing a tech bubble developing  said on Monday that his Greenlight Capital is betting against Athenahealth Inc.,normal
ATHN,athenahealth Inc,20140505,Einhorn's Greenlight Capital shorts Athenahealth ,NEW YORK  May 5 Hedge fund manager David Einhorn  who recently warned that he is seeing a tech bubble developing  said on Monday that his Greenlight Capital is betting against Athenahealth Inc.,normal
AVGO,Broadcom Limited,20140505,BRIEF-Avago to join S&P 500 after buying LSI ,May 5   * S&P Dow jones indices says Avago Technologies Ltd to replace LSI,topStory
CMCSA,Comcast Corporation,20140505,RPT-Comcast to bring its X1 service to L.A.  New York within year of merger ,Los Angeles  May 4 Within a year after its $45 billion acquisition of Time Warner Cable Inc closes  Comcast Corp aims to make its advanced X1 cable service available in areas such as New York and Los Angeles and other markets where it will gain a commanding new presence.,topStory
ERIC,Ericsson,20140505,Update-Moody's downgrades Ericsson's ratings to Baa1; stable outlook ,For the full text of this story please click the following link:,topStory
ESRX,Express Scripts Holding Company,20140505,CORRECTED-UPDATE 2-Novo cuts sales forecast after U.S. contract losses ,(Corrects MAY 1 story to show Q1 sales growth 7 pct in local currencies  Novo Nordics' most valuable company),normal
GLPG,Galapagos NV,20140505,Scientists help Galapagos finches combat killer maggots ,WASHINGTON Which nest is best to eliminate a blood-sucking pest? Scientists seeking to help endangered Galapagos Islands birds survive a deadly parasitic threat put that question to the test.,topStory
GLRE,Greenlight Reinsurance Ltd,20140505,Einhorn's Greenlight shorts athenahealth  says at 'wrong price' ,NEW YORK Hedge fund manager David Einhorn said on Monday that athenahealth Inc is one of the companies in which his firm  Greenlight Capital  has taken a short position.,topStory
GLRE,Greenlight Reinsurance Ltd,20140505,UPDATE 1-Einhorn's Greenlight shorts athenahealth  says at 'wrong price' ,NEW YORK  May 5 Hedge fund manager David Einhorn said on Monday that athenahealth Inc is one of the companies in which his firm  Greenlight Capital  has taken a short position.,normal
GLRE,Greenlight Reinsurance Ltd,20140505,Einhorn's Greenlight Capital shorts Athenahealth ,NEW YORK Hedge fund manager David Einhorn  who recently warned that he is seeing a tech bubble developing  said on Monday that his Greenlight Capital is betting against Athenahealth Inc.,normal
GLRE,Greenlight Reinsurance Ltd,20140505,Einhorn's Greenlight Capital shorts Athenahealth ,NEW YORK  May 5 Hedge fund manager David Einhorn  who recently warned that he is seeing a tech bubble developing  said on Monday that his Greenlight Capital is betting against Athenahealth Inc.,normal
INTC,Intel Corporation,20140505,Workers exposed to chemical leak at Intel plant in Arizona ,PHOENIX A chemical leak at Intel Corp's manufacturing complex in Arizona has been contained and two workers were taken to hospital for observation  a spokesman for the chipmaker said on Monday.,topStory
INTC,Intel Corporation,20140505,UPDATE 2-Workers exposed to chemical leak at Intel plant in Arizona ,PHOENIX  May 5 A chemical leak at Intel Corp's  manufacturing complex in Arizona has been contained and two workers were taken to hospital for observation  a spokesman for the chipmaker said on Monday.,normal
INTC,Intel Corporation,20140505,Seven workers exposed in 'hazmat situation' at Intel plant in Arizona ,PHOENIX  May 5 Seven workers were exposed on Monday in a "hazmat situation" at an Intel manufacturing complex in Chandler  Arizona  authorities said.,normal
INTC,Intel Corporation,20140505,Intel hires Staples executive to shake up marketing ,SAN FRANCISCO Intel Corp has hired senior Staples executive Steven Fund to oversee its global marketing  a novel pick that the chipmaker hopes will improve its profile in an industry where laptops have become blasé compared to tablets and smartphones.,normal
INTC,Intel Corporation,20140505,UPDATE 1-Intel hires Staples executive to shake up marketing ,(Adds detail on hire  background on Intel marketing; byline),normal
INTC,Intel Corporation,20140505,Intel hires ex-Staples exec to head up marketing ,SAN FRANCISCO  May 5 Intel Corp has hired senior Staples executive Steven Fund to oversee its global marketing  a novel hire for the engineering-intensive company and one it hopes can change the way it positions products in a shrinking PC market.,normal
INTC,Intel Corporation,20140505,Intel submits plan for nearly $6 bln Israel chip plant upgrade ,JERUSALEM  May 5 Chip giant Intel Corp  submitted a plan to Israel's government to invest 20 billion shekels ($5.8 billion) in upgrading its plant in southern Israel  the Economy Ministry said on Monday.,normal
LBTYA,Liberty Global plc,20140505,RPT-Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK  May 5 Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,topStory
LBTYA,Liberty Global plc,20140505,Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,normal
LBTYA,Liberty Global plc,20140505,Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK  May 5 Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,normal
LBTYB,Liberty Global plc,20140505,RPT-Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK  May 5 Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,topStory
LBTYB,Liberty Global plc,20140505,Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,normal
LBTYB,Liberty Global plc,20140505,Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK  May 5 Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,normal
LBTYK,Liberty Global plc,20140505,RPT-Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK  May 5 Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,topStory
LBTYK,Liberty Global plc,20140505,Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,normal
LBTYK,Liberty Global plc,20140505,Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK  May 5 Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,normal
MSFT,Microsoft Corporation,20140505,UPDATE 1-TrueCar's IPO may value company at about $1 bln ,* To list on the Nasdaq under symbol "TRUE"   (Adds details),normal
NFLX,Netflix Inc,20140505,Netflix comedy 'Orange is the New Black' gets third season ,LOS ANGELES  May 5 Netflix Inc  confirmed on Monday its dark comedy "Orange Is the New Black" has been renewed for a third season after one of the show's stars announced the news on social media.,topStory
AGN,Allergan plc,20140505,Allergan shareholder Ackman warns against pursuing deals beyond Valeant ,Activist investor William Ackman  Allergan Inc's largest shareholder  has cautioned the company against pursuing any alternative deal that did not offer a better value than Valeant Pharmaceuticals International Inc's $47 billion bid.,topStory
AGN,Allergan plc,20140505,UPDATE 1-Allergan shareholder Ackman warns against pursuing deals beyond Valeant ,May 5 Activist investor William Ackman  Allergan Inc's largest shareholder  has cautioned the company against pursuing any alternative deal that did not offer a better value than Valeant Pharmaceuticals International Inc's  $47 billion bid.,normal
AGN,Allergan plc,20140505,RPT-Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK  May 5 Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,normal
AIG,American International Group Inc,20140505,US STOCKS-Wall St ends up as ISM data upbeat; Apple above $600 ,* Services sector grows in April  fastest pace in 8 months,topStory
AIG,American International Group Inc,20140505,AIG's income from premiums fall  shares down ,American International Group Inc  posted a 27 percent fall in quarterly income  hurt by a drop in earnings from premiums and higher disaster losses in its core property and casualty insurance business.,normal
AIG,American International Group Inc,20140505,UPDATE 1-AIG's income from premiums fall  shares down ,(Adds details  compares with estimates  updates share movement),normal
AIG,American International Group Inc,20140505,AIG profit falls 27 pct ,May 5 American International Group Inc  posted a 27 percent fall in quarterly profit on Monday  hurt by higher catastrophe losses at its core property and casualty insurance business.,normal
AEUA,Anadarko Petroleum Corporation,20140505,UPDATE 1-Anadarko posts loss on Tronox settlement  output up ,May 5 Anadarko Petroleum Corp reported a big quarterly loss on Monday  compared with a year-earlier profit  as a previously announced $5.15 billion settlement related to Tronox Ltd litigation hurt results.,topStory
AEUA,Anadarko Petroleum Corporation,20140505,Anadarko reports quarterly loss on Tronox settlement ,May 5 Anadarko Petroleum Corp on Monday reported a big quarterly loss compared with a year-ago profit as the U.S. oil and gas company paid a previously announced $5.15 billion settlement related to Tronox Ltd litigation.,normal
APC,Anadarko Petroleum Corporation,20140505,UPDATE 1-Anadarko posts loss on Tronox settlement  output up ,May 5 Anadarko Petroleum Corp reported a big quarterly loss on Monday  compared with a year-earlier profit  as a previously announced $5.15 billion settlement related to Tronox Ltd litigation hurt results.,topStory
APC,Anadarko Petroleum Corporation,20140505,Anadarko reports quarterly loss on Tronox settlement ,May 5 Anadarko Petroleum Corp on Monday reported a big quarterly loss compared with a year-ago profit as the U.S. oil and gas company paid a previously announced $5.15 billion settlement related to Tronox Ltd litigation.,normal
AHL,Aspen Insurance Holdings Limited,20140505,Deals of the day- Mergers and acquisitions ,(Adds Alsea  UniCredit  Qatar Airways  Staples  Pfizer  Endurance Specialty  Ascometal  updates Alstom),topStory
AHL,Aspen Insurance Holdings Limited,20140505,Insurer Endurance working on higher bid for Aspen: sources ,NEW YORK Endurance Specialty Holdings Ltd  is considering increasing its offer to acquire rival reinsurer Aspen Insurance Holdings Ltd  to around $50 per share  or roughly $3.26 billion  people familiar with the matter said.,normal
AHL,Aspen Insurance Holdings Limited,20140505,Insurer Endurance working on higher bid for Aspen -sources ,NEW YORK  May 5 Endurance Specialty Holdings Ltd  is considering increasing its offer to acquire rival reinsurer Aspen Insurance Holdings Ltd to around $50 per share  or roughly $3.26 billion  people familiar with the matter said.,normal
AZN,Astrazeneca PLC,20140505,Pfizer signals open to hostile option for AstraZeneca ,NEW YORK Pfizer Inc's top officials said on Monday they are weighing all strategies  including potential hostile maneuvers  in the company's effort to seal a $106 billion takeover of British drugmaker AstraZeneca Plc.,topStory
AZN,Astrazeneca PLC,20140505,Pfizer sales way off mark as company pursues AstraZeneca ,NEW YORK Pfizer Inc  reported quarterly revenue well below Wall Street expectations on falling sales of key brands and generic drugs  underscoring its interest in pursuing a $106 billion bid for rival AstraZeneca  to promote new business growth. | Video ,normal
AZN,Astrazeneca PLC,20140505,UPDATE 3-Pfizer sales way off mark as company pursues AstraZeneca ,NEW YORK  May 5 Pfizer Inc reported quarterly revenue well below Wall Street expectations on falling sales of key brands and generic drugs  underscoring its interest in pursuing a $106 billion bid for rival AstraZeneca to promote new business growth.,normal
AZN,Astrazeneca PLC,20140505,BRIEF-Pfizer days researchers would have "massive presence" in U.S. after Astra merger ,May 5 Pfizer Inc :  * CEO says company will remained "disciplined" as it pursues Astrazeneca,normal
AZN,Astrazeneca PLC,20140505,RPT-Pfizer expected to be patient in face of AstraZeneca rejection ,May 3 Pfizer Inc has already had its takeover overtures rebuffed three times by rival AstraZeneca Plc   but investors in the U.S. drugmaker say it can tolerate a little more rejection before going hostile with the deal.,normal
ALV,Autoliv Inc,20140505,BRIEF-Autoliv appoints Jan Carlson as chairman of board ,STOCKHOLM  May 5 Autoliv Inc :  * Appoints chairman of the board and lead independent director  * Says elected Jan Carlson to serve as its new chairman of the board ,topStory
BAC,Bank of America Corporation,20140505,Former Bank of America consumer banker joins Moelis ,A former Bank of America Corp  banker who advises clients in the food and beverage sector has joined boutique investment bank Moelis & Co  as it continues to beef up its consumer and retail team  Moelis said on Monday.,topStory
BBL,BHP Billiton plc,20140505,RPT-UPDATE 1-China's Baosteel  Aurizon offer $1 bln for Aquila Resources ,* Aquila says bid unsolicited  hires Goldman Sachs to advise,topStory
BA,Boeing Company (The),20140505,UPDATE 2-Boeing  backers to fight for funding for 22 Boeing jets ,ST. LOUIS  May 5 Boeing Co and its supporters on Monday vowed to fight for $2.1 billion in funding for 22 EA-18G electronic attack planes in fiscal 2015 to keep the plane's St. Louis production line running past 2016 and preserve 60 000 jobs around the country.,topStory
BA,Boeing Company (The),20140505,Boeing  backers to fight for funding for 22 Boeing jets ,ST. LOUIS Boeing Co  and its supporters on Monday vowed to fight for $2.1 billion in funding for 22 EA-18G electronic attack planes in fiscal 2015 to keep the plane's St. Louis production line running past 2016 and preserve 60 000 jobs around the country.,normal
BA,Boeing Company (The),20140505,Boeing sees contract soon for 47 more F/A-18  EA-18G fighters ,ST. LOUIS Boeing Co  has reached agreement with the U.S. Navy on a multibillion-dollar contract for 47 more F/A-18 fighter jets and EA-18G electronic attack planes funded in fiscal years 2013 and 2014  and is "very close" to signing a contract  a top company executive said Monday.,normal
BA,Boeing Company (The),20140505,Boeing sees contract soon for 47 more F/A-18  EA-18G fighters ,ST. LOUIS  May 5 Boeing Co has reached agreement with the U.S. Navy on a multibillion-dollar contract for 47 more F/A-18 fighter jets and EA-18G electronic attack planes funded in fiscal years 2013 and 2014  and is "very close" to signing a contract  a top company executive said Monday.,normal
BA,Boeing Company (The),20140505,UPDATE 1-Governments pledge won't give up search for Malaysia Airlines jet ,* Australia  Malaysia  China meet to hammer out next steps  costs,normal
CNI,Canadian National Railway Company,20140505,UPDATE 1-Grain handler Louis Dreyfus files complaint against CN Rail ,May 5 The Canadian unit of global grain trader Louis Dreyfus Corp has filed a complaint with the Canadian government about service from the country's biggest railway  Canadian National Railway Co  following a record-breaking harvest that has led to transportation bottlenecks.,topStory
CNI,Canadian National Railway Company,20140505,Grain handler Louis Dreyfus files complaint against CN Rail ,May 5 The Canadian unit of global grain trader Louis Dreyfus Corp has complained to the Canadian government about service from the country's biggest railway  Canadian National Railway Co  following a record-breaking harvest that has led to transportation bottlenecks.,normal
CHK,Chesapeake Energy Corporation,20140505,Encana settles Michigan antitrust case  Chesapeake fights on ,CHEBOYGAN  Michigan Natural gas producer Encana Corp on Monday agreed to pay Michigan $5 million in a civil settlement that could clear the company of criminal antitrust charges stemming from its role in a 2010 land leasing spree.,topStory
CHK,Chesapeake Energy Corporation,20140505,UPDATE 2-Encana settles Michigan antitrust case  Chesapeake fights on ,(Adds details and comment from hearing  context on criminal charges),normal
CHK,Chesapeake Energy Corporation,20140505,REFILE-UPDATE 1-Encana settles Michigan antitrust case  Chesapeake fights on ,Cheboygan  Michigan  May 5 Natural gas giant Encana Corp  has agreed to pay Michigan $5 million in a settlement that could clear the company of criminal antitrust charges stemming from its role in a 2010 land leasing spree.,normal
CHK,Chesapeake Energy Corporation,20140505,Chesapeake  Encana face state criminal antitrust hearing in Michigan ,May 5 Michigan state prosecutors plan to call a former Encana Corp.  executive to testify on behalf of the state  at a multi-day hearing in their criminal antitrust case against oil and gas companies Chesapeake Energy Corp.  and Encana Corp. that begins Monday.,normal
C,Citigroup Inc,20140505,UPDATE 3-Recaro eyes assets as B/E Aerospace explores sale ,(Adds details on possible bidders  share price and comment from minority shareholder),normal
CNO,CNO Financial Group Inc,20140505,Fitch Upgrades CNO Financial's Debt Ratings & Affirms IFS; Outlook Positive ,(The following statement was released by the rating agency) CHICAGO  May 05 (Fitch) Fitch Ratings has upgraded CNO Financial Group Inc.'s  (CNO Financial) Issuer Default Rating (IDR) to 'BB+' from 'BB' and all its  securities by one-notch. Fitch has affirmed the Insurer Financial Strength (IFS)  ratings of CNO's core insurance subsidiaries at 'BBB'. The Rating Outlook is  Positive for all ratings.  Concurrently  Fitch has maintained the 'BB+' IFS on Rating Watch Positive for  Conseco Life Insura,topStory
KO,Coca-Cola Company (The),20140505,Coke to remove controversial chemical from Fanta  other drinks ,NEW YORK The Coca-Cola Company said on Monday it will remove a controversial flavoring stabilizer from some of its drinks  following rival PepsiCo Inc's announcement earlier this year that it would drop the same ingredient from its drinks.,topStory
KO,Coca-Cola Company (The),20140505,Coke to remove controversial chemical from Fanta  other drinks ,NEW YORK  May 5 The Coca-Cola Company  said on Monday it will remove a controversial flavoring stabilizer from some of its drinks  following rival PepsiCo Inc's announcement earlier this year that it would drop the same ingredient from its drinks.,normal
KO,Coca-Cola Company (The),20140505,Buffett says Congress may look at tax-driven mergers: CNBC ,NEW YORK Berkshire Hathaway Inc Chairman and Chief Executive Officer Warren Buffett said on Monday that tax-driven mergers could attract the attention of Congress and would cause a "fight" in corporate America.,normal
KO,Coca-Cola Company (The),20140505,Berkshire's Buffett says has 'no desire' to war with Coca-Cola -CNBC ,NEW YORK  May 5 Berkshire Hathaway Inc  Chairman and Chief Executive Officer Warren Buffett said on Monday he had no desire to "go to war" with Coca-Cola Co  and that U.S. companies were doing well under the current tax code.,normal
DB,Deutsche Bank AG,20140505,MOVES- Aquiline Capital  RBC Capital ,May 5 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
ECA,Encana Corporation,20140505,Encana settles Michigan antitrust case  Chesapeake fights on ,CHEBOYGAN  Michigan Natural gas producer Encana Corp on Monday agreed to pay Michigan $5 million in a civil settlement that could clear the company of criminal antitrust charges stemming from its role in a 2010 land leasing spree.,topStory
ECA,Encana Corporation,20140505,UPDATE 2-Encana settles Michigan antitrust case  Chesapeake fights on ,(Adds details and comment from hearing  context on criminal charges),normal
ECA,Encana Corporation,20140505,REFILE-UPDATE 1-Encana settles Michigan antitrust case  Chesapeake fights on ,Cheboygan  Michigan  May 5 Natural gas giant Encana Corp  has agreed to pay Michigan $5 million in a settlement that could clear the company of criminal antitrust charges stemming from its role in a 2010 land leasing spree.,normal
ECA,Encana Corporation,20140505,Encana to pay $5 million civil fine in Michigan antitrust case ,Cheboygan  Michigan  May 5 Lawyers for Encana Corp pleaded no contest on Monday to charges the company attempted to commit antitrust violations in Michigan during 2010 and agreed to pay a $5 million civil fine at a court hearing.,normal
ECA,Encana Corporation,20140505,Chesapeake  Encana face state criminal antitrust hearing in Michigan ,May 5 Michigan state prosecutors plan to call a former Encana Corp.  executive to testify on behalf of the state  at a multi-day hearing in their criminal antitrust case against oil and gas companies Chesapeake Energy Corp.  and Encana Corp. that begins Monday.,normal
EOG,EOG Resources Inc,20140505,UPDATE 1-EOG Resources quarterly profit  production up ,HOUSTON  May 5 EOG Resources Inc on Monday reported a 34 percent increase in quarterly profit that topped Wall Street expectations as the oil and gas company pumped higher volumes of crude from shale fields in Texas and North Dakota.,topStory
F,Ford Motor Company,20140505,Ford recalls about 4 000 Super Duty F-Series trucks for transmission issue ,DETROIT Ford Motor Co is recalling almost 4 000 commercial versions of its F-Series full-size pickup truck  mostly in the United States  because they could slip into reverse and increase the risk of a crash  according to documents filed with U.S. safety regulators.,topStory
F,Ford Motor Company,20140505,Ford recalls about 4 000 Super Duty F-Series trucks for transmission issue ,DETROIT  May 5 Ford Motor Co is recalling almost 4 000 commercial versions of its F-Series full-size pickup truck  mostly in the United States  because they could slip into reverse and increase the risk of a crash  according to documents filed with U.S. safety regulators.,normal
GEK,General Electric Capital Corporation,20140505,France opposes current GE offer for Alstom assets ,PARIS The French government rejected General Electric's current bid for Alstom's energy assets on Monday  but opened the door for a deal that would also combine the two companies' rail businesses.,topStory
GEK,General Electric Capital Corporation,20140505,UPDATE 2-France opposes current GE offer for Alstom assets ,* Govt says combination of GE  Alstom rail ops "desirable",normal
GEK,General Electric Capital Corporation,20140505,France cannot back GE's current offer for Alstom assets- min ,PARIS  May 5 The French government cannot give its backing to General Electric's bid for Alstom's energy assets in its current form  the industry ministry said in a letter to GE CEO Jeff Immelt on Monday.,normal
GEK,General Electric Capital Corporation,20140505,RPT-Alstom battle to upstage Siemens chief's grand strategy launch ,* Culture clash  competition issues cloud Siemens-Alstom tie-up,normal
GEK,General Electric Capital Corporation,20140505,GE makes $389 mln share tender offer for Alstom's India units ,NEW DELHI  May 5 General Electric Co on Monday made tender offers to buy shares worth up to $389 million in two of Alstom SA's India units to comply with local rules  following its $16.9 billion bid to buy the French group's energy unit.,normal
GE,General Electric Company,20140505,France opposes current GE offer for Alstom assets ,PARIS The French government rejected General Electric's current bid for Alstom's energy assets on Monday  but opened the door for a deal that would also combine the two companies' rail businesses.,topStory
GE,General Electric Company,20140505,UPDATE 2-France opposes current GE offer for Alstom assets ,* Govt says combination of GE  Alstom rail ops "desirable",normal
GE,General Electric Company,20140505,France cannot back GE's current offer for Alstom assets- min ,PARIS  May 5 The French government cannot give its backing to General Electric's bid for Alstom's energy assets in its current form  the industry ministry said in a letter to GE CEO Jeff Immelt on Monday.,normal
GE,General Electric Company,20140505,RPT-Alstom battle to upstage Siemens chief's grand strategy launch ,* Culture clash  competition issues cloud Siemens-Alstom tie-up,normal
GE,General Electric Company,20140505,GE makes $389 mln share tender offer for Alstom's India units ,NEW DELHI  May 5 General Electric Co on Monday made tender offers to buy shares worth up to $389 million in two of Alstom SA's India units to comply with local rules  following its $16.9 billion bid to buy the French group's energy unit.,normal
GM,General Motors Company,20140505,Another GM engineer linked to defective ignition switch retires ,DETROIT A General Motors Co engineer who oversaw an internal investigation of the defective ignition switch linked to at least 13 deaths retired on Monday.,topStory
GM,General Motors Company,20140505,UPDATE 1-Another GM engineer linked to defective ignition switch retires ,DETROIT  May 5 A General Motors Co  engineer who oversaw an internal investigation of the defective ignition switch linked to at least 13 deaths retired on Monday.,normal
GM,General Motors Company,20140505,Another GM engineer linked to defective ignition switch retires ,DETROIT  May 5 A General Motors Co  engineer who oversaw an internal investigation of the defective ignition switch linked to at least 13 deaths retired on Monday.,normal
GG,Goldcorp Inc,20140505,UPDATE 1-Goldcorp resumes operations at Los Filos mine in Mexico ,May 5 Goldcorp Inc  has resumed operations at its Los Filos mine in Mexico after reaching a new five-year occupancy agreement with local landowners  the company said on Monday.,topStory
GG,Goldcorp Inc,20140505,Goldcorp resumes operations at Los Filos mine in Mexico ,May 5 Goldcorp Inc  has resumed operations at its Los Filos mine in Mexico after reaching a new five-year occupancy agreement with local landowners  the company said on Monday.,normal
HAL,Halliburton Company,20140505,Indonesia restricts foreign investment in oil services industry ,* Halliburton  McDermott  China Oilfield among firms operating in country,topStory
HMC,Honda Motor Company Ltd,20140505,Honda recalls more than 31 000 cars in India for check on brake part ,MUMBAI  May 5 Honda Motor Co's Indian unit is recalling 31 226 "Brio" hatchback and "Amaze" compact cars to check for a possible fault in the brake system.,topStory
IBM,International Business Machines Corporation,20140505,Shareholder ends lawsuit against IBM over China risks  NSA scandal ,NEW YORK An IBM Corp shareholder has voluntarily ended a lawsuit accusing the company of concealing how its cooperation with a National Security Agency spying program cost it business in China and led to a nearly $13 billion plunge in the company's market value.,topStory
IBM,International Business Machines Corporation,20140505,Shareholder ends lawsuit against IBM over China risks  NSA scandal ,NEW YORK  May 5 An IBM Corp shareholder has voluntarily ended a lawsuit accusing the company of concealing how its cooperation with a National Security Agency spying program cost it business in China and led to a nearly $13 billion plunge in the company's market value.,normal
ITUB,Itau Unibanco Banco Holding SA,20140505,Itau tops Petrobras in Brazil stock index weightings ,SAO PAULO  May 5 Shares of Brazil's largest non-government bank  Itau Unibanco Holding SA now carry the heaviest weighting on the benchmark Bovespa stock index  topping state-run oil producer Petroleo Brasileiro SA  exchange operator BM&FBovespa SA  said on Monday.,topStory
JPM,J P Morgan Chase & Co,20140505,JPMorgan $280 million mortgage accord gets preliminary court approval ,NEW YORK JPMorgan Chase & Co  has won preliminary approval from a U.S. judge for its agreement to pay $280 million to resolve claims that it misled investors in billions of dollars worth of mortgage-backed securities.,topStory
