ATVI,Activision Blizzard Inc,20141119,Activision settles investor suit for record $275 mln ,Nov 19 Videogame maker Activision Blizzard reached a record $275 million settlement over a lawsuit by a shareholder who opposed the company's 2013 deal to acquire its stock that was held by Vivendi SA.,topStory
CZR,Caesars Entertainment Corporation,20141119,PHILIPPINES PRESS-Caesars Entertainment to pursue Philippine venture - BusinessWorld ,American casino operator Caesars Entertainment Corp said it still has the financial muscle to pursue its plan of putting up a casino in the Philippines  even as its largest unit teeters on the edge of bankruptcy  the BusinessWorld newspaper reported  citing a company official. (http://bit.ly/1p0jB2K),topStory
DLTR,Dollar Tree Inc,20141119,UPDATE 1-Dollar General  Family Dollar still in talks with FTC ,Nov 19 Dollar General Corp said it is in talks with the U.S. Federal Trade Commission (FTC) over the number of stores it will have to sell to receive approval for an acquisition of Family Dollar Inc.,topStory
DLTR,Dollar Tree Inc,20141119,What to Watch in the Day Ahead - Thursday  Nov. 20 ,(The Day Ahead is an email and PDF publication that includes the day's major stories and events  analyses and other features. To receive The Day Ahead  Eikon users can register at . Thomson One users can register at RT/DAY/US. All times in ET/GMT)   Apparel retailer Gap Inc reports third-quarter results. The company estimated revenue below analysts' expectations  citing weak October sales at its Gap and Banana Republic brands. Analysts expect the company to have a good holiday quarter given the ,normal
DRYS,DryShips Inc,20141119,BRIEF-Ocean Rig announces signing of loan agreement with Dryships ,* Says $120 million loan to its majority shareholder DryShips Inc. was approved by a special committee of Board of Directors,topStory
EBAY,eBay Inc,20141119,Ebay founder Omidyar commits $50 million to combating global slavery ,LONDON Ebay founder Pierre Omidyar and his wife are to donate an extra $50 million to tackling slavery worldwide  the chief executive of their US-based foundation Humanity United said on Wednesday.,topStory
EBAYL,eBay Inc,20141119,Ebay founder Omidyar commits $50 million to combating global slavery ,LONDON Ebay founder Pierre Omidyar and his wife are to donate an extra $50 million to tackling slavery worldwide  the chief executive of their US-based foundation Humanity United said on Wednesday.,topStory
ENPH,Enphase Energy Inc,20141119,BRIEF-SolarWorld enters strategic partnership with Enphase Energy ,* Says SolarWorld AG and Enphase Energy enter strategic partnership,topStory
ILMN,Illumina Inc,20141119,Illumina teams with U.S. government  researchers to sequence Ebola ,CHICAGO Gene sequencing equipment maker Illumina has teamed up with the U.S. government and academic researchers at the Broad Institute in Boston to train scientists in West Africa to improve tracking of how the Ebola virus is mutating in hopes of fighting it more effectively.,topStory
ILMN,Illumina Inc,20141119,Illumina teams with U.S. government  researchers to sequence Ebola ,CHICAGO  Nov 19 Gene sequencing equipment maker Illumina has teamed up with the U.S. government and academic researchers at the Broad Institute in Boston to train scientists in West Africa to improve tracking of how the Ebola virus is mutating in hopes of fighting it more effectively.,normal
JBLU,JetBlue Airways Corporation,20141119,US STOCKS-Wall St slips from record; focus shifts to Fed ,* Goldman sees Fed raising rates faster than market expectations,topStory
JBLU,JetBlue Airways Corporation,20141119,JetBlue to charge for checked bags in new airfare fare class ,JetBlue Airways announced Wednesday that it will charge certain customers for their first checked bag  yielding to pressure from analysts who criticized the airline for not adding fees in step with other carriers.,normal
JBLU,JetBlue Airways Corporation,20141119,JetBlue to charge for checked bags in new airfare fare class ,Nov 19 JetBlue Airways announced Wednesday that it will charge certain customers for their first checked bag  yielding to pressure from analysts who criticized the airline for not adding fees in step with other carriers.,normal
LJPC,La Jolla Pharmaceutical Company,20141119,Finland's Jolla plans crowd-funded tablet ,HELSINKI Finland's Jolla  a group of ex-Nokia software developers  announced a plan to launch a crowd-sourced tablet computer just a day after Nokia said it was reviving its consumer brand by entering the tablet market.,topStory
LJPC,La Jolla Pharmaceutical Company,20141119,Finland's Jolla plans crowd-funded tablet ,HELSINKI  Nov 19 Finland's Jolla  a group of ex-Nokia software developers  announced a plan to launch a crowd-sourced tablet computer just a day after Nokia  said it was reviving its consumer brand by entering the tablet market.,normal
LBTYA,Liberty Global plc,20141119,BRIEF-Liberty Global to own Ziggo after statutory squeeze-out ,* Liberty global exceeds 95 pct of ordinary Ziggo shares and will commence statutory squeeze-out,topStory
LBTYB,Liberty Global plc,20141119,BRIEF-Liberty Global to own Ziggo after statutory squeeze-out ,* Liberty global exceeds 95 pct of ordinary Ziggo shares and will commence statutory squeeze-out,topStory
LBTYK,Liberty Global plc,20141119,BRIEF-Liberty Global to own Ziggo after statutory squeeze-out ,* Liberty global exceeds 95 pct of ordinary Ziggo shares and will commence statutory squeeze-out,topStory
LILA,Liberty Global plc,20141119,BRIEF-Liberty Global to own Ziggo after statutory squeeze-out ,* Liberty global exceeds 95 pct of ordinary Ziggo shares and will commence statutory squeeze-out,topStory
LILAK,Liberty Global plc,20141119,BRIEF-Liberty Global to own Ziggo after statutory squeeze-out ,* Liberty global exceeds 95 pct of ordinary Ziggo shares and will commence statutory squeeze-out,topStory
MSFT,Microsoft Corporation,20141119,Microsoft cloud service partially down  MSN unavailable ,SEATTLE Microsoft Corp's Azure cloud-computing service  which hosts websites and lets customers store and manage data remotely  suffered serious outages on Tuesday taking its popular MSN web portal offline.,topStory
MSFT,Microsoft Corporation,20141119,Microsoft cloud service partially down  MSN unavailable ,SEATTLE  Nov 18 Microsoft Corp's Azure cloud-computing service  which hosts websites and lets customers store and manage data remotely  suffered serious outages on Tuesday taking its popular MSN web portal offline.,normal
NFLX,Netflix Inc,20141119,NBC  Netflix cancel Bill Cosby's shows after sex assault claims ,LOS ANGELES NBC said on Wednesday it has canceled an upcoming project with veteran comedian Bill Cosby  his second show to be pulled after accusations that he sexually assaulted women resurfaced in recent weeks. | Video ,topStory
NFLX,Netflix Inc,20141119,UPDATE 3-NBC  Netflix cancel Bill Cosby's shows after sex assault claims ,LOS ANGELES  Nov 19 NBC said on Wednesday it has canceled an upcoming project with veteran comedian Bill Cosby  his second show to be pulled after accusations that he sexually assaulted women resurfaced in recent weeks.,normal
NFLX,Netflix Inc,20141119,US STOCKS SNAPSHOT-Wall St ends flat  Netflix weighs on Nasdaq ,NEW YORK  Nov 19 U.S. stocks ended little changed on Wednesday as minutes from the recent Federal Reserve meeting gave investors few new clues as to when U.S. interest rates may rise.,normal
NFLX,Netflix Inc,20141119,ProSiebenSat.1 says could sell a stake in Maxdome streaming service ,BARCELONA German broadcaster ProSiebenSat.1  does not rule out a partnership for its fast-growing online video streaming service Maxdome  which competes with Amazon and Netflix in the nascent market  a senior executive at the firm said on Wednesday.,normal
NFLX,Netflix Inc,20141119,ProSiebenSat.1 says could sell a stake in Maxdome streaming service ,BARCELONA  Nov 19 German broadcaster ProSiebenSat.1 does not rule out a partnership for its fast-growing online video streaming service Maxdome  which competes with Amazon and Netflix in the nascent market  a senior executive at the firm said on Wednesday.,normal
NFLX,Netflix Inc,20141119,Netflix postpones Bill Cosby's stand-up comedy special ,Nov 18 Online movie streaming giant Netflix  is postponing the launch of embattled comedian Bill Cosby's stand-up comedy special "Bill Cosby 77 " the company said on Tuesday  amid  accusations that he sexually assaulted women.,normal
NFLX,Netflix Inc,20141119,Netflix to launch in Australia  New Zealand in March ,SYDNEY Online movie streaming giant Netflix Inc said it will launch its service in Australia and New Zealand in March  fuelling pricing pressure on domestic broadcasters and media firms already fighting hard for home entertainment viewers.,normal
NFLX,Netflix Inc,20141119,UPDATE 1-Netflix to launch in Australia  New Zealand in March ,* Fairfax  Nine planning competing service   (Recasts with new dateline  context  analyst comment),normal
QCOM,QUALCOMM Incorporated,20141119,Qualcomm CEO more cautious on future revenue growth ,SAN FRANCISCO Mobile chipmaker Qualcomm Inc on Wednesday gave a more conservative five-year outlook than in the past as it faces an antitrust probe in China and consumers there and in other developing countries buy lower-priced smartphones.,topStory
QCOM,QUALCOMM Incorporated,20141119,UPDATE 1-Qualcomm CEO more cautious on future revenue growth ,SAN FRANCISCO  Nov 19 Mobile chipmaker Qualcomm Inc on Wednesday gave a more conservative five-year outlook than in the past as it faces an antitrust probe in China and consumers there and in other developing countries buy lower-priced smartphones.,normal
QCOM,QUALCOMM Incorporated,20141119,Qualcomm CEO more cautious on future revenue growth ,SAN FRANCISCO Mobile chipmaker Qualcomm Inc gave a more conservative five-year outlook than in the past as it faces an antitrust probe in China and more consumers there and in other developing countries buy lower-priced smartphones.,normal
QCOM,QUALCOMM Incorporated,20141119,Qualcomm CEO more cautious on future revenue growth ,SAN FRANCISCO  Nov 19 Mobile chipmaker Qualcomm Inc gave a more conservative five-year outlook than in the past as it faces an antitrust probe in China and more consumers there and in other developing countries buy lower-priced smartphones.,normal
SHPG,Shire plc,20141119,Drugs company Shire relocates 500 jobs to Massachusetts ,LONDON  Nov 19 Drugs company Shire said on Wednesday it would move over 500 jobs from its Chesterbrook  Pennsylvania site to Lexington  Massachusetts  to save costs by combining its worldwide R&D and commercial operations in two locations.,topStory
SBUX,Starbucks Corporation,20141119,Starbucks scoops up coffee beans from China for blends  Asia sales ,NEW YORK Starbucks Corp has this year bought coffee beans from China at its highest volume ever  shipping data show  reflecting the country's burgeoning role as bean supplier amid supply concerns among traditional exporters.,topStory
SBUX,Starbucks Corporation,20141119,Starbucks scoops up coffee beans from China for blends  Asia sales ,NEW YORK  Nov 19 Starbucks Corp has this year bought coffee beans from China at its highest volume ever  shipping data show  reflecting the country's burgeoning role as bean supplier amid supply concerns among traditional exporters.,normal
SGYP,Synergy Pharmaceuticals Inc,20141119,Boston Scientific stent succeeds in study aimed at U.S. approval ,CHICAGO  Nov 19 Boston Scientific Corp's  next generation Synergy heart stent succeeded in a pivotal study that will be used to seek U.S. and Japanese approval of the device  according to data presented at the American Heart Association meeting in Chicago on Wednesday.,topStory
SGYP,Synergy Pharmaceuticals Inc,20141119,Synergy Pharma constipation drug succeeds mid-stage trial ,Synergy Pharmaceuticals Inc said its experimental drug for opioid-induced constipation was found safe and effective in a mid-stage trial.,normal
SGYP,Synergy Pharmaceuticals Inc,20141119,UPDATE 1-Synergy Pharma constipation drug succeeds mid-stage trial ,Nov 19 Synergy Pharmaceuticals Inc said its experimental drug for opioid-induced constipation was found safe and effective in a mid-stage trial.,normal
SGYP,Synergy Pharmaceuticals Inc,20141119,REFILE-Synergy Pharma constipation drug succeeds mid-stage trial ,Nov 19 Synergy Pharmaceuticals Inc said its experimental drug for opioid induced constipation was found safe and effective in a mid-stage trial.,normal
TSLA,Tesla Inc ,20141119,Parus' Chatin tips long Tesla Motors  short Transocean ,LONDON  Nov 19 Marc Chatin  partner at hedge fund Parus Finance  on Wednesday tipped Tesla Motors as a top buy and oil well drilling firm Transocean as a favoured short.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20141119,Royalty Pharma buys royalties on Vertex Pharma drugs for $3.3 billion ,Pharmaceutical investment firm Royalty Pharma said it would buy royalties on Vertex Pharmaceuticals Inc's cystic fibrosis treatments from Cystic Fibrosis Foundation for $3.3 billion in cash.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20141119,UPDATE 1-Royalty Pharma buys royalties on Vertex Pharma drugs for $3.3 bln ,Nov 19 Pharmaceutical investment firm Royalty Pharma said it would buy royalties on Vertex Pharmaceuticals Inc's cystic fibrosis treatments from Cystic Fibrosis Foundation for $3.3 billion in cash.,normal
VRTX,Vertex Pharmaceuticals Incorporated,20141119,Royalty Pharma buys royalties on Vertex Pharma drugs for $3.3 bln ,Nov 19 Pharmaceutical investment firm Royalty Pharma said it would buy royalties on Vertex Pharmaceuticals Inc's cystic fibrosis treatments from Cystic Fibrosis Foundation for $3.3 billion in cash.,normal
VOD,Vodafone Group Plc,20141119,Deals of the day- Mergers and acquisitions ,(Adds Citigroup  Vodafone  BT  EEMS  Unister Travel  CEZ  KPN  Deutsche Bahn  Saham Finances  ProSiebenSat.1  Continental Grain Co),topStory
VOD,Vodafone Group Plc,20141119,Vodafone says open to more asset sales ,BARCELONA  Nov 19 Vodafone would be open to selling off more non-core assets such as its interests in Australia  Hungary and the Czech Republic if it received the right offer  Chief Executive Vittorio Colao said on Wednesday.,normal
VOD,Vodafone Group Plc,20141119,UPDATE 2-Telecom Italia interested in buying control of Metroweb-sources ,MILAN  Nov 19 Telecom Italia is interested in buying a controlling stake in Italian fibre optic provider Metroweb to expand its investments in faster networks  two sources close to the matter said on Wednesday.,normal
BABA,Alibaba Group Holding Limited,20141119,Alibaba will sell debut bond on Thursday ,NEW YORK (IFR) - Chinese e-commerce giant Alibaba will sell its first-ever bond on Thursday  a jumbo trade expected to be around $8 billion in size that comes just two months after the company's record IPO.,topStory
BABA,Alibaba Group Holding Limited,20141119,UPDATE 2-Alibaba will sell debut bond on Thursday ,NEW YORK  Nov 19 (IFR) - Chinese e-commerce giant Alibaba will sell its first-ever bond on Thursday  a jumbo trade expected to be around US$8bn in size that comes just two months after the company's record IPO.,normal
BABA,Alibaba Group Holding Limited,20141119,China says controls on Internet needed to maintain stability ,WUZHEN China Chinese officials called on Wednesday for controls on the Internet to preserve stability  saying its model for cyberspace regulation can be the framework for spawning commercial successes like Alibaba Group Holding Ltd.,normal
BABA,Alibaba Group Holding Limited,20141119,China says controls on Internet needed to maintain stability ,WUZHEN  China  Nov 19 Chinese officials called on Wednesday for controls on the Internet to preserve stability  saying its model for cyberspace regulation can be the framework for spawning commercial successes like Alibaba Group Holding Ltd .,normal
AGN,Allergan plc,20141119,Suvretta's Cowen says Actavis stock could nearly double ,NEW YORK After months of fending off a hostile bid  Allergan Inc  Chief Executive David Pyott made the right call in selling to rival Actavis Plc   whose stock price could nearly double in the next two years  a prominent investor said on Wednesday.,topStory
AMOV,America Movil SAB de CV,20141119,KPN may sell Telefonica Deutschland stake: CEO ,BARCELONA Dutch telecoms group KPN may sell its 20.5 percent stake in German mobile operator Telefonica Deutschland  but it has not yet decided to do so  the group's chief executive told an investor conference on Wednesday.,topStory
AMX,America Movil SAB de CV,20141119,KPN may sell Telefonica Deutschland stake: CEO ,BARCELONA Dutch telecoms group KPN may sell its 20.5 percent stake in German mobile operator Telefonica Deutschland  but it has not yet decided to do so  the group's chief executive told an investor conference on Wednesday.,topStory
BUD,Anheuser-Busch Inbev SA,20141119,Fitch Affirms Anheuser Busch InBev at 'A'; Outlook Stable ,(The following statement was released by the rating agency) MILAN/LONDON  November 19 (Fitch) Fitch Ratings has affirmed Belgium-based  Anheuser Busch InBev NV/SA's (ABI) Long-term Issuer Default Rating (IDR) and  senior unsecured rating at 'A' and its Short-term IDR at 'F1'. The Outlook on  the Long-term IDR is Stable. The senior unsecured ratings of the debt of ABI's  subsidiaries  Anheuser Busch InBev Worldwide Inc  Anheuser-Busch InBev Finance  Inc  and Anheuser-Busch Companies Inc  have als,topStory
BUD,Anheuser-Busch Inbev SA,20141119,Open up to our beer  EU to tell Japan in trade talks ,BRUSSELS Japan needs to open up its beer market to European exports if Tokyo and Brussels are to agree one of the world's biggest free trade deals next year  according to an EU document prepared for the next round of talks in December.,normal
AON,Aon plc,20141119,MOVES- Nomura  Aon  Wells Fargo  Aviva Investors ,(Adds Lazard Asset Management  Greenhill & Co  Aviva Investors  Evercore Partners Inc  Ernst & Young),topStory
AON,Aon plc,20141119,MOVES- Nomura  Aon Plc ,Nov 19 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
AON,Aon plc,20141119,MOVES-Mark Potter joins Aon as strategy development leader for power ,Nov 19 British insurance broker Aon Plc  appointed Mark Potter strategy development leader for Aon global power practice.,normal
ADM,Archer-Daniels-Midland Company,20141119,UPDATE 1-ADM sues Syngenta over rejections of GMO corn by China ,(Adds details  background  ADM quote  Syngenta comment; adds byline),topStory
ADM,Archer-Daniels-Midland Company,20141119,ADM sues Syngenta over rejections of GMO corn by China ,Nov 19 Archer Daniels Midland Co. sued seed company Syngenta AG on Wednesday over rejections by China of a genetically modified corn variety not approved for import by Beijing.,normal
AZN,Astrazeneca PLC,20141119,New Issue- AstraZeneca prices 750 mln euro 2021 bond ,Underlying govt bond    over midswaps  equivalent to 63.5 bp,topStory
AZN,Astrazeneca PLC,20141119,BRIEF-ADDvise Lab Solutions receives order from AstraZeneca of about SEK 2.4 mln ,* Says receives order from AstraZeneca of about 2.4 million Swedish crowns,normal
AZO,AutoZone Inc,20141119,San Diego jury awards woman $186 million in bias case against AutoZone ,SAN DIEGO A federal jury in California awarded nearly $186 million to a San Diego area woman who sued AutoZone Inc. saying she was demoted and fired after being told pregnant women can't do the job of managing a store  court records showed.,topStory
AZO,AutoZone Inc,20141119,CORRECTED-San Diego jury awards woman $186 mln in bias case against AutoZone ,(Corrects to remove remarks from lawyer who is no longer trial counsel in case  replaces with remark from current counsel  paragraphs 1-3),normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20141119,UPDATE 4-Spanish bank BBVA to take control of Turkey's Garanti ,* BBVA to hold 39.9 percent stake in Garanti after acquisition,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20141119,Turkey's Dogus stake in Garanti to remain above 10 pct after BBVA sale-sources ,ISTANBUL  Nov 19 Dogus Holding's stake in Turkey's Garanti Bank will remain above 10 percent after a stake sale to Spanish bank BBVA and talks will be concluded as soon as possible  sources close to the matter told Reuters on Wednesday.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20141119,Turkey's Dogus says talks with BBVA over Garanti stake sale continue ,ISTANBUL  Nov 19 Turkey's Dogus Holding said on Wednesday talks with Spanish lender BBVA continued over the sale of 14.89 percent stake in Turkish lender Garanti .,normal
BBL,BHP Billiton plc,20141119,BHP plans shareholder vote on spin-off company in May 2015 ,MELBOURNE  Nov 20 BHP Billiton   said on Thursday it plans to hold a shareholder vote in May 2015 on its plan to spin off its aluminium  coal  manganese and silver assets into a separate company.,topStory
BA,Boeing Company (The),20141119,US Air Force sees challenges on Boeing KC-46 tanker program ,WASHINGTON  Nov 19 The U.S. Air Force said on Wednesday it still expects Boeing Co to meet the August 2017 target for delivering 18 new KC-46A refueling planes  but a number of smaller schedule delays will reduce the program's margin for dealing with future issues.,topStory
BA,Boeing Company (The),20141119,Gulf airlines close financing deals for 16 aircraft ,DUBAI  Nov 19 Gulf-based airlines have closed financing agreements for a total of 16 Boeing and Airbus  aircraft  according to statements from the carriers and banks involved.,normal
BA,Boeing Company (The),20141119,Boeing eyes revamp of cyber business to focus on key areas ,EL SEGUNDO Calif. Boeing Co said this week it is reevaluating its cybersecurity business and could divest or reassign some units as it focuses more on a few critical areas  including classified work it is doing for some U.S. government agencies.,normal
BA,Boeing Company (The),20141119,Boeing eyes revamp of cyber business to focus on key areas ,EL SEGUNDO  Calif.  Nov 18 Boeing Co said this week it is reevaluating its cybersecurity business and could divest or reassign some units as it focuses more on a few critical areas  including classified work it is doing for some U.S. government agencies.,normal
BSX,Boston Scientific Corporation,20141119,Boston Scientific stent succeeds in study aimed at U.S. approval ,CHICAGO  Nov 19 Boston Scientific Corp's  next generation Synergy heart stent succeeded in a pivotal study that will be used to seek U.S. and Japanese approval of the device  according to data presented at the American Heart Association meeting in Chicago on Wednesday.,topStory
BSX,Boston Scientific Corporation,20141119,BUSINESS-NEWS-SCHEDULE AT 1630 GMT /11:30 AM ET ,(Adds CHICAGO/WASHINGTON story schedule  adds PIX to Keystone story),normal
BSX,Boston Scientific Corporation,20141119,BUSINESS-NEWS-SCHEDULE AT 1600 GMT /11:00 AM ET ,Could Obama cut deal on Keystone pipeline? Don't rule it out,normal
BSX,Boston Scientific Corporation,20141119,RPT-J&J seeks over $5 bln in damages from Boston Scientific at trial ,NEW YORK  Nov 19 Nearly a decade after losing a bidding war for device maker Guidant to Boston Scientific Corp   Johnson & Johnson finally has a chance for payback at a multibillion-dollar trial set to begin on Thursday.,normal
BSX,Boston Scientific Corporation,20141119,BUSINESS-NEWS-SCHEDULE AT 0930 GMT /4.30 AM ET ,Editor: Malcolm Davidson                  +44 20 7542 6958,normal
BSX,Boston Scientific Corporation,20141119,J&J seeks over $5 billion in damages from Boston Scientific at trial ,NEW YORK Nearly a decade after losing a bidding war for device maker Guidant to Boston Scientific Corp  Johnson & Johnson finally has a chance for payback at a multibillion-dollar trial set to begin on Thursday.,normal
BSX,Boston Scientific Corporation,20141119,J&J seeks over $5 bln in damages from Boston Scientific at trial ,NEW YORK  Nov 19 Nearly a decade after losing a bidding war for device maker Guidant to Boston Scientific Corp   Johnson & Johnson finally has a chance for payback at a multibillion-dollar trial set to begin on Thursday.,normal
BT,BT Group plc,20141119,Deals of the day- Mergers and acquisitions ,(Adds Citigroup  Vodafone  BT  EEMS  Unister Travel  CEZ  KPN  Deutsche Bahn  Saham Finances  ProSiebenSat.1  Continental Grain Co),topStory
BT,BT Group plc,20141119,BT would consider combining wholesale  OpenReach units if allowed ,BARCELONA  Nov 19 Britain's BT  the former telecoms monopoly  said it would consider combining its wholesale division and OpenReach  its standalone business that makes its networks available to rivals  if the regulator allowed it.,normal
CAT,Caterpillar Inc,20141119,New Issue- Caterpillar prices 1.0 bln Renminbi 2017 bond ,Borrower                Caterpillar Financial Services Corporation (Caterpillar),topStory
C,Citigroup Inc,20141119,Exclusive - Citigroup considers sale of index business: sources ,NEW YORK Citigroup Inc is considering a sale of its index business  two sources familiar with the situation said on Wednesday  making it the latest bank to think about jettisoning benchmarking amid increased regulatory scrutiny.,topStory
C,Citigroup Inc,20141119,Deals of the day- Mergers and acquisitions ,(Adds Citigroup  Vodafone  BT  EEMS  Unister Travel  CEZ  KPN  Deutsche Bahn  Saham Finances  ProSiebenSat.1  Continental Grain Co),normal
C,Citigroup Inc,20141119,U.S. Justice Dept collects record $24 bln in penalties in fiscal 2014 ,WASHINGTON  Nov 19 The U.S. Department of Justice collected a record $24.7 billion in penalties from fraud and other cases in fiscal year 2014  the agency said on Wednesday  as fines against banks for financial misconduct soared.,normal
C,Citigroup Inc,20141119,Citi cuts around 35 jobs on London trading floor: sources ,LONDON U.S. bank Citi  has cut around 35 jobs across its capital markets trading operation in London  sources with knowledge of the changes said on Wednesday.,normal
C,Citigroup Inc,20141119,UPDATE 1-Citi cuts around 35 jobs on London trading floor - sources ,LONDON  Nov 19 U.S. bank Citi has cut around 35 jobs across its capital markets trading operation in London  sources with knowledge of the changes said on Wednesday.,normal
C,Citigroup Inc,20141119,Citi cuts around 35 jobs on London trading floor -sources ,LONDON  Nov 19 U.S. bank Citi has cut around 35 jobs across its capital markets trading operation in London  sources with knowledge of the changes said on Wednesday.,normal
CLF,Cleveland-Cliffs Inc,20141119,UPDATE 5-Cliffs Natural CEO says mulling creditor protection in Canada ,Nov 19 U.S.-based Cliffs Natural Resources  may seek creditor protection in Canada to insulate itself from closure costs and liabilities at its Canadian operations  its chief executive said on Wednesday.,topStory
CLF,Cleveland-Cliffs Inc,20141119,US STOCKS-Wall St retreats from record with eyes on Fed minutes ,* Oplink jumps  to be bought by Koch Industries' subsidiary,normal
CLF,Cleveland-Cliffs Inc,20141119,US STOCKS-Wall St dips after record with eyes on Fed minutes ,* Oplink jumps  to be bought by Koch Industries' subsidiary,normal
CLF,Cleveland-Cliffs Inc,20141119,Deals of the day- Mergers and acquisitions ,(Adds E.ON SE  JSW Steel  Bharti Airtel  Cliffs Natural Resources  CAP),normal
CLF,Cleveland-Cliffs Inc,20141119,US STOCKS-Wall St to dip at open  Fed minutes eyed ,* Oplink jumps  to be bought by Koch Industries' subsidiary,normal
CLF,Cleveland-Cliffs Inc,20141119,US STOCKS-Futures little changed ahead of data  Fed minutes ,NEW YORK  Nov 19 U.S. stock index futures were little changed on Wednesday following record closing highs for both the Dow and S&P 500 and ahead of housing data and minutes from the most recent Federal Reserve policy meeting.,normal
CLF,Cleveland-Cliffs Inc,20141119,Cliffs looking to exit Canadian iron ore operations ,Nov 19 Cliffs Natural Resources Inc said it was looking to exit its Eastern Canadian iron ore operations  which may result in the closure of its Bloom Lake mine in Quebec.,normal
KO,Coca-Cola Company (The),20141119,Senate probe says Goldman  other banks exploited commodity markets , ,normal
DNR,Denbury Resources Inc,20141119,Falling oil prices hit junk bonds in energy sector ,NEW YORK Several months ago  U.S. mutual funds scooped up most of the $1.25 billion in high-yield junk bonds issued by Denbury Resources Inc  a Plano  Texas  oil and gas exploration company.,topStory
