ALGT,Allegiant Travel Company,20140616,Update-Moody's rates Allegiant's unsecured notes at B1  affirms Ba3 CFR  outlook stable ,For the full text of this story please click the following link:,topStory
BIIB,Biogen Inc,20140616,Biogen  AbbVie drug slows MS episodes  safety issues recur ,A drug approved to prevent rejection of transplanted kidneys significantly reduced relapses of multiple sclerosis in a late stage-trial sponsored by Biogen Idec and AbbVie Inc  but serious infections and potential liver toxicity continued to cloud the drug's future.,topStory
BIIB,Biogen Inc,20140616,UPDATE 1-Biogen  AbbVie drug slows MS episodes  safety issues recur ,(Adds analyst comment  background on daclizumab  MS drugs  byline),normal
BIIB,Biogen Inc,20140616,Biogen  AbbVie drug slows MS episodes  safety issues recur ,June 16 A drug approved to prevent rejection of transplanted kidneys significantly reduced relapses of multiple sclerosis in a late stage-trial sponsored by Biogen Idec  and AbbVie Inc  but serious infections and potential liver toxicity continued to cloud the drug's future.,normal
CZR,Caesars Entertainment Corporation,20140616,Italy lottery operator GTECH in talks to buy U.S. International Game Technology ,MILAN Italian lottery operator GTECH said on Monday it was in preliminary talks to buy Las Vegas-based slot machine maker International Game Technology in a deal that could involve a cash and paper offer.,normal
EA,Electronic Arts Inc,20140616,Crafts retailer Michaels IPO aims to raise up to $528 million ,Arts and crafts retailer Michaels Companies Inc said it expected to raise up to $528 million in its initial public offering.,topStory
EA,Electronic Arts Inc,20140616,UPDATE 1-Crafts retailer Michaels IPO aims to raise up to $528 mln ,June 16 Arts and crafts retailer Michaels Companies Inc said it expected to raise up to $528 million in its initial public offering.,normal
ERIC,Ericsson,20140616,BRIEF-Ericsson signs services deal with Netherlands public radio ,STOCKHOLM  June 16 ERICSSON :  * Netherlands public radio signs six-year services deal with Ericsson Link to statement: http://r.reuters.com/gaj22w,topStory
FB,Facebook Inc,20140616,UPDATE 4-Alibaba discloses powerful partners  reveals slowing growth ,* Revenue up 38 pct in March qtr  versus 62 pct rise in prior qtr   (Adds graphic link and GMV growth for Taobao; updates share price),normal
GILD,Gilead Sciences Inc,20140616,Britain's cost agency not ready to back Gilead hepatitis C drug ,LONDON Britain's healthcare cost-effectiveness watchdog said on Monday it needed more information about Gilead Sciences' pricey new hepatitis C drug Sovaldi before deciding if it should be used on the state health service.,topStory
GILD,Gilead Sciences Inc,20140616,UPDATE 1-Britain's cost agency not ready to back Gilead hepatitis C drug ,LONDON  June 16 Britain's healthcare cost-effectiveness watchdog said on Monday it needed more information about Gilead Sciences' pricey new hepatitis C drug Sovaldi before deciding if it should be used on the state health service.,normal
GILD,Gilead Sciences Inc,20140616,UK cost agency not ready to back Gilead hepatitis C drug ,LONDON Britain's healthcare cost-effectiveness watchdog NICE said on Monday it needed more information about Gilead Sciences' pricey new hepatitis C drug Sovaldi before deciding if it should be used on the state health service.,normal
GILD,Gilead Sciences Inc,20140616,UK cost agency not ready to back Gilead hepatitis C drug ,LONDON  June 16 Britain's healthcare cost-effectiveness watchdog NICE said on Monday it needed more information about Gilead Sciences' pricey new hepatitis C drug Sovaldi before deciding if it should be used on the state health service.,normal
IEP,Icahn Enterprises LP,20140616,Exclusive: Leonard Green  CVC near deal to acquire Advantage Sales - sources ,NEW YORK Private equity firms Leonard Green & Partners LP and CVC Capitals Partners Ltd are in advanced talks to acquire consumer marketing company Advantage Sales & Marketing Inc (ASM) for more than $4 billion  people familiar with the matter said on Monday.,topStory
INTC,Intel Corporation,20140616,Nikkei drops on Iraq anxiety; chip-related shares rise on Intel ,TOKYO  June 16 Japanese stocks dropped to a two-week low on Monday as oil prices extended gains as the insurgency in Iraq raised concerns about potential disruption to oil exports  but chip-related firms outperformed on Intel Corp's  rosy outlook.     The Nikkei fell 1.1 percent to 14 933.29  the lowest closing price since May 30.     The broader Topix dropped 0.8 percent to 1 234.68  while the JPX-Nikkei Index 400 declined 0.8 percent to 11 238.01.     Brent crude rose above $113 pe,topStory
INTC,Intel Corporation,20140616,Nikkei drops on Iraq worries; chip-related shares surge on Intel ,* Semiconductor-related shares surge on Intel's bright outlook     * Rising oil prices cast concern on corporate profits - analysts      By Ayai Tomisawa     TOKYO  June 16 Japan's Nikkei share average dropped on Monday morning as an insurgency in Iraq kept investors on edge  while chip-related stocks outperformed on Intel Corp's rosy outlook.     The Nikkei fell 0.4 percent to 15 038.13 in midmorning trade  moving away from a three-month high of 15 206 hit a week ago.     The downsi,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
FLAT,iPath US Treasury Flattener ETN,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
STPP,iPath US Treasury Steepener ETN,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
NDAQ,Nasdaq Inc,20140616,Exclusive: Friedman could become Nasdaq CEO next year - sources ,NEW YORK Nasdaq OMX Group Inc lured back former Chief Financial Officer Adena Friedman as co-president with the understanding that she will succeed Chief Executive Bob Greifeld  possibly as soon as next year  sources familiar with the matter said.,topStory
NUAN,Nuance Communications Inc,20140616,Deals of the day- Mergers and acquisitions ,(Adds Shire  Telefonica  Intesa Sanpaolo  Grocery Outlet  Dorel  Morgan Stanley  B2W Companhia  Gazprom  Federal Mogul  Systeme U; Updates Siemens  Nuance  Star Bulk),topStory
NUAN,Nuance Communications Inc,20140616,Siri software maker Nuance has held sale talks: WSJ ,Software maker Nuance Communications Inc has held talks with potential buyers for its sale  the Wall Street Journal reported  citing people familiar with the matter.,normal
NUAN,Nuance Communications Inc,20140616,CORRECTED-Siri software maker Nuance has held sale talks - WSJ ,(Corrects headline and paragraph 1 to show Nuance 'has held'  not 'is in' sale talks. Adds words 'currently stand' in last paragraph),normal
SHPG,Shire plc,20140616,Exclusive: Shire hires Citi as braces for takeover bids - sources ,LONDON London-listed drugmaker Shire has hired investment bank Citi as an adviser  expecting to receive takeover approaches following a wave of deals in the healthcare sector  sources familiar with the matter told Reuters.,topStory
SBLK,Star Bulk Carriers Corp,20140616,Deals of the day- Mergers and acquisitions ,(Adds Shire  Telefonica  Intesa Sanpaolo  Grocery Outlet  Dorel  Morgan Stanley  B2W Companhia  Gazprom  Federal Mogul  Systeme U; Updates Siemens  Nuance  Star Bulk),topStory
SBLK,Star Bulk Carriers Corp,20140616,Star Bulk expands fleet with all-stock deal for Oceanbulk ,Star Bulk Carriers Corp said it would buy Oceanbulk Shipping LLC and Oceanbulk Carriers LLC in an all-stock deal to create the largest U.S.-listed dry bulk shipper.,normal
SBLK,Star Bulk Carriers Corp,20140616,UPDATE 2-Star Bulk expands fleet with all-stock deal for Oceanbulk ,* Deal valued at $653 mln based on Star Bulk's Friday close,normal
SBLK,Star Bulk Carriers Corp,20140616,Star Bulk Carriers to buy Oceanbulk carriers in all-stock deal ,Star Bulk Carriers Corp  said it would buy fellow dry bulk carriers Oceanbulk Shipping LLC and Oceanbulk Carriers LLC in an all-stock deal that will make Oaktree Capital Management its largest shareholder.,normal
SBLK,Star Bulk Carriers Corp,20140616,Star Bulk Carriers to buy Oceanbulk carriers in all-stock deal ,June 16 Star Bulk Carriers Corp said it would buy fellow dry bulk carriers Oceanbulk Shipping LLC and Oceanbulk Carriers LLC in an all-stock deal that will make Oaktree Capital Management its largest shareholder.,normal
SBUX,Starbucks Corporation,20140616,Starbucks to subsidize U.S. workers' college degree ,Starbucks Corp said it plans to partly pay for an online bachelor's degree program for its employees in the United States  hoping to retain its workforce and save on hiring and training costs.,topStory
SBUX,Starbucks Corporation,20140616,Starbucks to subsidize US workers' college degree ,June 16 Starbucks Corp said it plans to partly pay for an online bachelor's degree program for its employees in the United States  hoping to retain its workforce and save on hiring and training costs.,normal
CG,The Carlyle Group LP,20140616,UPDATE 2-Italy lottery group GTECH in talks to buy International Game ,* IGT deal positive for GTECH but hard to swallow -analysts   (Adds analysts comments  IGT statement),normal
CG,The Carlyle Group LP,20140616,Exclusive: Friedman could become Nasdaq CEO next year - sources ,NEW YORK Nasdaq OMX Group Inc lured back former Chief Financial Officer Adena Friedman as co-president with the understanding that she will succeed Chief Executive Bob Greifeld  possibly as soon as next year  sources familiar with the matter said.,normal
CG,The Carlyle Group LP,20140616,Italy lottery operator GTECH in talks to buy U.S. International Game Technology ,MILAN Italian lottery operator GTECH said on Monday it was in preliminary talks to buy Las Vegas-based slot machine maker International Game Technology in a deal that could involve a cash and paper offer.,normal
TCGP,The Carlyle Group LP,20140616,UPDATE 2-Italy lottery group GTECH in talks to buy International Game ,* IGT deal positive for GTECH but hard to swallow -analysts   (Adds analysts comments  IGT statement),normal
TCGP,The Carlyle Group LP,20140616,Exclusive: Friedman could become Nasdaq CEO next year - sources ,NEW YORK Nasdaq OMX Group Inc lured back former Chief Financial Officer Adena Friedman as co-president with the understanding that she will succeed Chief Executive Bob Greifeld  possibly as soon as next year  sources familiar with the matter said.,normal
TCGP,The Carlyle Group LP,20140616,Italy lottery operator GTECH in talks to buy U.S. International Game Technology ,MILAN Italian lottery operator GTECH said on Monday it was in preliminary talks to buy Las Vegas-based slot machine maker International Game Technology in a deal that could involve a cash and paper offer.,normal
VOD,Vodafone Group Plc,20140616,Vodafone targets "connected cars" with Italian deal ,LONDON Vodafone is buying an Italian car electronics maker for 145 million euros ($197 million)  seeking to get ahead in the race to connect more products to the internet and offset slowing growth in its core mobile phone business.,topStory
VOD,Vodafone Group Plc,20140616,Vodafone targets 'connected cars' with Italian deal ,LONDON Vodafone is buying an Italian car electronics maker for 145 million euros ($197 million)  seeking to get ahead in the race to connect more products to the internet and offset slowing growth in its core mobile phone business.,normal
VOD,Vodafone Group Plc,20140616,UPDATE 2-Vodafone targets "connected cars" with Italian deal ,* Cars at forefront of machine-to-machine communications   (Adds analyst  detail  background  shares),normal
VOD,Vodafone Group Plc,20140616,Shares in Cobra fail to open after Vodafone offer ,MILAN  June 16 Shares in Italy's Cobra failed to start trading on Monday after Vodafone Global Enterprise  said it would offer 1.49 euros a share to buy a majority stake in the Italian auto security system group.,normal
VOD,Vodafone Group Plc,20140616,Vodafone expands into car electronics with Italian deal ,LONDON  June 16 Vodafone said on Monday it had agreed to buy an Italian provider of electronics services to the car industry for 145 million euros ($197 million) as part of its strategy to start connecting devices such as cars and other machines.,normal
VOD,Vodafone Group Plc,20140616,INDIA PRESS-Bharti Infratel may buy towers from Vodafone  Idea-Economic Times ,Note: Reuters has not verified this story and does not vouch for its accuracy.   (Compiled by Aby Jose Koilparambil in Bangalore),normal
YNDX,Yandex NV,20140616,Russia's Yandex to buy car classified website for $175 mln ,MOSCOW  June 16 Russia's top search engine Yandex said on Monday it had agreed to buy Russia's biggest car classified website Auto.ru for around $175 million to expand its capabilities in automobile-related search.,topStory
ABBV,AbbVie Inc,20140616,Biogen  AbbVie drug slows MS episodes  safety issues recur ,A drug approved to prevent rejection of transplanted kidneys significantly reduced relapses of multiple sclerosis in a late stage-trial sponsored by Biogen Idec and AbbVie Inc  but serious infections and potential liver toxicity continued to cloud the drug's future.,topStory
ABBV,AbbVie Inc,20140616,UPDATE 1-Biogen  AbbVie drug slows MS episodes  safety issues recur ,(Adds analyst comment  background on daclizumab  MS drugs  byline),normal
ABBV,AbbVie Inc,20140616,Biogen  AbbVie drug slows MS episodes  safety issues recur ,June 16 A drug approved to prevent rejection of transplanted kidneys significantly reduced relapses of multiple sclerosis in a late stage-trial sponsored by Biogen Idec  and AbbVie Inc  but serious infections and potential liver toxicity continued to cloud the drug's future.,normal
AMG,Affiliated Managers Group Inc,20140616,Affiliated Managers nears deal for Lehman's stake in D.E. Shaw-WSJ ,June 15 Investment firm Affiliated Managers Group Inc (AMG) has reached an in-principle agreement to buy a stake in hedge fund manager D.E. Shaw & Co LP from the estate of Lehman Brothers Holdings Inc  the Wall Street Journal reported on Sunday.,topStory
AGN,Allergan plc,20140616,Morgan Stanley calls Valeant 'house of cards' in Allergan pitch ,NEW YORK Morgan Stanley   an adviser to Valeant Pharmaceuticals International Inc  in its $53 billion hostile bid for Allergan Inc   initially tried to get hired by Allergan and in its pitch called the unsolicited bidder a "house of cards " according to Allergan.,topStory
AGN,Allergan plc,20140616,UPDATE 4-Morgan Stanley calls Valeant 'house of cards' in Allergan pitch ,(Adds Allergan included views from third-parties in its statement),normal
AGN,Allergan plc,20140616,Morgan Stanley called Valeant 'house of cards' in Allergan pitch ,NEW YORK  June 16 Morgan Stanley  an adviser to Valeant Pharmaceuticals International Inc in its $53 billion hostile bid for Allergan Inc  initially tried to get hired by Allergan and in its pitch called the unsolicited bidder a "house of cards"  according to Allergan.,normal
APO,Apollo Global Management LLC,20140616,UPDATE 2-Italy lottery group GTECH in talks to buy International Game ,* IGT deal positive for GTECH but hard to swallow -analysts   (Adds analysts comments  IGT statement),normal
APO,Apollo Global Management LLC,20140616,Italy lottery operator GTECH in talks to buy U.S. International Game Technology ,MILAN Italian lottery operator GTECH said on Monday it was in preliminary talks to buy Las Vegas-based slot machine maker International Game Technology in a deal that could involve a cash and paper offer.,normal
AZN,Astrazeneca PLC,20140616,UPDATE 1-Medtronic deal draws Washington scrutiny of tax relocations ,WASHINGTON  June 16 The threat of U.S. tax revenue losses from Medtronic Inc's plan to buy rival Covidien Plc and move its base to Ireland is stoking concerns from lawmakers and the Obama administration about corporate tax "inversion" deals.,normal
AZN,Astrazeneca PLC,20140616,Medtronic deal draws Washington scrutiny of corporate tax relocations ,WASHINGTON  June 16 The threat of U.S. tax revenue losses from Medtronic Inc's plan to buy rival Covidien Plc and move its base to Ireland is stoking concerns from lawmakers and the Obama administration about corporate tax "inversion" deals.,normal
AZN,Astrazeneca PLC,20140616,Medtronic to buy Covidien for $42.9 billion  rebase in Ireland ,U.S. medical device maker Medtronic Inc  said on Sunday it had agreed to buy Covidien Plc  for $42.9 billion in cash and stock and move its executive base to Ireland in the latest transaction aiming for lower corporate tax rates abroad.,normal
AZN,Astrazeneca PLC,20140616,UPDATE 3-Medtronic to buy Covidien for $42.9 bln  rebase in Ireland ,June 15 U.S. medical device maker Medtronic Inc  said it agreed to buy Dublin-based Covidien Plc  for $42.9 billion and shift its executive headquarters to Ireland in the latest move by U.S. firms to harvest lower corporate tax rates abroad.,normal
BAC,Bank of America Corporation,20140616,BofA to use NY state database to flag illegal payday loans ,NEW YORK Bank of America Corp has become the first big bank to agree to use a New York regulator's database to ensure it does not process illegal payments from payday lenders to state residents  Governor Andrew Cuomo said on Monday.,topStory
BAC,Bank of America Corporation,20140616,BofA to use NY state database to flag illegal payday loans ,NEW YORK  June 16 Bank of America Corp  has become the first big bank to agree to use a New York regulator's database to ensure it does not process illegal payments from payday lenders to state residents  Governor Andrew Cuomo said on Monday.,normal
BAC,Bank of America Corporation,20140616,New Issue-Bank of America prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 111.3bp,normal
BAC,Bank of America Corporation,20140616,BofA's Merrill fined for mutual fund overcharges ,Bank of America Corp's Merrill Lynch unit was fined $8 million and will reimburse $24.4 million to customers to settle allegations that it overcharged more than 47 000 retirement accounts and charities that invested in mutual funds.,normal
BAC,Bank of America Corporation,20140616,BRIEF-Merrill Lynch fined $8 mln  to repay $24.4 mln over mutual fund sales charges ,June 16 Bank of America Corp :  * Finra says fines Bank of America corp's Merrill Lynch unit $8 million,normal
BCS,Barclays PLC,20140616,MOVES- Nasdaq  Barclays  JP Morgan Asset Management ,June 16 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
BKS,Barnes & Noble Inc,20140616,UPDATE 1-Sherlock Holmes belongs to the public  U.S. court rules ,June 16 Fifty Sherlock Holmes works published before 1923 by Arthur Conan Doyle are in the public domain  a U.S. appeals court said on Monday  and others may refer to them freely without paying licensing fees to the Scottish writer's estate.,normal
BKS,Barnes & Noble Inc,20140616,Sherlock Holmes belongs to the public  U.S. court rules ,June 16 A U.S. appeals court said 50 Sherlock Holmes works published before 1923 by Arthur Conan Doyle are in the public domain  and others may refer freely to them without paying licensing fees to the Scottish writer's estate.,normal
BLK,BlackRock Inc,20140616,For U.S. retirement consultants  advisers disrupt the industry ,New York The big retirement benefit consultants are facing increasing competition as financial advisers move in on their turf  according to Chip Castille  the head of BlackRock's  U.S. retirement group.,topStory
BA,Boeing Company (The),20140616,Republican gains in November may boost chances of U.S. trade deals ,American companies can expect progress on some critical U.S. trade initiatives if the Republican Party takes control of both houses of the U.S. Congress this November.,normal
BP,BP plc,20140616,U.S. beats China's oil demand growth in 2013 : BP ,LONDON/MOSCOW Oil demand in the United States grew at the fastest pace in the world in 2013  outstripping China for the first time since 1999 as the globe's top economy reaped the benefits of a shale boom  oil company BP said on Monday.,topStory
BP,BP plc,20140616,U.S. beats China's oil demand growth in 2013: BP ,LONDON/MOSCOW Oil demand in the United States grew at the fastest pace in the world in 2013  outstripping China for the first time since 1999 as the globe's top economy reaped the benefits of a shale boom  oil company BP said on Monday.,normal
BP,BP plc,20140616,UPDATE 1-U.S. beats China's oil demand growth in 2013 - BP ,* U.S. oil growth outpaces China for first time since 1999,normal
BP,BP plc,20140616,U.S. beats China's oil demand growth in 2013 -BP ,* U.S. oil growth outpaces China for first time since 1999,normal
BEP,Brookfield Renewable Partners LP,20140616,EU mergers and takeovers (June 16) ,BRUSSELS  June 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BT,BT Group plc,20140616,Britain's FTSE pulled down by BT  housebuilders weaken further ,LONDON  June 16 Britain's top share index slipped on Monday as concerns about a large increase in its pension deficit hit BT Group  while housebuilders extended their recent sell-off on prospects of a UK rate hike.,topStory
BT,BT Group plc,20140616,Britain's FTSE pulled down by BT  housebuilders weaken further ,LONDON  June 16 Britain's top share index slipped on Monday as concerns about a large increase in its pension deficit hit BT Group  while housebuilders extended their recent sell-off on prospects of a UK rate hike.,normal
BT,BT Group plc,20140616,BT knocks FTSE  Smith & Nephew down on fading takeover prospects ,LONDON  June 16 Britain's top share index slipped on Monday as concerns about a large increase in its pension deficit hit BT Group and Smith & Nephew  fell as hopes faded for a takeover of the the medical technology company.,normal
BT,BT Group plc,20140616,BRIEF-BT Group publishes revised business financial information ,* BT provides revised financial information and KPIS reflecting organisational changes,normal
COF,Capital One Financial Corporation,20140616,NYAG says Capital One to use database only to bar fraudsters-NYT ,June 16 Capital One Financial Corp has agreed to fundamentally change the way it uses consumer database  ChexSystems  to restrict only customers who land in the database for fraud  the New York Times reported  citing people briefed on the matter.,topStory
CBS,CBS Corporation,20140616,Obama's oldest daughter Malia works on TV set for a day: report ,WASHINGTON President Barack Obama's oldest daughter  Malia  was spotted working as a production assistant for a day on the set of a CBS television program starring Academy Award winning actress Halle Berry  according to the entertainment web site TheWrap.,topStory
CBS,CBS Corporation,20140616,Obama's oldest daughter Malia works on TV set for a day -report ,WASHINGTON  June 16 President Barack Obama's oldest daughter  Malia  was spotted working as a production assistant for a day on the set of a CBS television program starring Academy Award winning actress Halle Berry  according to the entertainment web site TheWrap.,normal
CVX,Chevron Corporation,20140616,Glencore to finance Chad's $1.3 bln oil assets purchase ,N'DJAMENA  June 16 Chad has selected Glencore  to finance its purchase of Chevron's $1.3 billion oil assets  the oil ministry said in a statement  as the commodities trader deepens its ties with the central African country.,topStory
C,Citigroup Inc,20140616,Exclusive: Shire hires Citi as braces for takeover bids - sources ,LONDON London-listed drugmaker Shire has hired investment bank Citi as an adviser  expecting to receive takeover approaches following a wave of deals in the healthcare sector  sources familiar with the matter told Reuters.,topStory
C,Citigroup Inc,20140616,UPDATE 1-City of Miami sues JPMorgan  claims mortgage discrimination ,NEW YORK  June 16 The city of Miami has sued JPMorgan Chase & Co  accusing the bank of predatory mortgage lending in minority neighborhoods that allegedly caused a wave of foreclosures during the last decade's housing crisis.,normal
C,Citigroup Inc,20140616,JPMorgan sued by Miami over alleged mortgage discrimination ,NEW YORK  June 16 JPMorgan Chase & Co  has been sued by the city of Miami  accusing the bank of predatory mortgage lending in minority neighborhoods that allegedly caused a wave of foreclosures during the last decade's housing crisis.,normal
DAL,Delta Air Lines Inc,20140616,Delta executive says no fit for A380 in carrier's system ,The Airbus A380  the world's largest jetliner  does not figure in the current plans of Delta Air Lines Inc  an executive at the carrier said on Monday  citing the reliability and efficiency of smaller aircraft.,topStory
DAL,Delta Air Lines Inc,20140616,Delta executive says no fit for A380 in carrier's system ,June 16 The Airbus A380  the world's largest jetliner  does not figure in the current plans of Delta Air Lines Inc  an executive at the carrier said on Monday  citing the reliability and efficiency of smaller aircraft.,normal
DB,Deutsche Bank AG,20140616,Deutsche managers knew about  didn't stop entertainment of Japan pension funds: regulator ,TOKYO A pattern of spending on hostess bars and overseas junkets for local pension fund officials went unchecked by senior managers at Deutsche Bank's Japanese securities arm  who failed to prevent or turned a blind eye to expenses that could be prosecuted as bribery  previously undisclosed details of a regulatory investigation show.,topStory
DB,Deutsche Bank AG,20140616,Deutsche managers knew about  didn't stop entertainment of Japan pension funds - regulator ,TOKYO  June 16 A pattern of spending on hostess bars and overseas junkets for local pension fund officials went unchecked by senior managers at Deutsche Bank's  Japanese securities arm  who failed to prevent or turned a blind eye to expenses that could be prosecuted as bribery  previously undisclosed details of a regulatory investigation show.,normal
DPZ,Domino&#39;s Pizza Inc,20140616,REFILE-Hackers steal Domino's Pizza customer data in Europe  ransom sought ,BOSTON  June 16 Hackers have stolen data on more than 600 000 Domino's Pizza Inc customers in Belgium and France  the pizza delivery company said  and an anonymous Twitter user threatened to publish the data unless the company pays a cash ransom.,topStory
DPZ,Domino&#39;s Pizza Inc,20140616,Hackers steal Dominos Pizza customer data in Europe  ransom sought ,BOSTON Hackers have stolen data on more than 600 000 Dominos Pizza Inc customers in Belgium and France  the pizza delivery company said  and an anonymous Twitter user threatened to publish the data unless the company pays a cash ransom.,normal
EW,Edwards Lifesciences Corporation,20140616,Edwards wins U.S. nod for next generation Sapien XT heart valve system ,Edwards Lifesciences Corp said on Monday that U.S. health regulators approved its next generation heart valve replacement system for high risk patients and those deemed too frail to endure open heart surgery.,topStory
EW,Edwards Lifesciences Corporation,20140616,Edwards wins U.S. nod for next generation Sapien XT heart valve system ,June 16 Edwards Lifesciences Corp said on Monday that U.S. health regulators approved its next generation heart valve replacement system for high risk patients and those deemed too frail to endure open heart surgery.,normal
EQT,EQT Corporation,20140616,UPDATE 1-EQT picks banks for hotel chain Scandic IPO -sources ,* Morgan Stanley  SEB to lead Stockholm listing of hotel operator Scandic,topStory
EQT,EQT Corporation,20140616,EQT picks banks for listing of hotel chain Scandic-sources ,STOCKHOLM  June 16 Swedish private firm EQT  has picked Morgan Stanley and SEB to lead a stock market listing of hotel operator Scandic  two people familiar with the matter said.,normal
XOM,Exxon Mobil Corporation,20140616,UPDATE 1-Exxon boss affirms commitment to Russia at Moscow conference ,MOSCOW  June 16 Exxon Mobil's Chief Executive Rex Tillerson affirmed his commitment to doing business with Russia on Monday with a speech at a high-profile industry conference in Moscow.,topStory
F,Ford Motor Company,20140616,Toronto Mayor Rob Ford's saga to get the musical treatment ,TORONTO In case anyone's missed Toronto Mayor Rob Ford's scandalous confessions  expletive-laden videos and Jimmy Kimmel appearances over the past year  a new theatrical production is bringing his honor's story to the musical stage.,topStory
