AMZN,Amazoncom Inc,20141216,Seattle police find no explosives after Amazon HQ threat ,SEATTLE Seattle police searched for explosives at Amazon.com's headquarters after a threatening letter was found at a company building just north of the city's downtown district  but found nothing  authorities said on Monday.,topStory
CZR,Caesars Entertainment Corporation,20141216,Caesars Entertainment unit defaults on $225 mln bond interest payments ,Dec 16 Caesars Entertainment Operating Co (CEOC)  the main operating unit of Caesars Entertainment Corp   said it will not pay $225 million in bond interest payments  triggering a default on its $18.4 billion debt.,normal
CERS,Cerus Corporation,20141216,FDA approves Cerus system to cut blood transfusion infections ,U.S. health regulators on Tuesday approved a device developed by Cerus Corp to reduce the risk of infections in blood plasma transmitted during transfusions  such as HIV  hepatitis and West Nile virus  sending company shares 25 percent higher.,topStory
HTHT,China Lodging Group Limited,20141216,France's Accor eyes earnings boost from China deal ,PARIS French hotel operator Accor  said on Monday its strategic alliance with China Lodging Group  will boost earnings after the first year and help quicken its expansion in the fast-growing Chinese domestic travel and hospitality market.,topStory
CYCC,Cyclacel Pharmaceuticals Inc,20141216,Cyclacel lead drug likely to fail trial  says safety board ,Cyclacel Pharmaceuticals Inc said an independent committee had determined that its lead drug would unlikely show a statistically significant improvement in the survival rates in patients with a form of blood cancer.,topStory
CYCC,Cyclacel Pharmaceuticals Inc,20141216,UPDATE 2-Cyclacel lead drug likely to fail trial  says safety board ,* Shares hit record low of 70 cents   (Adds CEO comment  details; updates shares),normal
CYCC,Cyclacel Pharmaceuticals Inc,20141216,Cyclacel lead drug likely to fail trial  says safety board ,Dec 16 Cyclacel Pharmaceuticals Inc  said an independent data and safety board determined that its lead drug was unlikely to show a statistically significant improvement in survival in some leukemia patients.,normal
CYCCP,Cyclacel Pharmaceuticals Inc,20141216,Cyclacel lead drug likely to fail trial  says safety board ,Cyclacel Pharmaceuticals Inc said an independent committee had determined that its lead drug would unlikely show a statistically significant improvement in the survival rates in patients with a form of blood cancer.,topStory
CYCCP,Cyclacel Pharmaceuticals Inc,20141216,UPDATE 2-Cyclacel lead drug likely to fail trial  says safety board ,* Shares hit record low of 70 cents   (Adds CEO comment  details; updates shares),normal
CYCCP,Cyclacel Pharmaceuticals Inc,20141216,Cyclacel lead drug likely to fail trial  says safety board ,Dec 16 Cyclacel Pharmaceuticals Inc  said an independent data and safety board determined that its lead drug was unlikely to show a statistically significant improvement in survival in some leukemia patients.,normal
FB,Facebook Inc,20141216,U.S. startup sues France's Orange over social calling app: FT ,French telecom group Orange SA has been sued in California by San Francisco-based startup Telesocial over an application that lets users make phone calls via their Facebook profiles  the Financial Times reported.,topStory
GLPG,Galapagos NV,20141216,Galapagos loses partner on inflammatory bowel drug ,BRUSSELS Belgian biotech group Galapagos said on Tuesday that its research partner Janssen Pharmaceutica  a unit of Johnson & Johnson  had pulled out of a program to develop a new drug to treat bowel disease.,topStory
GLPG,Galapagos NV,20141216,Galapagos loses partner on inflammatory bowel drug ,BRUSSELS  Dec 16 Belgian biotech group Galapagos  said on Tuesday that its research partner Janssen Pharmaceutica  a unit of Johnson & Johnson  had pulled out of a programme to develop a new drug to treat bowel disease.,normal
GLPG,Galapagos NV,20141216,BRIEF-Galapagos regains full rights to bowel drug ,* Galapagos regains full rights to GPR84 inhibitor GLPG1205,normal
LULU,lululemon athletica inc,20141216,Canada West Coast ports offer little relief from U.S. delays ,VANCOUVER  Dec 16 The gridlock at U.S. West Coast ports that has forced McDonald's to ration French fries at its Japanese restaurants and interrupted supplies to retailers such as Lululemon is unlikely to be alleviated by routing cargoes through Canada  whose Pacific ports face their own problems.,topStory
MGIC,Magic Software Enterprises Ltd,20141216,Raptors maintain mastery over Magic ,TORONTO -The Toronto Raptors have the Orlando Magic's number.,topStory
QCOM,QUALCOMM Incorporated,20141216,As Qualcomm decision looms  U.S. presses China on antitrust policy ,BEIJING U.S. President Barack Obama pressed China's Xi Jinping during recent talks on the use of Chinese antitrust policy to limit royalty fees for foreign companies  an issue at the heart of a probe into U.S. mobile chipset maker Qualcomm Inc.,topStory
QCOM,QUALCOMM Incorporated,20141216,RPT-As Qualcomm decision looms  U.S. presses China on antitrust policy ,BEIJING  Dec 16 U.S. President Barack Obama pressed China's Xi Jinping during recent talks on the use of Chinese antitrust policy to limit royalty fees for foreign companies  an issue at the heart of a probe into U.S. mobile chipset maker Qualcomm Inc.,normal
QCOM,QUALCOMM Incorporated,20141216,As Qualcomm decision looms  U.S. presses China on antitrust policy ,BEIJING U.S. President Barack Obama pressed China's Xi Jinping during recent talks on the use of Chinese antitrust policy to limit royalty fees for foreign companies  an issue at the heart of a probe into U.S. mobile chipset maker Qualcomm Inc.,normal
QCOM,QUALCOMM Incorporated,20141216,As Qualcomm decision looms  U.S. presses China on antitrust policy ,BEIJING  Dec 16 U.S. President Barack Obama pressed China's Xi Jinping during recent talks on the use of Chinese antitrust policy to limit royalty fees for foreign companies  an issue at the heart of a probe into U.S. mobile chipset maker Qualcomm Inc.,normal
SABR,Sabre Corporation,20141216,Dotcom darling Lastminute.com changes hands for $120 million ,LONDON Lastminute.com  a company that came to symbolize the rise and fall of Internet firms in the dotcom bubble  is to be bought by Swiss online travel company Bravofly Rumbo Group  for about $120 million  owner U.S. company Sabre Corp said.,topStory
SABR,Sabre Corporation,20141216,Dotcom darling Lastminute.com changes hands for $120 mln ,LONDON  Dec 16 Lastminute.com  a company that came to symbolise the rise and fall of Internet firms in the dotcom bubble  is to be bought by Swiss online travel company Bravofly Rumbo Group  for about $120 million  owner U.S. company Sabre Corp said.,normal
SABR,Sabre Corporation,20141216,BRIEF-Bravofly Rumbo Group makes binding offer to acquire lastminute.com from Sabre Corporation ,* Makes binding offer to acquire lastminute.com from Sabre Corporation,normal
VRSK,Verisk Analytics Inc,20141216,Verisk Analytics scraps plan to buy EagleView Technology Corp ,WASHINGTON  Verisk Analytics' said on Tuesday it would scrap its plan to buy EagleView Technology Corp because the Federal Trade Commission said it would file a lawsuit to block the deal.,topStory
VRSK,Verisk Analytics Inc,20141216,Verisk Analytics scraps plan to buy EagleView Technology Corp ,WASHINGTON Verisk Analytics'  said on Tuesday it would scrap its plan to buy EagleView Technology Corp because the Federal Trade Commission said it would file a lawsuit to block the deal.,normal
VOD,Vodafone Group Plc,20141216,Vodafone to get $850 million Canada finance  mainly for BlackBerry ,OTTAWA British mobile phone operator Vodafone Group PLC will get $850 million in Canadian trade financing to help it buy enterprise services from BlackBerry Ltd  Ottawa said on Tuesday.,topStory
VOD,Vodafone Group Plc,20141216,Resurgent BT comes back to haunt old rival Vodafone ,LONDON BT's move to buy mobile operator EE is expected to put  the former state-owned telecoms giant back in pole position as fixed line and mobile services converge  forcing rivals such as Vodafone to make costly moves of their own to keep up.,normal
VOD,Vodafone Group Plc,20141216,Resurgent BT comes back to haunt old rival Vodafone ,LONDON  Dec 16 BT's move to buy mobile operator EE is expected to put  the former state-owned telecoms giant back in pole position as fixed line and mobile services converge  forcing rivals such as Vodafone to make costly moves of their own to keep up.,normal
VOD,Vodafone Group Plc,20141216,CORRECTED-Vodafone to get $850 mln Canada finance  mainly for BlackBerry ,OTTAWA  Dec 16 British mobile phone operator Vodafone Group PLC will get $850 million in Canadian trade financing to help it buy enterprise services from BlackBerry Ltd  Ottawa said on Tuesday.,normal
MMM,3M Company,20141216,UPDATE 1-3M expects 2015 sales to rise 3-6 pct  raises dividend ,Dec 16 3M Co  a maker of adhesives  abrasives and other products for a variety of industries  said it expected organic sales to rise 3-6 percent in 2015  excluding the effect of foreign exchange rates.,topStory
MMM,3M Company,20141216,3M expects 2015 sales to grow 3-6 pct; raises dividend ,Dec 16 3M Co  a maker of adhesives  abrasives and other products for a variety of industries  said it expected organic sales to rise 3-6 percent in 2015  excluding the effect of foreign exchange rates.,normal
ACN,Accenture plc,20141216,INSIGHT-U.S. corporate health exchanges find no new blue chip clients ,NEW YORK  Dec 15 Healthcare companies including Aetna Inc  Mercer and Towers Watson & Co have invested hundreds of millions of dollars to build exchanges that allow company employees to buy their own insurance  betting that Corporate America wants to get out of managing workers' health benefits.,topStory
AET,Aetna Inc,20141216,U.S. corporate health exchanges find no new blue chip clients ,NEW YORK Healthcare companies including Aetna Inc  Mercer and Towers Watson & Co have invested hundreds of millions of dollars to build exchanges that allow company employees to buy their own insurance  betting that Corporate America wants to get out of managing workers' health benefits.,topStory
AET,Aetna Inc,20141216,INSIGHT-U.S. corporate health exchanges find no new blue chip clients ,NEW YORK  Dec 15 Healthcare companies including Aetna Inc  Mercer and Towers Watson & Co have invested hundreds of millions of dollars to build exchanges that allow company employees to buy their own insurance  betting that Corporate America wants to get out of managing workers' health benefits.,normal
APA,Apache Corporation,20141216,Apache to sell stakes in LNG projects to Woodside for $2.75 billion ,BENGALURU/SYDNEY- Apache Corp  has agreed to sell stakes in two liquefied natural gas developments  Wheatstone in Australia and Kitimat in Canada  for $2.75 billion to Woodside Petroleum   which "stress-tested" the projects against low crude prices before signing up to buy them.,topStory
APA,Apache Corporation,20141216,U.S. jury finds Apache did not breach contract with W&T Offshore ,Apache Corp was not in breach of contract in a lawsuit brought by Houston-based oil and gas producer W&T Offshore Inc in 2011  a federal jury found on Monday  according to a court filing.,normal
APA,Apache Corporation,20141216,US jury finds Apache did not breach contract with W&T Offshore ,Dec 15 Apache Corp was not in breach of contract in a lawsuit brought by Houston-based oil and gas producer W&T Offshore Inc in 2011  a federal jury found on Monday  according to a court filing.,normal
ADM,Archer-Daniels-Midland Company,20141216,Olam to become top-tier cocoa processor with $1.3 bln ADM deal ,NEW YORK/SINGAPORE Olam International Ltd  will buy Archer Daniels Midland Co's cocoa business for $1.3 billion  catapulting the Singapore-based commodities firm into the top tier of global suppliers to the growing chocolate business.,topStory
ADM,Archer-Daniels-Midland Company,20141216,UPDATE 1-China buyers in deals for more than 1 mln tonnes of U.S. soy ,(Adds details on sellers  buyers  background  futures prices),normal
ADM,Archer-Daniels-Midland Company,20141216,Olam to become top-tier cocoa processor with $1.3 bln ADM deal ,NEW YORK/SINGAPORE Olam International Ltd will buy Archer Daniels Midland Co's cocoa business for $1.3 billion  catapulting the Singapore-based commodities firm into the top tier of global suppliers to the growing chocolate business.,normal
ADM,Archer-Daniels-Midland Company,20141216,Factbox: ADM's and Olam's cocoa businesses ,Olam International Ltd's $1.3 billion deal to buy Archer Daniels Midland Co's cocoa business will create one of the world's top cocoa bean processors and traders  rivaling Barry Callebaut AG and Cargill Inc.,normal
ADM,Archer-Daniels-Midland Company,20141216,UPDATE 3-Olam to become top-tier cocoa processor with $1.3 bln ADM deal ,NEW YORK/SINGAPORE  Dec 16 Olam International Ltd will buy Archer Daniels Midland Co's cocoa business for $1.3 billion  catapulting the Singapore-based commodities firm into the top tier of global suppliers to the growing chocolate business.,normal
ARR,ARMOUR Residential REIT Inc,20141216,UPDATE 1-Puma names Rihanna as women's creative director ,* Puma spending on marketing to catch up with Nike  Adidas,topStory
BBX,BBX Capital Corporation,20141216,BBX  CEO liable for fraud in SEC financial crisis case  says U.S. jury ,Florida lender BankAtlantic Bancorp Inc and its chief executive defrauded investors in 2007  early in the U.S. financial crisis  a federal jury found on Monday.,topStory
BBX,BBX Capital Corporation,20141216,BBX  CEO liable for fraud in SEC financial crisis case  says U.S. jury ,Florida lender BankAtlantic Bancorp Inc and its chief executive defrauded investors in 2007  early in the U.S. financial crisis  a federal jury found on Monday.,normal
BBX,BBX Capital Corporation,20141216,UPDATE 1-BBX  CEO liable for fraud in SEC financial crisis case  says US jury ,(Adds CEO Levan's comment  termination of merger agreement between BBX Capital and BFC Financial),normal
BBX,BBX Capital Corporation,20141216,BBX  CEO liable for fraud in SEC financial crisis case  U.S. jury says ,Dec 15 Florida lender BankAtlantic Bancorp Inc and its chief executive defrauded investors in 2007  early in the U.S. financial crisis  a federal jury found on Monday.,normal
BA,Boeing Company (The),20141216,Rockwell Collins executive sees big market in Boeing 777 retrofits ,NEW YORK Rockwell Collins Inc  sees a large opportunity to retrofit current-generation Boeing Co  777 aircraft with heads-up cockpit displays it is developing for the next-generation 777X  a senior executive told Reuters on Tuesday.,topStory
BA,Boeing Company (The),20141216,US STOCKS-Dow  S&P 500 edge up as energy shares rebound; Nasdaq slips ,* Indexes: Dow up 0.4 pct  S&P up 0.3 pct  Nasdaq down 0.1 pct   (Updates to afternoon),normal
BA,Boeing Company (The),20141216,US STOCKS-Energy rally boosts Wall St despite global growth woes ,* Indexes up: Dow 0.7 pct  S&P 0.6 pct  Nasdaq 0.3 pct   (Updates prices),normal
BA,Boeing Company (The),20141216,US STOCKS-Energy rally boosts Wall St despite global growth woes ,* Indexes up: Dow 0.9 pct  S&P 0.8 pct  Nasdaq 0.4 pct   (Updates to midday),normal
BP,BP plc,20141216,Drop in UK inflation helps FTSE shrug off Russia turmoil ,LONDON  Dec 16 Britain's top equity index rebounded off two-month lows on Tuesday as a drop in UK inflation propped up the stock market in the face of market turmoil caused by Russia.,topStory
BT,BT Group plc,20141216,Orange executive sees BT/EE deal closing by early 2016 ,PARIS British telecoms group BT's  plan to buy UK mobile operator EE for 12.5 billion pounds ($19.7 billion) should be completed by end-2015 or early 2016  said a senior executive of French group Orange  which owns half of the business.,topStory
BT,BT Group plc,20141216,Orange exec sees BT/EE deal closing by early 2016 ,PARIS  Dec 16 British telecoms group BT's  plan to buy UK mobile operator EE for 12.5 billion pounds ($19.7 billion) should be completed by end-2015 or early 2016  said a senior executive of French group Orange which owns half of the business.,normal
BT,BT Group plc,20141216,Fitch: EE Deal Would Strengthen BT Operating Profile ,(The following statement was released by the rating agency) LONDON  December 16 (Fitch) BT's planned purchase of EE would improve the  incumbent's operating profile  giving it significant scale in mobile to  complement a well-run fixed line business  Fitch Ratings says. The enlarged  group would benefit from revenue and cost synergies  including the recovery of  revenues that are currently lost to mobile substitution and the upselling  potential of quad-play  bundling mobile with its fixed voice,normal
BT,BT Group plc,20141216,Resurgent BT comes back to haunt old rival Vodafone ,LONDON BT's move to buy mobile operator EE is expected to put  the former state-owned telecoms giant back in pole position as fixed line and mobile services converge  forcing rivals such as Vodafone to make costly moves of their own to keep up.,normal
BT,BT Group plc,20141216,Resurgent BT comes back to haunt old rival Vodafone ,LONDON  Dec 16 BT's move to buy mobile operator EE is expected to put  the former state-owned telecoms giant back in pole position as fixed line and mobile services converge  forcing rivals such as Vodafone to make costly moves of their own to keep up.,normal
BT,BT Group plc,20141216,Woodford Investment Management backs proposed BT deal for EE ,LONDON Woodford Investment Management said on Tuesday it supported BT's proposed near-$20 billion takeover of mobile firm EE  saying it gave the firm an opportunity to become a leading player in the quad-play market.,normal
BT,BT Group plc,20141216,Woodford Investment Management backs proposed BT deal for EE ,LONDON  Dec 16 Woodford Investment Management said on Tuesday it supported BT's proposed near-$20 billion takeover of mobile firm EE  saying it gave the firm an opportunity to become a leading player in the quad-play market.,normal
BT,BT Group plc,20141216,European shares halt sell-off; Orange rallies on EE talks ,PARIS  Dec 16 European shares inched up in early trading on Tuesday  halting their week-long sell-off  with Orange and Deutsche Telekom rallying on news of talks with BT to sell EE.,normal
BPL,Buckeye Partners LP,20141216,Buckeye says 7 U.S. pipelines overbooked for January 2015 ,Dec 16 Buckeye Partners LP said on Tuesday nominations for seven of its refined product pipeline segments in the United States were overbooked for January 2015.,topStory
CVX,Chevron Corporation,20141216,Chevron awards contracts for North Sea Captain field expansion ,LONDON  Dec 16 Chevron awarded front end engineering and design contracts for the expansion of its Captain oil and gas field in the North Sea to British suppliers Wood Group and Amec Foster Wheeler  it said on Tuesday.,topStory
CVS,CVS Health Corporation,20141216,US STOCKS-Dow  S&P 500 edge up as energy shares rebound; Nasdaq slips ,* Indexes: Dow up 0.4 pct  S&P up 0.3 pct  Nasdaq down 0.1 pct   (Updates to afternoon),topStory
CVS,CVS Health Corporation,20141216,US STOCKS-Energy rally boosts Wall St despite global growth woes ,* Indexes up: Dow 0.7 pct  S&P 0.6 pct  Nasdaq 0.3 pct   (Updates prices),normal
CVS,CVS Health Corporation,20141216,US STOCKS-Energy rally boosts Wall St despite global growth woes ,* Indexes up: Dow 0.9 pct  S&P 0.8 pct  Nasdaq 0.4 pct   (Updates to midday),normal
DRI,Darden Restaurants Inc,20141216,UPDATE 2-Starboard intervention helps boost Darden sales ,* Q2 adj earnings/shr $0.28 vs. Est. $0.27   (Adds details from conference call  share milestone),topStory
DRI,Darden Restaurants Inc,20141216,Darden sales rise on growing demand at Olive Garden ,Darden Restaurants Inc reported a 4.9 percent rise in quarterly sales  helped by higher comparable sales at its flagship Olive Garden chain  and raised the lower end of its adjusted profit forecast for the full year.,normal
DRI,Darden Restaurants Inc,20141216,Darden sales rise on growing demand at Olive Garden ,Dec 16 Darden Restaurants Inc reported a 4.9 percent rise in quarterly sales as demand rose at its flagship Olive Garden chain.,normal
ECA,Encana Corporation,20141216,UPDATE 2-Encana to buck Canada oil industry trend and lift spending ,(Adds details and comments beginning with fourth paragraph; updates shares prices),topStory
ECA,Encana Corporation,20141216,Canada's Encana to raise spending in 2015 ,Dec 16 Encana Corp  Canada's largest natural gas producer  said it would spend more in 2015 as it shifts its focus to its four higher-margin oil-rich shale fields.,normal
XOM,Exxon Mobil Corporation,20141216,Exclusive: Citgo valued at more than $10 billion in revised bids - sources ,Citgo Petroleum Corp  Venezuela's U.S. oil refining unit  has received revised bids from at least four bidders  some which have valued the company at more than $10 billion  according to three people familiar with the matter.,normal
F,Ford Motor Company,20141216,U.S. factory activity growth at 11-month low in December: Markit ,NEW YORK  Dec 16 The U.S. manufacturing sector continued to expand in December but its growth rate hit an 11-month low  an industry report showed on Tuesday.,topStory
F,Ford Motor Company,20141216,Ford India to recall 20 752 EcoSport cars to inspect corrosion concerns ,MUMBAI Ford Motor Co's  India unit on Tuesday said it will recall 20 752 EcoSport cars in the country to correct concerns about fuel and vapor line corrosion in the long-term.,normal
F,Ford Motor Company,20141216,Ford India to recall 20 752 EcoSport cars to inspect corrosion concerns ,MUMBAI  Dec 16 Ford Motor Co's India unit on Tuesday said it will recall 20 752 EcoSport cars in the country to correct concerns about fuel and vapour line corrosion in the long-term.,normal
GFA,Gafisa SA,20141216,BRIEF-A.Y.U.S.P.E. Empreendimentos e Participações S.A. launches tender offer for Grupo Tavex ,* Spanish regulator CNMV says A.Y.U.S.P.E. Empreendimentos e Participações S.A. has launched tender offer for delisting of Grupo Tavex,topStory
GEH,General Electric Capital Corporation,20141216,GE sees 2015 profit pressured by 'sluggish' oil business ,NEW YORK General Electric Co gave a 2015 profit forecast range on Tuesday that barely included Wall Street's target as the U.S. conglomerate braced for a "sluggish" oil and gas sector due to plunging crude prices.,topStory
GEH,General Electric Capital Corporation,20141216,UPDATE 3-GE sees 2015 profit pressured by "sluggish" oil business ,* Sets target to raise margins by 50 basis points/year   (Adds CEO quote  details  background),normal
GEH,General Electric Capital Corporation,20141216,GE expects 2015 industrials units profit to rise at least 10 pct ,NEW YORK  Dec 16 General Electric Co said it expects profit from its industrial units to rise by at least 10 percent in 2015  as the conglomerate cuts reliance on its financial services business.,normal
GEH,General Electric Capital Corporation,20141216,Alstom nearing $700 mln U.S. bribery settlement -Bloomberg ,PARIS  Dec 16 Alstom is close to settling a bribery case with the U.S. Justice Department for $700 million  Bloomberg reported on Tuesday  citing people familiar with the matter.,normal
GEH,General Electric Capital Corporation,20141216,CAMBODIA PRESS-General Electric to sign power deal with Cambodian firm - Cambodia Daily ,U.S. conglomerate General Electric (GE) will sign a deal with Cambodia's state-owned utility company Electricite du Cambodge (EdC) on Thursday to improve the country's electricity grid  the Cambodia Daily reported  citing a press release from the U.S. Embassy. (http://bit.ly/1DDVBcm),normal
GEK,General Electric Capital Corporation,20141216,GE sees 2015 profit pressured by 'sluggish' oil business ,NEW YORK General Electric Co gave a 2015 profit forecast range on Tuesday that barely included Wall Street's target as the U.S. conglomerate braced for a "sluggish" oil and gas sector due to plunging crude prices.,topStory
GEK,General Electric Capital Corporation,20141216,UPDATE 3-GE sees 2015 profit pressured by "sluggish" oil business ,* Sets target to raise margins by 50 basis points/year   (Adds CEO quote  details  background),normal
GEK,General Electric Capital Corporation,20141216,GE expects 2015 industrials units profit to rise at least 10 pct ,NEW YORK  Dec 16 General Electric Co said it expects profit from its industrial units to rise by at least 10 percent in 2015  as the conglomerate cuts reliance on its financial services business.,normal
GEK,General Electric Capital Corporation,20141216,Alstom nearing $700 mln U.S. bribery settlement -Bloomberg ,PARIS  Dec 16 Alstom is close to settling a bribery case with the U.S. Justice Department for $700 million  Bloomberg reported on Tuesday  citing people familiar with the matter.,normal
GEK,General Electric Capital Corporation,20141216,CAMBODIA PRESS-General Electric to sign power deal with Cambodian firm - Cambodia Daily ,U.S. conglomerate General Electric (GE) will sign a deal with Cambodia's state-owned utility company Electricite du Cambodge (EdC) on Thursday to improve the country's electricity grid  the Cambodia Daily reported  citing a press release from the U.S. Embassy. (http://bit.ly/1DDVBcm),normal
GE,General Electric Company,20141216,GE sees 2015 profit pressured by 'sluggish' oil business ,NEW YORK General Electric Co gave a 2015 profit forecast range on Tuesday that barely included Wall Street's target as the U.S. conglomerate braced for a "sluggish" oil and gas sector due to plunging crude prices.,topStory
GE,General Electric Company,20141216,UPDATE 3-GE sees 2015 profit pressured by "sluggish" oil business ,* Sets target to raise margins by 50 basis points/year   (Adds CEO quote  details  background),normal
GE,General Electric Company,20141216,GE expects 2015 industrials units profit to rise at least 10 pct ,NEW YORK  Dec 16 General Electric Co said it expects profit from its industrial units to rise by at least 10 percent in 2015  as the conglomerate cuts reliance on its financial services business.,normal
GE,General Electric Company,20141216,Alstom nearing $700 mln U.S. bribery settlement -Bloomberg ,PARIS  Dec 16 Alstom is close to settling a bribery case with the U.S. Justice Department for $700 million  Bloomberg reported on Tuesday  citing people familiar with the matter.,normal
GE,General Electric Company,20141216,CAMBODIA PRESS-General Electric to sign power deal with Cambodian firm - Cambodia Daily ,U.S. conglomerate General Electric (GE) will sign a deal with Cambodia's state-owned utility company Electricite du Cambodge (EdC) on Thursday to improve the country's electricity grid  the Cambodia Daily reported  citing a press release from the U.S. Embassy. (http://bit.ly/1DDVBcm),normal
GEB,General Electric Company,20141216,GE sees 2015 profit pressured by 'sluggish' oil business ,NEW YORK General Electric Co gave a 2015 profit forecast range on Tuesday that barely included Wall Street's target as the U.S. conglomerate braced for a "sluggish" oil and gas sector due to plunging crude prices.,topStory
GEB,General Electric Company,20141216,UPDATE 3-GE sees 2015 profit pressured by "sluggish" oil business ,* Sets target to raise margins by 50 basis points/year   (Adds CEO quote  details  background),normal
GEB,General Electric Company,20141216,GE expects 2015 industrials units profit to rise at least 10 pct ,NEW YORK  Dec 16 General Electric Co said it expects profit from its industrial units to rise by at least 10 percent in 2015  as the conglomerate cuts reliance on its financial services business.,normal
GEB,General Electric Company,20141216,Alstom nearing $700 mln U.S. bribery settlement -Bloomberg ,PARIS  Dec 16 Alstom is close to settling a bribery case with the U.S. Justice Department for $700 million  Bloomberg reported on Tuesday  citing people familiar with the matter.,normal
GEB,General Electric Company,20141216,CAMBODIA PRESS-General Electric to sign power deal with Cambodian firm - Cambodia Daily ,U.S. conglomerate General Electric (GE) will sign a deal with Cambodia's state-owned utility company Electricite du Cambodge (EdC) on Thursday to improve the country's electricity grid  the Cambodia Daily reported  citing a press release from the U.S. Embassy. (http://bit.ly/1DDVBcm),normal
GS,Goldman Sachs Group Inc (The),20141216,MOVES-DFG hires Goldman executives to leveraged loan platform ,Dec 16 Asset management firm DFG Investment Advisers Inc said Roberta Goss and Timothy Milton from Goldman Sachs have joined the company as senior members of its leveraged loan platform.,topStory
HLF,Herbalife LTD,20141216,U.S. SEC says dropping insider trading case related to Herbalife ,WASHINGTON The U.S. Securities and Exchange Commission moved on Monday to dismiss insider-trading proceedings against a man accused of illegally trading in Herbalife.,topStory
HLF,Herbalife LTD,20141216,UPDATE 1-US SEC says dropping insider trading case related to Herbalife ,WASHINGTON  Dec 15 The U.S. Securities and Exchange Commission moved on Monday to dismiss insider-trading proceedings against a man accused of illegally trading in Herbalife.,normal
HLF,Herbalife LTD,20141216,US SEC says dropping insider trading case related to Herbalife ,WASHINGTON The U.S. Securities and Exchange Commission moved on Monday to dismiss insider-trading proceedings against a man accused of illegally trading in Herbalife.,normal
HMC,Honda Motor Company Ltd,20141216,Honda to recall more than 500 000 cars in China due to Takata air bags ,BEIJING Chinese authorities said on Tuesday that Honda Motor Co. and its two joint ventures in China would recall 569 769 cars due to potentially defective air bags which the carmaker said were made by Japan's Takata Corp..,topStory
HMC,Honda Motor Company Ltd,20141216,Honda to recall more than 500 000 cars in China due to Takata air bags ,BEIJING  Dec 16 Chinese authorities said on Tuesday that Honda Motor Co. and its two joint ventures in China would recall 569 769 cars due to potentially defective air bags which the carmaker said were made by Japan's Takata Corp..,normal
