ALXN,Alexion Pharmaceuticals Inc,20140903,UK watchdog backs Alexion's "very expensive" drug ,LONDON  Sept 4 Britain's healthcare cost watchdog has recommended a drug to treat a rare blood disease from U.S. biotech group Alexion Pharmaceuticals  even though it said the medicine was "very expensive".,topStory
GOOGL,Alphabet Inc,20140903,UPDATE 2-Google's Calico  AbbVie forge deal against diseases of aging ,Sept 3 U.S. drugmaker AbbVie Inc and Calico  a new company set up by Google Inc to cure diseases of aging  will each invest $250 million to help create Calico research facilities and collaborate on discovery and development of new medicines.,normal
GOOGL,Alphabet Inc,20140903,Apple  Google resume talks with tech workers in hiring lawsuit -filing ,SAN FRANCISCO  Sept 3 Four tech companies including Apple and Google have resumed mediation talks with tech workers who are suing over hiring practices in Silicon Valley  according to a court filing on Wednesday.,normal
GOOGL,Alphabet Inc,20140903,AbbVie  Calico forge deal against age-related diseases , ,normal
GOOGL,Alphabet Inc,20140903,India's smartphone wars: Google's Android One adds to Samsung's worries ,* Android One threatens much pricing pressure for Samsung,normal
GOOGL,Alphabet Inc,20140903,Google starts quantum computing research project ,Google Inc said a research team led by physicist John Martinis from the University of California Santa Barbara will join the company to start a project to build new quantum information processors based on superconducting electronics.,normal
GOOGL,Alphabet Inc,20140903,Google starts quantum computing research project ,Sept 2 Google Inc said a research team led by physicist John Martinis from the University of California Santa Barbara will join the company to start a project to build new quantum information processors based on superconducting electronics.,normal
AMZN,Amazoncom Inc,20140903,Amazon CFO to step down next summer amid investor discontent ,Amazon.com Inc's finance chief plans to step down next summer after more than a dozen years at the post  the e-commerce company said on Wednesday  at a time when more investors have been complaining about skimpy profits and high spending.,topStory
AMZN,Amazoncom Inc,20140903,UPDATE 2-Amazon CFO to step down next summer amid investor discontent ,Sept 3 Amazon.com Inc's finance chief plans to step down next summer after more than a dozen years at the post  the e-commerce company said on Wednesday  at a time when more investors have been complaining about skimpy profits and high spending.,normal
AAPL,Apple Inc,20140903,RPT-US STOCKS SNAPSHOT-S&P 500  Nasdaq end down with Apple , ,topStory
AAPL,Apple Inc,20140903,RPT-US STOCKS SNAPSHOT-S&P 500  Nasdaq end down with Apple ,NEW YORK  Sept 3 The Nasdaq and S&P 500 ended lower on Wednesday  dragged down by a drop in shares of Apple   while the Dow finished with a slight gain.,normal
AAPL,Apple Inc,20140903,Apple  Google resume talks with tech workers in hiring lawsuit: filing ,SAN FRANCISCO Four technology companies  including Apple  and Google   have resumed mediation talks with tech workers in a high-profile lawsuit over hiring practices in Silicon Valley  according to a court filing.,normal
AAPL,Apple Inc,20140903,UPDATE 1-Apple  Google resume talks with tech workers in hiring lawsuit -filing ,SAN FRANCISCO  Sept 3 Four technology companies  including Apple and Google  have resumed mediation talks with tech workers in a high-profile lawsuit over hiring practices in Silicon Valley  according to a court filing.,normal
AAPL,Apple Inc,20140903,Apple  Google resume talks with tech workers in hiring lawsuit -filing ,SAN FRANCISCO  Sept 3 Four tech companies including Apple and Google have resumed mediation talks with tech workers who are suing over hiring practices in Silicon Valley  according to a court filing on Wednesday.,normal
AAPL,Apple Inc,20140903,Apple says its systems not to blame for celebrity photo breach ,SAN FRANCISCO (This story corrects reputation.com CEO's last name to Fertik  instead of Fertike  on second reference  15th paragraph),normal
AAPL,Apple Inc,20140903,BUZZ-U.S. Stocks on the Move-Apple  Mobileye  Local Corp  Marrone ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning Call newsletter  http://link.reuters.com/nex49s),normal
AAPL,Apple Inc,20140903,UPDATE 1-Apple shares slump ahead of Sept 9 iPhone launch ,NEW YORK  Sept 3 Apple Inc shares were on track Wednesday for their worst day since January just days ahead of the launch of its latest iPhone  with one brokerage warning of a stock downgrade unless its new products show better promise for profit growth.,normal
AAPL,Apple Inc,20140903,Samsung unveils Galaxy Note 4 with extras but no breakaway features ,* Note 4 adds novel accessories  fixes prior design missteps,normal
AAPL,Apple Inc,20140903,RPT-Celebrity hacking clouds Apple's upcoming product launch ,SAN FRANCISCO  Sept 3 Apple Inc has often displayed uncanny timing  with its well-orchestrated end-of-year iPhone releases. But the leak of racy celebrity photos in the past few days put the company in the unusual position of having to mend its image just days before a highly anticipated Sept. 9 product launch.,normal
BIDU,Baidu Inc,20140903,Baidu boosts location-based platform with new services  $10 million investment ,BEIJING Baidu Inc launched on Wednesday a service that helps retailers advertise on the smartphones of nearby users as China's dominant search engine company expands its location-based technology to drive growth.,topStory
BIDU,Baidu Inc,20140903,Baidu boosts location-based platform with new services  $10 mln investment ,BEIJING  Sept 3 Baidu Inc launched on Wednesday a service that helps retailers advertise on the smartphones of nearby users as China's dominant search engine company expands its location-based technology to drive growth.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
DLBL,Barclays PLC,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
DLBL,Barclays PLC,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
DTYL,Barclays PLC,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
DTYL,Barclays PLC,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
CHTR,Charter Communications Inc,20140903,Charter  Comcast name spin-off company GreatLand Connections ,Charter Communications Inc and Comcast Corp said a new cable company to be spun off from Comcast after it buys Time Warner Cable Inc will be called GreatLand Connections Inc.,topStory
CHTR,Charter Communications Inc,20140903,Charter  Comcast name spin-off company GreatLand Connections ,Sept 3 Charter Communications Inc and Comcast Corp said a new cable company to be spun off from Comcast after it buys Time Warner Cable Inc will be called GreatLand Connections Inc.,normal
CMRX,Chimerix Inc,20140903,Chimerix says antiviral shows promise against Ebola ,Chimerix Inc said its lead experimental drug showed promise against the deadly Ebola virus in laboratory testing at the U.S. Centers for Disease Control and Prevention and the National Institutes of Health.,topStory
CMCSA,Comcast Corporation,20140903,Xfinity to become title sponsor of NASCAR's second-tier series ,Internet provider Xfinity will become the title sponsor of NASCAR's second-tier series  currently the Nationwide Series  in a 10-year deal that runs through 2024  NASCAR and Comcast Corp said Wednesday.,topStory
CMCSA,Comcast Corporation,20140903,Xfinity to become title sponsor of NASCAR's second-tier series ,Internet provider Xfinity will become the title sponsor of NASCAR's second-tier series  currently the Nationwide Series  in a 10-year deal that runs through 2024  NASCAR and Comcast Corp said Wednesday.,normal
CMCSA,Comcast Corporation,20140903,Xfinity to become title sponsor of NASCAR's second-tier series ,Sept 3 Internet provider Xfinity will become the title sponsor of NASCAR's second-tier series  currently the Nationwide Series  in a 10-year deal that runs through 2024  NASCAR and Comcast Corp said Wednesday.,normal
CMCSA,Comcast Corporation,20140903,Charter  Comcast name spin-off company GreatLand Connections ,Charter Communications Inc and Comcast Corp said a new cable company to be spun off from Comcast after it buys Time Warner Cable Inc will be called GreatLand Connections Inc.,normal
CMCSA,Comcast Corporation,20140903,Charter  Comcast name spin-off company GreatLand Connections ,Sept 3 Charter Communications Inc and Comcast Corp said a new cable company to be spun off from Comcast after it buys Time Warner Cable Inc will be called GreatLand Connections Inc.,normal
COST,Costco Wholesale Corporation,20140903,Costco is fined  to fix refrigerant leaks in Clean Air Act case ,Costco Wholesale Corp will pay a $335 000 fine and spend about $2 million over three years to fix refrigerant leaks and make other improvements at 274 stores to settle allegations that the warehouse club operator violated the federal Clean Air Act.,topStory
COST,Costco Wholesale Corporation,20140903,Costco is fined  to fix refrigerant leaks in Clean Air Act case ,Sept 3 Costco Wholesale Corp will pay a $335 000 fine and spend about $2 million over three years to fix refrigerant leaks and make other improvements at 274 stores to settle allegations that the warehouse club operator violated the federal Clean Air Act.,normal
DISCA,Discovery Communications Inc,20140903,S.Africa's Discovery says has little exposure to failed Abil ,JOHANNESBURG  Sept 3 South African health insurer Discovery said it had only limited exposure to failed African Bank Investments (Abil) as it reported an expected 20 percent jump in headline full-year earnings on Wednesday.,topStory
DISCB,Discovery Communications Inc,20140903,S.Africa's Discovery says has little exposure to failed Abil ,JOHANNESBURG  Sept 3 South African health insurer Discovery said it had only limited exposure to failed African Bank Investments (Abil) as it reported an expected 20 percent jump in headline full-year earnings on Wednesday.,topStory
DISCK,Discovery Communications Inc,20140903,S.Africa's Discovery says has little exposure to failed Abil ,JOHANNESBURG  Sept 3 South African health insurer Discovery said it had only limited exposure to failed African Bank Investments (Abil) as it reported an expected 20 percent jump in headline full-year earnings on Wednesday.,topStory
FB,Facebook Inc,20140903,Facebook goes down for some U.S. users ,SAN FRANCISCO Facebook Inc went down briefly for an unknown number of U.S. users on Wednesday afternoon in what appeared to be the latest outage to affect the world's largest social network.,topStory
FB,Facebook Inc,20140903,UPDATE 1-Facebook goes down for some U.S. users ,SAN FRANCISCO  Sept 3 Facebook Inc went down briefly for an unknown number of U.S. users on Wednesday afternoon in what appeared to be the latest outage to affect the world's largest social network.,normal
FB,Facebook Inc,20140903,US STOCKS-Wall Street ends mixed as Apple weighs on Nasdaq ,* Dow up 0.06 pct  S&P down 0.08 pct  Nasdaq off 0.56 pct   (Updates to close),normal
FB,Facebook Inc,20140903,Facebook goes down for some U.S. users ,SAN FRANCISCO  Sept 3 Facebook Inc went down for an unknown number of U.S. users on Wednesday afternoon  in what appeared to be the latest outage to affect the world's largest social network.,normal
FB,Facebook Inc,20140903,US STOCKS-Wall St mixed as Apple weighs on Nasdaq ,* Dow up 0.14 pct  S&P flat  Nasdaq off 0.44 pct   (Updates to afternoon  adds detail on Apple shares),normal
FB,Facebook Inc,20140903,UPDATE 1-Samsung launches virtual reality headset for Galaxy Note 4 ,Sept 3 Samsung Electronics Co Ltd  has launched a virtual reality headset for its new Galaxy Note 4 phablet using technology from Oculus VR  a company that Facebook Inc acquired for $2 billion.,normal
FB,Facebook Inc,20140903,Samsung launches virtual reality headset for Galaxy Note 4 ,Samsung Electronics Co Ltd has launched a virtual reality headset for its new Galaxy Note 4 phablet using technology from Oculus VR  a company that Facebook Inc is buying for $2 billion.,normal
FLEX,Flex Ltd,20140903,BRIEF-Thin Film Electronics announces partnership with Flextronics ,Sept 3 Thin Film Electronics ASA :  * Announces partnership with Flextronics   * Says as part of the deal  Flextronics will expand its open innovation platform with addition of Thinfilm's technology and offer Thinfilm's printed electronics products and solutions  * Source text for Eikon  * Further company coverage,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
FLAT,iPath US Treasury Flattener ETN,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
FLAT,iPath US Treasury Flattener ETN,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
STPP,iPath US Treasury Steepener ETN,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
STPP,iPath US Treasury Steepener ETN,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
MORN,Morningstar Inc,20140903,Pimco Total Return Fund suffers 16th month of outflows: Morningstar ,NEW YORK Investors pulled cash from the Pimco Total Return Fund for a 16th straight month in August despite some improvement in performance for the world's largest bond fund.,topStory
MORN,Morningstar Inc,20140903,Pimco Total Return Fund had net outflows of $3.9 bln in August - Morningstar ,NEW YORK  Sept 3 The Pimco Total Return Fund  the world's largest bond fund run by Bill Gross  had net outflows of $3.9 billion in August  marking the 16th straight month of outflows  according to Morningstar on Wednesday.,normal
RYAAY,Ryanair Holdings plc,20140903,Deals of the day- Mergers and acquisitions ,(Adds Family Dollar Stores  Ryanair  Dassault Aviation  Citigroup  BP  Mutuelle Generale),topStory
RYAAY,Ryanair Holdings plc,20140903,UPDATE 1-Ryanair  Aegean submit non-binding proposals for Cyprus Air ,NICOSIA  Sept 3 Ryanair  Europe's largest budget airline  and Greece's Aegean were among companies that submitted non-binding proposals for the acquisition of Cyprus Airways  Cyprus's transport minister told Reuters on Wednesday.,normal
RYAAY,Ryanair Holdings plc,20140903,Ryanair  Aegean submit non-binding proposal for Cyprus Air ,NICOSIA  Sept 3 Europe's largest budget airline Ryanair and Greece's Aegean were among companies that submitted non-binding proposals for the acquisition of Cyprus Airways  Cyprus's transport minister told Reuters on Wednesday.,normal
TSLA,Tesla Inc ,20140903,UPDATE 1-Tesla settles on Nevada for battery factory - source ,DETROIT  Sept 3 Tesla Motors Inc is finalizing terms of a deal to build its first lithium-ion battery plant in Nevada and will make an announcement about the deal on Thursday  a person familiar with the matter said.,topStory
TSLA,Tesla Inc ,20140903,Tesla settles on Nevada for "gigafactory" site -CNBC ,Sept 3 Tesla Motors Inc has decided to build its "gigafactory"  in Nevada  CNBC on Wednesday cited sources as saying  picking from among several U.S. states for the future site of an estimated $4 billion to $5 billion battery plant to produce cheaper and more efficient battery packs.,normal
CG,The Carlyle Group LP,20140903,Carlyle  Fountainvest exit $1.9 bln bid for Shanda Games ,HONG KONG  Sept 3 Private equity firms Carlyle Group and Fountainvest Partners have pulled out of a consortium backing a $1.9 billion bid to buy U.S. listed online games developer Shanda Games Ltd  Shanda said on Sept. 3.,topStory
TCGP,The Carlyle Group LP,20140903,Carlyle  Fountainvest exit $1.9 bln bid for Shanda Games ,HONG KONG  Sept 3 Private equity firms Carlyle Group and Fountainvest Partners have pulled out of a consortium backing a $1.9 billion bid to buy U.S. listed online games developer Shanda Games Ltd  Shanda said on Sept. 3.,topStory
VOD,Vodafone Group Plc,20140903,UPDATE 2-Vodafone shares turn higher on Softbank report -traders ,(Adds SoftBank no comment and share price; detail on Nikkei Business Daily report),topStory
ABBV,AbbVie Inc,20140903,Google's Calico  AbbVie forge deal against diseases of aging ,U.S. drugmaker AbbVie Inc  and Calico  a new company set up by Google Inc  to cure diseases of aging  will each invest $250 million to help create Calico research facilities and collaborate on discovery and development of new medicines.,topStory
ABBV,AbbVie Inc,20140903,UPDATE 2-Google's Calico  AbbVie forge deal against diseases of aging ,Sept 3 U.S. drugmaker AbbVie Inc and Calico  a new company set up by Google Inc to cure diseases of aging  will each invest $250 million to help create Calico research facilities and collaborate on discovery and development of new medicines.,normal
ABBV,AbbVie Inc,20140903,AbbVie  Calico forge deal against age-related diseases , ,normal
AER,Aercap Holdings NV,20140903,Abu Dhabi's Waha Capital in $575 mln hedging deal on half of AerCap stake ,DUBAI  Sept 3 Abu Dhabi's Waha Capital  has entered into a $575 million hedging deal on half of its stake in AerCap Holdings  the Emirati investment company said on Wednesday.,topStory
AET,Aetna Inc,20140903,U.S. healthcare spending growth to slow further: government report ,WASHINGTON U.S. healthcare spending is expected to grow more slowly in the coming decade as a sluggish economic recovery and higher cost sharing in private insurance plans limit demand for services  a government report released on Wednesday said.,topStory
AET,Aetna Inc,20140903,U.S. healthcare spending growth to slow further - gov't report ,WASHINGTON  Sept 3 U.S. healthcare spending is expected to grow more slowly in the coming decade as a sluggish economic recovery and higher cost sharing in private insurance plans limit demand for services  a government report released on Wednesday said.,normal
APA,Apache Corporation,20140903,Apache CEO says LNG assets may be included in spin out ,HOUSTON  Sept 3 Apache Corp's interest in two liquefied natural gas (LNG) projects in Canada and Australia may be included as part of a potential spin off of the U.S. oil and gas company's international assets  Chief Executive Officer Steve Farris said on Wednesday.,topStory
AZN,Astrazeneca PLC,20140903,UK court backs Teva rival to AstraZeneca lung drug ,TEL AVIV Teva Pharmaceutical Industries said Britain's High Court had handed down a positive judgment regarding its case against a patent for AstraZeneca's Symbicort lung drug.,topStory
AZN,Astrazeneca PLC,20140903,UPDATE 1-UK court backs Teva rival to AstraZeneca lung drug ,TEL AVIV  Sept 3 Teva Pharmaceutical Industries  said Britain's High Court had handed down a positive judgment regarding its case against a patent for AstraZeneca's  Symbicort lung drug.,normal
AZN,Astrazeneca PLC,20140903,UK court backs Teva rival to AstraZeneca lung drug ,TEL AVIV  Sept 3 Teva Pharmaceutical Industries  said Britain's High Court had handed down a positive judgment regarding its case against a patent for AstraZeneca's  Symbicort lung drug.,normal
BAC,Bank of America Corporation,20140903,New Issue- Bank of America prices 1.5 bln euro 2021 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 101bp,topStory
BAC,Bank of America Corporation,20140903,UPDATE 1-Market Chatter-Corporate finance press digest ,Sept 3 The following corporate finance-related stories were reported by media:,normal
BAC,Bank of America Corporation,20140903,Market Chatter- Corporate finance press digest ,Sept 3 The following corporate finance-related stories were reported by media:,normal
BAC,Bank of America Corporation,20140903,JPMorgan in talks to sell oil-supply agreement to BoA: WSJ ,JPMorgan Chase & Co  is in talks to sell its oil-supply agreement with a major Philadelphia refinery to Bank of America Corp   the Wall Street Journal reported Tuesday  citing people familiar with the matter.,normal
BCS,Barclays PLC,20140903,MOVES-RBC Capital Markets hires from Barclays  BofA Merrill Lynch ,Sept 3  RBC Capital Markets  the corporate and investment banking arm of Royal Bank of Canada  said it made several appointments to its newly created European equity telecom research and specialist sales team  as well as to its consumer team.,topStory
BCS,Barclays PLC,20140903,Bradley  Mahan and Simpson named as U.S. wildcards ,NEW YORK United States captain Tom Watson  helped by a late "revelation"  opted for experience and form in choosing Keegan Bradley  Hunter Mahan and Webb Simpson as his wildcard picks for this month's Ryder Cup against Europe.,normal
BBT,BB&T Corporation,20140903,Citi sells more branches in Texas to BB&T ,Citigroup Inc  agreed to sell another 41 branches in Texas to BB&T Corp  as the third-largest U.S. bank cuts back on brick-and-mortar outlets and focuses on online banking.,topStory
BBT,BB&T Corporation,20140903,UPDATE 2-Citi sells more branches in Texas to BB&T ,(Adds comments from BB&T CEO  additional information on Citigroup's strategy; updates share prices),normal
BBT,BB&T Corporation,20140903,Janney adds exec to New York office from BB&T ,NEW YORK Philadelphia-based brokerage Janney Montgomery Scott LLC said on Wednesday it hired a new vice president of investments for its New York City office.,normal
BBT,BB&T Corporation,20140903,ON THE MOVE-Janney adds exec to New York office from BB&T ,NEW YORK  Sept 3 Philadelphia-based brokerage Janney Montgomery Scott LLC said on Wednesday it hired a new vice president of investments for its New York City office.,normal
BBT,BB&T Corporation,20140903,BB&T to buy 41 branches in Texas from Citi ,Sept 3 BB&T Corp agreed to buy 41 branches in Texas from Citigroup Inc  adding to the 21 it had acquired last December in the state from Citi.,normal
BBL,BHP Billiton plc,20140903,Australia shares edge higher  led by financials ,* Strong U.S. manufacturing data   (Adds analysis  quotes  stocks on the move),topStory
BA,Boeing Company (The),20140903,Transportation buoys new U.S. factory orders in July ,WASHINGTON  Sept 3 -  New orders for U.S. factory goods jumped in July on robust demand for transportation equipment  with the overall trend pointing to strengthening manufacturing activity.,topStory
BP,BP plc,20140903,BP buys Scandinavian jet fuel business ,LONDON Oil and gas producer BP  will buy Scandinavian aviation fuel business Statoil Fuel & Retail (SFR)  adding 73 airports to its around 600-strong global fuel network  the company said on Wednesday.,topStory
BP,BP plc,20140903,BP buys Scandinavian jet fuel business ,LONDON  Sept 3 Oil and gas producer BP  will buy Scandinavian aviation fuel business Statoil Fuel & Retail (SFR)  adding 73 airports to its around 600-strong global fuel network  the company said on Wednesday.,normal
BP,BP plc,20140903,UPDATE 1-Market Chatter-Corporate finance press digest ,Sept 3 The following corporate finance-related stories were reported by media:,normal
BP,BP plc,20140903,BP Healthcare directors plan $157 mln Malaysia IPO of shell firm -sources ,KUALA LUMPUR  Sept 3 Directors of Malaysia's BP Healthcare  a diagnostics-to-laboratory medical group  plan to raise up to 500 million ringgit ($157 million) through a special purpose acquisition vehicle (SPAC) listing next year  according to two sources with direct knowledge of the deal.,normal
BRFS,BRF SA,20140903,STXNEWS LATAM-Lactalis agrees to buy Brazil's BRF dairy units for $805 mln ,Sept 3 French food giant Groupe Lactalis agreed to acquire Brazil's BRF dairy units for 1.8 billion reais ($805 million)  the Brazilian company said in a filing on Wednesday.,topStory
