ADBE,Adobe Systems Incorporated,20140523,UPDATE 1-Apple  Google  Intel  Adobe to pay $325 mln to settle hiring lawsuit ,(Adds comment from plaintiffs' lawyer  details about plaintiffs),topStory
DLBL,Barclays PLC,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
DLBL,Barclays PLC,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
DLBL,Barclays PLC,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
DTYL,Barclays PLC,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
DTYL,Barclays PLC,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DTYL,Barclays PLC,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DTYL,Barclays PLC,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
DTYL,Barclays PLC,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
DTYL,Barclays PLC,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
BIIB,Biogen Inc,20140523,EU agency recommends new drugs from Roche  Biogen and PTC ,LONDON European regulators said on Friday they had recommended approval of Roche's drug Gazyvaro  or obinutuzumab  for patients with chronic lymphocytic leukemia  boosting the Swiss group's line-up of new cancer treatments.,topStory
BIIB,Biogen Inc,20140523,UPDATE 1-EU agency recommends new drugs from Roche  Biogen and PTC ,LONDON  May 23 European regulators said on Friday they had recommended approval of Roche's drug Gazyvaro  or obinutuzumab  for patients with chronic lymphocytic leukaemia  boosting the Swiss group's line-up of new cancer treatments.,normal
BIIB,Biogen Inc,20140523,EU agency recommends drugs from Roche  Novartis  Biogen and PTC ,LONDON  May 23 European regulators said on Friday they had recommended approval of Roche's new drug Gazyvaro  or obinutuzumab  for patients with chronic lymphocytic leukaemia.,normal
EBAY,eBay Inc,20140523,Exclusive: EBay initially believed user data safe after cyberattack ,BOSTON/SAN FRANCISCO EBay Inc initially believed that its customers' data was safe as forensic investigators reviewed a network security breach discovered in early May and made public this week  a senior executive told Reuters on Friday.,topStory
EBAYL,eBay Inc,20140523,Exclusive: EBay initially believed user data safe after cyberattack ,BOSTON/SAN FRANCISCO EBay Inc initially believed that its customers' data was safe as forensic investigators reviewed a network security breach discovered in early May and made public this week  a senior executive told Reuters on Friday.,topStory
INTC,Intel Corporation,20140523,UPDATE 1-Apple  Google  Intel  Adobe to pay $325 mln to settle hiring lawsuit ,(Adds comment from plaintiffs' lawyer  details about plaintiffs),topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
DTYS,iPath US Treasury 10-year Bear ETN,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
DTUS,iPath US Treasury 2-year Bear ETN,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
DTUL,iPath US Treasury 2-year Bull ETN,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
DFVS,iPath US Treasury 5-year Bear ETN,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
DFVL,iPath US Treasury 5-year Bull ETN,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
FLAT,iPath US Treasury Flattener ETN,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
FLAT,iPath US Treasury Flattener ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
FLAT,iPath US Treasury Flattener ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
FLAT,iPath US Treasury Flattener ETN,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
FLAT,iPath US Treasury Flattener ETN,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
FLAT,iPath US Treasury Flattener ETN,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
STPP,iPath US Treasury Steepener ETN,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
STPP,iPath US Treasury Steepener ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
STPP,iPath US Treasury Steepener ETN,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
STPP,iPath US Treasury Steepener ETN,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
STPP,iPath US Treasury Steepener ETN,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
STPP,iPath US Treasury Steepener ETN,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
MAYS,J W Mays Inc,20140523,UPDATE 2-Italy's Eni wins 1st non oil-indexed gas deal from Russia ,* Analysts: To add 560 mln euros to Eni's operating profit,topStory
PTC,PTC Inc,20140523,EU agency recommends new drugs from Roche  Biogen and PTC ,LONDON European regulators said on Friday they had recommended approval of Roche's drug Gazyvaro  or obinutuzumab  for patients with chronic lymphocytic leukemia  boosting the Swiss group's line-up of new cancer treatments.,topStory
PTC,PTC Inc,20140523,UPDATE 1-EU agency recommends new drugs from Roche  Biogen and PTC ,LONDON  May 23 European regulators said on Friday they had recommended approval of Roche's drug Gazyvaro  or obinutuzumab  for patients with chronic lymphocytic leukaemia  boosting the Swiss group's line-up of new cancer treatments.,normal
PTCT,PTC Therapeutics Inc,20140523,US STOCKS-Wall St rises modestly on home sales lift ,* PTC shares soar on EU backing for muscular dystrophy drug,topStory
PTCT,PTC Therapeutics Inc,20140523,US STOCKS-Wall St rises modestly after new home sales data ,* PTC shares soar on EU backing for muscular dystrophy drug,normal
PTCT,PTC Therapeutics Inc,20140523,US STOCKS-Wall St to open flat ahead of new home sales data ,* PTC shares soar on EU backing for muscular dystrophy drug,normal
PTCT,PTC Therapeutics Inc,20140523,PTC shares soar on EU backing for muscular dystrophy drug ,LONDON Shares in U.S. biotech company PTC Therapeutics more than doubled in premarket dealings on Friday after European regulators recommended a conditional marketing authorization for Translarna  its drug for Duchenne muscular dystrophy.,normal
TSLA,Tesla Inc ,20140523,UPDATE 1-Panasonic aims to be sole producer in Tesla's U.S. mega-factory ,* Will spend more than double budget on auto batteries this year   (Adds quotes from executive  background of companies' relationship  details on Panasonic strategy),topStory
TSLA,Tesla Inc ,20140523,Panasonic to spend double original capex plan on auto batteries this year- exec ,OSAKA  May 23 Panasonic Corp expects to spend over 28 billion yen ($275 million) on capex into its auto batteries this year  twice its confirmed budget  with some to be invested into lithium-ion batteries for Tesla Motor Inc's  electric vehicles.,normal
TSLA,Tesla Inc ,20140523,Panasonic wants to be sole battery cell maker at Tesla project -exec ,OSAKA  Japan  May 23 Panasonic Corp  wants to be the exclusive producer of lithium-ion battery cells at U.S. electric car maker Tesla Motors Inc's planned multibillion-dollar battery factory  a senior executive of the Japanese company said on Friday.,normal
CG,The Carlyle Group LP,20140523,Shinsei  Carlyle short-listed in StanChart HK unit sale:  sources ,HONG KONG/SINGAPORE Japan's Shinsei Bank Ltd  and Carlyle Group  are among suitors who have advanced to a final round of bidding for Standard Chartered's  Hong Kong consumer finance unit  people familiar with the matter said.,topStory
CG,The Carlyle Group LP,20140523,UPDATE 1-Shinsei  Carlyle short-listed in StanChart HK unit sale -sources ,* Chow Tai Fook Enterprises  UA Finance among others shortlisted   (Adds details on PrimeCredit),normal
CG,The Carlyle Group LP,20140523,Shinsei  Carlyle short-listed in StanChart HK unit sale -sources ,HONG KONG/SINGAPORE  May 23 Japan's Shinsei Bank Ltd and Carlyle Group are among suitors who have advanced to a final round of bidding for Standard Chartered's  Hong Kong consumer finance unit  people familiar with the matter said.,normal
TCGP,The Carlyle Group LP,20140523,Shinsei  Carlyle short-listed in StanChart HK unit sale:  sources ,HONG KONG/SINGAPORE Japan's Shinsei Bank Ltd  and Carlyle Group  are among suitors who have advanced to a final round of bidding for Standard Chartered's  Hong Kong consumer finance unit  people familiar with the matter said.,topStory
TCGP,The Carlyle Group LP,20140523,UPDATE 1-Shinsei  Carlyle short-listed in StanChart HK unit sale -sources ,* Chow Tai Fook Enterprises  UA Finance among others shortlisted   (Adds details on PrimeCredit),normal
TCGP,The Carlyle Group LP,20140523,Shinsei  Carlyle short-listed in StanChart HK unit sale -sources ,HONG KONG/SINGAPORE  May 23 Japan's Shinsei Bank Ltd and Carlyle Group are among suitors who have advanced to a final round of bidding for Standard Chartered's  Hong Kong consumer finance unit  people familiar with the matter said.,normal
ADM,Archer-Daniels-Midland Company,20140523,ADM bids for German flavors firm Wild as suitors line up ,LONDON/FRANKFURT Leading global agribusiness group Archer Daniels Midland Co  is among the bidders for German drink and food flavors maker Wild in a transaction valued at 1.5 billion euros ($2.04 billion)  sources familiar with the deal said on Friday.,topStory
ADM,Archer-Daniels-Midland Company,20140523,UPDATE 2-ADM bids for German flavors firm Wild as suitors line up ,(Recasts; adds analyst quote  background  Givaudan declining to comment),normal
ADM,Archer-Daniels-Midland Company,20140523,Deals of the day- Mergers and acquisitions ,(Adds Archer Daniel Midlands  Etisalat  Cemex  Ecom  Generali  SSAB  Apax; Updates Greene King),normal
ADM,Archer-Daniels-Midland Company,20140523,ADM bids for flavours firm Wild as suitors line up - sources ,LONDON/FRANKFURT  May 23 Leading global agribusiness group Archer Daniels Midland Co is among the bidders for German drink and food flavours maker Wild in a deal valued at 1.5 billion euros ($2.04 billion)  sources familiar with the deal said on Friday.,normal
AZN,Astrazeneca PLC,20140523,Britain's FTSE posts weekly loss; AstraZeneca bounces late ,* FTSE slips 0.1 pct  posts biggest weekly loss since April,topStory
AZN,Astrazeneca PLC,20140523,European Factors to Watch-Shares seen steady  focus on elections ,(Adds futures prices  company news)     LONDON  May 23 European shares are expected to open steady on Friday  with investors seen avoiding strong bets ahead of Ukrainian and European election results.     At 0625 GMT  futures for the Euro STOXX 50  Britain's FTSE 100   Germany's DAX and France's CAC were flat to 0.09 percent lower.     Investors will keep a close eye on Ukraine  where more than a dozen servicemen were reported killed on Thursday in a clash with pro-Russian separatist,normal
AZN,Astrazeneca PLC,20140523,UPDATE 1-UK Stocks-Factors to watch on May 23 ,LONDON  May 23 Britain's FTSE 100 index is seen opening flat on Friday  while the June FTSE futures contract slipped 0.1 percent by 0620 GMT  with uncertainty over European elections seen pegging back markets. For more on the factors affecting European stocks  please click on,normal
AZN,Astrazeneca PLC,20140523,UK Stocks-Factors to watch on May 23 ,LONDON  May 23 Britain's FTSE 100 index is seen opening flat on Friday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
BCS,Barclays PLC,20140523,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,topStory
BCS,Barclays PLC,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
BCS,Barclays PLC,20140523,How a Barclays' options trader manipulated the gold price fix ,LONDON  May 23 Daniel Plunkett  an options trader at Barclays Plc  became the first person to be fined for manipulating the setting of gold prices by Britain's financial watchdog on Friday.,normal
BCS,Barclays PLC,20140523,UPDATE 3-Barclays slapped with $44 mln fine over gold price fix ,* Gold price manipulation took place a day after Libor fine,normal
BCS,Barclays PLC,20140523,CORRECTED-Shareholders flex muscles as companies slow to change ,(Corrects fourth paragraph to show recommendations concerned only votes on pay reports  and that the comparison was with all of last year's AGMs  not just those held before May 6),normal
BCS,Barclays PLC,20140523,UK regulator fines Barclays over gold price setting ,LONDON  May 23 Britain's financial regulator has fined Barclays Plc 26 million pounds for control failings regarding price setting of gold prices.,normal
BLK,BlackRock Inc,20140523,UPDATE 1-BlackRock's Thiel says periphery bond holdings lowest in 2 years ,LONDON  May 23 BlackRock  the world's biggest asset manager  said on Friday one of its main bond funds had cut its holdings of peripheral euro zone government debt to their lowest since the height of the crisis.,topStory
BLK,BlackRock Inc,20140523,UPDATE 1-UK Stocks-Factors to watch on May 23 ,LONDON  May 23 Britain's FTSE 100 index is seen opening flat on Friday  while the June FTSE futures contract slipped 0.1 percent by 0620 GMT  with uncertainty over European elections seen pegging back markets. For more on the factors affecting European stocks  please click on,normal
BLK,BlackRock Inc,20140523,UK Stocks-Factors to watch on May 23 ,LONDON  May 23 Britain's FTSE 100 index is seen opening flat on Friday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
CX,Cemex SAB de CV,20140523,Deals of the day- Mergers and acquisitions ,(Adds Archer Daniel Midlands  Etisalat  Cemex  Ecom  Generali  SSAB  Apax; Updates Greene King),topStory
CX,Cemex SAB de CV,20140523,UPDATE 3-Mexico cuts economic growth forecast after weak 1st quarter ,(Recasts with government growth revision  comment from Cemex executive),normal
CX,Cemex SAB de CV,20140523,Cemex takes broadly upbeat view of Holcim  Lafarge merger ,MEXICO CITY  May 23 Mexican cement maker Cemex  said on Friday it expected the planned merger between its rivals Lafarge SA and Holcim Ltd  to be broadly positive for the industry  and is open to exploring acquisitions that may result from it.,normal
CVX,Chevron Corporation,20140523,CORRECTED-Fire damages Atlas Energy natgas processing plant in Indiana ,(Corrects Paragraph 4 to say affected plant is not part of Chevron assets),topStory
KO,Coca-Cola Company (The),20140523,Bottler Coca-Cola HBC sees slower volume growth in Russia ,RADZYMIN  Poland  May 23 Coca-Cola HBC (CC HBC)    the world's No. 2 bottler of Coca-Cola Co  drinks  expects volume growth in Russia to slow to "mid single digits" in 2014  the firm's chief executive said.,topStory
