ACHC,Acadia Healthcare Company Inc,20120904,CORRECTED-Acadia buys residential treatment facility in Illinois for $90 mln ,(Corrects paragraph two to say Timberline had a revenue of about $33 mln  not earnings),topStory
MMM,3M Company,20120904,US antitrust objection blocks 3M-Avery office products deal ,WASHINGTON  Sept 4 3M Co is abandoning its plan to acquire Avery Dennison Corp's office products groups after antitrust authorities at the U.S. Justice Department threatened a civil lawsuit to block the deal  the department said on Tuesday.,normal
AEM,Agnico Eagle Mines Limited,20120904,Agnico-Eagle board approves development of Mexican mine ,Sept 4 Canadian gold miner Agnico-Eagle Mines Ltd said its board approved the development and construction of a mine in Mexico.,topStory
AA,Alcoa Corporation,20120904,Italy minister sees little interest in Alcoa plant ,ROME  Sept 4 Prospects of finding a buyer for Alcoa Inc's loss-making aluminium works in Sardinia are extremely remote  Italian Industry Minister Corrado Passera said on Tuesday.,topStory
AXL,American Axle & Manufacturing Holdings Inc,20120904,TEXT-Fitch affirms American Axle & Manufacturing Holdings Inc ,Sept 4 - Fitch Ratings has affirmed the 'B+' Issuer Default Ratings (IDRs) of American Axle & Manufacturing Holdings  Inc. (AXL) and its American Axle & Manufacturing  Inc. (AAM) subsidiary. Included in its rating actions  Fitch has assigned a rating of 'B-/RR6' to AAM's proposed issuance of $550 million in senior unsecured notes due 2022. Fitch also has affirmed the  ratings on AAM's secured revolving credit facility and 9.25% senior secured  notes at 'BB+/RR1'  while it has affirmed AAM's seni,topStory
AEUA,Anadarko Petroleum Corporation,20120904,Anadarko restarts four Gulf of Mexico platforms ,NEW YORK  Sept 4 Anadarko Petroleum Corp  said on Tuesday it restored production at its Constitution  Marco Polo  Gunnison and Independence Hub platforms in the eastern and central Gulf of Mexico  which were shut as ther storm Isaac pelted the region last week.,topStory
APC,Anadarko Petroleum Corporation,20120904,Anadarko restarts four Gulf of Mexico platforms ,NEW YORK  Sept 4 Anadarko Petroleum Corp  said on Tuesday it restored production at its Constitution  Marco Polo  Gunnison and Independence Hub platforms in the eastern and central Gulf of Mexico  which were shut as ther storm Isaac pelted the region last week.,topStory
AON,Aon plc,20120904,Global reinsurance capital hits record levels - Aon ,Sept 4 Reinsurers worldwide had $480 billion in capital available at the end of June  up 5 percent from the end of 2011 as the  industry posted smaller disaster losses and charged higher prices in some areas  brokerage Aon Benfield said on Tuesday.,topStory
AVY,Avery Dennison Corporation,20120904,3M drops office products deal after U.S. antitrust objection ,WASHINGTON 3M Co is abandoning its plan to acquire Avery Dennison Corp's office products groups after antitrust authorities at the U.S. Justice Department threatened a civil lawsuit to block the deal  the department said on Tuesday.,topStory
AVY,Avery Dennison Corporation,20120904,UPDATE 1-3M drops office products deal after US antitrust objection ,WASHINGTON  Sept 4 3M Co is abandoning its plan to acquire Avery Dennison Corp's office products groups after antitrust authorities at the U.S. Justice Department threatened a civil lawsuit to block the deal  the department said on Tuesday.,normal
AVY,Avery Dennison Corporation,20120904,US antitrust objection blocks 3M-Avery office products deal ,WASHINGTON  Sept 4 3M Co is abandoning its plan to acquire Avery Dennison Corp's office products groups after antitrust authorities at the U.S. Justice Department threatened a civil lawsuit to block the deal  the department said on Tuesday.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20120904,UPDATE 1-Mexico's Banorte eyes BBVA pension funds in Mexico  Colombia  Peru ,MONTERREY  Sept 4 Mexican financial group Banorte said on Tuesday that it is eyeing pension funds that Spain's No. 2 bank BBVA may sell in Latin America for a possible acquisition.,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20120904,Mexico's Banorte eyes BBVA pension funds in Mexico  Colombia  Peru ,MONTERREY  Sept 4 Mexican financial group Banorte said on Tuesday that it is eyeing pension funds that Spain's No. 2 bank BBVA may sell in Latin America for a possible acquisition.,normal
SAN,Banco Santander SA,20120904,Santander eyes 3.4 billion euros from Mexico listing ,MADRID/MEXICO CITY Spanish bank Santander  said on Tuesday it would seek to raise up to 3.4 billion euros ($4.3 billion) through the stock market listing of a quarter of its Mexican unit as it looks to boost capital levels and weather a grinding recession at home.,topStory
SAN,Banco Santander SA,20120904,UPDATE 4-Santander eyes 3.4 bln euros from Mexico listing ,* Stock market listing could be largest ever in Mexico     * Shares to be priced at 29 to 33.5 Mexican pesos     * Santander aims to list most important units within 5 years       By Sonya Dowsett and Herbert Lash     MADRID/MEXICO CITY  Sept 4 Spanish bank Santander said on Tuesday it would seek to raise up to 3.4 billion euros ($4.3 billion) through the stock market listing of a quarter of its Mexican unit as it looks to boost capital levels and weather a grinding recession at home,normal
SAN,Banco Santander SA,20120904,Santander's Mexico unit sets terms for New York IPO ,Sept 4 Spanish bank Santander's Mexican unit  Santander Mexico Financial Group  said it plans to sell 235 million American depositary shares at between $10.99 and $12.70 apiece in its New York listing.,normal
CIB,BanColombia SA,20120904,TEXT-Fitch expects to rate Bancolombia S.A. subordinated notes 'BBB-' ,(The following statement was released by the rating agency),topStory
CIB,BanColombia SA,20120904,BRIEF-Moody's rates Bancolombia's proposed subordinated debt ,Sept 4 Bancolombia SA :  * Moody's rates bancolombia's proposed subordinated debt issuance  * Moody's rates bancolombia's proposed subordinated debt issuance baa3,normal
BAC,Bank of America Corporation,20120904,New Issue- Rabobank Nederland prices 1.0 bln euro 2022 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 279.3bp,topStory
BAC,Bank of America Corporation,20120904,New Issue- Daimler AG prices 750 mln euro 2022 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 112.5bp,normal
BCS,Barclays PLC,20120904,MOVES-Societe Generale  Canaccord Financial  RBS  Barclays ,Sept 4 The following financial services industry appointments and departures were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
BCS,Barclays PLC,20120904,Exclusive: Libor probe claims Barclays executive and a trader ,NEW YORK The fallout from an investigation into the attempted manipulation of global benchmark interest rates has again rocked Barclays Plc  as the bank recently ousted a top executive and a trader in New York for their roles in the scandal  according to regulatory filings obtained on Tuesday.,normal
BBY,Best Buy Co Inc,20120904,Best Buy's new CEO wants to learn from the front line ,NEW YORK Best Buy's  new chief executive  Hubert Joly  will spend much of his first week on the job wearing a blue shirt and working the floor as a salesman at the chain's stores in Minnesota as the restructuring expert tackles criticism that he lacks retail experience.,topStory
BA,Boeing Company (The),20120904,Boeing sees sales of joint U.S.-Israeli missile shield ,WASHINGTON Boeing Co  foresees global demand for a ballistic missile-defense shield it is co-developing to help guard Israel  the head of the company's military business said on Tuesday.,topStory
BA,Boeing Company (The),20120904,Boeing sees sales of joint U.S.-Israeli missile shield ,WASHINGTON  Sept 4 Boeing Co foresees global demand for a ballistic missile-defense shield it is co-developing to help guard Israel  the head of the company's military business said on Tuesday.,normal
BA,Boeing Company (The),20120904,UPDATE 1-No room for mergers at top of US arms industry -Boeing ,* Consolidation expected among small and mid-sized companies,normal
BA,Boeing Company (The),20120904,UPDATE 1-Airbus raises demand forecasts on Asia-Pacific growth ,LONDON  Sept 4 Airbus  the world's largest manufacturer of passenger jets  raised its 20-year industry forecast for aircraft deliveries by about 5 percent as its annual survey of global aviation demand pointed to healthy long-term growth.,normal
BA,Boeing Company (The),20120904,India will need 1 450 planes over next 20 years - Boeing ,* India has potential  but currently hurt by costs  taxes,normal
BP,BP plc,20120904,North Sea Crude-Slightly stronger despite more on the way ,* Forties indicated around 5 cents higher     * October loading programmes due this week     * BP offer six North Sea cargoes of various grades     * Chevron books VLCC to load Forties for S.Korea      LONDON  Sept 4 North Sea Forties crude differentials strengthened a little on Tuesday despite reports of improving supplies for September and as the end of a maintenance period in the North Sea promised to increase volumes of Forties for October.     In an indication of a return to nor,topStory
