AMRN,Amarin Corporation plc,20121207,Amarin raises funding for heart drug  partnership worries pull down shares ,Biopharmaceutical company Amarin Corp Plc said it raised $100 million in non-equity financing that will help it form a sales force to launch its heart drug Vascepa  but disappointed investors hoping for a sale or partnership.,topStory
MSFT,Microsoft Corporation,20121207,EU regulators receive fresh patent complaints - official ,BRUSSELS  Dec 7 EU regulators are examining fresh complaints about alleged infringements of technology patents  a senior EU antitrust official said on Friday  a sign of the increasing stakes in the battle to protect intellectual property rights.,normal
NFLX,Netflix Inc,20121207,SEC wrestles with Internet age in Netflix case ,WASHINGTON A U.S. regulatory probe of Netflix Inc over disclosures made on its chief executive's Facebook page could prove an important test of whether a rule designed to prevent leaks to analysts can translate to the social media age.,topStory
NFLX,Netflix Inc,20121207,U.S. SEC wrestles with Internet age in Netflix case ,* SEC warned Netflix it may face action over Facebook post,normal
NFLX,Netflix Inc,20121207,Analysis: Hollywood sees licensing cash cow in Disney-Netflix deal ,That's the sound ringing in the ears of Hollywood studio executives after Walt Disney Co landed a rich deal with Netflix to stream its movies to television.,normal
NFLX,Netflix Inc,20121207,TEXT-S&P discusses potential credit effects of Disney/Netflix deal ,Dec 7 - On Dec. 4  2012  Netflix Inc. (rated 'BB-' with a stable rating outlook) and The Walt Disney Co. (A/Stable/A-1) announced a licensing agreement that will make Netflix the exclusive U.S. subscription television service for first-run live-action and animated feature films from The Walt Disney Studios  starting with films released in 2016. We believe this is a groundbreaking agreement  as it is the first such arrangement between an online subscription video-on-demand (SVOD) operator (Netfli,normal
NFLX,Netflix Inc,20121207,US STOCKS-Wall Street set for higher open after payrolls data ,NEW YORK  Dec 7 Wall Street was set for a higher open on Friday in the wake of data showing U.S. employment grew in November  defying expectations of a sharp pull back relating to Superstorm Sandy.,normal
NFLX,Netflix Inc,20121207,REFILE-UPDATE 3-Netflix says CEO's Facebook post triggered SEC notice ,* CEO Hastings says information posted was not "material",normal
RYAAY,Ryanair Holdings plc,20121207,EU sets December 20 deadline for final Ryanair concessions ,BRUSSELS EU antitrust regulators have given Ryanair  until December 20 to offer more concessions before deciding whether to clear or block the budget airline's third takeover attempt for Aer Lingus   a person familiar with the matter said on Friday.,topStory
RYAAY,Ryanair Holdings plc,20121207,EU sets Dec. 20 deadline for final Ryanair concessions ,BRUSSELS  Dec 7 EU antitrust regulators have given Ryanair until Dec. 20 to offer more concessions before deciding whether to clear or block the budget airline's third takeover attempt for Aer Lingus  a person familiar with the matter said on Friday.,normal
SIRI,Sirius XM Holdings Inc,20121207,TEXT-S&P: Sirius XM rating unchanged after stock repurchase ,Dec 7 - Standard & Poor's Ratings Services said today that its corporate credit rating and outlook on Sirius XM Radio Inc. (BB/Stable/--) is not currently affected by the announcement that its board of directors has approved a $2 billion common stock repurchase program and a $325 million special dividend payable on Dec. 28  2012. The timing and magnitude of share repurchases have not been determined by the company. We expect Sirius XM will fund the share repurchase program through cash  which wa,topStory
CG,The Carlyle Group LP,20121207,Carlyle may sell Medical Park stake by June ,ISTANBUL U.S. private equity firm Carlyle Group  may complete the sale of its shares in Medical Park in the first half of 2013  the Turkish hospital group's chairman said.,topStory
CG,The Carlyle Group LP,20121207,Carlyle may sell Medical Park stake by June ,ISTANBUL  Dec 7 U.S. private equity firm Carlyle Group may complete the sale of its shares in Medical Park in the first half of 2013  the Turkish hospital group's chairman said.,normal
TCGP,The Carlyle Group LP,20121207,Carlyle may sell Medical Park stake by June ,ISTANBUL U.S. private equity firm Carlyle Group  may complete the sale of its shares in Medical Park in the first half of 2013  the Turkish hospital group's chairman said.,topStory
TCGP,The Carlyle Group LP,20121207,Carlyle may sell Medical Park stake by June ,ISTANBUL  Dec 7 U.S. private equity firm Carlyle Group may complete the sale of its shares in Medical Park in the first half of 2013  the Turkish hospital group's chairman said.,normal
ZGNX,Zogenix Inc,20121207,FDA panel opposes recommending painkiller  cites safety ,WASHINGTON A U.S. Food and Drug Administration panel of outside experts voted against recommending Zogenix Inc's Zohydro painkiller for FDA approval on Friday  citing concerns about the danger of addiction posed by the drug class known as opioids.,topStory
AET,Aetna Inc,20121207,Aetna reaches $120 million settlement over reimbursements ,Aetna Inc   the third-largest U.S. health insurer  has agreed to pay as much as $120 million to settle nationwide litigation over how it reimburses members for out-of-network medical services.,topStory
AET,Aetna Inc,20121207,UPDATE 3-Aetna reaches $120 mln settlement over reimbursements ,* Aetna to pay $60 mln  plus up to $60 mln more     * Insurer accused of underpaying out-of-network claims     * Shares of Aetna up about 2 pct   (Adds comment from plaintiffs' lawyer  updates stock price)     By Jonathan Stempel     Dec 7 Aetna Inc  the third-largest U.S. health insurer  has agreed to pay as much as $120 million to settle nationwide litigation over how it reimburses members for out-of-network medical services.     The accord calls for Aetna to pay $60 million into a,normal
AET,Aetna Inc,20121207,Aetna reaches $120 million settlement over reimbursements ,Aetna Inc   the third-largest U.S. health insurer  has agreed to pay as much as $120 million to settle nationwide litigation over how it reimburses members for out-of-network medical services.,normal
AET,Aetna Inc,20121207,Aetna reaches $120 million settlement over reimbursements ,Aetna Inc   the third-largest U.S. health insurer  has agreed to pay as much as $120 million to settle nationwide litigation over how it pays claims for services by out-of-network providers.,normal
AET,Aetna Inc,20121207,Aetna to pay up to $120 mln to settle case over payments ,Dec 7 Aetna Inc on Friday said it agreed to pay as much as $120 million to settle litigation over its practices on the payment of claims for services by providers with which Aetna does not have a contract.,normal
AIG,American International Group Inc,20121207,AIG sees at least $1.3 billion Sandy loss  more than peers ,Insurer American International Group Inc on Friday said it expects after-tax losses of at least $1.3 billion from Superstorm Sandy  a much bigger hit than some of its largest peers have reported.,topStory
AIG,American International Group Inc,20121207,UPDATE 1-AIG sees at least $1.3 bln Sandy loss  more than peers ,Dec 7 Insurer American International Group Inc  on Friday said it expects after-tax losses of at least $1.3 billion from Superstorm Sandy  a much bigger hit than some of its largest peers have reported.,normal
AIG,American International Group Inc,20121207,AIG expects loss of at least $1.3 bln from Sandy ,Dec 7 Insurer American International Group Inc  on Friday said it expects after-tax losses of at least $1.3 billion from Superstorm Sandy.,normal
AIG,American International Group Inc,20121207,AIG sale of ILFC expected early next week - source ,NEW YORK  Dec 7 Insurer American International Group Inc is expected to announce the sale of its airplane leasing business ILFC to a Chinese consortium early next week  a source familiar with the situation said on Friday.,normal
AIG,American International Group Inc,20121207,ICBC  Chinese firms in talks to buy AIG unit ILFC - Bloomberg ,HONG KONG  Dec 7 A group of Chinese companies  including the country's largest bank Industrial and Commercial Bank of China (ICBC)   is in talks with American International Group to buy the U.S. company's aircraft leasing business ILFC  Bloomberg reported on Friday.,normal
T,AT&T Inc,20121207,TEXT - Fitch rates AT&T snr unsecured notes offering 'A' ,Dec 7 - Fitch Ratings has assigned an 'A' rating to AT&T Inc.'s    (AT&T) offering of $1 billion 0.8% senior unsecured notes due 2015  $1.5  billion 1.4% senior unsecured notes due 2017 and $1.5 billion of 2.625% senior  unsecured notes due 2022. Proceeds are expected to be used for general corporate purposes. The Rating Outlook is Negative.  The current 'A' rating is supported by AT&T's financial flexibility  the  company's diversified revenue mix  its significant size and economies of scale  a,topStory
BSBR,Banco Santander Brasil SA,20121207,Santander Brasil lays off 1000 workers in cost overhaul ,* Santander  other banks cut costs as Brazil margins shrink,topStory
BAC,Bank of America Corporation,20121207,'Fiscal cliff' woes could extend into 2014-BofA ,CHARLOTTE  North Carolina If the United States goes off the "fiscal cliff" and stays there for too long  the economy could suffer into 2014  Bank of America Corp's  head of commercial banking says.,topStory
BAC,Bank of America Corporation,20121207,BofA and U.S. Bancorp can be sued as WaMu bond trustees - judge ,* Chicago pension fund said banks failed to protect investors,normal
BNS,Bank of Nova Scotia (The),20121207,Scotiabank profit rises 31 percent on wholesale banking ,Bank of Nova Scotia  capped off the fourth-quarter earnings season for Canadian banks with a slightly stronger than expected 31 percent profit gain on Friday  as strong wholesale banking income made up for more sluggish international growth.,topStory
BNS,Bank of Nova Scotia (The),20121207,UPDATE 3-Scotiabank profit rises 31 pct on wholesale banking ,* No guesses on when Bank of Guangzhou acquisition will close,normal
BNS,Bank of Nova Scotia (The),20121207,BRIEF-Scotiabank sees slower retail growth  wealth mgmt acquisitions ,TORONTO  Dec 7 Bank of Nova Scotia :  * Expects Canadian retail banking growth to slow in 2013  moderately higher,normal
BNS,Bank of Nova Scotia (The),20121207,BRIEF-Bank of Nova Scotia says has agreed to commercial terms on Guangzhou deal ,TORONTO  Dec 7 Bank of Nova Scotia :  * Says has agreed to commercial terms on Bank of Guangzhou acquisition,normal
BNS,Bank of Nova Scotia (The),20121207,Scotiabank profit rises 31 pct on international banking ,Dec 7 Bank of Nova Scotia's quarterly profit rose 31 percent  driven by strong gains in wholesale and international banking.,normal
BCS,Barclays PLC,20121207,Barclays to invest in Spanish "bad bank" -source ,LONDON  Dec 7 Britain's Barclays will invest in Spain's so-called 'bad bank' as a signal of its commitment to helping fix the country's banking troubles  a person familiar with the matter said on Friday.,topStory
BLK,BlackRock Inc,20121207,HP  RIM take flak from nervous financial industry customers ,NEW YORK JPMorgan Chase & Co and BlackRock Inc voiced concerns about Hewlett-Packard Co and Research In Motion Ltd this week  saying business and operational struggles may affect the reliability of two of the biggest technology service providers.,topStory
BA,Boeing Company (The),20121207,Boeing's engineer union says strike is likely  prepares workers ,NEW YORK Saying a strike now appears likely  the union representing Boeing Co's  23 000 engineers held picket-line training this week to prepare for a work stoppage that could disrupt billions of dollars worth of plane deliveries and help Airbus catch up to Boeing on jet designs.,topStory
BA,Boeing Company (The),20121207,Boeing's engineer union says strike is likely  prepares workers ,* Stoppage could disrupt deliveries of billions' worth of planes,normal
BA,Boeing Company (The),20121207,Airbus orders surge in November but lag Boeing ,PARIS Airbus confirmed on Friday it had sold 186 aircraft in November  putting it on the verge of meeting its goal for the full year but failing to close a gap with rival Boeing.,normal
BA,Boeing Company (The),20121207,Boeing books jet order cancellations of $1.2 billion net ,NEW YORK Boeing Co  said customers canceled orders for six planes worth nearly $1.9 billion at list prices  and booked orders for two planes worth $700 million.,normal
BA,Boeing Company (The),20121207,UPDATE 1-Boeing books jet order cancellations of $1.2 bln net ,NEW YORK  Dec 7 Boeing Co said customers cancelled orders for six planes worth nearly $1.9 billion at list prices  and booked orders for two planes worth $700 million.,normal
BA,Boeing Company (The),20121207,Airbus orders surge in November but lag Boeing ,PARIS Airbus confirmed on Friday it had sold 186 aircraft in November  putting it on the verge of meeting its goal for the full year but failing to close a gap with rival Boeing .,normal
BA,Boeing Company (The),20121207,UPDATE 2-Airbus orders surge in November but lag Boeing ,PARIS  Dec 7 Airbus confirmed on Friday it had sold 186 aircraft in November  putting it on the verge of meeting its goal for the full year but failing to close a gap with rival Boeing.,normal
BA,Boeing Company (The),20121207,UPDATE 1-Airbus orders surge in November but lag Boeing ,PARIS  Dec 7 Airbus confirmed on Friday it had sold 186 aircraft in November  putting it on the verge of meeting its goal for the full year but failing to close a gap with rival Boeing.,normal
BA,Boeing Company (The),20121207,Boeing books net cancellations of $1.2 billion in jet orders ,NEW YORK Boeing Co  said customers cancelled orders for six planes worth nearly $1.9 billion  and booked orders for two planes worth $700 million.,normal
BA,Boeing Company (The),20121207,Boeing books net cancellations of $1.2 billion in jet orders ,NEW YORK  Dec 7 Boeing Co said customers cancelled orders for six planes worth nearly $1.9 billion  and booked orders for two planes worth $700 million.,normal
BP,BP plc,20121207,UPDATE 1-BP to double size of Brazil cane mill in Goiàs state ,SAO PAULO  Dec 7 BP Biocombustiveis  a unit of oil company BP Plc  said on Friday that it will invest 716 million reais ($348 million) to double capacity at Tropical  its Brazilian sugar cane mill in Edèia in Goiàs state.,topStory
BG,Bunge Limited,20121207,UPDATE 1-Yara buys Brazilian fertiliser firm in $750 mln deal ,* Buys business from Bunge to boost products  distribution,topStory
BG,Bunge Limited,20121207,UPDATE 1-NORDIC STOCKS - Factors to watch on Dec 7 ,HELSINKI  Dec 7 The following stocks may be affected by newspaper reports and other factors on Friday:,normal
BG,Bunge Limited,20121207,Yara buys Bunge's Brazilian fertiliser business in $750 mln deal ,OSLO  Dec 7 Norway's Yara will buy the Brazilian fertilizer business of commodities giant Bunge  in a deal valued at $750 million  the firms said on Friday.,normal
CX,Cemex SAB de CV,20121207,TEXT-S&P puts CEMEX 'B-' credit rating on watch positive ,Overview      -- Mexico-based cement producer CEMEX successfully executed its liability  management and asset sales plan  which resulted in an extended debt maturity  profile and additional liquidity.      -- The company's operating performance remains on a positive trend and we  expect profitability and cash flow generation to improve further in 2013.      -- We are placing our ratings  including the 'B-' global scale and  'mxBB/mxB' national scale corporate credit ratings  on CEMEX on CreditWa,topStory
CVX,Chevron Corporation,20121207,UPDATE 1-YPF sees deals with Bridas  Chevron before year-end ,* In final stages of negotiating deals with two partners-CEO,topStory
SNP,China Petroleum & Chemical Corporation,20121207,China seen raising Saudi oil imports 11 pct in 2013 -trade ,BEIJING  Dec 7 China's crude oil imports from Saudi Arabia are likely to rise about 11 percent next year  faster than this year's growth rate  as refiners lift output in anticipation of an economic recovery and an increase in fuel demand  industry officials said.,topStory
C,Citigroup Inc,20121207,New York bike-sharing program delayed again because of storm ,NEW YORK The rollout of New York City's bicycle-sharing program  to be the largest in the United States  will be delayed for two months and initially scaled back because of damage that bikes and docking systems sustained during Superstorm Sandy.,topStory
C,Citigroup Inc,20121207,New York bike-sharing program delayed again because of storm ,NEW YORK Dec 7 The rollout of New York City's bicycle-sharing program  to be the largest in the United States  will be delayed for two months and initially scaled back because of damage that bikes and docking systems sustained during Superstorm Sandy.,normal
C,Citigroup Inc,20121207,UPDATE 1-Citi gas trades among those that sparked UK probe ,LONDON  Dec 7 U.S. bank Citigroup on Friday denied any improper activity by its traders after the bank confirmed its gas deals were among those that prompted investigations by Britain's financial and energy regulators.,normal
C,Citigroup Inc,20121207,Citi gas trades among those that sparked UK probe-Guardian ,LONDON  Dec 7 Citigroup has said its traders made two of the gas deals that prompted investigations by Britain's financial and energy regulators  Britain's Guardian newspaper reported on Friday  although Citigroup has denied any impropriety in the matter.,normal
CEO,CNOOC Limited,20121207,Canada approves Nexen and Progress Energy bids ,NEW YORK/OTTAWA Canadian authorities approved the acquisition of Nexen Inc by CNOOC Ltd and the purchase of Progress Energy by Petronas  easing months of anxiety over the fate of foreign investments in Canadian resources.,topStory
CEO,CNOOC Limited,20121207,UPDATE 4-Canada approves Nexen and Progress Energy bids ,* Gov't to impose stricter conditions on foreign investment   (Adds background on Nexen),normal
CEO,CNOOC Limited,20121207,Canada approves China  Malaysia energy company takeovers ,OTTAWA Canada on Friday approved CNOOC Ltd's landmark $15.1 billion bid for Nexen Inc  but said it would block virtually all new attempts by foreign state-owned enterprises to buy assets in the oil sands.,normal
CEO,CNOOC Limited,20121207,UPDATE 1-Canada OKs China  Malaysia energy company takeovers ,OTTAWA  Dec 7 Canada on Friday approved CNOOC Ltd's landmark $15.1 billion bid for Nexen Inc    but said it would block virtually all new attempts by foreign state-owned enterprises to buy assets in the oil sands.,normal
CEO,CNOOC Limited,20121207,CANADA FX DEBT-C$ firms after jobs data; CNOOC  Nexen deal eyed ,* C$ finishes at $0.9910 vs US$  or $1.0091     * C$ firms to $0.9887  or $1.0114 after Reuters reports Nexen/CNOOC deal approved      By Solarina Ho     TORONTO  Dec 7 The Canadian dollar strengthened for the fourth straight session and jumped to a one-month high against the U.S. dollar on Friday  after both the Canadian and U.S. economies added more jobs than expected in November.     The currency pared gains after a disappointing U.S. consumer sentiment report  but recovered again,normal
CEO,CNOOC Limited,20121207,Canada approves Chinese  Malaysian takeover of energy producers ,OTTAWA  Dec 7 Canada gave the green light on Friday for state-owned Chinese and Malaysian firms to snap up two domestic energy companies  but said that in the future it would only approve investments in the oil sands by state-owned companies on an exceptional basis.,normal
CEO,CNOOC Limited,20121207,CANADA FX-C$ firms after source says CNOOC bid for Nexen approved ,TORONTO  Dec 7 The Canadian dollar firmed to C$0.9887 against the U.S. currency after a source familiar with the matter told Reuters that a C$15.1 billion bid from China's CNOOC Ltd for Nexen Inc had been approved by Canada's federal government.,normal
CEO,CNOOC Limited,20121207,CANADA STOCKS-TSX ends flat ahead of word on Nexen  Progress ,* TSX ends up 8.46 points  0.07 pct  at 12 159.59     * Index slips 0.65 pct on week     * PM expected to announce ruling on CNOOC bid for Nexen     * Nexen shares fall 6.4 percent     * Enbridge up 3.9 pct after proposing pipeline expansion      By Alastair Sharp     TORONTO  Dec 7 Canada's main stock index edged higher on Friday despite a sharp drop in shares of Nexen Inc  and Progress Energy Resources Corp ahead of a government announcement on what is expected to be its ruling on ,normal
CEO,CNOOC Limited,20121207,CNOOC  Nexen deal approved by Canadian gov't-source ,Dec 7 Canadian authorities have approved the acquisition of Nexen Inc by China's CNOOC Ltd   a source familiar with the matter said on Friday.,normal
CEO,CNOOC Limited,20121207,Nexen  Progress skid after Ottawa sets media briefing ,OTTAWA Shares of Nexen Inc and Progress Energy Resources Corp tumbled after the Canadian government scheduled a media briefing on Friday amid expectations that it would announce decisions on high-profile bids by China's CNOOC Ltd and Malaysia's Petronas to buy the energy producers.,normal
CBD,Companhia Brasileira de Distribuicao,20121207,Pao de Acucar chairman wants company in Novo Mercado-source ,RIO DE JANEIRO  Dec 7 Abilio Diniz  chairman of Brazil's largest retailing group  will ask the rest of the board of Pao de Acucar to move the company's shares to the Novo Mercado segment of the Sao Paulo stock exchange  a person familiar with the plans said on Friday.,topStory
COP,ConocoPhillips,20121207,UPDATE 1-Conoco sets 2013 budget flat at $15.8 bln ,Dec 7 ConocoPhillips said on Friday its capital budget next year will be flat at $15.8 billion  with more than half of the U.S. oil company's spending directed toward North American oil and gas projects.,topStory
COP,ConocoPhillips,20121207,Conoco sets 2013 flat budget at $15.8 bln ,Dec 7 ConocoPhillips said on Friday its capital budget next year will be $15.8 billion  about flat with this year.,normal
DAL,Delta Air Lines Inc,20121207,Delta feeder Compass Airlines' flight attendants request release to strike ,Flight attendants of Compass Airlines  a feeder service for Delta Air Lines Inc  said they sought arbitration by the National Mediation Board (NMB) that will allow them to strike if management fails to negotiate a new agreement.,topStory
DAL,Delta Air Lines Inc,20121207,Bombardier's Delta  China deals give it edge on Embraer ,Bombardier Inc won up to $3.6 billion in regional jet orders from Delta Air Lines and an undisclosed Chinese client on Thursday  recovering momentum in a segment that had slipped to Brazilian rival Embraer.,normal
DAL,Delta Air Lines Inc,20121207,Delta sued in first action under California online privacy law ,NEW YORK California's attorney general office said on Thursday it was suing Delta Air Lines Inc for distributing a mobile application without a privacy policy  the first-ever legal action under the state's online privacy law.,normal
DAL,Delta Air Lines Inc,20121207,Delta sued in first action under California online privacy law ,NEW YORK  Dec 6 California's attorney general office said on Thursday it was suing Delta Air Lines Inc  for distributing a mobile application without a privacy policy  the first-ever legal action under the state's online privacy law.,normal
DB,Deutsche Bank AG,20121207,Deutsche Bank directors to question board-sources ,FRANKFURT Deutsche Bank's  directors will question the management board over claims the lender failed to recognize billions of euros in unrealized losses during the financial crisis  two sources said.,topStory
DB,Deutsche Bank AG,20121207,UPDATE 2-Deutsche Bank directors to question board-sources ,* Supervisory Board to probe claims of misvalued derivatives,normal
DB,Deutsche Bank AG,20121207,Coal prices to rise on increased Chinese  U.S. demand -Deutsche ,* Short-term price outlook remains weak  but gains seen in 2013,normal
DB,Deutsche Bank AG,20121207,Deutsche Bank directors to question board-sources ,FRANKFURT Deutsche Bank's  directors will question the management board over claims the lender failed to recognize billions of euros in unrealized losses during the financial crisis  two sources said.,normal
