ACOR,Acorda Therapeutics Inc,20121220,Potentially game changing data awaits Acorda in 2013 ,NEW YORK Acorda Therapeutics Inc Chief Executive Ron Cohen is already looking to spring  when data on a new use for its lone product could spur renewed investor interest and provide funding to enable his company to develop even more therapies.,topStory
ERIC,Ericsson,20121220,UPDATE 2-Ericsson to take $1.2 bln charge on ST-Ericsson stake ,* Shares down 2.9 pct   (Adds background  analyst comment),normal
ERIC,Ericsson,20121220,European stock markets struggle as tech stocks weak ,LONDON  Dec 20 European equity indexes slipped from multi-month highs on Thursday after fresh signs of friction in U.S. budget talks  while a fall in mobile network maker Ericsson also weighed on markets.,normal
ERIC,Ericsson,20121220,Weak technology stocks weigh on European equities ,LONDON  Dec 20 European equity indexes slipped from multi-month highs on Thursday after new signs of friction in U.S. budget talks  while a fall in mobile network maker Ericsson also weighed on markets.,normal
ERIC,Ericsson,20121220,European shares fall as Ericsson leads tech sell-off ,LONDON  Dec 20 European equity indexes fell from multi-month highs on Thursday after new signs of friction in U.S. budget talks  with many traders looking to sell shares after recent rallies to lock in profits before the year-end.,normal
ERIC,Ericsson,20121220,Ericsson says ST-Ericsson charge mainly loan write off ,STOCKHOLM  Dec 20 The bulk of an 8 billion Swedish crown ($1.22 billion) charge Ericsson is taking for its loss-making joint venture ST-Ericsson comes from writing off loans to the company  Ericsson said on Thursday.,normal
ERIC,Ericsson,20121220,BRIEF-Ericsson shares down 3.6 percent in early trade after announces Q4 writedown ,STOCKHOLM  Dec 20 ERICSSON :  * Shares down 3.6 percent in early trade after announces Q4 writedown For a full story see,normal
ERIC,Ericsson,20121220,Ericsson to take $1.2 bln charge on ST-Ericsson stake ,STOCKHOLM  Dec 20 Ericsson will take an 8 billion crown ($1.22 billion) charge in the fourth quarter related to its loss-making joint venture ST-Ericsson  the world's top mobile network maker said on Thursday.,normal
ESRX,Express Scripts Holding Company,20121220,Vivus's obesity pill to be covered by Express Scripts ,Vivus Inc said its obesity drug Qsymia will now be covered by the largest U.S. pharmacy benefits manager Express Scripts Holding Co  giving more people access to the drug and reducing costs for patients.,topStory
FB,Facebook Inc,20121220,Facebook tests charging users to send certain messages ,SAN FRANCISCO Facebook Inc unveiled a test on Thursday that charges users to send certain types of messages through the social network  the latest example of the company looking for new sources of revenue and profit.,topStory
FB,Facebook Inc,20121220,Facebook tests charging users to send certain messages ,SAN FRANCISCO  Dec 20 Facebook Inc  unveiled a test on Thursday that charges users to send certain types of messages through the social network  the latest example of the company looking for new sources of revenue and profit.,normal
IEP,Icahn Enterprises LP,20121220,American Railcar sweetens offer for Greenbrier ,American Railcar Industries Inc   controlled by activist investor Carl Icahn  said it was willing to raise its offer for Greenbrier Cos Inc  after being snubbed by the smaller railcar maker.,topStory
IEP,Icahn Enterprises LP,20121220,REFILE-UPDATE 4-American Railcar sweetens offer for Greenbrier ,* American Railcar's previous offer was for $20/share  or $543 mln,normal
ILMN,Illumina Inc,20121220,Illumina shares jump on report of new Roche bid ,ZURICH Shares in Illumina  jumped 7 percent on Thursday  after Swiss newspaper L'Agefi reported that Roche may have reached an agreement to buy the U.S. gene-sequencing company.,topStory
ILMN,Illumina Inc,20121220,Illumina shares jump on report of new Roche bid ,ZURICH  Dec 20 Shares in Illumina  jumped 7 percent on Thursday  after Swiss newspaper L'Agefi reported that Roche may have reached an agreement to buy the U.S. gene-sequencing company.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
FLAT,iPath US Treasury Flattener ETN,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
STPP,iPath US Treasury Steepener ETN,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
LBTYA,Liberty Global plc,20121220,Major Telenet shareholder rejects Liberty buyout bid ,BRUSSELS  Dec 20 A major shareholder in Telenet   Belgium's biggest broadband cable firm  has rejected a 35 euros per share bid by Liberty Global  adding further pressure on the U.S. cable group to raise its offer.,topStory
LBTYB,Liberty Global plc,20121220,Major Telenet shareholder rejects Liberty buyout bid ,BRUSSELS  Dec 20 A major shareholder in Telenet   Belgium's biggest broadband cable firm  has rejected a 35 euros per share bid by Liberty Global  adding further pressure on the U.S. cable group to raise its offer.,topStory
LBTYK,Liberty Global plc,20121220,Major Telenet shareholder rejects Liberty buyout bid ,BRUSSELS  Dec 20 A major shareholder in Telenet   Belgium's biggest broadband cable firm  has rejected a 35 euros per share bid by Liberty Global  adding further pressure on the U.S. cable group to raise its offer.,topStory
MU,Micron Technology Inc,20121220,Chipmaker Micron posts net loss as PC industry wavers ,SAN FRANCISCO Micron Technology  posted a quarterly net loss and lower revenue as it struggled with a slowing PC industry and macroeconomic uncertainty.,topStory
MU,Micron Technology Inc,20121220,UPDATE 2-Chipmaker Micron posts net loss as PC industry wavers ,SAN FRANCISCO  Dec 20 Micron Technology  posted a quarterly net loss and lower revenue as it struggled with a slowing PC industry and macroeconomic uncertainty.,normal
MU,Micron Technology Inc,20121220,Micron quarterly revenue misses expectations ,SAN FRANCISCO  Dec 20 Micron Technology posted fiscal first-quarter revenue of $1.83 billion  down from $2.09 billion in the year-ago period as it sold fewer memory chips in a slow PC market.,normal
MYL,Mylan NV,20121220,Mylan recalls painkiller pills made by Qualitest ,Dec 20 Generic drug maker Mylan Inc said on Thursday it is recalling three lots of hydrocone bitartrate  the generic name for Vicodin  and acetaminophen tablets because of concerns that a small number of tablets were too large and therefore too strong.,topStory
STBA,S&T Bancorp Inc,20121220,Ericsson says ST-Ericsson charge mainly loan write off ,STOCKHOLM  Dec 20 The bulk of an 8 billion Swedish crown ($1.22 billion) charge Ericsson is taking for its loss-making joint venture ST-Ericsson comes from writing off loans to the company  Ericsson said on Thursday.,topStory
SCHL,Scholastic Corporation,20121220,Scholastic's quarterly sales dip  to cut costs ,Children's book publisher Scholastic Corp  reported lower quarterly results as sales of its "The Hunger Games" trilogy tapered off and revenue in its high-margin educational business fell.,topStory
SCHL,Scholastic Corporation,20121220,UPDATE 1-Scholastic's quarterly sales dip  to cut costs ,Dec 20 Children's book publisher Scholastic Corp  reported lower quarterly results as sales of its "The Hunger Games" trilogy tapered off and revenue in its high-margin educational business fell.,normal
SCHL,Scholastic Corporation,20121220,Scholastic posts lower results as sales fall ,Dec 20 Children's book publisher Scholastic Corp  reported  lower quarterly results as sales of its "The Hunger Games" trilogy tapered off and revenue in its high-margin educational business fell.,normal
SSNC,SS&C Technologies Holdings Inc,20121220,Hedge fund exit requests jump after lacklustre year ,LONDON  Dec 20 Client demands to pull money out of hedge funds rose to their highest level in more than three years in December  at the end of a year that has left many investors disappointed with performance.,topStory
CG,The Carlyle Group LP,20121220,Carlyle buys into smaller peer in U.S. energy bet ,Private equity firm Carlyle Group LP  said on Thursday it has bought nearly half of an energy-focused peer  NGP Energy Capital Management LLC  as it seeks to capitalize on a revolution in U.S. energy markets.,topStory
CG,The Carlyle Group LP,20121220,UPDATE 2-Carlyle buys into smaller peer in U.S. energy bet ,* To make initial payment of $424 mln for 47.5 pct interest,normal
CG,The Carlyle Group LP,20121220,Carlyle Group buys stake in NGP Energy Capital for $424 mln ,Dec 20 Asset manager The Carlyle Group  acquired a 47.5 percent stake in energy investor NGP Energy Capital Management for $424 million to boost its natural resources investments.,normal
CG,The Carlyle Group LP,20121220,China's Focus Media agrees to $3.7 billion leveraged buyout ,Display-advertising provider Focus Media Holding Ltd said on Wednesday it had agreed to be acquired by a consortium led by Carlyle Group LP for about $3.7 billion in what would be the largest ever private equity deal in China.,normal
CG,The Carlyle Group LP,20121220,UPDATE 3-China's Focus Media agrees to $3.7 bln leveraged buyout ,* Agreement reached for $27.50 per American Depositary Share,normal
TCGP,The Carlyle Group LP,20121220,Carlyle buys into smaller peer in U.S. energy bet ,Private equity firm Carlyle Group LP  said on Thursday it has bought nearly half of an energy-focused peer  NGP Energy Capital Management LLC  as it seeks to capitalize on a revolution in U.S. energy markets.,topStory
TCGP,The Carlyle Group LP,20121220,UPDATE 2-Carlyle buys into smaller peer in U.S. energy bet ,* To make initial payment of $424 mln for 47.5 pct interest,normal
TCGP,The Carlyle Group LP,20121220,Carlyle Group buys stake in NGP Energy Capital for $424 mln ,Dec 20 Asset manager The Carlyle Group  acquired a 47.5 percent stake in energy investor NGP Energy Capital Management for $424 million to boost its natural resources investments.,normal
TCGP,The Carlyle Group LP,20121220,China's Focus Media agrees to $3.7 billion leveraged buyout ,Display-advertising provider Focus Media Holding Ltd said on Wednesday it had agreed to be acquired by a consortium led by Carlyle Group LP for about $3.7 billion in what would be the largest ever private equity deal in China.,normal
TCGP,The Carlyle Group LP,20121220,UPDATE 3-China's Focus Media agrees to $3.7 bln leveraged buyout ,* Agreement reached for $27.50 per American Depositary Share,normal
MDCO,The Medicines Company,20121220,Medicines Co skin infection antibiotic meets trial goal ,Dec 20 Medicines Co said a late-stage trial of its experimental drug for bacterial skin infections met the main study goal of stopping the infection from spreading and the absence of fever.,topStory
VVUS,VIVUS Inc,20121220,Vivus's obesity pill to be covered by Express Scripts ,Vivus Inc said its obesity drug Qsymia will now be covered by the largest U.S. pharmacy benefits manager Express Scripts Holding Co  giving more people access to the drug and reducing costs for patients.,topStory
VOD,Vodafone Group Plc,20121220,Spain fines Telefonica  Vodafone  Orange over texts ,MADRID Spain's antitrust body said it fined telecoms companies Telefonica  Vodafone and France Telecom's Orange a record 120 million euros ($159 million) for charging too much for text messages.,topStory
VOD,Vodafone Group Plc,20121220,UPDATE 1-Spain fines Telefonica  Vodafone  Orange over texts ,MADRID  Dec 20 Spain's antitrust body said it fined telecoms companies Telefonica  Vodafone  and France Telecom's Orange a record 120 million euros ($159 million) for charging too much for text messages.,normal
VOD,Vodafone Group Plc,20121220,Spain imposes antitrust fine on Telefonica  Vodafone  Orange ,MADRID  Dec 20 Spain's antitrust body on Thursday imposed a 120-million-euro fine on telecommunication companies Telefonica  Vodafone and Orange .,normal
WMGI,Wright Medical Group NV,20121220,Panel sends FTC nominee to full Senate for approval ,WASHINGTON A Senate committee sent the nomination of Joshua Wright to join the Federal Trade Commission on to the full Senate on Thursday  despite an acrimonious confirmation hearing in which Wright pledged to recuse himself from any Google investigation for two years because of conflicts of interest.,topStory
WMGI,Wright Medical Group NV,20121220,Panel sends FTC nominee to full Senate for approval ,WASHINGTON  Dec 20 A Senate committee sent the nomination of Joshua Wright to join the Federal Trade Commission on to the full Senate on Thursday  despite an acrimonious confirmation hearing in which Wright pledged to recuse himself from any Google investigation for two years because of conflicts of interest.,normal
ABT,Abbott Laboratories,20121220,Abbott's spin-off AbbVie to join S&P 100 & 500 ,Dec 20 AbbVie Inc  the pharmaceutical company being spun off by Abbott Laboratories  is set to join the Standard and Poor's 100 and 500 indices  S&P Dow Jones Indices said.,topStory
AEB,Aegon NV,20121220,Santander to book 410 million euro on deal with Aegon ,MADRID/AMSTERDAM Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon  aimed at strengthening their bankassurance business in Spain.,topStory
AEB,Aegon NV,20121220,UPDATE 1-Santander to book 410 mln euro on deal with Aegon ,MADRID/AMSTERDAM  Dec 20 Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon aimed at strengthening their bankassurance business in Spain.,normal
AEB,Aegon NV,20121220,Santander signs agreement with Aegon  books gain of 410 mln euro ,MADRID  Dec 20 Santander said on Thursday it had reached an agreement with the Spanish subsidiary of Dutch Aegon to form a strategic alliance to strengthen their bankassurance business in Spain through the Santander branch networks.,normal
AEB,Aegon NV,20121220,Aegon buys into Santander's Spanish insurance operations ,AMSTERDAM  Dec 20 Dutch insurer Aegon  said on Wednesday it is to form a joint venture with Spain's Banco Santander  spending  220 million euros to take 51 percent stakes in life and non-life insurance companies with a view to distributing its products through the Spanish bank's branches.,normal
AED,Aegon NV,20121220,Santander to book 410 million euro on deal with Aegon ,MADRID/AMSTERDAM Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon  aimed at strengthening their bankassurance business in Spain.,topStory
AED,Aegon NV,20121220,UPDATE 1-Santander to book 410 mln euro on deal with Aegon ,MADRID/AMSTERDAM  Dec 20 Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon aimed at strengthening their bankassurance business in Spain.,normal
AED,Aegon NV,20121220,Santander signs agreement with Aegon  books gain of 410 mln euro ,MADRID  Dec 20 Santander said on Thursday it had reached an agreement with the Spanish subsidiary of Dutch Aegon to form a strategic alliance to strengthen their bankassurance business in Spain through the Santander branch networks.,normal
AED,Aegon NV,20121220,Aegon buys into Santander's Spanish insurance operations ,AMSTERDAM  Dec 20 Dutch insurer Aegon  said on Wednesday it is to form a joint venture with Spain's Banco Santander  spending  220 million euros to take 51 percent stakes in life and non-life insurance companies with a view to distributing its products through the Spanish bank's branches.,normal
AEG,Aegon NV,20121220,Santander to book 410 million euro on deal with Aegon ,MADRID/AMSTERDAM Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon  aimed at strengthening their bankassurance business in Spain.,topStory
AEG,Aegon NV,20121220,UPDATE 1-Santander to book 410 mln euro on deal with Aegon ,MADRID/AMSTERDAM  Dec 20 Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon aimed at strengthening their bankassurance business in Spain.,normal
AEG,Aegon NV,20121220,Santander signs agreement with Aegon  books gain of 410 mln euro ,MADRID  Dec 20 Santander said on Thursday it had reached an agreement with the Spanish subsidiary of Dutch Aegon to form a strategic alliance to strengthen their bankassurance business in Spain through the Santander branch networks.,normal
AEG,Aegon NV,20121220,Aegon buys into Santander's Spanish insurance operations ,AMSTERDAM  Dec 20 Dutch insurer Aegon  said on Wednesday it is to form a joint venture with Spain's Banco Santander  spending  220 million euros to take 51 percent stakes in life and non-life insurance companies with a view to distributing its products through the Spanish bank's branches.,normal
AEH,Aegon NV,20121220,Santander to book 410 million euro on deal with Aegon ,MADRID/AMSTERDAM Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon  aimed at strengthening their bankassurance business in Spain.,topStory
AEH,Aegon NV,20121220,UPDATE 1-Santander to book 410 mln euro on deal with Aegon ,MADRID/AMSTERDAM  Dec 20 Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon aimed at strengthening their bankassurance business in Spain.,normal
AEH,Aegon NV,20121220,Santander signs agreement with Aegon  books gain of 410 mln euro ,MADRID  Dec 20 Santander said on Thursday it had reached an agreement with the Spanish subsidiary of Dutch Aegon to form a strategic alliance to strengthen their bankassurance business in Spain through the Santander branch networks.,normal
AEH,Aegon NV,20121220,Aegon buys into Santander's Spanish insurance operations ,AMSTERDAM  Dec 20 Dutch insurer Aegon  said on Wednesday it is to form a joint venture with Spain's Banco Santander  spending  220 million euros to take 51 percent stakes in life and non-life insurance companies with a view to distributing its products through the Spanish bank's branches.,normal
AEK,Aegon NV,20121220,Santander to book 410 million euro on deal with Aegon ,MADRID/AMSTERDAM Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon  aimed at strengthening their bankassurance business in Spain.,topStory
AEK,Aegon NV,20121220,UPDATE 1-Santander to book 410 mln euro on deal with Aegon ,MADRID/AMSTERDAM  Dec 20 Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon aimed at strengthening their bankassurance business in Spain.,normal
AEK,Aegon NV,20121220,Santander signs agreement with Aegon  books gain of 410 mln euro ,MADRID  Dec 20 Santander said on Thursday it had reached an agreement with the Spanish subsidiary of Dutch Aegon to form a strategic alliance to strengthen their bankassurance business in Spain through the Santander branch networks.,normal
AEK,Aegon NV,20121220,Aegon buys into Santander's Spanish insurance operations ,AMSTERDAM  Dec 20 Dutch insurer Aegon  said on Wednesday it is to form a joint venture with Spain's Banco Santander  spending  220 million euros to take 51 percent stakes in life and non-life insurance companies with a view to distributing its products through the Spanish bank's branches.,normal
ADM,Archer-Daniels-Midland Company,20121220,UPDATE 1-GrainCorp open to higher bids after spurning ADM offer ,* Company forecasts fall in amount of grain it handles in 2013,topStory
ADM,Archer-Daniels-Midland Company,20121220,GrainCorp defends spurning ADM bid  set to handle less grain ,SYDNEY  Dec 20 Australia's GrainCorp  forecast on Thursday a drop of as much as fifth in the grain it receives from farmers next year as it defended its rejection of a sweetened $2.9 billion takeover offer from U.S. suitor Archer Daniels Midland.,normal
AVB,AvalonBay Communities Inc,20121220,TEXT-S&P summary: AvalonBay Communities Inc. ,We viewed the company's recently announced agreement to acquire 40% of  Archstone Enterprises L.P. from Lehman Brothers Holdings for roughly $6.9  billion (excluding transaction costs) as a strategic positive for AVB with  limited integration risk. After the transaction closes (scheduled for the  first quarter of 2013)  we believe AVB's expanded platform should also provide  a greater cushion for the company's historically sizeable development  pipeline. We further expect AVB to continue pursuin,topStory
SAN,Banco Santander SA,20121220,TEXT-Fitch places Banesto's subordinated debt & preferred stock on RWP on Santander deal ,Dec 20 - Fitch Ratings has placed Banco Espanol de  Credito's (Banesto) subordinated debt of 'BB+' and preferred stock of 'B' on  Rating Watch Positive (RWP) following the announcement on 17 December 2012 that  Banesto will be absorbed by its parent  Banco Santander (Santander;  'BBB+'/Negative). All other Banesto ratings are unaffected. A full list of  rating actions is at the end of this comment.,topStory
SAN,Banco Santander SA,20121220,Santander to book 410 million euro on deal with Aegon ,MADRID/AMSTERDAM Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon  aimed at strengthening their bankassurance business in Spain.,normal
SAN,Banco Santander SA,20121220,UPDATE 1-Santander to book 410 mln euro on deal with Aegon ,MADRID/AMSTERDAM  Dec 20 Spanish bank Santander  said it will book gross capital gains of 410 million euros ($543.6 million) from its alliance with Dutch insurer Aegon aimed at strengthening their bankassurance business in Spain.,normal
SAN,Banco Santander SA,20121220,Santander signs agreement with Aegon  books gain of 410 mln euro ,MADRID  Dec 20 Santander said on Thursday it had reached an agreement with the Spanish subsidiary of Dutch Aegon to form a strategic alliance to strengthen their bankassurance business in Spain through the Santander branch networks.,normal
BCS,Barclays PLC,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
BA,Boeing Company (The),20121220,Boeing books 47 net new plane orders in latest week ,Boeing Co  said it booked 50 new orders for planes in the latest week  including orders for 31 of its widebody 777 jets  worth about $9 billion at list prices.,topStory
BA,Boeing Company (The),20121220,UPDATE 1-Boeing books 47 net new plane orders in latest week ,Dec 20 Boeing Co said it booked 50 new orders for planes in the latest week  including orders for 31 of its widebody 777 jets  worth about $9 billion at list prices.,normal
BA,Boeing Company (The),20121220,Boeing books 47 net new plane orders in latest week ,Dec 20 Boeing Co said it booked 50 new orders for planes in the latest week  including orders for 31 of its widebody 777 jet  worth about $9 billion at list prices.,normal
BP,BP plc,20121220,Putin hopes tycoons reinvest TNK-BP cash in Russia ,MOSCOW President Vladimir Putin said he hopes the tycoons selling out of TNK-BP will reinvest the proceeds from Russia's largest ever takeover deal back into the country  but he would not force them to do so.,topStory
BP,BP plc,20121220,Putin hopes tycoons reinvest TNK-BP cash in Russia ,MOSCOW  Dec 20 President Vladimir Putin said he hopes the tycoons selling out of TNK-BP will reinvest the proceeds from Russia's largest ever takeover deal back into the country  but he would not force them to do so.,normal
BT,BT Group plc,20121220,BRIEF-Ofcom announces 4G spectrum bidders ,LONDON  Dec 20 BT Group PLC :  * Ofcom says niche spectrum ventures  a subsidiary of BT  bid for 4g,topStory
KMX,CarMax Inc,20121220,CarMax profit beats on improved used car supply  more upbeat consumers ,CarMax Inc   the largest U.S. used-car retailer  reported a stronger-than-expected third-quarter profit as a rise in supply  more attractive financing options and improved customer sentiment helped it sell more vehicles to retail clients.,topStory
KMX,CarMax Inc,20121220,UPDATE 2-CarMax profit beats on improved used car supply  more upbeat consumers ,* Retail used-car sales rise 17 pct  wholesale business sales 10 pct,normal
KMX,CarMax Inc,20121220,CarMax profit rises on higher retail sales ,Dec 20 CarMax Inc  the largest used car retailer in the United States  reported a higher quarterly profit as it sold more to its retail customers.,normal
