ADTN,ADTRAN Inc,20121003,Adtran sees fourth-quarter sales down from third quarter ,Network gear maker Adtran Inc  said typical seasonality and a weak spending environment may lead to a fall in fourth-quarter revenue  sending its shares down 8 percent to their lowest in three and a half years.,topStory
FB,Facebook Inc,20121003,Facebook lets U.S. users pay to boost visibility of postings ,SAN FRANCISCO Facebook Inc is letting users in the United States pay a fee to boost the visibility of their postings on the social network  the company's latest effort to look beyond advertisers for revenue.,topStory
FB,Facebook Inc,20121003,Facebook lets U.S. users pay to boost visibility of postings ,SAN FRANCISCO  Oct 3 Facebook Inc is letting users in the United States pay a fee to boost the visibility of their postings on the social network  the company's latest effort to look beyond advertisers for revenue.,normal
MU,Micron Technology Inc,20121003,Elpida says court again delays ruling on restructuring plans ,TOKYO  Oct 3 Failed chipmaker Elpida Memory Inc  said a Japanese court has again delayed its ruling on two competing plans to restructure the company.,topStory
NDAQ,Nasdaq Inc,20121003,Nasdaq cancels trades in Kraft after jump in shares ,NEW YORK Nasdaq canceled some trades in shares of Kraft Foods Group  that had pushed the stock up about 29 percent in just one minute  the latest in a string of trading glitches that have rattled market confidence.,topStory
NDAQ,Nasdaq Inc,20121003,Nasdaq cancels trades in Kraft after jump in shares ,NEW YORK Nasdaq canceled some trades in shares of Kraft Foods Group  that had pushed the stock up about 29 percent in just one minute  the latest in a string of trading glitches that have rattled market confidence.,normal
NDAQ,Nasdaq Inc,20121003,UPDATE 1-Nasdaq cancels trades in Kraft after jump in shares ,NEW YORK  Oct 3 Nasdaq canceled some trades in shares of Kraft Foods Group that had pushed the stock up about 29 percent in just one minute  the latest in a string of trading glitches that have rattled market confidence.,normal
NFLX,Netflix Inc,20121003,Citi reiterates "buy" rating on Netflix  shares rise ,Citi Investment Research stood by its "buy" rating on Netflix Inc despite several risks surrounding the online streaming video company's growth prospects.,topStory
NUVA,NuVasive Inc,20121003,NuVasive sees third quarter revenue below expectations ,Medical device maker NuVasive Inc  estimated third-quarter revenue below its earlier forecast  sending shares down about 20 percent after the bell.,topStory
NUVA,NuVasive Inc,20121003,BRIEF-NuVasive shares fall 20.2 pct after the bell following outlook ,NEW YORK  Oct 3 NuVasive Inc :  * Shares fell 20.2 percent after the bell following a revenue outlook by the company/,normal
REIS,Reis Inc,20121003,U.S. economy may be nipping at apartment sector ,* Third-quarter vacancy posts smallest decline in two years,topStory
RYAAY,Ryanair Holdings plc,20121003,Ryanair load factor slips to 84 pct in September ,* September load factor 84 pct  down 1 percentage point vs year ago,topStory
RYAAY,Ryanair Holdings plc,20121003,EU regulators approve Munich airport  Lufthansa loans ,BRUSSELS  Oct 3 EU competition regulators cleared on Wednesday public loans granted to German carrier Lufthansa and Munich Airport to build a second terminal  saying the companies paid market rates for the loans.,normal
SRPT,Sarepta Therapeutics Inc,20121003,Sarepta's drug helps improve walking ability  shares jump ,An experimental drug improved walking ability in boys suffering from a rare degenerative disease that causes progressive muscle loss  data from a new study showed  nearly tripling the market value of its developer Sarepta Therapeutics Inc.,topStory
SRPT,Sarepta Therapeutics Inc,20121003,BRIEF-Sarepta Therapeutics jumps in premarket after eteplirsen drug trial results ,NEW YORK  Oct 3 Sarepta Therapeutics Inc :  * Jumps 129.2 percent to $34.35 premarket after Duchenne Muscular Dystrophy drug eteplirsen trial results,normal
STX,Seagate Technology PLC,20121003,Samsung  battling Apple verdict  cites foreman's Seagate lawsuit ,SAN FRANCISCO Samsung Electronics Co Ltd said a major patent verdict in favor of Apple Inc should be overturned because the jury foreman did not disclose that he once was in litigation with Seagate Technology PLC  a company that counts Samsung as a major investor.,topStory
STX,Seagate Technology PLC,20121003,Samsung  battling Apple verdict  cites foreman's Seagate lawsuit ,SAN FRANCISCO Samsung Electronics Co Ltd said a major patent verdict in favor of Apple Inc should be overturned because the jury foreman did not disclose that he once was in litigation with Seagate Technology PLC  a company that counts Samsung as a major investor.,normal
STX,Seagate Technology PLC,20121003,Samsung  battling Apple verdict  cites foreman's Seagate lawsuit ,SAN FRANCISCO  Oct 2 Samsung Electronics Co Ltd  said a major patent verdict in favor of Apple Inc  should be overturned because the jury foreman did not disclose that he once was in litigation with Seagate Technology PLC  a company that counts Samsung as a major investor.,normal
CG,The Carlyle Group LP,20121003,RPT-UPDATE 2-Private equity firm Carlyle to trade commodities ,* Deal represents major expansion within alternative assets,topStory
CG,The Carlyle Group LP,20121003,EU mergers and takeovers (Oct 3) ,BRUSSELS  Oct 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
CG,The Carlyle Group LP,20121003,Private equity firm Carlyle to trade commodities ,NEW YORK Carlyle Group LP  said on Tuesday it had bought a majority stake in a commodities-trading hedge fund manager  its biggest leap yet in an expansion that has seen it diversify from private equity into other alternative asset classes.,normal
CG,The Carlyle Group LP,20121003,UPDATE 2-Private equity firm Carlyle to trade commodities ,* Deal represents major expansion within alternative assets,normal
CG,The Carlyle Group LP,20121003,Private equity powerhouse Carlyle expands into commodities ,NEW YORK  Oct 2 Carlyle Group LP said on Tuesday it would buy a majority stake in a commodities-trading hedge fund manager  its biggest leap yet in an expansion that has seen it diversify from private equity into other alternative asset classes.,normal
TCGP,The Carlyle Group LP,20121003,RPT-UPDATE 2-Private equity firm Carlyle to trade commodities ,* Deal represents major expansion within alternative assets,topStory
TCGP,The Carlyle Group LP,20121003,EU mergers and takeovers (Oct 3) ,BRUSSELS  Oct 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
TCGP,The Carlyle Group LP,20121003,Private equity firm Carlyle to trade commodities ,NEW YORK Carlyle Group LP  said on Tuesday it had bought a majority stake in a commodities-trading hedge fund manager  its biggest leap yet in an expansion that has seen it diversify from private equity into other alternative asset classes.,normal
TCGP,The Carlyle Group LP,20121003,UPDATE 2-Private equity firm Carlyle to trade commodities ,* Deal represents major expansion within alternative assets,normal
TCGP,The Carlyle Group LP,20121003,Private equity powerhouse Carlyle expands into commodities ,NEW YORK  Oct 2 Carlyle Group LP said on Tuesday it would buy a majority stake in a commodities-trading hedge fund manager  its biggest leap yet in an expansion that has seen it diversify from private equity into other alternative asset classes.,normal
VVUS,VIVUS Inc,20121003,Vivus says Qsymia lawsuit dismissed ,Obesity drugmaker Vivus Inc said a class action lawsuit against the company related to Vivus's claims about its drug Qsymia has been dismissed.,topStory
ZION,Zions Bancorporation,20121003,BRIEF-Moody's reviews Zions for upgrade ,Oct 4 Moody's Investors Service placed the long-term ratings of Zions Bancorporation and its subsidiaries on review for upgrade. Zions Bancorporation is rated B1 for subordinated debt and its lead operating bank  Zions First National Bank  has a standalone bank financial strength rating of D+  which maps to a baseline credit assessment of ba1.,topStory
MMM,3M Company,20121003,3M scraps deal for Avery-Dennison's office products ,Diversified manufacturer 3M Co  on Wednesday terminated its $550 million deal to buy Avery-Dennison Corp's  office and consumer products business.,topStory
MMM,3M Company,20121003,UPDATE 2-3M scraps deal for Avery-Dennison's office products ,Oct 3 Diversified U.S. manufacturer 3M Co  on Wednesday dropped its effort to buy Avery-Dennison Corp's office and consumer products business  about a month after U.S. regulators raised anti-trust concerns over the proposed deal.,normal
MMM,3M Company,20121003,3M drops plan to buy Avery-Dennison's office products business ,Oct 3 3M Co said it terminated its deal to buy Avery-Dennison Corp's office and consumer products business.,normal
MMM,3M Company,20121003,3M follows other big companies - reorganizes ,3M Co  said Wednesday it had restructured into five major business groups  down from six  and set up new roles for some of its senior executives.,normal
MMM,3M Company,20121003,UPDATE 1-3M follows other big companies - reorganizes ,* Reallignment follows cost-saving plans by GE  FedEx  others,normal
MMM,3M Company,20121003,3M restructures divisions  announces executive changes ,3M Co  said Wednesday it had restructured its operations into five major divisions  down from six  and set up new roles for some of its senior executives.,normal
MMM,3M Company,20121003,3M restructures divisions  announces executive changes ,Oct 3 3M Co said Wednesday it had restructured its operations into five major divisions  down from six  and set up new roles for some of its senior executives.,normal
AA,Alcoa Corporation,20121003,UPDATE 2-Alcoa plant gets EU boost on Italy power prices ,MILAN  Oct 3 The troubled Italian smelter of aluminium group Alcoa will be able to continue using special contracts allowing it to buy electricity at lower prices until 2015 following a decision on Wednesday by the European Commission.,topStory
AA,Alcoa Corporation,20121003,Alcoa plant gets EU boost on Italy power prices ,MILAN The troubled Italian smelter of aluminium group Alcoa  will be able to continue using special contracts allowing it to buy electricity at lower prices until 2015 following a decision on Wednesday by the European Commission.,normal
AA,Alcoa Corporation,20121003,Alcoa plant gets EU boost on Italy power prices ,MILAN The troubled Italian smelter of aluminum group Alcoa  will be able to continue using special contracts allowing it to buy electricity at lower prices until 2015 following a decision on Wednesday by the European Commission.,normal
APA,Apache Corporation,20121003,Apache ops back after hurricane  sees big fourth quarter ,Apache Corp  said its Gulf of Mexico operations are back on line after being suspended during Hurricane Isaac  and the oil and gas company forecast record production in the fourth quarter.,topStory
APA,Apache Corporation,20121003,UPDATE 2-Apache ops back after hurricane  sees big 4th quarter ,* Says "on track" for record production in fourth quarter,normal
APO,Apollo Global Management LLC,20121003,UPDATE 1-Berry Plastics prices at low end of range ,Oct 3 Container maker Berry Plastics Group Inc  priced its initial public offering at $16 a share on Wednesday  at the low end of its expected range  an underwriter said.,topStory
T,AT&T Inc,20121003,Merged T-Mobile USA  MetroPCS to face tech challenges ,FRANKFURT/NEW YORK T-Mobile USA  which plans to merge with MetroPCS  will have to overcome technology hurdles to be able to take on bigger rivals Verizon Wireless  AT&T Inc and Sprint Nextel Corp. | Video ,topStory
T,AT&T Inc,20121003,UPDATE 5-Merged T-Mobile USA  MetroPCS to face tech challenges ,FRANKFURT/NEW YORK  Oct 3 T-Mobile USA  which plans to merge with MetroPCS  will have to overcome technology hurdles to be able to take on bigger rivals Verizon Wireless  AT&T Inc and Sprint Nextel Corp.,normal
AVY,Avery Dennison Corporation,20121003,3M scraps deal for Avery-Dennison's office products ,Diversified manufacturer 3M Co  on Wednesday terminated its $550 million deal to buy Avery-Dennison Corp's  office and consumer products business.,topStory
AVY,Avery Dennison Corporation,20121003,UPDATE 2-3M scraps deal for Avery-Dennison's office products ,Oct 3 Diversified U.S. manufacturer 3M Co  on Wednesday dropped its effort to buy Avery-Dennison Corp's office and consumer products business  about a month after U.S. regulators raised anti-trust concerns over the proposed deal.,normal
AVY,Avery Dennison Corporation,20121003,3M drops plan to buy Avery-Dennison's office products business ,Oct 3 3M Co said it terminated its deal to buy Avery-Dennison Corp's office and consumer products business.,normal
BGS,B&G Foods Inc,20121003,BRIEF-Moody's upgrades B&G Foods' CFR to Ba3 ,Oct 3 B&G Foods Inc :  * Moody's upgrades B&G foods' cfr to ba3; outlook stable  * Rpt-moody's upgrades b&g foods' cfr to ba3; outlook stable,topStory
BNS,Bank of Nova Scotia (The),20121003,MOVES-Janney  UBS  Scotiabank  Aviva Investors  Marex Spectron ,Oct 3 The following financial services industry appointments and departures were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
BNS,Bank of Nova Scotia (The),20121003,New Issue-Bank of Nova Scotia sells $1.35 bln notes ,Oct 3 Bank of Nova Scotia on Wednesday sold $1.35 billion of senior notes  said IFR  a Thomson Reuters service.      Bank of America Merrill Lynch  Barclays Capital  Citigroup  J.P. Morgan and Scotia were the joint bookrunning managers for the sale.  BORROWER: BNS  AMT $1.35 BLN   COUPON 0.75 PCT    MATURITY    10/09/2015  TYPE SR NTS     ISS PRICE 99.997   FIRST PAY   04/09/2013 MOODY'S Aa1     YIELD 0.751 PCT    SETTLEMENT  10/09/2012    S&P AA-MINUS    SPREAD 45 BPS      PAY FREQ ,normal
BBY,Best Buy Co Inc,20121003,Exclusive: Best Buy founder presses on with buyout plan ,NEW YORK Best Buy Co Inc founder Richard Schulze and at least four private equity firms have started examining the books of the world's largest consumer electronics chain  in early steps toward what could become a potential $11 billion buyout  according to people familiar with the matter.,topStory
BBY,Best Buy Co Inc,20121003,BRIEF-Best BUY shares up 4 pct in premarket trading ,NEW YORK  Oct 3 Best Buy Co Inc :  * Shares up 4 percent in premarket trading,normal
BBL,BHP Billiton plc,20121003,BHP may bid for Petrobras Gulf stake - WSJ ,NEW YORK  Oct 3 Top global miner BHP Billiton   is among the companies talking to Petrobras about buying a stake in the Brazilian state-led oil company's Gulf of Mexico oil fields  the Wall Street Journal reported on Wednesday  citing people familiar with the matter.,topStory
BA,Boeing Company (The),20121003,Cameroon orders two Boeing Dreamliners for $429 mln ,YAOUNDE  Oct 3 Cameroon's government has agreed to buy two Boeing 787 Dreamliners for 218 billion CFA francs ($428.77 million) for its new national carrier Camair-Co.,topStory
BP,BP plc,20121003,Gulf of Mexico output to rise 43 pct by 2019-WoodMac ,HOUSTON  Oct 3 An exploration and production resurgence in the Gulf of Mexico two years after a six-month drilling shutdown because of the BP Plc oil spill is expected to increase output nearly 43 percent by 2019  energy consultancy Wood Mackenzie said on Wednesday.,topStory
BMY,Bristol-Myers Squibb Company,20121003,Sanofi  Bristol shake up alliance as patents end ,PARIS Drugmakers Sanofi and Bristol-Myers Squibb plan to revamp their 15-year-old alliance from January 1 in response to lost exclusivity on two key drugs and the arrival of generic competition in major markets.,topStory
BMY,Bristol-Myers Squibb Company,20121003,Sanofi  Bristol shake up alliance as patents end ,PARIS  Oct 3 Drugmakers Sanofi and Bristol-Myers Squibb said they plan to restructure their alliance from Jan. 1 to respond to the loss of exclusivity on two key drugs and the arrival of generic competition in many major markets.,normal
CF,CF Industries Holdings Inc,20121003,TEXT-Fitch upgrades CF Industries to 'BBB' ,Oct 3 - Fitch Ratings has upgraded the Issuer Default Ratings (IDR) of CF Industries Holdings  Inc. (CF Holdings) and CF Industries Inc. (CF) to 'BBB' from 'BBB-'. Coincident  the two unsecured notes issues and the senior unsecured revolver of CF have been upgraded to 'BBB' from 'BBB-'. The Rating Outlook is Stable.  The ratings' upgrades are based on a continuing bullish business environment which has led CF to outperform Fitch's expectations. Farm economics are strong with the demand for grain,topStory
CHK,Chesapeake Energy Corporation,20121003,Chesapeake executive compensation under review: filing ,HOUSTON Chesapeake Energy Corp  extended employment contracts with certain executives through the end of the year as its board of directors reviews the oil and gas company's compensation practices  according to a regulatory filing on Wednesday.,topStory
CHK,Chesapeake Energy Corporation,20121003,Chesapeake executive compensation under review -filing ,HOUSTON  Oct 3 Chesapeake Energy Corp  extended employment contracts with certain executives through the end of the year as its board of directors reviews the oil and gas company's compensation practices  according to a regulatory filing on Wednesday.,normal
CVX,Chevron Corporation,20121003,Chevron sells BPCL 10 000 bpd Nigerian oil for a year: sources ,NEW DELHI Indian state-run Bharat Petroleum Corp  has signed a deal with Chevron  to buy 10 000 barrels per day (bpd) Nigerian crude in the year ending March 31  2013  two sources familiar with the deal said on Wednesday.,topStory
CVX,Chevron Corporation,20121003,Chevron sells BPCL 10 000 bpd Nigerian oil for a year-sources ,NEW DELHI  Oct 3 Indian state-run Bharat Petroleum Corp has signed a deal with Chevron  to buy 10 000 barrels per day (bpd) Nigerian crude in the year ending March 31  2013  two sources familiar with the deal said on Wednesday.,normal
C,Citigroup Inc,20121003,RLPC-Nestle signs increased 5 bln euro loan ,LONDON  Oct 3 Nestle has signed a 5 billion euro ($6.47 billion)  364-day syndicated loan  which will replace a 4.5 billion euro facility agreed in October last year  active bookrunner Citigroup said in a statement on Wednesday.,topStory
CEO,CNOOC Limited,20121003,UPDATE 1-Canadian gov't rejects public consultation on Nexen bid ,* Industry minister sees no public consultations in review,topStory
CEO,CNOOC Limited,20121003,Canada's main opposition party to unveil CNOOC stance Thursday ,OTTAWA Canada's official opposition New Democratic Party will unveil its position on CNOOC Ltd's $15.1 billion bid for oil Canadian producer Nexen Inc at 10 a.m. on Thursday  the party said in a statement on Wednesday.,normal
CEO,CNOOC Limited,20121003,Canada's main opposition party to unveil CNOOC stance Thursday ,OTTAWA  Oct 3 Canada's official opposition New Democratic Party will unveil its position on CNOOC Ltd's  $15.1 billion bid for oil Canadian producer Nexen Inc  at 10 a.m. (1400 GMT) on Thursday  the party said in a statement on Wednesday.,normal
CEO,CNOOC Limited,20121003,Canadian government rejects public consultations on Nexen bid ,* Industry minister sees no public consultations in review,normal
CAG,ConAgra Brands Inc,20121003,UPDATE 1-Ralcorp appoints activist investor to board ,Oct 3 Food company Ralcorp Holdings Inc  said on Wednesday it appointed investor Keith Meister to its board of directors.,topStory
CCI,Crown Castle International Corporation,20121003,TEXT-S&P rates Crown Castle's notes 'B-' ,Oct 3 - Standard & Poor's Ratings Services said today that it assigned its 'B-' issue-level and '6' recovery ratings to Crown Castle International Corp.'s  $1.65 billion proposed senior unsecured notes issue. The company intends to use the proceeds to partially fund the recently announced acquisition of rights to about 7 200 T-Mobile USA wireless towers. At the same time  we revised the recovery rating on subsidiary Crown Castle Operating Co.'s credit facilities to '3' from '4'. The '6' recovery,topStory
CCI,Crown Castle International Corporation,20121003,TEXT-Fitch rates Crown Castle debt offering 'BB-' ,Oct 3 - Fitch Ratings has assigned a 'BB-' rating to Crown Castle International Corp.'s (CCIC) $1.65 billion unsecured senior notes due 2023. The company intends to use the net proceeds from the notes offering  together with cash on hand and funds from its revolving credit facility  to finance its towers acquisition from T-Mobile USA  Inc. The Rating Outlook is Stable.  Crown's ratings are supported by strong recurring cash flows generated from its leasing operations  a robust EBITDA margin that,normal
DB,Deutsche Bank AG,20121003,BRIEF-Moody's: no rating impact on 17 SF deals following Deutsche Bank's downgrade ,Oct 3 Deutsche Bank AG :  * Moody's: no rating impact on 17 structured finance transactions following,topStory
DB,Deutsche Bank AG,20121003,BRIEF-Moody's: no rating impact on 23 SF deals following Deutsche Bank's amendment ,Oct 3 Deutsche Bank AG :  * Moody's: no rating impact on 23 structured finance transactions following,normal
DB,Deutsche Bank AG,20121003,Deutsche Bank seen hardest hit by Liikanen reforms ,LONDON Deutsche Bank  is set to be the bank most affected  with profits hit hardest  by proposals to separate higher risk banking activities from traditional deposit-taking business  which are likely to affect about 20 banks  analysts said.,normal
DB,Deutsche Bank AG,20121003,Deutsche Bank seen hardest hit by Liikanen reforms ,LONDON  Oct 3 Deutsche Bank is set to be the bank most affected  with profits hit hardest  by proposals to separate higher risk banking activities from traditional deposit-taking business  which are likely to affect about 20 banks  analysts said.,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20121003,Embraer's order backlog erodes at slower pace in 3rd quarter ,* Revenue pipeline likely still at 6-yr low on weak demand,topStory
ENB,Enbridge Inc,20121003,UPDATE 1-Enbridge CEO floats new light oil pipeline plans ,CALGARY  Alberta  Oct 3 Enbridge Inc's  new chief executive kicked off his tenure as head of the main transporter of Canadian oil exports on Wednesday with new ideas to get growing volumes of light crude to Eastern markets and prospects for richer earnings.,topStory
ENB,Enbridge Inc,20121003,Enbridge sees possible 12 percent EPS growth rate ,CALGARY  Alberta  Oct 3 Enbridge Inc  could exceed its goal of 10 percent growth in earnings per share over the next four years if it moved ahead with a number of development projects it deems to have a high probability of proceeding  the company's new chief executive said on Wednesday.,normal
E,ENI SpA,20121003,Italy economy minister against selling Eni  Enel stakes ,ROME  Oct 3 The need to guarantee energy supplies means it would not be wise for the Italian government to sell more stakes in energy company Eni or utility Enel  Economy Minister Vittorio Grilli said on Wednesday.,topStory
XOM,Exxon Mobil Corporation,20121003,Palins yet to claim Exxon Valdez oil spill compensation money ,ANCHORAGE  Alaska Former vice presidential candidate Sarah Palin is not shy about voicing her opinions to national audiences  headlining big-ticket political events and exposing her family and personal life on reality TV.,topStory
XOM,Exxon Mobil Corporation,20121003,Palins yet to claim Exxon Valdez oil spill compensation money ,ANCHORAGE  Alaska  Oct 2 Former vice presidential candidate Sarah Palin is not shy about voicing her opinions to national audiences  headlining big-ticket political events and exposing her family and personal life on reality TV.,normal
GEK,General Electric Capital Corporation,20121003,GE recalls 62 000 clothes washers  U.S. CPSC says ,General Electric Co  will recall 62 000 GE Profile front-loading clothes washers after receiving 19 reports of the washer basket breaking loose during the spin cycle  the U.S. Consumer Product Safety Commission said on Wednesday.,topStory
GEK,General Electric Capital Corporation,20121003,CORRECTED-GE recalls 62 000 clothes washers  U.S. CPSC says ,Oct 3 General Electric Co will recall 62 000 GE Profile front-loading clothes washers after receiving 19 reports of the washer basket breaking loose during the spin cycle  the U.S. Consumer Product Safety Commission said on Wednesday.,normal
GEK,General Electric Capital Corporation,20121003,CORRECTED-UPDATE 1-GE launches $7 billion sale of debt ,NEW YORK  Oct 1 (IFR) - General Electric launched a $7 billion sale of notes on Monday  taking advantage of prevailing low rates in what will be the third-largest sale of corporate debt in the US so far this year.,normal
GE,General Electric Company,20121003,GE recalls 62 000 clothes washers  U.S. CPSC says ,General Electric Co  will recall 62 000 GE Profile front-loading clothes washers after receiving 19 reports of the washer basket breaking loose during the spin cycle  the U.S. Consumer Product Safety Commission said on Wednesday.,topStory
GE,General Electric Company,20121003,CORRECTED-GE recalls 62 000 clothes washers  U.S. CPSC says ,Oct 3 General Electric Co will recall 62 000 GE Profile front-loading clothes washers after receiving 19 reports of the washer basket breaking loose during the spin cycle  the U.S. Consumer Product Safety Commission said on Wednesday.,normal
GE,General Electric Company,20121003,CORRECTED-UPDATE 1-GE launches $7 billion sale of debt ,NEW YORK  Oct 1 (IFR) - General Electric launched a $7 billion sale of notes on Monday  taking advantage of prevailing low rates in what will be the third-largest sale of corporate debt in the US so far this year.,normal
GS,Goldman Sachs Group Inc (The),20121003,Amerigroup delays WellPoint deal vote by two weeks ,Amerigroup Corp  said it has delayed a stockholder approval vote on the $4.5 billion sale of the health insurer to WellPoint Inc  by two weeks after shareholders sued Amerigroup's board.,topStory
