AAPL,Apple Inc,20121203,RPT-COLUMN-Why you need to sidestep Apple stock in tech investing ,CHICAGO  Dec 3 It's easy to believe in technology stocks again.,topStory
DTYL,Barclays PLC,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
DTYL,Barclays PLC,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DTYL,Barclays PLC,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
CSIQ,Canadian Solar Inc,20121203,Canadian Solar to borrow $139 mln from Deutsche Bank for Ontario projects ,Dec 3 Canadian Solar Inc  which is focusing on the lucrative power plants business to drive growth  said it will borrow C$139 million ($139 million) from Deutsche Bank to build five utility-scale projects in Ontario  Canada.,topStory
CME,CME Group Inc,20121203,Morgan Stanley trader was probed at Goldman: sources ,Morgan Stanley hired former Goldman Sachs trader Edward Glenn Hadden to run its Treasury bond desk last year  even though his former employer had placed the trader on paid leave for about a year following an internal inquiry  said three people familiar with the situation.,topStory
CME,CME Group Inc,20121203,UPDATE 2-Morgan Stanley trader was probed at Goldman-sources ,* Incidents at Goldman made superiors question judgment-sources,normal
CME,CME Group Inc,20121203,Morgan Stanley trader did not manipulate market-lawyer ,A lawyer for Morgan Stanley  Managing Director Edward Glenn Hadden said his client  who is being investigated over a trade involving U.S. Treasury futures while working at Goldman Sachs Group Inc   did nothing wrong.,normal
CME,CME Group Inc,20121203,Ex-Goldman Sachs trader did not manipulate markets - attorney ,Dec 3 A CME Group Inc probe into ex-Goldman Sachs Group Inc bond trader Glenn Hadden pertains to "technical risk management activity" in 2008  a lawyer for Hadden said on Monday.,normal
CME,CME Group Inc,20121203,Morgan Stanley rates trader under investigation ,Morgan Stanley trader Edward Glenn Hadden is under investigation by regulators at CME Group over trades in Treasury futures four years ago while he was employed by Goldman Sachs  according to a regulatory filing.,normal
CME,CME Group Inc,20121203,M.Stanley trader probed over trades made while at Goldman ,Dec 3 Morgan Stanley trader Edward Glenn Hadden is under   investigation by regulators at CME Group  over trades in Treasury futures four years ago while he was employed by Goldman Sachs  according to a regulatory filing.,normal
CONN,Conn&#39;s Inc,20121203,BRIEF-Conn's up in premarket after Q3 results  outlook ,NEW YORK  Dec 3 Conn's Inc :  * Up 3.3 percent to $29.22 in premarket after Q3 results  outlook,topStory
DJCO,Daily Journal Corp (SC),20121203,Murdoch keeps News Corp name  Thomson becomes publishing CEO ,Rupert Murdoch tapped Wall Street Journal managing editor Robert Thomson  a close confidant with little experience on the business side of publishing  as Chief Executive of his new publishing company  which will retain the News Corp name.,topStory
DJCO,Daily Journal Corp (SC),20121203,UPDATE 4-Murdoch keeps News Corp name  Thomson is publishing CEO ,Dec 3 Rupert Murdoch tapped Wall Street Journal managing editor Robert Thomson  a close confidant with little experience on the business side of publishing  as Chief Executive of his new publishing company  which will retain the News Corp name.,normal
DJCO,Daily Journal Corp (SC),20121203,UPDATE 3-Murdoch keeps News Corp name for new publishing company ,Dec 3 Rupert Murdoch is keeping the News Corp  name for his new publishing company in a nod to the important role that newspapers have played in building his media empire.,normal
DENN,Denny&#39;s Corporation,20121203,Denny's new Las Vegas restaurant puts weddings on the menu ,LAS VEGAS Denny's  the 24-hour American diner  opened a restaurant on Thursday in Las Vegas with a wedding chapel where couples can tie the knot after a meal of bacon  peanut butter and bananas between two slices of French toast finished off with a bacon vodka chaser.,topStory
ERIC,Ericsson,20121203,Ericsson seeks U.S. import ban on Samsung products ,STOCKHOLM Swedish telecoms gear maker Ericsson has filed a request with the U.S. International Trade Commission to ban U.S. imports of products made by South Korean group Samsung ,topStory
ERIC,Ericsson,20121203,Ericsson seeks U.S. import ban on Samsung products ,STOCKHOLM  Dec 3 Swedish telecoms gear maker Ericsson has filed a request with the U.S. International Trade Commission to ban U.S. imports of products made by South Korean group Samsung ,normal
FB,Facebook Inc,20121203,Facebook voting begins on Instagram data-sharing  email privacy ,SAN FRANCISCO Facebook Inc opened the polls on Monday for its roughly 1 billion users to vote on a variety of changes to the social network's policies  including a proposal to scrap the user voting system that Facebook introduced in 2009.,topStory
FB,Facebook Inc,20121203,Facebook voting begins on Instagram data-sharing  email privacy ,SAN FRANCISCO  Dec 3 Facebook Inc opened the polls on Monday for its roughly 1 billion users to vote on a variety of changes to the social network's policies  including a proposal to scrap the user voting system that Facebook introduced in 2009.,normal
FSLR,First Solar Inc,20121203,First Solar  SunPower look to cash in on China's solar boom ,Dec 3 U.S. solar companies First Solar Inc  and SunPower Corp on Monday unveiled plans to expand in China  which is expected to be among the top solar markets in the world next year.,topStory
GERN,Geron Corporation,20121203,Geron drops brain cancer drug  to cut jobs ,Geron Corp confirmed it will discontinue development of an experimental drug to treat cancer that has spread to the brain from elsewhere in the body and also cut about 40 percent of its workforce  after patients failed to respond to the drug in a mid-stage study.,topStory
IOSP,Innospec Inc,20121203,UPDATE 2-Innospec pulls out of race for TPC Group ,* Innospec says in interest of investors to withdraw the offer,topStory
IOSP,Innospec Inc,20121203,Innospec pulls out of race for TPC Group ,Innospec Inc  withdrew its offer of about $745 million for chemical manufacturer TPC Group Inc   potentially paving the way for the success of a rival bid from First Reserve Corp and SK Capital Partners for the butadiene maker.,normal
IOSP,Innospec Inc,20121203,Innospec withdraws proposal to buy TPC Group ,Dec 3 Innospec Inc withdrew its offer of about $745 million for chemical maker TPC Group Inc  saying it was in the best interests of its shareholders.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
FLAT,iPath US Treasury Flattener ETN,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
FLAT,iPath US Treasury Flattener ETN,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
FLAT,iPath US Treasury Flattener ETN,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
FLAT,iPath US Treasury Flattener ETN,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
STPP,iPath US Treasury Steepener ETN,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
STPP,iPath US Treasury Steepener ETN,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
STPP,iPath US Treasury Steepener ETN,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
STPP,iPath US Treasury Steepener ETN,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
MRCY,Mercury Systems Inc,20121203,NASA probe reveals organics  ice on Mercury ,CAPE CANAVERAL  Florida Despite searing daytime temperatures  Mercury  the planet closest to the sun  has ice and frozen organic materials inside permanently shadowed craters in its north pole  NASA scientists said on Thursday.,topStory
MDLZ,Mondelez International Inc,20121203,UPDATE 1-Mondelez exec Khosla to retire next year ,Dec 3 Mondelez International Inc said on Monday that Sanjay Khosla  president of developing markets  will retire in the spring of 2013.,topStory
MORN,Morningstar Inc,20121203,TEXT-Fitch: Dean Foods' Ratings Not Immediately Affected by Agreement to Sell Morningstar ,CHICAGO  December 03 (Fitch) Dean Foods Company's (Dean's; NYSE: DF) credit ratings and Positive Rating Watch will not be immediately impacted by the firm's announcement to sell its Morningstar Foods division (Morningstar). A full list of ratings follows at end of this release.,topStory
MORN,Morningstar Inc,20121203,UPDATE 5-Saputo to buy Dean Foods Morningstar unit for $1.45 bln ,* Shares of both Dean Foods and Saputo up   (Adds background on ConAgra  adviser  closing share prices),normal
MORN,Morningstar Inc,20121203,Saputo to buy Dean Foods Morningstar unit for $1.45 billion ,NEW YORK/TORONTO Saputo Inc  will buy Dean Foods Co's  Morningstar division for $1.45 billion to widen its product range and increase its U.S. presence  the Canadian dairy products maker said on Monday.,normal
MORN,Morningstar Inc,20121203,BRIEF-Dean Foods up in premarket on Morningstar dairy unit sale ,NEW YORK  Dec 3 Dean Foods Co :  * Up 5 percent to $18 in premarket; to sell Morningstar dairy division to Saputo Inc for $1.45 billion,normal
NWS,News Corporation,20121203,Murdoch keeps News Corp name  Thomson becomes publishing CEO ,Rupert Murdoch tapped Wall Street Journal managing editor Robert Thomson  a close confidant with little experience on the business side of publishing  as Chief Executive of his new publishing company  which will retain the News Corp name.,topStory
NWS,News Corporation,20121203,UPDATE 4-Murdoch keeps News Corp name  Thomson is publishing CEO ,Dec 3 Rupert Murdoch tapped Wall Street Journal managing editor Robert Thomson  a close confidant with little experience on the business side of publishing  as Chief Executive of his new publishing company  which will retain the News Corp name.,normal
NWS,News Corporation,20121203,UPDATE 3-Murdoch keeps News Corp name for new publishing company ,Dec 3 Rupert Murdoch is keeping the News Corp  name for his new publishing company in a nod to the important role that newspapers have played in building his media empire.,normal
NWS,News Corporation,20121203,News Corp names Robert Thomson CEO of publishing company ,Dec 3 News Corp named Robert Thomson as the chief executive of its new publishing company.,normal
NWS,News Corporation,20121203,News International CEO Mockridge to step down at year-end ,NEW YORK The chief executive of News International  the scandal-hit British newspaper arm of Rupert Murdoch's News Corp  will step down at the end of the year  the company said on Sunday.,normal
NWS,News Corporation,20121203,News International CEO Mockridge to step down at year-end ,NEW YORK  Dec 2 The chief executive of News International  the scandal-hit British newspaper arm of Rupert Murdoch's News Corp  will step down at the end of the year  the company said on Sunday.,normal
NWSA,News Corporation,20121203,Murdoch keeps News Corp name  Thomson becomes publishing CEO ,Rupert Murdoch tapped Wall Street Journal managing editor Robert Thomson  a close confidant with little experience on the business side of publishing  as Chief Executive of his new publishing company  which will retain the News Corp name.,topStory
NWSA,News Corporation,20121203,UPDATE 4-Murdoch keeps News Corp name  Thomson is publishing CEO ,Dec 3 Rupert Murdoch tapped Wall Street Journal managing editor Robert Thomson  a close confidant with little experience on the business side of publishing  as Chief Executive of his new publishing company  which will retain the News Corp name.,normal
NWSA,News Corporation,20121203,UPDATE 3-Murdoch keeps News Corp name for new publishing company ,Dec 3 Rupert Murdoch is keeping the News Corp  name for his new publishing company in a nod to the important role that newspapers have played in building his media empire.,normal
NWSA,News Corporation,20121203,News Corp names Robert Thomson CEO of publishing company ,Dec 3 News Corp named Robert Thomson as the chief executive of its new publishing company.,normal
NWSA,News Corporation,20121203,News International CEO Mockridge to step down at year-end ,NEW YORK The chief executive of News International  the scandal-hit British newspaper arm of Rupert Murdoch's News Corp  will step down at the end of the year  the company said on Sunday.,normal
NWSA,News Corporation,20121203,News International CEO Mockridge to step down at year-end ,NEW YORK  Dec 2 The chief executive of News International  the scandal-hit British newspaper arm of Rupert Murdoch's News Corp  will step down at the end of the year  the company said on Sunday.,normal
QCOM,QUALCOMM Incorporated,20121203,Sharp  Qualcomm to co-develop next-generation displays-sources ,TOKYO  Dec 4 Japanese struggling display panel maker Sharp Corp and U.S. chipmaker Qualcomm Inc  have agreed to jointly develop next-generation displays  two sources familiar with matter said on Monday.,topStory
QCOM,QUALCOMM Incorporated,20121203,Sharp  Qualcomm to jointly develop LCD panels: Nikkei ,Sharp Corp and Qualcomm Inc reached a deal to jointly develop an energy-efficient LCD panel for smartphones using the Japanese company's display technology  the Nikkei reported.,normal
QCOM,QUALCOMM Incorporated,20121203,Sharp  Qualcomm to jointly develop LCD panels - Nikkei ,Dec 4 Sharp Corp and Qualcomm Inc  reached a deal to jointly develop an energy-efficient LCD panel for smartphones using the Japanese company's display technology  the Nikkei reported.,normal
SPWR,SunPower Corporation,20121203,First Solar  SunPower look to cash in on China's solar boom ,U.S. solar companies First Solar Inc  and SunPower Corp  on Monday unveiled plans to expand in China  which is expected to be among the top solar markets in the world next year.,topStory
SPWR,SunPower Corporation,20121203,First Solar  SunPower look to cash in on China's solar boom ,Dec 3 U.S. solar companies First Solar Inc  and SunPower Corp on Monday unveiled plans to expand in China  which is expected to be among the top solar markets in the world next year.,normal
CG,The Carlyle Group LP,20121203,TCW buying direct lending unit ahead of Carlyle takeover ,NEW YORK  Dec 3 TCW Group Inc said it is buying a special situations funds group that would allow it to enter the direct lending business for middle market clients  ahead of its own sale to private equity firm The Carlyle Group LP.,topStory
TCGP,The Carlyle Group LP,20121203,TCW buying direct lending unit ahead of Carlyle takeover ,NEW YORK  Dec 3 TCW Group Inc said it is buying a special situations funds group that would allow it to enter the direct lending business for middle market clients  ahead of its own sale to private equity firm The Carlyle Group LP.,topStory
ADM,Archer-Daniels-Midland Company,20121203,UPDATE 3-ADM raises bid for Australia's GrainCorp to $2.9 bln ,* ADM hikes stake to 19.9 pct  making rival bid difficult,topStory
ADM,Archer-Daniels-Midland Company,20121203,UPDATE 2-ADM raises bid for GrainCorp to $2.9 bln in cash ,Dec 3 Archer Daniels Midland Co on Monday raised its bid for Australia's GrainCorp Ltd to $2.9 billion in cash from $2.8 billion  as the U.S. agribusiness group seeks to expand its geographic reach.,normal
ADM,Archer-Daniels-Midland Company,20121203,ADM raises bid for GrainCorp ,Archer Daniels Midland Co  raised its takeover offer for Australia's GrainCorp Ltd  to A$12.20 ($12.73) per share in cash  up from an earlier bid of A$11.75.,normal
ADM,Archer-Daniels-Midland Company,20121203,ADM raises bid for GrainCorp ,Dec 3 Archer Daniels Midland Co raised its takeover offer for Australia's GrainCorp Ltd to A$12.20 per share in cash  up from an earlier bid of A$11.75.,normal
BAC,Bank of America Corporation,20121203,Hedge funds narrowly beat stock market in November: data ,Hedge funds beat the broader stock market by a whisker in November  according to data published Monday.,topStory
BAC,Bank of America Corporation,20121203,Hedge funds narrowly beat stock market in November - data ,Dec 3 Hedge funds beat the broader stock market by a whisker in November  according to data published Monday.,normal
BAC,Bank of America Corporation,20121203,Insight: Krawcheck  possible SEC head  raises Washington image ,NEW YORK Sallie Krawcheck has been quietly raising her profile in Washington. For six months the former executive at Bank of America and Citigroup has been meeting with lawmakers on both sides of the aisle  offering her insights on a variety of issues including "too big to fail banks" and money market fund reform.,normal
BAC,Bank of America Corporation,20121203,INSIGHT-Krawcheck  possible SEC head  raises Washington image ,* Record of seeing clients' perspective  say ex-colleagues,normal
BCS,Barclays PLC,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,topStory
BCS,Barclays PLC,20121203,UPDATE 2-UBS nears deal with US  UK over Libor ,ZURICH/LONDON  Dec 3 Swiss bank UBS AG  is nearing a deal to settle claims some of its staff manipulated interest rates and could reach agreement with U.S. and British authorities by the end of the year  a person familiar with the matter said on Monday.,normal
BCS,Barclays PLC,20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
BCS,Barclays PLC,20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
BKH,Black Hills Corporation,20121203,U.S. lawmakers want to question Grand Isle Shipyard on rig fire ,WASHINGTON  Dec 3 Top Democratic lawmakers in the U.S. House of Representatives want to know more about the involvement of oilfield contractor Grand Isle Shipyard in an explosion last month on a Black Elk Energy oil rig off the Louisiana coast.,topStory
BKHU,Black Hills Corporation,20121203,U.S. lawmakers want to question Grand Isle Shipyard on rig fire ,WASHINGTON  Dec 3 Top Democratic lawmakers in the U.S. House of Representatives want to know more about the involvement of oilfield contractor Grand Isle Shipyard in an explosion last month on a Black Elk Energy oil rig off the Louisiana coast.,topStory
BA,Boeing Company (The),20121203,Boeing separates airplane production  design ,Boeing Co  said on Monday it is creating a new division to oversee airplane development  hiving off that function from production as it seeks to ramp up factory output.,topStory
BA,Boeing Company (The),20121203,UPDATE 2-Boeing separates airplane production  design ,* Creates "airplane production" unit as output rises 25 pct,normal
BA,Boeing Company (The),20121203,CORRECTED-UPDATE 1-Boeing separates airplane production  design ,(Corrects misspelling of the names Fancher  Shanahan  Birtel and Mancini.),normal
BA,Boeing Company (The),20121203,Boeing names Fancher to lead new plane development unit ,Boeing Co  said on Monday that it was creating a new division to oversee airplane development  hiving that function off from production as it seeks to ramp up factory output.,normal
BA,Boeing Company (The),20121203,Boeing names Fancher to lead new plane development unit ,Dec 3 Boeing Co said on Monday that it was creating a new division to oversee airplane development  hiving that function off from production as it seeks to ramp up factory output.,normal
BA,Boeing Company (The),20121203,UPDATE 2-Qatar hands new backing to Airbus mini-jumbo ,* Airbus say latest A320 wingtip devices outperform target,normal
