ACRX,AcelRx Pharmaceuticals Inc,20121115,AcelRx pain treatment as effective as standard care in trial ,AcelRx Pharmaceuticals Inc said its drug-device combination for post-operative pain was at least as effective as the standard of care  suggesting it has the potential to replace the current treatment.,topStory
EBAYL,eBay Inc,20121115,EU to set up online market for surplus military equipment ,BRUSSELS  Nov 15 Cash-strapped European Union countries  trying to get the most value out of shrinking defence budgets  will soon be able to sell or swap surplus tanks or fighter jets on a new eBay-style electronic marketplace.,topStory
FB,Facebook Inc,20121115,Facebook takes another shot at settling privacy lawsuit ,SAN FRANCISCO A U.S. judge said he would consider whether to preliminarily approve Facebook's second attempt to settle allegations the social networking company violated privacy rights.,topStory
FB,Facebook Inc,20121115,Facebook takes another shot at settling privacy lawsuit ,SAN FRANCISCO  Nov 15 A U.S. judge said he would consider whether to preliminarily approve Facebook's second attempt to settle allegations the social networking company violated privacy rights.,normal
FB,Facebook Inc,20121115,Top hedge funds pick up Facebook amid third quarter crash ,Facebook's disastrous second-quarter earnings report  which sent the shares of the social network down 32 percent in a week  has attracted some of the top hedge fund stock pickers.,normal
GRPN,Groupon Inc,20121115,Groupon names Raman chief operating officer ,SAN FRANCISCO Groupon Inc said on Wednesday that it promoted Kal Raman to chief operating officer  giving the executive more power as the world's largest daily deal company tries to turn around its struggling international businesses.,topStory
IOSP,Innospec Inc,20121115,Bidding war for TPC Group heats up with higher Innospec offer ,Chemical maker Innospec Inc  raised its bid for peer TPC Group Inc  to about $745 million  aiming to thwart a rival offer from private equity firms First Reserve Corp and SK Capital Partners.,topStory
IOSP,Innospec Inc,20121115,UPDATE 3-Bidding war for TPC Group heats up with higher Innospec offer ,* Innospec raises offer to $47.50  valuing TPC at about $745 mln,normal
IOSP,Innospec Inc,20121115,Bidding war for TPC Group heats up with higher Innospec offer ,Chemical maker Innospec Inc  raised its bid for peer TPC Group Inc  to about $745 million  aiming to thwart a rival offer from private equity firms First Reserve Corp and SK Capital Partners.,normal
IOSP,Innospec Inc,20121115,TPC Group gets higher buyout offer from Innospec ,Nov 15 Chemical maker Innospec Inc  raised its bid for peer TPC Group Inc  aiming to fend off a rival offer from  private equity firms First Reserve Corp and SK Capital Partners.,normal
MRVL,Marvell Technology Group Ltd,20121115,UPDATE 2-Marvell Technology sees another weak quarter ,* Third-quarter adjusted EPS $0.20  in line with estimates,topStory
MRVL,Marvell Technology Group Ltd,20121115,Marvell Technology profit more than halves ,Chipmaker Marvell Technology Group Ltd's  third-quarter profit more than halved on lower sales to hard drive makers amid slowing PC demand.,normal
MRVL,Marvell Technology Group Ltd,20121115,Marvell Technology profit more than halves ,Nov 15 Chipmaker Marvell Technology Group Ltd's  third-quarter profit fell 65 percent on lower sales to hard drive makers amid slowing PC demand.,normal
MSFT,Microsoft Corporation,20121115,Microsoft CEO Ballmer suggests more hardware coming ,SANTA CLARA  California Microsoft Corp's chief executive said his company would look at more opportunities to build its own devices  after the launch of its Surface tablet last month  potentially bringing the software giant into competition with its hardware partners and opening the door to a Microsoft-branded phone.,topStory
MSFT,Microsoft Corporation,20121115,Telefonica launches Microsoft video platform ,MADRID Telefonica is to create a video platform with Microsoft  as part of the Spanish telecoms group's ongoing push into digital services.,normal
MSFT,Microsoft Corporation,20121115,Telefonica launches Microsoft video platform ,MADRID  Nov 15 Telefonica is to create a video platform with Microsoft  as part of the Spanish telecoms group's ongoing push into digital services.,normal
MSFT,Microsoft Corporation,20121115,Microsoft CEO Ballmer suggests more hardware coming ,SANTA CLARA  California  Nov 14 Microsoft Corp's  chief executive said his company would look at more opportunities to build its own devices  after the launch of its Surface tablet last month  potentially bringing the software giant into competition with its hardware partners and opening the door to a Microsoft-branded phone.,normal
NTAP,NetApp Inc,20121115,NetApp profit beats; sees strong current quarter ,Data storage equipment maker NetApp Inc's second-quarter adjusted profit beat analysts' expectations on higher service and maintenance revenue  and it forecast a strong current quarter  sending its shares up 12 percent in extended trading.,topStory
NTAP,NetApp Inc,20121115,UPDATE 1-NetApp profit beats; sees strong current quarter ,Nov 14 Data storage equipment maker NetApp Inc's  second-quarter adjusted profit beat analysts' expectations on higher service and maintenance revenue  and it forecast a strong current quarter  sending its shares up 12 percent in extended trading.,normal
NWS,News Corporation,20121115,News Corp nears deal to buy stake in Yankee sports network ,News Corp  is expected to announce this week that it has taken a minority stake in the YES Network  a New York-based sports channel that broadcasts Yankee baseball and Nets basketball games. The deal could be announced as early as Friday  according to a person with knowledge of the transaction.,topStory
NWS,News Corporation,20121115,News Corp nears deal to buy stake in Yankee sports network ,Nov 15 News Corp is expected to announce this week that it has taken a minority stake in the YES Network  a New York-based sports channel that broadcasts Yankee baseball and Nets basketball games. The deal could be announced as early as Friday  according to a person with knowledge of the transaction.,normal
NWS,News Corporation,20121115,News Corp close to deal for YES stake: WSJ ,News Corp is in the process of closing a deal to buy a minority stake in New York regional sports network YES  the Wall Street Journal reported on Wednesday  citing sources.,normal
NWS,News Corporation,20121115,News Corp close to deal for YES stake - WSJ ,Nov 14 News Corp is in the process of closing a deal to buy a minority stake in New York regional sports network YES  the  Wall Street Journal reported on Wednesday  citing sources.,normal
NWSA,News Corporation,20121115,News Corp nears deal to buy stake in Yankee sports network ,News Corp  is expected to announce this week that it has taken a minority stake in the YES Network  a New York-based sports channel that broadcasts Yankee baseball and Nets basketball games. The deal could be announced as early as Friday  according to a person with knowledge of the transaction.,topStory
NWSA,News Corporation,20121115,News Corp nears deal to buy stake in Yankee sports network ,Nov 15 News Corp is expected to announce this week that it has taken a minority stake in the YES Network  a New York-based sports channel that broadcasts Yankee baseball and Nets basketball games. The deal could be announced as early as Friday  according to a person with knowledge of the transaction.,normal
NWSA,News Corporation,20121115,News Corp close to deal for YES stake: WSJ ,News Corp is in the process of closing a deal to buy a minority stake in New York regional sports network YES  the Wall Street Journal reported on Wednesday  citing sources.,normal
NWSA,News Corporation,20121115,News Corp close to deal for YES stake - WSJ ,Nov 14 News Corp is in the process of closing a deal to buy a minority stake in New York regional sports network YES  the  Wall Street Journal reported on Wednesday  citing sources.,normal
OSIS,OSI Systems Inc,20121115,OSI Systems gets show-cause letter from federal agency ,OSI Systems Inc  said it received a show-cause letter from the federal agency for transportation security related to a privacy system of passenger scanning machines it was developing for the agency.,topStory
QCOM,QUALCOMM Incorporated,20121115,Qualcomm sees double-digit growth for next five years ,NEW YORK Chip supplier Qualcomm Inc  said on Thursday that it expects a compound annual growth rate of at least 10 percent for its revenue and earnings per share over the next five years.,topStory
QCOM,QUALCOMM Incorporated,20121115,UPDATE 1-Qualcomm sees double-digit growth for next 5 years ,NEW YORK  Nov 15 Chip supplier Qualcomm Inc  said on Thursday that it expects a compound annual growth rate of at least 10 percent for its revenue and earnings per share over the next five years.,normal
QCOM,QUALCOMM Incorporated,20121115,Qualcomm sees double-digit revenue  earnings growth for next 5 yrs ,NEW YORK  Nov 15 Chip supplier Qualcomm Inc  said on Thursday that it expects a compound annual growth rate of at least 10 percent for its revenue and earnings per share over the next five years.,normal
SASR,Sandy Spring Bancorp Inc,20121115,Children's Place cuts profit view on post-Sandy promotions ,Children's Place Retail Stores Inc  cut its full-year profit forecast citing increased promotional activity in the fourth quarter after superstorm Sandy battered the U.S. northeast.,topStory
SASR,Sandy Spring Bancorp Inc,20121115,Allstate says catastrophe losses from Sandy to exceed $150 million ,Home and auto insurer Allstate Corp  considered to be one of the companies most exposed to insured losses from superstorm Sandy  said it expects October catastrophe losses to exceed $150 million though a full estimate cannot be made at this time.,normal
SASR,Sandy Spring Bancorp Inc,20121115,Allstate says catastrophe losses from Sandy to exceed $150 mln ,Nov 15 Home and auto insurer Allstate Corp   considered to be one of the companies most exposed to insured losses from superstorm Sandy  said it expects October catastrophe losses to exceed $150 million though a full estimate cannot be made at this time.,normal
SASR,Sandy Spring Bancorp Inc,20121115,Children's Place cuts profit view on post-Sandy promotions ,Nov 15 Children's Place Retail Stores Inc  cut its full-year adjusted profit forecast citing increased promotional activity after superstorm Sandy battered the U.S. northeast  from where the company draws almost a third of its revenue.,normal
SHLD,Sears Holdings Corporation,20121115,Sears same-store sales fall as demand for electronic goods wane ,Sears Holdings Corp  reported a smaller-than-expected quarterly loss  but poor demand for popular consumer electronic products took a toll on its same-store sales  triggering a 6 percent fall in the retailer's shares.,topStory
SHLD,Sears Holdings Corporation,20121115,UPDATE 3-Sears same-store sales fall as demand for electronic goods wane ,Nov 15 Sears Holdings Corp reported a smaller-than-expected quarterly loss  but poor demand for popular consumer electronic products took a toll on its same-store sales  triggering a 6 percent fall in the retailer's shares.,normal
SHLD,Sears Holdings Corporation,20121115,BRIEF-Sears shares down 2.1 pct after the bell following results ,NEW YORK  Nov 15 Sears Holdings Corp :  * Shares were down 2.1 percent after the bell following the release of its results.,normal
SHLD,Sears Holdings Corporation,20121115,Sears posts smaller-than-expected quarterly loss ,Nov 15 Sears Holdings Corp reported a smaller-than-expected quarterly loss as it managed costs and maintained a leaner inventory.,normal
SINA,Sina Corporation,20121115,Sina's profit beats on Weibo; co forecasts weak 4th-quarter revenue ,Chinese internet company Sina Corp eked out a profit in the third quarter that beat analysts' estimates as strong advertising sales on its microblogging platform offset weaker website advertising but it forecast current-quarter revenue below expectations.,topStory
SINA,Sina Corporation,20121115,Sina's profit beats on Weibo; co forecasts weak 4th-qtr revenue ,Nov 15 Chinese internet company Sina Corp  eked out a profit in the third quarter that beat analysts' estimates as strong advertising sales on its microblogging platform offset weaker website advertising but it forecast current-quarter revenue below expectations.,normal
SINA,Sina Corporation,20121115,BRIEF-SINA shares down 6.6 pct after the bell following results ,NEW YORK  Nov 15 Sina Corp :  * Shares were down 6.6 percent after the bell following the release of its results.,normal
SBUX,Starbucks Corporation,20121115,Burnished by Starbucks  upstart Square battles payment giants ,SAN FRANCISCO Two years ago  employees from the start-up Square Inc descended on farmers markets in San Francisco to hand out a new type of credit-card reader that let small  independent merchants accept plastic via their smartphones or tablets.,topStory
SBUX,Starbucks Corporation,20121115,CORRECTED-FEATURE-Burnished by Starbucks  upstart Square battles payment giants ,(Corrects timing of eBay and Intuit product launches in 5th paragraph),normal
SBUX,Starbucks Corporation,20121115,Starbucks buying Teavana  eyes repeat of coffee success ,Starbucks Corp  said on Wednesday it plans to buy tea store chain Teavana Holdings Inc  for $620 million  aiming to replicate the success it has had with its namesake coffee shops.,normal
SBUX,Starbucks Corporation,20121115,CORRECTED-UPDATE 6-Starbucks buying Teavana  eyes repeat of coffee success ,(Removes incorrect reference to number of new Teavana stores attributed to Starbucks chief executive Schultz  paragraph 6  adds Teavana chief executive Mack forecasts 500 Teavana stores  paragraph 7  removes incorrect fifth bullet point),normal
TXN,Texas Instruments Incorporated,20121115,Texas Instruments cuts 1 700 jobs  winds down tablet chips ,NEW YORK/SAN FRANCISCO Texas Instruments is eliminating 1 700 jobs  as it winds down its mobile processor business to focus on chips for more profitable markets like cars and home appliances.,topStory
TXN,Texas Instruments Incorporated,20121115,UPDATE 2-Texas Instruments cuts 1 700 jobs  winds down tablet chips ,NEW YORK/SAN FRANCISCO  Nov 14 Texas Instruments  is eliminating 1 700 jobs  as it winds down its mobile processor business to focus on chips for more profitable markets like cars and home appliances.,normal
CG,The Carlyle Group LP,20121115,Carlyle  Seven Group hire Goldman for possible sale of Coates Hire ,SYDNEY  Nov 15 The owners of Coates Hire have roped in Goldman Sachs for a possible sale of Australia's top equipment hire firm after failing to proceed with other options including an A$800 million ($831 million) initial public offer earlier this year.,topStory
TCGP,The Carlyle Group LP,20121115,Carlyle  Seven Group hire Goldman for possible sale of Coates Hire ,SYDNEY  Nov 15 The owners of Coates Hire have roped in Goldman Sachs for a possible sale of Australia's top equipment hire firm after failing to proceed with other options including an A$800 million ($831 million) initial public offer earlier this year.,topStory
TSEM,Tower Semiconductor Ltd,20121115,BRIEF-TowerJazz sees growth in 2013 ,Nov 15 Israel's TowerJazz   Chief Executive Officer Russell Ellwanger says:,topStory
TSEM,Tower Semiconductor Ltd,20121115,BRIEF-Israel's TowerJazz Q3 results ,* TowerJazz Q3 rev view $157 mln  non-GAAP profit $35.6 mln -Thomson Reuters I/B/E/S,normal
VIA,Viacom Inc,20121115,Viacom posts higher profit; CEO says MTV is not broken ,Viacom Inc  reported a rise in quarterly profit  defying weak box-office sales and a challenging advertising environment.,topStory
VIA,Viacom Inc,20121115,UPDATE 2-Viacom posts higher profit; CEO says MTV is not broken ,Nov 15 Viacom Inc reported a rise in quarterly profit  defying weak box-office sales and a challenging advertising environment.,normal
VIAB,Viacom Inc,20121115,Viacom posts higher profit; CEO says MTV is not broken ,Viacom Inc  reported a rise in quarterly profit  defying weak box-office sales and a challenging advertising environment.,topStory
VIAB,Viacom Inc,20121115,UPDATE 2-Viacom posts higher profit; CEO says MTV is not broken ,Nov 15 Viacom Inc reported a rise in quarterly profit  defying weak box-office sales and a challenging advertising environment.,normal
VOD,Vodafone Group Plc,20121115,BRIEF-Vodafone secures spectrum licences in 14 circles in India ,LONDON  Nov 15 Vodafone Group PLC :  * Vodafone India secures spectrum to enhance Mobile services for customers  * Awarded spectrum licences in 14 telecom circles in the Indian government's,topStory
VOD,Vodafone Group Plc,20121115,Vodafone still considering options for Verizon ,BARCELONA Vodafone Group Plc  chief Vittorio Colao said he could not rule out an exit from the United States  a day after posting results showing the Verizon Wireless business there has become the main growth engine for the British group.,normal
ANF,Abercrombie & Fitch Company,20121115,Wall Street ends flat as wary investors stay defensive ,NEW YORK Stocks were little changed on Thursday as the prospect of a drawn-out battle over impending tax and spending changes made investors wary of getting into the water  while retailer Wal-Mart tumbled after disappointing sales. | Video ,topStory
ALL,Allstate Corporation (The),20121115,Allstate says catastrophe losses from Sandy to exceed $150 million ,Home and auto insurer Allstate Corp  considered to be one of the companies most exposed to insured losses from superstorm Sandy  said it expects October catastrophe losses to exceed $150 million though a full estimate cannot be made at this time.,topStory
ALL,Allstate Corporation (The),20121115,Allstate says catastrophe losses from Sandy to exceed $150 mln ,Nov 15 Home and auto insurer Allstate Corp   considered to be one of the companies most exposed to insured losses from superstorm Sandy  said it expects October catastrophe losses to exceed $150 million though a full estimate cannot be made at this time.,normal
AIG,American International Group Inc,20121115,China PICC in talks with AIG  Scor to buy into $4 bln HK IPO -IFR ,HONG KONG  Nov 15 Chinese state-owned insurer PICC Group is in advanced talks with American International Group Inc  China Life  and at least two other companies to become cornerstone investors in its up to $4 billion Hong Kong initial public offering  Thomson Reuters publication IFR reported on Thursday  citing sources.,topStory
AMT,American Tower Corporation (REIT),20121115,KPN sells part of German mobile towers for 393 mln euros ,AMSTERDAM  Nov 15 Dutch telecoms group KPN  said on Thursday it has agreed to sell some of its German mobile towers for 393 million euros to American Tower Corporation to invest in its German mobile network and improve its net debt position.,topStory
BUD,Anheuser-Busch Inbev SA,20121115,Mexican competition watchdog OKs Modelo sale to AB InBev ,MEXICO CITY  Nov 15 Mexico's competition watchdog said on Thursday it has authorized  with no conditions  the sale of half of Grupo Modelo to AB InBev  a $20.1 billion deal that gave the Belgium-based brewing giant full control of the Mexican company.,topStory
ADM,Archer-Daniels-Midland Company,20121115,UPDATE 2-Controlling family of Gruma wants to buy ADM's stake ,MEXICO CITY  Nov 15 The controlling family of Mexican corn flour processor Gruma plans to match a bid from businessman Fernando Chico Pardo to buy a 23 percent stake in the company currently held by U.S. agribusiness giant Archer Daniels Midland.,topStory
ADM,Archer-Daniels-Midland Company,20121115,Controlling family of Mexico's Gruma wants ADM's stake in co. ,MEXICO CITY  Nov 15 The controlling family of Gruma plans to match a bid from businessman Fernando Chico Pardo to buy a 23 percent stake in the Mexican corn flour processor  currently in the hands of U.S. agriculture giant Archer Daniels Midland.,normal
ADM,Archer-Daniels-Midland Company,20121115,UPDATE 5-Australia's GrainCorp knocks back ADM bid  higher offer seen ,* U.S. agricultural giant says believes proposal is attractive,normal
ADM,Archer-Daniels-Midland Company,20121115,UPDATE 4-Australia's GrainCorp knocks back ADM bid  higher offer seen ,* U.S. agricultural giant says believes proposal is attractive,normal
ADM,Archer-Daniels-Midland Company,20121115,REFILE-UPDATE 3-Australia's GrainCorp knocks back ADM bid  higher offer seen ,* U.S. agricultural giant says believes proposal is attractive,normal
ADM,Archer-Daniels-Midland Company,20121115,GrainCorp not seeking a buyer  focusing on growth -CEO ,SYDNEY  Nov 15 Australia's GrainCorp  said it is not looking to be sold and was focussing on a growth strategy after rejecting a A$2.8 billion bid by U.S. agricultural giant Archer Daniels Midland Co.,normal
ADM,Archer-Daniels-Midland Company,20121115,CORRECTED-UPDATE 2-Australia's Graincorp knocks back ADM bid  reports record profit ,(Corrects offer amount in first paragraph to A$2.68 billion ($2.8 billion)  not $2.68 billion),normal
AZN,Astrazeneca PLC,20121115,Teva Pharma  AstraZeneca seek to buy Amarin: report ,JERUSALEM Teva Pharmaceutical Industries   the world's largest generics drugmaker  is a leading candidate to buy Irish biopharmaceutical company Amarin   Israel's Calcalist financial daily reported on Thursday.,topStory
SAN,Banco Santander SA,20121115,Telefonica takes Latin lessons from Santander ,MADRID  Nov 15 Spanish group Telefonica  is following in the footsteps of compatriot Banco Santander  by looking to squeeze cash out of its Latin American business to help battle a grim recession at home.,topStory
BAC,Bank of America Corporation,20121115,TABLE-Delinquency rates at major U.S. banks for October ,Nov 15 October was a mixed bag for most major U.S. banks  with delinquency rates falling at JPMorgan Chase and Bank of America Corp and rising at Capital One Financial and Discover Financial.,topStory
BNS,Bank of Nova Scotia (The),20121115,BRIEF-ING completes sale of ING Direct Canada to Scotiabank ,AMSTERDAM  Nov 15 ING Groep NV :  * Completes sale of ing direct Canada to Scotiabank   * Deal has a net transaction gain of EUR 1.1 billion after tax,topStory
BBL,BHP Billiton plc,20121115,Australia shares  BHP fall to two-month lows; Myer up ,MELBOURNE  Nov 15 Australian shares fell 0.9 percent to the weakest close in two months on Thursday  with big miners and banks tumbling on concern over protracted U.S. budget negotiations and violence in the Middle East.,topStory
BA,Boeing Company (The),20121115,Rockwell says Boeing 737 MAX deal "very material" ,NEW YORK Boeing Co  said on Thursday it had locked down a basic design for its new 737 MAX jet  choosing suppliers for key components and moving the project a step closer to production in 2015.,topStory
BA,Boeing Company (The),20121115,UPDATE 4-Rockwell says Boeing 737 MAX deal 'very material' ,NEW YORK  Nov 15 Boeing Co said on Thursday it had locked down a basic design for its new 737 MAX jet  choosing suppliers for key components and moving the project a step closer to production in 2015.,normal
BA,Boeing Company (The),20121115,End of an era as Airbus sells last two A340 jets ,Airbus announced the sale of two A340 passenger jets to a UK services company on Thursday  marking the final deliveries of its longest-range model but also one of its least profitable.,normal
BA,Boeing Company (The),20121115,End of an era as Airbus sells last two A340 jets ,Nov 15 Airbus announced the sale of two A340 passenger jets to a UK services company on Thursday  marking the final deliveries of its longest-range model but also one of its least profitable.,normal
BA,Boeing Company (The),20121115,Boeing says further 737 production increase likely ,NEW YORK Boeing Co  said it likely would increase its production rate on 737 jets beyond its current forecast  which calls for 42 a month starting in the second quarter of 2014.,normal
BA,Boeing Company (The),20121115,Boeing says further 737 production increase likely ,NEW YORK  Nov 15 Boeing Co said it likely would increase its production rate on 737 jets beyond its current forecast  which calls for 42 a month starting in the second quarter of 2014.,normal
BA,Boeing Company (The),20121115,REFILE-Honeywell  Rockwell Collins expected to win Boeing contract- WSJ ,Nov 15 Honeywell International Inc and Rockwell Collins Inc are expected to win major contracts to supply systems to Boeing Co for its updated 737 Max jetliner  the Wall Street Journal reported  citing two people familiar with the decisions.,normal
BA,Boeing Company (The),20121115,Honeywell  Rockwell Collins expected to win Boeing contract: WSJ ,Honeywell International Inc  and Rockwell Collins Inc  are expected to win major contracts to supply systems to Boeing Co  for its updated 737 Max jetliner  the Wall Street Journal reported  citing two people familiar with the decisions.,normal
BP,BP plc,20121115,BP agrees to record criminal penalties for U.S. oil spill ,NEW ORLEANS/WASHINGTON BP Plc will pay $4.5 billion in penalties and plead guilty to felony misconduct in the Deepwater Horizon disaster  which caused the worst U.S. offshore oil spill ever. | Video ,topStory
BP,BP plc,20121115,UPDATE 7-BP agrees to record criminal penalties for US oil spill ,* BP admits felony misconduct over Deepwater Horizon     * Company to pay $4.5 billion in penalties     * Deal could resolve significant share of BP's liability     * BP still faces damages sought by U.S. states  others       By Kathy Finn and David Ingram     NEW ORLEANS/WASHINGTON  Nov 15 BP Plc  will pay $4.5 billion in penalties and plead guilty to felony misconduct in the Deepwater Horizon disaster  which caused the worst U.S. offshore oil spill ever.     U.S. Attorney General E,normal
BP,BP plc,20121115,Factbox: BP's outstanding liability for U.S. oil spill ,BP Plc's agreement on Thursday to pay the U.S. government $4.5 billion is a big step toward resolving its liability for the Gulf of Mexico oil spill in 2010.,normal
BP,BP plc,20121115,Attorney general says no deal yet with BP on civil claims ,The U.S. government negotiated with BP Plc to resolve civil claims against the company related to the Deepwater Horizon oil spill in 2010 but did not reach any agreement  Attorney General Eric Holder said on Thursday.,normal
BP,BP plc,20121115,US attorney general says no deal yet with BP on civil claims ,Nov 15 The U.S. government negotiated with BP Plc to resolve civil claims against the company related to the Deepwater Horizon oil spill in 2010 but did not reach any agreement  U.S. Attorney General Eric Holder said on Thursday.,normal
BP,BP plc,20121115,Two BP workers indicted on charges related to oil spill ,A grand jury has indicted two BP Plc employees on 23 criminal counts related to the Deepwater Horizon oil spill in 2010  Attorney General Eric Holder said on Thursday.,normal
BP,BP plc,20121115,Two BP workers indicted on charges related to oil spill ,Nov 15 A grand jury has indicted two BP Plc  employees on 23 criminal counts related to the Deepwater Horizon oil spill in 2010  U.S. Attorney General Eric Holder said on Thursday.,normal
