ACAD,ACADIA Pharmaceuticals Inc,20121127,UPDATE 1-Acadia antipsychotic for Parkinson's succeeds in trial ,* Achieves antipsychotic effect without loss of motor function,topStory
EBAY,eBay Inc,20121127,ChannelAdvisor reports faster holiday sales growth on eBay ,SAN FRANCISCO  Nov 27 ChannelAdvisor said on Tuesday that client sales on eBay Inc's online marketplace grew faster than on Amazon.com Inc's  website during the crucial first five days of the holiday shopping season.,normal
EBAYL,eBay Inc,20121127,UPDATE 3-Cyber Monday sales best ever  for Amazon's Kindle too ,* Cyber Monday sales up 30.3 percent over 2011 - IBM     * Amazon says its Kindle devices had biggest sales day ever     * ChannelAdvisor says client sales growth stronger on eBay than Amazon       By Alistair Barr     Nov 27 Internet sales jumped more than 30 percent on Cyber Monday  making it the biggest online shopping day ever  according to data released on Tuesday.       Walmart.com  the online division of Walmart U.S.  had its best sales day in history  a spokeswoman said.     ,topStory
EBAYL,eBay Inc,20121127,ChannelAdvisor reports faster holiday sales growth on eBay ,SAN FRANCISCO ChannelAdvisor said on Tuesday that client sales on eBay Inc's online marketplace grew faster than on Amazon.com Inc's website during the crucial first five days of the holiday shopping season.,normal
EBAYL,eBay Inc,20121127,ChannelAdvisor reports faster holiday sales growth on eBay ,SAN FRANCISCO  Nov 27 ChannelAdvisor said on Tuesday that client sales on eBay Inc's online marketplace grew faster than on Amazon.com Inc's  website during the crucial first five days of the holiday shopping season.,normal
ERIC,Ericsson,20121127,Ericsson sues Samsung for patent infringement ,STOCKHOLM Ericsson  the world's biggest telecom network equipment maker  said it was suing Samsung Electronics Co for patent infringement after two years of talks failed to yield a license agreement.,topStory
ERIC,Ericsson,20121127,UPDATE 3-Ericsson sues Samsung for patent infringement ,STOCKHOLM  Nov 27 Ericsson  the world's biggest telecom network equipment maker  said it was suing Samsung Electronics Co for patent infringement after two years of talks failed to yield a license agreement.,normal
ERIC,Ericsson,20121127,BRIEF-Ericsson sues Samsung for patent infringement in the US ,STOCKHOLM  Nov 27 ERICSSON :  * Ericsson takes action for fair and reasonable patent licensing  * Says has filed a patent infringement action against Samsung after it refused,normal
FB,Facebook Inc,20121127,Tajikistan blocks Facebook access to silence critics ,DUSHANBE Tajikistan has blocked access to Facebook in response to a slew of comments spreading "mud and slander" about veteran President Imomali Rakhmon and officials in the Central Asian republic.,topStory
FB,Facebook Inc,20121127,Tajikistan blocks Facebook access to silence critics ,* Authorities in Central Asian state clamping down on dissent,normal
FB,Facebook Inc,20121127,Privacy groups ask Facebook to withdraw proposed policy changes ,SAN FRANCISCO Two privacy advocacy groups urged Facebook Inc on Monday to withdraw proposed changes to its terms of service that would allow the company to share user data with recently acquired photo-application Instagram  eliminate a user voting system and loosen email restrictions within the social network.,normal
FB,Facebook Inc,20121127,Privacy groups ask Facebook to withdraw proposed policy changes ,SAN FRANCISCO  Nov 26 Two privacy advocacy groups urged Facebook Inc on Monday to withdraw proposed changes to its terms of service that would allow the company to share user data with recently acquired photo-application Instagram  eliminate a user voting system and loosen email restrictions within the social network.,normal
GILD,Gilead Sciences Inc,20121127,Gilead hepatitis C drug shows promise in late-stage trial ,Gilead Sciences said a late-stage trial of its experimental hepatitis C treatment showed that the virus was not detected in 78 percent of patients taking the drug  12 weeks after completing therapy.,topStory
KALU,Kaiser Aluminum Corporation,20121127,TEXT-S&P summary: Kaiser Aluminum Corp. ,===============================================================================,topStory
LBTYA,Liberty Global plc,20121127,Analysis: Europe's telcos in slow lane as cable takes the tape ,PARIS/LONDON Far from fearing the coming investment from Europe's telecom giants into superfast broadband  smaller cable firms believe they will still beat the big guns to the trigger.,topStory
LBTYA,Liberty Global plc,20121127,TEXT-S&P summary: Liberty Global Inc. ,===============================================================================,normal
LBTYB,Liberty Global plc,20121127,Analysis: Europe's telcos in slow lane as cable takes the tape ,PARIS/LONDON Far from fearing the coming investment from Europe's telecom giants into superfast broadband  smaller cable firms believe they will still beat the big guns to the trigger.,topStory
LBTYB,Liberty Global plc,20121127,TEXT-S&P summary: Liberty Global Inc. ,===============================================================================,normal
LBTYK,Liberty Global plc,20121127,Analysis: Europe's telcos in slow lane as cable takes the tape ,PARIS/LONDON Far from fearing the coming investment from Europe's telecom giants into superfast broadband  smaller cable firms believe they will still beat the big guns to the trigger.,topStory
LBTYK,Liberty Global plc,20121127,TEXT-S&P summary: Liberty Global Inc. ,===============================================================================,normal
MSFT,Microsoft Corporation,20121127,Microsoft sold 40 million Windows 8 licenses in month: exec ,SEATTLE Microsoft Corp has sold 40 million Windows 8 licenses in the month since the launch  according to one of the new co-heads of the Windows unit  setting a faster pace than Windows 7 three years ago.,topStory
MSFT,Microsoft Corporation,20121127,UPDATE 2-Microsoft sold 40 mln Windows 8 licenses in month -exec ,SEATTLE  Nov 27 Microsoft Corp has sold 40 million Windows 8 licenses in the month since the launch  according to one of the new co-heads of the Windows unit  setting a faster pace than Windows 7 three years ago.,normal
MSFT,Microsoft Corporation,20121127,Microsoft sold 40 mln Windows 8 licenses in first month - exec ,SEATTLE  Nov 27 Microsoft Corp has sold 40 million Windows 8 licenses in the month since launch on Oct. 26  according to one of the new co-heads of the Windows unit.,normal
SASR,Sandy Spring Bancorp Inc,20121127,RPT-At New Jersey fuel terminal  Sandy's scars to linger ,LINDEN  New Jersey  Nov 27 At the small Gulf Oil terminal just south of Newark  New Jersey  mobile power generators are being packed up and tanker trucks are again loading gasoline  one month after Superstorm Sandy. But for the seven workers who run the terminal around the clock  life is still far from normal.,topStory
SASR,Sandy Spring Bancorp Inc,20121127,At New Jersey fuel terminal  Sandy's scars to linger for months ,LINDEN  New Jersey At the small Gulf Oil terminal just south of Newark  New Jersey  mobile power generators are being packed up and tanker trucks are again loading gasoline  one month after Superstorm Sandy. But for the seven workers who run the terminal around the clock  life is still far from normal.,normal
SASR,Sandy Spring Bancorp Inc,20121127,At New Jersey fuel terminal  Sandy's scars to linger for months ,LINDEN  New Jersey  Nov 27 At the small Gulf Oil terminal just south of Newark  New Jersey  mobile power generators are being packed up and tanker trucks are again loading gasoline  one month after Superstorm Sandy. But for the seven workers who run the terminal around the clock  life is still far from normal.,normal
SBUX,Starbucks Corporation,20121127,Upstart coffee chain bets on Mexican flavor to duel Starbucks ,* Coffee consumption in Mexico up nearly 20 pct 2005-2010,topStory
CG,The Carlyle Group LP,20121127,UPDATE 2-Carlyle raises first energy fund after Riverstone ,NEW YORK  Nov 27 Carlyle Group LP has raised $1.38 billion for a fund lending to energy projects and companies  almost double its initial target  in its first energy-focused fundraising effort following the end of its collaboration with Riverstone Holdings LLC.,topStory
CG,The Carlyle Group LP,20121127,Chemring says 2012 performance "extremely disappointing" ,Nov 27 Military equipment maker Chemring Group  said its performance over the year had been "extremely disappointing" and that it was trading in line with the expectations it laid out early this month.,normal
TCGP,The Carlyle Group LP,20121127,UPDATE 2-Carlyle raises first energy fund after Riverstone ,NEW YORK  Nov 27 Carlyle Group LP has raised $1.38 billion for a fund lending to energy projects and companies  almost double its initial target  in its first energy-focused fundraising effort following the end of its collaboration with Riverstone Holdings LLC.,topStory
TCGP,The Carlyle Group LP,20121127,Chemring says 2012 performance "extremely disappointing" ,Nov 27 Military equipment maker Chemring Group  said its performance over the year had been "extremely disappointing" and that it was trading in line with the expectations it laid out early this month.,normal
ABT,Abbott Laboratories,20121127,BRIEF-Abbott's Humira wins EU approval for new use ,Nov 27 Abbott Laboratories :  * Abbott's Humira (adalimumab) approved in Europe for severe active pediatric,topStory
ACN,Accenture plc,20121127,Firms swapping euro zone for emerging markets: survey ,LONDON Nearly one in two companies have already reduced their exposure to the euro zone because of the bloc's debt and banking problems  according to a study released on Tuesday by Accenture.,topStory
ACN,Accenture plc,20121127,Firms swapping euro zone for emerging markets-survey ,LONDON  Nov 27Nearly one in two companies have already reduced their exposure to the euro zone because of the bloc's debt and banking problems  according to a study released on Tuesday by Accenture.,normal
AYR,Aircastle Limited,20121127,TEXT-S&P rates Aircastle Ltd senior notes 'BB+' ,Nov 27 - Standard & Poor's Ratings Services said today that it has assigned its 'BB+' issue rating to Aircastle Ltd.'s $400 million senior notes due 2019. The recovery rating on this issue is '3'  indicating our expectation that lenders would receive a meaningful (50%-70%) recovery of principal in the event of a payment default. The company will use proceeds for general corporate purposes  including the purchase of aircraft.  The ratings on Stamford  Conn.-based Aircastle reflect its position as,topStory
AIV,Apartment Investment and Management Company,20121127,TEXT-Fitch keeps Titan Europe 2007-1 notes on watch negative ,Nov 27 - Fitch Ratings has maintained Titan Europe 2007-1 (NHP) Limited's notes on Rating Watch Negative (RWN)  as follows:  GBP42.15m class B secured floating-rate notes due 2017: 'BB'; maintained on RWN GBP42m class C secured floating-rate notes due 2017: 'B+'; maintained on RWN GBP58m class D secured floating-rate notes due 2017: 'B-'; maintained on RWN GBP60m class E secured floating-rate notes due 2017: 'CCC'; unaffected  Fitch is still awaiting further information before resolving the RWN.,topStory
AVB,AvalonBay Communities Inc,20121127,Lehman to sell apartment owner Archstone for $6.5 billion ,NEW YORK Lehman Brothers Holdings Inc agreed to sell property group Archstone to two real estate investment trusts for about $6.5 billion  taking advantage of a strong market for apartments and marking an end to a 2007 gamble that helped push the investment bank into bankruptcy.,topStory
AVB,AvalonBay Communities Inc,20121127,UPDATE 3-Lehman to sell apartment owner Archstone for $6.5 bln ,* Equity Residential  AvalonBay to split Archstone assets 60-40,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20121127,UPDATE 1-Banorte to buy BBVA pension fund in $1.6 bln deal ,MEXICO CITY  Nov 27 Banorte  which runs one of Mexico's biggest financial groups  said on Tuesday it has reached a deal to buy a local pension fund owned by Spain's BBVA in a deal valued at $1.6 billion.,topStory
BK,Bank Of New York Mellon Corporation (The),20121127,UPDATE 2-Argentina urges U.S. court to halt payment to creditors ,* Argentina says U.S. court order to pay holdouts must be suspended,topStory
BK,Bank Of New York Mellon Corporation (The),20121127,MOVES-Standard Chartered  Bank of Ayudhya  Cordea Savills ,Nov 27 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
BK,Bank Of New York Mellon Corporation (The),20121127,Argentina urges U.S. appeals court to delay payment to creditors ,* Court order to pay holdouts must be suspended - Argentina,normal
BAX,Baxter International Inc,20121127,TEXT - S&P says Baxter rating not hurt by acquisition news ,Nov 27 - Standard & Poor's said today that its ratings on Baxter International Inc. are not currently affected by reports that the company could make a large debt-financed acquisition. The Wall Street  Journal reported that Baxter is in discussions to acquire Gambro  a medical  device company specializing in kidney dialysis products  for $4 billion. Our  ratings incorporate capacity for midsize acquisitions that modestly increase  debt. However  our rating outlook states that debt-financed acqui,topStory
BBL,BHP Billiton plc,20121127,Chile Escondida copper mine union agrees to early labor talks ,* World's No. 1 copper mine hit by labor action last year,topStory
BA,Boeing Company (The),20121127,Airbus  Boeing launch airliner ad war as rivalry heats up ,PARIS Airbus and Boeing have clashed over the performance of their latest revamped models as the aerospace companies battle for market share by offering fuel savings to cash-starved airlines.,topStory
BA,Boeing Company (The),20121127,Airbus  Boeing launch airliner ad war as rivalry heats up ,PARIS  Nov 26 Airbus and Boeing have clashed over the performance of their latest revamped models as the aerospace companies battle for market share by offering fuel savings to cash-starved airlines.,normal
BP,BP plc,20121127,BP sells Turkish LPG assets to Russia's Oteko ,ISTANBUL British oil major BP's  Turkish unit said it had sold its liquefied petroleum gas (LPG) assets and Petgaz business in Turkey to Russia's Oteko Group  which transports crude oil and oil products within Russia.,topStory
CBS,CBS Corporation,20121127,Viacom names new finance chief ,Viacom Inc said it appointed corporate development executive Wade Davis to become the media company's new chief financial officer  replacing Jimmy Barge in the position.,topStory
CBS,CBS Corporation,20121127,Viacom names new finance chief ,Nov 27 Viacom Inc said it appointed corporate development executive Wade Davis to become the media company's new chief financial officer  replacing Jimmy Barge in the position.,normal
CX,Cemex SAB de CV,20121127,Mexico's Cemex to cut 339 jobs in Spain ,MEXICO CITY  Nov 27 Mexico's Cemex  a major global cement maker  said on Tuesday that it will cut 339 staff at its Spanish unit  slightly less than originally expected.,topStory
SNP,China Petroleum & Chemical Corporation,20121127,ChemChina entry marks cosmetic reform to China oil market ,* Gov't weighs Sinopec's global clout over benefits of competition,topStory
CLH,Clean Harbors Inc,20121127,TEXT - S&P affirms Clean Harbors ratings ,Overview      -- Clean Harbors Inc. announced that it is issuing $550 million of senior unsecured notes and will use the proceeds to fund a portion of the $1.25  billion purchase price related to its proposed acquisition of Safety-Kleen  Inc.  the holding company of Safety-Kleen Systems Inc. (B+/Watch Pos/--).      -- We are affirming our ratings  including our 'BB+' corporate credit  rating  on Clean Harbors and removing the ratings from CreditWatch negative   where we placed them on Nov. 1  20,topStory
CEO,CNOOC Limited,20121127,Canada still examining options on foreign energy bids ,OTTAWA With deadlines fast approaching  Canada is still weighing two proposed foreign takeovers of domestic energy companies  but a top minister offered no clues on Tuesday as to when or how the government would announce the hotly debated decisions.,topStory
CEO,CNOOC Limited,20121127,UPDATE 1-Canada still examining options on foreign energy bids ,OTTAWA  Nov 27 With deadlines fast approaching  Canada is still weighing two proposed foreign takeovers of domestic energy companies  but a top minister offered no clues on Tuesday as to when or how the government would announce the hotly debated decisions.,normal
CEO,CNOOC Limited,20121127,RPT-Canada says still examining options on CNOOC bid ,* Canada seen shooting for decisions by Dec. 10 if not before,normal
CEO,CNOOC Limited,20121127,Canada says still examining options on CNOOC bid ,* Canada seen shooting for decisions by Dec. 10 if not before,normal
CEO,CNOOC Limited,20121127,TEXT-S&P summary: CNOOC Ltd. ,(The following statement was released by the rating agency),normal
CBD,Companhia Brasileira de Distribuicao,20121127,UPDATE 1-Casino not selling Pão de Açúcar appliance unit-sources ,* Diniz wants Casino to speed up decision on ViaVarejo unit,topStory
CBD,Companhia Brasileira de Distribuicao,20121127,Pão de Açúcar chmn urges Casino to decide fate of unit-sources ,SAO PAULO  Nov 27 In a bid to end a bitter feud  the chairman of Brazilian retailer Grupo Pão de Açúcar SA has formally asked its controlling shareholder to sell its ViaVarejo home appliance unit to him  a source with knowledge of the situation told Reuters on Tuesday.,normal
CAG,ConAgra Brands Inc,20121127,TEXT-Fitch cuts ConAgra Foods to 'BBB-/F3' ,Nov 27 - Fitch Ratings has downgraded the following ratings of ConAgra Foods  Inc. (ConAgra) on the company's definitive agreement to acquire Ralcorp Holdings  Inc. (Ralcorp) for $5.1 billion equity value  or approximately $6.8 billion transaction value including assumed debt.  ConAgra Foods  Inc.  --Long-term Issuer Default Rating (IDR) to 'BBB-' from 'BBB'; --Senior unsecured notes to 'BBB-' from 'BBB'; --Bank credit facility to 'BBB-' from 'BBB'; --Subordinated notes to 'BB+' from 'BBB-'; --S,topStory
CAG,ConAgra Brands Inc,20121127,ConAgra finally wins Ralcorp in $5 billion store-brand food bet ,ConAgra Foods Inc  sealed a deal to buy Ralcorp Holdings Inc  for $5 billion  more than a year and a half after first bidding on it  turning the maker of Chef Boyardee pasta into the top U.S. producer of store-branded foods.,normal
CAG,ConAgra Brands Inc,20121127,UPDATE 5-ConAgra finally wins Ralcorp in $5 bln store-brand food bet ,* Deal for $90/shr values Ralcorp at $6.8 bln  including debt,normal
CAG,ConAgra Brands Inc,20121127,Timeline: ConAgra finally wins over Ralcorp with $5 billion offer ,ConAgra Foods Inc sealed a deal to buy long-time target Ralcorp Holdings Inc for $5 billion  or $90 per share  after a nearly two-year pursuit. Ralcorp rejected several offers from ConAgra last year and later spun off its cereal business  Post Holdings Inc.,normal
CAG,ConAgra Brands Inc,20121127,TIMELINE-ConAgra finally wins over Ralcorp with $5 bln offer ,Nov 27 ConAgra Foods Inc sealed a deal to buy long-time target Ralcorp Holdings Inc for $5 billion  or $90 per share  after a nearly two-year pursuit. Ralcorp rejected several offers from ConAgra last year and later spun off its cereal business  Post Holdings Inc.,normal
CAG,ConAgra Brands Inc,20121127,BRIEF-ConAgra comments on Ralcorp ,Nov 27 ConAgra Foods Inc :  * Exec says share buybacks will be "pretty close to zero" for next 18-24 mos ,normal
CAG,ConAgra Brands Inc,20121127,BRIEF-ConAgra Foods says expects to maintain $1/yr dividend in near term ,CHICAGO  Nov 27 ConAgra Foods Inc :  * Says expects to maintain $1/yr dividend in near term  * Says expects to significantly reduce buybacks  issue up to $350 million in,normal
CAG,ConAgra Brands Inc,20121127,CORRECTED-UPDATE 1-ConAgra to buy Ralcorp for $5 bln ,Nov 27 Long-time suitor ConAgra Foods Inc  finally sealed a deal to buy Ralcorp Holdings Inc  for $5 billion to become the biggest private label food company in North America.,normal
CAG,ConAgra Brands Inc,20121127,BRIEF-Ralcorp jumps in premarket; to be acquired by ConAgra Foods ,NEW YORK  Nov 27 Ralcorp Holdings Inc :  * Jumps 26.7 to percent to $89 in premarket; to be acquired by ConAgra Foods for $90 per share in cash,normal
CAG,ConAgra Brands Inc,20121127,ConAgra to acquire Ralcorp for $5 bln ,Nov 27 ConAgra Foods said it will acquire Ralcorp Holdings Inc for about $5 billion to boost its presence in the private label food market.,normal
COP,ConocoPhillips,20121127,ONGC Videsh Exec says Kashagan partners have two months to pre-empt Conoco deal ,NEW DELHI ConocoPhillips'  partners in Kazakhstan's Kashagan field have 60 days to exercise pre-emption rights to prevent India's ONGC Videsh from buying an 8.4 percent stake held by the U.S. company  the Indian firm's managing director said.,topStory
COP,ConocoPhillips,20121127,ONGC Videsh Exec says Kashagan partners have 2 mths to pre-empt Conoco deal ,NEW DELHI  Nov 27 ConocoPhillips'  partners in Kazakhstan's Kashagan field have 60 days to exercise pre-emption rights to prevent India's ONGC Videsh from buying an 8.4 percent stake held by the U.S. company  the Indian firm's managing director said.,normal
COP,ConocoPhillips,20121127,INDIA PRESS-ConocoPhillips  ONGC likely to explore shale gas in India-PTI in Economic Times ,Audi looking to assemble SUV Q3 in India - PTI in Economic Times,normal
GLW,Corning Incorporated,20121127,Corning expects full-year revenue from Gorilla glass to reach $1 billion ,Specialty glass maker Corning Inc  said it expects full-year sales of its Gorilla glass  used in smartphones and tablets  to approach $1 billion  pushing its shares up as much as 8 percent before the bell.,topStory
GLW,Corning Incorporated,20121127,CORRECTED-BRIEF-Corning shares up in premarket ,NEW YORK  Nov 27 NEW YORK  Nov 27 (Reuters) - Corning Inc :  * Shares up 7 percent to $12.14 in premarket     (Reporting by Chuck Mikolajczak),normal
DB,Deutsche Bank AG,20121127,New Issue-EIB adds 30 mln Turkish lira to 2016 bond ,Full fees               1.375 pct (1.1875 pct selling + 0.1875 m+u),topStory
DB,Deutsche Bank AG,20121127,India's Hinduja picks Deutsche to weigh sale of Saudi venture - sources ,DUBAI  Nov 27 A unit of family-owned Indian conglomerate Hinduja Group has hired Deutsche Bank to evaluate the potential sale of its 49-percent stake in a Saudi Arabian lubricants venture that is valued at up to $700 million  three sources said.,normal
DB,Deutsche Bank AG,20121127,Hungary's Eximbank to issue up to 2 bln euros in notes-IFR ,* State-owned Eximbank eyes 2 bln euro in medium-term notes,normal
DB,Deutsche Bank AG,20121127,Ex Deutsche Bank CEO criticizes successor for skipping hearing ,FRANKFURT The former head of Germany's Deutsche Bank  Josef Ackermann criticized his successor Anshu Jain on Monday for not agreeing to appear at a German parliamentary hearing this week on Libor manipulation.,normal
DB,Deutsche Bank AG,20121127,Ex Deutsche Bank CEO criticises successor for skipping hearing ,FRANKFURT  Nov 26 The former head of Germany's Deutsche Bank Josef Ackermann criticised his successor Anshu Jain on Monday for not agreeing to appear at a German parliamentary hearing this week on Libor manipulation.,normal
DG,Dollar General Corporation,20121127,BRIEF-Dollar General up in premarket; to be added to S&P 500 ,NEW YORK  Nov 27 Dollar General Corp :  * Up 3.3 percent to $50.95 in premarket; to replace Cooper Industries PLC in S&P 500 after the close of trading on November 30.,topStory
E,ENI SpA,20121127,Eni raises 1.4 billion euros from Galp placements ,MILAN Italy's Eni  raised 1.4 billion euros ($1.81 billion) from the sale of shares and convertible bonds in Galp Energia  on Tuesday as it pushes on with plans to exit the Portuguese energy company.,topStory
E,ENI SpA,20121127,UPDATE 2-Eni raises 1.4 bln euros from Galp placements ,* Places 1.028 bln eur of bonds exchangeable in Galp shares   (Releads; Adds analyst comment  details  byline),normal
E,ENI SpA,20121127,Eni sells 4 pct stake in Galp for 381 mln euros ,MILAN  Nov 27 Italian oil and gas group Eni  said on Tuesday it had placed a stake of 4 percent in Portuguese energy company Galp Energia for about 381 million euros ($493.96 million).,normal
ETR,Entergy Corporation,20121127,FERC cites Entergy for alleged electric grid violations ,HOUSTON A unit of Entergy Corp violated more than a dozen standards in the operation of its four-state electric transmission system  said a preliminary report by the Federal Energy Regulatory Commission's enforcement staff.,topStory
ETR,Entergy Corporation,20121127,FERC cites Entergy for alleged grid reliability violations ,HOUSTON  Nov 27 A preliminary report by the Federal Energy Regulatory Commission's enforcement staff said that a unit of Entergy Corp violated more than a dozen standards in the operation of its four-state electric transmission system.,normal
EQR,Equity Residential,20121127,TEXT-S&P: Equity Residential ratings unaffected by Archstone news ,Nov 27 - Standard & Poor's Ratings Services said today that its rating and outlook for Chicago-based Equity Residential (EQR; BBB+/Stable) are unchanged following EQR's announcement that it has entered into an agreement to acquire 60% of Archstone Enterprises L.P. from Lehman Brothers Holdings Inc. for roughly $9.4 billion (excluding transaction costs). The acquisition will include the assumption of $5.5 billion of debt (including a noncash component related to the mark-to-market for certain deb,topStory
EQR,Equity Residential,20121127,TEXT-Fitch may cut Equity Residential IDR on proposed Archstone deal ,Nov 27 - Fitch Ratings has placed Equity Residential's 'BBB+' Issuer Default Rating (IDR) on Rating Watch Negative. A full list of rating actions follows at the end of this press release.  The rating action follows Equity Residential's (EQR) announcement on Nov. 26  2012 that it will enter into a definitive agreement to acquire 60% of the assets and liabilities of Archstone Enterprise LP  a privately-held multifamily entity.  Pro forma for the acquisition  the company's leverage and coverage met,normal
EQR,Equity Residential,20121127,Lehman to sell apartment owner Archstone for $6.5 billion ,NEW YORK Lehman Brothers Holdings Inc agreed to sell property group Archstone to two real estate investment trusts for about $6.5 billion  taking advantage of a strong market for apartments and marking an end to a 2007 gamble that helped push the investment bank into bankruptcy.,normal
EQR,Equity Residential,20121127,UPDATE 3-Lehman to sell apartment owner Archstone for $6.5 bln ,* Equity Residential  AvalonBay to split Archstone assets 60-40,normal
EXC,Exelon Corporation,20121127,UPDATE 1-Exelon completes nozzle work at NJ Oyster Creek reactor ,* Reactor shut for refuelling Oct. 22     * Oyster Creek reports new pinhole leak     * NRC monitoring company response to new leak     * Exelon did not say when reactor would exit refuel       By Scott DiSavino     Nov 27 U.S. power company Exelon Corp  completed repairs on a reactor vessel nozzle at the Oyster Creek nuclear power plant in New Jersey  federal nuclear regulators said Tuesday.     "The company's weld overlay repairs to a reactor vessel nozzle found recently to have tw,topStory
EXC,Exelon Corporation,20121127,Exelon works on nozzle at NJ Oyster Creek reactor before restart ,* Reactor shut for refueling Oct. 22     * NRC says reactor safe  agency monitoring nozzle work     * Exelon did not say when reactor would exit refuel      Nov 27 U.S. power company Exelon Corp is fixing a nozzle in the reactor at the Oyster Creek nuclear power plant in New Jersey before the unit can exit an ongoing refueling outage.     The company did not say when the unit would likely exit the outage  which began on Oct. 22.     The U.S. Nuclear Regulatory Commission (NRC) said t,normal
GM,General Motors Company,20121127,Fisker Automotive names ex-GM marketing chief Ewanick to post ,Green-car startup Fisker Automotive named former General Motors Co  and Hyundai Motor Co  marketing executive Joel Ewanick as interim chief commercial officer  Fisker said on Monday.,topStory
GM,General Motors Company,20121127,Fisker Automotive names ex-GM marketing chief Ewanick to post ,Nov 26 Green-car startup Fisker Automotive named former General Motors Co and Hyundai Motor Co  marketing executive Joel Ewanick as interim chief commercial officer  Fisker said on Monday.,normal
GM,General Motors Company,20121127,GM takes cue from Apple to address in-vehicle tech glitches ,AUSTIN General Motors Co  rolling out its own version of Apple Inc's  Genius Bar to prevent frustration over its in-car technology from driving away potential customers.,normal
GM,General Motors Company,20121127,GM takes cue from Apple to address in-vehicle tech glitches ,AUSTIN  Nov 26 General Motors Co rolling out its own version of Apple Inc's Genius Bar to prevent frustration over its in-car technology from driving away potential customers.,normal
GSK,GlaxoSmithKline PLC,20121127,GSK and J&J lead rivals in drug access for poor ,LONDON Drugmakers - led by GlaxoSmithKline and Johnson & Johnson - are stepping up efforts to ensure their medicines are available and affordable in poor countries  after being attacked in the past for not doing enough.,topStory
GSK,GlaxoSmithKline PLC,20121127,GSK and J&J lead rivals in drug access for poor ,* Reputation  commercial opportunities win board attention,normal
