AAPL,Apple Inc,20121224,MARKET PULSE-Google  Apple  Vimpelcom  Yum Brands ,U.S. stock index futures pointed to a lower open for the shortened pre-holiday session on Wall Street on Monday  with futures for the S&P 500  down 0.6 percent  Dow Jones futures down 0.42 percent and Nasdaq 100 futures down 0.43 percent.,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20121224,BBVA to book 265 mln euros on Colombian pension fund sale ,MADRID  Dec 24 Spanish bank BBVA said on Monday it expects to book net capital gains of 265 million euros ($349.1 million) from the sale of its entire stake in a Colombian pension fund for $530 million to a subsidiary of Grupo Aval.,topStory
BLK,BlackRock Inc,20121224,SEC delays ruling on BlackRock copper ETF till February ,U.S. regulators have delayed by two months a ruling on BlackRock Inc's plan to launch a copper exchange-traded fund backed by physical metal  a week after giving the go-ahead to a similar product proposed by JPMorgan Chase & Co.,topStory
BLK,BlackRock Inc,20121224,UPDATE 1-SEC delays ruling on BlackRock copper ETF till February ,* Fabricators fear ETF would inflate prices  disrupt supply   (Adds comment from lawyer in paragraphs 5-9),normal
BLK,BlackRock Inc,20121224,SEC delays ruling on BlackRock copper ETF until February ,* Fabricators fear ETF would inflate prices  disrupt supply,normal
BP,BP plc,20121224,Rosneft lines up financing for $55 billion TNK-BP takeover ,MOSCOW Rosneft   seeking to finance Russia's largest-ever takeover deal  has raised $16.8 billion in bank loans and agreed on long-term trade finance deals with the world's largest oil traders  Glencore  and Vitol.,topStory
CVX,Chevron Corporation,20121224,Chevron to buy stake in Kitimat LNG from Encana  EOG ,CALGARY  Alberta Chevron Corp said on Monday it will enter the Canadian liquefied natural gas business with the acquisition of the 50 percent stake in the Kitimat LNG project held by Encana Corp and EOG Resources Inc.,topStory
CVX,Chevron Corporation,20121224,UPDATE 2-Chevron to buy stake in Kitimat LNG from Encana  EOG ,* Terms undisclosed  analyst estimates Encana  EOG paid $450 mln,normal
CVX,Chevron Corporation,20121224,Chevron to buy stake in Kitimat LNG project ,Dec 24 Chevron Corp's Canada unit will buy a 50 percent stake in the Kitimat liquefied natural gas project and the proposed Pacific Trail Pipeline (PTP) from EOG Resources Inc and Encana Corp.,normal
CEO,CNOOC Limited,20121224,RPT-INSIGHT-Security fears dogged Canada debate on China energy bid ,* US intervention made approval of CNOOC deal more difficult,topStory
ECA,Encana Corporation,20121224,UPDATE 2-Chevron to buy stake in Kitimat LNG from Encana  EOG ,* Terms undisclosed  analyst estimates Encana  EOG paid $450 mln,topStory
EOG,EOG Resources Inc,20121224,UPDATE 2-Chevron to buy stake in Kitimat LNG from Encana  EOG ,* Terms undisclosed  analyst estimates Encana  EOG paid $450 mln,topStory
XOM,Exxon Mobil Corporation,20121224,UPDATE 2-LUKOIL says "no" to Iraq's West Qurna-1 ,* Chinese companies became frontrunners for the Exxon's project,topStory
GM,General Motors Company,20121224,Peugeot manager rules out merger with GM's Opel: report ,BERLIN PSA Peugeot Citroen  has ruled out a merger with General Motors'  Opel division as part of their alliance  Autogazette reported on Monday  citing a Peugeot manager.,topStory
GM,General Motors Company,20121224,Peugeot manager rules out merger with GM's Opel -report ,BERLIN  Dec 24 PSA Peugeot Citroen has ruled out a merger with General Motors' Opel division as part of their alliance  Autogazette reported on Monday  citing a Peugeot manager.,normal
HLF,Herbalife LTD,20121224,Herbalife falls short of buyback target; shares fall ,Shares of Herbalife Ltd   the target of short-seller William Ackman  fell further after the company said it was yet to use $950 million of its authorized $1 billon share buyback program due to some trading restrictions.,topStory
ICE,Intercontinental Exchange Inc,20121224,New Jersey pension fund sues NYSE Euronext on ICE deal ,NEW YORK A pension fund that holds shares of NYSE Euronext  has sued the exchange operator over its proposed $8.2 billion sale to IntercontinentalExchange Inc   saying the deal undervalues the company's stock.,topStory
ICE,Intercontinental Exchange Inc,20121224,UPDATE 1-New Jersey pension fund sues NYSE Euronext on ICE deal ,* Individual investor files similar case in Delaware court,normal
ICE,Intercontinental Exchange Inc,20121224,CORRECTED-New Jersey pension fund sues NYSE Euronext on ICE deal ,(Corrects second paragraph to say lawsuit was filed on Friday),normal
JPM,J P Morgan Chase & Co,20121224,SEC delays ruling on BlackRock copper ETF till February ,U.S. regulators have delayed by two months a ruling on BlackRock Inc's plan to launch a copper exchange-traded fund backed by physical metal  a week after giving the go-ahead to a similar product proposed by JPMorgan Chase & Co.,topStory
JPM,J P Morgan Chase & Co,20121224,UPDATE 1-SEC delays ruling on BlackRock copper ETF till February ,* Fabricators fear ETF would inflate prices  disrupt supply   (Adds comment from lawyer in paragraphs 5-9),normal
JPM,J P Morgan Chase & Co,20121224,SEC delays ruling on BlackRock copper ETF until February ,* Fabricators fear ETF would inflate prices  disrupt supply,normal
KKR,KKR & Co LP,20121224,Carlyle takes on KKR in race for Reynolds and Reynolds: sources ,NEW YORK Private equity firms Carlyle Group LP and KKR & Co LP have emerged as the lead contenders to take over Reynolds and Reynolds  a software company hoping to sell itself for $5 billion  three people familiar with the matter said.,topStory
KKR,KKR & Co LP,20121224,Carlyle takes on KKR in race for Reynolds and Reynolds-sources ,NEW YORK  Dec 24 Private equity firms Carlyle Group LP and KKR & Co LP have emerged as the lead contenders to take over Reynolds and Reynolds  a software company hoping to sell itself for $5 billion  three people familiar with the matter said.,normal
M,Macy&#39;s Inc,20121224,RPT-INSIGHT-How US retailers are building up their online muscle ,MARTINSBURG  West Virginia  Dec 24 The brave new world for U.S. retailers can be found in small cities like Martinsburg  West Virginia.,topStory
M,Macy&#39;s Inc,20121224,Insight: How U.S. retailers are building up their online muscle ,MARTINSBURG  West Virginia The brave new world for U.S. retailers can be found in small cities like Martinsburg  West Virginia.,normal
M,Macy&#39;s Inc,20121224,INSIGHT-How US retailers are building up their online muscle ,MARTINSBURG  West Virginia  Dec 24 The brave new world for U.S. retailers can be found in small cities like Martinsburg  West Virginia.,normal
MCD,McDonald&#39;s Corporation,20121224,Sears Canada finance head to quit ,Dec 24 Sears Canada Inc said Chief Financial Officer Sharon Driscoll will resign  two years after being promoted as the finance head of the retailer which is in the middle of a turnaround plan.,topStory
MFGP,Micro Focus Intl PLC,20121224,BRIEF-Micro Focus Intl buys software lines for $15 mln ,LONDON  Dec 24 Micro Focus International PLC  :  *  - acquisition  * Acquisition of orbix  artix and orbacus software product lines for $15M,topStory
MCO,Moody&#39;s Corporation,20121224,Moody's determines no negative rating impact due to updates to programme documents on Banques Populaires Covered Bonds' covered bond programme ,For the full text of this story please click the following link:,topStory
MCO,Moody&#39;s Corporation,20121224,Moody's determines no negative rating impact due to updates to programme documents on BPCE Home Loans FCT's covered bond programme ,For the full text of this story please click the following link:,normal
MCO,Moody&#39;s Corporation,20121224,Moody's determines no negative rating impact due to updates to programme documents on GCE covered bond programme ,For the full text of this story please click the following link:,normal
MCO,Moody&#39;s Corporation,20121224,Moody's determines no negative rating impact due to amendments to documents on BPCE SFH's covered bond programme ,For the full text of this story please click the following link:,normal
MS,Morgan Stanley,20121224,Britain's FTSE edges up with Evraz climbing higher ,LONDON  Dec 24 Britain's benchmark share index edged higher on Monday  with miner Evraz among the top gainers  although traders said uncertainty over U.S. budget talks would cap any gains in the coming sessions.,topStory
NMR,Nomura Holdings Inc ADR,20121224,Nomura winds down Hong Kong-based FIG banking team - sources ,HONG KONG Nomura Holdings Inc  has wound down its five-member Hong Kong-based financial institutions group (FIG) banking team as part of a wider reorganization of its investment banking business  sources familiar with the matter said on Monday.,topStory
NMR,Nomura Holdings Inc ADR,20121224,UPDATE 1-Nomura winds down Hong Kong-based FIG banking team - sources ,* Nomura undergoing major restructuring to cut $1bln in costs,normal
NMR,Nomura Holdings Inc ADR,20121224,Nomura winds down Hong Kong-based FIG banking team - sources ,HONG KONG  Dec 24 Nomura Holdings Inc  has wound down its five-member Hong Kong-based financial institutions group (FIG) banking team as part of a wider reorganisation of its investment banking business  sources familiar with the matter said on Monday.,normal
PPG,PPG Industries Inc,20121224,TEXT-Fitch affirms PPG Industries' IDR at 'A-'; outlook stable ,During the past year  management has taken steps to further its strategy of  transforming PPG into primarily a coatings and specialty products company. In  July 2012  the company announced its plan to separate its commodity chemicals  business and merge it with Georgia Gulf Corporation (NYSE:  GGC) in a  tax-efficient transaction. The separation is expected to occur during the first  quarter of 2013. More recently  PPG signed a definitive agreement to acquire the  North American architectural co,topStory
RF,Regions Financial Corporation,20121224,Regions Financial bad loans probe widens: WSJ ,Federal agencies are examining allegations that Regions Financial Corp improperly classified loans that went bad during the financial crisis  the Wall Street Journal reported  citing depositions filed as part of a civil lawsuit against the large southeastern U.S. bank.,topStory
RF,Regions Financial Corporation,20121224,UPDATE 1-Regions Financial bad loans probe widens-WSJ ,Dec 24 Federal agencies are examining allegations that Regions Financial Corp improperly classified loans that went bad during the financial crisis  the Wall Street Journal reported  citing depositions filed as part of a civil lawsuit against the large southeastern U.S. bank.,normal
RF,Regions Financial Corporation,20121224,Regions Financial bad loans probe widens-WSJ ,Dec 24 Federal agencies are examining allegations that Regions Financial Corp improperly classified loans that went bad during the financial crisis  the Wall Street Journal reported  citing depositions filed as part of a civil lawsuit against the large southeastern U.S. bank.,normal
SD,SandRidge Energy Inc,20121224,TPG-Axon moves ahead with plan to oust SandRidge board ,Hedge fund TPG-Axon Capital moved ahead with its effort to oust the board of U.S. oil and gas company SandRidge Energy Inc   saying it would file consent solicitation documents with U.S. regulators on Monday.,topStory
SD,SandRidge Energy Inc,20121224,UPDATE 2-TPG-Axon moves ahead with plan to oust SandRidge board ,* Says shareholders have 60 days from when documents mailed,normal
SD,SandRidge Energy Inc,20121224,UPDATE 1-TPG-Axon files lawsuit in SandRidge board battle ,Dec 24 Hedge fund TPG-Axon plans to file documents with U.S. regulators on Monday that would allow it to proceed with its efforts to oust the board of oil and gas company SandRidge Energy Inc.,normal
SD,SandRidge Energy Inc,20121224,TPG-Axon files lawsuit in SandRidge board battle ,Dec 24 SandRidge Energy Inc investor TPG-Axon filed a lawsuit contesting the validity of the initial consent date provided by the oil and gas producer relating to the hedge fund's proposal to replace members of the company's board.,normal
SNN,Smith & Nephew SNATS Inc,20121224,BRIEF-Smith and Nephew completes Healthpoint acquisition ,LONDON  Dec 24 Smith & Nephew PLC :  * Acquisition  * Completes healthpoint acquisition,topStory
TTM,Tata Motors Ltd,20121224,Indian shares little changed; Tata motors  Infosys gain ,* BSE up 0.07 pct; NSE gains 0.14 percent     * Maruti shares fall on outlook concerns     * Market eyes solution to U.S. fiscal cliff      By Manoj Dharra     MUMBAI  Dec 24 Indian shares edged slightly higher on Monday as Tata Motors extended its recent rally on hopes of improved sales at its key unit Jaguar Land Rover  while short-covering helped technology shares such as Infosys advance.     Volumes were thin  with global shares steady  as the holiday mood set in across markets d,topStory
TTM,Tata Motors Ltd,20121224,Indian shares little changed; Tata Motors  techs gain ,MUMBAI  Dec 24 Indian shares provisionally rose on Monday led by gains in Tata Motors that extended its recent rally on hopes of improved sales at its key unit Jaguar Land Rover and as short-covering helped gains in technology shares such as Infosys.     Tata Motors gained 2.7 percent while Infosys  rose 1.2 percent.     The BSE index provisionally rose 0.08 percent and the NSE index was up 0.15 percent.   (Reporting by Manoj Dharra; Editing by Sunil Nair),normal
YUM,Yum! Brands Inc,20121224,Yum's China chicken antibiotics within limits: Shanghai government ,SHANGHAI Shanghai's food safety authority has said the level of antibiotics and steroids in Yum Brands Inc's  KFC chicken was within official limits  but the watchdog found a suspicious level of an antiviral drug in one of the eight samples tested.,topStory
YUM,Yum! Brands Inc,20121224,MARKET PULSE-Google  Apple  Vimpelcom  Yum Brands ,U.S. stock index futures pointed to a lower open for the shortened pre-holiday session on Wall Street on Monday  with futures for the S&P 500  down 0.6 percent  Dow Jones futures down 0.42 percent and Nasdaq 100 futures down 0.43 percent.,normal
YUM,Yum! Brands Inc,20121224,Yum's China chicken antibiotics within limits -Shanghai govt ,SHANGHAI  Dec 24 Shanghai's food safety authority has said the level of antibiotics and steroids in Yum Brands Inc's KFC chicken was within official limits  but the watchdog found a suspicious level of an antiviral drug in one of the eight samples tested.,normal
