MDRX,Allscripts Healthcare Solutions Inc,20121008,Allscripts gets first offers from PE group: report ,Allscripts Healthcare Solutions Inc received offers from a private-equity consortium including Blackstone Group LP and Carlyle Group LP  Bloomberg reported  sending the healthcare company's shares up 6 percent in premarket trade.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
FLAT,iPath US Treasury Flattener ETN,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
FLAT,iPath US Treasury Flattener ETN,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
STPP,iPath US Treasury Steepener ETN,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
STPP,iPath US Treasury Steepener ETN,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
NBTB,NBT Bancorp Inc,20121008,UPDATE 1-NBT Bancorp to buy Alliance Financial for $233 mln ,* Alliance shareholders to get 2.1779 NBT share for each Alliance share,topStory
NBTB,NBT Bancorp Inc,20121008,NBT Bancorp to buy Alliance Financial for $233 mln ,Oct 8 NBT Bancorp Inc said it agreed to buy Alliance Financial Corporation in a deal valued at about $233.4 million to expand its footprint in New York.,normal
NFLX,Netflix Inc,20121008,BRIEF-Netflix shares up after Morgan Stanley upgrade ,NEW YORK  Oct 8 Netflix Inc :  * Shares up 6.1 percent in premarket trade after Morgan Stanley upgrade,topStory
NWS,News Corporation,20121008,RPT-INSIGHT-The Lex Factor roils Dow Jones ,* DJ profits key as News Corp splits publishing from entertainment,topStory
NWSA,News Corporation,20121008,RPT-INSIGHT-The Lex Factor roils Dow Jones ,* DJ profits key as News Corp splits publishing from entertainment,topStory
BPOP,Popular Inc,20121008,Spain's Popular to issue up to 6.25 bln shares in capital hike ,MADRID  Oct 8 Spain's Banco Popular  will issue up to 6.25 billion shares to raise capital after failing a stress test  the bank said in a stock market filing on Monday  implying a discount of 73 percent if it issues the maximum number of shares.,topStory
PRGS,Progress Software Corporation,20121008,Progress Software says CEO resigns  warns on revenue ,Progress Software Corp's CEO Jay Bhatt resigned within a year of his appointment  marking another executive departure at the software maker that has been restructuring its businesses and cutting jobs as sales growth slows.,topStory
PRGS,Progress Software Corporation,20121008,UPDATE 2-Progress Software says CEO resigns  warns on revenue ,Oct 8 Progress Software Corp's CEO Jay Bhatt resigned within a year of his appointment  marking another executive departure at the software maker that has been restructuring its businesses and cutting jobs as sales growth slows.,normal
PRGS,Progress Software Corporation,20121008,UPDATE 1-Progress Software says CEO to resign  may see revenue slippage ,Oct 8 Database management software maker Progress Software Corp said it could see some revenue slippage in the current quarter as a result of the resignation of Chief Executive Jay Bhatt  sending its shares down 8 percent in premarket trading.,normal
PRGS,Progress Software Corporation,20121008,Progress Software says CEO to resign  may see revenue slippage ,Oct 8 Database management software maker Progress Software Corp said Chief Executive Jay Bhatt will step down and that it could not reaffirm its fourth-quarter sales forecast.,normal
REGI,Renewable Energy Group Inc,20121008,Renewable Energy estimates adj core loss as biodiesel prices fall ,Oct 8 Renewable Energy Group said it would post an adjusted core loss for the third quarter as biodiesel prices fell by more than a third  sending its shares down 19 percent premarket.,topStory
REGI,Renewable Energy Group Inc,20121008,BRIEF-Renewable Energy shares down in premarket trade ,NEW YORK  Oct 8 Renewable Energy Group Inc :  * Shares down 19 percent in premarket trade,normal
SBUX,Starbucks Corporation,20121008,Chilean court upholds Starbucks labor practices fine ,SANTIAGO Chile's Supreme Court has upheld a fine of about $50 000 slapped on Starbucks Corp over its labor practices after unionized workers claimed the coffee shop chain threatened layoffs  benefit cuts and illegally replaced workers during a strike.,topStory
SBUX,Starbucks Corporation,20121008,UPDATE 2-Chilean court upholds Starbucks labor practices fine ,SANTIAGO  Oct 8 Chile's Supreme Court has upheld a fine of about $50 000 slapped on Starbucks Corp over its labor practices after unionized workers claimed the coffee shop chain threatened layoffs  benefit cuts and illegally replaced workers during a strike.,normal
SBUX,Starbucks Corporation,20121008,Chile top court upholds Starbucks fine over labor practices ,SANTIAGO  Oct 8 Chile's Supreme Court has upheld a fine of about $50 000 slapped on Starbucks Corp over labor practices  after unionized workers claimed the coffee shop chain threatened layoffs  benefit cuts and illegally replaced workers during a strike.,normal
CG,The Carlyle Group LP,20121008,EU mergers and takeovers (Oct 8) ,BRUSSELS  Oct 8 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
TCGP,The Carlyle Group LP,20121008,EU mergers and takeovers (Oct 8) ,BRUSSELS  Oct 8 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
ZNGA,Zynga Inc,20121008,RPT-Zynga's weak pivot to mobile  loss of casual gamers turns serious ,SAN FRANCISCO  Oct 8 Zynga Inc's  inexorable decline over the past six months  capped by a sharp reduction in its 2012 outlook on Thursday  has sharpened interest in what Chief Executive Mark Pincus will do next.,topStory
AXP,American Express Company,20121008,Wal-Mart  Amex take on banks with low-priced debit card ,NEW YORK Wal-Mart Stores Inc and American Express Co are teaming up to offer a prepaid debit card called Bluebird to target lower-income shoppers who may not have bank accounts.,topStory
AXP,American Express Company,20121008,UPDATE 6-Wal-Mart  Amex take on banks with low-priced debit card ,* Bluebird card available next week at Walmart stores  online,normal
AXP,American Express Company,20121008,CORRECTED-UPDATE 5-Wal-Mart  Amex take on banks with low-priced debit card ,* Bluebird card available next week at Walmart stores  online,normal
APO,Apollo Global Management LLC,20121008,Apollo CEO Black buys art book publisher Phaidon: WSJ ,Leon Black  chief executive of private equity firm Apollo Global Management LLC  and a prominent art collector  is buying premiere art book publisher Phaidon Press Ltd for an undisclosed sum  according to a Wall Street Journal report on Monday.,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
SAN,Banco Santander SA,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
BAC,Bank of America Corporation,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
BAC,Bank of America Corporation,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
BAC,Bank of America Corporation,20121008,Swiss stocks - Factors to watch on Oct. 8 ,ZURICH  Oct 8 The following are some of the main factors expected to affect Swiss stocks on Monday:,normal
BCS,Barclays PLC,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
BCS,Barclays PLC,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
BHP,BHP Billiton Limited,20121008,BHP Billiton launches five-year benchmark A$ offer ,SYDNEY  Oct 9 BHP Billiton Finance Limited  the finance arm of BHP Billiton Limited   on Tuesday said it had launched a new benchmark five-year Australian dollar note issue.,topStory
BBL,BHP Billiton plc,20121008,BHP Billiton to cut iron ore jobs due to tough conditions , ,topStory
BH,Biglari Holdings Inc,20121008,Cracker Barrel reviewing Biglari claims on chairman experience ,Oct 8 A Cracker Barrel Old Country Store Inc  spokesman said the company is reviewing a letter sent by its largest shareholder  Biglari Holdings Inc  that questioned its incoming chairman's professional experience.,topStory
BSX,Boston Scientific Corporation,20121008,Boston Scientific to pay $90 million to buy private Rhythmia Medical ,Boston Scientific Corp  said it has agreed to pay $90 million to buy privately held Rhythmia Medical Inc to gain access to its three dimensional navigation system to assist doctors in performing complex heart procedures on patients with dangerously irregular heart rhythms.,topStory
BSX,Boston Scientific Corporation,20121008,Boston Scientific to pay $90 mln to buy private Rhythmia Medical ,Oct 8 Boston Scientific Corp said it has agreed to pay $90 million to buy privately held Rhythmia Medical Inc to gain access to its three dimensional navigation system to assist doctors in performing complex heart procedures on patients with dangerously irregular heart rhythms.,normal
BP,BP plc,20121008,Marathon to buy BP Texas City refinery for up to $2.5 billion ,HOUSTON Marathon Petroleum Corp  is buying BP Plc's  Texas City refinery  the site of a deadly industrial accident  in a $2.5 billion deal that will make it the No. 4 U.S. refiner with a bigger potential slice of lucrative exports.,topStory
BP,BP plc,20121008,UPDATE 4-Marathon to buy BP Texas City refinery for up to $2.5 bln ,HOUSTON  Oct 8 Marathon Petroleum Corp  is buying BP Plc's Texas City refinery  the site of a deadly industrial accident  in a $2.5 billion deal that will make it the No. 4 U.S. refiner with a bigger potential slice of lucrative exports.,normal
BP,BP plc,20121008,TEXT-S&P affirms Marathon Petroleum  Corp ratings ,Overview      -- Marathon Petroleum Corp. announced that it will acquire BP PLC's Texas  City refinery and related assets for $598 million  plus an additional $1.2  billion for inventories. The acquisition will be funded from Marathon's cash  balance.      -- We are affirming our ratings on Marathon.      -- The stable outlook reflects our expectation that the company will  maintain strong liquidity and that funded debt will not meaningfully increase  beyond current levels.  Rating Action On Oct,normal
BP,BP plc,20121008,CORRECTED-Med Crude-Urals stable in Baltic ,(Corrects to show Urals was stable  not stronger)     LONDON  Oct 8 Russian Urals crude stayed flat in the Baltic on Monday with traders saying the grade should be able to catch up with a rally in the Mediterranean of the past week due to limited cargo availability.     In the Platts window  BP bid for an Oct 22-26 cargo in the Baltic at dated Brent minus $1.60  unchanged from prices last week  traders said. It found no sellers.     "The Baltic is catching up with the Med and I think,normal
BP,BP plc,20121008,Reliance's key Indian gas fields may run out in 5 yrs-analysts ,NEW DELHI  Oct 8 Reliance Industries'  key gas producing fields off India's east coast could be exhausted in five years  Morgan Stanley analysts said in a report.,normal
BP,BP plc,20121008,TNK-BP's Saratov oil refinery resumes output after fire ,MOSCOW  Oct 8 Saratov oil refinery  owned by Anglo-Russian crude producer TNK-BP  has resumed production after it caught fire last week  TNK-BP said on Monday.,normal
SNP,China Petroleum & Chemical Corporation,20121008,Sinopec Qilu plant shuts main crude unit for overhaul - source ,BEIJING  Oct 8 Sinopec Corp's Qilu refinery is closing on Monday a 160 000 barrels-per-day crude unit for a planned 25-day maintenance  an industry official said.,topStory
C,Citigroup Inc,20121008,New Issue-Air Liquide Finance prices 500 mln euro 2021 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 94.2bp,topStory
CLR,Continental Resources Inc,20121008,Continental Resources sees 2013 output rising 30-35 percent ,Leading Bakken oil producer Continental Resources Inc  set a target for production growth of 30 percent to 35 percent next year  as it laid out plans to triple both production and proved reserves over the next five years.,topStory
CLR,Continental Resources Inc,20121008,UPDATE 1-Continental Resources sees 2013 output rising 30-35 pct ,Oct 8 Leading Bakken oil producer Continental Resources Inc set a target for production growth of 30 percent to 35 percent next year  as it laid out plans to triple both production and proved reserves over the next five years.,normal
CLR,Continental Resources Inc,20121008,Continental Resources targets 30-35 pct output growth in 2013 ,Oct 8 Leading Bakken oil producer Continental Resources Inc set a target for production growth of 30 percent to 35 percent next year as it laid out plans to triple production and proved reserves over the next five years.,normal
DB,Deutsche Bank AG,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
DB,Deutsche Bank AG,20121008,New Issue-Total Capital adds 600 mln NOK to 2017 bond ,Lead Manager(s)         RBC Capital  Vontobel  Daiwa  Deutsche Bank ,normal
DB,Deutsche Bank AG,20121008,Moore lands Vegas jackpot by one shot ,American Ryan Moore  rock-solid over the closing stretch  fended off playing partner Brendon de Jonge of Zimbabwe in a final-round duel to win his second PGA Tour title by one shot at the $4.5 million Las Vegas Open on Sunday.,normal
EW,Edwards Lifesciences Corporation,20121008,Edwards Lifesciences cuts Q3 revenue view on weak heart valve sales ,Medical device maker Edwards Lifesciences Corp  cut its revenue estimates for the third quarter  as sales of its heart valve fell below expectations on a weak surgical market in Europe  sending its shares 15 percent lower in extended trading.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20121008,Brazil's Embraer aims to double role of airline services ,* New center to streamline services  boost customer loyalty,topStory
ETE,Energy Transfer Equity LP,20121008,TEXT-S&P takes rating actions on Energy Transfer Partners/Sunoco ,Overview      -- U.S. midstream energy master limited partnership Energy Transfer  Partners L.P.  (ETP) completed its agreement to purchase Sunoco Inc. (Sunoco) for $5.3 billion. In addition  ETP completed the formation of a new  ETP-controlled company called ETP HoldCo Corp. that will include Southern  Union Co. (SUG) and  Sunoco"https://www.globalcreditportal.com/ratingsdirect/entityPage.do?entityId= 102235&sid=977434&sind=A&"      -- We affirmed our 'BBB-' corporate credit ratings on ETP  SUG,topStory
XOM,Exxon Mobil Corporation,20121008,Total  Exxon Mobil swap North Sea assets off Norway ,PARIS  Oct 8 France's Total and Exxon Mobil Corp have agreed to exchange interests in a range of assets on the Norwegian Continental Shelf  Total said in a statement on Monday.,topStory
F,Ford Motor Company,20121008,Yanks rain on O's parade at soggy Camden Yards ,BALTIMORE The New York Yankees left it late to dampen the Baltimore Orioles' first post-season appearance in 15 years with a 7-2 victory in the rain-delayed opener of their American League Division Series on Sunday.,topStory
GEK,General Electric Capital Corporation,20121008,STOCKS NEWS THAILAND-CIMB Thai surges on Bank of Ayudhya buy report ,Shares in CIMB Thai Bank Pcl jumped as much as 23 percent to 2.96 baht  the highest since Nov. 5  2010  after a newspaper reported that its parent  CIMB Group Holdings Bhd   planned to buy a stake in Bank of Ayudhya.,topStory
GE,General Electric Company,20121008,STOCKS NEWS THAILAND-CIMB Thai surges on Bank of Ayudhya buy report ,Shares in CIMB Thai Bank Pcl jumped as much as 23 percent to 2.96 baht  the highest since Nov. 5  2010  after a newspaper reported that its parent  CIMB Group Holdings Bhd   planned to buy a stake in Bank of Ayudhya.,topStory
GM,General Motors Company,20121008,GM to add 1 500 information tech jobs in Michigan ,General Motors Co said on Monday it will create 1 500 jobs at a new software development center in Michigan as part of the U.S. automaker's previously announced plan to shift information technology work back into the company.,topStory
GM,General Motors Company,20121008,GM to add 1 500 information tech jobs in Michigan ,Oct 8 General Motors Co said on Monday it will create 1 500 jobs at a new software development center in Michigan as part of the U.S. automaker's previously announced plan to shift information technology work back into the company.,normal
GM,General Motors Company,20121008,GM says Sept China auto sales up 1.7 percent on year ,BEIJING General Motors Co's  auto sales in China climbed only 1.7 percent in September  barely benefiting from its Japanese rivals' plunging sales  in contrast to European and South Korean carmakers.,normal
GM,General Motors Company,20121008,REFILE-UPDATE 1-GM says Sept China auto sales up 1.7 pct on year ,BEIJING  Oct 8 General Motors Co's auto sales in China climbed only 1.7 percent in September  barely benefiting from its Japanese rivals' plunging sales  in contrast to European and South Korean carmakers.,normal
GM,General Motors Company,20121008,GM says Sept China auto sales up 1.7 pct on year ,BEIJING  Oct 8 General Motors Co and its China joint ventures sold 244 266 v ehicles in the country in September  up 1.7 percent from a year earlier  the U.S. automaker said on Monday.,normal
GS,Goldman Sachs Group Inc (The),20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
GS,Goldman Sachs Group Inc (The),20121008,Goldman asset unit hires ex-SEC division head ,NEW YORK Goldman Sachs Group's asset management unit on Monday named a former head of the U.S. Security and Exchange Commission's investment management division as its deputy general counsel.,normal
GS,Goldman Sachs Group Inc (The),20121008,UPDATE 2-Goldman asset unit hires ex-SEC division head ,NEW YORK  Oct 8 Goldman Sachs Group's  asset management unit on Monday named a former head of the U.S. Security and Exchange Commission's investment management division as its deputy general counsel.,normal
GS,Goldman Sachs Group Inc (The),20121008,CORRECTED-UPDATE 1-Goldman hires ex-SEC unit head-memo ,NEW YORK  Oct 8 Goldman Sachs Group Inc  unit Goldman Sachs Asset Management has hired Andrew "Buddy" Donohue  a former head of the division of investment management at the U.S. Securities and Exchange Commission  as deputy general counsel  according to an internal memo obtained by Reuters on Monday.,normal
GS,Goldman Sachs Group Inc (The),20121008,Goldman hires ex-SEC division of investment management head: memo ,NEW YORK Goldman Sachs Group Inc  unit Goldman Sachs Asset Management has hired Andrew "Buddy" Donohue  a former head of the division of investment management at the U.S. Securities and Exchange Commission  as deputy general counsel  according to an internal memo obtained by Reuters on Monday.,normal
GS,Goldman Sachs Group Inc (The),20121008,Goldman hires ex-SEC division of investment management head-memo ,NEW YORK  Oct 8 Goldman Sachs Group Inc  unit Goldman Sachs Asset Management has hired Andrew "Buddy" Donohue  a former head of the division of investment management at the U.S. Securities and Exchange Commission  as deputy general counsel  according to an internal memo obtained by Reuters on Monday.,normal
GS,Goldman Sachs Group Inc (The),20121008,Goldman  Morgan Stanley lose top Qatar bankers to local firms: sources ,DUBAI Morgan Stanley  and Goldman Sachs Group Inc  have lost their two top Qatar executives to local firms  three sources said on Monday  as the gas-rich Gulf Arab state lures back high-profile citizens with better pay and prospects.,normal
GS,Goldman Sachs Group Inc (The),20121008,UPDATE 1-Goldman  M.Stanley lose top Qatar bankers to local firms-sources ,DUBAI  Oct 8 Morgan Stanley and Goldman Sachs Group Inc have lost their two top Qatar executives to local firms  three sources said on Monday  as the gas-rich Gulf Arab state lures back high-profile citizens with better pay and prospects.,normal
GDOT,Green Dot Corporation,20121008,CORRECTED-UPDATE 5-Wal-Mart  Amex take on banks with low-priced debit card ,* Bluebird card available next week at Walmart stores  online,topStory
GDOT,Green Dot Corporation,20121008,BRIEF-Green Dot shares drop in premarket trade ,NEW YORK  Oct 8 Green Dot Corp :  * Shares drop 19.6 percent to $10.33 in premarket trade,normal
HMC,Honda Motor Company Ltd,20121008,UPDATE 1-Japan carmakers to cut China production by half-Nikkei ,* Nissan to suspend night shifts in China car plants-Nikkei,topStory
HMC,Honda Motor Company Ltd,20121008,Toyota  Nissan  Honda to cut China production to half-Nikkei ,TOKYO  Oct 8 Toyota Motor Corp  Nissan Motor Co and Honda Motor plan to roughly halve their production levels in China  the Nikkei reported on Monday  as a territorial row between the two countries cuts sales of Japanese cars in the world's biggest auto market.,normal
HON,Honeywell International Inc,20121008,BRIEF-Inmarsat & Honeywell sign distribution agreement ,LONDON  Oct 8 Inmarsat PLC :  * Inmarsat and Honeywell sign master distribution agreement for business,topStory
HSBC,HSBC Holdings plc,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,topStory
HSBC,HSBC Holdings plc,20121008,New Issue-Total Capital adds 600 mln NOK to 2017 bond ,Lead Manager(s)         RBC Capital  Vontobel  Daiwa  Deutsche Bank ,normal
