AMZN,Amazoncom Inc,20121019,Ecuador says companies join novel Amazon protection fund ,* About a dozen firms contributing to rainforest initiative,topStory
FB,Facebook Inc,20121019,Thiel could invest $150 million in AirBnb - report ,SAN FRANCISCO  Oct 19 Peter Thiel  the PayPal co-founder and Facebook Inc's first outside investor  is in talks to invest $150 million in Airbnb as part of a fresh investment round that would value the lodging rental start-up at $2.5 billion  the Wall Street Journal reported Friday  citing unnamed sources.,normal
INTC,Intel Corporation,20121019,Mobile revolution  economy trip up tech giants ,SAN FRANCISCO Mobile may be the future for technology  but even with the worldwide proliferation of high-powered devices like smartphones and tablets  some companies are struggling to maintain consistent revenue streams. | Video ,topStory
INTC,Intel Corporation,20121019,WRAPUP 2-Mobile revolution  economy trip up tech giants ,SAN FRANCISCO  Oct 18 Mobile may be the future for technology  but even with the worldwide proliferation of high-powered devices like smartphones and tablets  some companies are struggling to maintain consistent revenue streams.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
FLAT,iPath US Treasury Flattener ETN,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
FLAT,iPath US Treasury Flattener ETN,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
FLAT,iPath US Treasury Flattener ETN,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
STPP,iPath US Treasury Steepener ETN,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
STPP,iPath US Treasury Steepener ETN,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
STPP,iPath US Treasury Steepener ETN,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
MSFT,Microsoft Corporation,20121019,US STOCKS-Wall St hits session lows on renewed profit concerns ,* Dow off 1.1 pct  S&P 500 off 1.2 pct  Nasdaq off 1.8 pct,topStory
MSFT,Microsoft Corporation,20121019,US STOCKS SNAPSHOT - Nasdaq off 1 pct  Microsoft weighs ,NEW YORK  Oct 19 U.S. stocks extended losses on Friday  with the Nasdaq Composite down 1 percent in the wake of disappointing results from Microsoft and Google.,normal
MSFT,Microsoft Corporation,20121019,US STOCKS-Wall Street retreats on earnings disappointment ,NEW YORK  Oct 19 U.S. stocks fell on Friday in the wake of disappointing results from Microsoft and Google a day earlier  with shares of General Electric dropping nearly 3 percent after reporting improved profit but falling short of revenue estimates.,normal
MSFT,Microsoft Corporation,20121019,US STOCKS-Wall Street set to open lower as earnings disappoint ,NEW YORK  Oct 19 U.S. stocks were poised to open lower on Friday in the wake of disappointing results from Microsoft and Google a day earlier  and after General Electric reported improved profit but fell short of revenue estimates.,normal
MSFT,Microsoft Corporation,20121019,US STOCKS-Futures drop as earnings disappoint; GE revenue crimped ,NEW YORK  Oct 19 U.S. stock index futures dipped on Friday in the wake of disappointing results from Microsoft and Google a day earlier  and after General Electric reported improved profit but fell short of revenue estimates.,normal
MSFT,Microsoft Corporation,20121019,Barclays cuts Microsoft price target  others await Windows 8 launch ,Barclays Capital cut its price target on Microsoft Inc's  stock after the world's largest software company reported a greater-than-expected dip in its quarterly profit.,normal
MSFT,Microsoft Corporation,20121019,Barclays cuts Microsoft price target  others await Windows 8 launch ,* Cuts price target to $34 from $36  maintains "equal weight",normal
MSFT,Microsoft Corporation,20121019,US STOCKS-Futures dip following GE results ,NEW YORK  Oct 19 U.S. stock index futures dipped on Friday in the wake of disappointing results from Microsoft and Google a day earlier  and after quarterly results from General Electric showed it fell short of revenue estimates.,normal
MSFT,Microsoft Corporation,20121019,Mobile revolution  economy trip up tech giants ,SAN FRANCISCO Mobile may be the future for technology  but even with the worldwide proliferation of high-powered devices like smartphones and tablets  some companies are struggling to maintain consistent revenue streams. | Video ,normal
MSFT,Microsoft Corporation,20121019,WRAPUP 2-Mobile revolution  economy trip up tech giants ,SAN FRANCISCO  Oct 18 Mobile may be the future for technology  but even with the worldwide proliferation of high-powered devices like smartphones and tablets  some companies are struggling to maintain consistent revenue streams.,normal
NWS,News Corporation,20121019,Roger Ailes renews contract with Fox News ,Roger Ailes has signed a four-year contract that will keep him at the top of Fox News as its chairman and chief executive.,topStory
NWS,News Corporation,20121019,Roger Ailes renews contract with Fox News ,Oct 19 Roger Ailes has signed a four-year contract that will keep him at the top of Fox News as its chairman and chief executive.,normal
NWSA,News Corporation,20121019,Roger Ailes renews contract with Fox News ,Roger Ailes has signed a four-year contract that will keep him at the top of Fox News as its chairman and chief executive.,topStory
NWSA,News Corporation,20121019,Roger Ailes renews contract with Fox News ,Oct 19 Roger Ailes has signed a four-year contract that will keep him at the top of Fox News as its chairman and chief executive.,normal
SBUX,Starbucks Corporation,20121019,Starbucks CEO says will help with any UK tax probe ,MUMBAI Starbucks Corp  chief Howard Schultz defended his company's UK tax payments and said he would be happy to co-operate with any official probe of the British unit's finances.,topStory
SBUX,Starbucks Corporation,20121019,Starbucks CEO says will help with any UK tax probe ,MUMBAI  Oct 19 Starbucks Corp chief Howard Schultz defended his company's UK tax payments and said he would be happy to co-operate with any official probe of the British unit's finances.,normal
CG,The Carlyle Group LP,20121019,Schneider drops sale of sensors business: sources ,PARIS/NEW YORK French engineering company Schneider Electric  has abandoned plans to sell its CST sensors division for around $1 billion  people with knowledge of the matter said.,topStory
CG,The Carlyle Group LP,20121019,UPDATE 1-Schneider drops sale of sensors business -sources ,* Last-ditch efforts to sell to Carlyle  PAI failed-sources,normal
CG,The Carlyle Group LP,20121019,Schneider drops sale of sensors business -sources ,PARIS/NEW YORK  Oct 19 French engineering company Schneider Electric has abandoned plans to sell its CST sensors division for around $1 billion  people with knowledge of the matter said.,normal
TCGP,The Carlyle Group LP,20121019,Schneider drops sale of sensors business: sources ,PARIS/NEW YORK French engineering company Schneider Electric  has abandoned plans to sell its CST sensors division for around $1 billion  people with knowledge of the matter said.,topStory
TCGP,The Carlyle Group LP,20121019,UPDATE 1-Schneider drops sale of sensors business -sources ,* Last-ditch efforts to sell to Carlyle  PAI failed-sources,normal
TCGP,The Carlyle Group LP,20121019,Schneider drops sale of sensors business -sources ,PARIS/NEW YORK  Oct 19 French engineering company Schneider Electric has abandoned plans to sell its CST sensors division for around $1 billion  people with knowledge of the matter said.,normal
VOD,Vodafone Group Plc,20121019,UPDATE 2-Telenor seeks to join Indian airwaves auction ,* No application from Reliance Industries  Reliance Comms,topStory
VOD,Vodafone Group Plc,20121019,Vodafone India  Tata Teleservices to bid in airwaves auction ,MUMBAI Vodafone's  India unit  the country's No.2 mobile phone carrier  will bid in an upcoming auction of airwaves  a source with direct knowledge said on Friday.,normal
VOD,Vodafone Group Plc,20121019,Vodafone India  Tata Teleservices to bid in airwaves auction ,MUMBAI  Oct 19 Vodafone's India unit  the country's No.2 mobile phone carrier  will bid in an upcoming auction of airwaves  a source with direct knowledge said on Friday.,normal
WYNN,Wynn Resorts Limited,20121019,Okada appeals Wynn shutout  drops board-member election bid ,LOS ANGELES  Oct 19 Japanese billionaire Kazuo Okada has appealed a court ruling shutting him out of Wynn Resorts Ltd's Nov. 2 annual meeting  but will drop attempts to nominate two independent members to the board of the casino giant.,topStory
YNDX,Yandex NV,20121019,Russia's Yandex targets Google with expansion abroad ,DUBLIN Russia's leading internet search engine  Yandex  will take the fight to Google in emerging markets like Turkey in a bid to offset the inroads made by the U.S. giant in its home market.,topStory
ZIOP,ZIOPHARM Oncology Inc,20121019,Ziopharm slips on report that co withheld warning on trial data ,Shares of Ziopharm Oncology Inc  fell by nearly a third on Friday after a report on Forbes' website alleged that the cancer drugmaker withheld crucial information from its investors  including a regulatory warning letter related to mid-stage trial data of its chemotherapy drug palifosfamide.,topStory
APD,Air Products and Chemicals Inc,20121019,Weak demand for key solar product dents Air Products ,Air Products & Chemicals Inc's  quarterly profit narrowly missed expectations  partly due to weak demand for a solar product  and the industrial gas producer said Friday that its chief financial officer will retire.,topStory
APD,Air Products and Chemicals Inc,20121019,UPDATE 1-Weak demand for key solar product dents Air Products ,Oct 19 Air Products & Chemicals Inc's  quarterly profit narrowly missed expectations  partly due to weak demand for a solar product  and the industrial gas producer said Friday that its chief financial officer will retire.,normal
APD,Air Products and Chemicals Inc,20121019,Air Products profit drops; weak demand for solar product hurts ,Oct 19 Air Products & Chemicals Inc  posted a sharp drop in quarterly profit on Friday  partly due to weak demand for a solar product  and the industrial gas producer said its chief financial officer will retire.,normal
ADM,Archer-Daniels-Midland Company,20121019,ADM's quest for Australia's GrainCorp heats up grain race ,SYDNEY/CHICAGO U.S. agriculture giant Archer Daniels Midland  raised the stakes in the global race for grains trading power on Friday  by seeking talks to buy smaller Australian shipper GrainCorp  to build up its platform in Asia.,topStory
ADM,Archer-Daniels-Midland Company,20121019,WRAPUP2-ADM's quest for Australia's GrainCorp heats up grain race ,* ADM buys 10 percent stake; values GrainCorp at $2.8 bln     * ADM stake now stands at 14.9 percent     * Deal comes amid surge in global grain prices     * Deal could give ADM stronger platform to supply Asia     * Wilmar and Bunge also seen as potential buyers.       By Jane Wardell and Karl Plume     SYDNEY/CHICAGO  Oct 19 U.S. agriculture giant Archer Daniels Midland raised the stakes in the global race for grains trading power on Friday  by seeking talks to buy smaller Australi,normal
ADM,Archer-Daniels-Midland Company,20121019,RPT-BRIEF-Archer Daniels holds 14.9 percent interest in Graincorp Limited ,Oct 19 Oct 19 Archer Daniels Midland Co :  * ADM acquires 14.9 percent interest in Graincorp Limited  * Source text  * Further company coverage,normal
ADM,Archer-Daniels-Midland Company,20121019,ADM swoops on Australia's GrainCorp in Asian push ,SYDNEY Archer Daniels Midland  bought a 10 percent stake in GrainCorp  on Friday  valuing the Australian grains handler at $2.8 billion  and is seeking talks on a takeover that would give the U.S. agribusiness a stronger platform to supply Asia.,normal
T,AT&T Inc,20121019,Canada beef plant samples test negative for E. coli ,Test samples from the XL Foods meat plant in Alberta have come back negative for E. coli bacteria  the Canadian Food Inspection Agency (CFIA) said on Friday  moving closer to a decision on whether to reopen the plant  which the agency closed because some of the plant's beef products were contaminated.,topStory
T,AT&T Inc,20121019,BRIEF - Moody's says AT&T ratings are not impacted by its pension funding plan ,Oct 19 Moody's says AT&T ratings are not impacted by its pension funding plan,normal
T,AT&T Inc,20121019,AT&T will boost pension fund with $9.5 billion equity stake ,AT&T said on Friday it will contribute a stake in its wireless business to the company's pension plan worth $9.5 billion in an effort to secure the fund  according to a U.S. Securities and Exchange Commission filing.,normal
T,AT&T Inc,20121019,AT&T will boost pension fund with $9.5 bln equity stake ,Oct 19 AT&T said on Friday it will contribute a stake in its wireless business to the company's pension plan worth $9.5 billion in an effort to secure the fund  according to a U.S. Securities and Exchange Commission filing.,normal
ALV,Autoliv Inc,20121019,BRIEF-AUTOLIV expands its tech center in China ,STOCKHOLM  Oct 19 Autoliv Inc :  * Expands its tech center in China  * Says Autoliv is investing an estimated $8 million in this building and test equipment,topStory
ALV,Autoliv Inc,20121019,BRIEF-Autoliv begins construction of new $33 mln China plant ,STOCKHOLM  Oct 19 Autoliv Inc  :  * Makes its largest capital investment  * Says has started the construction of a new facility in China will manufacture propellant for its airbags in the Asian markets  * Says cost for the new plant is estimated to amount to $33 million  * Says new plant is needed to meet the strong long term growth for automotive safety products in China and other Asian markets,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20121019,TEXT-S&P assigns rtgs to BBVA RMBS 10 FTA's class A & B nts ,(The following statement was released by the rating agency),topStory
SAN,Banco Santander SA,20121019,Santander forms payment system venture with Elavon ,MADRID  Oct 19 Spanish bank Santander  and Elavon  a U.S. Bancorp-owned credit-card payment processor  are to jointly develop a credit and debit card payment service in Spain.,topStory
BOH,Bank of Hawaii Corporation,20121019,TEXT-Fitch affirms Bank of Hawaii Corp ,Oct 19 - Fitch Ratings has affirmed the ratings of Bank of Hawaii Corporation (BOH) and its bank subsidiary  Bank of Hawaii. The Rating  Outlook is Stable. A complete list of ratings follows at the end of this  release.  Fitch's ratings for BOH reflect the company's strong asset quality  liquidity  and dominant market share in the Hawaii market with 31% of deposits  which ranks second in the state. BOH has been a consistent performer  even through the  credit cycle. The company's consistent perf,topStory
BK,Bank Of New York Mellon Corporation (The),20121019,New Issue- BNY sells $1.5 mln in 3-part notes ,Oct 19 Bank of New York Mellon Corp on Thursday sold $1.5 billion of 3-part senior secured notes  said IFR  a Thomson Reuters service.      Bank of New York  Morgan Stanley  RBS and UBS were the joint bookrunning managers for the sale.  BORROWER: BNY  TRANCHE 1 AMT $600 MLN    COUPON 0.7 PCT     MATURITY    10/23/2015    TYPE SR NTS     ISS PRICE 99.897   FIRST PAY   04/26/2013  MOODY'S Aa3     YIELD 0.735 PCT    SETTLEMENT  10/25/2012    S&P A-PLUS      SPREAD 33 BPS      PAY FREQ  ,topStory
BCS,Barclays PLC,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
BCS,Barclays PLC,20121019,Barclays to cut 40-50 EMEA equities staff -sources ,LONDON  Oct 19 Barclays is cutting just under 10 percent of the staff in its European equities operation as part of the overhaul of its investment bank  scaling back an area it had until recently been building up  people familiar with the matter said.,normal
BCS,Barclays PLC,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,normal
BCE,BCE Inc,20121019,CANADA STOCKS-TSX ends 4-day climb after bid for Astral blocked ,* TSX down 50.14 points  or 0.4 percent  at 12 415.98     * Index posts 1.75 percent gain for the week     * Nine of the 10 main groups lower on Friday     * Astral Media shares plunge 15.94 percent to C$39.51      By Solarina Ho     TORONTO  Oct 19 Canada's main stock index finished lower on Friday  breaking a four-day winning streak  as shares of Astral Media Inc plunged almost 16 percent after the country's broadcast regulator blocked its planned takeover by BCE Inc.     Negative ,topStory
BCE,BCE Inc,20121019,BRIEF - Moody's comments on BCE/Bell Canada ,Oct 19 Moody's says BCE/Bell Canada avoids re-regulation risks with CRTC denying the Astral acquisition,normal
BCE,BCE Inc,20121019,CANADA STOCKS-TSX in broad retreat after bid for Astral blocked ,* TSX down 47.28 points  or 0.38 percent  to 12 418.84     * All 10 main groups lower     * Astral Media shares plunge 15.74 percent to C$39.60      By Solarina Ho     TORONTO  Oct 19 Canada's main stock index fell on Friday  as shares of Astral Media Inc plunged almost 16 percent after the country's broadcast regulator blocked its planned takeover by BCE Inc.     Also dragging on the index was the heavily weighted financial group  which was off 0.47 percent.     Multiple analysts cu,normal
BCE,BCE Inc,20121019,BCE to ask Ottawa to help overturn ruling on Astral deal ,TORONTO BCE Inc said on Thursday it will ask the federal government to intervene to help overturn a ruling by Canada's broadcast regulator to block BCE's C$3 billion ($3.05 billion) takeover of content provider Astral Media.,normal
BCE,BCE Inc,20121019,CANADA STOCKS-Astral  BCE lead TSX lower at open ,TORONTO  Oct 19 Canada's main stock index opened lower on Friday  as BCE Inc and Astral Media  shares led the index lower after the country's broadcast regulator blocked BCE's bid for its rival.     The Toronto Stock Exchange's S&P/TSX composite index  was down 22.61 points  or 0.18 percent  at 12 443.51. Nine out of the index's 10 main groups were in negative territory.,normal
BCE,BCE Inc,20121019,UPDATE 7-Canadian regulator blocks BCE's $3 bln Astral takeover ,* Broadcast regulator becoming consumer advocate -analyst,normal
BLK,BlackRock Inc,20121019,Exclusive: Credit Suisse to sell European ETF business - sources ,NEW YORK Credit Suisse Group AG  has put its $17.2 billion European exchange-traded fund business up for sale  according to sources familiar with the matter.,topStory
BA,Boeing Company (The),20121019,Boeing worker accuses State Street of overcharging on forex trades ,BOSTON A Boeing Co  worker has filed a lawsuit seeking class-action status against State Street Corp  over currency trades in the airplane maker's $34 billion retirement plan.,topStory
BA,Boeing Company (The),20121019,Boeing worker accuses State Street of overcharging on FX trades ,BOSTON A Boeing Co worker has filed a lawsuit seeking class-action status against State Street Corp over currency trades in the airplane maker's $34 billion retirement plan.,normal
BA,Boeing Company (The),20121019,Boeing worker accuses State Street of overcharging on FX trades ,BOSTON  Oct 19 A Boeing Co worker has filed a lawsuit seeking class-action status against State Street Corp over currency trades in the airplane maker's $34 billion retirement plan.,normal
BA,Boeing Company (The),20121019,Air India plans to sell 5 Boeing planes - tender document ,NEW DELHI  Oct 19 State-run carrier Air India  has offered to sell five Boeing 777 planes  according to a tender document posted on its website on Friday.,normal
BP,BP plc,20121019,LUKOIL hires BP executive as trading chief ,GENEVA  Oct 19 The Geneva-based trading arm of Russia's LUKOIL has replaced its CEO  the group said in an emailed statement on Friday  hiring a top executive from BP Plc.,topStory
BP,BP plc,20121019,BP board considers Rosneft bid for TNK-BP ,LONDON/MOSCOW Rosneft  is poised to secure a tighter grip on Russia's oil industry by buying BP's  50 percent stake in TNK-BP   the country's third largest producing company. | Video ,normal
BP,BP plc,20121019,TNK-BP manager arrested on suspicion of fraud ,MOSCOW A manager at Anglo-Russian oil firm TNK-BP  has been arrested on suspicion of fraud  the Russian Interior Ministry and the company said on Friday.,normal
BP,BP plc,20121019,BP confirms that AAR's exclusivity period for TNK-BP ends ,LONDON British oil firm BP  confirmed on Friday that the 90 day period during which its partner  AAR  in its Russian oil venture TNK-BP  had exclusive rights to make an offer for BP's share had ended.,normal
BP,BP plc,20121019,UPDATE 1-BP board considers Rosneft bid for TNK-BP ,* Bid for BP stake is cash and shares  offer to tycoons may be different,normal
BP,BP plc,20121019,REFILE-UPDATE 1-TNK-BP manager arrested on suspicion of fraud ,* TNK-BP says arrest not related to his work at the company,normal
BP,BP plc,20121019,BP beefs up Azeri staff as oil output declines ,BAKU  Oct 19 BP has drafted in new managers and engineers in Azerbaijan following a recent outburst of criticism from the country's president over a fall in oil output which the government has blamed for an $8 billion hole in the national budget.,normal
BP,BP plc,20121019,BP board considers Rosneft bid for TNK-BP ,* Bid for BP stake is cash and shares  offer to tycoons may be different,normal
BP,BP plc,20121019,TNK-BP manager arrested on suspicion of fraud in Russia ,MOSCOW A government relations manager at Anglo-Russian oil firm TNK-BP  has been arrested on suspicion of fraud  the Russian Interior Ministry and the company said on Friday.,normal
BP,BP plc,20121019,TNK-BP manager arrested on suspicion of fraud in Russia ,MOSCOW  Oct 19 A government relations manager at Anglo-Russian oil firm TNK-BP has been arrested on suspicion of fraud  the Russian Interior Ministry and the company said on Friday.,normal
COF,Capital One Financial Corporation,20121019,TEXT-S&P: Capital One Financial unaffected by results ,Oct 19 - Standard & Poor's Ratings Services today said the ratings and outlook on Capital One Financial Corp. (COF; BBB/Negative/--) are unchanged following our review of the company's good third-quarter 2012 earnings  which were within our expectations.  The company posted pretax earnings of $1.72 billion  up from $236 million in  the previous quarter and $1.24 billion in third-quarter 2011. Total net  revenue rose 14.4% from the second quarter and 39.2% year over year   reflecting the full qua,topStory
COF,Capital One Financial Corporation,20121019,TEXT-Fitch: Capital One's Q3 earnings remain somewhat noisy ,Capital One Financial's (COF) third quarter 2012 (3Q'12) earnings remained somewhat noisy in the wake of the company's acquisitions this year  which included the ING Direct purchase closing in the beginning of 2012 and the purchase of HSBC's domestic card business closing in mid-2012  according to Fitch Ratings. Nevertheless  due primarily to significantly less of an allowance build from the sequential quarter related to onboarding the HSBC deal  COF's return on assets expanded to a stated 1.60%,normal
CBI,Chicago Bridge & Iron Company NV,20121019,UPDATE 2-Shaw Group eyes weak 2013  lawsuits over CB&I takeover ,Oct 19 Shaw Group Inc forecast 2013 results far below market estimates due to a fall in orders  even as the U.S. engineering company faces growing push-back from investors over a contentious takeover by Chicago Bridge & Iron Co.,topStory
CHL,China Mobile (Hong Kong) Ltd,20121019,Hong Kong shares post 7th straight weekly gain  China underperforms ,* Rebound in early to mid stages  more cyclical rotation ahead: BoComm,topStory
C,Citigroup Inc,20121019,Analysis: Mortgage demand too much for U.S. banks  who respond slowly ,Big U.S. banks are hiring mortgage bankers to meet a surge in demand for home loans and refinancings  but they are still struggling to process applications  which could undermine the Federal Reserve's attempts to stimulate the economy.,topStory
C,Citigroup Inc,20121019,New Issue-EIB adds 500 mln euros to 2025 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 7.5bp,normal
C,Citigroup Inc,20121019,New Issue-EIB adds 500 mln euros to 2025 bond , ,normal
C,Citigroup Inc,20121019,STOCKS NEWS EUROPE-Citi picks Allianz among earnings winners ,Europe is facing two years of no earnings growth and 2013 looks like it could go the same way  all of which makes those firms that can grow more valuable  analysts at Citi write in a note in which they add Allianz  and Intertek to a list of 'world champions'.,normal
