FCCY,1st Constitution Bancorp (NJ),20180420,BRIEF-1St Constitution Bancorp Q1 Earnings Per Share $0.34 ,* REPORTS FIRST QUARTER 2018 RESULTS AND DECLARES QUARTERLY DIVIDEND OF $0.06 PER SHARE,topStory
AAPL,Apple Inc,20180420,Tech tumbles ahead of crucial week for quarterly results ,SAN FRANCISCO U.S. technology stocks tumbled on Friday ahead of a crucial week of quarterly reports from Alphabet  Facebook and other heavyweights as investors worried that the high-performance sector may be running out of fuel.,normal
AAPL,Apple Inc,20180420,GLOBAL MARKETS-Tech weakness drags on stocks; oil recovers after Trump remarks ,* Pound on back foot after dovish remarks from BoE's Carney (New throughout  updates prices  market activity and comments  adds settled oil prices),normal
AAPL,Apple Inc,20180420,Tech tumbles ahead of crucial week for quarterly results ,SAN FRANCISCO  April 20 U.S. technology stocks tumbled on Friday ahead of a crucial week of quarterly reports from Alphabet  Facebook and other heavyweights as investors worried that the high-performance sector may be running out of fuel.,normal
AAPL,Apple Inc,20180420,US STOCKS-Wall St falls on investor nerves about tech  interest rates ,* Apple falls on weak iPhone demand concerns  tech sector weak,normal
AAPL,Apple Inc,20180420,US STOCKS-Apple  bond concerns lead Wall Street slide ,* Indexes down: Dow 0.87 pct  S&P 0.89 pct  Nasdaq 1.27 pct (Updates to early afternoon),normal
AAPL,Apple Inc,20180420,GLOBAL MARKETS-Stocks dip on oil  tech weakness; oil slips after Trump remarks ,* Pound on back foot after dovish remarks from BoE's Carney (Changes  byline  dateline from LONDON; adds Wall Street open; updates throughout),normal
ATOS,Atossa Genetics Inc,20180420,BRIEF-Atossa Genetics Announces 1 For 12 Reverse Stock Split ,* ATOSSA GENETICS INC - ANNOUNCED A REVERSE SPLIT OF ITS COMMON STOCK AT A RATIO OF 1-FOR-12  EFFECTIVE APRIL 20  2018 Source text for Eikon: Further company coverage:,topStory
AVXS,AveXis Inc,20180420,BRIEF-Adage Capital Partners GP LLC Reports 6.04 Percent Stake In Avexis ,* ADAGE CAPITAL PARTNERS GP LLC REPORTS 6.04 PERCENT STAKE IN AVEXIS INC AS OF APRIL 11 - SEC FILING,topStory
AVXS,AveXis Inc,20180420,Biogen boosts investment in neurology with $1 billion Ionis deal ,Biogen Inc struck a $1 billion neurology drug development deal with Ionis Pharmaceuticals on Friday  expanding a partnership that developed the company's potential blockbuster drug for spinal muscular atrophy.,normal
BOCH,Bank of Commerce Holdings (CA),20180420,BRIEF-Bank Of Commerce Holdings Q1 Earnings Per Share $0.20 ,* QTRLY  NET INTEREST INCOME INCREASED $1.6 MILLION TO $11.3 MILLION Source text for Eikon: Further company coverage:,topStory
BOTJ,Bank of the James Financial Group Inc,20180420,BRIEF-Bank Of The James Q1 Earnings Per Share $0.26 ,* ANNOUNCES FIRST QUARTER 2018 FINANCIAL RESULTS AND DECLARATION OF DIVIDEND,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
DLBL,Barclays PLC,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
DLBL,Barclays PLC,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
DLBL,Barclays PLC,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
DLBL,Barclays PLC,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
DTYL,Barclays PLC,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
DTYL,Barclays PLC,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
DTYL,Barclays PLC,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
DTYL,Barclays PLC,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
BNCL,Beneficial Bancorp Inc,20180420,BRIEF-Beneficial Bancorp Inc Announces Q1 Earnings Per Share $0.13 ,* BENEFICIAL BANCORP  INC. ANNOUNCES FIRST QUARTER RESULTS AND CASH DIVIDEND TO SHAREHOLDERS,topStory
BIIB,Biogen Inc,20180420,Biogen boosts investment in neurology with $1 billion Ionis deal ,Biogen Inc struck a $1 billion neurology drug development deal with Ionis Pharmaceuticals on Friday  expanding a partnership that developed the company's potential blockbuster drug for spinal muscular atrophy.,topStory
BIIB,Biogen Inc,20180420,BRIEF-Biogen And Ionis Expand Strategic Collaboration To Develop Drug Candidates For A Broad Range Of Neurological Diseases ,* BIOGEN AND IONIS EXPAND STRATEGIC COLLABORATION TO DEVELOP DRUG CANDIDATES FOR A BROAD RANGE OF NEUROLOGICAL DISEASES,normal
BIIB,Biogen Inc,20180420,UPDATE 2-Biogen boosts investment in neurology with $1 bln Ionis deal ,* Comprises equity investment in Ionis plus upfront payment (Adds background  share movement),normal
BIIB,Biogen Inc,20180420,Biogen to pay $1 billion to Ionis in new partnership ,April 20 Drugmaker Biogen Inc said on Friday it would pay Ionis Pharmaceuticals Inc $1 billion in cash as part of a new ten-year agreement to develop medicines for a broad range of neurological diseases including dementia.,normal
CETX,Cemtrex Inc,20180420,BRIEF-Cemtrex Says To Offer  Sell Up To 1 Mln Shares Of Co By Nil Funding Corporation  The Selling Stockholder ,* CEMTREX - TO OFFER  SELL UP TO 1 MILLION SHARES OF CO BY NIL FUNDING CORPORATION  THE SELLING STOCKHOLDER Source text: (https://bit.ly/2qMqSb3) Further company coverage:,topStory
CETXP,Cemtrex Inc,20180420,BRIEF-Cemtrex Says To Offer  Sell Up To 1 Mln Shares Of Co By Nil Funding Corporation  The Selling Stockholder ,* CEMTREX - TO OFFER  SELL UP TO 1 MILLION SHARES OF CO BY NIL FUNDING CORPORATION  THE SELLING STOCKHOLDER Source text: (https://bit.ly/2qMqSb3) Further company coverage:,topStory
CEVA,CEVA Inc,20180420,UPDATE 2-Ceva plans May 4 flotation as bookbuild set wide ,ZURICH  April 20 Transport firm Ceva Logistics aims to launch on the Swiss stock exchange on May 4  setting a wide price spread for its bookbuilding amidst uncertain market conditions. Ceva Logistics  owned by private equity firm Apollo  aims to raise 1.2 billion Swiss francs ($1.23 billion) in an all-primary share offering and on Friday set a price range for its bookbuilding between 27.5 and 52.5 Swiss francs per share.,topStory
CHTR,Charter Communications Inc,20180420,BRIEF-Comcast And Charter Announce Mobile Operating Platform Partnership ,* COMCAST AND CHARTER ANNOUNCE MOBILE OPERATING PLATFORM PARTNERSHIP,topStory
CHTR,Charter Communications Inc,20180420,Comcast  Charter partner for mobile services back-end software ,Comcast Corp  and Charter Communications Inc  will partner to develop back-end software to support services for their Xfinity and Spectrum mobile offerings  the companies said on Friday.,normal
CHTR,Charter Communications Inc,20180420,Comcast  Charter partner for mobile services back-end software ,April 20 Comcast Corp and Charter Communications Inc will partner to develop back-end software to support services for their Xfinity and Spectrum mobile offerings  the companies said on Friday.,normal
CTXR,Citius Pharmaceuticals Inc,20180420,BRIEF-Citius Pharmaceuticals To Sell Up To 1.4 Mln Shares Of Co's Common Stock ,* CITIUS PHARMACEUTICALS - TO SELL OR OTHER DISPOSITION FROM TIME TO TIME OF UP TO 1.4 MILLION SHARES OF CO'S COMMON STOCK Source : https://bit.ly/2JdehV7 Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
CIZN,Citizens Holding Company,20180420,BRIEF-Citizens Holding Reports Quarterly EPS Of $0.36 ,* NET INTEREST INCOME FOR Q1 OF 2018  AFTER PROVISION FOR LOAN LOSSES  WAS $7.042 MILLION  ABOUT 3.4% HIGHER Source text for Eikon: Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
CLNE,Clean Energy Fuels Corp,20180420,BRIEF-Clean Energy To Construct Three CNG Stations In Ontario For Union Energy Solutions ,* CLEAN ENERGY TO CONSTRUCT THREE CNG STATIONS IN ONTARIO FOR UNION ENERGY SOLUTIONS Source text for Eikon: Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
CTSH,Cognizant Technology Solutions Corporation,20180420,BRIEF-Cognizant Technology Says CEO Francisco D’Souza's FY 2017 Adjusted SEC Total Compensation Was $12.5 Mln Vs $12 Mln In FY 2016 - SEC Filing ,* COGNIZANT TECHNOLOGY SOLUTIONS SAYS CEO FRANCISCO D’SOUZA'S FY 2017 ADJUSTED SEC TOTAL COMPENSATION WAS $12.5 MILLION VERSUS $12 MILLION IN FY 2016 - SEC FILING Source text: (https://bit.ly/2K198Rd) Further company coverage:,topStory
CMCSA,Comcast Corporation,20180420,BRIEF-Comcast And Charter Announce Mobile Operating Platform Partnership ,* COMCAST AND CHARTER ANNOUNCE MOBILE OPERATING PLATFORM PARTNERSHIP,topStory
CMCSA,Comcast Corporation,20180420,Comcast  Charter partner for mobile services back-end software ,Comcast Corp  and Charter Communications Inc  will partner to develop back-end software to support services for their Xfinity and Spectrum mobile offerings  the companies said on Friday.,normal
CMCSA,Comcast Corporation,20180420,Comcast  Charter partner for mobile services back-end software ,April 20 Comcast Corp and Charter Communications Inc will partner to develop back-end software to support services for their Xfinity and Spectrum mobile offerings  the companies said on Friday.,normal
CTWS,Connecticut Water Service Inc,20180420,Connecticut Water rejects $748 million Eversource bid to disrupt deal with SJW ,Connecticut Water Service Inc  said on Thursday it had rejected a $748 million takeover bid by Eversource Energy   New England's largest power utility  aimed at disrupting its merger with SJW Group  agreed in March.,topStory
CTWS,Connecticut Water Service Inc,20180420,UPDATE 2-Connecticut Water rejects $748 mln Eversource bid to disrupt deal with SJW ,April 19 Connecticut Water Service Inc said on Thursday it had rejected a $748 million takeover bid by Eversource Energy  New England's largest power utility  aimed at disrupting its merger with SJW Group agreed in March.,normal
CONN,Conn&#39;s Inc,20180420,BRIEF-Conn's Says CEO Norman Miller's 2018 Total Compensation Was $10.3 Mln Which Includes Stock Awards Of $7.6 Mln ,* CONN'S INC SAYS CEO NORMAN L. MILLER'S 2018 TOTAL COMPENSATION WAS $10.3 MILLION WHICH INCLUDES STOCK AWARDS OF $7.6 MILLION  – SEC FILING Source text: (https://bit.ly/2HNnB2q) Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
CTRP,Ctripcom International Ltd,20180420,China's Ctrip would welcome chance to list at home via depositary receipts -CEO ,SHANGHAI  April 20 Ctrip.Com International Ltd   Asia's biggest online travel firm  would welcome the chance to list at home in mainland China should regulators introduce depositary receipts as planned  Chief Executive Jane Sun told Reuters on Friday.,topStory
CTRP,Ctripcom International Ltd,20180420,BRIEF-Ctrip Signs MoU With AccorHotels ,* CTRIP.COM - PARTNERSHIP WILL ALLOW CTRIP'S OVER 300 MILLION REGISTERED USERS TO ACCESS ACCORHOTELS' GLOBAL BRANDS PORTFOLIO Source text for Eikon: Further company coverage:,normal
DRNA,Dicerna Pharmaceuticals Inc,20180420,U.S. biotech companies Alnylam  Dicerna settle trade secrets case ,BOSTON Alnylam Pharmaceuticals Inc said on Friday that Dicerna Pharmaceuticals Inc will pay it $25 million in cash and stock to resolve a lawsuit claiming it stole trade secrets about gene-silencing technology used to develop drug treatments.,topStory
DRNA,Dicerna Pharmaceuticals Inc,20180420,UPDATE 2-U.S. biotech companies Alnylam  Dicerna settle trade secrets case ,BOSTON  April 20 Alnylam Pharmaceuticals Inc said on Friday that Dicerna Pharmaceuticals Inc will pay it $25 million in cash and stock to resolve a lawsuit claiming it stole trade secrets about gene-silencing technology used to develop drug treatments.,normal
DRNA,Dicerna Pharmaceuticals Inc,20180420,CORRECTED-UPDATE 1-U.S. biotech companies Alnylam  Dicerna settle trade secrets case ,BOSTON  April 20 Dicerna Pharmaceuticals Inc on Friday said that it will pay $15 million plus stock to Alnylam Pharmaceuticals Inc to resolve a lawsuit claiming it stole trade secrets about gene-silencing technology used to develop drug treatments.,normal
DRNA,Dicerna Pharmaceuticals Inc,20180420,CORRECTED-Biotech companies Alnylam  Dicerna settle trade secrets case ,BOSTON  April 20 Dicerna Pharmaceuticals Inc on Friday said it will pay $15 million plus stock to Alnylam Pharmaceuticals Inc to resolve a lawsuit claiming it stole trade secrets about gene-silencing technology used to develop drug treatments.,normal
DRNA,Dicerna Pharmaceuticals Inc,20180420,BRIEF-Alnylam Reaches Settlement Agreement With Dicerna Pharmaceuticals ,* ALNYLAM REACHES SETTLEMENT AGREEMENT WITH DICERNA PHARMACEUTICALS RESOLVING TRADE SECRET MISAPPROPRIATION AND OTHER PENDING LITIGATION,normal
DLTR,Dollar Tree Inc,20180420,BRIEF-Dollar Tree Says On April 19 Co Entered Into Credit Agreement With JPMorgan Chase Bank Providing For $2 032 Mln In Senior Credit Facilities ,* DOLLAR TREE SAYS ON APRIL 19 CO ENTERED INTO CREDIT AGREEMENT WITH JPMORGAN CHASE BANK PROVIDING FOR $2 032 MILLION IN SENIOR CREDIT FACILITIES - SEC FILING,topStory
ERIC,Ericsson,20180420,European shares mark fourth week of gains; Ericsson shines ,MILAN/LONDON European shares held steady on Friday at the end of a strong week as a rally in commodities softened  although strong earnings updates boosted shares in Ericsson  and Telia .,topStory
ERIC,Ericsson,20180420,UPDATE 2-European shares mark fourth week of gains; Ericsson shines ,* Results lift Telia; Reckitt falls (Adds detail  updates prices at close),normal
ERIC,Ericsson,20180420,Ericsson revival hopes lifted by cost cutting progress ,STOCKHOLM Ericsson  stirred recovery hopes on Friday by beating quarterly profit expectations  lifting the mobile equipment maker's battered shares as cost-savings started to kick in.,normal
ERIC,Ericsson,20180420,UPDATE 4-Ericsson revival hopes lifted by cost cutting progress ,* Shares up 18 pct  recovering to levels in July 2016 (Adds Breakingviews link  detail  updates shares),normal
ERIC,Ericsson,20180420,BRIEF-Ericsson CEO says after reaching cost savings by mid 2018  sees continued cost improvements ,* ERICSSON CEO SAYS AFTER REACHING 10 BILLION COST SAVING PROGRAMME BY MID 2018  SEES LESS OF PROGRAMMES BUT CONTINUED COST IMPROVEMENTS Further company coverage: (Reporting By Stockholm newsroom),normal
ERIC,Ericsson,20180420,BRIEF-Ericsson CFO says has taken market shares in North America  Europe ,* Says has taken market shares above all in North America  Europe,normal
ERIC,Ericsson,20180420,Ericsson posts smaller Q1 loss than expected ,STOCKHOLM  April 20 Mobile telecom equipment maker Ericsson reported a lower-than-expected first-quarter operating loss on Friday and said it saw positive momentum in North America.,normal
ETSY,Etsy Inc,20180420,BRIEF-Etsy Inc Says CEO Josh Silverman's 2017 Total Compensation Was $21.2 Million - SEC Filing ,* SAYS CEO JOSH SILVERMAN'S 2017 TOTAL COMPENSATION WAS $21.2 MILLION - SEC FILING Source text for Eikon: Further company coverage:,topStory
FB,Facebook Inc,20180420,Facebook's damage limitation drive hits trouble in Germany ,BERLIN/FRANKFURT Facebook's attempt to limit fallout from a massive data breach hit trouble in Germany on Friday as a privacy watchdog opened a case against the social network and politicians accused its bosses of evasion.,topStory
FB,Facebook Inc,20180420,GRAPHIC-Take Five: World markets themes for the week ahead ,LONDON  April 20 Following are five big themes likely to dominate thinking of investors and traders in the coming week and the Reuters stories related to them.,normal
FFKT,Farmers Capital Bank Corporation,20180420,BRIEF-Wesbanco - Upon Termination Of Merger Agreement Under Some Circumstances  Farmers Capital May Be To Pay Co A Fee Of $12 Mln ,* WESBANCO - UPON TERMINATION OF MERGER AGREEMENT UNDER SOME CIRCUMSTANCES  FARMERS CAPITAL MAY BE TO PAY CO A FEE OF $12 MILLION - SEC FILING Source text: (https://bit.ly/2HhrrQk) Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
FORD,Forward Industries Inc,20180420,BRIEF-Forward Industries Says Due To  Among Other Things  Jan 25 Finra Investigation Against Co  James Frost Decided To Resign As Director ,* FORWARD INDUSTRIES SAYS DUE TO  AMONG OTHER THINGS  JAN 25 FINRA INVESTIGATION AGAINST CO  JAMES FROST DECIDED TO RESIGN AS DIRECTOR OF CO - SEC FILING Source text (https://bit.ly/2Hftgxi) Further company coverage:,topStory
GNTX,Gentex Corporation,20180420,BRIEF-Gentex Reports Q1 Earnings Per Share Of $0.40 ,* Q1 EARNINGS PER SHARE VIEW $0.40 -- THOMSON REUTERS I/B/E/S,topStory
GILD,Gilead Sciences Inc,20180420,Nonprofit sues over NIH licensing of cancer tech to Gilead ,A nonprofit group is suing to challenge the National Institutes of Health's plan to grant a license on taxpayer-funded cancer treatment technology to a Gilead Sciences Inc unit  arguing the decision ignored the public's interest in affordable drugs.,topStory
GOGO,Gogo Inc,20180420,BRIEF-Gogo Realigns Leadership To Drive Operational Excellence ,* SAYS JON COBIN APPOINTED CHIEF STRATEGY OFFICER AND EVP CORPORATE DEVELOPMENT Source text for Eikon: Further company coverage:,topStory
GIFI,Gulf Island Fabrication Inc,20180420,BRIEF-Pvam Perlus Microcap Fund Reports 5.3 Pct Stake In Gulf Island Fabrication Inc As Of April 9 ,* PVAM PERLUS MICROCAP FUND LP REPORTS 5.3 PERCENT STAKE IN GULF ISLAND FABRICATION INC AS OF APRIL 9 - SEC FILING,topStory
HMNF,HMN Financial Inc,20180420,BRIEF-HMN Financial Says Q1 Earnings Per Share $0.29 ,* QTRLY NET INTEREST INCOME OF $6.7 MILLION  UP $0.4 MILLION  FROM $6.3 MILLION FOR FIRST QUARTER OF 2017 Source text for Eikon: Further company coverage:,topStory
INVE,Identiv Inc,20180420,BRIEF-Identiv Files For Offering Of Up To 7.54 Million Shares Of Common Stock ,* IDENTIV INC FILES FOR OFFERING OF UP TO 7.54 MILLION SHARES OF COMMON STOCK Source : https://bit.ly/2Hg912d Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
INTC,Intel Corporation,20180420,UPDATE 1-TSMC shares slide as revenue estimate cut; other Apple  chip stocks also fall ,* Analysts see warning as driven by concern about iPhone demand,normal
INTX,Intersections Inc,20180420,BRIEF-Intersections Inc Says CEO Michael R. Stanfield's 2017 Total Compensation Was $6 Million ,* INTERSECTIONS INC SAYS CEO MICHAEL R. STANFIELD'S 2017 TOTAL COMPENSATION WAS $6 MILLION – SEC FILING Source text: (https://bit.ly/2qJJd8O) Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
IONS,Ionis Pharmaceuticals Inc,20180420,Biogen boosts investment in neurology with $1 billion Ionis deal ,Biogen Inc struck a $1 billion neurology drug development deal with Ionis Pharmaceuticals on Friday  expanding a partnership that developed the company's potential blockbuster drug for spinal muscular atrophy.,topStory
IONS,Ionis Pharmaceuticals Inc,20180420,BRIEF-Biogen And Ionis Expand Strategic Collaboration To Develop Drug Candidates For A Broad Range Of Neurological Diseases ,* BIOGEN AND IONIS EXPAND STRATEGIC COLLABORATION TO DEVELOP DRUG CANDIDATES FOR A BROAD RANGE OF NEUROLOGICAL DISEASES,normal
IONS,Ionis Pharmaceuticals Inc,20180420,UPDATE 2-Biogen boosts investment in neurology with $1 bln Ionis deal ,* Comprises equity investment in Ionis plus upfront payment (Adds background  share movement),normal
IONS,Ionis Pharmaceuticals Inc,20180420,Biogen to pay $1 billion to Ionis in new partnership ,April 20 Drugmaker Biogen Inc said on Friday it would pay Ionis Pharmaceuticals Inc $1 billion in cash as part of a new ten-year agreement to develop medicines for a broad range of neurological diseases including dementia.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
DTYS,iPath US Treasury 10-year Bear ETN,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
DTYS,iPath US Treasury 10-year Bear ETN,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
DTUS,iPath US Treasury 2-year Bear ETN,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
DTUS,iPath US Treasury 2-year Bear ETN,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
DTUL,iPath US Treasury 2-year Bull ETN,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
